#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2356--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR1499--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR1038--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR1938--MA0463.1.Bcl6	chr4	133073286	133073299	-	0.000	0.000	Merged-chr4-133073490-32
NR2392--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR1177--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR388--MA0463.1.Bcl6	chr10	122578750	122578763	+	0.000	0.000	Merged-chr10-122578660-68
NR2276--MA0463.1.Bcl6	chr6	131276621	131276634	-	0.000	0.000	Merged-chr6-131276753-31
NR1880--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR2190--MA0731.1.BCL6B	chr6	54703245	54703261	+	0.000	0.000	Merged-chr6-54703132-16
NR2169--MA0463.1.Bcl6	chr6	34346703	34346716	+	0.000	0.000	Merged-chr6-34346731-18
NR472--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR1518--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR27--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR729--MA0463.1.Bcl6	chr13	95685910	95685923	+	0.000	0.000	Merged-chr13-95685937-61
NR45--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR2411--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1136--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR2662--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR2684--MA0731.1.BCL6B	chrX	13370534	13370550	+	0.000	0.000	Merged-chrX-13370495-7
NR1367--MA0731.1.BCL6B	chr2	11118760	11118776	-	0.000	0.000	Merged-chr2-11118835-29
NR2697--MA0731.1.BCL6B	chrX	52760345	52760361	-	0.000	0.000	Merged-chrX-52760494-47
NR443--MA0731.1.BCL6B	chr11	58214898	58214914	+	0.000	0.000	Merged-chr11-58214991-50
NR439--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR823--MA0731.1.BCL6B	chr14	40992388	40992404	+	0.000	0.000	Merged-chr14-40992584-8
NR2121--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR1936--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR382--MA0731.1.BCL6B	chr10	115406526	115406542	-	0.000	0.000	Merged-chr10-115406653-18
NR1072--MA0463.1.Bcl6	chr16	44321829	44321842	-	0.000	0.000	Merged-chr16-44321913-9
NR557--MA0731.1.BCL6B	chr12	69529960	69529976	-	0.000	0.000	Merged-chr12-69529974-44
NR2397--MA0731.1.BCL6B	chr7	100607551	100607567	+	0.000	0.000	Merged-chr7-100607633-74
NR1641--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR1413--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR658--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR244--MA0731.1.BCL6B	chr10	7681970	7681986	-	0.000	0.000	Merged-chr10-7681828-7
NR857--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR2400--MA0463.1.Bcl6	chr7	104369993	104370006	-	0.000	0.000	Merged-chr7-104370069-34
NR1776--MA0463.1.Bcl6	chr4	6817584	6817597	+	0.000	0.000	Merged-chr4-6817535-45
NR2605--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR2129--MA0731.1.BCL6B	chr5	145201539	145201555	+	0.000	0.000	Merged-chr5-145201700-67
NR2441--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR2647--MA0463.1.Bcl6	chr9	95072707	95072720	-	0.000	0.000	Merged-chr9-95072706-61
NR1217--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR2565--MA0731.1.BCL6B	chr8	126422087	126422103	+	0.000	0.000	Merged-chr8-126422027-2
NR2665--MA0463.1.Bcl6	chr9	106822491	106822504	-	0.000	0.000	Merged-chr9-106822240-128
NR358--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR2213--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR2683--MA0463.1.Bcl6	chrX	13370534	13370547	-	0.000	0.000	Merged-chrX-13370495-7
NR464--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR1365--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR124--MA0463.1.Bcl6	chr1	106607031	106607044	-	0.000	0.000	Merged-chr1-106607160-12
NR1671--MA0731.1.BCL6B	chr3	96563333	96563349	+	0.000	0.000	Merged-chr3-96563377-23
NR2448--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR175--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR1043--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR2227--MA0463.1.Bcl6	chr6	97107092	97107105	+	0.000	0.000	Merged-chr6-97107020-27
NR1684--MA0731.1.BCL6B	chr3	107864169	107864185	+	0.000	0.000	Merged-chr3-107864110-34
NR1943--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR1191--MA0463.1.Bcl6	chr17	51855369	51855382	-	0.000	0.000	Merged-chr17-51855418-25
NR1733--MA0463.1.Bcl6	chr3	143426913	143426926	-	0.000	0.000	Merged-chr3-143426791-9
NR174--MA0463.1.Bcl6	chr1	164494789	164494802	+	0.000	0.000	Merged-chr1-164494906-11
NR991--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR501--MA0463.1.Bcl6	chr12	17348213	17348226	+	0.000	0.000	Merged-chr12-17348366-60
NR861--MA0731.1.BCL6B	chr14	60129816	60129832	-	0.000	0.000	Merged-chr14-60129717-50
NR50--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR1493--MA0731.1.BCL6B	chr2	114175318	114175334	-	0.000	0.000	Merged-chr2-114175184-57
NR1425--MA0463.1.Bcl6	chr2	60204337	60204350	-	0.000	0.000	Merged-chr2-60204421-25
NR1895--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR426--MA0463.1.Bcl6	chr11	34010313	34010326	-	0.000	0.000	Merged-chr11-34010377-133
NR1685--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR2663--MA0463.1.Bcl6	chr9	106215647	106215660	+	0.000	0.000	Merged-chr9-106215485-26
NR2099--MA0463.1.Bcl6	chr5	113828686	113828699	-	0.000	0.000	Merged-chr5-113828538-48
NR216--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR431--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR954--MA0731.1.BCL6B	chr15	36938034	36938050	+	0.000	0.000	Merged-chr15-36937970-1
NR1587--MA0463.1.Bcl6	chr2	180745283	180745296	+	0.000	0.000	Merged-chr2-180745387-39
NR540--MA0731.1.BCL6B	chr12	55015516	55015532	+	0.000	0.000	Merged-chr12-55015619-6
NR1050--MA0463.1.Bcl6	chr16	22548239	22548252	-	0.000	0.000	Merged-chr16-22548400-52
NR61--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR1162--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR2364--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR915--MA0463.1.Bcl6	chr14	122953499	122953512	-	0.000	0.000	Merged-chr14-122953434-8
NR821--MA0463.1.Bcl6	chr14	40894784	40894797	+	0.000	0.000	Merged-chr14-40894851-34
NR1674--MA0731.1.BCL6B	chr3	98027543	98027559	+	0.000	0.000	Merged-chr3-98027437-43
NR1435--MA0731.1.BCL6B	chr2	66114547	66114563	+	0.000	0.000	Merged-chr2-66114486-5
NR808--MA0463.1.Bcl6	chr14	25162015	25162028	-	0.000	0.000	Merged-chr14-25161984-35
NR1339--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR763--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1512--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1414--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR956--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR981--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR1666--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR1087--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR1969--MA0463.1.Bcl6	chr5	3670359	3670372	+	0.000	0.000	Merged-chr5-3670094-38
NR298--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR2330--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR1508--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR1679--MA0731.1.BCL6B	chr3	101731254	101731270	-	0.000	0.000	Merged-chr3-101731258-4
NR992--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR1265--MA0731.1.BCL6B	chr18	39664126	39664142	-	0.000	0.000	Merged-chr18-39664266-42
NR1884--MA0463.1.Bcl6	chr4	95765579	95765592	+	0.000	0.000	Merged-chr4-95765748-2
NR1759--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR58--MA0731.1.BCL6B	chr1	53856982	53856998	-	0.000	0.000	Merged-chr1-53856868-4
NR2522--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR1562--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
NR2518--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR451--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR1576--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR94--MA0463.1.Bcl6	chr1	80758532	80758545	-	0.000	0.000	Merged-chr1-80758556-27
NR1003--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2554--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR429--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR447--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR1074--MA0731.1.BCL6B	chr16	44321828	44321844	-	0.000	0.000	Merged-chr16-44321913-9
NR1348--MA0463.1.Bcl6	chr19	44283179	44283192	+	0.000	0.000	Merged-chr19-44283330-35
NR1597--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR1366--MA0463.1.Bcl6	chr2	11118763	11118776	+	0.000	0.000	Merged-chr2-11118835-29
NR1478--MA0463.1.Bcl6	chr2	103583433	103583446	-	0.000	0.000	Merged-chr2-103583427-9
NR1384--MA0463.1.Bcl6	chr2	35982164	35982177	-	0.000	0.000	Merged-chr2-35982030-31
NR2707--MA0731.1.BCL6B	chrX	159708859	159708875	+	0.000	0.000	Merged-chrX-159708599-75
NR163--MA0731.1.BCL6B	chr1	156408130	156408146	-	0.000	0.000	Merged-chr1-156408256-35
NR2131--MA0731.1.BCL6B	chr5	148325408	148325424	+	0.000	0.000	Merged-chr5-148325520-37
NR272--MA0731.1.BCL6B	chr10	21159882	21159898	+	0.000	0.000	Merged-chr10-21160014-11
NR176--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR488--MA0463.1.Bcl6	chr12	4817611	4817624	-	0.000	0.000	Merged-chr12-4817506-66
NR2358--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR2667--MA0731.1.BCL6B	chr9	107675869	107675885	+	0.000	0.000	Merged-chr9-107676090-54
NR1962--MA0463.1.Bcl6	chr4	152186802	152186815	+	0.000	0.000	Merged-chr4-152186778-42
NR600--MA0463.1.Bcl6	chr12	114469202	114469215	-	0.000	0.000	Merged-chr12-114469182-47
NR2110--MA0731.1.BCL6B	chr5	124050169	124050185	+	0.000	0.000	Merged-chr5-124050362-25
NR2376--MA0463.1.Bcl6	chr7	80647583	80647596	+	0.000	0.000	Merged-chr7-80647614-48
NR851--MA0463.1.Bcl6	chr14	52257854	52257867	-	0.000	0.000	Merged-chr14-52257717-61
NR2646--MA0731.1.BCL6B	chr9	94668742	94668758	-	0.000	0.000	Merged-chr9-94668774-42
NR230--MA0731.1.BCL6B	chr1	193303728	193303744	+	0.000	0.000	Merged-chr1-193303652-18
NR15--MA0463.1.Bcl6	chr1	13560219	13560232	+	0.000	0.000	Merged-chr1-13560165-1
NR2516--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR2096--MA0731.1.BCL6B	chr5	105732326	105732342	-	0.000	0.000	Merged-chr5-105732037-124
NR2086--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR422--MA0463.1.Bcl6	chr11	29526252	29526265	+	0.000	0.000	Merged-chr11-29526463-59
NR997--MA0731.1.BCL6B	chr15	78596960	78596976	+	0.000	0.000	Merged-chr15-78597127-20
NR2489--MA0731.1.BCL6B	chr8	57592869	57592885	-	0.000	0.000	Merged-chr8-57592904-21
NR2551--MA0731.1.BCL6B	chr8	117498771	117498787	+	0.000	0.000	Merged-chr8-117498576-60
NR1668--MA0463.1.Bcl6	chr3	95722632	95722645	-	0.000	0.000	Merged-chr3-95722546-39
NR673--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR1574--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR570--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR2312--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR212--MA0463.1.Bcl6	chr1	182108765	182108778	-	0.000	0.000	Merged-chr1-182108715-18
NR445--MA0463.1.Bcl6	chr11	64187012	64187025	+	0.000	0.000	Merged-chr11-64187104-15
NR214--MA0731.1.BCL6B	chr1	182163153	182163169	+	0.000	0.000	Merged-chr1-182163114-26
NR2686--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR2543--MA0731.1.BCL6B	chr8	109917559	109917575	+	0.000	0.000	Merged-chr8-109917447-24
NR687--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR329--MA0463.1.Bcl6	chr10	75415058	75415071	-	0.000	0.000	Merged-chr10-75415162-28
NR1127--MA0463.1.Bcl6	chr16	91076424	91076437	-	0.000	0.000	Merged-chr16-91076341-10
NR2678--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR2699--MA0731.1.BCL6B	chrX	77586167	77586183	+	0.000	0.000	Merged-chrX-77586206-37
NR2696--MA0463.1.Bcl6	chrX	52760348	52760361	+	0.000	0.000	Merged-chrX-52760494-47
NR2123--MA0463.1.Bcl6	chr5	139364756	139364769	-	0.000	0.000	Merged-chr5-139364927-1
NR2329--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR477--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR2253--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR1705--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR2365--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR2007--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1047--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR164--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR169--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR2039--MA0463.1.Bcl6	chr5	53995259	53995272	-	0.000	0.000	Merged-chr5-53995231-101
NR2612--MA0463.1.Bcl6	chr9	65579123	65579136	-	0.000	0.000	Merged-chr9-65579109-6
NR2630--MA0463.1.Bcl6	chr9	82964143	82964156	-	0.000	0.000	Merged-chr9-82964235-29
NR1471--MA0731.1.BCL6B	chr2	91986429	91986445	+	0.000	0.000	Merged-chr2-91986276-9
NR644--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR2519--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1580--MA0731.1.BCL6B	chr2	170205723	170205739	+	0.000	0.000	Merged-chr2-170205615-94
NR877--MA0463.1.Bcl6	chr14	79390423	79390436	+	0.000	0.000	Merged-chr14-79390621-66
NR1960--MA0731.1.BCL6B	chr4	148998192	148998208	-	0.000	0.000	Merged-chr4-148998288-20
NR322--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR1581--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR2098--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
NR649--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR1335--MA0463.1.Bcl6	chr19	31199619	31199632	+	0.000	0.000	Merged-chr19-31199719-19
NR340--MA0463.1.Bcl6	chr10	89295031	89295044	+	0.000	0.000	Merged-chr10-89294916-1
NR1559--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR1004--MA0463.1.Bcl6	chr15	100598719	100598732	-	0.000	0.000	Merged-chr15-100598688-62
NR694--MA0463.1.Bcl6	chr13	73714215	73714228	+	0.000	0.000	Merged-chr13-73714224-16
NR2112--MA0463.1.Bcl6	chr5	124496988	124497001	-	0.000	0.000	Merged-chr5-124497096-41
NR466--MA0463.1.Bcl6	chr11	98682471	98682484	+	0.000	0.000	Merged-chr11-98682471-63
NR1170--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR596--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR2260--MA0463.1.Bcl6	chr6	127582688	127582701	+	0.000	0.000	Merged-chr6-127582626-90
NR1045--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1325--MA0731.1.BCL6B	chr19	9991434	9991450	-	0.000	0.000	Merged-chr19-9991497-15
NR162--MA0463.1.Bcl6	chr1	155281795	155281808	+	0.000	0.000	Merged-chr1-155281669-27
NR941--MA0463.1.Bcl6	chr15	27518139	27518152	+	0.000	0.000	Merged-chr15-27518308-43
NR1175--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1176--MA0731.1.BCL6B	chr17	35823017	35823033	+	0.000	0.000	Merged-chr17-35823208-57
NR2162--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR1614--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR2704--MA0463.1.Bcl6	chrX	142902319	142902332	+	0.000	0.000	Merged-chrX-142902308-39
NR1569--MA0731.1.BCL6B	chr2	163401537	163401553	+	0.000	0.000	Merged-chr2-163401452-24
NR1189--MA0463.1.Bcl6	chr17	51762828	51762841	+	0.000	0.000	Merged-chr17-51762690-29
NR1865--MA0463.1.Bcl6	chr4	86739316	86739329	-	0.000	0.000	Merged-chr4-86739424-15
NR1426--MA0731.1.BCL6B	chr2	60204337	60204353	+	0.000	0.000	Merged-chr2-60204421-25
NR1310--MA0463.1.Bcl6	chr18	83934315	83934328	-	0.000	0.000	Merged-chr18-83934444-16
NR1516--MA0463.1.Bcl6	chr2	132022887	132022900	+	0.000	0.000	Merged-chr2-132022814-33
NR1896--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
