#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3725--MA0511.2.RUNX2	chr15	55896429	55896437	+	0.000	0.000	Merged-chr15-55896395-5
NR4880--MA0511.2.RUNX2	chr18	10742980	10742988	-	0.000	0.000	Merged-chr18-10742937-26
NR5306--MA0002.2.RUNX1	chr19	24971561	24971571	-	0.000	0.000	Merged-chr19-24971475-35
NR10152--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR6732--MA0002.2.RUNX1	chr3	116808332	116808342	+	0.000	0.000	Merged-chr3-116808199-73
NR9789--MA0002.2.RUNX1	chr8	22728940	22728950	-	0.000	0.000	Merged-chr8-22728865-15
NR7172--MA0002.2.RUNX1	chr4	86722117	86722127	-	0.000	0.000	Merged-chr4-86721990-52
NR4847--MA0002.2.RUNX1	chr17	88599092	88599102	+	0.000	0.000	Merged-chr17-88599180-35
NR2230--MA0002.2.RUNX1	chr12	55399638	55399648	+	0.000	0.000	Merged-chr12-55399672-17
NR5287--MA0002.2.RUNX1	chr19	20944612	20944622	-	0.000	0.000	Merged-chr19-20944629-14
NR3878--MA0002.2.RUNX1	chr15	84212362	84212372	-	0.000	0.000	Merged-chr15-84212289-37
NR1204--MA0684.1.RUNX3	chr10	85352753	85352762	-	0.000	0.000	Merged-chr10-85352707-44
NR9318--MA0684.1.RUNX3	chr7	84386627	84386636	+	0.000	0.000	Merged-chr7-84386751-45
NR7096--MA0684.1.RUNX3	chr4	53826423	53826432	-	0.000	0.000	Merged-chr4-53826364-82
NR2482--MA0002.2.RUNX1	chr12	113362608	113362618	+	0.000	0.000	Merged-chr12-113362654-28
NR3193--MA0002.2.RUNX1	chr14	20503206	20503216	-	0.000	0.000	Merged-chr14-20503247-33
NR10599--MA0684.1.RUNX3	chr9	96545687	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR5396--MA0002.2.RUNX1	chr19	42780004	42780014	+	0.000	0.000	Merged-chr19-42779863-69
NR1313--MA0684.1.RUNX3	chr10	98786239	98786248	+	0.000	0.000	Merged-chr10-98786079-74
NR1979--MA0684.1.RUNX3	chr11	108215015	108215024	-	0.000	0.000	Merged-chr11-108215085-33
NR4542--MA0002.2.RUNX1	chr17	25801129	25801139	-	0.000	0.000	Merged-chr17-25801230-13
NR4813--MA0002.2.RUNX1	chr17	84118423	84118433	-	0.000	0.000	Merged-chr17-84118358-5
NR2928--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR4942--MA0684.1.RUNX3	chr18	39007983	39007992	-	0.000	0.000	Merged-chr18-39007840-3
NR1688--MA0002.2.RUNX1	chr11	61602865	61602875	-	0.000	0.000	Merged-chr11-61602995-47
NR7062--MA0684.1.RUNX3	chr4	41708558	41708567	-	0.000	0.000	Merged-chr4-41708469-7
NR10707--MA0002.2.RUNX1	chr9	114446485	114446495	-	0.000	0.000	Merged-chr9-114446417-16
NR5382--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR7456--MA0002.2.RUNX1	chr4	140860340	140860350	+	0.000	0.000	Merged-chr4-140860263-13
NR3225--MA0002.2.RUNX1	chr14	29968195	29968205	+	0.000	0.000	Merged-chr14-29968394-58
NR1230--MA0511.2.RUNX2	chr10	89415728	89415736	+	0.000	0.000	Merged-chr10-89415714-14
NR4717--MA0002.2.RUNX1	chr17	63356450	63356460	-	0.000	0.000	Merged-chr17-63356437-30
NR2766--MA0002.2.RUNX1	chr13	38501736	38501746	-	0.000	0.000	Merged-chr13-38501583-20
NR3625--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR7393--MA0511.2.RUNX2	chr4	134642024	134642032	+	0.000	0.000	Merged-chr4-134642170-32
NR6731--MA0684.1.RUNX3	chr3	116652129	116652138	-	0.000	0.000	Merged-chr3-116652176-28
NR9245--MA0002.2.RUNX1	chr7	64217524	64217534	-	0.000	0.000	Merged-chr7-64217693-5
NR3877--MA0684.1.RUNX3	chr15	84178922	84178931	+	0.000	0.000	Merged-chr15-84178956-9
NR3129--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR10797--MA0002.2.RUNX1	chr9	121682307	121682317	-	0.000	0.000	Merged-chr9-121682469-52
NR4760--MA0002.2.RUNX1	chr17	73142214	73142224	+	0.000	0.000	Merged-chr17-73142383-41
NR9768--MA0002.2.RUNX1	chr8	14012787	14012797	+	0.000	0.000	Merged-chr8-14012674-53
NR5143--MA0684.1.RUNX3	chr18	83011773	83011782	-	0.000	0.000	Merged-chr18-83011883-50
NR4826--MA0002.2.RUNX1	chr17	85255709	85255719	-	0.000	0.000	Merged-chr17-85255784-17
NR9453--MA0511.2.RUNX2	chr7	106551481	106551489	+	0.000	0.000	Merged-chr7-106551313-76
NR350--MA0002.2.RUNX1	chr1	115921109	115921119	+	0.000	0.000	Merged-chr1-115921039-2
NR8643--MA0002.2.RUNX1	chr6	108338417	108338427	+	0.000	0.000	Merged-chr6-108338556-41
NR416--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR7280--MA0684.1.RUNX3	chr4	107989118	107989127	+	0.000	0.000	Merged-chr4-107989218-22
NR972--MA0511.2.RUNX2	chr10	30716232	30716240	-	0.000	0.000	Merged-chr10-30716378-49
NR9354--MA0002.2.RUNX1	chr7	96818602	96818612	-	0.000	0.000	Merged-chr7-96818578-56
NR4412--MA0002.2.RUNX1	chr16	94303059	94303069	-	0.000	0.000	Merged-chr16-94303117-33
NR9149--MA0002.2.RUNX1	chr7	38071331	38071341	+	0.000	0.000	Merged-chr7-38071224-22
NR5395--MA0684.1.RUNX3	chr19	42266338	42266347	-	0.000	0.000	Merged-chr19-42266343-14
NR7198--MA0002.2.RUNX1	chr4	95278164	95278174	-	0.000	0.000	Merged-chr4-95278286-49
NR9754--MA0684.1.RUNX3	chr8	9811411	9811420	+	0.000	0.000	Merged-chr8-9811294-16
NR939--MA0002.2.RUNX1	chr10	22296027	22296037	-	0.000	0.000	Merged-chr10-22296009-12
NR1243--MA0511.2.RUNX2	chr10	91167021	91167029	+	0.000	0.000	Merged-chr10-91167120-36
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR9628--MA0511.2.RUNX2	chr7	132317353	132317361	-	0.000	0.000	Merged-chr7-132317352-2
NR10706--MA0684.1.RUNX3	chr9	114446464	114446473	+	0.000	0.000	Merged-chr9-114446417-16
NR7948--MA0511.2.RUNX2	chr5	103975959	103975967	-	0.000	0.000	Merged-chr5-103975926-24
NR3446--MA0511.2.RUNX2	chr14	77742008	77742016	+	0.000	0.000	Merged-chr14-77742060-11
NR2636--MA0002.2.RUNX1	chr13	13517052	13517062	-	0.000	0.000	Merged-chr13-13516959-38
NR3076--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR9115--MA0002.2.RUNX1	chr7	28606014	28606024	+	0.000	0.000	Merged-chr7-28605979-11
NR7107--MA0684.1.RUNX3	chr4	57452074	57452083	+	0.000	0.000	Merged-chr4-57452125-10
NR1418--MA0511.2.RUNX2	chr10	121282665	121282673	-	0.000	0.000	Merged-chr10-121282719-28
NR10396--MA0002.2.RUNX1	chr9	64918958	64918968	+	0.000	0.000	Merged-chr9-64918803-19
NR9244--MA0684.1.RUNX3	chr7	64141526	64141535	+	0.000	0.000	Merged-chr7-64141555-53
NR5506--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR4425--MA0002.2.RUNX1	chr16	95827544	95827554	-	0.000	0.000	Merged-chr16-95827524-61
NR2950--MA0002.2.RUNX1	chr13	89425994	89426004	+	0.000	0.000	Merged-chr13-89425827-19
NR4981--MA0511.2.RUNX2	chr18	53406954	53406962	+	0.000	0.000	Merged-chr18-53407055-10
NR3999--MA0684.1.RUNX3	chr15	100997383	100997392	-	0.000	0.000	Merged-chr15-100997392-7
NR5136--MA0002.2.RUNX1	chr18	82503866	82503876	+	0.000	0.000	Merged-chr18-82503961-54
NR3128--MA0684.1.RUNX3	chr13	113669859	113669868	-	0.000	0.000	Merged-chr13-113669806-22
NR9118--MA0511.2.RUNX2	chr7	28820846	28820854	-	0.000	0.000	Merged-chr7-28820769-1
NR886--MA0002.2.RUNX1	chr10	13438594	13438604	-	0.000	0.000	Merged-chr10-13438536-33
NR1719--MA0684.1.RUNX3	chr11	67580585	67580594	+	0.000	0.000	Merged-chr11-67580687-16
NR7150--MA0684.1.RUNX3	chr4	70307384	70307393	+	0.000	0.000	Merged-chr4-70307334-49
NR571--MA0511.2.RUNX2	chr1	164079560	164079568	-	0.000	0.000	Merged-chr1-164079439-12
NR4882--MA0002.2.RUNX1	chr18	11856114	11856124	+	0.000	0.000	Merged-chr18-11856054-18
NR2060--MA0002.2.RUNX1	chr11	117790432	117790442	-	0.000	0.000	Merged-chr11-117790518-2
NR4948--MA0002.2.RUNX1	chr18	41861231	41861241	-	0.000	0.000	Merged-chr18-41861355-68
NR1527--MA0511.2.RUNX2	chr11	11657343	11657351	+	0.000	0.000	Merged-chr11-11657249-55
NR8494--MA0002.2.RUNX1	chr6	72588426	72588436	-	0.000	0.000	Merged-chr6-72588479-8
NR3108--MA0002.2.RUNX1	chr13	112001302	112001312	+	0.000	0.000	Merged-chr13-112001369-98
NR9624--MA0684.1.RUNX3	chr7	131469440	131469449	-	0.000	0.000	Merged-chr7-131469591-22
NR66--MA0684.1.RUNX3	chr1	38657790	38657799	-	0.000	0.000	Merged-chr1-38657935-57
NR3508--MA0684.1.RUNX3	chr14	103088718	103088727	-	0.000	0.000	Merged-chr14-103088795-24
NR938--MA0684.1.RUNX3	chr10	22295969	22295978	+	0.000	0.000	Merged-chr10-22296009-12
NR10091--MA0002.2.RUNX1	chr8	119784332	119784342	+	0.000	0.000	Merged-chr8-119784383-58
NR124--MA0002.2.RUNX1	chr1	55448336	55448346	+	0.000	0.000	Merged-chr1-55448277-23
NR7547--MA0511.2.RUNX2	chr4	155908684	155908692	+	0.000	0.000	Merged-chr4-155908660-10
NR10428--MA0002.2.RUNX1	chr9	69068846	69068856	-	0.000	0.000	Merged-chr9-69068633-33
NR9062--MA0002.2.RUNX1	chr7	4083057	4083067	-	0.000	0.000	Merged-chr7-4082893-63
NR746--MA0511.2.RUNX2	chr1	184534678	184534686	+	0.000	0.000	Merged-chr1-184534660-49
NR2440--MA0002.2.RUNX1	chr12	108004059	108004069	+	0.000	0.000	Merged-chr12-108004104-47
NR10779--MA0511.2.RUNX2	chr9	119963508	119963516	+	0.000	0.000	Merged-chr9-119963439-34
NR9479--MA0511.2.RUNX2	chr7	112400402	112400410	-	0.000	0.000	Merged-chr7-112400264-32
NR7404--MA0511.2.RUNX2	chr4	135157505	135157513	-	0.000	0.000	Merged-chr4-135157519-19
NR603--MA0511.2.RUNX2	chr1	165985849	165985857	+	0.000	0.000	Merged-chr1-165985990-54
NR2906--MA0684.1.RUNX3	chr13	81182721	81182730	+	0.000	0.000	Merged-chr13-81182564-34
NR2963--MA0002.2.RUNX1	chr13	92722551	92722561	+	0.000	0.000	Merged-chr13-92722597-29
NR6780--MA0002.2.RUNX1	chr3	130788180	130788190	+	0.000	0.000	Merged-chr3-130788036-10
NR10537--MA0002.2.RUNX1	chr9	86103760	86103770	-	0.000	0.000	Merged-chr9-86103730-10
NR10808--MA0002.2.RUNX1	chr9	122233149	122233159	-	0.000	0.000	Merged-chr9-122233247-97
NR855--MA0511.2.RUNX2	chr10	4632282	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR9508--MA0002.2.RUNX1	chr7	114817796	114817806	+	0.000	0.000	Merged-chr7-114817676-52
NR8860--MA0684.1.RUNX3	chr6	136493692	136493701	-	0.000	0.000	Merged-chr6-136493676-34
NR4851--MA0511.2.RUNX2	chr17	88654036	88654044	-	0.000	0.000	Merged-chr17-88654141-3
NR10937--MA0684.1.RUNX3	chrX	101767451	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR756--MA0002.2.RUNX1	chr1	186676260	186676270	+	0.000	0.000	Merged-chr1-186676331-13
NR10789--MA0002.2.RUNX1	chr9	120866893	120866903	+	0.000	0.000	Merged-chr9-120866868-24
NR6432--MA0002.2.RUNX1	chr3	31145910	31145920	+	0.000	0.000	Merged-chr3-31145985-42
NR9637--MA0684.1.RUNX3	chr7	132402776	132402785	-	0.000	0.000	Merged-chr7-132402823-64
NR4481--MA0002.2.RUNX1	chr17	8856635	8856645	-	0.000	0.000	Merged-chr17-8856743-33
NR2744--MA0684.1.RUNX3	chr13	34914837	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR4818--MA0002.2.RUNX1	chr17	84698931	84698941	-	0.000	0.000	Merged-chr17-84698927-25
NR5258--MA0002.2.RUNX1	chr19	12833792	12833802	+	0.000	0.000	Merged-chr19-12833671-54
NR10523--MA0684.1.RUNX3	chr9	84031079	84031088	+	0.000	0.000	Merged-chr9-84030961-27
NR6561--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR7289--MA0511.2.RUNX2	chr4	109505046	109505054	-	0.000	0.000	Merged-chr4-109505092-26
NR2823--MA0511.2.RUNX2	chr13	52874144	52874152	+	0.000	0.000	Merged-chr13-52874286-33
NR4881--MA0684.1.RUNX3	chr18	10742979	10742988	-	0.000	0.000	Merged-chr18-10742937-26
NR2330--MA0684.1.RUNX3	chr12	84933859	84933868	-	0.000	0.000	Merged-chr12-84934066-14
NR5009--MA0511.2.RUNX2	chr18	56888939	56888947	+	0.000	0.000	Merged-chr18-56889017-47
NR9346--MA0002.2.RUNX1	chr7	92420690	92420700	+	0.000	0.000	Merged-chr7-92420666-38
NR10060--MA0511.2.RUNX2	chr8	115222245	115222253	-	0.000	0.000	Merged-chr8-115222208-2
NR2724--MA0002.2.RUNX1	chr13	31902758	31902768	+	0.000	0.000	Merged-chr13-31902870-3
NR10775--MA0684.1.RUNX3	chr9	119823983	119823992	+	0.000	0.000	Merged-chr9-119823942-29
NR7417--MA0511.2.RUNX2	chr4	136266856	136266864	-	0.000	0.000	Merged-chr4-136266898-41
NR6270--MA0002.2.RUNX1	chr2	165408114	165408124	-	0.000	0.000	Merged-chr2-165408039-24
NR5096--MA0002.2.RUNX1	chr18	77121745	77121755	-	0.000	0.000	Merged-chr18-77121790-35
NR10427--MA0684.1.RUNX3	chr9	69023481	69023490	-	0.000	0.000	Merged-chr9-69023585-49
NR9998--MA0684.1.RUNX3	chr8	104790036	104790045	-	0.000	0.000	Merged-chr8-104790118-11
NR7176--MA0684.1.RUNX3	chr4	88003302	88003311	+	0.000	0.000	Merged-chr4-88003423-46
NR8700--MA0511.2.RUNX2	chr6	119848058	119848066	-	0.000	0.000	Merged-chr6-119848153-79
NR5496--MA0684.1.RUNX3	chr19	59344465	59344474	+	0.000	0.000	Merged-chr19-59344493-23
NR7299--MA0002.2.RUNX1	chr4	114172915	114172925	+	0.000	0.000	Merged-chr4-114173056-28
NR3216--MA0684.1.RUNX3	chr14	27384346	27384355	+	0.000	0.000	Merged-chr14-27384235-54
NR5019--MA0002.2.RUNX1	chr18	62267401	62267411	+	0.000	0.000	Merged-chr18-62267467-16
NR7255--MA0511.2.RUNX2	chr4	102918955	102918963	+	0.000	0.000	Merged-chr4-102918925-26
NR3068--MA0002.2.RUNX1	chr13	107523137	107523147	-	0.000	0.000	Merged-chr13-107523216-37
NR8952--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR9392--MA0511.2.RUNX2	chr7	101027881	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR10807--MA0684.1.RUNX3	chr9	122233121	122233130	-	0.000	0.000	Merged-chr9-122233247-97
NR6697--MA0002.2.RUNX1	chr3	108803037	108803047	-	0.000	0.000	Merged-chr3-108803006-6
NR6302--MA0002.2.RUNX1	chr2	169702968	169702978	-	0.000	0.000	Merged-chr2-169702917-20
NR2195--MA0002.2.RUNX1	chr12	40248013	40248023	-	0.000	0.000	Merged-chr12-40248155-5
NR2466--MA0002.2.RUNX1	chr12	111516865	111516875	-	0.000	0.000	Merged-chr12-111516948-28
NR2737--MA0002.2.RUNX1	chr13	33001539	33001549	-	0.000	0.000	Merged-chr13-33001523-50
NR1374--MA0684.1.RUNX3	chr10	117652226	117652235	+	0.000	0.000	Merged-chr10-117652105-48
NR2989--MA0002.2.RUNX1	chr13	95813838	95813848	+	0.000	0.000	Merged-chr13-95813903-46
NR8691--MA0002.2.RUNX1	chr6	118350566	118350576	-	0.000	0.000	Merged-chr6-118350408-25
NR10916--MA0684.1.RUNX3	chrX	77509329	77509338	+	0.000	0.000	Merged-chrX-77509424-59
NR8757--MA0002.2.RUNX1	chr6	125678698	125678708	+	0.000	0.000	Merged-chr6-125678786-19
NR5336--MA0511.2.RUNX2	chr19	32255149	32255157	-	0.000	0.000	Merged-chr19-32255197-53
NR864--MA0684.1.RUNX3	chr10	7667641	7667650	+	0.000	0.000	Merged-chr10-7667535-49
NR8072--MA0002.2.RUNX1	chr5	114826401	114826411	-	0.000	0.000	Merged-chr5-114826460-42
NR1278--MA0684.1.RUNX3	chr10	95283422	95283431	+	0.000	0.000	Merged-chr10-95283638-28
NR6392--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR738--MA0511.2.RUNX2	chr1	184005826	184005834	+	0.000	0.000	Merged-chr1-184005889-70
