#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR6116--MA0039.3.KLF4	chr10	81136447	81136457	-	0.000	0.000	Merged-chr10-81136337-26
NR34145--MA0599.1.KLF5	chr2	128817959	128817968	+	0.000	0.000	Merged-chr2-128818111-117
NR41953--MA0742.1.Klf12	chr4	126556922	126556936	-	0.000	0.000	Merged-chr4-126557087-49
NR48763--MA0599.1.KLF5	chr6	31216812	31216821	+	0.000	0.000	Merged-chr6-31216711-63
NR10256--MA0039.3.KLF4	chr11	88718617	88718627	-	0.000	0.000	Merged-chr11-88718407-109
NR29644--MA0493.1.Klf1	chr19	7019541	7019551	+	0.000	0.000	Merged-chr19-7019404-60
NR54322--MA0599.1.KLF5	chr7	80782369	80782378	-	0.000	0.000	Merged-chr7-80782374-50
NR56917--MA1107.1.KLF9	chr8	13689446	13689458	-	0.000	0.000	Merged-chr8-13689540-1
NR32559--MA0740.1.KLF14	chr2	66123992	66124005	-	0.000	0.000	Merged-chr2-66124207-7
NR10051--MA0493.1.Klf1	chr11	83078265	83078275	-	0.000	0.000	Merged-chr11-83078335-54
NR55873--MA0599.1.KLF5	chr7	127841785	127841794	-	0.000	0.000	Merged-chr7-127841775-106
NR23592--MA1107.1.KLF9	chr16	50732810	50732822	+	0.000	0.000	Merged-chr16-50732607-74
NR3478--MA0741.1.KLF16	chr1	180813686	180813696	+	0.000	0.000	Merged-chr1-180813654-113
NR12794--MA0740.1.KLF14	chr12	55080191	55080204	+	0.000	0.000	Merged-chr12-55080362-72
NR54303--MA1107.1.KLF9	chr7	80450048	80450060	+	0.000	0.000	Merged-chr7-80450087-44
NR12566--MA1107.1.KLF9	chr12	35192532	35192544	+	0.000	0.000	Merged-chr12-35192398-29
NR49741--MA0599.1.KLF5	chr6	83711951	83711960	-	0.000	0.000	Merged-chr6-83711787-1
NR4663--MA0599.1.KLF5	chr10	29313400	29313409	+	0.000	0.000	Merged-chr10-29313390-69
NR58807--MA0740.1.KLF14	chr8	95320969	95320982	+	0.000	0.000	Merged-chr8-95320775-75
NR41031--MA0599.1.KLF5	chr4	88079172	88079181	-	0.000	0.000	Merged-chr4-88079193-33
NR18594--MA0741.1.KLF16	chr14	62873105	62873115	+	0.000	0.000	Merged-chr14-62873140-26
NR36735--MA0039.3.KLF4	chr3	51745354	51745364	+	0.000	0.000	Merged-chr3-51745177-64
NR46336--MA1107.1.KLF9	chr5	114707616	114707628	+	0.000	0.000	Merged-chr5-114707863-50
NR7295--MA0741.1.KLF16	chr10	118419173	118419183	-	0.000	0.000	Merged-chr10-118419236-59
NR31705--MA0740.1.KLF14	chr2	30066343	30066356	+	0.000	0.000	Merged-chr2-30066556-82
NR26316--MA0741.1.KLF16	chr17	47598382	47598392	-	0.000	0.000	Merged-chr17-47598322-32
NR60440--MA0493.1.Klf1	chr9	21526102	21526112	-	0.000	0.000	Merged-chr9-21526182-42
NR36450--MA0599.1.KLF5	chr3	21961301	21961310	-	0.000	0.000	Merged-chr3-21961340-12
NR42179--MA0741.1.KLF16	chr4	131696144	131696154	-	0.000	0.000	Merged-chr4-131696229-22
NR45761--MA0741.1.KLF16	chr5	100570819	100570829	+	0.000	0.000	Merged-chr5-100570837-10
NR32071--MA0039.3.KLF4	chr2	34963519	34963529	-	0.000	0.000	Merged-chr2-34963403-108
NR14817--MA0039.3.KLF4	chr13	20093559	20093569	-	0.000	0.000	Merged-chr13-20093624-50
NR58154--MA0741.1.KLF16	chr8	71676452	71676462	+	0.000	0.000	Merged-chr8-71676436-55
NR45556--MA0741.1.KLF16	chr5	92967513	92967523	+	0.000	0.000	Merged-chr5-92967427-8
NR8557--MA0599.1.KLF5	chr11	46076167	46076176	+	0.000	0.000	Merged-chr11-46076262-41
NR46546--MA0039.3.KLF4	chr5	118465283	118465293	-	0.000	0.000	Merged-chr5-118465239-56
NR478--MA1107.1.KLF9	chr1	40399888	40399900	-	0.000	0.000	Merged-chr1-40399864-38
NR2912--MA1107.1.KLF9	chr1	165843790	165843802	-	0.000	0.000	Merged-chr1-165843722-4
NR22019--MA1107.1.KLF9	chr15	97849598	97849610	-	0.000	0.000	Merged-chr15-97849644-64
NR34042--MA0599.1.KLF5	chr2	127208298	127208307	+	0.000	0.000	Merged-chr2-127208337-53
NR24790--MA0493.1.Klf1	chr17	8165400	8165410	+	0.000	0.000	Merged-chr17-8165441-73
NR6158--MA0599.1.KLF5	chr10	81378514	81378523	+	0.000	0.000	Merged-chr10-81378614-74
NR50638--MA0742.1.Klf12	chr6	116311605	116311619	+	0.000	0.000	Merged-chr6-116311503-1
NR16030--MA1107.1.KLF9	chr13	73604273	73604285	-	0.000	0.000	Merged-chr13-73604203-68
NR33571--MA0740.1.KLF14	chr2	114566923	114566936	+	0.000	0.000	Merged-chr2-114567021-7
NR59533--MA1107.1.KLF9	chr8	117950956	117950968	-	0.000	0.000	Merged-chr8-117950899-2
NR40841--MA0599.1.KLF5	chr4	63399436	63399445	-	0.000	0.000	Merged-chr4-63399469-54
NR38931--MA0741.1.KLF16	chr3	135438128	135438138	+	0.000	0.000	Merged-chr3-135438319-11
NR35593--MA0599.1.KLF5	chr2	167657107	167657116	-	0.000	0.000	Merged-chr2-167656925-59
NR10495--MA0740.1.KLF14	chr11	95713441	95713454	+	0.000	0.000	Merged-chr11-95713249-121
NR59739--MA1107.1.KLF9	chr8	121578893	121578905	+	0.000	0.000	Merged-chr8-121578886-116
NR4784--MA0599.1.KLF5	chr10	39613159	39613168	-	0.000	0.000	Merged-chr10-39613248-57
NR41325--MA0741.1.KLF16	chr4	106870802	106870812	-	0.000	0.000	Merged-chr4-106870736-26
NR31989--MA0741.1.KLF16	chr2	33371151	33371161	+	0.000	0.000	Merged-chr2-33371227-82
NR56611--MA0742.1.Klf12	chr7	142354081	142354095	+	0.000	0.000	Merged-chr7-142354183-49
NR19622--MA1107.1.KLF9	chr14	118930017	118930029	-	0.000	0.000	Merged-chr14-118930023-62
NR55770--MA0599.1.KLF5	chr7	126759593	126759602	-	0.000	0.000	Merged-chr7-126759483-50
NR61544--MA0599.1.KLF5	chr9	65021718	65021727	-	0.000	0.000	Merged-chr9-65021825-98
NR54043--MA0657.1.KLF13	chr7	66210002	66210019	-	0.000	0.000	Merged-chr7-66210167-22
NR58417--MA0493.1.Klf1	chr8	84004810	84004820	-	0.000	0.000	Merged-chr8-84004825-54
NR2210--MA0741.1.KLF16	chr1	136707542	136707552	-	0.000	0.000	Merged-chr1-136707647-26
NR46242--MA1107.1.KLF9	chr5	113772688	113772700	+	0.000	0.000	Merged-chr5-113772716-49
NR7272--MA0657.1.KLF13	chr10	118050239	118050256	+	0.000	0.000	Merged-chr10-118050458-52
NR29798--MA0740.1.KLF14	chr19	10577354	10577367	+	0.000	0.000	Merged-chr19-10577280-70
NR22271--MA0741.1.KLF16	chr15	100747292	100747302	+	0.000	0.000	Merged-chr15-100747446-44
NR21972--MA1107.1.KLF9	chr15	97498441	97498453	-	0.000	0.000	Merged-chr15-97498535-14
NR4417--MA0599.1.KLF5	chr10	17948133	17948142	+	0.000	0.000	Merged-chr10-17948244-7
NR26938--MA1107.1.KLF9	chr17	74159692	74159704	+	0.000	0.000	Merged-chr17-74159677-34
NR50954--MA0657.1.KLF13	chr6	125191788	125191805	-	0.000	0.000	Merged-chr6-125191910-87
NR49834--MA1107.1.KLF9	chr6	86472449	86472461	-	0.000	0.000	Merged-chr6-86472482-99
NR27723--MA0740.1.KLF14	chr18	23803976	23803989	-	0.000	0.000	Merged-chr18-23803965-77
NR33852--MA0599.1.KLF5	chr2	121414492	121414501	+	0.000	0.000	Merged-chr2-121414603-1
NR18765--MA1107.1.KLF9	chr14	70323105	70323117	-	0.000	0.000	Merged-chr14-70322940-12
NR45126--MA0493.1.Klf1	chr5	72184235	72184245	+	0.000	0.000	Merged-chr5-72184279-24
NR622--MA0741.1.KLF16	chr1	52500485	52500495	+	0.000	0.000	Merged-chr1-52500431-96
NR10946--MA1107.1.KLF9	chr11	102295411	102295423	-	0.000	0.000	Merged-chr11-102295518-39
NR61516--MA1107.1.KLF9	chr9	64253637	64253649	+	0.000	0.000	Merged-chr9-64253507-68
NR20657--MA0741.1.KLF16	chr15	64312924	64312934	+	0.000	0.000	Merged-chr15-64312713-123
NR54635--MA0493.1.Klf1	chr7	97480888	97480898	+	0.000	0.000	Merged-chr7-97481047-54
NR10081--MA0740.1.KLF14	chr11	84129670	84129683	+	0.000	0.000	Merged-chr11-84129514-55
NR25199--MA1107.1.KLF9	chr17	24478863	24478875	-	0.000	0.000	Merged-chr17-24479000-72
NR46244--MA0657.1.KLF13	chr5	113772713	113772730	-	0.000	0.000	Merged-chr5-113772716-49
NR25321--MA0599.1.KLF5	chr17	26508549	26508558	-	0.000	0.000	Merged-chr17-26508450-149
NR48638--MA0599.1.KLF5	chr6	28261740	28261749	-	0.000	0.000	Merged-chr6-28261790-122
NR50176--MA0039.3.KLF4	chr6	97294247	97294257	-	0.000	0.000	Merged-chr6-97294114-106
NR62670--MA0740.1.KLF14	chr9	106429378	106429391	-	0.000	0.000	Merged-chr9-106429526-66
NR3345--MA0599.1.KLF5	chr1	178842980	178842989	-	0.000	0.000	Merged-chr1-178842823-1
NR47074--MA0741.1.KLF16	chr5	130079346	130079356	+	0.000	0.000	Merged-chr5-130079464-63
NR52903--MA0493.1.Klf1	chr7	27361547	27361557	+	0.000	0.000	Merged-chr7-27361571-54
NR40052--MA1107.1.KLF9	chr4	32768159	32768171	-	0.000	0.000	Merged-chr4-32768214-30
NR54321--MA1107.1.KLF9	chr7	80779537	80779549	+	0.000	0.000	Merged-chr7-80779458-48
NR50988--MA0599.1.KLF5	chr6	125367971	125367980	+	0.000	0.000	Merged-chr6-125368027-32
NR55809--MA0039.3.KLF4	chr7	127091399	127091409	+	0.000	0.000	Merged-chr7-127091307-65
NR58263--MA0741.1.KLF16	chr8	75084106	75084116	-	0.000	0.000	Merged-chr8-75083999-30
NR18690--MA0599.1.KLF5	chr14	67911777	67911786	-	0.000	0.000	Merged-chr14-67911920-26
NR49965--MA0599.1.KLF5	chr6	90349928	90349937	+	0.000	0.000	Merged-chr6-90349833-1
NR19075--MA0742.1.Klf12	chr14	79587564	79587578	+	0.000	0.000	Merged-chr14-79587561-73
NR874--MA0741.1.KLF16	chr1	64121728	64121738	-	0.000	0.000	Merged-chr1-64121787-120
NR17644--MA0741.1.KLF16	chr14	21832223	21832233	-	0.000	0.000	Merged-chr14-21832195-1
NR25880--MA0493.1.Klf1	chr17	34912330	34912340	-	0.000	0.000	Merged-chr17-34912198-43
NR52814--MA0599.1.KLF5	chr7	25659020	25659029	+	0.000	0.000	Merged-chr7-25659026-65
NR12041--MA0657.1.KLF13	chr11	121388361	121388378	+	0.000	0.000	Merged-chr11-121388378-24
NR15622--MA0599.1.KLF5	chr13	56151990	56151999	+	0.000	0.000	Merged-chr13-56151940-72
NR15693--MA0741.1.KLF16	chr13	58067716	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR5927--MA0742.1.Klf12	chr10	80226581	80226595	-	0.000	0.000	Merged-chr10-80226667-64
NR40487--MA0493.1.Klf1	chr4	46411764	46411774	-	0.000	0.000	Merged-chr4-46411765-13
NR30229--MA0599.1.KLF5	chr19	37175144	37175153	-	0.000	0.000	Merged-chr19-37175347-2
NR41434--MA0741.1.KLF16	chr4	109123019	109123029	+	0.000	0.000	Merged-chr4-109123040-18
NR3976--MA0742.1.Klf12	chr1	192092600	192092614	-	0.000	0.000	Merged-chr1-192092599-105
NR49946--MA1107.1.KLF9	chr6	89298212	89298224	+	0.000	0.000	Merged-chr6-89298172-2
NR25219--MA0740.1.KLF14	chr17	24686780	24686793	+	0.000	0.000	Merged-chr17-24686693-5
NR28357--MA0741.1.KLF16	chr18	60059216	60059226	+	0.000	0.000	Merged-chr18-60059257-14
NR6616--MA0741.1.KLF16	chr10	95357801	95357811	-	0.000	0.000	Merged-chr10-95357903-8
NR26882--MA0741.1.KLF16	chr17	72836340	72836350	-	0.000	0.000	Merged-chr17-72836512-10
NR56860--MA0599.1.KLF5	chr8	11635915	11635924	-	0.000	0.000	Merged-chr8-11635696-171
NR44664--MA0740.1.KLF14	chr5	43802956	43802969	-	0.000	0.000	Merged-chr5-43802965-6
NR40192--MA0599.1.KLF5	chr4	41179952	41179961	-	0.000	0.000	Merged-chr4-41180008-12
NR42787--MA1107.1.KLF9	chr4	138464118	138464130	-	0.000	0.000	Merged-chr4-138464044-32
NR10843--MA1107.1.KLF9	chr11	100770998	100771010	-	0.000	0.000	Merged-chr11-100770914-54
NR58215--MA1107.1.KLF9	chr8	72400468	72400480	+	0.000	0.000	Merged-chr8-72400536-10
NR34140--MA0493.1.Klf1	chr2	128698299	128698309	-	0.000	0.000	Merged-chr2-128698451-42
NR2985--MA0741.1.KLF16	chr1	167339587	167339597	-	0.000	0.000	Merged-chr1-167339598-12
NR23392--MA0599.1.KLF5	chr16	38088930	38088939	-	0.000	0.000	Merged-chr16-38089125-126
NR29068--MA0741.1.KLF16	chr18	80224434	80224444	+	0.000	0.000	Merged-chr18-80224575-23
NR42572--MA1107.1.KLF9	chr4	135285922	135285934	+	0.000	0.000	Merged-chr4-135285942-7
NR37595--MA0741.1.KLF16	chr3	95434385	95434395	-	0.000	0.000	Merged-chr3-95434415-68
NR16263--MA1107.1.KLF9	chr13	89530843	89530855	-	0.000	0.000	Merged-chr13-89530741-23
NR32382--MA0741.1.KLF16	chr2	57117672	57117682	+	0.000	0.000	Merged-chr2-57117653-11
NR6041--MA0493.1.Klf1	chr10	80622382	80622392	+	0.000	0.000	Merged-chr10-80622471-84
NR52884--MA0742.1.Klf12	chr7	27258714	27258728	-	0.000	0.000	Merged-chr7-27258672-61
NR52392--MA1107.1.KLF9	chr7	16001849	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR61353--MA0740.1.KLF14	chr9	58253241	58253254	-	0.000	0.000	Merged-chr9-58253274-50
NR22704--MA1107.1.KLF9	chr16	11286155	11286167	-	0.000	0.000	Merged-chr16-11286053-13
NR20766--MA0741.1.KLF16	chr15	73090808	73090818	+	0.000	0.000	Merged-chr15-73090684-68
NR11821--MA1107.1.KLF9	chr11	119047574	119047586	+	0.000	0.000	Merged-chr11-119047449-6
NR1058--MA0599.1.KLF5	chr1	75213253	75213262	-	0.000	0.000	Merged-chr1-75213327-22
NR15550--MA0741.1.KLF16	chr13	54694188	54694198	+	0.000	0.000	Merged-chr13-54694129-87
NR44842--MA0493.1.Klf1	chr5	62756273	62756283	+	0.000	0.000	Merged-chr5-62756252-19
NR38421--MA0741.1.KLF16	chr3	121370597	121370607	-	0.000	0.000	Merged-chr3-121370505-2
NR5037--MA0742.1.Klf12	chr10	59702494	59702508	+	0.000	0.000	Merged-chr10-59702548-66
NR13773--MA0493.1.Klf1	chr12	100986999	100987009	-	0.000	0.000	Merged-chr12-100986861-13
NR63603--MA0599.1.KLF5	chr9	121108391	121108400	-	0.000	0.000	Merged-chr9-121108245-10
NR9759--MA0599.1.KLF5	chr11	77607870	77607879	+	0.000	0.000	Merged-chr11-77607706-105
NR14737--MA1107.1.KLF9	chr13	13559188	13559200	-	0.000	0.000	Merged-chr13-13559096-31
NR28214--MA0741.1.KLF16	chr18	46917803	46917813	-	0.000	0.000	Merged-chr18-46917814-10
NR10527--MA0740.1.KLF14	chr11	97104220	97104233	+	0.000	0.000	Merged-chr11-97104187-33
NR31652--MA0740.1.KLF14	chr2	28533657	28533670	-	0.000	0.000	Merged-chr2-28533447-53
NR7215--MA0039.3.KLF4	chr10	117627738	117627748	+	0.000	0.000	Merged-chr10-117627744-48
NR46803--MA0599.1.KLF5	chr5	123683474	123683483	+	0.000	0.000	Merged-chr5-123683382-5
NR13665--MA0741.1.KLF16	chr12	98677287	98677297	-	0.000	0.000	Merged-chr12-98677424-35
NR49134--MA0741.1.KLF16	chr6	50110138	50110148	-	0.000	0.000	Merged-chr6-50110247-81
NR52399--MA0741.1.KLF16	chr7	16046168	16046178	-	0.000	0.000	Merged-chr7-16046015-1
NR37181--MA0741.1.KLF16	chr3	84337862	84337872	-	0.000	0.000	Merged-chr3-84337779-55
NR29666--MA1107.1.KLF9	chr19	7375018	7375030	+	0.000	0.000	Merged-chr19-7375131-8
NR61749--MA1107.1.KLF9	chr9	70542741	70542753	-	0.000	0.000	Merged-chr9-70542837-79
NR47463--MA0599.1.KLF5	chr5	137294490	137294499	-	0.000	0.000	Merged-chr5-137294401-73
NR54868--MA0493.1.Klf1	chr7	102100316	102100326	+	0.000	0.000	Merged-chr7-102100187-36
NR14065--MA0039.3.KLF4	chr12	107961263	107961273	+	0.000	0.000	Merged-chr12-107961222-28
NR5771--MA0599.1.KLF5	chr10	79664263	79664272	-	0.000	0.000	Merged-chr10-79664211-17
NR15715--MA1107.1.KLF9	chr13	58158310	58158322	-	0.000	0.000	Merged-chr13-58158134-148
NR27052--MA1107.1.KLF9	chr17	80091954	80091966	-	0.000	0.000	Merged-chr17-80091984-12
NR22698--MA0741.1.KLF16	chr16	11174841	11174851	+	0.000	0.000	Merged-chr16-11174885-27
NR48736--MA0493.1.Klf1	chr6	30509824	30509834	-	0.000	0.000	Merged-chr6-30509699-52
NR18425--MA1107.1.KLF9	chr14	57826338	57826350	+	0.000	0.000	Merged-chr14-57826371-66
NR37853--MA0493.1.Klf1	chr3	101588958	101588968	+	0.000	0.000	Merged-chr3-101588946-10
NR800--MA0039.3.KLF4	chr1	60361804	60361814	-	0.000	0.000	Merged-chr1-60361642-24
NR49386--MA0039.3.KLF4	chr6	59412137	59412147	-	0.000	0.000	Merged-chr6-59411943-3
NR28671--MA0741.1.KLF16	chr18	67933227	67933237	-	0.000	0.000	Merged-chr18-67933315-136
NR6454--MA0741.1.KLF16	chr10	89747866	89747876	+	0.000	0.000	Merged-chr10-89747839-80
NR41352--MA0039.3.KLF4	chr4	107314355	107314365	+	0.000	0.000	Merged-chr4-107314290-66
NR20221--MA0599.1.KLF5	chr15	36792662	36792671	-	0.000	0.000	Merged-chr15-36792702-8
NR18161--MA0740.1.KLF14	chr14	52023248	52023261	+	0.000	0.000	Merged-chr14-52023136-61
NR26881--MA0599.1.KLF5	chr17	72836332	72836341	-	0.000	0.000	Merged-chr17-72836512-10
NR34153--MA1107.1.KLF9	chr2	128878966	128878978	+	0.000	0.000	Merged-chr2-128879047-18
NR47040--MA0741.1.KLF16	chr5	129715475	129715485	-	0.000	0.000	Merged-chr5-129715582-48
NR57166--MA0740.1.KLF14	chr8	27177328	27177341	+	0.000	0.000	Merged-chr8-27177254-18
NR31727--MA0657.1.KLF13	chr2	30178511	30178528	-	0.000	0.000	Merged-chr2-30178500-45
NR17353--MA1107.1.KLF9	chr13	119616997	119617009	-	0.000	0.000	Merged-chr13-119616717-94
NR6054--MA1107.1.KLF9	chr10	80656516	80656528	-	0.000	0.000	Merged-chr10-80656566-55
NR57255--MA1107.1.KLF9	chr8	34539961	34539973	+	0.000	0.000	Merged-chr8-34540020-11
NR31868--MA0742.1.Klf12	chr2	32164752	32164766	-	0.000	0.000	Merged-chr2-32164725-10
NR58467--MA0599.1.KLF5	chr8	84660093	84660102	+	0.000	0.000	Merged-chr8-84660054-45
NR55904--MA0741.1.KLF16	chr7	128166499	128166509	+	0.000	0.000	Merged-chr7-128166555-30
NR7302--MA0742.1.Klf12	chr10	118461462	118461476	-	0.000	0.000	Merged-chr10-118461532-37
NR29439--MA0599.1.KLF5	chr19	4283133	4283142	-	0.000	0.000	Merged-chr19-4283203-50
NR27222--MA0657.1.KLF13	chr17	84008554	84008571	+	0.000	0.000	Merged-chr17-84008510-14
NR33909--MA0039.3.KLF4	chr2	122356298	122356308	-	0.000	0.000	Merged-chr2-122356412-11
NR50639--MA0599.1.KLF5	chr6	116311606	116311615	+	0.000	0.000	Merged-chr6-116311503-1
NR50978--MA1107.1.KLF9	chr6	125339477	125339489	-	0.000	0.000	Merged-chr6-125339380-7
NR36629--MA0493.1.Klf1	chr3	37761017	37761027	-	0.000	0.000	Merged-chr3-37761034-43
NR32627--MA1107.1.KLF9	chr2	69823056	69823068	+	0.000	0.000	Merged-chr2-69822959-36
NR56615--MA0741.1.KLF16	chr7	142354082	142354092	+	0.000	0.000	Merged-chr7-142354183-49
NR33081--MA1107.1.KLF9	chr2	84779333	84779345	-	0.000	0.000	Merged-chr2-84779489-49
NR6040--MA0741.1.KLF16	chr10	80622339	80622349	+	0.000	0.000	Merged-chr10-80622471-84
NR54393--MA0741.1.KLF16	chr7	82866991	82867001	-	0.000	0.000	Merged-chr7-82866836-179
NR41400--MA0741.1.KLF16	chr4	108371565	108371575	-	0.000	0.000	Merged-chr4-108371608-19
NR1049--MA0741.1.KLF16	chr1	75168735	75168745	-	0.000	0.000	Merged-chr1-75168775-61
NR48825--MA0742.1.Klf12	chr6	35177698	35177712	-	0.000	0.000	Merged-chr6-35177687-66
NR56520--MA0599.1.KLF5	chr7	141131224	141131233	+	0.000	0.000	Merged-chr7-141131331-51
NR37955--MA0039.3.KLF4	chr3	104466633	104466643	+	0.000	0.000	Merged-chr3-104466607-13
NR8315--MA0493.1.Klf1	chr11	26387477	26387487	-	0.000	0.000	Merged-chr11-26387349-56
NR13774--MA0741.1.KLF16	chr12	100986998	100987008	-	0.000	0.000	Merged-chr12-100986861-13
NR4631--MA0741.1.KLF16	chr10	26375344	26375354	+	0.000	0.000	Merged-chr10-26375400-153
NR37750--MA0493.1.Klf1	chr3	97868351	97868361	+	0.000	0.000	Merged-chr3-97868197-43
NR20618--MA0039.3.KLF4	chr15	62375944	62375954	+	0.000	0.000	Merged-chr15-62375735-6
NR18955--MA0740.1.KLF14	chr14	75131075	75131088	+	0.000	0.000	Merged-chr14-75131133-67
NR31564--MA1107.1.KLF9	chr2	26312942	26312954	+	0.000	0.000	Merged-chr2-26313010-11
NR13213--MA1107.1.KLF9	chr12	79190962	79190974	+	0.000	0.000	Merged-chr12-79191040-14
NR32631--MA0039.3.KLF4	chr2	69885626	69885636	+	0.000	0.000	Merged-chr2-69885628-51
NR20548--MA0599.1.KLF5	chr15	59648201	59648210	+	0.000	0.000	Merged-chr15-59648235-82
NR1832--MA0493.1.Klf1	chr1	126571674	126571684	-	0.000	0.000	Merged-chr1-126571804-7
NR55733--MA0039.3.KLF4	chr7	126330143	126330153	-	0.000	0.000	Merged-chr7-126330286-32
NR41394--MA0599.1.KLF5	chr4	108301185	108301194	+	0.000	0.000	Merged-chr4-108301084-77
NR16827--MA0657.1.KLF13	chr13	107940491	107940508	+	0.000	0.000	Merged-chr13-107940409-34
NR8902--MA0599.1.KLF5	chr11	55098062	55098071	-	0.000	0.000	Merged-chr11-55097968-86
NR35676--MA0741.1.KLF16	chr2	168590393	168590403	-	0.000	0.000	Merged-chr2-168590247-214
NR61786--MA0599.1.KLF5	chr9	71485591	71485600	-	0.000	0.000	Merged-chr9-71485766-75
