#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1307--MA0508.2.PRDM1	chr3	55494380	55494389	-	0.000	0.000	Merged-chr3-55494225-1
NR2191--MA0508.2.PRDM1	chrX	166304565	166304574	+	0.000	0.000	Merged-chrX-166304686-40
NR669--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR1288--MA0508.2.PRDM1	chr3	19240100	19240109	-	0.000	0.000	Merged-chr3-19240113-21
NR255--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR526--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR1145--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR983--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR112--MA0508.2.PRDM1	chr1	161976357	161976366	-	0.000	0.000	Merged-chr1-161976505-45
NR34--MA0508.2.PRDM1	chr1	87607076	87607085	+	0.000	0.000	Merged-chr1-87606987-2
NR364--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR473--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR1429--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR330--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR234--MA0508.2.PRDM1	chr10	68239161	68239170	+	0.000	0.000	Merged-chr10-68239369-73
NR343--MA0508.2.PRDM1	chr11	63908573	63908582	-	0.000	0.000	Merged-chr11-63908633-20
NR1028--MA0508.2.PRDM1	chr19	7217751	7217760	+	0.000	0.000	Merged-chr19-7217648-56
NR181--MA0508.2.PRDM1	chr10	13869705	13869714	-	0.000	0.000	Merged-chr10-13869879-21
NR518--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR26--MA0508.2.PRDM1	chr1	80746397	80746406	+	0.000	0.000	Merged-chr1-80746602-112
NR356--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR879--MA0508.2.PRDM1	chr17	15816635	15816644	+	0.000	0.000	Merged-chr17-15816733-57
NR117--MA0508.2.PRDM1	chr1	163411951	163411960	-	0.000	0.000	Merged-chr1-163411894-2
NR369--MA0508.2.PRDM1	chr11	84880156	84880165	+	0.000	0.000	Merged-chr11-84880218-87
NR160--MA0508.2.PRDM1	chr1	191609756	191609765	-	0.000	0.000	Merged-chr1-191609738-30
NR226--MA0508.2.PRDM1	chr10	60156147	60156156	-	0.000	0.000	Merged-chr10-60156095-8
NR478--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR173--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR1810--MA0508.2.PRDM1	chr6	131418737	131418746	+	0.000	0.000	Merged-chr6-131418903-28
NR391--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR728--MA0508.2.PRDM1	chr15	25865855	25865864	-	0.000	0.000	Merged-chr15-25865817-16
NR274--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR383--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR449--MA0508.2.PRDM1	chr12	79522671	79522680	+	0.000	0.000	Merged-chr12-79522633-19
NR2146--MA0508.2.PRDM1	chr9	116270599	116270608	+	0.000	0.000	Merged-chr9-116270494-11
NR829--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR1892--MA0508.2.PRDM1	chr7	84447254	84447263	+	0.000	0.000	Merged-chr7-84447267-19
NR2003--MA0508.2.PRDM1	chr8	72319112	72319121	+	0.000	0.000	Merged-chr8-72319128-64
NR2093--MA0508.2.PRDM1	chr9	64179231	64179240	-	0.000	0.000	Merged-chr9-64179300-60
NR2016--MA0508.2.PRDM1	chr8	83741267	83741276	-	0.000	0.000	Merged-chr8-83741278-35
NR157--MA0508.2.PRDM1	chr1	191422299	191422308	+	0.000	0.000	Merged-chr1-191422042-56
NR428--MA0508.2.PRDM1	chr12	35686447	35686456	+	0.000	0.000	Merged-chr12-35686484-17
NR808--MA0508.2.PRDM1	chr16	27350333	27350342	-	0.000	0.000	Merged-chr16-27350365-12
NR2072--MA0508.2.PRDM1	chr9	44772236	44772245	+	0.000	0.000	Merged-chr9-44772185-16
NR279--MA0508.2.PRDM1	chr10	112002391	112002400	+	0.000	0.000	Merged-chr10-112002529-89
NR1884--MA0508.2.PRDM1	chr7	75910532	75910541	-	0.000	0.000	Merged-chr7-75910458-70
NR1850--MA0508.2.PRDM1	chr7	16001783	16001792	-	0.000	0.000	Merged-chr7-16001989-41
NR2085--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR2051--MA0508.2.PRDM1	chr8	128549957	128549966	-	0.000	0.000	Merged-chr8-128549994-56
NR476--MA0508.2.PRDM1	chr12	102877476	102877485	-	0.000	0.000	Merged-chr12-102877557-6
NR1191--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR2173--MA0508.2.PRDM1	chrX	101429573	101429582	+	0.000	0.000	Merged-chrX-101429503-77
NR1985--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR489--MA0508.2.PRDM1	chr12	112823444	112823453	-	0.000	0.000	Merged-chr12-112823453-38
NR2186--MA0508.2.PRDM1	chrX	159199744	159199753	-	0.000	0.000	Merged-chrX-159199808-53
NR1964--MA0508.2.PRDM1	chr7	141096796	141096805	+	0.000	0.000	Merged-chr7-141096826-78
NR216--MA0508.2.PRDM1	chr10	45019757	45019766	-	0.000	0.000	Merged-chr10-45019614-3
NR1550--MA0508.2.PRDM1	chr4	134058418	134058427	-	0.000	0.000	Merged-chr4-134058654-63
NR1821--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR1202--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR2165--MA0508.2.PRDM1	chrX	57196547	57196556	-	0.000	0.000	Merged-chrX-57196423-53
NR1040--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR1311--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR72--MA0508.2.PRDM1	chr1	133661418	133661427	-	0.000	0.000	Merged-chr1-133661318-54
NR2069--MA0508.2.PRDM1	chr9	42418647	42418656	+	0.000	0.000	Merged-chr9-42418757-6
NR910--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR1324--MA0508.2.PRDM1	chr3	71564229	71564238	+	0.000	0.000	Merged-chr3-71564100-40
NR176--MA0508.2.PRDM1	chr10	8056067	8056076	+	0.000	0.000	Merged-chr10-8056065-1
NR1162--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR2144--MA0508.2.PRDM1	chr9	113917083	113917092	+	0.000	0.000	Merged-chr9-113917131-18
NR1969--MA0508.2.PRDM1	chr7	143626374	143626383	+	0.000	0.000	Merged-chr7-143626402-10
NR1935--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR902--MA0508.2.PRDM1	chr17	36205666	36205675	-	0.000	0.000	Merged-chr17-36205720-56
NR1250--MA0508.2.PRDM1	chr2	152790942	152790951	+	0.000	0.000	Merged-chr2-152791058-14
NR1154--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1534--MA0508.2.PRDM1	chr4	124646749	124646758	-	0.000	0.000	Merged-chr4-124646724-23
NR1709--MA0508.2.PRDM1	chr6	37046634	37046643	-	0.000	0.000	Merged-chr6-37046555-33
NR1895--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR1404--MA0508.2.PRDM1	chr3	139033227	139033236	+	0.000	0.000	Merged-chr3-139033383-15
NR1656--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR1927--MA0508.2.PRDM1	chr7	119842263	119842272	-	0.000	0.000	Merged-chr7-119842164-15
NR1494--MA0508.2.PRDM1	chr4	83328130	83328139	-	0.000	0.000	Merged-chr4-83328065-107
NR1146--MA0508.2.PRDM1	chr2	72365348	72365357	+	0.000	0.000	Merged-chr2-72365558-19
NR1874--MA0508.2.PRDM1	chr7	64228656	64228665	+	0.000	0.000	Merged-chr7-64228536-6
NR1003--MA0508.2.PRDM1	chr18	80496025	80496034	-	0.000	0.000	Merged-chr18-80495918-16
NR35--MA0508.2.PRDM1	chr1	88008529	88008538	-	0.000	0.000	Merged-chr1-88008403-52
NR1112--MA0508.2.PRDM1	chr2	35256226	35256235	+	0.000	0.000	Merged-chr2-35256428-53
NR1093--MA0508.2.PRDM1	chr2	16568488	16568497	-	0.000	0.000	Merged-chr2-16568402-24
NR1364--MA0508.2.PRDM1	chr3	116630459	116630468	+	0.000	0.000	Merged-chr3-116630474-26
NR1906--MA0508.2.PRDM1	chr7	100449015	100449024	+	0.000	0.000	Merged-chr7-100449076-60
NR602--MA0508.2.PRDM1	chr13	108881784	108881793	-	0.000	0.000	Merged-chr13-108882066-39
NR1330--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR2088--MA0508.2.PRDM1	chr9	62349320	62349329	+	0.000	0.000	Merged-chr9-62349502-36
NR1614--MA0508.2.PRDM1	chr5	53994860	53994869	+	0.000	0.000	Merged-chr5-53994753-10
NR1866--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR27--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR833--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1452--MA0508.2.PRDM1	chr4	6925089	6925098	+	0.000	0.000	Merged-chr4-6924913-49
NR1518--MA0508.2.PRDM1	chr4	101194281	101194290	-	0.000	0.000	Merged-chr4-101194365-30
NR1194--MA0508.2.PRDM1	chr2	119477616	119477625	+	0.000	0.000	Merged-chr2-119477609-138
NR1051--MA0508.2.PRDM1	chr19	32186694	32186703	+	0.000	0.000	Merged-chr19-32186788-54
NR1322--MA0508.2.PRDM1	chr3	69005934	69005943	+	0.000	0.000	Merged-chr3-69006115-39
NR83--MA0508.2.PRDM1	chr1	143916321	143916330	+	0.000	0.000	Merged-chr1-143916234-1
NR1098--MA0508.2.PRDM1	chr2	18765756	18765765	-	0.000	0.000	Merged-chr2-18765910-35
NR1226--MA0508.2.PRDM1	chr2	144343268	144343277	-	0.000	0.000	Merged-chr2-144343268-23
NR1749--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR1606--MA0508.2.PRDM1	chr5	36538824	36538833	+	0.000	0.000	Merged-chr5-36538864-43
NR554--MA0508.2.PRDM1	chr13	67500479	67500488	+	0.000	0.000	Merged-chr13-67500378-53
NR1967--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR392--MA0508.2.PRDM1	chr11	101552366	101552375	-	0.000	0.000	Merged-chr11-101552447-130
NR934--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR1205--MA0508.2.PRDM1	chr2	128477568	128477577	-	0.000	0.000	Merged-chr2-128477483-12
NR772--MA0508.2.PRDM1	chr15	98089514	98089523	-	0.000	0.000	Merged-chr15-98089657-55
NR1728--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR424--MA0508.2.PRDM1	chr12	32009520	32009529	+	0.000	0.000	Merged-chr12-32009552-2
NR1295--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR1837--MA0508.2.PRDM1	chr6	146530553	146530562	+	0.000	0.000	Merged-chr6-146530581-26
NR262--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR990--MA0508.2.PRDM1	chr18	70598098	70598107	+	0.000	0.000	Merged-chr18-70597990-21
NR1675--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1199--MA0508.2.PRDM1	chr2	122361493	122361502	+	0.000	0.000	Merged-chr2-122361363-21
NR384--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR2100--MA0508.2.PRDM1	chr9	74142094	74142103	-	0.000	0.000	Merged-chr9-74142084-19
NR764--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR873--MA0508.2.PRDM1	chr17	8195750	8195759	+	0.000	0.000	Merged-chr17-8195901-46
NR1558--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR8--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR730--MA0508.2.PRDM1	chr15	31117626	31117635	-	0.000	0.000	Merged-chr15-31117559-26
NR220--MA0508.2.PRDM1	chr10	50699021	50699030	+	0.000	0.000	Merged-chr10-50699136-24
NR995--MA0508.2.PRDM1	chr18	74880281	74880290	-	0.000	0.000	Merged-chr18-74880525-86
NR600--MA0508.2.PRDM1	chr13	108426961	108426970	+	0.000	0.000	Merged-chr13-108426890-1
NR124--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR1537--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR961--MA0508.2.PRDM1	chr18	39250832	39250841	-	0.000	0.000	Merged-chr18-39250948-35
NR1279--MA0508.2.PRDM1	chr2	181581085	181581094	+	0.000	0.000	Merged-chr2-181581172-2
NR180--MA0508.2.PRDM1	chr10	12851222	12851231	+	0.000	0.000	Merged-chr10-12851139-23
NR517--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR1659--MA0508.2.PRDM1	chr5	115347840	115347849	-	0.000	0.000	Merged-chr5-115347790-23
NR1245--MA0508.2.PRDM1	chr2	150915342	150915351	-	0.000	0.000	Merged-chr2-150915256-26
NR1149--MA0508.2.PRDM1	chr2	75685510	75685519	-	0.000	0.000	Merged-chr2-75685689-38
NR1006--MA0508.2.PRDM1	chr18	82537331	82537340	-	0.000	0.000	Merged-chr18-82537240-31
NR38--MA0508.2.PRDM1	chr1	88655122	88655131	-	0.000	0.000	Merged-chr1-88655113-58
NR701--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR1115--MA0508.2.PRDM1	chr2	38536568	38536577	+	0.000	0.000	Merged-chr2-38536477-82
NR334--MA0508.2.PRDM1	chr11	51636452	51636461	-	0.000	0.000	Merged-chr11-51636554-3
NR791--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR443--MA0508.2.PRDM1	chr12	77074625	77074634	-	0.000	0.000	Merged-chr12-77074794-6
NR300--MA0508.2.PRDM1	chr10	128232264	128232273	+	0.000	0.000	Merged-chr10-128232191-128
NR966--MA0508.2.PRDM1	chr18	47154462	47154471	-	0.000	0.000	Merged-chr18-47154331-12
NR552--MA0508.2.PRDM1	chr13	63886566	63886575	+	0.000	0.000	Merged-chr13-63886405-114
NR823--MA0508.2.PRDM1	chr16	44999804	44999813	+	0.000	0.000	Merged-chr16-44999747-49
NR661--MA0508.2.PRDM1	chr14	56314825	56314834	-	0.000	0.000	Merged-chr14-56314681-19
NR727--MA0508.2.PRDM1	chr15	12856971	12856980	-	0.000	0.000	Merged-chr15-12856981-25
NR979--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR422--MA0508.2.PRDM1	chr12	28699887	28699896	+	0.000	0.000	Merged-chr12-28699931-23
NR1107--MA0508.2.PRDM1	chr2	32361847	32361856	-	0.000	0.000	Merged-chr2-32361718-27
NR1359--MA0508.2.PRDM1	chr3	103130641	103130650	-	0.000	0.000	Merged-chr3-103130521-29
NR326--MA0508.2.PRDM1	chr11	46308006	46308015	-	0.000	0.000	Merged-chr11-46308256-89
NR849--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR706--MA0508.2.PRDM1	chr14	111681602	111681611	+	0.000	0.000	Merged-chr14-111681560-22
NR796--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR99--MA0508.2.PRDM1	chr1	155040530	155040539	-	0.000	0.000	Merged-chr1-155040391-76
NR666--MA0508.2.PRDM1	chr14	61339788	61339797	-	0.000	0.000	Merged-chr14-61339598-17
NR318--MA0508.2.PRDM1	chr11	26601861	26601870	+	0.000	0.000	Merged-chr11-26601843-16
NR1208--MA0508.2.PRDM1	chr2	132643448	132643457	+	0.000	0.000	Merged-chr2-132643452-47
NR807--MA0508.2.PRDM1	chr16	27349519	27349528	-	0.000	0.000	Merged-chr16-27349554-54
NR1870--MA0508.2.PRDM1	chr7	49462669	49462678	+	0.000	0.000	Merged-chr7-49462687-57
NR916--MA0508.2.PRDM1	chr17	56269294	56269303	-	0.000	0.000	Merged-chr17-56269390-41
NR1059--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR231--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR897--MA0508.2.PRDM1	chr17	33358908	33358917	-	0.000	0.000	Merged-chr17-33358776-57
NR406--MA0508.2.PRDM1	chr11	121064228	121064237	-	0.000	0.000	Merged-chr11-121064322-30
NR2084--MA0508.2.PRDM1	chr9	61332385	61332394	+	0.000	0.000	Merged-chr9-61332388-31
NR496--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR257--MA0508.2.PRDM1	chr10	94545658	94545667	-	0.000	0.000	Merged-chr10-94545691-55
NR1862--MA0508.2.PRDM1	chr7	42490994	42491003	+	0.000	0.000	Merged-chr7-42490994-43
NR223--MA0508.2.PRDM1	chr10	53596852	53596861	-	0.000	0.000	Merged-chr10-53596886-150
NR889--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR2063--MA0508.2.PRDM1	chr9	35475658	35475667	-	0.000	0.000	Merged-chr9-35475679-27
NR507--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR345--MA0508.2.PRDM1	chr11	68545973	68545982	-	0.000	0.000	Merged-chr11-68546136-23
NR616--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR183--MA0508.2.PRDM1	chr10	14086298	14086307	-	0.000	0.000	Merged-chr10-14086090-94
NR1711--MA0508.2.PRDM1	chr6	38360194	38360203	-	0.000	0.000	Merged-chr6-38360325-47
NR358--MA0508.2.PRDM1	chr11	79207920	79207929	+	0.000	0.000	Merged-chr11-79207824-18
NR1724--MA0508.2.PRDM1	chr6	57529550	57529559	+	0.000	0.000	Merged-chr6-57529378-24
NR576--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR1310--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR1291--MA0508.2.PRDM1	chr3	22041037	22041046	-	0.000	0.000	Merged-chr3-22040885-32
NR1562--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR2068--MA0508.2.PRDM1	chr9	40997273	40997282	+	0.000	0.000	Merged-chr9-40997373-39
NR207--MA0508.2.PRDM1	chr10	39469525	39469534	-	0.000	0.000	Merged-chr10-39469542-68
NR188--MA0508.2.PRDM1	chr10	17565429	17565438	+	0.000	0.000	Merged-chr10-17565414-37
NR1031--MA0508.2.PRDM1	chr19	10747842	10747851	+	0.000	0.000	Merged-chr19-10747819-69
NR1554--MA0508.2.PRDM1	chr4	135198180	135198189	+	0.000	0.000	Merged-chr4-135197991-22
NR2169--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR1520--MA0508.2.PRDM1	chr4	103123116	103123125	-	0.000	0.000	Merged-chr4-103123254-34
NR42--MA0508.2.PRDM1	chr1	91086489	91086498	-	0.000	0.000	Merged-chr1-91086368-53
NR2039--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR1708--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1751--MA0508.2.PRDM1	chr6	97235377	97235386	-	0.000	0.000	Merged-chr6-97235343-20
NR1655--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR1926--MA0508.2.PRDM1	chr7	118277643	118277652	+	0.000	0.000	Merged-chr7-118277428-74
NR2095--MA0508.2.PRDM1	chr9	69320033	69320042	+	0.000	0.000	Merged-chr9-69320084-71
NR159--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1493--MA0508.2.PRDM1	chr4	83315375	83315384	+	0.000	0.000	Merged-chr4-83315362-155
NR1350--MA0508.2.PRDM1	chr3	96764769	96764778	+	0.000	0.000	Merged-chr3-96764776-19
NR2127--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR1111--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR1538--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1485--MA0508.2.PRDM1	chr4	63639076	63639085	-	0.000	0.000	Merged-chr4-63639054-20
NR1246--MA0508.2.PRDM1	chr2	150915348	150915357	-	0.000	0.000	Merged-chr2-150915256-26
NR1464--MA0508.2.PRDM1	chr4	40823900	40823909	+	0.000	0.000	Merged-chr4-40823922-38
NR1050--MA0508.2.PRDM1	chr19	32172665	32172674	+	0.000	0.000	Merged-chr19-32172725-56
NR1225--MA0508.2.PRDM1	chr2	144300206	144300215	-	0.000	0.000	Merged-chr2-144300316-30
NR1509--MA0508.2.PRDM1	chr4	92942503	92942512	-	0.000	0.000	Merged-chr4-92942379-25
