#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR44380--MA0740.1.KLF14	chr3	146812929	146812942	+	0.000	0.000	Merged-chr3-146812896-87
NR60669--MA0599.1.KLF5	chr7	98309544	98309553	-	0.000	0.000	Merged-chr7-98309453-63
NR26664--MA0741.1.KLF16	chr16	45389924	45389934	+	0.000	0.000	Merged-chr16-45389886-49
NR68273--MA0599.1.KLF5	chr9	119579109	119579118	+	0.000	0.000	Merged-chr9-119579003-30
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR40268--MA0599.1.KLF5	chr2	173679404	173679413	+	0.000	0.000	Merged-chr2-173679251-44
NR50183--MA0741.1.KLF16	chr5	33629645	33629655	+	0.000	0.000	Merged-chr5-33629620-114
NR29894--MA0740.1.KLF14	chr17	51876640	51876653	+	0.000	0.000	Merged-chr17-51876629-40
NR52768--MA0740.1.KLF14	chr5	124095850	124095863	-	0.000	0.000	Merged-chr5-124095874-61
NR44384--MA0039.3.KLF4	chr3	146915036	146915046	-	0.000	0.000	Merged-chr3-146915000-36
NR11639--MA0740.1.KLF14	chr11	84513563	84513576	-	0.000	0.000	Merged-chr11-84513596-65
NR60900--MA0740.1.KLF14	chr7	105452031	105452044	-	0.000	0.000	Merged-chr7-105452166-2
NR68775--MA0741.1.KLF16	chrX	38635144	38635154	-	0.000	0.000	Merged-chrX-38635204-84
NR37648--MA0741.1.KLF16	chr2	91921923	91921933	+	0.000	0.000	Merged-chr2-91921982-40
NR58663--MA0493.1.Klf1	chr7	24934917	24934927	+	0.000	0.000	Merged-chr7-24934785-2
NR53560--MA0741.1.KLF16	chr5	139826570	139826580	+	0.000	0.000	Merged-chr5-139826788-34
NR69466--MA0599.1.KLF5	chrX	150812966	150812975	+	0.000	0.000	Merged-chrX-150813149-62
NR61512--MA0493.1.Klf1	chr7	127708351	127708361	-	0.000	0.000	Merged-chr7-127708553-93
NR32186--MA0742.1.Klf12	chr18	39031323	39031337	+	0.000	0.000	Merged-chr18-39031215-33
NR65806--MA0742.1.Klf12	chr9	21320730	21320744	-	0.000	0.000	Merged-chr9-21320762-47
NR66700--MA0741.1.KLF16	chr9	60995329	60995339	-	0.000	0.000	Merged-chr9-60995190-9
NR12551--MA0657.1.KLF13	chr11	109671935	109671952	-	0.000	0.000	Merged-chr11-109672054-52
NR35422--MA0657.1.KLF13	chr2	13760533	13760550	+	0.000	0.000	Merged-chr2-13760550-51
NR9629--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
NR25862--MA0493.1.Klf1	chr16	10969311	10969321	-	0.000	0.000	Merged-chr16-10969472-37
NR69232--MA1107.1.KLF9	chrX	108834384	108834396	-	0.000	0.000	Merged-chrX-108834442-59
NR10937--MA0657.1.KLF13	chr11	61684378	61684395	+	0.000	0.000	Merged-chr11-61684230-57
NR4033--MA0741.1.KLF16	chr1	167339598	167339608	-	0.000	0.000	Merged-chr1-167339598-12
NR21432--MA0740.1.KLF14	chr14	75754080	75754093	+	0.000	0.000	Merged-chr14-75754322-81
NR68394--MA0599.1.KLF5	chr9	122294587	122294596	-	0.000	0.000	Merged-chr9-122294367-85
NR7263--MA0740.1.KLF14	chr10	75978464	75978477	-	0.000	0.000	Merged-chr10-75978406-17
NR27823--MA0599.1.KLF5	chr16	91011059	91011068	+	0.000	0.000	Merged-chr16-91011174-91
NR53446--MA1107.1.KLF9	chr5	137770770	137770782	+	0.000	0.000	Merged-chr5-137770863-20
NR65406--MA0493.1.Klf1	chr8	125734219	125734229	-	0.000	0.000	Merged-chr8-125734356-90
NR37234--MA0741.1.KLF16	chr2	72997221	72997231	-	0.000	0.000	Merged-chr2-72997142-44
NR45761--MA0741.1.KLF16	chr4	41348061	41348071	+	0.000	0.000	Merged-chr4-41348000-22
NR64114--MA1107.1.KLF9	chr8	84128439	84128451	+	0.000	0.000	Merged-chr8-84128468-26
NR11494--MA1107.1.KLF9	chr11	78301518	78301530	-	0.000	0.000	Merged-chr11-78301552-46
NR52523--MA0742.1.Klf12	chr5	119359915	119359929	-	0.000	0.000	Merged-chr5-119360019-16
NR25087--MA1107.1.KLF9	chr15	93275403	93275415	+	0.000	0.000	Merged-chr15-93275409-98
NR30070--MA0741.1.KLF16	chr17	56758320	56758330	-	0.000	0.000	Merged-chr17-56758329-12
NR15271--MA0039.3.KLF4	chr12	100856454	100856464	+	0.000	0.000	Merged-chr12-100856491-28
NR3064--MA0741.1.KLF16	chr1	138157153	138157163	-	0.000	0.000	Merged-chr1-138157317-43
NR23374--MA0599.1.KLF5	chr15	38301078	38301087	-	0.000	0.000	Merged-chr15-38301067-73
NR12478--MA0741.1.KLF16	chr11	106788648	106788658	+	0.000	0.000	Merged-chr11-106788603-141
NR14612--MA0493.1.Klf1	chr12	77060212	77060222	+	0.000	0.000	Merged-chr12-77060270-44
NR37100--MA0742.1.Klf12	chr2	69713289	69713303	+	0.000	0.000	Merged-chr2-69713363-57
NR53488--MA0657.1.KLF13	chr5	138280291	138280308	-	0.000	0.000	Merged-chr5-138280109-50
NR68160--MA1107.1.KLF9	chr9	116114512	116114524	-	0.000	0.000	Merged-chr9-116114550-42
NR25315--MA0740.1.KLF14	chr15	99702383	99702396	-	0.000	0.000	Merged-chr15-99702299-64
NR41232--MA0493.1.Klf1	chr3	35723792	35723802	+	0.000	0.000	Merged-chr3-35723760-11
NR10495--MA0740.1.KLF14	chr11	49083338	49083351	+	0.000	0.000	Merged-chr11-49083360-4
NR26966--MA0599.1.KLF5	chr16	57434815	57434824	-	0.000	0.000	Merged-chr16-57434811-45
NR69578--MA0599.1.KLF5	chrX	162760255	162760264	+	0.000	0.000	Merged-chrX-162760331-82
NR48479--MA0742.1.Klf12	chr4	136206248	136206262	-	0.000	0.000	Merged-chr4-136206356-47
NR53451--MA0493.1.Klf1	chr5	137776847	137776857	-	0.000	0.000	Merged-chr5-137776694-7
NR42979--MA0039.3.KLF4	chr3	103102604	103102614	-	0.000	0.000	Merged-chr3-103102606-96
NR44824--MA0493.1.Klf1	chr3	156410317	156410327	-	0.000	0.000	Merged-chr3-156410327-15
NR9535--MA0599.1.KLF5	chr10	128526136	128526145	+	0.000	0.000	Merged-chr10-128526022-11
NR62516--MA0741.1.KLF16	chr8	22227124	22227134	+	0.000	0.000	Merged-chr8-22227321-39
NR17223--MA1107.1.KLF9	chr13	58158314	58158326	-	0.000	0.000	Merged-chr13-58158134-148
NR66849--MA1107.1.KLF9	chr9	65535543	65535555	-	0.000	0.000	Merged-chr9-65535495-68
NR39610--MA0740.1.KLF14	chr2	158794735	158794748	-	0.000	0.000	Merged-chr2-158794730-73
NR62982--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR66634--MA1107.1.KLF9	chr9	57647828	57647840	-	0.000	0.000	Merged-chr9-57647746-26
NR24343--MA0599.1.KLF5	chr15	78928232	78928241	+	0.000	0.000	Merged-chr15-78928209-40
NR63795--MA0740.1.KLF14	chr8	71665701	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR58461--MA1107.1.KLF9	chr7	19404126	19404138	+	0.000	0.000	Merged-chr7-19404013-49
NR5711--MA0740.1.KLF14	chr10	17479187	17479200	+	0.000	0.000	Merged-chr10-17479176-1
NR12064--MA0741.1.KLF16	chr11	97883660	97883670	+	0.000	0.000	Merged-chr11-97883682-8
NR27392--MA1107.1.KLF9	chr16	75856073	75856085	+	0.000	0.000	Merged-chr16-75856186-4
NR5235--MA0740.1.KLF14	chr10	4386768	4386781	+	0.000	0.000	Merged-chr10-4386678-1
NR36562--MA0599.1.KLF5	chr2	48419890	48419899	+	0.000	0.000	Merged-chr2-48419995-8
NR17397--MA0657.1.KLF13	chr13	64161797	64161814	-	0.000	0.000	Merged-chr13-64161873-63
NR59879--MA0599.1.KLF5	chr7	64392531	64392540	+	0.000	0.000	Merged-chr7-64392480-85
NR20846--MA0039.3.KLF4	chr14	54146704	54146714	+	0.000	0.000	Merged-chr14-54146707-32
NR48914--MA0740.1.KLF14	chr4	149166789	149166802	+	0.000	0.000	Merged-chr4-149166901-79
NR56268--MA1107.1.KLF9	chr6	99360158	99360170	+	0.000	0.000	Merged-chr6-99360034-2
NR64902--MA1107.1.KLF9	chr8	114882136	114882148	+	0.000	0.000	Merged-chr8-114882305-33
NR22950--MA1107.1.KLF9	chr15	25805854	25805866	+	0.000	0.000	Merged-chr15-25805747-73
NR65223--MA0599.1.KLF5	chr8	122556779	122556788	-	0.000	0.000	Merged-chr8-122556749-52
NR59356--MA0740.1.KLF14	chr7	44305094	44305107	-	0.000	0.000	Merged-chr7-44305170-86
NR18769--MA0741.1.KLF16	chr13	104109623	104109633	+	0.000	0.000	Merged-chr13-104109580-88
NR8105--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR52766--MA0741.1.KLF16	chr5	124079222	124079232	-	0.000	0.000	Merged-chr5-124079181-11
NR67678--MA0740.1.KLF14	chr9	99568955	99568968	-	0.000	0.000	Merged-chr9-99568733-85
NR1568--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR69484--MA0599.1.KLF5	chrX	151344083	151344092	+	0.000	0.000	Merged-chrX-151344027-1
NR65061--MA0740.1.KLF14	chr8	119840580	119840593	+	0.000	0.000	Merged-chr8-119840588-52
NR11210--MA0741.1.KLF16	chr11	70983022	70983032	+	0.000	0.000	Merged-chr11-70982951-40
NR52220--MA0657.1.KLF13	chr5	112326293	112326310	+	0.000	0.000	Merged-chr5-112326460-40
NR59430--MA1107.1.KLF9	chr7	45068180	45068192	-	0.000	0.000	Merged-chr7-45068056-13
NR40052--MA1107.1.KLF9	chr2	169504358	169504370	+	0.000	0.000	Merged-chr2-169504323-1
NR35417--MA0039.3.KLF4	chr2	13575064	13575074	+	0.000	0.000	Merged-chr2-13575035-10
NR68600--MA0599.1.KLF5	chrX	12977804	12977813	-	0.000	0.000	Merged-chrX-12977868-18
NR53553--MA0039.3.KLF4	chr5	139793915	139793925	+	0.000	0.000	Merged-chr5-139793766-12
NR68265--MA0741.1.KLF16	chr9	119402187	119402197	+	0.000	0.000	Merged-chr9-119402239-40
NR37311--MA0740.1.KLF14	chr2	76648050	76648063	+	0.000	0.000	Merged-chr2-76648077-91
NR5072--MA0493.1.Klf1	chr1	193153101	193153111	-	0.000	0.000	Merged-chr1-193153117-43
NR37409--MA0741.1.KLF16	chr2	79227982	79227992	-	0.000	0.000	Merged-chr2-79227897-44
NR14809--MA0741.1.KLF16	chr12	84408450	84408460	+	0.000	0.000	Merged-chr12-84408533-142
NR22589--MA0741.1.KLF16	chr14	123001573	123001583	+	0.000	0.000	Merged-chr14-123001594-21
NR35686--MA1107.1.KLF9	chr2	21223026	21223038	-	0.000	0.000	Merged-chr2-21222970-39
NR49965--MA0599.1.KLF5	chr5	24685916	24685925	-	0.000	0.000	Merged-chr5-24685796-115
NR53483--MA0599.1.KLF5	chr5	138280177	138280186	-	0.000	0.000	Merged-chr5-138280109-50
NR8896--MA0741.1.KLF16	chr10	117063814	117063824	-	0.000	0.000	Merged-chr10-117063673-90
NR57913--MA1107.1.KLF9	chr6	148212164	148212176	-	0.000	0.000	Merged-chr6-148212124-77
NR56193--MA0599.1.KLF5	chr6	97300924	97300933	-	0.000	0.000	Merged-chr6-97300820-20
NR669--MA0741.1.KLF16	chr1	36024916	36024926	+	0.000	0.000	Merged-chr1-36024851-1
NR27002--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR58234--MA0599.1.KLF5	chr7	15912283	15912292	+	0.000	0.000	Merged-chr7-15912372-18
NR61637--MA1107.1.KLF9	chr7	132735389	132735401	-	0.000	0.000	Merged-chr7-132735427-53
NR9628--MA1107.1.KLF9	chr11	3335913	3335925	-	0.000	0.000	Merged-chr11-3336028-55
NR10307--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR38724--MA0599.1.KLF5	chr2	131204780	131204789	-	0.000	0.000	Merged-chr2-131204704-19
NR53409--MA0742.1.Klf12	chr5	137600821	137600835	+	0.000	0.000	Merged-chr5-137600985-67
NR11173--MA0599.1.KLF5	chr11	70221161	70221170	-	0.000	0.000	Merged-chr11-70221085-67
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR45914--MA0493.1.Klf1	chr4	43499672	43499682	-	0.000	0.000	Merged-chr4-43499565-45
NR40192--MA0599.1.KLF5	chr2	172440522	172440531	+	0.000	0.000	Merged-chr2-172440509-70
NR67021--MA0657.1.KLF13	chr9	74953025	74953042	-	0.000	0.000	Merged-chr9-74953040-95
NR35319--MA1107.1.KLF9	chr2	11212110	11212122	+	0.000	0.000	Merged-chr2-11212152-38
NR52481--MA0039.3.KLF4	chr5	118465215	118465225	-	0.000	0.000	Merged-chr5-118465239-56
NR58901--MA0599.1.KLF5	chr7	28803043	28803052	+	0.000	0.000	Merged-chr7-28802927-28
NR16478--MA1107.1.KLF9	chr13	24786311	24786323	+	0.000	0.000	Merged-chr13-24786227-53
NR13553--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR42233--MA0599.1.KLF5	chr3	79194246	79194255	+	0.000	0.000	Merged-chr3-79194432-21
NR65889--MA1107.1.KLF9	chr9	22155931	22155943	+	0.000	0.000	Merged-chr9-22155812-33
NR29339--MA0741.1.KLF16	chr17	33998963	33998973	-	0.000	0.000	Merged-chr17-33999093-34
NR11840--MA0599.1.KLF5	chr11	94601910	94601919	-	0.000	0.000	Merged-chr11-94601858-52
NR16806--MA0599.1.KLF5	chr13	42051653	42051662	-	0.000	0.000	Merged-chr13-42051680-16
NR5507--MA0599.1.KLF5	chr10	12963982	12963991	+	0.000	0.000	Merged-chr10-12964276-93
NR7582--MA0039.3.KLF4	chr10	80622384	80622394	+	0.000	0.000	Merged-chr10-80622471-84
NR37867--MA0599.1.KLF5	chr2	103797078	103797087	-	0.000	0.000	Merged-chr2-103797033-190
NR29307--MA0740.1.KLF14	chr17	33817658	33817671	+	0.000	0.000	Merged-chr17-33817699-57
NR60011--MA0599.1.KLF5	chr7	72308189	72308198	+	0.000	0.000	Merged-chr7-72308227-31
NR43842--MA0741.1.KLF16	chr3	133509187	133509197	-	0.000	0.000	Merged-chr3-133509042-15
NR17501--MA0741.1.KLF16	chr13	67081391	67081401	+	0.000	0.000	Merged-chr13-67081382-93
NR62606--MA1107.1.KLF9	chr8	25609071	25609083	-	0.000	0.000	Merged-chr8-25609215-28
NR33364--MA0741.1.KLF16	chr18	77743803	77743813	-	0.000	0.000	Merged-chr18-77743762-23
NR10038--MA0493.1.Klf1	chr11	20561490	20561500	-	0.000	0.000	Merged-chr11-20561447-13
NR25108--MA0741.1.KLF16	chr15	93950834	93950844	-	0.000	0.000	Merged-chr15-93950639-49
NR65101--MA1107.1.KLF9	chr8	120276576	120276588	-	0.000	0.000	Merged-chr8-120276586-37
NR48445--MA0742.1.Klf12	chr4	136060046	136060060	-	0.000	0.000	Merged-chr4-136060160-34
NR66313--MA0599.1.KLF5	chr9	44396952	44396961	+	0.000	0.000	Merged-chr9-44397016-62
NR24576--MA0599.1.KLF5	chr15	82147232	82147241	+	0.000	0.000	Merged-chr15-82147198-69
NR30135--MA0599.1.KLF5	chr17	62246830	62246839	-	0.000	0.000	Merged-chr17-62246918-5
NR21445--MA0740.1.KLF14	chr14	75845211	75845224	+	0.000	0.000	Merged-chr14-75845337-99
NR44753--MA0599.1.KLF5	chr3	154628589	154628598	+	0.000	0.000	Merged-chr3-154628476-23
NR37181--MA0741.1.KLF16	chr2	71786879	71786889	-	0.000	0.000	Merged-chr2-71787122-109
NR52025--MA1107.1.KLF9	chr5	107926653	107926665	+	0.000	0.000	Merged-chr5-107926816-56
NR59158--MA0742.1.Klf12	chr7	35333915	35333929	-	0.000	0.000	Merged-chr7-35333987-100
NR67685--MA0742.1.Klf12	chr9	100462340	100462354	-	0.000	0.000	Merged-chr9-100462229-47
NR60802--MA0741.1.KLF16	chr7	101934072	101934082	-	0.000	0.000	Merged-chr7-101933899-55
NR47454--MA0741.1.KLF16	chr4	109117945	109117955	-	0.000	0.000	Merged-chr4-109118050-62
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR55110--MA0741.1.KLF16	chr6	50110138	50110148	-	0.000	0.000	Merged-chr6-50110247-81
NR42693--MA1107.1.KLF9	chr3	95135837	95135849	-	0.000	0.000	Merged-chr3-95135773-59
NR45064--MA0599.1.KLF5	chr4	8812664	8812673	-	0.000	0.000	Merged-chr4-8812564-41
NR21409--MA0742.1.Klf12	chr14	75131075	75131089	+	0.000	0.000	Merged-chr14-75131133-67
NR37177--MA0493.1.Klf1	chr2	71786880	71786890	-	0.000	0.000	Merged-chr2-71787122-109
NR65795--MA1107.1.KLF9	chr9	21265259	21265271	-	0.000	0.000	Merged-chr9-21265250-55
NR4201--MA1107.1.KLF9	chr1	171607430	171607442	-	0.000	0.000	Merged-chr1-171607234-71
NR2703--MA0599.1.KLF5	chr1	126817823	126817832	+	0.000	0.000	Merged-chr1-126817924-65
NR27111--MA0742.1.Klf12	chr16	64873905	64873919	+	0.000	0.000	Merged-chr16-64873763-80
NR12935--MA0740.1.KLF14	chr11	118248639	118248652	+	0.000	0.000	Merged-chr11-118248688-60
NR38602--MA1107.1.KLF9	chr2	128061286	128061298	+	0.000	0.000	Merged-chr2-128061246-44
NR10145--MA0741.1.KLF16	chr11	23306493	23306503	-	0.000	0.000	Merged-chr11-23306363-115
NR66560--MA0742.1.Klf12	chr9	55110575	55110589	+	0.000	0.000	Merged-chr9-55110680-29
NR63804--MA0493.1.Klf1	chr8	71665704	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR60677--MA1107.1.KLF9	chr7	98469233	98469245	+	0.000	0.000	Merged-chr7-98469350-12
NR57950--MA0599.1.KLF5	chr6	148896263	148896272	+	0.000	0.000	Merged-chr6-148896090-83
NR61569--MA0742.1.Klf12	chr7	128688427	128688441	-	0.000	0.000	Merged-chr7-128688304-46
NR12263--MA0599.1.KLF5	chr11	101009388	101009397	-	0.000	0.000	Merged-chr11-101009406-46
NR43755--MA0742.1.Klf12	chr3	131272064	131272078	-	0.000	0.000	Merged-chr3-131271947-79
NR12469--MA0599.1.KLF5	chr11	106674719	106674728	-	0.000	0.000	Merged-chr11-106674818-63
NR21129--MA0741.1.KLF16	chr14	61556963	61556973	-	0.000	0.000	Merged-chr14-61556804-76
NR24440--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR11842--MA0741.1.KLF16	chr11	94601904	94601914	-	0.000	0.000	Merged-chr11-94601858-52
NR57437--MA0740.1.KLF14	chr6	137754511	137754524	-	0.000	0.000	Merged-chr6-137754640-54
NR37406--MA0599.1.KLF5	chr2	79180831	79180840	+	0.000	0.000	Merged-chr2-79180935-23
NR40098--MA0741.1.KLF16	chr2	170206048	170206058	-	0.000	0.000	Merged-chr2-170206161-1
NR29233--MA0599.1.KLF5	chr17	31277407	31277416	-	0.000	0.000	Merged-chr17-31277371-45
NR25079--MA0493.1.Klf1	chr15	93275328	93275338	+	0.000	0.000	Merged-chr15-93275409-98
NR22284--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR52788--MA0742.1.Klf12	chr5	124352286	124352300	-	0.000	0.000	Merged-chr5-124352404-43
NR67976--MA0599.1.KLF5	chr9	108783785	108783794	-	0.000	0.000	Merged-chr9-108783844-54
NR53419--MA0039.3.KLF4	chr5	137721049	137721059	+	0.000	0.000	Merged-chr5-137721139-55
NR49964--MA1107.1.KLF9	chr5	24685861	24685873	+	0.000	0.000	Merged-chr5-24685796-115
NR8862--MA0741.1.KLF16	chr10	116397673	116397683	-	0.000	0.000	Merged-chr10-116397793-21
NR41254--MA1107.1.KLF9	chr3	36475724	36475736	+	0.000	0.000	Merged-chr3-36475795-73
NR53358--MA0657.1.KLF13	chr5	137032885	137032902	+	0.000	0.000	Merged-chr5-137032758-64
NR48656--MA0740.1.KLF14	chr4	141060591	141060604	-	0.000	0.000	Merged-chr4-141060681-65
NR33839--MA0599.1.KLF5	chr19	5024023	5024032	-	0.000	0.000	Merged-chr19-5024003-73
NR38801--MA0741.1.KLF16	chr2	132511675	132511685	-	0.000	0.000	Merged-chr2-132511544-14
NR53134--MA0599.1.KLF5	chr5	134437538	134437547	+	0.000	0.000	Merged-chr5-134437601-35
NR67066--MA1107.1.KLF9	chr9	75435887	75435899	+	0.000	0.000	Merged-chr9-75436054-36
NR30013--MA1107.1.KLF9	chr17	56350991	56351003	-	0.000	0.000	Merged-chr17-56350875-30
NR59230--MA0599.1.KLF5	chr7	38085244	38085253	-	0.000	0.000	Merged-chr7-38085350-130
NR56876--MA0742.1.Klf12	chr6	120916865	120916879	+	0.000	0.000	Merged-chr6-120916830-68
NR65353--MA0599.1.KLF5	chr8	124434605	124434614	+	0.000	0.000	Merged-chr8-124434522-47
NR40191--MA1107.1.KLF9	chr2	172440457	172440469	+	0.000	0.000	Merged-chr2-172440509-70
NR42447--MA1107.1.KLF9	chr3	88510189	88510201	-	0.000	0.000	Merged-chr3-88510082-59
NR51219--MA0742.1.Klf12	chr5	74092964	74092978	+	0.000	0.000	Merged-chr5-74093137-75
NR7590--MA0740.1.KLF14	chr10	80622463	80622476	+	0.000	0.000	Merged-chr10-80622471-84
NR65074--MA0740.1.KLF14	chr8	120114018	120114031	-	0.000	0.000	Merged-chr8-120114148-66
NR1832--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR24758--MA0741.1.KLF16	chr15	86034253	86034263	+	0.000	0.000	Merged-chr15-86034188-82
NR56707--MA1107.1.KLF9	chr6	115762206	115762218	+	0.000	0.000	Merged-chr6-115762298-33
NR32767--MA0599.1.KLF5	chr18	61459486	61459495	+	0.000	0.000	Merged-chr18-61459524-23
NR40039--MA1107.1.KLF9	chr2	169504318	169504330	+	0.000	0.000	Merged-chr2-169504323-1
NR57028--MA0599.1.KLF5	chr6	125378327	125378336	+	0.000	0.000	Merged-chr6-125378342-13
NR32891--MA1107.1.KLF9	chr18	65512461	65512473	-	0.000	0.000	Merged-chr18-65512491-27
NR12671--MA0742.1.Klf12	chr11	115276976	115276990	+	0.000	0.000	Merged-chr11-115277112-67
NR25166--MA0740.1.KLF14	chr15	96684759	96684772	+	0.000	0.000	Merged-chr15-96684531-29
NR18462--MA0599.1.KLF5	chr13	96388236	96388245	+	0.000	0.000	Merged-chr13-96388323-49
NR51925--MA0741.1.KLF16	chr5	103692353	103692363	-	0.000	0.000	Merged-chr5-103692321-99
NR7163--MA0599.1.KLF5	chr10	71239714	71239723	+	0.000	0.000	Merged-chr10-71239715-44
NR69586--MA1107.1.KLF9	chrX	162868475	162868487	+	0.000	0.000	Merged-chrX-162868446-21
NR65769--MA0493.1.Klf1	chr9	21131300	21131310	+	0.000	0.000	Merged-chr9-21131280-55
NR63808--MA1107.1.KLF9	chr8	71665702	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR1724--MA1107.1.KLF9	chr1	80757986	80757998	+	0.000	0.000	Merged-chr1-80757990-114
NR44677--MA0740.1.KLF14	chr3	152943151	152943164	+	0.000	0.000	Merged-chr3-152943273-41
NR16800--MA0039.3.KLF4	chr13	41487198	41487208	+	0.000	0.000	Merged-chr13-41487140-66
NR61409--MA1107.1.KLF9	chr7	126369629	126369641	+	0.000	0.000	Merged-chr7-126369585-49
