#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR807--MA0463.1.Bcl6	chr15	97606704	97606717	+	0.000	0.000	Merged-chr15-97606857-25
NR828--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR395--MA0731.1.BCL6B	chr11	97662228	97662244	+	0.000	0.000	Merged-chr11-97662254-27
NR825--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR1923--MA0731.1.BCL6B	chr6	140657483	140657499	+	0.000	0.000	Merged-chr6-140657459-39
NR20--MA0463.1.Bcl6	chr1	43899091	43899104	+	0.000	0.000	Merged-chr1-43899142-19
NR740--MA0463.1.Bcl6	chr14	118823413	118823426	-	0.000	0.000	Merged-chr14-118823574-15
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR709--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR2288--MA0463.1.Bcl6	chr9	104870756	104870769	+	0.000	0.000	Merged-chr9-104870769-1
NR1892--MA0463.1.Bcl6	chr6	126552063	126552076	+	0.000	0.000	Merged-chr6-126552098-38
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR496--MA0731.1.BCL6B	chr12	98445743	98445759	-	0.000	0.000	Merged-chr12-98445818-15
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR660--MA0463.1.Bcl6	chr14	47277008	47277021	+	0.000	0.000	Merged-chr14-47276879-81
NR114--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR637--MA0731.1.BCL6B	chr14	14715997	14716013	-	0.000	0.000	Merged-chr14-14716073-16
NR1691--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR1732--MA0731.1.BCL6B	chr5	112286794	112286810	+	0.000	0.000	Merged-chr5-112286717-1
NR544--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR379--MA0731.1.BCL6B	chr11	77371459	77371475	-	0.000	0.000	Merged-chr11-77371376-39
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR1351--MA0463.1.Bcl6	chr3	88914017	88914030	+	0.000	0.000	Merged-chr3-88913993-52
NR2320--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR562--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR759--MA0731.1.BCL6B	chr15	31601902	31601918	+	0.000	0.000	Merged-chr15-31601857-105
NR1575--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR1593--MA0463.1.Bcl6	chr4	145219837	145219850	-	0.000	0.000	Merged-chr4-145220002-13
NR2325--MA0463.1.Bcl6	chrX	12129234	12129247	-	0.000	0.000	Merged-chrX-12129136-2
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR2068--MA0731.1.BCL6B	chr7	128298178	128298194	+	0.000	0.000	Merged-chr7-128298070-48
NR1907--MA0463.1.Bcl6	chr6	134189915	134189928	-	0.000	0.000	Merged-chr6-134189868-22
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR1432--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR1267--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR2030--MA0463.1.Bcl6	chr7	102529059	102529072	-	0.000	0.000	Merged-chr7-102529191-45
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR1650--MA0731.1.BCL6B	chr5	35817406	35817422	+	0.000	0.000	Merged-chr5-35817524-2
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR2129--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR2169--MA0731.1.BCL6B	chr8	95245170	95245186	-	0.000	0.000	Merged-chr8-95245362-18
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR1424--MA0731.1.BCL6B	chr3	144402253	144402269	-	0.000	0.000	Merged-chr3-144402343-18
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR192--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR970--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR1747--MA0463.1.Bcl6	chr5	129594207	129594220	+	0.000	0.000	Merged-chr5-129594296-34
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR731--MA0731.1.BCL6B	chr14	105632236	105632252	+	0.000	0.000	Merged-chr14-105632232-2
NR770--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1634--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR1649--MA0463.1.Bcl6	chr5	35778815	35778828	+	0.000	0.000	Merged-chr5-35778657-11
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR2106--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR1647--MA0731.1.BCL6B	chr5	30916120	30916136	-	0.000	0.000	Merged-chr5-30915994-18
NR82--MA0463.1.Bcl6	chr1	104986399	104986412	+	0.000	0.000	Merged-chr1-104986299-37
NR999--MA0463.1.Bcl6	chr18	56458961	56458974	+	0.000	0.000	Merged-chr18-56459089-42
NR1485--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1112--MA0463.1.Bcl6	chr2	25228684	25228697	-	0.000	0.000	Merged-chr2-25228680-45
NR2119--MA0731.1.BCL6B	chr8	31176221	31176237	-	0.000	0.000	Merged-chr8-31176190-29
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR556--MA0463.1.Bcl6	chr13	40418937	40418950	-	0.000	0.000	Merged-chr13-40418835-1
NR328--MA0463.1.Bcl6	chr11	3161066	3161079	+	0.000	0.000	Merged-chr11-3161151-10
NR1587--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR2010--MA0463.1.Bcl6	chr7	89147009	89147022	+	0.000	0.000	Merged-chr7-89146936-24
NR824--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR364--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR1300--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1019--MA0463.1.Bcl6	chr18	68951828	68951841	-	0.000	0.000	Merged-chr18-68951926-32
NR1950--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR248--MA0463.1.Bcl6	chr10	62449929	62449942	+	0.000	0.000	Merged-chr10-62449839-90
NR2024--MA0463.1.Bcl6	chr7	101377953	101377966	+	0.000	0.000	Merged-chr7-101378062-62
NR933--MA0463.1.Bcl6	chr17	32386899	32386912	+	0.000	0.000	Merged-chr17-32386992-9
NR172--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR378--MA0463.1.Bcl6	chr11	75655918	75655931	+	0.000	0.000	Merged-chr11-75656010-33
NR1064--MA0463.1.Bcl6	chr19	29064107	29064120	+	0.000	0.000	Merged-chr19-29064177-55
NR808--MA0463.1.Bcl6	chr15	98869604	98869617	-	0.000	0.000	Merged-chr15-98869705-35
NR1852--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR1557--MA0731.1.BCL6B	chr4	117267545	117267561	+	0.000	0.000	Merged-chr4-117267580-14
NR1000--MA0731.1.BCL6B	chr18	56458958	56458974	-	0.000	0.000	Merged-chr18-56459089-42
NR853--MA0463.1.Bcl6	chr16	44691841	44691854	-	0.000	0.000	Merged-chr16-44691948-13
NR2074--MA0463.1.Bcl6	chr7	130533444	130533457	-	0.000	0.000	Merged-chr7-130533557-34
NR1311--MA0463.1.Bcl6	chr3	51553109	51553122	-	0.000	0.000	Merged-chr3-51553157-56
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR1790--MA0463.1.Bcl6	chr6	29517502	29517515	-	0.000	0.000	Merged-chr6-29517345-20
NR960--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR450--MA0731.1.BCL6B	chr12	55434183	55434199	+	0.000	0.000	Merged-chr12-55434101-13
NR973--MA0731.1.BCL6B	chr17	87474187	87474203	+	0.000	0.000	Merged-chr17-87474193-52
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR773--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR1674--MA0463.1.Bcl6	chr5	73557130	73557143	+	0.000	0.000	Merged-chr5-73557249-47
NR1101--MA0463.1.Bcl6	chr2	18403850	18403863	-	0.000	0.000	Merged-chr2-18403900-7
NR1767--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR2322--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR37--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR58--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR1464--MA0463.1.Bcl6	chr4	11454095	11454108	-	0.000	0.000	Merged-chr4-11453952-20
NR1106--MA0463.1.Bcl6	chr2	19389000	19389013	+	0.000	0.000	Merged-chr2-19388892-38
NR796--MA0463.1.Bcl6	chr15	78579955	78579968	-	0.000	0.000	Merged-chr15-78580091-5
NR335--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR447--MA0463.1.Bcl6	chr12	52097684	52097697	-	0.000	0.000	Merged-chr12-52097764-52
NR353--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR1254--MA0463.1.Bcl6	chr2	156482275	156482288	-	0.000	0.000	Merged-chr2-156482364-23
NR29--MA0731.1.BCL6B	chr1	60569185	60569201	-	0.000	0.000	Merged-chr1-60569405-18
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR161--MA0463.1.Bcl6	chr1	164974106	164974119	+	0.000	0.000	Merged-chr1-164974050-5
NR699--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR304--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR2031--MA0463.1.Bcl6	chr7	104170073	104170086	-	0.000	0.000	Merged-chr7-104169965-14
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR413--MA0731.1.BCL6B	chr11	116534500	116534516	+	0.000	0.000	Merged-chr11-116534371-20
NR600--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR774--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR1188--MA0463.1.Bcl6	chr2	92374654	92374667	-	0.000	0.000	Merged-chr2-92374620-2
NR2278--MA0463.1.Bcl6	chr9	96916796	96916809	+	0.000	0.000	Merged-chr9-96916836-41
NR2245--MA0731.1.BCL6B	chr9	57421340	57421356	+	0.000	0.000	Merged-chr9-57421302-52
NR243--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR753--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR418--MA0731.1.BCL6B	chr12	3322115	3322131	+	0.000	0.000	Merged-chr12-3322326-39
NR507--MA0463.1.Bcl6	chr12	108494387	108494400	-	0.000	0.000	Merged-chr12-108494516-14
NR256--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR113--MA0731.1.BCL6B	chr1	130548083	130548099	-	0.000	0.000	Merged-chr1-130548205-41
NR1305--MA0463.1.Bcl6	chr3	37229441	37229454	+	0.000	0.000	Merged-chr3-37229433-26
NR883--MA0463.1.Bcl6	chr16	75696404	75696417	+	0.000	0.000	Merged-chr16-75696433-23
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR1538--MA0463.1.Bcl6	chr4	101349651	101349664	+	0.000	0.000	Merged-chr4-101349658-19
NR1556--MA0463.1.Bcl6	chr4	117267545	117267558	-	0.000	0.000	Merged-chr4-117267580-14
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR409--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR427--MA0463.1.Bcl6	chr12	20233659	20233672	+	0.000	0.000	Merged-chr12-20233852-40
NR1471--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR1798--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR1962--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
