#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR8435--MA0766.1.GATA5	chr6	134533243	134533250	-	0.000	0.000	Merged-chr6-134533147-7
NR6161--MA0035.3.Gata1	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR4000--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5556--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
NR6203--MA0482.1.Gata4	chr3	81201468	81201478	+	0.000	0.000	Merged-chr3-81201582-6
NR4523--MA0482.1.Gata4	chr17	71491184	71491194	+	0.000	0.000	Merged-chr17-71491103-50
NR2546--MA1104.1.GATA6	chr13	41097617	41097629	+	0.000	0.000	Merged-chr13-41097728-40
NR6541--MA0035.3.Gata1	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR2428--MA0766.1.GATA5	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR8120--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR273--MA1104.1.GATA6	chr1	69331722	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR9369--MA0482.1.Gata4	chr8	111566113	111566123	+	0.000	0.000	Merged-chr8-111566005-2
NR1848--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR888--MA0482.1.Gata4	chr10	13993679	13993689	+	0.000	0.000	Merged-chr10-13993632-56
NR4013--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR6421--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR8919--MA0035.3.Gata1	chr7	110432410	110432420	+	0.000	0.000	Merged-chr7-110432490-32
NR4536--MA0482.1.Gata4	chr17	73169831	73169841	+	0.000	0.000	Merged-chr17-73169752-13
NR5500--MA0766.1.GATA5	chr2	109608257	109608264	+	0.000	0.000	Merged-chr2-109608122-1
NR2188--MA0140.2.GATA1::TAL1	chr12	91065612	91065629	+	0.000	0.000	Merged-chr12-91065547-31
NR9931--MA0035.3.Gata1	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR1272--MA0037.3.GATA3	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR6054--MA0482.1.Gata4	chr3	52650275	52650285	+	0.000	0.000	Merged-chr3-52650302-1
NR168--MA0766.1.GATA5	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR7288--MA0482.1.Gata4	chr5	15470117	15470127	+	0.000	0.000	Merged-chr5-15470199-54
NR666--MA1104.1.GATA6	chr1	153141156	153141168	-	0.000	0.000	Merged-chr1-153140977-54
NR1699--MA0037.3.GATA3	chr11	86257582	86257589	+	0.000	0.000	Merged-chr11-86257585-49
NR8816--MA1104.1.GATA6	chr7	78865891	78865903	-	0.000	0.000	Merged-chr7-78865782-5
NR2184--MA0482.1.Gata4	chr12	91065611	91065621	+	0.000	0.000	Merged-chr12-91065547-31
NR8427--MA0766.1.GATA5	chr6	134189986	134189993	+	0.000	0.000	Merged-chr6-134189868-22
NR6180--MA1104.1.GATA6	chr3	75240890	75240902	-	0.000	0.000	Merged-chr3-75240815-11
NR2235--MA0036.3.GATA2	chr12	92812909	92812919	-	0.000	0.000	Merged-chr12-92812766-7
NR2516--MA0766.1.GATA5	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6424--MA0035.3.Gata1	chr3	133411810	133411820	+	0.000	0.000	Merged-chr3-133411903-38
NR8003--MA0036.3.GATA2	chr6	54118991	54119001	+	0.000	0.000	Merged-chr6-54119085-6
NR6062--MA0766.1.GATA5	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR6575--MA0036.3.GATA2	chr3	152919362	152919372	+	0.000	0.000	Merged-chr3-152919231-7
NR8998--MA0482.1.Gata4	chr7	130774089	130774099	-	0.000	0.000	Merged-chr7-130774226-12
NR1904--MA0036.3.GATA2	chr12	28735553	28735563	-	0.000	0.000	Merged-chr12-28735423-1
NR6718--MA0482.1.Gata4	chr4	19923449	19923459	-	0.000	0.000	Merged-chr4-19923492-7
NR4101--MA0482.1.Gata4	chr16	78265278	78265288	+	0.000	0.000	Merged-chr16-78265078-57
NR2139--MA0036.3.GATA2	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR6057--MA0035.3.Gata1	chr3	52650274	52650284	+	0.000	0.000	Merged-chr3-52650302-1
NR7429--MA0482.1.Gata4	chr5	38580781	38580791	+	0.000	0.000	Merged-chr5-38580877-38
NR6237--MA0766.1.GATA5	chr3	84461171	84461178	+	0.000	0.000	Merged-chr3-84461060-54
NR1962--MA0482.1.Gata4	chr12	40427688	40427698	-	0.000	0.000	Merged-chr12-40427719-34
NR2554--MA0035.3.Gata1	chr13	41948366	41948376	-	0.000	0.000	Merged-chr13-41948463-1
NR2140--MA0035.3.Gata1	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR8693--MA0482.1.Gata4	chr7	44496630	44496640	+	0.000	0.000	Merged-chr7-44496496-71
NR195--MA0482.1.Gata4	chr1	59173177	59173187	-	0.000	0.000	Merged-chr1-59173225-2
NR8759--MA0482.1.Gata4	chr7	67672915	67672925	-	0.000	0.000	Merged-chr7-67672812-28
NR4641--MA1104.1.GATA6	chr18	11913376	11913388	+	0.000	0.000	Merged-chr18-11913705-37
NR8483--MA0766.1.GATA5	chr6	140308227	140308234	-	0.000	0.000	Merged-chr6-140308190-9
NR8539--MA0036.3.GATA2	chr6	144329732	144329742	+	0.000	0.000	Merged-chr6-144329601-7
NR2187--MA0035.3.Gata1	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR1851--MA0036.3.GATA2	chr12	16185622	16185632	+	0.000	0.000	Merged-chr12-16185844-40
NR6665--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR2315--MA0035.3.Gata1	chr12	110689849	110689859	-	0.000	0.000	Merged-chr12-110689902-59
NR4908--MA0482.1.Gata4	chr18	69084779	69084789	+	0.000	0.000	Merged-chr18-69084701-84
NR2957--MA0482.1.Gata4	chr14	8255426	8255436	+	0.000	0.000	Merged-chr14-8255378-13
NR3993--MA0035.3.Gata1	chr16	55907204	55907214	-	0.000	0.000	Merged-chr16-55907118-61
NR9880--MA0482.1.Gata4	chrX	104015321	104015331	-	0.000	0.000	Merged-chrX-104015448-5
NR3404--MA0140.2.GATA1::TAL1	chr14	121702666	121702683	+	0.000	0.000	Merged-chr14-121702650-15
NR9941--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR929--MA1104.1.GATA6	chr10	19122263	19122275	-	0.000	0.000	Merged-chr10-19122454-26
NR5190--MA0037.3.GATA3	chr2	20969349	20969356	+	0.000	0.000	Merged-chr2-20969092-180
NR4383--MA1104.1.GATA6	chr17	35727167	35727179	+	0.000	0.000	Merged-chr17-35727200-6
NR2585--MA0766.1.GATA5	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR6288--MA0035.3.Gata1	chr3	100558467	100558477	+	0.000	0.000	Merged-chr3-100558458-49
NR4127--MA0482.1.Gata4	chr16	85172249	85172259	+	0.000	0.000	Merged-chr16-85172081-1
NR7571--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR716--MA0482.1.Gata4	chr1	164494816	164494826	-	0.000	0.000	Merged-chr1-164494906-11
NR9431--MA0766.1.GATA5	chr8	125351842	125351849	+	0.000	0.000	Merged-chr8-125351679-18
NR8917--MA1104.1.GATA6	chr7	110432409	110432421	-	0.000	0.000	Merged-chr7-110432490-32
NR4170--MA0482.1.Gata4	chr16	91448306	91448316	-	0.000	0.000	Merged-chr16-91448282-13
NR3542--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR5452--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR4001--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR2142--MA0482.1.Gata4	chr12	83929661	83929671	-	0.000	0.000	Merged-chr12-83929616-29
NR4574--MA0035.3.Gata1	chr17	86038314	86038324	+	0.000	0.000	Merged-chr17-86038391-20
NR9631--MA0035.3.Gata1	chr9	77496871	77496881	+	0.000	0.000	Merged-chr9-77496982-2
NR8484--MA1104.1.GATA6	chr6	140817123	140817135	+	0.000	0.000	Merged-chr6-140817043-66
NR6204--MA1104.1.GATA6	chr3	81201466	81201478	-	0.000	0.000	Merged-chr3-81201582-6
NR4524--MA1104.1.GATA6	chr17	71491182	71491194	-	0.000	0.000	Merged-chr17-71491103-50
NR7603--MA0035.3.Gata1	chr5	89036398	89036408	-	0.000	0.000	Merged-chr5-89036442-30
NR9792--MA0766.1.GATA5	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR8223--MA0766.1.GATA5	chr6	100011908	100011915	+	0.000	0.000	Merged-chr6-100011850-11
NR8213--MA0036.3.GATA2	chr6	99220740	99220750	+	0.000	0.000	Merged-chr6-99220619-12
NR7791--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR4014--MA1104.1.GATA6	chr16	58670208	58670220	-	0.000	0.000	Merged-chr16-58670422-58
NR7964--MA0035.3.Gata1	chr6	43337637	43337647	+	0.000	0.000	Merged-chr6-43337585-2
NR567--MA0482.1.Gata4	chr1	133163853	133163863	+	0.000	0.000	Merged-chr1-133164049-18
NR7684--MA0140.2.GATA1::TAL1	chr5	107061821	107061838	-	0.000	0.000	Merged-chr5-107061883-14
NR2145--MA0035.3.Gata1	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR6275--MA0036.3.GATA2	chr3	96580268	96580278	+	0.000	0.000	Merged-chr3-96580278-43
NR1604--MA0036.3.GATA2	chr11	33932388	33932398	-	0.000	0.000	Merged-chr11-33932389-100
NR6055--MA1104.1.GATA6	chr3	52650273	52650285	-	0.000	0.000	Merged-chr3-52650302-1
NR2787--MA0482.1.Gata4	chr13	91033461	91033471	+	0.000	0.000	Merged-chr13-91033672-15
NR2300--MA1104.1.GATA6	chr12	107362204	107362216	+	0.000	0.000	Merged-chr12-107362270-34
NR8436--MA0035.3.Gata1	chr6	134533242	134533252	+	0.000	0.000	Merged-chr6-134533147-7
NR7289--MA1104.1.GATA6	chr5	15470115	15470127	-	0.000	0.000	Merged-chr5-15470199-54
NR3122--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR3058--MA1104.1.GATA6	chr14	27562726	27562738	+	0.000	0.000	Merged-chr14-27562668-44
NR1110--MA0140.2.GATA1::TAL1	chr10	62500310	62500327	-	0.000	0.000	Merged-chr10-62500351-23
NR8638--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR4043--MA0035.3.Gata1	chr16	64766974	64766984	+	0.000	0.000	Merged-chr16-64766994-6
NR2185--MA1104.1.GATA6	chr12	91065609	91065621	-	0.000	0.000	Merged-chr12-91065547-31
NR8316--MA0482.1.Gata4	chr6	124750611	124750621	-	0.000	0.000	Merged-chr6-124750623-14
NR8476--MA1104.1.GATA6	chr6	140308145	140308157	+	0.000	0.000	Merged-chr6-140308190-9
NR4337--MA0482.1.Gata4	chr17	21579873	21579883	-	0.000	0.000	Merged-chr17-21579709-31
NR1670--MA0766.1.GATA5	chr11	70239914	70239921	+	0.000	0.000	Merged-chr11-70239985-43
NR8425--MA0482.1.Gata4	chr6	134189983	134189993	-	0.000	0.000	Merged-chr6-134189868-22
NR9784--MA0766.1.GATA5	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR4864--MA0037.3.GATA3	chr18	62072967	62072974	-	0.000	0.000	Merged-chr18-62072861-2
NR8999--MA1104.1.GATA6	chr7	130774089	130774101	+	0.000	0.000	Merged-chr7-130774226-12
NR6719--MA1104.1.GATA6	chr4	19923449	19923461	+	0.000	0.000	Merged-chr4-19923492-7
NR4102--MA1104.1.GATA6	chr16	78265276	78265288	-	0.000	0.000	Merged-chr16-78265078-57
NR2309--MA0482.1.Gata4	chr12	110689779	110689789	+	0.000	0.000	Merged-chr12-110689902-59
NR5501--MA0035.3.Gata1	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR1665--MA0035.3.Gata1	chr11	66906109	66906119	-	0.000	0.000	Merged-chr11-66906049-23
NR7150--MA0140.2.GATA1::TAL1	chr4	136836252	136836269	-	0.000	0.000	Merged-chr4-136836082-29
NR4056--MA0035.3.Gata1	chr16	65448998	65449008	-	0.000	0.000	Merged-chr16-65448972-5
NR4327--MA0035.3.Gata1	chr17	17838230	17838240	+	0.000	0.000	Merged-chr17-17838305-60
NR2422--MA0037.3.GATA3	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR6510--MA0037.3.GATA3	chr3	142356729	142356736	+	0.000	0.000	Merged-chr3-142356734-49
NR196--MA1104.1.GATA6	chr1	59173177	59173189	+	0.000	0.000	Merged-chr1-59173225-2
NR6235--MA0482.1.Gata4	chr3	84461168	84461178	-	0.000	0.000	Merged-chr3-84461060-54
NR169--MA0035.3.Gata1	chr1	44101606	44101616	-	0.000	0.000	Merged-chr1-44101717-6
NR6666--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR2307--MA0036.3.GATA2	chr12	108763691	108763701	-	0.000	0.000	Merged-chr12-108763648-15
NR7770--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR2958--MA1104.1.GATA6	chr14	8255424	8255436	-	0.000	0.000	Merged-chr14-8255378-13
NR8547--MA0482.1.Gata4	chr6	144987412	144987422	-	0.000	0.000	Merged-chr6-144987357-14
NR8428--MA0035.3.Gata1	chr6	134189984	134189994	-	0.000	0.000	Merged-chr6-134189868-22
NR2517--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR1240--MA0482.1.Gata4	chr10	89326992	89327002	-	0.000	0.000	Merged-chr10-89327162-49
NR6063--MA0035.3.Gata1	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR3647--MA0766.1.GATA5	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR4128--MA1104.1.GATA6	chr16	85172247	85172259	-	0.000	0.000	Merged-chr16-85172081-1
NR3604--MA0140.2.GATA1::TAL1	chr15	49671377	49671394	-	0.000	0.000	Merged-chr15-49671464-12
NR5370--MA0766.1.GATA5	chr2	66184789	66184796	-	0.000	0.000	Merged-chr2-66184903-51
NR6238--MA0035.3.Gata1	chr3	84461169	84461179	-	0.000	0.000	Merged-chr3-84461060-54
NR3485--MA0766.1.GATA5	chr15	19857647	19857654	-	0.000	0.000	Merged-chr15-19857574-17
NR1780--MA1104.1.GATA6	chr11	116782934	116782946	-	0.000	0.000	Merged-chr11-116782885-34
NR4171--MA1104.1.GATA6	chr16	91448306	91448318	+	0.000	0.000	Merged-chr16-91448282-13
NR5960--MA0482.1.Gata4	chr3	38371853	38371863	+	0.000	0.000	Merged-chr3-38371815-1
NR6466--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR5740--MA0036.3.GATA2	chr2	150667355	150667365	-	0.000	0.000	Merged-chr2-150667676-130
NR2143--MA1104.1.GATA6	chr12	83929661	83929673	+	0.000	0.000	Merged-chr12-83929616-29
NR1566--MA0766.1.GATA5	chr11	22813645	22813652	+	0.000	0.000	Merged-chr11-22813643-1
NR7800--MA0036.3.GATA2	chr5	150220586	150220596	+	0.000	0.000	Merged-chr5-150220578-7
NR3717--MA0035.3.Gata1	chr15	91578251	91578261	+	0.000	0.000	Merged-chr15-91578192-2
NR2156--MA1104.1.GATA6	chr12	88408405	88408417	+	0.000	0.000	Merged-chr12-88408457-71
NR389--MA0482.1.Gata4	chr1	94035513	94035523	+	0.000	0.000	Merged-chr1-94035484-87
NR3760--MA0035.3.Gata1	chr15	101275265	101275275	+	0.000	0.000	Merged-chr15-101275184-1
NR9917--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR1774--MA0036.3.GATA2	chr11	113788692	113788702	+	0.000	0.000	Merged-chr11-113788685-32
NR6116--MA0036.3.GATA2	chr3	60954221	60954231	-	0.000	0.000	Merged-chr3-60954370-10
NR3664--MA0035.3.Gata1	chr15	63989731	63989741	-	0.000	0.000	Merged-chr15-63989879-13
NR9432--MA0035.3.Gata1	chr8	125351840	125351850	-	0.000	0.000	Merged-chr8-125351679-18
NR3250--MA0035.3.Gata1	chr14	87439912	87439922	+	0.000	0.000	Merged-chr14-87439901-5
NR1755--MA0482.1.Gata4	chr11	106430743	106430753	+	0.000	0.000	Merged-chr11-106430638-37
NR1907--MA0035.3.Gata1	chr12	28735564	28735574	-	0.000	0.000	Merged-chr12-28735423-1
