#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR6062--MA0766.1.GATA5	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR2139--MA0036.3.GATA2	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR5548--MA0037.3.GATA3	chr2	119742117	119742124	+	0.000	0.000	Merged-chr2-119742331-93
NR9891--MA0035.3.Gata1	chrX	107088383	107088393	+	0.000	0.000	Merged-chrX-107088422-23
NR8374--MA0766.1.GATA5	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR1742--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR7542--MA0037.3.GATA3	chr5	65867408	65867415	-	0.000	0.000	Merged-chr5-65867573-52
NR2140--MA0035.3.Gata1	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR8693--MA0482.1.Gata4	chr7	44496630	44496640	+	0.000	0.000	Merged-chr7-44496496-71
NR195--MA0482.1.Gata4	chr1	59173177	59173187	-	0.000	0.000	Merged-chr1-59173225-2
NR8759--MA0482.1.Gata4	chr7	67672915	67672925	-	0.000	0.000	Merged-chr7-67672812-28
NR4370--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR2187--MA0035.3.Gata1	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR8253--MA1104.1.GATA6	chr6	108168405	108168417	+	0.000	0.000	Merged-chr6-108168461-115
NR6665--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR8110--MA1104.1.GATA6	chr6	66252373	66252385	-	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR3993--MA0035.3.Gata1	chr16	55907204	55907214	-	0.000	0.000	Merged-chr16-55907118-61
NR9761--MA0035.3.Gata1	chr9	107986401	107986411	+	0.000	0.000	Merged-chr9-107986494-4
NR5190--MA0037.3.GATA3	chr2	20969349	20969356	+	0.000	0.000	Merged-chr2-20969092-180
NR5782--MA0035.3.Gata1	chr2	163229299	163229309	-	0.000	0.000	Merged-chr2-163229277-53
NR4127--MA0482.1.Gata4	chr16	85172249	85172259	+	0.000	0.000	Merged-chr16-85172081-1
NR1450--MA0036.3.GATA2	chr10	122578485	122578495	+	0.000	0.000	Merged-chr10-122578660-68
NR4788--MA0766.1.GATA5	chr18	50028363	50028370	+	0.000	0.000	Merged-chr18-50028414-49
NR9845--MA0766.1.GATA5	chrX	23673359	23673366	-	0.000	0.000	Merged-chrX-23673581-22
NR8301--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR8672--MA0482.1.Gata4	chr7	30535312	30535322	-	0.000	0.000	Merged-chr7-30535126-64
NR716--MA0482.1.Gata4	chr1	164494816	164494826	-	0.000	0.000	Merged-chr1-164494906-11
NR8917--MA1104.1.GATA6	chr7	110432409	110432421	-	0.000	0.000	Merged-chr7-110432490-32
NR4170--MA0482.1.Gata4	chr16	91448306	91448316	-	0.000	0.000	Merged-chr16-91448282-13
NR2346--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR4488--MA0482.1.Gata4	chr17	65954138	65954148	+	0.000	0.000	Merged-chr17-65954196-36
NR8484--MA1104.1.GATA6	chr6	140817123	140817135	+	0.000	0.000	Merged-chr6-140817043-66
NR8356--MA0036.3.GATA2	chr6	129210607	129210617	-	0.000	0.000	Merged-chr6-129210550-50
NR7603--MA0035.3.Gata1	chr5	89036398	89036408	-	0.000	0.000	Merged-chr5-89036442-30
NR9792--MA0766.1.GATA5	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR5551--MA0036.3.GATA2	chr2	119742115	119742125	-	0.000	0.000	Merged-chr2-119742331-93
NR4776--MA1104.1.GATA6	chr18	49982266	49982278	-	0.000	0.000	Merged-chr18-49982392-61
NR8223--MA0766.1.GATA5	chr6	100011908	100011915	+	0.000	0.000	Merged-chr6-100011850-11
NR8295--MA0035.3.Gata1	chr6	122557163	122557173	+	0.000	0.000	Merged-chr6-122557216-31
NR7754--MA0036.3.GATA2	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR3188--MA1104.1.GATA6	chr14	66241475	66241487	-	0.000	0.000	Merged-chr14-66241484-22
NR8337--MA0482.1.Gata4	chr6	127474041	127474051	-	0.000	0.000	Merged-chr6-127474146-19
NR6294--MA1104.1.GATA6	chr3	106788697	106788709	+	0.000	0.000	Merged-chr3-106788511-97
NR7863--MA0036.3.GATA2	chr6	12785361	12785371	+	0.000	0.000	Merged-chr6-12785179-11
NR9479--MA1104.1.GATA6	chr9	13466581	13466593	+	0.000	0.000	Merged-chr9-13466686-68
NR1681--MA0036.3.GATA2	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR2130--MA0140.2.GATA1::TAL1	chr12	79296606	79296623	-	0.000	0.000	Merged-chr12-79296800-36
NR5596--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR1604--MA0036.3.GATA2	chr11	33932388	33932398	-	0.000	0.000	Merged-chr11-33932389-100
NR8969--MA0482.1.Gata4	chr7	119894978	119894988	-	0.000	0.000	Merged-chr7-119895039-1
NR4580--MA1104.1.GATA6	chr17	86880651	86880663	-	0.000	0.000	Merged-chr17-86880662-37
NR9607--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR8436--MA0035.3.Gata1	chr6	134533242	134533252	+	0.000	0.000	Merged-chr6-134533147-7
NR7289--MA1104.1.GATA6	chr5	15470115	15470127	-	0.000	0.000	Merged-chr5-15470199-54
NR3122--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR4728--MA0035.3.Gata1	chr18	38350148	38350158	+	0.000	0.000	Merged-chr18-38350190-47
NR4366--MA0766.1.GATA5	chr17	31210486	31210493	-	0.000	0.000	Merged-chr17-31210494-9
NR2185--MA1104.1.GATA6	chr12	91065609	91065621	-	0.000	0.000	Merged-chr12-91065547-31
NR689--MA0482.1.Gata4	chr1	160044870	160044880	-	0.000	0.000	Merged-chr1-160044750-78
NR3855--MA0035.3.Gata1	chr16	20930012	20930022	+	0.000	0.000	Merged-chr16-20930100-26
NR7417--MA0037.3.GATA3	chr5	36722519	36722526	+	0.000	0.000	Merged-chr5-36722614-37
NR8696--MA0036.3.GATA2	chr7	45083050	45083060	+	0.000	0.000	Merged-chr7-45083107-80
NR8773--MA0482.1.Gata4	chr7	72308183	72308193	+	0.000	0.000	Merged-chr7-72308227-31
NR8297--MA0482.1.Gata4	chr6	122742624	122742634	+	0.000	0.000	Merged-chr6-122742614-91
NR1487--MA0037.3.GATA3	chr10	127135640	127135647	-	0.000	0.000	Merged-chr10-127135675-65
NR2699--MA0766.1.GATA5	chr13	81659056	81659063	+	0.000	0.000	Merged-chr13-81658891-4
NR1665--MA0035.3.Gata1	chr11	66906109	66906119	-	0.000	0.000	Merged-chr11-66906049-23
NR2422--MA0037.3.GATA3	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR6510--MA0037.3.GATA3	chr3	142356729	142356736	+	0.000	0.000	Merged-chr3-142356734-49
NR196--MA1104.1.GATA6	chr1	59173177	59173189	+	0.000	0.000	Merged-chr1-59173225-2
NR6666--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR2517--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR6182--MA0482.1.Gata4	chr3	75696298	75696308	-	0.000	0.000	Merged-chr3-75696372-7
NR9763--MA0766.1.GATA5	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR6063--MA0035.3.Gata1	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR9610--MA0036.3.GATA2	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR4358--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR7757--MA0037.3.GATA3	chr5	139483517	139483524	-	0.000	0.000	Merged-chr5-139483495-36
NR4333--MA1104.1.GATA6	chr17	18718466	18718478	+	0.000	0.000	Merged-chr17-18718477-13
NR4128--MA1104.1.GATA6	chr16	85172247	85172259	-	0.000	0.000	Merged-chr16-85172081-1
NR4091--MA0140.2.GATA1::TAL1	chr16	76225784	76225801	+	0.000	0.000	Merged-chr16-76225808-94
NR3485--MA0766.1.GATA5	chr15	19857647	19857654	-	0.000	0.000	Merged-chr15-19857574-17
NR8375--MA0035.3.Gata1	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR4171--MA1104.1.GATA6	chr16	91448306	91448318	+	0.000	0.000	Merged-chr16-91448282-13
NR5044--MA0037.3.GATA3	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR9798--MA0037.3.GATA3	chr9	123087722	123087729	+	0.000	0.000	Merged-chr9-123087769-13
NR7420--MA0036.3.GATA2	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR4786--MA0482.1.Gata4	chr18	50028360	50028370	-	0.000	0.000	Merged-chr18-50028414-49
NR5740--MA0036.3.GATA2	chr2	150667355	150667365	-	0.000	0.000	Merged-chr2-150667676-130
NR4489--MA1104.1.GATA6	chr17	65954136	65954148	-	0.000	0.000	Merged-chr17-65954196-36
NR3865--MA0766.1.GATA5	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR1314--MA0766.1.GATA5	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR5222--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR2267--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR7800--MA0036.3.GATA2	chr5	150220586	150220596	+	0.000	0.000	Merged-chr5-150220578-7
NR1514--MA0035.3.Gata1	chr11	4804254	4804264	+	0.000	0.000	Merged-chr11-4804243-58
NR4822--MA0037.3.GATA3	chr18	56733839	56733846	+	0.000	0.000	Merged-chr18-56734019-60
NR3717--MA0035.3.Gata1	chr15	91578251	91578261	+	0.000	0.000	Merged-chr15-91578192-2
NR8338--MA1104.1.GATA6	chr6	127474041	127474053	+	0.000	0.000	Merged-chr6-127474146-19
NR6269--MA0766.1.GATA5	chr3	93607809	93607816	+	0.000	0.000	Merged-chr3-93607971-30
NR9917--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR4385--MA0482.1.Gata4	chr17	35910100	35910110	+	0.000	0.000	Merged-chr17-35910117-56
NR3183--MA0036.3.GATA2	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR1774--MA0036.3.GATA2	chr11	113788692	113788702	+	0.000	0.000	Merged-chr11-113788685-32
NR2903--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR7813--MA0036.3.GATA2	chr6	3343983	3343993	+	0.000	0.000	Merged-chr6-3344027-33
NR4037--MA0482.1.Gata4	chr16	64758765	64758775	-	0.000	0.000	Merged-chr16-64758494-145
NR8058--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR9846--MA0035.3.Gata1	chrX	23673358	23673368	+	0.000	0.000	Merged-chrX-23673581-22
NR8377--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR3250--MA0035.3.Gata1	chr14	87439912	87439922	+	0.000	0.000	Merged-chr14-87439901-5
NR1755--MA0482.1.Gata4	chr11	106430743	106430753	+	0.000	0.000	Merged-chr11-106430638-37
NR5393--MA0140.2.GATA1::TAL1	chr2	77327445	77327462	+	0.000	0.000	Merged-chr2-77327471-3
NR2347--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1274--MA0766.1.GATA5	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR4207--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR8343--MA0482.1.Gata4	chr6	128764089	128764099	+	0.000	0.000	Merged-chr6-128764213-62
NR709--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR7765--MA0035.3.Gata1	chr5	142896936	142896946	-	0.000	0.000	Merged-chr5-142896891-14
NR8298--MA1104.1.GATA6	chr6	122742622	122742634	-	0.000	0.000	Merged-chr6-122742614-91
NR8251--MA0037.3.GATA3	chr6	108168408	108168415	+	0.000	0.000	Merged-chr6-108168461-115
NR9031--MA0035.3.Gata1	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR7783--MA0766.1.GATA5	chr5	149255637	149255644	-	0.000	0.000	Merged-chr5-149255735-4
NR2863--MA0037.3.GATA3	chr13	109822582	109822589	+	0.000	0.000	Merged-chr13-109822486-79
NR7071--MA0140.2.GATA1::TAL1	chr4	107989070	107989087	-	0.000	0.000	Merged-chr4-107989218-22
NR5780--MA0035.3.Gata1	chr2	163054626	163054636	-	0.000	0.000	Merged-chr2-163054784-63
NR1657--MA0036.3.GATA2	chr11	64037639	64037649	-	0.000	0.000	Merged-chr11-64037767-32
NR7231--MA0482.1.Gata4	chr4	156022069	156022079	+	0.000	0.000	Merged-chr4-156022073-120
NR1762--MA0140.2.GATA1::TAL1	chr11	109561082	109561099	-	0.000	0.000	Merged-chr11-109560984-42
NR1633--MA0766.1.GATA5	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR3555--MA0036.3.GATA2	chr15	40131079	40131089	+	0.000	0.000	Merged-chr15-40131241-26
NR1113--MA0036.3.GATA2	chr10	62665830	62665840	-	0.000	0.000	Merged-chr10-62665963-7
NR1790--MA0482.1.Gata4	chr11	121038747	121038757	+	0.000	0.000	Merged-chr11-121038759-1
