#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR301--MA0508.2.PRDM1	chr10	58282343	58282352	+	0.000	0.000	Merged-chr10-58282409-26
NR457--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR728--MA0508.2.PRDM1	chr13	100616693	100616702	-	0.000	0.000	Merged-chr13-100616743-59
NR314--MA0508.2.PRDM1	chr10	67620233	67620242	+	0.000	0.000	Merged-chr10-67620150-41
NR2425--MA0508.2.PRDM1	chr7	73531100	73531109	+	0.000	0.000	Merged-chr7-73531012-64
NR2167--MA0508.2.PRDM1	chr5	122951586	122951595	-	0.000	0.000	Merged-chr5-122951683-61
NR579--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR165--MA0508.2.PRDM1	chr1	153085200	153085209	+	0.000	0.000	Merged-chr1-153085366-59
NR2133--MA0508.2.PRDM1	chr5	90402983	90402992	+	0.000	0.000	Merged-chr5-90403196-7
NR2404--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR274--MA0508.2.PRDM1	chr10	39908940	39908949	-	0.000	0.000	Merged-chr10-39908965-34
NR131--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR1531--MA0508.2.PRDM1	chr2	117352885	117352894	+	0.000	0.000	Merged-chr2-117352784-31
NR2289--MA0508.2.PRDM1	chr6	99095795	99095804	-	0.000	0.000	Merged-chr6-99095913-165
NR2112--MA0508.2.PRDM1	chr5	62939302	62939311	-	0.000	0.000	Merged-chr5-62939189-18
NR2221--MA0508.2.PRDM1	chr6	29264533	29264542	-	0.000	0.000	Merged-chr6-29264627-26
NR428--MA0508.2.PRDM1	chr11	46308006	46308015	-	0.000	0.000	Merged-chr11-46308256-89
NR2234--MA0508.2.PRDM1	chr6	54088344	54088353	-	0.000	0.000	Merged-chr6-54088359-21
NR1980--MA0508.2.PRDM1	chr4	133757633	133757642	-	0.000	0.000	Merged-chr4-133757542-4
NR2356--MA0508.2.PRDM1	chr6	142752600	142752609	+	0.000	0.000	Merged-chr6-142752635-30
NR2627--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR1340--MA0508.2.PRDM1	chr19	8518398	8518407	-	0.000	0.000	Merged-chr19-8518636-102
NR638--MA0508.2.PRDM1	chr13	33004491	33004500	+	0.000	0.000	Merged-chr13-33004532-79
NR1972--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR2335--MA0508.2.PRDM1	chr6	131264131	131264140	+	0.000	0.000	Merged-chr6-131264117-18
NR2587--MA0508.2.PRDM1	chr8	128654845	128654854	+	0.000	0.000	Merged-chr8-128654839-29
NR2173--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1985--MA0508.2.PRDM1	chr4	138222591	138222600	-	0.000	0.000	Merged-chr4-138222577-29
NR1584--MA0508.2.PRDM1	chr2	165982773	165982782	+	0.000	0.000	Merged-chr2-165982856-79
NR468--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR2165--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR1977--MA0508.2.PRDM1	chr4	131860988	131860997	-	0.000	0.000	Merged-chr4-131861030-31
NR1576--MA0508.2.PRDM1	chr2	151974197	151974206	-	0.000	0.000	Merged-chr2-151974232-5
NR1032--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR870--MA0508.2.PRDM1	chr14	87079923	87079932	+	0.000	0.000	Merged-chr14-87079950-39
NR2279--MA0508.2.PRDM1	chr6	90819194	90819203	-	0.000	0.000	Merged-chr6-90819007-15
NR1154--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR1500--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR1752--MA0508.2.PRDM1	chr3	126650982	126650991	+	0.000	0.000	Merged-chr3-126650760-81
NR1404--MA0508.2.PRDM1	chr2	26739238	26739247	+	0.000	0.000	Merged-chr2-26739075-19
NR1308--MA0508.2.PRDM1	chr18	70598098	70598107	+	0.000	0.000	Merged-chr18-70597990-21
NR1351--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR1146--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR1398--MA0508.2.PRDM1	chr2	19734646	19734655	+	0.000	0.000	Merged-chr2-19734692-8
NR1003--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR1669--MA0508.2.PRDM1	chr3	52791142	52791151	+	0.000	0.000	Merged-chr3-52791161-46
NR2700--MA0508.2.PRDM1	chrX	11664477	11664486	+	0.000	0.000	Merged-chrX-11664686-45
NR1093--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR1016--MA0508.2.PRDM1	chr16	10732708	10732717	+	0.000	0.000	Merged-chr16-10732689-38
NR1268--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR724--MA0508.2.PRDM1	chr13	97857898	97857907	-	0.000	0.000	Merged-chr13-97858038-42
NR1595--MA0508.2.PRDM1	chr2	173448682	173448691	+	0.000	0.000	Merged-chr2-173448878-59
NR1975--MA0508.2.PRDM1	chr4	129570168	129570177	+	0.000	0.000	Merged-chr4-129570214-45
NR1499--MA0508.2.PRDM1	chr2	91710612	91710621	+	0.000	0.000	Merged-chr2-91710716-76
NR1988--MA0508.2.PRDM1	chr4	140814522	140814531	+	0.000	0.000	Merged-chr4-140814639-31
NR1478--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1064--MA0508.2.PRDM1	chr16	52129718	52129727	+	0.000	0.000	Merged-chr16-52129675-51
NR1335--MA0508.2.PRDM1	chr19	5088494	5088503	-	0.000	0.000	Merged-chr19-5088339-71
NR1173--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR1030--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR663--MA0508.2.PRDM1	chr13	63701894	63701903	-	0.000	0.000	Merged-chr13-63701998-19
NR2631--MA0508.2.PRDM1	chr9	63755019	63755028	+	0.000	0.000	Merged-chr9-63755068-11
NR676--MA0508.2.PRDM1	chr13	74639845	74639854	+	0.000	0.000	Merged-chr13-74639723-103
NR1152--MA0508.2.PRDM1	chr17	33358908	33358917	-	0.000	0.000	Merged-chr17-33358776-57
NR785--MA0508.2.PRDM1	chr14	7819461	7819470	-	0.000	0.000	Merged-chr14-7819575-11
NR41--MA0508.2.PRDM1	chr1	39010834	39010843	+	0.000	0.000	Merged-chr1-39010823-36
NR2482--MA0508.2.PRDM1	chr7	141096796	141096805	+	0.000	0.000	Merged-chr7-141096826-78
NR2610--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR817--MA0508.2.PRDM1	chr14	36270837	36270846	-	0.000	0.000	Merged-chr14-36270876-1
NR1165--MA0508.2.PRDM1	chr17	43265573	43265582	+	0.000	0.000	Merged-chr17-43265450-43
NR132--MA0508.2.PRDM1	chr1	133661418	133661427	-	0.000	0.000	Merged-chr1-133661318-54
NR1144--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR2222--MA0508.2.PRDM1	chr6	29278874	29278883	+	0.000	0.000	Merged-chr6-29279043-26
NR220--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR995--MA0508.2.PRDM1	chr15	91172410	91172419	-	0.000	0.000	Merged-chr15-91172371-1
NR852--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR1537--MA0508.2.PRDM1	chr2	122180682	122180691	+	0.000	0.000	Merged-chr2-122180612-37
NR690--MA0508.2.PRDM1	chr13	83649954	83649963	+	0.000	0.000	Merged-chr13-83649966-15
NR2453--MA0508.2.PRDM1	chr7	107707815	107707824	+	0.000	0.000	Merged-chr7-107707960-19
NR2724--MA0508.2.PRDM1	chrX	130772368	130772377	-	0.000	0.000	Merged-chrX-130772470-1
NR180--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR451--MA0508.2.PRDM1	chr11	100931778	100931787	+	0.000	0.000	Merged-chr11-100931794-39
NR2562--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR464--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1149--MA0508.2.PRDM1	chr17	29660669	29660678	-	0.000	0.000	Merged-chr17-29660811-69
NR2161--MA0508.2.PRDM1	chr5	110639435	110639444	+	0.000	0.000	Merged-chr5-110639613-29
NR2432--MA0508.2.PRDM1	chr7	80647609	80647618	-	0.000	0.000	Merged-chr7-80647614-48
NR38--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR573--MA0508.2.PRDM1	chr12	101075286	101075295	-	0.000	0.000	Merged-chr12-101075229-34
NR844--MA0508.2.PRDM1	chr14	60783430	60783439	+	0.000	0.000	Merged-chr14-60783398-4
NR430--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR1096--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR1019--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR2716--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR443--MA0508.2.PRDM1	chr11	88187859	88187868	+	0.000	0.000	Merged-chr11-88187909-35
NR2392--MA0508.2.PRDM1	chr7	30454088	30454097	-	0.000	0.000	Merged-chr7-30453953-45
NR2729--MA0508.2.PRDM1	chrX	140457235	140457244	+	0.000	0.000	Merged-chrX-140457424-1
NR661--MA0508.2.PRDM1	chr13	63112792	63112801	+	0.000	0.000	Merged-chr13-63112828-16
NR313--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR565--MA0508.2.PRDM1	chr12	93670525	93670534	-	0.000	0.000	Merged-chr12-93670515-1
NR422--MA0508.2.PRDM1	chr11	34762809	34762818	-	0.000	0.000	Merged-chr11-34762658-71
NR469--MA0508.2.PRDM1	chr12	8660050	8660059	-	0.000	0.000	Merged-chr12-8659979-34
NR326--MA0508.2.PRDM1	chr10	77537462	77537471	+	0.000	0.000	Merged-chr10-77537383-119
NR2708--MA0508.2.PRDM1	chrX	53370386	53370395	-	0.000	0.000	Merged-chrX-53370330-90
NR849--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR1197--MA0508.2.PRDM1	chr17	73010123	73010132	+	0.000	0.000	Merged-chr17-73010213-37
NR2023--MA0508.2.PRDM1	chr5	8426141	8426150	-	0.000	0.000	Merged-chr5-8426095-8
NR2689--MA0508.2.PRDM1	chr9	114452507	114452516	+	0.000	0.000	Merged-chr9-114452652-12
NR2512--MA0508.2.PRDM1	chr8	36182375	36182384	-	0.000	0.000	Merged-chr8-36182321-59
NR2307--MA0508.2.PRDM1	chr6	115519189	115519198	+	0.000	0.000	Merged-chr6-115519250-24
NR382--MA0508.2.PRDM1	chr10	118407118	118407127	+	0.000	0.000	Merged-chr10-118407091-36
NR653--MA0508.2.PRDM1	chr13	49015553	49015562	+	0.000	0.000	Merged-chr13-49015468-8
NR177--MA0508.2.PRDM1	chr1	161660862	161660871	+	0.000	0.000	Merged-chr1-161660991-11
NR448--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR99--MA0508.2.PRDM1	chr1	95605707	95605716	+	0.000	0.000	Merged-chr1-95605725-17
NR491--MA0508.2.PRDM1	chr12	33034563	33034572	-	0.000	0.000	Merged-chr12-33034658-14
NR937--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR252--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR2429--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR2015--MA0508.2.PRDM1	chr5	3887111	3887120	-	0.000	0.000	Merged-chr5-3887091-30
NR2472--MA0508.2.PRDM1	chr7	132335501	132335510	-	0.000	0.000	Merged-chr7-132335509-39
NR2124--MA0508.2.PRDM1	chr5	76951353	76951362	+	0.000	0.000	Merged-chr5-76951369-96
NR2613--MA0508.2.PRDM1	chr9	32938979	32938988	+	0.000	0.000	Merged-chr9-32939001-13
NR278--MA0508.2.PRDM1	chr10	43340025	43340034	-	0.000	0.000	Merged-chr10-43339927-12
NR549--MA0508.2.PRDM1	chr12	88437418	88437427	-	0.000	0.000	Merged-chr12-88437518-14
NR406--MA0508.2.PRDM1	chr11	6628130	6628139	+	0.000	0.000	Merged-chr11-6628019-13
NR2180--MA0508.2.PRDM1	chr5	148388087	148388096	-	0.000	0.000	Merged-chr5-148388208-26
NR1501--MA0508.2.PRDM1	chr2	92464857	92464866	+	0.000	0.000	Merged-chr2-92464936-24
NR2007--MA0508.2.PRDM1	chr4	147848475	147848484	-	0.000	0.000	Merged-chr4-147848412-69
NR2225--MA0508.2.PRDM1	chr6	34364710	34364719	+	0.000	0.000	Merged-chr6-34364838-25
NR1971--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR2172--MA0508.2.PRDM1	chr5	135118615	135118624	-	0.000	0.000	Merged-chr5-135118769-7
NR2695--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2281--MA0508.2.PRDM1	chr6	91125020	91125029	+	0.000	0.000	Merged-chr6-91125010-35
NR629--MA0508.2.PRDM1	chr13	22028930	22028939	-	0.000	0.000	Merged-chr13-22029066-52
NR2469--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR215--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR2326--MA0508.2.PRDM1	chr6	129575706	129575715	-	0.000	0.000	Merged-chr6-129575587-29
NR1724--MA0508.2.PRDM1	chr3	102738821	102738830	-	0.000	0.000	Merged-chr3-102738606-70
NR1833--MA0508.2.PRDM1	chr4	3954239	3954248	+	0.000	0.000	Merged-chr4-3954116-51
NR175--MA0508.2.PRDM1	chr1	160053604	160053613	-	0.000	0.000	Merged-chr1-160053620-125
NR2286--MA0508.2.PRDM1	chr6	97311155	97311164	-	0.000	0.000	Merged-chr6-97311024-32
NR1684--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR1812--MA0508.2.PRDM1	chr3	152956344	152956353	+	0.000	0.000	Merged-chr3-152956195-38
NR1716--MA0508.2.PRDM1	chr3	96198425	96198434	+	0.000	0.000	Merged-chr3-96198410-32
NR2679--MA0508.2.PRDM1	chr9	101099666	101099675	+	0.000	0.000	Merged-chr9-101099532-8
NR2265--MA0508.2.PRDM1	chr6	72375320	72375329	+	0.000	0.000	Merged-chr6-72375215-35
NR1533--MA0508.2.PRDM1	chr2	117441210	117441219	-	0.000	0.000	Merged-chr2-117441143-41
NR308--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR1371--MA0508.2.PRDM1	chr2	3710545	3710554	+	0.000	0.000	Merged-chr2-3710676-36
NR1403--MA0508.2.PRDM1	chr2	26739164	26739173	-	0.000	0.000	Merged-chr2-26739075-19
NR2114--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1002--MA0508.2.PRDM1	chr15	97372803	97372812	+	0.000	0.000	Merged-chr15-97372688-4
NR1668--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR1982--MA0508.2.PRDM1	chr4	135895473	135895482	-	0.000	0.000	Merged-chr4-135895375-12
NR2196--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR1342--MA0508.2.PRDM1	chr19	12477074	12477083	+	0.000	0.000	Merged-chr19-12477129-16
NR1974--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1498--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR1050--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR1987--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1844--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR540--MA0508.2.PRDM1	chr12	76886919	76886928	-	0.000	0.000	Merged-chr12-76886981-34
NR792--MA0508.2.PRDM1	chr14	10368281	10368290	-	0.000	0.000	Merged-chr14-10368196-11
NR1063--MA0508.2.PRDM1	chr16	52067986	52067995	+	0.000	0.000	Merged-chr16-52068153-48
NR1300--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR662--MA0508.2.PRDM1	chr13	63246490	63246499	-	0.000	0.000	Merged-chr13-63246406-68
NR1204--MA0508.2.PRDM1	chr17	78362369	78362378	+	0.000	0.000	Merged-chr17-78362512-60
NR2630--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR1185--MA0508.2.PRDM1	chr17	63404308	63404317	+	0.000	0.000	Merged-chr17-63404255-16
NR1456--MA0508.2.PRDM1	chr2	59364704	59364713	-	0.000	0.000	Merged-chr2-59364601-33
NR1979--MA0508.2.PRDM1	chr4	133757572	133757581	-	0.000	0.000	Merged-chr4-133757542-4
NR1151--MA0508.2.PRDM1	chr17	32528916	32528925	+	0.000	0.000	Merged-chr17-32528790-45
NR641--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR750--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR1706--MA0508.2.PRDM1	chr3	83987959	83987968	-	0.000	0.000	Merged-chr3-83987942-35
NR53--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1544--MA0508.2.PRDM1	chr2	132643448	132643457	+	0.000	0.000	Merged-chr2-132643452-47
NR1068--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1339--MA0508.2.PRDM1	chr19	8518392	8518401	-	0.000	0.000	Merged-chr19-8518636-102
NR1796--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR1828--MA0508.2.PRDM1	chr3	157627581	157627590	-	0.000	0.000	Merged-chr3-157627729-20
NR110--MA0508.2.PRDM1	chr1	106647497	106647506	-	0.000	0.000	Merged-chr1-106647524-44
NR1156--MA0508.2.PRDM1	chr17	34201879	34201888	-	0.000	0.000	Merged-chr17-34201999-10
NR1679--MA0508.2.PRDM1	chr3	60639264	60639273	-	0.000	0.000	Merged-chr3-60639254-17
NR851--MA0508.2.PRDM1	chr14	66235690	66235699	+	0.000	0.000	Merged-chr14-66235717-23
NR484--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR1169--MA0508.2.PRDM1	chr17	48316139	48316148	+	0.000	0.000	Merged-chr17-48316195-8
NR612--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR2452--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR1406--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR2290--MA0508.2.PRDM1	chr6	99429528	99429537	+	0.000	0.000	Merged-chr6-99429692-1
NR211--MA0508.2.PRDM1	chr1	189703530	189703539	-	0.000	0.000	Merged-chr1-189703506-56
NR1101--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR1353--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR1005--MA0508.2.PRDM1	chr15	98623492	98623501	-	0.000	0.000	Merged-chr15-98623504-45
NR2683--MA0508.2.PRDM1	chr9	106752241	106752250	-	0.000	0.000	Merged-chr9-106752260-31
NR224--MA0508.2.PRDM1	chr10	7470409	7470418	+	0.000	0.000	Merged-chr10-7470291-37
NR952--MA0508.2.PRDM1	chr15	39905283	39905292	-	0.000	0.000	Merged-chr15-39905299-27
NR333--MA0508.2.PRDM1	chr10	84070520	84070529	-	0.000	0.000	Merged-chr10-84070351-2
NR1889--MA0508.2.PRDM1	chr4	56005724	56005733	-	0.000	0.000	Merged-chr4-56005821-2
NR1018--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR585--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR280--MA0508.2.PRDM1	chr10	44003891	44003900	+	0.000	0.000	Merged-chr10-44003826-80
NR2391--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR1488--MA0508.2.PRDM1	chr2	84660553	84660562	-	0.000	0.000	Merged-chr2-84660480-32
NR1467--MA0508.2.PRDM1	chr2	68430850	68430859	-	0.000	0.000	Merged-chr2-68430660-54
NR1053--MA0508.2.PRDM1	chr16	45024178	45024187	-	0.000	0.000	Merged-chr16-45024089-23
NR891--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
