#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR44604--MA1107.1.KLF9	chr4	14922363	14922375	-	0.000	0.000	Merged-chr4-14922203-28
NR66681--MA0741.1.KLF16	chr8	111259249	111259259	-	0.000	0.000	Merged-chr8-111259123-96
NR65111--MA0599.1.KLF5	chr8	64947110	64947119	+	0.000	0.000	Merged-chr8-64947122-116
NR22705--MA0599.1.KLF5	chr15	38199892	38199901	+	0.000	0.000	Merged-chr15-38199755-22
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR33927--MA1107.1.KLF9	chr19	41207067	41207079	+	0.000	0.000	Merged-chr19-41206944-35
NR12749--MA0741.1.KLF16	chr11	113787647	113787657	+	0.000	0.000	Merged-chr11-113787671-26
NR58891--MA0742.1.Klf12	chr7	6362942	6362956	+	0.000	0.000	Merged-chr7-6362949-126
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
NR61839--MA0493.1.Klf1	chr7	102315702	102315712	-	0.000	0.000	Merged-chr7-102315597-18
NR46267--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR1179--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR28453--MA0741.1.KLF16	chr17	29500858	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR69138--MA0741.1.KLF16	chr9	64023084	64023094	+	0.000	0.000	Merged-chr9-64023001-53
NR35799--MA0599.1.KLF5	chr2	32931925	32931934	+	0.000	0.000	Merged-chr2-32931910-4
NR50731--MA0039.3.KLF4	chr5	65764529	65764539	+	0.000	0.000	Merged-chr5-65764429-153
NR6825--MA0599.1.KLF5	chr10	77522617	77522626	-	0.000	0.000	Merged-chr10-77522522-50
NR15805--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR67034--MA0039.3.KLF4	chr8	119927824	119927834	+	0.000	0.000	Merged-chr8-119927830-10
NR64662--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR57300--MA0741.1.KLF16	chr6	120836853	120836863	+	0.000	0.000	Merged-chr6-120836708-1
NR11353--MA0741.1.KLF16	chr11	80089398	80089408	+	0.000	0.000	Merged-chr11-80089472-35
NR33185--MA0599.1.KLF5	chr19	7294696	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR18784--MA0599.1.KLF5	chr13	113031870	113031879	-	0.000	0.000	Merged-chr13-113031920-44
NR698--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR1840--MA1107.1.KLF9	chr1	97613886	97613898	+	0.000	0.000	Merged-chr1-97613912-17
NR50260--MA0740.1.KLF14	chr5	44971073	44971086	+	0.000	0.000	Merged-chr5-44970910-1
NR55620--MA0741.1.KLF16	chr6	56909162	56909172	-	0.000	0.000	Merged-chr6-56909111-27
NR40365--MA0039.3.KLF4	chr3	10013167	10013177	-	0.000	0.000	Merged-chr3-10012893-114
NR65876--MA0493.1.Klf1	chr8	84686727	84686737	-	0.000	0.000	Merged-chr8-84686915-1
NR59949--MA0039.3.KLF4	chr7	30607854	30607864	-	0.000	0.000	Merged-chr7-30607986-27
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR39969--MA0742.1.Klf12	chr2	173036664	173036678	-	0.000	0.000	Merged-chr2-173036738-9
NR43462--MA0741.1.KLF16	chr3	135307624	135307634	+	0.000	0.000	Merged-chr3-135307763-66
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR13317--MA0599.1.KLF5	chr11	121388260	121388269	+	0.000	0.000	Merged-chr11-121388378-24
NR43733--MA0741.1.KLF16	chr3	143379404	143379414	+	0.000	0.000	Merged-chr3-143379316-24
NR10384--MA0741.1.KLF16	chr11	58994647	58994657	-	0.000	0.000	Merged-chr11-58994584-23
NR5133--MA0742.1.Klf12	chr10	7780925	7780939	-	0.000	0.000	Merged-chr10-7780858-76
NR60472--MA0599.1.KLF5	chr7	46033783	46033792	-	0.000	0.000	Merged-chr7-46033779-50
NR56126--MA0741.1.KLF16	chr6	86397185	86397195	+	0.000	0.000	Merged-chr6-86397021-74
NR64653--MA0741.1.KLF16	chr8	36188904	36188914	-	0.000	0.000	Merged-chr8-36188983-40
NR72771--MA0493.1.Klf1	chrX	157492112	157492122	-	0.000	0.000	Merged-chrX-157492192-4
NR44716--MA1107.1.KLF9	chr4	21766642	21766654	-	0.000	0.000	Merged-chr4-21766998-60
NR31659--MA0599.1.KLF5	chr18	56562415	56562424	+	0.000	0.000	Merged-chr18-56562419-49
NR55285--MA0039.3.KLF4	chr6	48706254	48706264	+	0.000	0.000	Merged-chr6-48706289-36
NR45928--MA0599.1.KLF5	chr4	65605074	65605083	-	0.000	0.000	Merged-chr4-65605051-78
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR54340--MA0599.1.KLF5	chr5	149526302	149526311	-	0.000	0.000	Merged-chr5-149526152-1
NR45713--MA0599.1.KLF5	chr4	59626167	59626176	+	0.000	0.000	Merged-chr4-59626281-68
NR34681--MA0741.1.KLF16	chr2	3118324	3118334	-	0.000	0.000	Merged-chr2-3118423-48
NR27701--MA1107.1.KLF9	chr17	12036300	12036312	+	0.000	0.000	Merged-chr17-12036318-13
NR41334--MA0039.3.KLF4	chr3	68763113	68763123	+	0.000	0.000	Merged-chr3-68763187-8
NR7199--MA0741.1.KLF16	chr10	81136291	81136301	-	0.000	0.000	Merged-chr10-81136337-26
NR58887--MA0493.1.Klf1	chr7	6286458	6286468	-	0.000	0.000	Merged-chr7-6286404-52
NR11033--MA1107.1.KLF9	chr11	75410424	75410436	+	0.000	0.000	Merged-chr11-75410293-22
NR65159--MA0741.1.KLF16	chr8	68062493	68062503	+	0.000	0.000	Merged-chr8-68062355-69
NR32717--MA0493.1.Klf1	chr18	84685289	84685299	-	0.000	0.000	Merged-chr18-84685222-141
NR70363--MA0493.1.Klf1	chr9	99479260	99479270	-	0.000	0.000	Merged-chr9-99479335-46
NR6731--MA0599.1.KLF5	chr10	75836068	75836077	+	0.000	0.000	Merged-chr10-75835813-94
NR42013--MA0657.1.KLF13	chr3	95650860	95650877	-	0.000	0.000	Merged-chr3-95650788-36
NR32637--MA0599.1.KLF5	chr18	82855839	82855848	+	0.000	0.000	Merged-chr18-82855874-59
NR12030--MA0599.1.KLF5	chr11	98587421	98587430	+	0.000	0.000	Merged-chr11-98587314-62
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR71135--MA0741.1.KLF16	chr9	116123216	116123226	-	0.000	0.000	Merged-chr9-116123185-43
NR28218--MA1107.1.KLF9	chr17	27133988	27134000	+	0.000	0.000	Merged-chr17-27133890-64
NR64366--MA0599.1.KLF5	chr8	22060487	22060496	-	0.000	0.000	Merged-chr8-22060379-109
NR12284--MA0740.1.KLF14	chr11	102309137	102309150	-	0.000	0.000	Merged-chr11-102309316-55
NR44856--MA0599.1.KLF5	chr4	33310259	33310268	-	0.000	0.000	Merged-chr4-33310385-59
NR56193--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR39473--MA0493.1.Klf1	chr2	163750236	163750246	+	0.000	0.000	Merged-chr2-163750187-67
NR36683--MA0599.1.KLF5	chr2	73540605	73540614	-	0.000	0.000	Merged-chr2-73540763-38
NR44641--MA0599.1.KLF5	chr4	16163661	16163670	+	0.000	0.000	Merged-chr4-16163634-149
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR5198--MA0599.1.KLF5	chr10	11149366	11149375	-	0.000	0.000	Merged-chr10-11149591-75
NR23473--MA0740.1.KLF14	chr15	75894412	75894425	+	0.000	0.000	Merged-chr15-75894455-46
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR29000--MA0599.1.KLF5	chr17	44079046	44079055	-	0.000	0.000	Merged-chr17-44078849-42
NR20967--MA0039.3.KLF4	chr14	73049214	73049224	-	0.000	0.000	Merged-chr14-73049322-54
NR47690--MA1107.1.KLF9	chr4	132783898	132783910	-	0.000	0.000	Merged-chr4-132783946-19
NR50200--MA0599.1.KLF5	chr5	41708185	41708194	+	0.000	0.000	Merged-chr5-41708072-132
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR7915--MA0599.1.KLF5	chr10	99107163	99107172	+	0.000	0.000	Merged-chr10-99107143-4
NR70881--MA0741.1.KLF16	chr9	111275333	111275343	+	0.000	0.000	Merged-chr9-111275276-5
NR913--MA0493.1.Klf1	chr1	60566750	60566760	-	0.000	0.000	Merged-chr1-60566654-83
NR1290--MA0493.1.Klf1	chr1	75487846	75487856	+	0.000	0.000	Merged-chr1-75487610-71
NR66084--MA0493.1.Klf1	chr8	90795487	90795497	+	0.000	0.000	Merged-chr8-90795506-65
NR34275--MA0599.1.KLF5	chr19	53142405	53142414	-	0.000	0.000	Merged-chr19-53142483-91
NR47597--MA0741.1.KLF16	chr4	130913176	130913186	+	0.000	0.000	Merged-chr4-130913209-32
NR7327--MA0741.1.KLF16	chr10	81606092	81606102	+	0.000	0.000	Merged-chr10-81606133-64
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR16263--MA1107.1.KLF9	chr13	17993398	17993410	-	0.000	0.000	Merged-chr13-17993273-57
NR18519--MA1107.1.KLF9	chr13	107168732	107168744	+	0.000	0.000	Merged-chr13-107168851-26
NR9--MA0741.1.KLF16	chr1	4496536	4496546	-	0.000	0.000	Merged-chr1-4496602-47
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR19781--MA0741.1.KLF16	chr14	31206078	31206088	-	0.000	0.000	Merged-chr14-31206647-90
NR50467--MA0741.1.KLF16	chr5	57714983	57714993	-	0.000	0.000	Merged-chr5-57715009-24
NR43784--MA0599.1.KLF5	chr3	144720483	144720492	-	0.000	0.000	Merged-chr3-144720507-6
NR59212--MA0599.1.KLF5	chr7	19149330	19149339	+	0.000	0.000	Merged-chr7-19149446-69
NR25433--MA0599.1.KLF5	chr16	17177860	17177869	+	0.000	0.000	Merged-chr16-17177816-6
NR45251--MA0741.1.KLF16	chr4	45342149	45342159	-	0.000	0.000	Merged-chr4-45342285-81
NR14124--MA0741.1.KLF16	chr12	52503832	52503842	-	0.000	0.000	Merged-chr12-52504054-125
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR45139--MA1107.1.KLF9	chr4	43044013	43044025	+	0.000	0.000	Merged-chr4-43044114-23
NR66171--MA0741.1.KLF16	chr8	94447719	94447729	-	0.000	0.000	Merged-chr8-94447653-43
NR21199--MA0599.1.KLF5	chr14	79530367	79530376	-	0.000	0.000	Merged-chr14-79530350-57
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR22717--MA0741.1.KLF16	chr15	38452895	38452905	-	0.000	0.000	Merged-chr15-38452892-28
NR16930--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR20495--MA0741.1.KLF16	chr14	57684857	57684867	-	0.000	0.000	Merged-chr14-57684714-16
NR255--MA0741.1.KLF16	chr1	24100391	24100401	+	0.000	0.000	Merged-chr1-24100239-49
NR66671--MA0599.1.KLF5	chr8	111094542	111094551	-	0.000	0.000	Merged-chr8-111094698-82
NR43366--MA0741.1.KLF16	chr3	132684249	132684259	-	0.000	0.000	Merged-chr3-132684136-80
NR65316--MA1107.1.KLF9	chr8	70594431	70594443	+	0.000	0.000	Merged-chr8-70594498-62
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR35949--MA0740.1.KLF14	chr2	37703405	37703418	-	0.000	0.000	Merged-chr2-37703369-89
NR52598--MA1107.1.KLF9	chr5	123512320	123512332	+	0.000	0.000	Merged-chr5-123512374-9
NR10461--MA0740.1.KLF14	chr11	60727258	60727271	+	0.000	0.000	Merged-chr11-60727194-59
NR26289--MA1107.1.KLF9	chr16	55526628	55526640	-	0.000	0.000	Merged-chr16-55526472-43
NR42792--MA0493.1.Klf1	chr3	116424263	116424273	-	0.000	0.000	Merged-chr3-116424067-206
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR52720--MA0599.1.KLF5	chr5	124729838	124729847	+	0.000	0.000	Merged-chr5-124729814-15
NR10983--MA0599.1.KLF5	chr11	74649312	74649321	+	0.000	0.000	Merged-chr11-74649428-59
NR26074--MA1107.1.KLF9	chr16	44140732	44140744	-	0.000	0.000	Merged-chr16-44140552-3
NR15804--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR36865--MA0039.3.KLF4	chr2	78973959	78973969	+	0.000	0.000	Merged-chr2-78973866-41
NR9161--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR37839--MA1107.1.KLF9	chr2	118491077	118491089	+	0.000	0.000	Merged-chr2-118491236-48
NR2571--MA0741.1.KLF16	chr1	134344750	134344760	+	0.000	0.000	Merged-chr1-134344743-32
NR16056--MA0741.1.KLF16	chr12	118836994	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR12123--MA1107.1.KLF9	chr11	99549731	99549743	-	0.000	0.000	Merged-chr11-99549700-12
NR69905--MA0599.1.KLF5	chr9	85319699	85319708	+	0.000	0.000	Merged-chr9-85319747-2
NR41142--MA1107.1.KLF9	chr3	57848016	57848028	+	0.000	0.000	Merged-chr3-57848090-4
NR50053--MA0741.1.KLF16	chr5	35893448	35893458	+	0.000	0.000	Merged-chr5-35893424-58
NR24378--MA0741.1.KLF16	chr15	93375911	93375921	-	0.000	0.000	Merged-chr15-93375803-4
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR24649--MA0741.1.KLF16	chr15	98793346	98793356	+	0.000	0.000	Merged-chr15-98793364-7
NR65659--MA0657.1.KLF13	chr8	78509324	78509341	-	0.000	0.000	Merged-chr8-78509175-167
NR19780--MA0599.1.KLF5	chr14	31206081	31206090	-	0.000	0.000	Merged-chr14-31206647-90
NR70704--MA0599.1.KLF5	chr9	107985993	107986002	+	0.000	0.000	Merged-chr9-107985898-91
NR52536--MA0742.1.Klf12	chr5	122951569	122951583	+	0.000	0.000	Merged-chr5-122951683-61
NR16588--MA0742.1.Klf12	chr13	37562808	37562822	-	0.000	0.000	Merged-chr13-37562796-8
NR7126--MA1107.1.KLF9	chr10	80656766	80656778	-	0.000	0.000	Merged-chr10-80656566-55
NR56071--MA1107.1.KLF9	chr6	85037786	85037798	-	0.000	0.000	Merged-chr6-85037843-26
NR66186--MA0039.3.KLF4	chr8	94827954	94827964	-	0.000	0.000	Merged-chr8-94828163-36
NR112--MA0741.1.KLF16	chr1	13426251	13426261	-	0.000	0.000	Merged-chr1-13426013-7
NR50856--MA0742.1.Klf12	chr5	72203201	72203215	-	0.000	0.000	Merged-chr5-72203390-56
NR48285--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR25545--MA0599.1.KLF5	chr16	20672722	20672731	+	0.000	0.000	Merged-chr16-20672939-74
NR56931--MA0740.1.KLF14	chr6	113326750	113326763	+	0.000	0.000	Merged-chr6-113326896-63
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR28255--MA0599.1.KLF5	chr17	27826228	27826237	-	0.000	0.000	Merged-chr17-27826379-77
NR48780--MA1107.1.KLF9	chr4	150138195	150138207	-	0.000	0.000	Merged-chr4-150138254-13
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR28594--MA1107.1.KLF9	chr17	32993463	32993475	-	0.000	0.000	Merged-chr17-32993236-53
NR6725--MA0741.1.KLF16	chr10	75835757	75835767	+	0.000	0.000	Merged-chr10-75835813-94
NR40828--MA0599.1.KLF5	chr3	37419838	37419847	+	0.000	0.000	Merged-chr3-37419954-169
NR23485--MA1107.1.KLF9	chr15	75929910	75929922	-	0.000	0.000	Merged-chr15-75929724-50
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR31443--MA1107.1.KLF9	chr18	43687764	43687776	+	0.000	0.000	Merged-chr18-43687697-2
