#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR33833--MA1107.1.KLF9	chr19	46970289	46970301	+	0.000	0.000	Merged-chr19-46970347-33
NR17639--MA0039.3.KLF4	chr13	75845600	75845610	-	0.000	0.000	Merged-chr13-75845828-42
NR61059--MA0039.3.KLF4	chr7	122317173	122317183	+	0.000	0.000	Merged-chr7-122317075-24
NR44501--MA1107.1.KLF9	chr4	41652197	41652209	+	0.000	0.000	Merged-chr4-41652015-1,Merged-chr4-41652381-11
NR48423--MA0599.1.KLF5	chr4	156197571	156197580	-	0.000	0.000	Merged-chr4-156197657-98
NR34952--MA0741.1.KLF16	chr2	26586859	26586869	+	0.000	0.000	Merged-chr2-26586785-35
NR29384--MA0740.1.KLF14	chr17	72836338	72836351	-	0.000	0.000	Merged-chr17-72836512-10
NR6731--MA0599.1.KLF5	chr10	80399789	80399798	-	0.000	0.000	Merged-chr10-80399766-4
NR53778--MA0493.1.Klf1	chr6	35177702	35177712	-	0.000	0.000	Merged-chr6-35177687-66
NR12245--MA0599.1.KLF5	chr11	104469552	104469561	-	0.000	0.000	Merged-chr11-104469432-56
NR1070--MA1107.1.KLF9	chr1	69499060	69499072	-	0.000	0.000	Merged-chr1-69499196-51
NR45936--MA0741.1.KLF16	chr4	106911392	106911402	+	0.000	0.000	Merged-chr4-106911320-71
NR45380--MA0039.3.KLF4	chr4	83354919	83354929	+	0.000	0.000	Merged-chr4-83354968-34
NR13867--MA0493.1.Klf1	chr12	32954173	32954183	+	0.000	0.000	Merged-chr12-32954310-122
NR30309--MA0493.1.Klf1	chr18	10182140	10182150	-	0.000	0.000	Merged-chr18-10182266-3
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR10036--MA0741.1.KLF16	chr11	58199548	58199558	+	0.000	0.000	Merged-chr11-58199630-58
NR62038--MA0493.1.Klf1	chr7	142354081	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR64008--MA0599.1.KLF5	chr8	88604330	88604339	-	0.000	0.000	Merged-chr8-88604204-17
NR10875--MA0740.1.KLF14	chr11	77607869	77607882	+	0.000	0.000	Merged-chr11-77607706-105
NR11253--MA0493.1.Klf1	chr11	86580723	86580733	+	0.000	0.000	Merged-chr11-86580662-12
NR12217--MA1107.1.KLF9	chr11	103351165	103351177	+	0.000	0.000	Merged-chr11-103350991-5
NR54969--MA0741.1.KLF16	chr6	91515910	91515920	+	0.000	0.000	Merged-chr6-91515827-72
NR13413--MA0741.1.KLF16	chr12	8521797	8521807	+	0.000	0.000	Merged-chr12-8521654-50
NR62625--MA0741.1.KLF16	chr8	27023698	27023708	-	0.000	0.000	Merged-chr8-27023676-72
NR9846--MA0740.1.KLF14	chr11	53636299	53636312	-	0.000	0.000	Merged-chr11-53636381-3
NR7056--MA0741.1.KLF16	chr10	82860458	82860468	-	0.000	0.000	Merged-chr10-82860531-53
NR23392--MA0599.1.KLF5	chr15	79774557	79774566	-	0.000	0.000	Merged-chr15-79774475-53
NR18519--MA1107.1.KLF9	chr13	102284460	102284472	+	0.000	0.000	Merged-chr13-102284441-1
NR28697--MA1107.1.KLF9	chr17	47508233	47508245	-	0.000	0.000	Merged-chr17-47508113-61
NR7176--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR51056--MA1107.1.KLF9	chr5	114041785	114041797	-	0.000	0.000	Merged-chr5-114041714-24
NR281--MA1107.1.KLF9	chr1	34472985	34472997	-	0.000	0.000	Merged-chr1-34472926-90
NR14550--MA0599.1.KLF5	chr12	79297344	79297353	-	0.000	0.000	Merged-chr12-79297366-35
NR45522--MA0741.1.KLF16	chr4	88935582	88935592	+	0.000	0.000	Merged-chr4-88935517-14
NR8482--MA0741.1.KLF16	chr10	121476470	121476480	+	0.000	0.000	Merged-chr10-121476337-119
NR15550--MA0741.1.KLF16	chr12	108792928	108792938	-	0.000	0.000	Merged-chr12-108792775-98
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR69499--MA0741.1.KLF16	chrX	7586647	7586657	-	0.000	0.000	Merged-chrX-7586610-10
NR9892--MA1107.1.KLF9	chr11	53891920	53891932	-	0.000	0.000	Merged-chr11-53891754-62
NR26263--MA0741.1.KLF16	chr16	87495909	87495919	+	0.000	0.000	Merged-chr16-87495807-62
NR50607--MA0493.1.Klf1	chr5	105649549	105649559	+	0.000	0.000	Merged-chr5-105649431-102
NR57661--MA0741.1.KLF16	chr7	4922660	4922670	+	0.000	0.000	Merged-chr7-4922801-35
NR49513--MA0599.1.KLF5	chr5	63943567	63943576	-	0.000	0.000	Merged-chr5-63943362-36
NR39403--MA0741.1.KLF16	chr2	168590369	168590379	-	0.000	0.000	Merged-chr2-168590247-214
NR42424--MA0039.3.KLF4	chr3	121723456	121723466	-	0.000	0.000	Merged-chr3-121723396-86
NR44067--MA1107.1.KLF9	chr3	159840284	159840296	-	0.000	0.000	Merged-chr3-159840263-108
NR55981--MA0741.1.KLF16	chr6	124493101	124493111	+	0.000	0.000	Merged-chr6-124493051-20
NR27953--MA0599.1.KLF5	chr17	29842094	29842103	-	0.000	0.000	Merged-chr17-29841943-28
NR45774--MA0741.1.KLF16	chr4	101235225	101235235	+	0.000	0.000	Merged-chr4-101235092-24
NR27960--MA0741.1.KLF16	chr17	30363634	30363644	+	0.000	0.000	Merged-chr17-30363504-27
NR36437--MA0599.1.KLF5	chr2	79010056	79010065	-	0.000	0.000	Merged-chr2-79010022-27
NR17482--MA0741.1.KLF16	chr13	67609739	67609749	+	0.000	0.000	Merged-chr13-67609632-78
NR58340--MA0740.1.KLF14	chr7	27361547	27361560	+	0.000	0.000	Merged-chr7-27361571-54
NR58438--MA0741.1.KLF16	chr7	28436507	28436517	+	0.000	0.000	Merged-chr7-28436683-87
NR5494--MA0742.1.Klf12	chr10	39462171	39462185	-	0.000	0.000	Merged-chr10-39462164-7
NR2703--MA0599.1.KLF5	chr1	151500871	151500880	-	0.000	0.000	Merged-chr1-151500785-93
NR3045--MA0740.1.KLF14	chr1	160212876	160212889	+	0.000	0.000	Merged-chr1-160212830-83
NR41272--MA0741.1.KLF16	chr3	89160174	89160184	-	0.000	0.000	Merged-chr3-89160160-27
NR40908--MA0493.1.Klf1	chr3	68784304	68784314	-	0.000	0.000	Merged-chr3-68784168-43
NR42326--MA1107.1.KLF9	chr3	116594873	116594885	-	0.000	0.000	Merged-chr3-116594968-67
NR52165--MA0599.1.KLF5	chr5	135689124	135689133	+	0.000	0.000	Merged-chr5-135689128-71
NR33753--MA0742.1.Klf12	chr19	45746526	45746540	+	0.000	0.000	Merged-chr19-45746500-18
NR6955--MA0599.1.KLF5	chr10	81357502	81357511	+	0.000	0.000	Merged-chr10-81357608-63
NR46248--MA0599.1.KLF5	chr4	116701028	116701037	-	0.000	0.000	Merged-chr4-116701085-12
NR54206--MA0599.1.KLF5	chr6	52962593	52962602	-	0.000	0.000	Merged-chr6-52962536-54
NR39655--MA0741.1.KLF16	chr2	173659798	173659808	+	0.000	0.000	Merged-chr2-173659827-104
NR24440--MA0741.1.KLF16	chr15	100304711	100304721	+	0.000	0.000	Merged-chr15-100304601-63
NR62529--MA0741.1.KLF16	chr8	22166303	22166313	-	0.000	0.000	Merged-chr8-22166326-62
NR44195--MA0742.1.Klf12	chr4	11900134	11900148	-	0.000	0.000	Merged-chr4-11900204-55
NR13068--MA0742.1.Klf12	chr11	118248766	118248780	+	0.000	0.000	Merged-chr11-118248688-60
NR35150--MA0599.1.KLF5	chr2	30286363	30286372	+	0.000	0.000	Merged-chr2-30286345-59
NR24506--MA0741.1.KLF16	chr15	100747313	100747323	+	0.000	0.000	Merged-chr15-100747446-44
NR50096--MA1107.1.KLF9	chr5	88764993	88765005	+	0.000	0.000	Merged-chr5-88764989-68
NR50433--MA0599.1.KLF5	chr5	100039701	100039710	-	0.000	0.000	Merged-chr5-100039874-12
NR61655--MA1107.1.KLF9	chr7	135659653	135659665	-	0.000	0.000	Merged-chr7-135659681-24
NR64026--MA0599.1.KLF5	chr8	88771472	88771481	-	0.000	0.000	Merged-chr8-88771445-24
NR32421--MA1107.1.KLF9	chr18	89326181	89326193	+	0.000	0.000	Merged-chr18-89326061-22
NR61462--MA0740.1.KLF14	chr7	130812671	130812684	-	0.000	0.000	Merged-chr7-130812664-20
NR26504--MA1107.1.KLF9	chr16	92020197	92020209	+	0.000	0.000	Merged-chr16-92020100-2
NR25785--MA0740.1.KLF14	chr16	57336955	57336968	-	0.000	0.000	Merged-chr16-57337059-55
NR16157--MA0599.1.KLF5	chr13	5768076	5768085	+	0.000	0.000	Merged-chr13-5768061-15
NR24115--MA0599.1.KLF5	chr15	95790804	95790813	-	0.000	0.000	Merged-chr15-95790912-69
NR33441--MA0740.1.KLF14	chr19	37174842	37174855	-	0.000	0.000	Merged-chr19-37174871-73
NR13232--MA0599.1.KLF5	chr11	120729619	120729628	-	0.000	0.000	Merged-chr11-120729772-16
NR41400--MA0741.1.KLF16	chr3	90615489	90615499	+	0.000	0.000	Merged-chr3-90615498-36
NR13571--MA1107.1.KLF9	chr12	17716245	17716257	-	0.000	0.000	Merged-chr12-17716127-80
NR1049--MA0741.1.KLF16	chr1	66897066	66897076	+	0.000	0.000	Merged-chr1-66897217-4
NR10122--MA0657.1.KLF13	chr11	60115417	60115434	-	0.000	0.000	Merged-chr11-60115208-93
NR59721--MA0741.1.KLF16	chr7	80919520	80919530	-	0.000	0.000	Merged-chr7-80919490-53
NR31225--MA0599.1.KLF5	chr18	61555097	61555106	-	0.000	0.000	Merged-chr18-61555267-68
NR6941--MA0493.1.Klf1	chr10	81255035	81255045	+	0.000	0.000	Merged-chr10-81255041-17
NR55067--MA0493.1.Klf1	chr6	97300932	97300942	-	0.000	0.000	Merged-chr6-97300820-20
NR52899--MA0657.1.KLF13	chr5	144973198	144973215	+	0.000	0.000	Merged-chr5-144972995-15
NR50796--MA0740.1.KLF14	chr5	110176866	110176879	+	0.000	0.000	Merged-chr5-110176742-78
NR24674--MA0493.1.Klf1	chr15	103552036	103552046	+	0.000	0.000	Merged-chr15-103552280-18
NR11706--MA0599.1.KLF5	chr11	97096376	97096385	-	0.000	0.000	Merged-chr11-97096321-4
NR22928--MA1107.1.KLF9	chr15	67145596	67145608	-	0.000	0.000	Merged-chr15-67145484-28
NR65038--MA0742.1.Klf12	chr8	121898637	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR32552--MA0599.1.KLF5	chr19	4283152	4283161	-	0.000	0.000	Merged-chr19-4283203-50
NR22207--MA0741.1.KLF16	chr15	31601919	31601929	-	0.000	0.000	Merged-chr15-31601857-105
NR12017--MA0599.1.KLF5	chr11	101082550	101082559	+	0.000	0.000	Merged-chr11-101082516-61
NR7243--MA0493.1.Klf1	chr10	86778895	86778905	+	0.000	0.000	Merged-chr10-86778945-85
NR2124--MA0039.3.KLF4	chr1	131161255	131161265	-	0.000	0.000	Merged-chr1-131161352-21
NR22944--MA0742.1.Klf12	chr15	67292933	67292947	-	0.000	0.000	Merged-chr15-67292899-12
NR29684--MA1107.1.KLF9	chr17	80561198	80561210	-	0.000	0.000	Merged-chr17-80561065-39
NR64003--MA0493.1.Klf1	chr8	88604238	88604248	-	0.000	0.000	Merged-chr8-88604204-17
NR22942--MA0493.1.Klf1	chr15	67158740	67158750	-	0.000	0.000	Merged-chr15-67158847-15
NR36231--MA0741.1.KLF16	chr2	72590169	72590179	+	0.000	0.000	Merged-chr2-72590175-15
NR6802--MA0740.1.KLF14	chr10	80590385	80590398	-	0.000	0.000	Merged-chr10-80590311-63
NR20882--MA0039.3.KLF4	chr14	75064700	75064710	+	0.000	0.000	Merged-chr14-75064758-13
NR36310--MA0039.3.KLF4	chr2	75119359	75119369	-	0.000	0.000	Merged-chr2-75119235-19
NR52365--MA0741.1.KLF16	chr5	137787660	137787670	-	0.000	0.000	Merged-chr5-137787536-7
NR67900--MA0741.1.KLF16	chr9	95279920	95279930	-	0.000	0.000	Merged-chr9-95279790-94
NR2801--MA0493.1.Klf1	chr1	153585778	153585788	+	0.000	0.000	Merged-chr1-153585904-15
NR16688--MA0741.1.KLF16	chr13	38010776	38010786	-	0.000	0.000	Merged-chr13-38010701-23
NR58345--MA1107.1.KLF9	chr7	27361547	27361559	+	0.000	0.000	Merged-chr7-27361571-54
NR19520--MA0493.1.Klf1	chr14	20023919	20023929	-	0.000	0.000	Merged-chr14-20024041-29
NR31977--MA0742.1.Klf12	chr18	80609767	80609781	+	0.000	0.000	Merged-chr18-80609939-56
NR40179--MA0599.1.KLF5	chr3	20154835	20154844	+	0.000	0.000	Merged-chr3-20154860-75
NR35910--MA1107.1.KLF9	chr2	60774637	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR70760--MA0742.1.Klf12	chrY	90800451	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR23244--MA0493.1.Klf1	chr15	77733451	77733461	-	0.000	0.000	Merged-chr15-77733561-52
NR53791--MA0741.1.KLF16	chr6	37046653	37046663	-	0.000	0.000	Merged-chr6-37046555-33
NR45535--MA0741.1.KLF16	chr4	89282354	89282364	-	0.000	0.000	Merged-chr4-89282220-20
NR47104--MA1107.1.KLF9	chr4	134796742	134796754	-	0.000	0.000	Merged-chr4-134796618-44
NR66184--MA0741.1.KLF16	chr9	44013870	44013880	-	0.000	0.000	Merged-chr9-44013875-7
NR64697--MA0493.1.Klf1	chr8	115276530	115276540	+	0.000	0.000	Merged-chr8-115276533-28
NR19985--MA1107.1.KLF9	chr14	47476839	47476851	-	0.000	0.000	Merged-chr14-47476839-9
NR53903--MA1107.1.KLF9	chr6	41177284	41177296	+	0.000	0.000	Merged-chr6-41177322-23
NR12281--MA0599.1.KLF5	chr11	105126372	105126381	+	0.000	0.000	Merged-chr11-105126391-86
NR54778--MA1107.1.KLF9	chr6	86472449	86472461	-	0.000	0.000	Merged-chr6-86472482-99
NR62736--MA1107.1.KLF9	chr8	34539971	34539983	+	0.000	0.000	Merged-chr8-34540020-11
NR51511--MA0741.1.KLF16	chr5	123138339	123138349	+	0.000	0.000	Merged-chr5-123138256-19
NR63948--MA0599.1.KLF5	chr8	86838905	86838914	-	0.000	0.000	Merged-chr8-86839061-45
NR51396--MA0039.3.KLF4	chr5	121385622	121385632	+	0.000	0.000	Merged-chr5-121385617-82
NR52707--MA0599.1.KLF5	chr5	142895215	142895224	-	0.000	0.000	Merged-chr5-142895252-53
NR43322--MA1107.1.KLF9	chr3	142863420	142863432	+	0.000	0.000	Merged-chr3-142863489-16
NR47467--MA0741.1.KLF16	chr4	141214492	141214502	+	0.000	0.000	Merged-chr4-141214360-102
NR39882--MA0742.1.Klf12	chr2	180099786	180099800	-	0.000	0.000	Merged-chr2-180099711-18
NR14562--MA0740.1.KLF14	chr12	79580448	79580461	+	0.000	0.000	Merged-chr12-79580500-49
NR50608--MA0741.1.KLF16	chr5	105649550	105649560	+	0.000	0.000	Merged-chr5-105649431-102
NR68387--MA0741.1.KLF16	chr9	107551418	107551428	+	0.000	0.000	Merged-chr9-107551360-55
NR58251--MA1107.1.KLF9	chr7	25238265	25238277	+	0.000	0.000	Merged-chr7-25238227-126
NR45194--MA0599.1.KLF5	chr4	62480468	62480477	-	0.000	0.000	Merged-chr4-62480522-129
NR19632--MA0493.1.Klf1	chr14	25862038	25862048	-	0.000	0.000	Merged-chr14-25862098-51
