#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR34798--MA0493.1.Klf1	chr2	24385320	24385330	+	0.000	0.000	Merged-chr2-24385282-51
NR8883--MA0741.1.KLF16	chr10	128744929	128744939	+	0.000	0.000	Merged-chr10-128744953-65
NR16447--MA0493.1.Klf1	chr13	24786311	24786321	+	0.000	0.000	Merged-chr13-24786227-53
NR17631--MA0741.1.KLF16	chr13	74808096	74808106	-	0.000	0.000	Merged-chr13-74808125-133
NR12445--MA1107.1.KLF9	chr11	109124571	109124583	+	0.000	0.000	Merged-chr11-109124612-1
NR62186--MA0599.1.KLF5	chr8	3221122	3221131	+	0.000	0.000	Merged-chr8-3221344-66
NR33494--MA0741.1.KLF16	chr19	38746189	38746199	-	0.000	0.000	Merged-chr19-38746267-36
NR20896--MA0741.1.KLF16	chr14	75131076	75131086	+	0.000	0.000	Merged-chr14-75131133-67
NR6061--MA0741.1.KLF16	chr10	66920654	66920664	+	0.000	0.000	Merged-chr10-66920672-46
NR28666--MA0493.1.Klf1	chr17	46880156	46880166	+	0.000	0.000	Merged-chr17-46880120-39
NR6998--MA0741.1.KLF16	chr10	81525291	81525301	+	0.000	0.000	Merged-chr10-81525209-7
NR6603--MA0741.1.KLF16	chr10	79767155	79767165	-	0.000	0.000	Merged-chr10-79767054-76
NR46429--MA0741.1.KLF16	chr4	120731131	120731141	-	0.000	0.000	Merged-chr4-120731377-66
NR10284--MA0742.1.Klf12	chr11	63985077	63985091	+	0.000	0.000	Merged-chr11-63985076-118
NR14039--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR43904--MA0742.1.Klf12	chr3	154628466	154628480	+	0.000	0.000	Merged-chr3-154628476-23
NR28371--MA0599.1.KLF5	chr17	37028703	37028712	-	0.000	0.000	Merged-chr17-37028850-28
NR31680--MA0742.1.Klf12	chr18	74294917	74294931	+	0.000	0.000	Merged-chr18-74294799-40
NR20552--MA0599.1.KLF5	chr14	63606425	63606434	+	0.000	0.000	Merged-chr14-63606739-89
NR21007--MA0741.1.KLF16	chr14	78619066	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR7043--MA0741.1.KLF16	chr10	82812047	82812057	+	0.000	0.000	Merged-chr10-82812084-42
NR3201--MA0493.1.Klf1	chr1	165236709	165236719	+	0.000	0.000	Merged-chr1-165236818-106
NR7109--MA0741.1.KLF16	chr10	83534142	83534152	+	0.000	0.000	Merged-chr10-83533900-47
NR909--MA0599.1.KLF5	chr1	60823144	60823153	-	0.000	0.000	Merged-chr1-60823075-21
NR37648--MA0741.1.KLF16	chr2	128403377	128403387	+	0.000	0.000	Merged-chr2-128403401-18
NR38477--MA0493.1.Klf1	chr2	151702531	151702541	+	0.000	0.000	Merged-chr2-151702413-39
NR32559--MA0740.1.KLF14	chr19	4294519	4294532	+	0.000	0.000	Merged-chr19-4294616-52
NR53893--MA0039.3.KLF4	chr6	40325572	40325582	-	0.000	0.000	Merged-chr6-40325371-77
NR47450--MA0742.1.Klf12	chr4	141099176	141099190	+	0.000	0.000	Merged-chr4-141099118-11
NR39020--MA1107.1.KLF9	chr2	163203499	163203511	+	0.000	0.000	Merged-chr2-163203461-118
NR15080--MA0599.1.KLF5	chr12	98920600	98920609	+	0.000	0.000	Merged-chr12-98920565-69
NR14372--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR8211--MA1107.1.KLF9	chr10	117784736	117784748	+	0.000	0.000	Merged-chr10-117784888-21
NR32076--MA1107.1.KLF9	chr18	81521154	81521166	-	0.000	0.000	Merged-chr18-81521002-1
NR12226--MA0741.1.KLF16	chr11	103412734	103412744	+	0.000	0.000	Merged-chr11-103412657-68
NR52129--MA0599.1.KLF5	chr5	135632605	135632614	+	0.000	0.000	Merged-chr5-135632742-49
NR3175--MA0740.1.KLF14	chr1	164966171	164966184	+	0.000	0.000	Merged-chr1-164966286-53
NR62162--MA0039.3.KLF4	chr7	144470636	144470646	+	0.000	0.000	Merged-chr7-144470746-9
NR25187--MA0740.1.KLF14	chr16	22265996	22266009	+	0.000	0.000	Merged-chr16-22266085-1
NR49741--MA0599.1.KLF5	chr5	72948229	72948238	-	0.000	0.000	Merged-chr5-72948182-5
NR40916--MA1107.1.KLF9	chr3	68784294	68784306	-	0.000	0.000	Merged-chr3-68784168-43
NR12487--MA0742.1.Klf12	chr11	109611630	109611644	+	0.000	0.000	Merged-chr11-109611660-96
NR1766--MA0740.1.KLF14	chr1	106714611	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR36665--MA0599.1.KLF5	chr2	92464878	92464887	+	0.000	0.000	Merged-chr2-92464936-24
NR48954--MA0039.3.KLF4	chr5	30240772	30240782	-	0.000	0.000	Merged-chr5-30240775-35
NR52830--MA0740.1.KLF14	chr5	144358275	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR59145--MA0742.1.Klf12	chr7	49778327	49778341	+	0.000	0.000	Merged-chr7-49778462-70
NR29480--MA0740.1.KLF14	chr17	74865011	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR43169--MA0039.3.KLF4	chr3	137969322	137969332	+	0.000	0.000	Merged-chr3-137969157-49
NR60042--MA0741.1.KLF16	chr7	97355236	97355246	-	0.000	0.000	Merged-chr7-97355237-14
NR59622--MA0039.3.KLF4	chr7	79363684	79363694	-	0.000	0.000	Merged-chr7-79363578-43
NR6586--MA0039.3.KLF4	chr10	79692124	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR32892--MA0741.1.KLF16	chr19	9982609	9982619	-	0.000	0.000	Merged-chr19-9982830-75
NR65223--MA0740.1.KLF14	chr8	123859549	123859562	-	0.000	0.000	Merged-chr8-123859431-119
NR65406--MA0493.1.Klf1	chr8	126614509	126614519	-	0.000	0.000	Merged-chr8-126614626-35
NR58154--MA0741.1.KLF16	chr7	24481951	24481961	+	0.000	0.000	Merged-chr7-24481860-36
NR58993--MA0740.1.KLF14	chr7	45510418	45510431	+	0.000	0.000	Merged-chr7-45510367-63
NR66952--MA0741.1.KLF16	chr9	66158205	66158215	+	0.000	0.000	Merged-chr9-66158396-48
NR34596--MA1107.1.KLF9	chr2	12924052	12924064	-	0.000	0.000	Merged-chr2-12924162-70
NR765--MA0741.1.KLF16	chr1	55436003	55436013	+	0.000	0.000	Merged-chr1-55435941-9
NR12491--MA0599.1.KLF5	chr11	109611763	109611772	+	0.000	0.000	Merged-chr11-109611660-96
NR17388--MA0740.1.KLF14	chr13	64161742	64161755	-	0.000	0.000	Merged-chr13-64161873-63
NR34042--MA0599.1.KLF5	chr19	55643734	55643743	+	0.000	0.000	Merged-chr19-55643563-56
NR6023--MA0493.1.Klf1	chr10	62726133	62726143	-	0.000	0.000	Merged-chr10-62726030-37
NR68160--MA1107.1.KLF9	chr9	103449317	103449329	-	0.000	0.000	Merged-chr9-103449335-34
NR28679--MA1107.1.KLF9	chr17	47171159	47171171	-	0.000	0.000	Merged-chr17-47171280-54
NR59533--MA1107.1.KLF9	chr7	75416010	75416022	+	0.000	0.000	Merged-chr7-75416159-31
NR64130--MA0741.1.KLF16	chr8	94183279	94183289	+	0.000	0.000	Merged-chr8-94183356-48
NR5547--MA0742.1.Klf12	chr10	40400500	40400514	+	0.000	0.000	Merged-chr10-40400528-9
NR37849--MA0599.1.KLF5	chr2	132669326	132669335	+	0.000	0.000	Merged-chr2-132669439-31
NR46440--MA0740.1.KLF14	chr4	120854746	120854759	+	0.000	0.000	Merged-chr4-120854918-43
NR26831--MA0493.1.Klf1	chr16	97462527	97462537	-	0.000	0.000	Merged-chr16-97462478-3
NR35799--MA0599.1.KLF5	chr2	57117661	57117670	+	0.000	0.000	Merged-chr2-57117653-11
NR60294--MA0741.1.KLF16	chr7	101504768	101504778	-	0.000	0.000	Merged-chr7-101504709-13
NR2446--MA0039.3.KLF4	chr1	138584762	138584772	+	0.000	0.000	Merged-chr1-138584849-31
NR53371--MA0599.1.KLF5	chr6	4749386	4749395	+	0.000	0.000	Merged-chr6-4749300-25
NR39437--MA0741.1.KLF16	chr2	169398380	169398390	-	0.000	0.000	Merged-chr2-169398588-9
NR52038--MA0741.1.KLF16	chr5	134932338	134932348	-	0.000	0.000	Merged-chr5-134932473-29
NR60565--MA0741.1.KLF16	chr7	110221681	110221691	-	0.000	0.000	Merged-chr7-110221778-96
NR54200--MA1107.1.KLF9	chr6	52640544	52640556	-	0.000	0.000	Merged-chr6-52640387-58
NR5166--MA0493.1.Klf1	chr10	18193273	18193283	-	0.000	0.000	Merged-chr10-18193414-42
NR63924--MA1107.1.KLF9	chr8	85492412	85492424	+	0.000	0.000	Merged-chr8-85492637-59
NR39708--MA0741.1.KLF16	chr2	174533127	174533137	+	0.000	0.000	Merged-chr2-174532982-23
NR13675--MA0599.1.KLF5	chr12	25143692	25143701	-	0.000	0.000	Merged-chr12-25143690-13
NR40375--MA0493.1.Klf1	chr3	36613427	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR45126--MA0493.1.Klf1	chr4	59035536	59035546	-	0.000	0.000	Merged-chr4-59035352-69
NR622--MA0741.1.KLF16	chr1	44101583	44101593	+	0.000	0.000	Merged-chr1-44101717-6
NR66333--MA0741.1.KLF16	chr9	48795119	48795129	-	0.000	0.000	Merged-chr9-48795268-19
NR56268--MA1107.1.KLF9	chr6	128839162	128839174	+	0.000	0.000	Merged-chr6-128839257-138
NR10081--MA0740.1.KLF14	chr11	59384666	59384679	+	0.000	0.000	Merged-chr11-59384734-17
NR34449--MA0493.1.Klf1	chr2	5747802	5747812	+	0.000	0.000	Merged-chr2-5747765-15
NR60472--MA0599.1.KLF5	chr7	107595027	107595036	-	0.000	0.000	Merged-chr7-107594871-89
NR23221--MA0740.1.KLF14	chr15	77071683	77071696	-	0.000	0.000	Merged-chr15-77071598-27
NR33833--MA1107.1.KLF9	chr19	46970289	46970301	+	0.000	0.000	Merged-chr19-46970347-33
NR17639--MA0039.3.KLF4	chr13	75845600	75845610	-	0.000	0.000	Merged-chr13-75845828-42
NR61059--MA0039.3.KLF4	chr7	122317173	122317183	+	0.000	0.000	Merged-chr7-122317075-24
NR44501--MA1107.1.KLF9	chr4	41652197	41652209	+	0.000	0.000	Merged-chr4-41652015-1,Merged-chr4-41652381-11
NR54717--MA0741.1.KLF16	chr6	85374727	85374737	+	0.000	0.000	Merged-chr6-85374701-69
NR50186--MA0493.1.Klf1	chr5	91517629	91517639	-	0.000	0.000	Merged-chr5-91517668-20
NR24892--MA0039.3.KLF4	chr16	10958475	10958485	+	0.000	0.000	Merged-chr16-10958757-32
NR48423--MA0599.1.KLF5	chr4	156197571	156197580	-	0.000	0.000	Merged-chr4-156197657-98
NR34952--MA0741.1.KLF16	chr2	26586859	26586869	+	0.000	0.000	Merged-chr2-26586785-35
NR61530--MA0493.1.Klf1	chr7	132576463	132576473	+	0.000	0.000	Merged-chr7-132576269-107
NR47074--MA0741.1.KLF16	chr4	134372586	134372596	+	0.000	0.000	Merged-chr4-134372505-25
NR47994--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR53778--MA0493.1.Klf1	chr6	35177702	35177712	-	0.000	0.000	Merged-chr6-35177687-66
NR26863--MA0599.1.KLF5	chr17	3314331	3314340	-	0.000	0.000	Merged-chr17-3314377-47
NR66790--MA0741.1.KLF16	chr9	63698601	63698611	-	0.000	0.000	Merged-chr9-63698652-22
NR60683--MA0742.1.Klf12	chr7	112679301	112679315	+	0.000	0.000	Merged-chr7-112679423-49
NR45380--MA0039.3.KLF4	chr4	83354919	83354929	+	0.000	0.000	Merged-chr4-83354968-34
NR47636--MA0039.3.KLF4	chr4	144901712	144901722	+	0.000	0.000	Merged-chr4-144901724-37
NR48056--MA0741.1.KLF16	chr4	150938239	150938249	-	0.000	0.000	Merged-chr4-150938152-39
NR66407--MA0599.1.KLF5	chr9	50856930	50856939	-	0.000	0.000	Merged-chr9-50856954-76
NR30309--MA0493.1.Klf1	chr18	10182140	10182150	-	0.000	0.000	Merged-chr18-10182266-3
NR70264--MA1107.1.KLF9	chrX	136976961	136976973	+	0.000	0.000	Merged-chrX-136976953-62
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR50078--MA1107.1.KLF9	chr5	88676304	88676316	-	0.000	0.000	Merged-chr5-88676360-5
NR64008--MA0599.1.KLF5	chr8	88604330	88604339	-	0.000	0.000	Merged-chr8-88604204-17
NR45032--MA0493.1.Klf1	chr4	56222650	56222660	+	0.000	0.000	Merged-chr4-56222492-84
NR10875--MA0740.1.KLF14	chr11	77607869	77607882	+	0.000	0.000	Merged-chr11-77607706-105
NR54032--MA0741.1.KLF16	chr6	48395581	48395591	+	0.000	0.000	Merged-chr6-48395696-62
NR36889--MA0599.1.KLF5	chr2	104122734	104122743	-	0.000	0.000	Merged-chr2-104122905-60
NR30568--MA1107.1.KLF9	chr18	34119162	34119174	+	0.000	0.000	Merged-chr18-34119023-1
NR12217--MA1107.1.KLF9	chr11	103351165	103351177	+	0.000	0.000	Merged-chr11-103350991-5
NR39599--MA0599.1.KLF5	chr2	173263824	173263833	+	0.000	0.000	Merged-chr2-173263932-54
NR33373--MA0742.1.Klf12	chr19	34475187	34475201	+	0.000	0.000	Merged-chr19-34475070-71
NR20752--MA0039.3.KLF4	chr14	70618074	70618084	-	0.000	0.000	Merged-chr14-70618190-41
NR3536--MA0039.3.KLF4	chr1	173630847	173630857	+	0.000	0.000	Merged-chr1-173630967-64
NR46789--MA0493.1.Klf1	chr4	130520468	130520478	-	0.000	0.000	Merged-chr4-130520365-48
NR45158--MA0599.1.KLF5	chr4	59805781	59805790	+	0.000	0.000	Merged-chr4-59805793-13
NR29068--MA0741.1.KLF16	chr17	57275563	57275573	+	0.000	0.000	Merged-chr17-57275446-78
NR18519--MA1107.1.KLF9	chr13	102284460	102284472	+	0.000	0.000	Merged-chr13-102284441-1
NR22037--MA1107.1.KLF9	chr15	10714811	10714823	+	0.000	0.000	Merged-chr15-10714882-50
NR28697--MA1107.1.KLF9	chr17	47508233	47508245	-	0.000	0.000	Merged-chr17-47508113-61
NR281--MA1107.1.KLF9	chr1	34472985	34472997	-	0.000	0.000	Merged-chr1-34472926-90
NR29036--MA0740.1.KLF14	chr17	57188912	57188925	+	0.000	0.000	Merged-chr17-57188930-47
NR68122--MA0741.1.KLF16	chr9	102354859	102354869	-	0.000	0.000	Merged-chr9-102354787-54
NR45522--MA0741.1.KLF16	chr4	88935582	88935592	+	0.000	0.000	Merged-chr4-88935517-14
NR23579--MA1107.1.KLF9	chr15	82188230	82188242	+	0.000	0.000	Merged-chr15-82188110-14
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR69499--MA0741.1.KLF16	chrX	7586647	7586657	-	0.000	0.000	Merged-chrX-7586610-10
NR66313--MA0599.1.KLF5	chr9	47530145	47530154	+	0.000	0.000	Merged-chr9-47530154-53
NR29121--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR57661--MA0741.1.KLF16	chr7	4922660	4922670	+	0.000	0.000	Merged-chr7-4922801-35
NR49513--MA0599.1.KLF5	chr5	63943567	63943576	-	0.000	0.000	Merged-chr5-63943362-36
NR57932--MA0741.1.KLF16	chr7	17025640	17025650	+	0.000	0.000	Merged-chr7-17025652-5
NR42424--MA0039.3.KLF4	chr3	121723456	121723466	-	0.000	0.000	Merged-chr3-121723396-86
NR44753--MA0599.1.KLF5	chr4	45530839	45530848	+	0.000	0.000	Merged-chr4-45530813-118
NR44067--MA1107.1.KLF9	chr3	159840284	159840296	-	0.000	0.000	Merged-chr3-159840263-108
NR65268--MA0741.1.KLF16	chr8	124663443	124663453	+	0.000	0.000	Merged-chr8-124663205-81
NR55981--MA0741.1.KLF16	chr6	124493101	124493111	+	0.000	0.000	Merged-chr6-124493051-20
NR18744--MA0742.1.Klf12	chr13	108316274	108316288	+	0.000	0.000	Merged-chr13-108316339-65
NR27953--MA0599.1.KLF5	chr17	29842094	29842103	-	0.000	0.000	Merged-chr17-29841943-28
NR55110--MA0741.1.KLF16	chr6	98609334	98609344	+	0.000	0.000	Merged-chr6-98609321-36
NR45774--MA0741.1.KLF16	chr4	101235225	101235235	+	0.000	0.000	Merged-chr4-101235092-24
NR27960--MA0741.1.KLF16	chr17	30363634	30363644	+	0.000	0.000	Merged-chr17-30363504-27
NR36437--MA0599.1.KLF5	chr2	79010056	79010065	-	0.000	0.000	Merged-chr2-79010022-27
NR16588--MA0742.1.Klf12	chr13	34037504	34037518	+	0.000	0.000	Merged-chr13-34037610-57
NR7126--MA1107.1.KLF9	chr10	83898135	83898147	+	0.000	0.000	Merged-chr10-83898059-2
NR58340--MA0740.1.KLF14	chr7	27361547	27361560	+	0.000	0.000	Merged-chr7-27361571-54
NR16712--MA0599.1.KLF5	chr13	40676878	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR8258--MA0740.1.KLF14	chr10	118141764	118141777	-	0.000	0.000	Merged-chr10-118141818-53
NR40908--MA0493.1.Klf1	chr3	68784304	68784314	-	0.000	0.000	Merged-chr3-68784168-43
NR31319--MA0599.1.KLF5	chr18	64340186	64340195	+	0.000	0.000	Merged-chr18-64340039-11
NR16918--MA0599.1.KLF5	chr13	49294230	49294239	-	0.000	0.000	Merged-chr13-49294257-17
NR6454--MA0741.1.KLF16	chr10	77033199	77033209	+	0.000	0.000	Merged-chr10-77033384-72
NR23146--MA0599.1.KLF5	chr15	76368852	76368861	+	0.000	0.000	Merged-chr15-76369030-46
NR42326--MA1107.1.KLF9	chr3	116594873	116594885	-	0.000	0.000	Merged-chr3-116594968-67
NR52165--MA0599.1.KLF5	chr5	135689124	135689133	+	0.000	0.000	Merged-chr5-135689128-71
NR6955--MA0599.1.KLF5	chr10	81357502	81357511	+	0.000	0.000	Merged-chr10-81357608-63
NR15935--MA0493.1.Klf1	chr12	116077708	116077718	-	0.000	0.000	Merged-chr12-116077743-55
NR14304--MA0599.1.KLF5	chr12	69724810	69724819	+	0.000	0.000	Merged-chr12-69724974-63
NR39655--MA0741.1.KLF16	chr2	173659798	173659808	+	0.000	0.000	Merged-chr2-173659827-104
NR24440--MA0741.1.KLF16	chr15	100304711	100304721	+	0.000	0.000	Merged-chr15-100304601-63
NR50791--MA0599.1.KLF5	chr5	110135925	110135934	-	0.000	0.000	Merged-chr5-110135830-52
NR47664--MA0493.1.Klf1	chr4	145315208	145315218	+	0.000	0.000	Merged-chr4-145315219-45
NR44195--MA0742.1.Klf12	chr4	11900134	11900148	-	0.000	0.000	Merged-chr4-11900204-55
NR35150--MA0599.1.KLF5	chr2	30286363	30286372	+	0.000	0.000	Merged-chr2-30286345-59
NR49705--MA0493.1.Klf1	chr5	72844495	72844505	+	0.000	0.000	Merged-chr5-72844506-23
NR37499--MA0741.1.KLF16	chr2	122738447	122738457	-	0.000	0.000	Merged-chr2-122738590-87
NR50096--MA1107.1.KLF9	chr5	88764993	88765005	+	0.000	0.000	Merged-chr5-88764989-68
NR2291--MA0599.1.KLF5	chr1	134747697	134747706	+	0.000	0.000	Merged-chr1-134747834-30
NR2228--MA0493.1.Klf1	chr1	134093254	134093264	+	0.000	0.000	Merged-chr1-134093457-135
NR58024--MA0741.1.KLF16	chr7	19405659	19405669	+	0.000	0.000	Merged-chr7-19405612-30
NR32421--MA1107.1.KLF9	chr18	89326181	89326193	+	0.000	0.000	Merged-chr18-89326061-22
NR61462--MA0740.1.KLF14	chr7	130812671	130812684	-	0.000	0.000	Merged-chr7-130812664-20
NR26504--MA1107.1.KLF9	chr16	92020197	92020209	+	0.000	0.000	Merged-chr16-92020100-2
NR66406--MA1107.1.KLF9	chr9	50856892	50856904	-	0.000	0.000	Merged-chr9-50856954-76
NR25785--MA0740.1.KLF14	chr16	57336955	57336968	-	0.000	0.000	Merged-chr16-57337059-55
NR16157--MA0599.1.KLF5	chr13	5768076	5768085	+	0.000	0.000	Merged-chr13-5768061-15
NR24115--MA0599.1.KLF5	chr15	95790804	95790813	-	0.000	0.000	Merged-chr15-95790912-69
NR10002--MA0741.1.KLF16	chr11	57791207	57791217	+	0.000	0.000	Merged-chr11-57791276-17
NR33441--MA0740.1.KLF14	chr19	37174842	37174855	-	0.000	0.000	Merged-chr19-37174871-73
NR38801--MA0741.1.KLF16	chr2	158179201	158179211	-	0.000	0.000	Merged-chr2-158179183-18
NR36549--MA0599.1.KLF5	chr2	85224593	85224602	+	0.000	0.000	Merged-chr2-85224623-28
NR19892--MA0599.1.KLF5	chr14	41050724	41050733	-	0.000	0.000	Merged-chr14-41050635-35
NR46310--MA0740.1.KLF14	chr4	118260692	118260705	+	0.000	0.000	Merged-chr4-118260858-21
NR59721--MA0741.1.KLF16	chr7	80919520	80919530	-	0.000	0.000	Merged-chr7-80919490-53
NR51074--MA1107.1.KLF9	chr5	114175877	114175889	-	0.000	0.000	Merged-chr5-114175903-40
NR51617--MA0599.1.KLF5	chr5	125158507	125158516	+	0.000	0.000	Merged-chr5-125158641-59
NR29988--MA0039.3.KLF4	chr17	86674552	86674562	-	0.000	0.000	Merged-chr17-86674662-35
NR52071--MA0599.1.KLF5	chr5	135106807	135106816	+	0.000	0.000	Merged-chr5-135106892-30
NR16133--MA0740.1.KLF14	chr13	3360750	3360763	+	0.000	0.000	Merged-chr13-3361067-38
NR55067--MA0493.1.Klf1	chr6	97300932	97300942	-	0.000	0.000	Merged-chr6-97300820-20
NR14485--MA0741.1.KLF16	chr12	76324786	76324796	+	0.000	0.000	Merged-chr12-76324931-27
NR39025--MA1107.1.KLF9	chr2	163401407	163401419	-	0.000	0.000	Merged-chr2-163401452-24
NR50796--MA0740.1.KLF14	chr5	110176866	110176879	+	0.000	0.000	Merged-chr5-110176742-78
NR24674--MA0493.1.Klf1	chr15	103552036	103552046	+	0.000	0.000	Merged-chr15-103552280-18
NR11706--MA0599.1.KLF5	chr11	97096376	97096385	-	0.000	0.000	Merged-chr11-97096321-4
NR69111--MA0039.3.KLF4	chr9	119963511	119963521	+	0.000	0.000	Merged-chr9-119963439-34
NR14416--MA0599.1.KLF5	chr12	73054000	73054009	-	0.000	0.000	Merged-chr12-73053890-27
NR29415--MA0039.3.KLF4	chr17	73174326	73174336	+	0.000	0.000	Merged-chr17-73174368-48
NR7243--MA0493.1.Klf1	chr10	86778895	86778905	+	0.000	0.000	Merged-chr10-86778945-85
NR2124--MA0039.3.KLF4	chr1	131161255	131161265	-	0.000	0.000	Merged-chr1-131161352-21
NR51654--MA0741.1.KLF16	chr5	125475803	125475813	-	0.000	0.000	Merged-chr5-125475935-61
NR22944--MA0742.1.Klf12	chr15	67292933	67292947	-	0.000	0.000	Merged-chr15-67292899-12
NR64003--MA0493.1.Klf1	chr8	88604238	88604248	-	0.000	0.000	Merged-chr8-88604204-17
NR62572--MA0741.1.KLF16	chr8	23208498	23208508	-	0.000	0.000	Merged-chr8-23208260-108
NR36231--MA0741.1.KLF16	chr2	72590169	72590179	+	0.000	0.000	Merged-chr2-72590175-15
NR161--MA0493.1.Klf1	chr1	20912783	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR6802--MA0740.1.KLF14	chr10	80590385	80590398	-	0.000	0.000	Merged-chr10-80590311-63
NR24021--MA0599.1.KLF5	chr15	93756158	93756167	+	0.000	0.000	Merged-chr15-93756205-23
NR36310--MA0039.3.KLF4	chr2	75119359	75119369	-	0.000	0.000	Merged-chr2-75119235-19
NR52365--MA0741.1.KLF16	chr5	137787660	137787670	-	0.000	0.000	Merged-chr5-137787536-7
NR67900--MA0741.1.KLF16	chr9	95279920	95279930	-	0.000	0.000	Merged-chr9-95279790-94
NR54782--MA0742.1.Klf12	chr6	86645286	86645300	-	0.000	0.000	Merged-chr6-86645182-42
NR58345--MA1107.1.KLF9	chr7	27361547	27361559	+	0.000	0.000	Merged-chr7-27361571-54
NR1438--MA0742.1.Klf12	chr1	86434475	86434489	+	0.000	0.000	Merged-chr1-86434514-65
NR19520--MA0493.1.Klf1	chr14	20023919	20023929	-	0.000	0.000	Merged-chr14-20024041-29
NR40179--MA0599.1.KLF5	chr3	20154835	20154844	+	0.000	0.000	Merged-chr3-20154860-75
NR35910--MA1107.1.KLF9	chr2	60774637	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR52502--MA0742.1.Klf12	chr5	139791462	139791476	-	0.000	0.000	Merged-chr5-139791708-104
NR53791--MA0741.1.KLF16	chr6	37046653	37046663	-	0.000	0.000	Merged-chr6-37046555-33
NR45535--MA0741.1.KLF16	chr4	89282354	89282364	-	0.000	0.000	Merged-chr4-89282220-20
