#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR2603--MA0508.2.PRDM1	chr9	15003374	15003383	-	0.000	0.000	Merged-chr9-15003468-19
NR539--MA0508.2.PRDM1	chr12	76753049	76753058	+	0.000	0.000	Merged-chr12-76753055-50
NR1015--MA0508.2.PRDM1	chr16	10690479	10690488	-	0.000	0.000	Merged-chr16-10690218-33
NR2550--MA0508.2.PRDM1	chr8	83740299	83740308	-	0.000	0.000	Merged-chr8-83740218-49
NR409--MA0508.2.PRDM1	chr11	11498210	11498219	+	0.000	0.000	Merged-chr11-11498094-24
NR1028--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR2311--MA0508.2.PRDM1	chr6	120077187	120077196	+	0.000	0.000	Merged-chr6-120077232-23
NR181--MA0508.2.PRDM1	chr1	165705877	165705886	+	0.000	0.000	Merged-chr1-165706080-46
NR1137--MA0508.2.PRDM1	chr17	17609838	17609847	+	0.000	0.000	Merged-chr17-17609984-33
NR2629--MA0508.2.PRDM1	chr9	61924872	61924881	-	0.000	0.000	Merged-chr9-61925004-1
NR975--MA0508.2.PRDM1	chr15	59524943	59524952	+	0.000	0.000	Merged-chr15-59525009-64
NR104--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR26--MA0508.2.PRDM1	chr1	21960481	21960490	+	0.000	0.000	Merged-chr1-21960580-1
NR627--MA0508.2.PRDM1	chr13	21234183	21234192	-	0.000	0.000	Merged-chr13-21234284-39
NR2467--MA0508.2.PRDM1	chr7	120830961	120830970	+	0.000	0.000	Merged-chr7-120830904-87
NR322--MA0508.2.PRDM1	chr10	75424737	75424746	+	0.000	0.000	Merged-chr10-75424715-43
NR2433--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR574--MA0508.2.PRDM1	chr12	107734619	107734628	+	0.000	0.000	Merged-chr12-107734744-35
NR749--MA0508.2.PRDM1	chr13	107568585	107568594	-	0.000	0.000	Merged-chr13-107568405-110
NR335--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR2380--MA0508.2.PRDM1	chr7	17030408	17030417	-	0.000	0.000	Merged-chr7-17030434-6
NR444--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR2555--MA0508.2.PRDM1	chr8	88161505	88161514	-	0.000	0.000	Merged-chr8-88161496-26
NR301--MA0508.2.PRDM1	chr10	58282343	58282352	+	0.000	0.000	Merged-chr10-58282409-26
NR619--MA0508.2.PRDM1	chr13	16686828	16686837	-	0.000	0.000	Merged-chr13-16686860-2
NR391--MA0508.2.PRDM1	chr10	122047135	122047144	+	0.000	0.000	Merged-chr10-122047468-83
NR199--MA0508.2.PRDM1	chr1	181889154	181889163	+	0.000	0.000	Merged-chr1-181888995-34
NR2372--MA0508.2.PRDM1	chr7	5357030	5357039	+	0.000	0.000	Merged-chr7-5357031-11
NR2167--MA0508.2.PRDM1	chr5	122951586	122951595	-	0.000	0.000	Merged-chr5-122951683-61
NR579--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR436--MA0508.2.PRDM1	chr11	70080177	70080186	-	0.000	0.000	Merged-chr11-70080197-11
NR2276--MA0508.2.PRDM1	chr6	86545344	86545353	-	0.000	0.000	Merged-chr6-86545449-8
NR2133--MA0508.2.PRDM1	chr5	90402983	90402992	+	0.000	0.000	Merged-chr5-90403196-7
NR274--MA0508.2.PRDM1	chr10	39908940	39908949	-	0.000	0.000	Merged-chr10-39908965-34
NR2656--MA0508.2.PRDM1	chr9	87178920	87178929	-	0.000	0.000	Merged-chr9-87178792-36
NR797--MA0508.2.PRDM1	chr14	13901661	13901670	+	0.000	0.000	Merged-chr14-13901902-42
NR383--MA0508.2.PRDM1	chr10	118714412	118714421	-	0.000	0.000	Merged-chr10-118714396-52
NR306--MA0508.2.PRDM1	chr10	60000263	60000272	+	0.000	0.000	Merged-chr10-60000232-10
NR2398--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR415--MA0508.2.PRDM1	chr11	21569329	21569338	-	0.000	0.000	Merged-chr11-21569385-20
NR2112--MA0508.2.PRDM1	chr5	62939302	62939311	-	0.000	0.000	Merged-chr5-62939189-18
NR2364--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR2221--MA0508.2.PRDM1	chr6	29264533	29264542	-	0.000	0.000	Merged-chr6-29264627-26
NR1491--MA0508.2.PRDM1	chr2	85725909	85725918	-	0.000	0.000	Merged-chr2-85725914-24
NR2614--MA0508.2.PRDM1	chr9	37255598	37255607	+	0.000	0.000	Merged-chr9-37255654-90
NR1470--MA0508.2.PRDM1	chr2	71051855	71051864	-	0.000	0.000	Merged-chr2-71051882-1
NR2736--MA0508.2.PRDM1	chrX	166185334	166185343	+	0.000	0.000	Merged-chrX-166185579-37
NR2098--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR1720--MA0508.2.PRDM1	chr3	100359136	100359145	-	0.000	0.000	Merged-chr3-100359234-42
NR638--MA0508.2.PRDM1	chr13	33004491	33004500	+	0.000	0.000	Merged-chr13-33004532-79
NR1972--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR2587--MA0508.2.PRDM1	chr8	128654845	128654854	+	0.000	0.000	Merged-chr8-128654839-29
NR2173--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR2696--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR2619--MA0508.2.PRDM1	chr9	42458489	42458498	-	0.000	0.000	Merged-chr9-42458437-4
NR489--MA0508.2.PRDM1	chr12	32017854	32017863	+	0.000	0.000	Merged-chr12-32017895-23
NR2314--MA0508.2.PRDM1	chr6	122756187	122756196	+	0.000	0.000	Merged-chr6-122756168-13
NR1584--MA0508.2.PRDM1	chr2	165982773	165982782	+	0.000	0.000	Merged-chr2-165982856-79
NR197--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR1868--MA0508.2.PRDM1	chr4	35006647	35006656	-	0.000	0.000	Merged-chr4-35006607-36
NR1040--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR1977--MA0508.2.PRDM1	chr4	131860988	131860997	-	0.000	0.000	Merged-chr4-131861030-31
NR1292--MA0508.2.PRDM1	chr18	56569349	56569358	+	0.000	0.000	Merged-chr18-56569336-1
NR1563--MA0508.2.PRDM1	chr2	144742297	144742306	+	0.000	0.000	Merged-chr2-144742373-21
NR1672--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1943--MA0508.2.PRDM1	chr4	88641336	88641345	-	0.000	0.000	Merged-chr4-88641244-84
NR2449--MA0508.2.PRDM1	chr7	105356329	105356338	-	0.000	0.000	Merged-chr7-105356441-22
NR51--MA0508.2.PRDM1	chr1	51104859	51104868	+	0.000	0.000	Merged-chr1-51104887-5
NR2014--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR2279--MA0508.2.PRDM1	chr6	90819194	90819203	-	0.000	0.000	Merged-chr6-90819007-15
NR1154--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR1709--MA0508.2.PRDM1	chr3	84581801	84581810	-	0.000	0.000	Merged-chr3-84581913-3
NR2258--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR971--MA0508.2.PRDM1	chr15	53724376	53724385	+	0.000	0.000	Merged-chr15-53724398-47
NR1308--MA0508.2.PRDM1	chr18	70598098	70598107	+	0.000	0.000	Merged-chr18-70597990-21
NR1146--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR1874--MA0508.2.PRDM1	chr4	40279588	40279597	-	0.000	0.000	Merged-chr4-40279458-68
NR2700--MA0508.2.PRDM1	chrX	11664477	11664486	+	0.000	0.000	Merged-chrX-11664686-45
NR841--MA0508.2.PRDM1	chr14	55644464	55644473	+	0.000	0.000	Merged-chr14-55644519-17
NR1093--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR692--MA0508.2.PRDM1	chr13	83888896	83888905	-	0.000	0.000	Merged-chr13-83888974-2
NR2088--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1138--MA0508.2.PRDM1	chr17	17867184	17867193	-	0.000	0.000	Merged-chr17-17867288-2
NR1409--MA0508.2.PRDM1	chr2	34042238	34042247	+	0.000	0.000	Merged-chr2-34042344-11
NR1975--MA0508.2.PRDM1	chr4	129570168	129570177	+	0.000	0.000	Merged-chr4-129570214-45
NR1499--MA0508.2.PRDM1	chr2	91710612	91710621	+	0.000	0.000	Merged-chr2-91710716-76
NR1356--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR1213--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR541--MA0508.2.PRDM1	chr12	77781376	77781385	+	0.000	0.000	Merged-chr12-77781498-27
NR812--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR1683--MA0508.2.PRDM1	chr3	65650520	65650529	+	0.000	0.000	Merged-chr3-65650597-39
NR1478--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1064--MA0508.2.PRDM1	chr16	52129718	52129727	+	0.000	0.000	Merged-chr16-52129675-51
NR1335--MA0508.2.PRDM1	chr19	5088494	5088503	-	0.000	0.000	Merged-chr19-5088339-71
NR1606--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR1587--MA0508.2.PRDM1	chr2	169865303	169865312	-	0.000	0.000	Merged-chr2-169865301-1
NR3--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1205--MA0508.2.PRDM1	chr17	79020707	79020716	-	0.000	0.000	Merged-chr17-79020706-82
NR2631--MA0508.2.PRDM1	chr9	63755019	63755028	+	0.000	0.000	Merged-chr9-63755068-11
NR676--MA0508.2.PRDM1	chr13	74639845	74639854	+	0.000	0.000	Merged-chr13-74639723-103
NR1295--MA0508.2.PRDM1	chr18	60963903	60963912	+	0.000	0.000	Merged-chr18-60963764-1
NR41--MA0508.2.PRDM1	chr1	39010834	39010843	+	0.000	0.000	Merged-chr1-39010823-36
NR817--MA0508.2.PRDM1	chr14	36270837	36270846	-	0.000	0.000	Merged-chr14-36270876-1
NR1165--MA0508.2.PRDM1	chr17	43265573	43265582	+	0.000	0.000	Merged-chr17-43265450-43
NR1707--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR2591--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR132--MA0508.2.PRDM1	chr1	133661418	133661427	-	0.000	0.000	Merged-chr1-133661318-54
NR1035--MA0508.2.PRDM1	chr16	23100343	23100352	-	0.000	0.000	Merged-chr16-23100189-17
NR1144--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR2222--MA0508.2.PRDM1	chr6	29278874	29278883	+	0.000	0.000	Merged-chr6-29279043-26
NR220--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR2060--MA0508.2.PRDM1	chr5	20945502	20945511	-	0.000	0.000	Merged-chr5-20945424-56
NR1157--MA0508.2.PRDM1	chr17	34305029	34305038	+	0.000	0.000	Merged-chr17-34305077-21
NR995--MA0508.2.PRDM1	chr15	91172410	91172419	-	0.000	0.000	Merged-chr15-91172371-1
NR2440--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR647--MA0508.2.PRDM1	chr13	44376101	44376110	-	0.000	0.000	Merged-chr13-44376077-22
NR1123--MA0508.2.PRDM1	chr17	8988501	8988510	-	0.000	0.000	Merged-chr17-8988548-64
NR690--MA0508.2.PRDM1	chr13	83649954	83649963	+	0.000	0.000	Merged-chr13-83649966-15
NR59--MA0508.2.PRDM1	chr1	54279815	54279824	-	0.000	0.000	Merged-chr1-54279813-25
NR1136--MA0508.2.PRDM1	chr17	17234983	17234992	-	0.000	0.000	Merged-chr17-17234918-62
NR2291--MA0508.2.PRDM1	chr6	99502217	99502226	+	0.000	0.000	Merged-chr6-99502370-1
NR103--MA0508.2.PRDM1	chr1	98589784	98589793	-	0.000	0.000	Merged-chr1-98589738-39
NR25--MA0508.2.PRDM1	chr1	21781109	21781118	+	0.000	0.000	Merged-chr1-21781098-42
NR831--MA0508.2.PRDM1	chr14	47223081	47223090	-	0.000	0.000	Merged-chr14-47223224-6
NR1497--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR2323--MA0508.2.PRDM1	chr6	127446830	127446839	-	0.000	0.000	Merged-chr6-127446764-51
NR1083--MA0508.2.PRDM1	chr16	65629300	65629309	-	0.000	0.000	Merged-chr16-65629396-38
NR38--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR1096--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR1019--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR2445--MA0508.2.PRDM1	chr7	104507849	104507858	-	0.000	0.000	Merged-chr7-104507900-57
NR791--MA0508.2.PRDM1	chr14	10146639	10146648	-	0.000	0.000	Merged-chr14-10146570-14
NR443--MA0508.2.PRDM1	chr11	88187859	88187868	+	0.000	0.000	Merged-chr11-88187909-35
NR2554--MA0508.2.PRDM1	chr8	88161331	88161340	+	0.000	0.000	Merged-chr8-88161496-26
NR281--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR2392--MA0508.2.PRDM1	chr7	30454088	30454097	-	0.000	0.000	Merged-chr7-30453953-45
NR565--MA0508.2.PRDM1	chr12	93670525	93670534	-	0.000	0.000	Merged-chr12-93670515-1
NR2676--MA0508.2.PRDM1	chr9	99243124	99243133	+	0.000	0.000	Merged-chr9-99243262-100
NR422--MA0508.2.PRDM1	chr11	34762809	34762818	-	0.000	0.000	Merged-chr11-34762658-71
NR531--MA0508.2.PRDM1	chr12	69853634	69853643	+	0.000	0.000	Merged-chr12-69853558-20
NR326--MA0508.2.PRDM1	chr10	77537462	77537471	+	0.000	0.000	Merged-chr10-77537383-119
NR2708--MA0508.2.PRDM1	chrX	53370386	53370395	-	0.000	0.000	Merged-chrX-53370330-90
NR1197--MA0508.2.PRDM1	chr17	73010123	73010132	+	0.000	0.000	Merged-chr17-73010213-37
NR2023--MA0508.2.PRDM1	chr5	8426141	8426150	-	0.000	0.000	Merged-chr5-8426095-8
NR2689--MA0508.2.PRDM1	chr9	114452507	114452516	+	0.000	0.000	Merged-chr9-114452652-12
NR544--MA0508.2.PRDM1	chr12	79751787	79751796	+	0.000	0.000	Merged-chr12-79751930-19
NR653--MA0508.2.PRDM1	chr13	49015553	49015562	+	0.000	0.000	Merged-chr13-49015468-8
NR177--MA0508.2.PRDM1	chr1	161660862	161660871	+	0.000	0.000	Merged-chr1-161660991-11
NR448--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR99--MA0508.2.PRDM1	chr1	95605707	95605716	+	0.000	0.000	Merged-chr1-95605725-17
NR305--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR491--MA0508.2.PRDM1	chr12	33034563	33034572	-	0.000	0.000	Merged-chr12-33034658-14
NR2397--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR414--MA0508.2.PRDM1	chr11	20477808	20477817	+	0.000	0.000	Merged-chr11-20477652-51
NR937--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR2429--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR2472--MA0508.2.PRDM1	chr7	132335501	132335510	-	0.000	0.000	Merged-chr7-132335509-39
NR2124--MA0508.2.PRDM1	chr5	76951353	76951362	+	0.000	0.000	Merged-chr5-76951369-96
NR2647--MA0508.2.PRDM1	chr9	83023896	83023905	-	0.000	0.000	Merged-chr9-83023833-29
NR2071--MA0508.2.PRDM1	chr5	34565992	34566001	+	0.000	0.000	Merged-chr5-34565807-6
NR2613--MA0508.2.PRDM1	chr9	32938979	32938988	+	0.000	0.000	Merged-chr9-32939001-13
NR278--MA0508.2.PRDM1	chr10	43340025	43340034	-	0.000	0.000	Merged-chr10-43339927-12
NR549--MA0508.2.PRDM1	chr12	88437418	88437427	-	0.000	0.000	Merged-chr12-88437518-14
NR2180--MA0508.2.PRDM1	chr5	148388087	148388096	-	0.000	0.000	Merged-chr5-148388208-26
NR2639--MA0508.2.PRDM1	chr9	80026192	80026201	-	0.000	0.000	Merged-chr9-80026146-29
NR2225--MA0508.2.PRDM1	chr6	34364710	34364719	+	0.000	0.000	Merged-chr6-34364838-25
NR908--MA0508.2.PRDM1	chr14	121355630	121355639	+	0.000	0.000	Merged-chr14-121355632-5
NR2063--MA0508.2.PRDM1	chr5	22747530	22747539	+	0.000	0.000	Merged-chr5-22747535-33
NR746--MA0508.2.PRDM1	chr13	107168974	107168983	+	0.000	0.000	Merged-chr13-107168851-26
NR1984--MA0508.2.PRDM1	chr4	137861612	137861621	-	0.000	0.000	Merged-chr4-137861569-3
NR488--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR597--MA0508.2.PRDM1	chr13	6342836	6342845	-	0.000	0.000	Merged-chr13-6342930-1
NR249--MA0508.2.PRDM1	chr10	19168055	19168064	-	0.000	0.000	Merged-chr10-19167953-53
NR2469--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR215--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1833--MA0508.2.PRDM1	chr4	3954239	3954248	+	0.000	0.000	Merged-chr4-3954116-51
NR2068--MA0508.2.PRDM1	chr5	30155984	30155993	-	0.000	0.000	Merged-chr5-30156013-4
NR1671--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR2177--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR2286--MA0508.2.PRDM1	chr6	97311155	97311164	-	0.000	0.000	Merged-chr6-97311024-32
NR188--MA0508.2.PRDM1	chr1	173456527	173456536	-	0.000	0.000	Merged-chr1-173456559-25
NR316--MA0508.2.PRDM1	chr10	71285097	71285106	+	0.000	0.000	Merged-chr10-71285103-74
NR2679--MA0508.2.PRDM1	chr9	101099666	101099675	+	0.000	0.000	Merged-chr9-101099532-8
NR2265--MA0508.2.PRDM1	chr6	72375320	72375329	+	0.000	0.000	Merged-chr6-72375215-35
NR1411--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR167--MA0508.2.PRDM1	chr1	155041093	155041102	-	0.000	0.000	Merged-chr1-155041204-32
NR2549--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR276--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR1676--MA0508.2.PRDM1	chr3	59262340	59262349	-	0.000	0.000	Merged-chr3-59262212-10
NR42--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR1990--MA0508.2.PRDM1	chr4	143190833	143190842	+	0.000	0.000	Merged-chr4-143190909-19
NR308--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR1642--MA0508.2.PRDM1	chr3	30975577	30975586	+	0.000	0.000	Merged-chr3-30975540-11
NR1708--MA0508.2.PRDM1	chr3	84542474	84542483	-	0.000	0.000	Merged-chr3-84542691-12
NR1751--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR1798--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR2366--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1764--MA0508.2.PRDM1	chr3	136106737	136106746	-	0.000	0.000	Merged-chr3-136106732-41
NR1002--MA0508.2.PRDM1	chr15	97372803	97372812	+	0.000	0.000	Merged-chr15-97372688-4
NR1668--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR1982--MA0508.2.PRDM1	chr4	135895473	135895482	-	0.000	0.000	Merged-chr4-135895375-12
NR2106--MA0508.2.PRDM1	chr5	57387329	57387338	+	0.000	0.000	Merged-chr5-57387295-1
NR2087--MA0508.2.PRDM1	chr5	43355258	43355267	+	0.000	0.000	Merged-chr5-43355421-55
NR2358--MA0508.2.PRDM1	chr6	143067038	143067047	-	0.000	0.000	Merged-chr6-143067094-13
NR1342--MA0508.2.PRDM1	chr19	12477074	12477083	+	0.000	0.000	Merged-chr19-12477129-16
NR1613--MA0508.2.PRDM1	chr3	9198913	9198922	-	0.000	0.000	Merged-chr3-9198986-16
NR1408--MA0508.2.PRDM1	chr2	31108417	31108426	-	0.000	0.000	Merged-chr2-31108373-37
NR1865--MA0508.2.PRDM1	chr4	32869245	32869254	-	0.000	0.000	Merged-chr4-32869066-16
NR1974--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1498--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR1103--MA0508.2.PRDM1	chr16	84995478	84995487	+	0.000	0.000	Merged-chr16-84995665-26
NR1626--MA0508.2.PRDM1	chr3	19945912	19945921	+	0.000	0.000	Merged-chr3-19945919-7
NR1050--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR1116--MA0508.2.PRDM1	chr16	94593689	94593698	+	0.000	0.000	Merged-chr16-94593743-20
NR1477--MA0508.2.PRDM1	chr2	78860102	78860111	+	0.000	0.000	Merged-chr2-78860154-39
NR1063--MA0508.2.PRDM1	chr16	52067986	52067995	+	0.000	0.000	Merged-chr16-52068153-48
NR1605--MA0508.2.PRDM1	chr2	179966863	179966872	-	0.000	0.000	Merged-chr2-179966777-32
NR1172--MA0508.2.PRDM1	chr17	50185975	50185984	-	0.000	0.000	Merged-chr17-50185897-34
NR410--MA0508.2.PRDM1	chr11	11498233	11498242	+	0.000	0.000	Merged-chr11-11498094-24
NR933--MA0508.2.PRDM1	chr15	25216734	25216743	-	0.000	0.000	Merged-chr15-25216736-38
NR1456--MA0508.2.PRDM1	chr2	59364704	59364713	-	0.000	0.000	Merged-chr2-59364601-33
NR1151--MA0508.2.PRDM1	chr17	32528916	32528925	+	0.000	0.000	Merged-chr17-32528790-45
NR1260--MA0508.2.PRDM1	chr18	32955104	32955113	+	0.000	0.000	Merged-chr18-32955256-11
NR1164--MA0508.2.PRDM1	chr17	42887604	42887613	+	0.000	0.000	Merged-chr17-42887503-23
NR1706--MA0508.2.PRDM1	chr3	83987959	83987968	-	0.000	0.000	Merged-chr3-83987942-35
NR1796--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR1382--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR1719--MA0508.2.PRDM1	chr3	97158753	97158762	+	0.000	0.000	Merged-chr3-97158953-85
NR1034--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR110--MA0508.2.PRDM1	chr1	106647497	106647506	-	0.000	0.000	Merged-chr1-106647524-44
