#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1264--MA0463.1.Bcl6	chr4	126468071	126468084	-	0.000	0.000	Merged-chr4-126467953-5
NR836--MA0731.1.BCL6B	chr18	62179950	62179966	-	0.000	0.000	Merged-chr18-62179910-61
NR1161--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR674--MA0731.1.BCL6B	chr16	17508848	17508864	-	0.000	0.000	Merged-chr16-17508961-62
NR377--MA0463.1.Bcl6	chr12	3808115	3808128	+	0.000	0.000	Merged-chr12-3808204-7
NR177--MA0731.1.BCL6B	chr10	21659657	21659673	-	0.000	0.000	Merged-chr10-21659696-16
NR1072--MA0463.1.Bcl6	chr3	7503286	7503299	-	0.000	0.000	Merged-chr3-7503455-65
NR99--MA0731.1.BCL6B	chr1	161894142	161894158	+	0.000	0.000	Merged-chr1-161894254-19
NR305--MA0731.1.BCL6B	chr11	59809166	59809182	-	0.000	0.000	Merged-chr11-59809207-3
NR286--MA0731.1.BCL6B	chr11	43387339	43387355	-	0.000	0.000	Merged-chr11-43387256-21
NR919--MA0463.1.Bcl6	chr2	18895094	18895107	-	0.000	0.000	Merged-chr2-18894970-14
NR666--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR610--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1771--MA0463.1.Bcl6	chr9	96348912	96348925	+	0.000	0.000	Merged-chr9-96348984-8
NR839--MA0463.1.Bcl6	chr18	65481390	65481403	-	0.000	0.000	Merged-chr18-65481395-37
NR1427--MA0463.1.Bcl6	chr6	30401863	30401876	+	0.000	0.000	Merged-chr6-30401803-70
NR647--MA0463.1.Bcl6	chr15	86028074	86028087	-	0.000	0.000	Merged-chr15-86028178-32
NR127--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR1566--MA0463.1.Bcl6	chr7	63939738	63939751	-	0.000	0.000	Merged-chr7-63939782-2
NR236--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR1105--MA0463.1.Bcl6	chr3	84595233	84595246	+	0.000	0.000	Merged-chr3-84595329-34
NR889--MA0463.1.Bcl6	chr19	43523519	43523532	-	0.000	0.000	Merged-chr19-43523434-47
NR1711--MA0731.1.BCL6B	chr8	117780834	117780850	-	0.000	0.000	Merged-chr8-117780914-2
NR1347--MA0463.1.Bcl6	chr5	77130534	77130547	-	0.000	0.000	Merged-chr5-77130540-43
NR1201--MA0731.1.BCL6B	chr4	10770224	10770240	+	0.000	0.000	Merged-chr4-10770192-53
NR1271--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR697--MA0463.1.Bcl6	chr16	49854276	49854289	-	0.000	0.000	Merged-chr16-49854418-36
NR912--MA0463.1.Bcl6	chr2	15049399	15049412	-	0.000	0.000	Merged-chr2-15049301-58
NR1846--MA0731.1.BCL6B	chrX	159257257	159257273	-	0.000	0.000	Merged-chrX-159257265-34
NR1249--MA0463.1.Bcl6	chr4	116828103	116828116	+	0.000	0.000	Merged-chr4-116827979-19
NR254--MA0463.1.Bcl6	chr10	117640118	117640131	+	0.000	0.000	Merged-chr10-117640177-35
NR1155--MA0463.1.Bcl6	chr3	135604915	135604928	+	0.000	0.000	Merged-chr3-135604723-37
NR908--MA0463.1.Bcl6	chr2	6322838	6322851	+	0.000	0.000	Merged-chr2-6322787-80
NR156--MA0463.1.Bcl6	chr1	189936666	189936679	-	0.000	0.000	Merged-chr1-189936861-20
NR1733--MA0463.1.Bcl6	chr9	20385029	20385042	+	0.000	0.000	Merged-chr9-20385191-56
NR944--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR1845--MA0463.1.Bcl6	chrX	159257260	159257273	+	0.000	0.000	Merged-chrX-159257265-34
NR1630--MA0463.1.Bcl6	chr7	136176642	136176655	-	0.000	0.000	Merged-chr7-136176593-10
NR1424--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1751--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR1676--MA0731.1.BCL6B	chr8	78900034	78900050	-	0.000	0.000	Merged-chr8-78900089-29
NR295--MA0463.1.Bcl6	chr11	53519878	53519891	-	0.000	0.000	Merged-chr11-53519837-32
NR197--MA0463.1.Bcl6	chr10	62486845	62486858	-	0.000	0.000	Merged-chr10-62486884-129
NR542--MA0463.1.Bcl6	chr14	8346715	8346728	-	0.000	0.000	Merged-chr14-8346820-31
NR1743--MA0731.1.BCL6B	chr9	50905492	50905508	+	0.000	0.000	Merged-chr9-50905501-48
NR1000--MA0463.1.Bcl6	chr2	125731781	125731794	+	0.000	0.000	Merged-chr2-125731924-29
NR426--MA0463.1.Bcl6	chr12	102581751	102581764	+	0.000	0.000	Merged-chr12-102581960-56
NR323--MA0463.1.Bcl6	chr11	78360347	78360360	-	0.000	0.000	Merged-chr11-78360468-54
NR561--MA0731.1.BCL6B	chr14	51883852	51883868	+	0.000	0.000	Merged-chr14-51883727-46
NR1246--MA0731.1.BCL6B	chr4	115102016	115102032	-	0.000	0.000	Merged-chr4-115101833-38
NR1457--MA0463.1.Bcl6	chr6	87002875	87002888	-	0.000	0.000	Merged-chr6-87002843-18
NR431--MA0731.1.BCL6B	chr12	105476722	105476738	-	0.000	0.000	Merged-chr12-105476621-32
NR901--MA0463.1.Bcl6	chr19	56770819	56770832	-	0.000	0.000	Merged-chr19-56770772-3
NR920--MA0731.1.BCL6B	chr2	18911779	18911795	+	0.000	0.000	Merged-chr2-18911586-19
NR1443--MA0731.1.BCL6B	chr6	54127515	54127531	-	0.000	0.000	Merged-chr6-54127507-32
NR662--MA0731.1.BCL6B	chr16	8731593	8731609	-	0.000	0.000	Merged-chr16-8731705-10
NR1552--MA0731.1.BCL6B	chr7	28867587	28867603	+	0.000	0.000	Merged-chr7-28867749-38
NR1076--MA0731.1.BCL6B	chr3	19451004	19451020	+	0.000	0.000	Merged-chr3-19451166-41
NR1599--MA0731.1.BCL6B	chr7	108934377	108934393	-	0.000	0.000	Merged-chr7-108934410-57
NR1390--MA0731.1.BCL6B	chr5	139075530	139075546	-	0.000	0.000	Merged-chr5-139075307-26
NR248--MA0463.1.Bcl6	chr10	111498384	111498397	-	0.000	0.000	Merged-chr10-111498315-1
NR803--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR821--MA0463.1.Bcl6	chr18	36670359	36670372	+	0.000	0.000	Merged-chr18-36670239-51
NR1722--MA0463.1.Bcl6	chr8	127178789	127178802	+	0.000	0.000	Merged-chr8-127178768-26
NR370--MA0731.1.BCL6B	chr11	115628145	115628161	+	0.000	0.000	Merged-chr11-115628140-53
NR1326--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR893--MA0731.1.BCL6B	chr19	46014671	46014687	+	0.000	0.000	Merged-chr19-46014734-21
NR750--MA0731.1.BCL6B	chr17	22817693	22817709	+	0.000	0.000	Merged-chr17-22817720-41
NR1185--MA0463.1.Bcl6	chr3	149349527	149349540	-	0.000	0.000	Merged-chr3-149349511-34
NR53--MA0731.1.BCL6B	chr1	92633028	92633044	-	0.000	0.000	Merged-chr1-92633104-34
NR1273--MA0731.1.BCL6B	chr4	133399715	133399731	-	0.000	0.000	Merged-chr4-133399741-14
NR1736--MA0463.1.Bcl6	chr9	32914958	32914971	-	0.000	0.000	Merged-chr9-32914838-2
NR186--MA0463.1.Bcl6	chr10	41595895	41595908	-	0.000	0.000	Merged-chr10-41595749-48
NR1772--MA0463.1.Bcl6	chr9	96650993	96651006	-	0.000	0.000	Merged-chr9-96650988-6
NR1526--MA0463.1.Bcl6	chr6	148212209	148212222	-	0.000	0.000	Merged-chr6-148212124-77
NR341--MA0731.1.BCL6B	chr11	97052304	97052320	-	0.000	0.000	Merged-chr11-97052422-15
NR58--MA0731.1.BCL6B	chr1	106561367	106561383	+	0.000	0.000	Merged-chr1-106561410-50
NR864--MA0731.1.BCL6B	chr19	5743826	5743842	-	0.000	0.000	Merged-chr19-5743763-3
NR1777--MA0463.1.Bcl6	chr9	98979827	98979840	+	0.000	0.000	Merged-chr9-98979931-56
NR768--MA0731.1.BCL6B	chr17	35051887	35051903	+	0.000	0.000	Merged-chr17-35051735-66
NR1658--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR415--MA0463.1.Bcl6	chr12	86082553	86082566	-	0.000	0.000	Merged-chr12-86082692-8
NR877--MA0731.1.BCL6B	chr19	24271844	24271860	-	0.000	0.000	Merged-chr19-24271931-46
NR1419--MA0731.1.BCL6B	chr6	15793395	15793411	-	0.000	0.000	Merged-chr6-15793359-107
NR791--MA0463.1.Bcl6	chr17	65546290	65546303	-	0.000	0.000	Merged-chr17-65546399-18
NR1446--MA0463.1.Bcl6	chr6	59417831	59417844	+	0.000	0.000	Merged-chr6-59417759-25
NR1637--MA0731.1.BCL6B	chr7	142040895	142040911	-	0.000	0.000	Merged-chr7-142041068-7
NR76--MA0463.1.Bcl6	chr1	136625575	136625588	-	0.000	0.000	Merged-chr1-136625526-2
NR1370--MA0463.1.Bcl6	chr5	111201014	111201027	-	0.000	0.000	Merged-chr5-111200863-1
NR171--MA0731.1.BCL6B	chr10	13057151	13057167	-	0.000	0.000	Merged-chr10-13057097-43
NR1576--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1507--MA0731.1.BCL6B	chr6	131388524	131388540	+	0.000	0.000	Merged-chr6-131388404-16
NR1236--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR1254--MA0463.1.Bcl6	chr4	119223882	119223895	+	0.000	0.000	Merged-chr4-119223905-18
NR1272--MA0463.1.Bcl6	chr4	133399718	133399731	+	0.000	0.000	Merged-chr4-133399741-14
NR543--MA0731.1.BCL6B	chr14	8346715	8346731	+	0.000	0.000	Merged-chr14-8346820-31
NR273--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR940--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR490--MA0731.1.BCL6B	chr13	67399854	67399870	-	0.000	0.000	Merged-chr13-67399691-60
NR1080--MA0463.1.Bcl6	chr3	32438122	32438135	-	0.000	0.000	Merged-chr3-32438051-51
NR909--MA0463.1.Bcl6	chr2	6445024	6445037	+	0.000	0.000	Merged-chr2-6444990-17
NR1286--MA0463.1.Bcl6	chr4	145586277	145586290	+	0.000	0.000	Merged-chr4-145586150-24
NR665--MA0731.1.BCL6B	chr16	10774795	10774811	-	0.000	0.000	Merged-chr16-10774943-5
NR936--MA0731.1.BCL6B	chr2	32772171	32772187	-	0.000	0.000	Merged-chr2-32771998-3
NR1613--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR851--MA0463.1.Bcl6	chr18	80497083	80497096	+	0.000	0.000	Merged-chr18-80497018-4
NR168--MA0731.1.BCL6B	chr10	7474006	7474022	+	0.000	0.000	Merged-chr10-7473929-104
NR502--MA0463.1.Bcl6	chr13	83725256	83725269	+	0.000	0.000	Merged-chr13-83725217-24
NR1636--MA0463.1.Bcl6	chr7	141064305	141064318	+	0.000	0.000	Merged-chr7-141064290-23
NR514--MA0731.1.BCL6B	chr13	100103656	100103672	+	0.000	0.000	Merged-chr13-100103796-73
NR1748--MA0463.1.Bcl6	chr9	61385976	61385989	+	0.000	0.000	Merged-chr9-61385921-10
NR907--MA0731.1.BCL6B	chr2	5614106	5614122	-	0.000	0.000	Merged-chr2-5614101-68
NR409--MA0463.1.Bcl6	chr12	82166450	82166463	-	0.000	0.000	Merged-chr12-82166286-58
NR673--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR785--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR1328--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR691--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR1710--MA0731.1.BCL6B	chr8	117673711	117673727	+	0.000	0.000	Merged-chr8-117673653-52
NR357--MA0731.1.BCL6B	chr11	105124229	105124245	-	0.000	0.000	Merged-chr11-105124264-12
NR1691--MA0731.1.BCL6B	chr8	95081038	95081054	+	0.000	0.000	Merged-chr8-95081024-85
NR463--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR1723--MA0731.1.BCL6B	chr8	127178786	127178802	-	0.000	0.000	Merged-chr8-127178768-26
NR1109--MA0463.1.Bcl6	chr3	89340645	89340658	+	0.000	0.000	Merged-chr3-89340758-16
NR1391--MA0463.1.Bcl6	chr5	139161731	139161744	-	0.000	0.000	Merged-chr5-139161823-20
NR1683--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1266--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR804--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR1602--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1083--MA0463.1.Bcl6	chr3	37204799	37204812	+	0.000	0.000	Merged-chr3-37204884-40
NR1607--MA0463.1.Bcl6	chr7	113250661	113250674	-	0.000	0.000	Merged-chr7-113250807-31
NR1513--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR939--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR724--MA0463.1.Bcl6	chr16	87726010	87726023	-	0.000	0.000	Merged-chr16-87726198-44
NR299--MA0463.1.Bcl6	chr11	55386709	55386722	-	0.000	0.000	Merged-chr11-55386598-21
NR402--MA0463.1.Bcl6	chr12	75669771	75669784	+	0.000	0.000	Merged-chr12-75669660-74
NR608--MA0463.1.Bcl6	chr15	7987597	7987610	-	0.000	0.000	Merged-chr15-7987589-29
NR644--MA0463.1.Bcl6	chr15	80930506	80930519	-	0.000	0.000	Merged-chr15-80930587-88
NR1451--MA0463.1.Bcl6	chr6	83108843	83108856	-	0.000	0.000	Merged-chr6-83108688-3
NR1657--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR1484--MA0731.1.BCL6B	chr6	115677874	115677890	-	0.000	0.000	Merged-chr6-115677836-38
NR774--MA0463.1.Bcl6	chr17	43518792	43518805	-	0.000	0.000	Merged-chr17-43518847-13
NR1335--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR340--MA0463.1.Bcl6	chr11	97052304	97052317	-	0.000	0.000	Merged-chr11-97052422-15
NR1577--MA0463.1.Bcl6	chr7	75828046	75828059	-	0.000	0.000	Merged-chr7-75828058-23
NR1125--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
NR354--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR466--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR1009--MA0463.1.Bcl6	chr2	131423734	131423747	+	0.000	0.000	Merged-chr2-131423775-8
NR372--MA0463.1.Bcl6	chr11	118000587	118000600	-	0.000	0.000	Merged-chr11-118000770-19
NR923--MA0463.1.Bcl6	chr2	24748164	24748177	+	0.000	0.000	Merged-chr2-24748146-35
NR86--MA0731.1.BCL6B	chr1	153631275	153631291	-	0.000	0.000	Merged-chr1-153631437-14
NR368--MA0463.1.Bcl6	chr11	114745307	114745320	-	0.000	0.000	Merged-chr11-114745299-23
NR1842--MA0463.1.Bcl6	chrX	142902343	142902356	+	0.000	0.000	Merged-chrX-142902308-39
NR386--MA0463.1.Bcl6	chr12	25362901	25362914	-	0.000	0.000	Merged-chr12-25363030-6
NR601--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1652--MA0731.1.BCL6B	chr8	31176221	31176237	-	0.000	0.000	Merged-chr8-31176190-29
NR928--MA0463.1.Bcl6	chr2	28840487	28840500	+	0.000	0.000	Merged-chr2-28840437-75
NR1726--MA0463.1.Bcl6	chr8	128352945	128352958	-	0.000	0.000	Merged-chr8-128352989-24
NR980--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR176--MA0463.1.Bcl6	chr10	21077157	21077170	+	0.000	0.000	Merged-chr10-21077347-58
NR1619--MA0463.1.Bcl6	chr7	122388339	122388352	-	0.000	0.000	Merged-chr7-122388124-31
NR1310--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR43--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR508--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR1767--MA0463.1.Bcl6	chr9	88273565	88273578	-	0.000	0.000	Merged-chr9-88273504-34
NR61--MA0463.1.Bcl6	chr1	120033229	120033242	-	0.000	0.000	Merged-chr1-120033205-45
NR1243--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR1309--MA0731.1.BCL6B	chr4	156200851	156200867	-	0.000	0.000	Merged-chr4-156200836-25
NR1100--MA0731.1.BCL6B	chr3	79197075	79197091	+	0.000	0.000	Merged-chr3-79197186-40
NR1570--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR191--MA0731.1.BCL6B	chr10	59578307	59578323	+	0.000	0.000	Merged-chr10-59578319-88
NR1081--MA0731.1.BCL6B	chr3	32438122	32438138	+	0.000	0.000	Merged-chr3-32438051-51
NR1682--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR535--MA0463.1.Bcl6	chr13	113636094	113636107	-	0.000	0.000	Merged-chr13-113636037-42
NR1557--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR307--MA0463.1.Bcl6	chr11	61175326	61175339	+	0.000	0.000	Merged-chr11-61175090-72
NR1002--MA0463.1.Bcl6	chr2	125866159	125866172	+	0.000	0.000	Merged-chr2-125866332-46
NR1584--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR1226--MA0463.1.Bcl6	chr4	88550469	88550482	+	0.000	0.000	Merged-chr4-88550447-50
NR558--MA0463.1.Bcl6	chr14	50956259	50956272	+	0.000	0.000	Merged-chr14-50956236-57
NR1086--MA0731.1.BCL6B	chr3	38483600	38483616	-	0.000	0.000	Merged-chr3-38483771-17
NR1628--MA0731.1.BCL6B	chr7	131112869	131112885	+	0.000	0.000	Merged-chr7-131112700-22
NR98--MA0463.1.Bcl6	chr1	161894142	161894155	-	0.000	0.000	Merged-chr1-161894254-19
NR133--MA0463.1.Bcl6	chr1	180199354	180199367	-	0.000	0.000	Merged-chr1-180199535-50
NR698--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR281--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR664--MA0731.1.BCL6B	chr16	10774795	10774811	+	0.000	0.000	Merged-chr16-10774943-5
NR1078--MA0731.1.BCL6B	chr3	30602087	30602103	+	0.000	0.000	Merged-chr3-30601989-42
