#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR12916--MA0089.1.MAFG::NFE2L1	chrX	93368270	93368275	+	0.000	0.000	Merged-chrX-93368471-14
NR10281--MA0495.2.MAFF	chr6	94623147	94623167	+	0.000	0.000	Merged-chr6-94623201-16
NR4498--MA0496.2.MAFK	chr15	85377110	85377128	-	0.000	0.000	Merged-chr15-85377015-15
NR5519--MA0501.1.MAF::NFE2	chr17	84148982	84148996	-	0.000	0.000	Merged-chr17-84148977-32
NR3543--MA0495.2.MAFF	chr13	108763560	108763580	-	0.000	0.000	Merged-chr13-108763497-25
NR9275--MA0089.1.MAFG::NFE2L1	chr5	20882148	20882153	+	0.000	0.000	Merged-chr5-20882102-89
NR8185--MA0591.1.Bach1::Mafk	chr3	137981532	137981546	-	0.000	0.000	Merged-chr3-137981566-6
NR4713--MA0496.2.MAFK	chr16	24391326	24391344	+	0.000	0.000	Merged-chr16-24391314-24
NR1463--MA0501.1.MAF::NFE2	chr10	81473049	81473063	-	0.000	0.000	Merged-chr10-81473073-16
NR6663--MA0089.1.MAFG::NFE2L1	chr2	65818662	65818667	-	0.000	0.000	Merged-chr2-65818542-58
NR10017--MA0591.1.Bach1::Mafk	chr6	34869611	34869625	+	0.000	0.000	Merged-chr6-34869594-48
NR10491--MA0496.2.MAFK	chr6	122291985	122292003	+	0.000	0.000	Merged-chr6-122292043-61
NR10898--MA0591.1.Bach1::Mafk	chr7	19332924	19332938	-	0.000	0.000	Merged-chr7-19332998-44
NR4529--MA0089.1.MAFG::NFE2L1	chr15	93712836	93712841	-	0.000	0.000	Merged-chr15-93712745-43
NR7604--MA0089.1.MAFG::NFE2L1	chr3	9401032	9401037	-	0.000	0.000	Merged-chr3-9400917-27
NR8527--MA0495.2.MAFF	chr4	57640333	57640353	-	0.000	0.000	Merged-chr4-57640378-35
NR9577--MA0089.1.MAFG::NFE2L1	chr5	100070460	100070465	+	0.000	0.000	Merged-chr5-100070344-29
NR10053--MA0495.2.MAFF	chr6	48723915	48723935	+	0.000	0.000	Merged-chr6-48723812-13
NR12785--MA0117.2.Mafb	chr9	118706052	118706063	+	0.000	0.000	Merged-chr9-118706091-31
NR12225--MA0501.1.MAF::NFE2	chr9	15530011	15530025	+	0.000	0.000	Merged-chr9-15530031-64
NR4196--MA0117.2.Mafb	chr15	31602665	31602676	-	0.000	0.000	Merged-chr15-31602700-2
NR11787--MA0496.2.MAFK	chr8	71882026	71882044	-	0.000	0.000	Merged-chr8-71881954-63
NR10618--MA0591.1.Bach1::Mafk	chr6	134450932	134450946	-	0.000	0.000	Merged-chr6-134450954-21
NR9978--MA0591.1.Bach1::Mafk	chr6	29272554	29272568	-	0.000	0.000	Merged-chr6-29272695-53
NR10165--MA0495.2.MAFF	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR576--MA0501.1.MAF::NFE2	chr1	134050792	134050806	+	0.000	0.000	Merged-chr1-134050836-11
NR6143--MA0117.2.Mafb	chr19	24476575	24476586	+	0.000	0.000	Merged-chr19-24476659-2
NR8835--MA0089.1.MAFG::NFE2L1	chr4	117887413	117887418	-	0.000	0.000	Merged-chr4-117887306-54
NR462--MA0496.2.MAFK	chr1	106187696	106187714	-	0.000	0.000	Merged-chr1-106187715-26
NR4288--MA0496.2.MAFK	chr15	60141741	60141759	-	0.000	0.000	Merged-chr15-60141822-49
NR4703--MA0591.1.Bach1::Mafk	chr16	22920110	22920124	-	0.000	0.000	Merged-chr16-22920184-19
NR8451--MA0495.2.MAFF	chr4	40773395	40773415	+	0.000	0.000	Merged-chr4-40773188-44
NR6703--MA0659.1.MAFG	chr2	71843559	71843579	+	0.000	0.000	Merged-chr2-71843530-15
NR3573--MA0089.1.MAFG::NFE2L1	chr13	112287341	112287346	-	0.000	0.000	Merged-chr13-112287336-21
NR12481--MA0659.1.MAFG	chr9	78039248	78039268	-	0.000	0.000	Merged-chr9-78039218-36
NR6487--MA0089.1.MAFG::NFE2L1	chr2	31239516	31239521	+	0.000	0.000	Merged-chr2-31239481-10
NR145--MA0495.2.MAFF	chr1	52274428	52274448	-	0.000	0.000	Merged-chr1-52274408-12
NR4709--MA0496.2.MAFK	chr16	23262324	23262342	+	0.000	0.000	Merged-chr16-23262371-32
NR4639--MA0591.1.Bach1::Mafk	chr16	11285926	11285940	+	0.000	0.000	Merged-chr16-11286053-13
NR11009--MA0495.2.MAFF	chr7	49923214	49923234	-	0.000	0.000	Merged-chr7-49923438-49
NR8958--MA0591.1.Bach1::Mafk	chr4	135493526	135493540	-	0.000	0.000	Merged-chr4-135493487-11
NR7428--MA0089.1.MAFG::NFE2L1	chr2	166713846	166713851	-	0.000	0.000	Merged-chr2-166713802-88
NR2008--MA0659.1.MAFG	chr11	62280803	62280823	-	0.000	0.000	Merged-chr11-62280813-1
NR265--MA0089.1.MAFG::NFE2L1	chr1	74284864	74284869	+	0.000	0.000	Merged-chr1-74284786-68
NR11293--MA0089.1.MAFG::NFE2L1	chr7	108944132	108944137	+	0.000	0.000	Merged-chr7-108944158-41
NR10055--MA0117.2.Mafb	chr6	48723915	48723926	+	0.000	0.000	Merged-chr6-48723812-13
NR1889--MA0501.1.MAF::NFE2	chr11	32020163	32020177	+	0.000	0.000	Merged-chr11-32020422-50
NR1603--MA0659.1.MAFG	chr10	99221678	99221698	+	0.000	0.000	Merged-chr10-99221651-27
NR2020--MA0591.1.Bach1::Mafk	chr11	63873434	63873448	-	0.000	0.000	Merged-chr11-63873500-16
NR8068--MA0089.1.MAFG::NFE2L1	chr3	127759392	127759397	-	0.000	0.000	Merged-chr3-127759429-25
NR7574--MA0591.1.Bach1::Mafk	chr2	180070690	180070704	+	0.000	0.000	Merged-chr2-180070748-65
NR4325--MA0089.1.MAFG::NFE2L1	chr15	64113488	64113493	-	0.000	0.000	Merged-chr15-64113403-29
NR1276--MA0117.2.Mafb	chr10	41450172	41450183	+	0.000	0.000	Merged-chr10-41450273-55
NR9782--MA0501.1.MAF::NFE2	chr5	134489798	134489812	-	0.000	0.000	Merged-chr5-134489767-10
NR1122--MA0089.1.MAFG::NFE2L1	chr1	194986222	194986227	-	0.000	0.000	Merged-chr1-194986119-7
NR8581--MA0495.2.MAFF	chr4	63840667	63840687	-	0.000	0.000	Merged-chr4-63840637-20
NR10449--MA0591.1.Bach1::Mafk	chr6	117431670	117431684	+	0.000	0.000	Merged-chr6-117431708-65
NR790--MA0591.1.Bach1::Mafk	chr1	162207440	162207454	+	0.000	0.000	Merged-chr1-162207431-48
NR140--MA0496.2.MAFK	chr1	52012516	52012534	-	0.000	0.000	Merged-chr1-52012625-13
NR12192--MA0591.1.Bach1::Mafk	chr9	13298138	13298152	-	0.000	0.000	Merged-chr9-13298112-64
NR9957--MA0496.2.MAFK	chr6	15726620	15726638	-	0.000	0.000	Merged-chr6-15726718-35
NR7616--MA0591.1.Bach1::Mafk	chr3	9974554	9974568	+	0.000	0.000	Merged-chr3-9974623-36
NR147--MA0501.1.MAF::NFE2	chr1	52274428	52274442	-	0.000	0.000	Merged-chr1-52274408-12
NR5076--MA0117.2.Mafb	chr16	94038597	94038608	+	0.000	0.000	Merged-chr16-94038464-13
NR2010--MA0496.2.MAFK	chr11	62280804	62280822	+	0.000	0.000	Merged-chr11-62280813-1
NR10965--MA0591.1.Bach1::Mafk	chr7	35745360	35745374	+	0.000	0.000	Merged-chr7-35745412-12
NR8583--MA0659.1.MAFG	chr4	63840667	63840687	-	0.000	0.000	Merged-chr4-63840637-20
NR11001--MA0089.1.MAFG::NFE2L1	chr7	47146263	47146268	-	0.000	0.000	Merged-chr7-47146350-32
NR9995--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR12235--MA0117.2.Mafb	chr9	21679938	21679949	-	0.000	0.000	Merged-chr9-21680027-16
NR10968--MA0089.1.MAFG::NFE2L1	chr7	38071218	38071223	-	0.000	0.000	Merged-chr7-38071224-22
NR5643--MA0089.1.MAFG::NFE2L1	chr18	23913006	23913011	+	0.000	0.000	Merged-chr18-23913027-4
NR10853--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR250--MA0089.1.MAFG::NFE2L1	chr1	69548609	69548614	+	0.000	0.000	Merged-chr1-69548718-45
NR6081--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR7628--MA0089.1.MAFG::NFE2L1	chr3	19429965	19429970	+	0.000	0.000	Merged-chr3-19430027-92
NR9977--MA0089.1.MAFG::NFE2L1	chr6	29023353	29023358	+	0.000	0.000	Merged-chr6-29023445-17
NR6398--MA0089.1.MAFG::NFE2L1	chr2	11429831	11429836	-	0.000	0.000	Merged-chr2-11429787-25
NR12364--MA0501.1.MAF::NFE2	chr9	55808075	55808089	+	0.000	0.000	Merged-chr9-55808003-9
NR8933--MA0089.1.MAFG::NFE2L1	chr4	132884363	132884368	+	0.000	0.000	Merged-chr4-132884326-57
NR7135--MA0117.2.Mafb	chr2	131254122	131254133	-	0.000	0.000	Merged-chr2-131254013-54
NR3911--MA0495.2.MAFF	chr14	69813196	69813216	-	0.000	0.000	Merged-chr14-69813335-19
NR10940--MA0089.1.MAFG::NFE2L1	chr7	30353511	30353516	+	0.000	0.000	Merged-chr7-30353555-8
NR1495--MA0591.1.Bach1::Mafk	chr10	85829474	85829488	-	0.000	0.000	Merged-chr10-85829298-76
NR2170--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR6278--MA0117.2.Mafb	chr19	53972147	53972158	-	0.000	0.000	Merged-chr19-53972113-29
NR3698--MA0659.1.MAFG	chr14	20775811	20775831	+	0.000	0.000	Merged-chr14-20775848-16
NR1601--MA0591.1.Bach1::Mafk	chr10	99221681	99221695	+	0.000	0.000	Merged-chr10-99221651-27
NR12459--MA0117.2.Mafb	chr9	72890850	72890861	-	0.000	0.000	Merged-chr9-72890879-25
NR725--MA0591.1.Bach1::Mafk	chr1	156076642	156076656	-	0.000	0.000	Merged-chr1-156076663-15
NR4461--MA0659.1.MAFG	chr15	81872293	81872313	+	0.000	0.000	Merged-chr15-81872198-88
NR1283--MA0496.2.MAFK	chr10	42031177	42031195	+	0.000	0.000	Merged-chr10-42031220-30
NR10991--MA0117.2.Mafb	chr7	45135792	45135803	-	0.000	0.000	Merged-chr7-45135783-3
NR10506--MA0495.2.MAFF	chr6	124683828	124683848	-	0.000	0.000	Merged-chr6-124683900-13
NR11367--MA0496.2.MAFK	chr7	118104854	118104872	+	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR9353--MA0501.1.MAF::NFE2	chr5	43869184	43869198	+	0.000	0.000	Merged-chr5-43869112-81
NR11807--MA0089.1.MAFG::NFE2L1	chr8	76902051	76902056	-	0.000	0.000	Merged-chr8-76902143-41
NR8079--MA0089.1.MAFG::NFE2L1	chr3	129588849	129588854	-	0.000	0.000	Merged-chr3-129588899-30
NR2181--MA0495.2.MAFF	chr11	94370921	94370941	-	0.000	0.000	Merged-chr11-94371007-27
NR4629--MA0496.2.MAFK	chr16	8728551	8728569	-	0.000	0.000	Merged-chr16-8728485-34
NR765--MA0501.1.MAF::NFE2	chr1	159390051	159390065	+	0.000	0.000	Merged-chr1-159390218-34
NR732--MA0495.2.MAFF	chr1	156674417	156674437	-	0.000	0.000	Merged-chr1-156674616-3
NR257--MA0496.2.MAFK	chr1	72320875	72320893	+	0.000	0.000	Merged-chr1-72320998-10
NR11391--MA0089.1.MAFG::NFE2L1	chr7	120796465	120796470	+	0.000	0.000	Merged-chr7-120796607-11
NR5750--MA0496.2.MAFK	chr18	53951276	53951294	-	0.000	0.000	Merged-chr18-53951279-47
NR3915--MA0501.1.MAF::NFE2	chr14	69813202	69813216	+	0.000	0.000	Merged-chr14-69813335-19
NR3118--MA0089.1.MAFG::NFE2L1	chr13	32866658	32866663	+	0.000	0.000	Merged-chr13-32866696-30
NR7613--MA0089.1.MAFG::NFE2L1	chr3	9802423	9802428	+	0.000	0.000	Merged-chr3-9802270-83
NR3322--MA0591.1.Bach1::Mafk	chr13	73305944	73305958	-	0.000	0.000	Merged-chr13-73305950-36
NR4879--MA0591.1.Bach1::Mafk	chr16	57281633	57281647	+	0.000	0.000	Merged-chr16-57281679-14
NR12332--MA0089.1.MAFG::NFE2L1	chr9	50533695	50533700	+	0.000	0.000	Merged-chr9-50533637-27
NR1825--MA0496.2.MAFK	chr11	5099438	5099456	+	0.000	0.000	Merged-chr11-5099369-106
NR10510--MA0496.2.MAFK	chr6	124683829	124683847	-	0.000	0.000	Merged-chr6-124683900-13
NR5527--MA0495.2.MAFF	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR9107--MA0089.1.MAFG::NFE2L1	chr4	150656085	150656090	+	0.000	0.000	Merged-chr4-150656116-25
NR1345--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR4309--MA0117.2.Mafb	chr15	62482431	62482442	+	0.000	0.000	Merged-chr15-62482463-45
NR10431--MA0591.1.Bach1::Mafk	chr6	116628692	116628706	-	0.000	0.000	Merged-chr6-116628813-88
NR2479--MA0089.1.MAFG::NFE2L1	chr12	16049797	16049802	-	0.000	0.000	Merged-chr12-16049748-36
NR10764--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR5930--MA0089.1.MAFG::NFE2L1	chr18	75410352	75410357	+	0.000	0.000	Merged-chr18-75410439-27
NR812--MA0591.1.Bach1::Mafk	chr1	163898671	163898685	-	0.000	0.000	Merged-chr1-163898534-41
NR1865--MA0501.1.MAF::NFE2	chr11	20553188	20553202	+	0.000	0.000	Merged-chr11-20553238-64
NR965--MA0495.2.MAFF	chr1	182528172	182528192	+	0.000	0.000	Merged-chr1-182528373-67
NR3280--MA0089.1.MAFG::NFE2L1	chr13	63411879	63411884	-	0.000	0.000	Merged-chr13-63411826-2
NR5893--MA0501.1.MAF::NFE2	chr18	69084717	69084731	+	0.000	0.000	Merged-chr18-69084701-84
NR9685--MA0495.2.MAFF	chr5	115635603	115635623	+	0.000	0.000	Merged-chr5-115635680-25
NR10784--MA0501.1.MAF::NFE2	chr6	145855785	145855799	-	0.000	0.000	Merged-chr6-145855967-35
NR3810--MA0117.2.Mafb	chr14	55540238	55540249	+	0.000	0.000	Merged-chr14-55540407-42
NR10875--MA0117.2.Mafb	chr7	16119878	16119889	-	0.000	0.000	Merged-chr7-16119991-49
NR3001--MA0501.1.MAF::NFE2	chr12	118930952	118930966	-	0.000	0.000	Merged-chr12-118930773-38
NR719--MA0495.2.MAFF	chr1	155029375	155029395	+	0.000	0.000	Merged-chr1-155029443-27
NR1737--MA0089.1.MAFG::NFE2L1	chr10	121474179	121474184	-	0.000	0.000	Merged-chr10-121474163-48
NR11237--MA0591.1.Bach1::Mafk	chr7	100479847	100479861	+	0.000	0.000	Merged-chr7-100479896-21
NR9783--MA0496.2.MAFK	chr5	134489799	134489817	+	0.000	0.000	Merged-chr5-134489767-10
NR2162--MA0089.1.MAFG::NFE2L1	chr11	90225043	90225048	+	0.000	0.000	Merged-chr11-90225249-59
NR8821--MA0659.1.MAFG	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR10429--MA0501.1.MAF::NFE2	chr6	115684920	115684934	-	0.000	0.000	Merged-chr6-115685008-41
NR6306--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR11516--MA0089.1.MAFG::NFE2L1	chr7	135647132	135647137	+	0.000	0.000	Merged-chr7-135647119-33
NR8298--MA0591.1.Bach1::Mafk	chr3	152763516	152763530	+	0.000	0.000	Merged-chr3-152763543-71
NR3066--MA0591.1.Bach1::Mafk	chr13	14630245	14630259	+	0.000	0.000	Merged-chr13-14630250-50
NR960--MA0496.2.MAFK	chr1	182101796	182101814	-	0.000	0.000	Merged-chr1-182101708-11
NR3925--MA0495.2.MAFF	chr14	70767710	70767730	+	0.000	0.000	Merged-chr14-70767609-24
NR1333--MA0089.1.MAFG::NFE2L1	chr10	54117987	54117992	-	0.000	0.000	Merged-chr10-54118025-47
NR2631--MA0659.1.MAFG	chr12	77020108	77020128	+	0.000	0.000	Merged-chr12-77020175-38
NR5523--MA0501.1.MAF::NFE2	chr17	85023743	85023757	+	0.000	0.000	Merged-chr17-85023702-53
NR5202--MA0117.2.Mafb	chr17	21434023	21434034	-	0.000	0.000	Merged-chr17-21433933-15
NR3884--MA0089.1.MAFG::NFE2L1	chr14	66190611	66190616	+	0.000	0.000	Merged-chr14-66190567-42
NR8465--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR4623--MA0089.1.MAFG::NFE2L1	chr16	8470799	8470804	-	0.000	0.000	Merged-chr16-8470808-56
NR6092--MA0089.1.MAFG::NFE2L1	chr19	10740845	10740850	+	0.000	0.000	Merged-chr19-10740787-51
NR6674--MA0501.1.MAF::NFE2	chr2	66184982	66184996	-	0.000	0.000	Merged-chr2-66184903-51
NR9616--MA0501.1.MAF::NFE2	chr5	106885761	106885775	-	0.000	0.000	Merged-chr5-106885750-27
NR7610--MA0501.1.MAF::NFE2	chr3	9767230	9767244	+	0.000	0.000	Merged-chr3-9767219-17
NR5529--MA0117.2.Mafb	chr17	86063701	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR9307--MA0089.1.MAFG::NFE2L1	chr5	30647920	30647925	-	0.000	0.000	Merged-chr5-30648005-55
NR11849--MA0659.1.MAFG	chr8	85035981	85036001	+	0.000	0.000	Merged-chr8-85036008-3
NR7393--MA0496.2.MAFK	chr2	163155370	163155388	-	0.000	0.000	Merged-chr2-163155228-25
NR2089--MA0591.1.Bach1::Mafk	chr11	78328340	78328354	+	0.000	0.000	Merged-chr11-78328473-53
NR9873--MA0089.1.MAFG::NFE2L1	chr5	146897095	146897100	+	0.000	0.000	Merged-chr5-146897155-34
NR1541--MA0117.2.Mafb	chr10	93261461	93261472	-	0.000	0.000	Merged-chr10-93261429-32
NR10864--MA0496.2.MAFK	chr7	13038282	13038300	-	0.000	0.000	Merged-chr7-13038148-88
NR2679--MA0089.1.MAFG::NFE2L1	chr12	86592686	86592691	+	0.000	0.000	Merged-chr12-86592700-17
NR4110--MA0496.2.MAFK	chr14	118796409	118796427	+	0.000	0.000	Merged-chr14-118796395-16
NR5412--MA0501.1.MAF::NFE2	chr17	65740296	65740310	+	0.000	0.000	Merged-chr17-65740416-17
NR1841--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR4260--MA0591.1.Bach1::Mafk	chr15	58823463	58823477	-	0.000	0.000	Merged-chr15-58823489-98
NR4030--MA0495.2.MAFF	chr14	101470024	101470044	-	0.000	0.000	Merged-chr14-101470106-24
NR1727--MA0496.2.MAFK	chr10	120628324	120628342	-	0.000	0.000	Merged-chr10-120628264-28
NR12952--MA0117.2.Mafb	chrX	106962323	106962334	+	0.000	0.000	Merged-chrX-106962471-28
NR7278--MA0591.1.Bach1::Mafk	chr2	148752454	148752468	+	0.000	0.000	Merged-chr2-148752390-72
NR3173--MA0495.2.MAFF	chr13	45624148	45624168	-	0.000	0.000	Merged-chr13-45624002-39
NR3946--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR11691--MA0591.1.Bach1::Mafk	chr8	35860084	35860098	+	0.000	0.000	Merged-chr8-35860255-38
NR2651--MA0089.1.MAFG::NFE2L1	chr12	82225959	82225964	+	0.000	0.000	Merged-chr12-82226104-49
NR1455--MA0591.1.Bach1::Mafk	chr10	80900746	80900760	-	0.000	0.000	Merged-chr10-80900760-63
NR5215--MA0591.1.Bach1::Mafk	chr17	22165863	22165877	-	0.000	0.000	Merged-chr17-22165943-71
NR7335--MA0089.1.MAFG::NFE2L1	chr2	156278796	156278801	-	0.000	0.000	Merged-chr2-156278789-33
NR4357--MA0495.2.MAFF	chr15	72859521	72859541	-	0.000	0.000	Merged-chr15-72859470-25
NR4861--MA0591.1.Bach1::Mafk	chr16	52418696	52418710	+	0.000	0.000	Merged-chr16-52418568-49
NR7280--MA0591.1.Bach1::Mafk	chr2	148902621	148902635	+	0.000	0.000	Merged-chr2-148902521-46
NR8230--MA0501.1.MAF::NFE2	chr3	144558654	144558668	+	0.000	0.000	Merged-chr3-144558478-19
NR627--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR6452--MA0501.1.MAF::NFE2	chr2	25500908	25500922	-	0.000	0.000	Merged-chr2-25500833-51
NR9280--MA0089.1.MAFG::NFE2L1	chr5	23394492	23394497	+	0.000	0.000	Merged-chr5-23394422-14
NR9347--MA0117.2.Mafb	chr5	41888012	41888023	+	0.000	0.000	Merged-chr5-41887948-29
NR5816--MA0591.1.Bach1::Mafk	chr18	61400391	61400405	-	0.000	0.000	Merged-chr18-61400402-28
NR6099--MA0501.1.MAF::NFE2	chr19	11129863	11129877	-	0.000	0.000	Merged-chr19-11129976-16
NR858--MA0591.1.Bach1::Mafk	chr1	170729604	170729618	-	0.000	0.000	Merged-chr1-170729637-43
NR3518--MA0089.1.MAFG::NFE2L1	chr13	105214961	105214966	-	0.000	0.000	Merged-chr13-105214780-5
NR5867--MA0089.1.MAFG::NFE2L1	chr18	65928540	65928545	+	0.000	0.000	Merged-chr18-65928532-5
NR10083--MA0501.1.MAF::NFE2	chr6	53704645	53704659	+	0.000	0.000	Merged-chr6-53704558-10
NR2664--MA0089.1.MAFG::NFE2L1	chr12	84031109	84031114	+	0.000	0.000	Merged-chr12-84031100-14
NR9802--MA0495.2.MAFF	chr5	136550856	136550876	-	0.000	0.000	Merged-chr5-136550897-14
NR1857--MA0496.2.MAFK	chr11	19993173	19993191	+	0.000	0.000	Merged-chr11-19993082-47
NR12863--MA0659.1.MAFG	chrX	42336931	42336951	+	0.000	0.000	Merged-chrX-42336875-23
NR1348--MA0591.1.Bach1::Mafk	chr10	58393207	58393221	-	0.000	0.000	Merged-chr10-58393245-48
NR9025--MA0659.1.MAFG	chr4	144916721	144916741	-	0.000	0.000	Merged-chr4-144916675-7
NR8186--MA0501.1.MAF::NFE2	chr3	138686768	138686782	+	0.000	0.000	Merged-chr3-138686837-12
NR630--MA0501.1.MAF::NFE2	chr1	138571337	138571351	+	0.000	0.000	Merged-chr1-138571231-16
NR9439--MA0496.2.MAFK	chr5	76565521	76565539	-	0.000	0.000	Merged-chr5-76565486-34
NR8836--MA0591.1.Bach1::Mafk	chr4	118179999	118180013	+	0.000	0.000	Merged-chr4-118179905-83
NR4386--MA0659.1.MAFG	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
NR9103--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
