#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR6161--MA0002.2.RUNX1	chr3	88775107	88775117	+	0.000	0.000	Merged-chr3-88775263-42
NR6432--MA0002.2.RUNX1	chr3	136688185	136688195	+	0.000	0.000	Merged-chr3-136688298-63
NR4481--MA0002.2.RUNX1	chr17	86880725	86880735	-	0.000	0.000	Merged-chr17-86880662-37
NR3948--MA0511.2.RUNX2	chr16	58694218	58694226	-	0.000	0.000	Merged-chr16-58694307-32
NR4547--MA0002.2.RUNX1	chr18	14669384	14669394	-	0.000	0.000	Merged-chr18-14669573-8
NR3726--MA0684.1.RUNX3	chr15	102376956	102376965	+	0.000	0.000	Merged-chr15-102377119-58
NR7494--MA0511.2.RUNX2	chr5	96171826	96171834	-	0.000	0.000	Merged-chr5-96171884-25
NR92--MA0511.2.RUNX2	chr1	37473509	37473517	+	0.000	0.000	Merged-chr1-37473461-33
NR613--MA0002.2.RUNX1	chr1	161804612	161804622	+	0.000	0.000	Merged-chr1-161804729-61
NR1027--MA0002.2.RUNX1	chr10	44429430	44429440	-	0.000	0.000	Merged-chr10-44429593-53
NR3263--MA0511.2.RUNX2	chr14	103088719	103088727	-	0.000	0.000	Merged-chr14-103088795-24
NR9346--MA0002.2.RUNX1	chr8	94413638	94413648	+	0.000	0.000	Merged-chr8-94413719-53
NR7609--MA0684.1.RUNX3	chr5	112240965	112240974	+	0.000	0.000	Merged-chr5-112240971-40
NR471--MA0684.1.RUNX3	chr1	131613518	131613527	+	0.000	0.000	Merged-chr1-131613618-28
NR7795--MA0684.1.RUNX3	chr5	144126165	144126174	-	0.000	0.000	Merged-chr5-144126158-36
NR2582--MA0684.1.RUNX3	chr13	45850791	45850800	-	0.000	0.000	Merged-chr13-45850664-56
NR821--MA0511.2.RUNX2	chr1	191480308	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR5244--MA0684.1.RUNX3	chr2	26389341	26389350	+	0.000	0.000	Merged-chr2-26389230-66
NR2310--MA0002.2.RUNX1	chr12	107962043	107962053	+	0.000	0.000	Merged-chr12-107961927-37
NR2976--MA0002.2.RUNX1	chr14	20379783	20379793	+	0.000	0.000	Merged-chr14-20379904-27
NR5039--MA0684.1.RUNX3	chr19	41328933	41328942	+	0.000	0.000	Merged-chr19-41328970-48
NR5118--MA0511.2.RUNX2	chr19	57119827	57119835	+	0.000	0.000	Merged-chr19-57119872-11
NR4242--MA0002.2.RUNX1	chr17	35115619	35115629	-	0.000	0.000	Merged-chr17-35115733-16
NR3438--MA0511.2.RUNX2	chr15	36650167	36650175	-	0.000	0.000	Merged-chr15-36650116-39
NR3709--MA0511.2.RUNX2	chr15	100461458	100461466	-	0.000	0.000	Merged-chr15-100461368-57
NR5767--MA0684.1.RUNX3	chr2	156918722	156918731	+	0.000	0.000	Merged-chr2-156918803-29
NR9206--MA0511.2.RUNX2	chr8	35628487	35628495	-	0.000	0.000	Merged-chr8-35628375-52
NR917--MA0684.1.RUNX3	chr10	18064647	18064656	-	0.000	0.000	Merged-chr10-18064784-37
NR10013--MA0684.1.RUNX3	chr9	119744091	119744100	+	0.000	0.000	Merged-chr9-119744132-67
NR9584--MA0684.1.RUNX3	chr9	37576668	37576677	+	0.000	0.000	Merged-chr9-37576736-24
NR6650--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR7156--MA0002.2.RUNX1	chr4	148070074	148070084	-	0.000	0.000	Merged-chr4-148069999-26
NR6401--MA0511.2.RUNX2	chr3	133328719	133328727	-	0.000	0.000	Merged-chr3-133328719-18
NR3468--MA0684.1.RUNX3	chr15	41846675	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR9458--MA0511.2.RUNX2	chr8	124242430	124242438	-	0.000	0.000	Merged-chr8-124242348-54
NR9507--MA0684.1.RUNX3	chr8	128223320	128223329	-	0.000	0.000	Merged-chr8-128223372-20
NR1867--MA0511.2.RUNX2	chr11	113194938	113194946	+	0.000	0.000	Merged-chr11-113194847-27
NR7679--MA0002.2.RUNX1	chr5	121564595	121564605	+	0.000	0.000	Merged-chr5-121564703-31
NR3177--MA0002.2.RUNX1	chr14	75068998	75069008	+	0.000	0.000	Merged-chr14-75068888-3
NR10245--MA0002.2.RUNX1	chrX	164427444	164427454	+	0.000	0.000	Merged-chrX-164427497-25
NR9216--MA0002.2.RUNX1	chr8	36082781	36082791	+	0.000	0.000	Merged-chr8-36082616-47
NR612--MA0684.1.RUNX3	chr1	161794747	161794756	-	0.000	0.000	Merged-chr1-161794797-65
NR3848--MA0684.1.RUNX3	chr16	36724112	36724121	-	0.000	0.000	Merged-chr16-36724137-4
NR6140--MA0002.2.RUNX1	chr3	86142832	86142842	+	0.000	0.000	Merged-chr3-86142688-69
NR4255--MA0002.2.RUNX1	chr17	37203822	37203832	+	0.000	0.000	Merged-chr17-37203831-32
