#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR7893--MA0496.2.MAFK	chr2	168583322	168583340	-	0.000	0.000	Merged-chr2-168583356-49
NR2303--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR1690--MA0089.1.MAFG::NFE2L1	chr10	82887508	82887513	-	0.000	0.000	Merged-chr10-82887554-36
NR11125--MA0495.2.MAFF	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR13423--MA0591.1.Bach1::Mafk	chr9	108597639	108597653	+	0.000	0.000	Merged-chr9-108597519-47
NR8464--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR12667--MA0495.2.MAFF	chr8	72571103	72571123	+	0.000	0.000	Merged-chr8-72571324-95
NR12323--MA0089.1.MAFG::NFE2L1	chr7	141447311	141447316	-	0.000	0.000	Merged-chr7-141447520-63
NR6750--MA0089.1.MAFG::NFE2L1	chr19	7217510	7217515	+	0.000	0.000	Merged-chr19-7217648-56
NR441--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR3130--MA0501.1.MAF::NFE2	chr13	9027369	9027383	+	0.000	0.000	Merged-chr13-9027395-10
NR9664--MA0089.1.MAFG::NFE2L1	chr4	119415501	119415506	-	0.000	0.000	Merged-chr4-119415497-57
NR13037--MA0591.1.Bach1::Mafk	chr9	14867165	14867179	-	0.000	0.000	Merged-chr9-14867208-21
NR4501--MA0089.1.MAFG::NFE2L1	chr14	118823538	118823543	+	0.000	0.000	Merged-chr14-118823574-15
NR7080--MA0591.1.Bach1::Mafk	chr2	32583666	32583680	+	0.000	0.000	Merged-chr2-32583588-24
NR6907--MA0495.2.MAFF	chr2	6478400	6478420	+	0.000	0.000	Merged-chr2-6478572-51
NR3271--MA0089.1.MAFG::NFE2L1	chr13	37963598	37963603	-	0.000	0.000	Merged-chr13-37963615-35
NR8538--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR11127--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR13669--MA0089.1.MAFG::NFE2L1	chrX	101954292	101954297	-	0.000	0.000	Merged-chrX-101954276-51
NR5835--MA0495.2.MAFF	chr17	31789317	31789337	-	0.000	0.000	Merged-chr17-31789470-34
NR11205--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR6813--MA0495.2.MAFF	chr19	32320554	32320574	+	0.000	0.000	Merged-chr19-32320426-40
NR6255--MA0117.2.Mafb	chr18	13787133	13787144	-	0.000	0.000	Merged-chr18-13787099-71
NR11482--MA0089.1.MAFG::NFE2L1	chr6	130246087	130246092	-	0.000	0.000	Merged-chr6-130245976-1
NR10234--MA0591.1.Bach1::Mafk	chr5	65514773	65514787	+	0.000	0.000	Merged-chr5-65514883-10
NR9635--MA0495.2.MAFF	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR12989--MA0496.2.MAFK	chr8	128596687	128596705	+	0.000	0.000	Merged-chr8-128596588-1
NR12927--MA0089.1.MAFG::NFE2L1	chr8	118830484	118830489	+	0.000	0.000	Merged-chr8-118830505-12
NR11507--MA0089.1.MAFG::NFE2L1	chr6	131433513	131433518	-	0.000	0.000	Merged-chr6-131433462-1
NR9753--MA0117.2.Mafb	chr4	142153734	142153745	+	0.000	0.000	Merged-chr4-142153700-30
NR10691--MA0501.1.MAF::NFE2	chr6	3345469	3345483	+	0.000	0.000	Merged-chr6-3345422-65
NR12858--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR122--MA0496.2.MAFK	chr1	21963193	21963211	-	0.000	0.000	Merged-chr1-21963410-76
NR8794--MA0501.1.MAF::NFE2	chr3	130905293	130905307	+	0.000	0.000	Merged-chr3-130905343-29
NR8733--MA0089.1.MAFG::NFE2L1	chr3	121474886	121474891	-	0.000	0.000	Merged-chr3-121474891-3
NR12322--MA0496.2.MAFK	chr7	141072585	141072603	-	0.000	0.000	Merged-chr7-141072410-71
NR3667--MA0501.1.MAF::NFE2	chr13	103110002	103110016	-	0.000	0.000	Merged-chr13-103110112-59
NR5154--MA0089.1.MAFG::NFE2L1	chr16	11501222	11501227	+	0.000	0.000	Merged-chr16-11501282-30
NR5530--MA0089.1.MAFG::NFE2L1	chr16	77391606	77391611	-	0.000	0.000	Merged-chr16-77391496-1
NR1831--MA0117.2.Mafb	chr10	99592177	99592188	-	0.000	0.000	Merged-chr10-99592304-27
NR9637--MA0659.1.MAFG	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR8793--MA0117.2.Mafb	chr3	130905322	130905333	+	0.000	0.000	Merged-chr3-130905343-29
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR9859--MA0495.2.MAFF	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR7024--MA0089.1.MAFG::NFE2L1	chr2	19344838	19344843	-	0.000	0.000	Merged-chr2-19344795-21
NR12234--MA0089.1.MAFG::NFE2L1	chr7	117428880	117428885	-	0.000	0.000	Merged-chr7-117429043-56
NR12747--MA0501.1.MAF::NFE2	chr8	83740255	83740269	+	0.000	0.000	Merged-chr8-83740218-49
NR4653--MA0117.2.Mafb	chr15	25441378	25441389	+	0.000	0.000	Merged-chr15-25441217-22
NR13412--MA0496.2.MAFK	chr9	108150736	108150754	-	0.000	0.000	Merged-chr9-108150702-30
NR9098--MA0495.2.MAFF	chr4	11616382	11616402	+	0.000	0.000	Merged-chr4-11616279-22
NR13618--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR487--MA0117.2.Mafb	chr1	89741176	89741187	-	0.000	0.000	Merged-chr1-89741042-1
NR6876--MA0089.1.MAFG::NFE2L1	chr19	57105696	57105701	-	0.000	0.000	Merged-chr19-57105551-34
NR7615--MA0089.1.MAFG::NFE2L1	chr2	130642558	130642563	+	0.000	0.000	Merged-chr2-130642738-65
NR1550--MA0501.1.MAF::NFE2	chr10	62590345	62590359	+	0.000	0.000	Merged-chr10-62590420-43
NR8040--MA0089.1.MAFG::NFE2L1	chr3	8971816	8971821	+	0.000	0.000	Merged-chr3-8971852-23
NR6761--MA0089.1.MAFG::NFE2L1	chr19	9939003	9939008	-	0.000	0.000	Merged-chr19-9938920-69
NR4839--MA0496.2.MAFK	chr15	61541266	61541284	+	0.000	0.000	Merged-chr15-61541070-57
NR6485--MA0501.1.MAF::NFE2	chr18	54987013	54987027	+	0.000	0.000	Merged-chr18-54986948-23
NR11607--MA0089.1.MAFG::NFE2L1	chr6	143609272	143609277	+	0.000	0.000	Merged-chr6-143609389-48
NR7789--MA0591.1.Bach1::Mafk	chr2	152029410	152029424	-	0.000	0.000	Merged-chr2-152029501-52
NR11712--MA0495.2.MAFF	chr7	16314087	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR741--MA0089.1.MAFG::NFE2L1	chr1	138159131	138159136	+	0.000	0.000	Merged-chr1-138159171-7
NR13176--MA0089.1.MAFG::NFE2L1	chr9	63602415	63602420	+	0.000	0.000	Merged-chr9-63602538-63
NR5855--MA0117.2.Mafb	chr17	34079786	34079797	-	0.000	0.000	Merged-chr17-34079741-9
NR1265--MA0496.2.MAFK	chr10	20119543	20119561	-	0.000	0.000	Merged-chr10-20119637-31
NR13104--MA0591.1.Bach1::Mafk	chr9	32747939	32747953	+	0.000	0.000	Merged-chr9-32747725-37
NR2243--MA0496.2.MAFK	chr11	51898837	51898855	+	0.000	0.000	Merged-chr11-51898870-27
NR12364--MA0501.1.MAF::NFE2	chr8	10927708	10927722	+	0.000	0.000	Merged-chr8-10927860-5
NR2398--MA0501.1.MAF::NFE2	chr11	100588664	100588678	-	0.000	0.000	Merged-chr11-100588743-35
NR13478--MA0089.1.MAFG::NFE2L1	chr9	117653680	117653685	-	0.000	0.000	Merged-chr9-117653773-19
NR9368--MA0501.1.MAF::NFE2	chr4	62476050	62476064	+	0.000	0.000	Merged-chr4-62476033-55
NR11945--MA0495.2.MAFF	chr7	70628281	70628301	+	0.000	0.000	Merged-chr7-70628191-1
NR4525--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR725--MA0591.1.Bach1::Mafk	chr1	131384554	131384568	-	0.000	0.000	Merged-chr1-131384650-38
NR7083--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
NR382--MA0496.2.MAFK	chr1	72870500	72870518	+	0.000	0.000	Merged-chr1-72870469-25
NR5515--MA0117.2.Mafb	chr16	75855587	75855598	-	0.000	0.000	Merged-chr16-75855662-51
NR6447--MA0591.1.Bach1::Mafk	chr18	49721874	49721888	+	0.000	0.000	Merged-chr18-49721855-41
NR12649--MA0089.1.MAFG::NFE2L1	chr8	70601426	70601431	+	0.000	0.000	Merged-chr8-70601430-20
NR491--MA0591.1.Bach1::Mafk	chr1	89957109	89957123	+	0.000	0.000	Merged-chr1-89957067-1
NR1537--MA0089.1.MAFG::NFE2L1	chr10	59748932	59748937	+	0.000	0.000	Merged-chr10-59748873-11
NR9188--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR6961--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR12245--MA0089.1.MAFG::NFE2L1	chr7	121020597	121020602	-	0.000	0.000	Merged-chr7-121020504-17
NR11730--MA0591.1.Bach1::Mafk	chr7	19332924	19332938	-	0.000	0.000	Merged-chr7-19332998-44
NR10069--MA0117.2.Mafb	chr5	28071845	28071856	-	0.000	0.000	Merged-chr5-28071950-1
NR4538--MA0089.1.MAFG::NFE2L1	chr14	121879680	121879685	-	0.000	0.000	Merged-chr14-121879691-39
NR8542--MA0089.1.MAFG::NFE2L1	chr3	89459082	89459087	+	0.000	0.000	Merged-chr3-89459176-81
NR12155--MA0659.1.MAFG	chr7	104465137	104465157	-	0.000	0.000	Merged-chr7-104465292-53
NR5214--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR10510--MA0496.2.MAFK	chr5	118269184	118269202	-	0.000	0.000	Merged-chr5-118269215-26
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR9765--MA0496.2.MAFK	chr4	144404463	144404481	-	0.000	0.000	Merged-chr4-144404562-1
NR7357--MA0496.2.MAFK	chr2	75823973	75823991	-	0.000	0.000	Merged-chr2-75823994-29
NR2023--MA0591.1.Bach1::Mafk	chr10	127041924	127041938	-	0.000	0.000	Merged-chr10-127041778-74
NR7424--MA0089.1.MAFG::NFE2L1	chr2	91265163	91265168	-	0.000	0.000	Merged-chr2-91265194-57
NR12950--MA0495.2.MAFF	chr8	125557551	125557571	-	0.000	0.000	Merged-chr8-125557520-11
NR6619--MA0591.1.Bach1::Mafk	chr18	75331121	75331135	+	0.000	0.000	Merged-chr18-75331173-4
NR1522--MA0089.1.MAFG::NFE2L1	chr10	56848210	56848215	+	0.000	0.000	Merged-chr10-56848025-2
NR5323--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR4694--MA0117.2.Mafb	chr15	31460756	31460767	+	0.000	0.000	Merged-chr15-31460865-20
NR13585--MA0117.2.Mafb	chrX	56346306	56346317	-	0.000	0.000	Merged-chrX-56346415-28
NR12345--MA0089.1.MAFG::NFE2L1	chr8	4193656	4193661	-	0.000	0.000	Merged-chr8-4193483-29
NR7884--MA0501.1.MAF::NFE2	chr2	167004604	167004618	+	0.000	0.000	Merged-chr2-167004660-28
NR10302--MA0117.2.Mafb	chr5	75645649	75645660	-	0.000	0.000	Merged-chr5-75645576-13
NR9224--MA0495.2.MAFF	chr4	40773395	40773415	-	0.000	0.000	Merged-chr4-40773188-44
NR3036--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR3091--MA0089.1.MAFG::NFE2L1	chr13	6689943	6689948	-	0.000	0.000	Merged-chr13-6690119-33
NR12961--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR13556--MA0496.2.MAFK	chrX	48310731	48310749	+	0.000	0.000	Merged-chrX-48310773-8
NR13482--MA0117.2.Mafb	chr9	118706052	118706063	+	0.000	0.000	Merged-chr9-118706091-31
NR13124--MA0117.2.Mafb	chr9	41181626	41181637	+	0.000	0.000	Merged-chr9-41181548-13
NR300--MA0659.1.MAFG	chr1	65186472	65186492	-	0.000	0.000	Merged-chr1-65186701-72
NR7813--MA0089.1.MAFG::NFE2L1	chr2	156970625	156970630	+	0.000	0.000	Merged-chr2-156970494-23
NR5667--MA0089.1.MAFG::NFE2L1	chr17	5165466	5165471	-	0.000	0.000	Merged-chr17-5165532-60
NR5322--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR12340--MA0501.1.MAF::NFE2	chr8	3711786	3711800	+	0.000	0.000	Merged-chr8-3711702-3
NR8668--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR12458--MA0089.1.MAFG::NFE2L1	chr8	27137160	27137165	-	0.000	0.000	Merged-chr8-27137178-38
NR8812--MA0117.2.Mafb	chr3	133411787	133411798	-	0.000	0.000	Merged-chr3-133411903-38
NR7624--MA0089.1.MAFG::NFE2L1	chr2	132497656	132497661	-	0.000	0.000	Merged-chr2-132497706-22
NR6758--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR873--MA0117.2.Mafb	chr1	161660870	161660881	+	0.000	0.000	Merged-chr1-161660991-11
NR7335--MA0089.1.MAFG::NFE2L1	chr2	70920017	70920022	+	0.000	0.000	Merged-chr2-70920097-22
NR7711--MA0089.1.MAFG::NFE2L1	chr2	144217402	144217407	-	0.000	0.000	Merged-chr2-144217495-19
NR12039--MA0117.2.Mafb	chr7	83144175	83144186	+	0.000	0.000	Merged-chr7-83144158-16
NR6310--MA0117.2.Mafb	chr18	25061740	25061751	+	0.000	0.000	Merged-chr18-25061659-23
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR4723--MA0089.1.MAFG::NFE2L1	chr15	36261593	36261598	+	0.000	0.000	Merged-chr15-36261569-31
NR5066--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR7455--MA0501.1.MAF::NFE2	chr2	101678621	101678635	+	0.000	0.000	Merged-chr2-101678794-92
NR2953--MA0089.1.MAFG::NFE2L1	chr12	99796041	99796046	-	0.000	0.000	Merged-chr12-99796151-6
NR6581--MA0089.1.MAFG::NFE2L1	chr18	70053250	70053255	-	0.000	0.000	Merged-chr18-70053424-8
NR4229--MA0117.2.Mafb	chr14	61971194	61971205	+	0.000	0.000	Merged-chr14-61971047-1
NR5867--MA0089.1.MAFG::NFE2L1	chr17	35121402	35121407	+	0.000	0.000	Merged-chr17-35121514-61
NR8900--MA0591.1.Bach1::Mafk	chr3	144232018	144232032	+	0.000	0.000	Merged-chr3-144232172-58
NR6760--MA0496.2.MAFK	chr19	8997797	8997815	-	0.000	0.000	Merged-chr19-8997882-60
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR10542--MA0496.2.MAFK	chr5	125158607	125158625	-	0.000	0.000	Merged-chr5-125158641-59
NR5989--MA0591.1.Bach1::Mafk	chr17	65961962	65961976	-	0.000	0.000	Merged-chr17-65961846-52
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR2218--MA0591.1.Bach1::Mafk	chr11	43748004	43748018	-	0.000	0.000	Merged-chr11-43747947-60
NR776--MA0089.1.MAFG::NFE2L1	chr1	143907539	143907544	-	0.000	0.000	Merged-chr1-143907495-7
NR1546--MA0089.1.MAFG::NFE2L1	chr10	61715406	61715411	+	0.000	0.000	Merged-chr10-61715305-29
NR3201--MA0089.1.MAFG::NFE2L1	chr13	23556211	23556216	-	0.000	0.000	Merged-chr13-23556170-26
NR6649--MA0495.2.MAFF	chr18	80612045	80612065	-	0.000	0.000	Merged-chr18-80611991-79
NR6970--MA0089.1.MAFG::NFE2L1	chr2	14998105	14998110	-	0.000	0.000	Merged-chr2-14998000-10
NR3851--MA0117.2.Mafb	chr14	8157092	8157103	+	0.000	0.000	Merged-chr14-8157136-4
NR4835--MA0501.1.MAF::NFE2	chr15	60141740	60141754	-	0.000	0.000	Merged-chr15-60141822-49
NR7819--MA0496.2.MAFK	chr2	157131379	157131397	+	0.000	0.000	Merged-chr2-157131278-25
NR12254--MA0089.1.MAFG::NFE2L1	chr7	125507477	125507482	-	0.000	0.000	Merged-chr7-125507552-10
NR13044--MA0117.2.Mafb	chr9	15582149	15582160	-	0.000	0.000	Merged-chr9-15582230-13
NR2864--MA0591.1.Bach1::Mafk	chr12	85705547	85705561	-	0.000	0.000	Merged-chr12-85705502-111
NR6340--MA0495.2.MAFF	chr18	33060132	33060152	-	0.000	0.000	Merged-chr18-33060171-12
NR12530--MA0495.2.MAFF	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR13190--MA0495.2.MAFF	chr9	71874477	71874497	-	0.000	0.000	Merged-chr9-71874475-35
NR12187--MA0117.2.Mafb	chr7	110630430	110630441	-	0.000	0.000	Merged-chr7-110630391-39
NR12494--MA0501.1.MAF::NFE2	chr8	35250897	35250911	-	0.000	0.000	Merged-chr8-35250826-10
NR11627--MA0089.1.MAFG::NFE2L1	chr6	144726015	144726020	-	0.000	0.000	Merged-chr6-144725993-9
NR12158--MA0496.2.MAFK	chr7	104465138	104465156	-	0.000	0.000	Merged-chr7-104465292-53
NR1320--MA0496.2.MAFK	chr10	29313191	29313209	-	0.000	0.000	Merged-chr10-29313390-69
NR674--MA0089.1.MAFG::NFE2L1	chr1	120293792	120293797	+	0.000	0.000	Merged-chr1-120293929-5
NR13611--MA0495.2.MAFF	chrX	71468813	71468833	+	0.000	0.000	Merged-chrX-71468864-48
NR12532--MA0659.1.MAFG	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR7910--MA0501.1.MAF::NFE2	chr2	170247792	170247806	+	0.000	0.000	Merged-chr2-170247949-28
NR8853--MA0089.1.MAFG::NFE2L1	chr3	138008297	138008302	+	0.000	0.000	Merged-chr3-138008366-30
NR10988--MA0089.1.MAFG::NFE2L1	chr6	52306248	52306253	+	0.000	0.000	Merged-chr6-52306168-25
NR4832--MA0495.2.MAFF	chr15	60141740	60141760	+	0.000	0.000	Merged-chr15-60141822-49
NR2757--MA0591.1.Bach1::Mafk	chr12	54313282	54313296	+	0.000	0.000	Merged-chr12-54313214-97
NR4734--MA0089.1.MAFG::NFE2L1	chr15	38452914	38452919	+	0.000	0.000	Merged-chr15-38452892-28
NR3314--MA0089.1.MAFG::NFE2L1	chr13	55022904	55022909	+	0.000	0.000	Merged-chr13-55022808-47
NR4218--MA0591.1.Bach1::Mafk	chr14	57665053	57665067	+	0.000	0.000	Merged-chr14-57665003-92
NR11445--MA0501.1.MAF::NFE2	chr6	125237468	125237482	+	0.000	0.000	Merged-chr6-125237216-70
NR5326--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR8537--MA0591.1.Bach1::Mafk	chr3	88503280	88503294	+	0.000	0.000	Merged-chr3-88503323-39
NR8918--MA0496.2.MAFK	chr3	146063413	146063431	+	0.000	0.000	Merged-chr3-146063322-20
NR5109--MA0117.2.Mafb	chr16	6935048	6935059	+	0.000	0.000	Merged-chr16-6934984-1
NR9493--MA0089.1.MAFG::NFE2L1	chr4	84091793	84091798	+	0.000	0.000	Merged-chr4-84091835-3
NR429--MA0495.2.MAFF	chr1	81301963	81301983	-	0.000	0.000	Merged-chr1-81301857-6
NR2435--MA0659.1.MAFG	chr11	115463665	115463685	+	0.000	0.000	Merged-chr11-115463666-29
NR8664--MA0089.1.MAFG::NFE2L1	chr3	107559402	107559407	+	0.000	0.000	Merged-chr3-107559278-21
NR44--MA0089.1.MAFG::NFE2L1	chr1	10037936	10037941	+	0.000	0.000	Merged-chr1-10038044-60
NR7620--MA0089.1.MAFG::NFE2L1	chr2	132110874	132110879	-	0.000	0.000	Merged-chr2-132110934-3
NR5461--MA0089.1.MAFG::NFE2L1	chr16	65448874	65448879	+	0.000	0.000	Merged-chr16-65448972-5
NR6325--MA0591.1.Bach1::Mafk	chr18	31759787	31759801	-	0.000	0.000	Merged-chr18-31760012-102
NR6895--MA0496.2.MAFK	chr2	4864668	4864686	+	0.000	0.000	Merged-chr2-4864669-14
NR11928--MA0591.1.Bach1::Mafk	chr7	67951790	67951804	-	0.000	0.000	Merged-chr7-67951675-118
NR13470--MA0089.1.MAFG::NFE2L1	chr9	115481405	115481410	+	0.000	0.000	Merged-chr9-115481366-14
NR4861--MA0659.1.MAFG	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR5272--MA0089.1.MAFG::NFE2L1	chr16	38902507	38902512	+	0.000	0.000	Merged-chr16-38902351-60
NR3993--MA0089.1.MAFG::NFE2L1	chr14	22553920	22553925	+	0.000	0.000	Merged-chr14-22553829-1
NR2983--MA0501.1.MAF::NFE2	chr12	105069094	105069108	-	0.000	0.000	Merged-chr12-105069151-33
NR10357--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR3138--MA0089.1.MAFG::NFE2L1	chr13	9763395	9763400	-	0.000	0.000	Merged-chr13-9763479-33
NR4994--MA0591.1.Bach1::Mafk	chr15	91172432	91172446	-	0.000	0.000	Merged-chr15-91172371-1
NR8186--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR673--MA0501.1.MAF::NFE2	chr1	120197405	120197419	+	0.000	0.000	Merged-chr1-120197360-57
NR9191--MA0117.2.Mafb	chr4	33310234	33310245	-	0.000	0.000	Merged-chr4-33310385-59
NR6919--MA0089.1.MAFG::NFE2L1	chr2	6863174	6863179	-	0.000	0.000	Merged-chr2-6863166-2
NR5285--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
