#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR10340--MA0089.1.MAFG::NFE2L1	chr6	103332060	103332065	+	0.000	0.000	Merged-chr6-103332245-23
NR1509--MA0591.1.Bach1::Mafk	chr10	88783295	88783309	+	0.000	0.000	Merged-chr10-88783253-12
NR4780--MA0089.1.MAFG::NFE2L1	chr16	38353796	38353801	-	0.000	0.000	Merged-chr16-38353945-34
NR548--MA0591.1.Bach1::Mafk	chr1	128787353	128787367	+	0.000	0.000	Merged-chr1-128787255-73
NR12299--MA0496.2.MAFK	chr9	43785162	43785180	-	0.000	0.000	Merged-chr9-43784994-20
NR11409--MA0089.1.MAFG::NFE2L1	chr7	122402357	122402362	-	0.000	0.000	Merged-chr7-122402258-36
NR3858--MA0117.2.Mafb	chr14	62849897	62849908	-	0.000	0.000	Merged-chr14-62849794-8
NR6389--MA0089.1.MAFG::NFE2L1	chr2	9867583	9867588	-	0.000	0.000	Merged-chr2-9867507-76
NR7334--MA0591.1.Bach1::Mafk	chr2	156196651	156196665	-	0.000	0.000	Merged-chr2-156196758-68
NR11353--MA0495.2.MAFF	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
NR9511--MA0659.1.MAFG	chr5	92375101	92375121	-	0.000	0.000	Merged-chr5-92374946-3
NR2428--MA0117.2.Mafb	chr11	121741700	121741711	-	0.000	0.000	Merged-chr11-121741709-19
NR5615--MA0501.1.MAF::NFE2	chr18	10744233	10744247	+	0.000	0.000	Merged-chr18-10744169-16
NR2510--MA0501.1.MAF::NFE2	chr12	31499806	31499820	+	0.000	0.000	Merged-chr12-31499732-76
NR2038--MA0591.1.Bach1::Mafk	chr11	69332066	69332080	+	0.000	0.000	Merged-chr11-69332186-23
NR6272--MA0591.1.Bach1::Mafk	chr19	53464926	53464940	-	0.000	0.000	Merged-chr19-53464901-55
NR4718--MA0089.1.MAFG::NFE2L1	chr16	24517823	24517828	-	0.000	0.000	Merged-chr16-24517976-11
NR12649--MA0495.2.MAFF	chr9	102541680	102541700	+	0.000	0.000	Merged-chr9-102541803-17
NR5035--MA0117.2.Mafb	chr16	91448214	91448225	-	0.000	0.000	Merged-chr16-91448282-13
NR8421--MA0117.2.Mafb	chr4	32127082	32127093	+	0.000	0.000	Merged-chr4-32126903-56
NR4603--MA0089.1.MAFG::NFE2L1	chr15	102510783	102510788	+	0.000	0.000	Merged-chr15-102510806-31
NR11355--MA0659.1.MAFG	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
NR3467--MA0591.1.Bach1::Mafk	chr13	99932664	99932678	-	0.000	0.000	Merged-chr13-99932700-36
NR3402--MA0501.1.MAF::NFE2	chr13	91980921	91980935	+	0.000	0.000	Merged-chr13-91980790-3
NR2876--MA0591.1.Bach1::Mafk	chr12	110591596	110591610	+	0.000	0.000	Merged-chr12-110591527-74
NR4880--MA0089.1.MAFG::NFE2L1	chr16	57398740	57398745	-	0.000	0.000	Merged-chr16-57398780-28
NR5401--MA0591.1.Bach1::Mafk	chr17	64601368	64601382	-	0.000	0.000	Merged-chr17-64601230-174
NR7535--MA0496.2.MAFK	chr2	173686086	173686104	-	0.000	0.000	Merged-chr2-173686164-18
NR8648--MA0089.1.MAFG::NFE2L1	chr4	89302408	89302413	+	0.000	0.000	Merged-chr4-89302202-17
NR5611--MA0495.2.MAFF	chr18	10744227	10744247	-	0.000	0.000	Merged-chr18-10744169-16
NR2482--MA0659.1.MAFG	chr12	16331504	16331524	+	0.000	0.000	Merged-chr12-16331706-19
NR4905--MA0089.1.MAFG::NFE2L1	chr16	59459685	59459690	-	0.000	0.000	Merged-chr16-59459484-51
NR7794--MA0089.1.MAFG::NFE2L1	chr3	79336218	79336223	-	0.000	0.000	Merged-chr3-79336264-23
NR7113--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR11061--MA0501.1.MAF::NFE2	chr7	66661725	66661739	+	0.000	0.000	Merged-chr7-66661793-46
NR1702--MA0089.1.MAFG::NFE2L1	chr10	117918024	117918029	-	0.000	0.000	Merged-chr10-117918051-10
NR1153--MA0495.2.MAFF	chr10	7844446	7844466	-	0.000	0.000	Merged-chr10-7844390-33
NR10935--MA0495.2.MAFF	chr7	30198920	30198940	-	0.000	0.000	Merged-chr7-30198838-17
NR3130--MA0501.1.MAF::NFE2	chr13	35208412	35208426	-	0.000	0.000	Merged-chr13-35208466-19
NR1577--MA0591.1.Bach1::Mafk	chr10	96599773	96599787	-	0.000	0.000	Merged-chr10-96599778-54
NR5047--MA0495.2.MAFF	chr16	92059198	92059218	+	0.000	0.000	Merged-chr16-92059027-26
NR379--MA0591.1.Bach1::Mafk	chr1	88584721	88584735	+	0.000	0.000	Merged-chr1-88584728-18
NR8410--MA0496.2.MAFK	chr4	20033152	20033170	+	0.000	0.000	Merged-chr4-20033263-40
NR5613--MA0659.1.MAFG	chr18	10744227	10744247	+	0.000	0.000	Merged-chr18-10744169-16
NR4167--MA0496.2.MAFK	chr15	9535389	9535407	-	0.000	0.000	Merged-chr15-9535427-15
NR12249--MA0089.1.MAFG::NFE2L1	chr9	25186821	25186826	-	0.000	0.000	Merged-chr9-25186654-66
NR10192--MA0591.1.Bach1::Mafk	chr6	72644783	72644797	+	0.000	0.000	Merged-chr6-72644677-18
NR1137--MA0089.1.MAFG::NFE2L1	chr10	6997174	6997179	+	0.000	0.000	Merged-chr10-6997125-11
NR4411--MA0117.2.Mafb	chr15	77969879	77969890	+	0.000	0.000	Merged-chr15-77969939-12
NR8330--MA0495.2.MAFF	chr3	155235650	155235670	+	0.000	0.000	Merged-chr3-155235663-12
NR2218--MA0117.2.Mafb	chr11	100692560	100692571	-	0.000	0.000	Merged-chr11-100692444-17
NR10942--MA0591.1.Bach1::Mafk	chr7	30432015	30432029	+	0.000	0.000	Merged-chr7-30431947-18
NR1578--MA0496.2.MAFK	chr10	96599771	96599789	+	0.000	0.000	Merged-chr10-96599778-54
NR9099--MA0089.1.MAFG::NFE2L1	chr4	149487998	149488003	-	0.000	0.000	Merged-chr4-149487937-22
NR597--MA0495.2.MAFF	chr1	136423389	136423409	+	0.000	0.000	Merged-chr1-136423367-9
NR12403--MA0591.1.Bach1::Mafk	chr9	61668786	61668800	-	0.000	0.000	Merged-chr9-61668916-18
NR3197--MA0089.1.MAFG::NFE2L1	chr13	49270737	49270742	-	0.000	0.000	Merged-chr13-49270675-31
NR5051--MA0496.2.MAFK	chr16	92059199	92059217	-	0.000	0.000	Merged-chr16-92059027-26
NR4884--MA0495.2.MAFF	chr16	57500955	57500975	-	0.000	0.000	Merged-chr16-57500995-13
NR10234--MA0591.1.Bach1::Mafk	chr6	86822864	86822878	-	0.000	0.000	Merged-chr6-86822835-49
NR7112--MA0501.1.MAF::NFE2	chr2	129130472	129130486	+	0.000	0.000	Merged-chr2-129130433-9
NR3590--MA0659.1.MAFG	chr13	113170408	113170428	-	0.000	0.000	Merged-chr13-113170375-49
NR4185--MA0496.2.MAFK	chr15	25884959	25884977	+	0.000	0.000	Merged-chr15-25884835-36
NR10768--MA0089.1.MAFG::NFE2L1	chr6	145257188	145257193	-	0.000	0.000	Merged-chr6-145256997-16
NR5067--MA0089.1.MAFG::NFE2L1	chr16	93746679	93746684	-	0.000	0.000	Merged-chr16-93746709-33
NR2368--MA0089.1.MAFG::NFE2L1	chr11	116620717	116620722	+	0.000	0.000	Merged-chr11-116620758-6
NR7804--MA0501.1.MAF::NFE2	chr3	84046619	84046633	-	0.000	0.000	Merged-chr3-84046424-40
NR12123--MA0659.1.MAFG	chr8	126551246	126551266	-	0.000	0.000	Merged-chr8-126551138-20
NR2240--MA0089.1.MAFG::NFE2L1	chr11	103117277	103117282	-	0.000	0.000	Merged-chr11-103117278-16
NR11559--MA0496.2.MAFK	chr7	140983130	140983148	-	0.000	0.000	Merged-chr7-140983161-18
NR3344--MA0659.1.MAFG	chr13	75844206	75844226	-	0.000	0.000	Merged-chr13-75844274-45
NR6574--MA0089.1.MAFG::NFE2L1	chr2	48322594	48322599	-	0.000	0.000	Merged-chr2-48322438-54
NR1902--MA0089.1.MAFG::NFE2L1	chr11	35537704	35537709	+	0.000	0.000	Merged-chr11-35537638-11
NR11784--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR9488--MA0089.1.MAFG::NFE2L1	chr5	91283218	91283223	+	0.000	0.000	Merged-chr5-91283193-32
NR160--MA0117.2.Mafb	chr1	53852385	53852396	+	0.000	0.000	Merged-chr1-53852404-19
NR5369--MA0089.1.MAFG::NFE2L1	chr17	56898021	56898026	+	0.000	0.000	Merged-chr17-56897869-32
NR8915--MA0591.1.Bach1::Mafk	chr4	129575384	129575398	+	0.000	0.000	Merged-chr4-129575376-54
NR3111--MA0117.2.Mafb	chr13	30603989	30604000	-	0.000	0.000	Merged-chr13-30604057-7
NR8001--MA0659.1.MAFG	chr3	109352529	109352549	-	0.000	0.000	Merged-chr3-109352543-53
NR6166--MA0659.1.MAFG	chr19	32172685	32172705	+	0.000	0.000	Merged-chr19-32172725-56
NR4170--MA0591.1.Bach1::Mafk	chr15	10723728	10723742	+	0.000	0.000	Merged-chr15-10723648-41
NR4447--MA0591.1.Bach1::Mafk	chr15	80582791	80582805	-	0.000	0.000	Merged-chr15-80582931-41
NR2921--MA0117.2.Mafb	chr12	114293077	114293088	+	0.000	0.000	Merged-chr12-114293066-2
NR7615--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR3212--MA0591.1.Bach1::Mafk	chr13	51738921	51738935	+	0.000	0.000	Merged-chr13-51738760-6
NR8587--MA0501.1.MAF::NFE2	chr4	63939427	63939441	+	0.000	0.000	Merged-chr4-63939569-55
NR10622--MA0495.2.MAFF	chr6	134856075	134856095	+	0.000	0.000	Merged-chr6-134856256-11
NR10551--MA0089.1.MAFG::NFE2L1	chr6	127617460	127617465	+	0.000	0.000	Merged-chr6-127617353-34
NR6275--MA0591.1.Bach1::Mafk	chr19	53824995	53825009	+	0.000	0.000	Merged-chr19-53825131-32
NR6485--MA0501.1.MAF::NFE2	chr2	31082803	31082817	+	0.000	0.000	Merged-chr2-31082849-41
NR1365--MA0591.1.Bach1::Mafk	chr10	61648969	61648983	-	0.000	0.000	Merged-chr10-61648794-93
NR12536--MA0089.1.MAFG::NFE2L1	chr9	85328443	85328448	+	0.000	0.000	Merged-chr9-85328371-22
NR7702--MA0089.1.MAFG::NFE2L1	chr3	52396365	52396370	-	0.000	0.000	Merged-chr3-52396424-47
NR12117--MA0495.2.MAFF	chr8	126551246	126551266	+	0.000	0.000	Merged-chr8-126551138-20
NR9187--MA0496.2.MAFK	chr5	8075507	8075525	-	0.000	0.000	Merged-chr5-8075370-38
NR6184--MA0659.1.MAFG	chr19	34244140	34244160	-	0.000	0.000	Merged-chr19-34244130-34
NR9561--MA0659.1.MAFG	chr5	97002395	97002415	+	0.000	0.000	Merged-chr5-97002471-16
NR3813--MA0591.1.Bach1::Mafk	chr14	56888008	56888022	+	0.000	0.000	Merged-chr14-56888086-24
NR1818--MA0117.2.Mafb	chr11	3482427	3482438	+	0.000	0.000	Merged-chr11-3482319-7
NR4338--MA0089.1.MAFG::NFE2L1	chr15	66860963	66860968	-	0.000	0.000	Merged-chr15-66860959-16
NR4448--MA0501.1.MAF::NFE2	chr15	80582788	80582802	-	0.000	0.000	Merged-chr15-80582931-41
NR8733--MA0501.1.MAF::NFE2	chr4	102393740	102393754	-	0.000	0.000	Merged-chr4-102393739-36
NR3484--MA0089.1.MAFG::NFE2L1	chr13	101664126	101664131	-	0.000	0.000	Merged-chr13-101664276-40
NR11904--MA0496.2.MAFK	chr8	94186725	94186743	+	0.000	0.000	Merged-chr8-94186753-31
NR2440--MA0089.1.MAFG::NFE2L1	chr12	3959992	3959997	-	0.000	0.000	Merged-chr12-3960054-48
NR683--MA0591.1.Bach1::Mafk	chr1	151382088	151382102	-	0.000	0.000	Merged-chr1-151382217-13
NR8131--MA0659.1.MAFG	chr3	135528002	135528022	+	0.000	0.000	Merged-chr3-135527896-22
NR12347--MA0117.2.Mafb	chr9	52349313	52349324	+	0.000	0.000	Merged-chr9-52349266-37
NR6535--MA0501.1.MAF::NFE2	chr2	35899194	35899208	-	0.000	0.000	Merged-chr2-35899032-12
NR11493--MA0089.1.MAFG::NFE2L1	chr7	132610494	132610499	-	0.000	0.000	Merged-chr7-132610688-58
NR1386--MA0496.2.MAFK	chr10	67701942	67701960	-	0.000	0.000	Merged-chr10-67701888-9
NR1258--MA0591.1.Bach1::Mafk	chr10	39242121	39242135	-	0.000	0.000	Merged-chr10-39242080-33
NR4763--MA0496.2.MAFK	chr16	35056613	35056631	+	0.000	0.000	Merged-chr16-35056446-15
NR707--MA0659.1.MAFG	chr1	153304719	153304739	-	0.000	0.000	Merged-chr1-153304811-42
NR4149--MA0089.1.MAFG::NFE2L1	chr15	7987572	7987577	+	0.000	0.000	Merged-chr15-7987589-29
NR8644--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR9197--MA0089.1.MAFG::NFE2L1	chr5	10254968	10254973	-	0.000	0.000	Merged-chr5-10254903-14
NR972--MA0501.1.MAF::NFE2	chr1	182543293	182543307	-	0.000	0.000	Merged-chr1-182543382-10
NR4525--MA0089.1.MAFG::NFE2L1	chr15	91735307	91735312	-	0.000	0.000	Merged-chr15-91735411-11
NR5065--MA0496.2.MAFK	chr16	93454463	93454481	-	0.000	0.000	Merged-chr16-93454367-31
NR3295--MA0089.1.MAFG::NFE2L1	chr13	67814191	67814196	-	0.000	0.000	Merged-chr13-67814064-68
NR12390--MA0495.2.MAFF	chr9	61187130	61187150	+	0.000	0.000	Merged-chr9-61187199-16
NR7790--MA0089.1.MAFG::NFE2L1	chr3	78890009	78890014	+	0.000	0.000	Merged-chr3-78890015-28
NR1232--MA0501.1.MAF::NFE2	chr10	28696614	28696628	+	0.000	0.000	Merged-chr10-28696715-18
NR832--MA0117.2.Mafb	chr1	166409889	166409900	-	0.000	0.000	Merged-chr1-166409730-81
NR4193--MA0591.1.Bach1::Mafk	chr15	28189867	28189881	-	0.000	0.000	Merged-chr15-28189896-39
NR1537--MA0591.1.Bach1::Mafk	chr10	93069520	93069534	-	0.000	0.000	Merged-chr10-93069523-27
NR9284--MA0089.1.MAFG::NFE2L1	chr5	23894496	23894501	-	0.000	0.000	Merged-chr5-23894337-39
NR5165--MA0089.1.MAFG::NFE2L1	chr17	8305956	8305961	+	0.000	0.000	Merged-chr17-8305975-23
NR8337--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR12406--MA0591.1.Bach1::Mafk	chr9	61708042	61708056	-	0.000	0.000	Merged-chr9-61708026-57
NR10295--MA0496.2.MAFK	chr6	95712231	95712249	+	0.000	0.000	Merged-chr6-95712332-22
NR2407--MA0591.1.Bach1::Mafk	chr11	120632969	120632983	-	0.000	0.000	Merged-chr11-120632981-1
NR8483--MA0495.2.MAFF	chr4	46411563	46411583	+	0.000	0.000	Merged-chr4-46411765-13
NR5298--MA0496.2.MAFK	chr17	35219832	35219850	-	0.000	0.000	Merged-chr17-35219724-57
NR1991--MA0495.2.MAFF	chr11	60935553	60935573	+	0.000	0.000	Merged-chr11-60935533-50
NR4557--MA0591.1.Bach1::Mafk	chr15	96520621	96520635	-	0.000	0.000	Merged-chr15-96520737-46
NR4343--MA0495.2.MAFF	chr15	67290240	67290260	-	0.000	0.000	Merged-chr15-67290142-69
NR12997--MA0501.1.MAF::NFE2	chrX	152234307	152234321	-	0.000	0.000	Merged-chrX-152234249-6
NR8015--MA0659.1.MAFG	chr3	115728427	115728447	-	0.000	0.000	Merged-chr3-115728482-10
NR2264--MA0089.1.MAFG::NFE2L1	chr11	106255869	106255874	-	0.000	0.000	Merged-chr11-106255994-73
NR6717--MA0117.2.Mafb	chr2	75690901	75690912	+	0.000	0.000	Merged-chr2-75690898-5
NR10716--MA0496.2.MAFK	chr6	142884194	142884212	+	0.000	0.000	Merged-chr6-142884312-23
NR1078--MA0495.2.MAFF	chr1	191499811	191499831	-	0.000	0.000	Merged-chr1-191499977-31
NR10990--MA0591.1.Bach1::Mafk	chr7	45083160	45083174	-	0.000	0.000	Merged-chr7-45083107-80
NR7337--MA0089.1.MAFG::NFE2L1	chr2	156312346	156312351	+	0.000	0.000	Merged-chr2-156312367-99
NR10388--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR1989--MA0591.1.Bach1::Mafk	chr11	60769584	60769598	-	0.000	0.000	Merged-chr11-60769599-13
NR8931--MA0501.1.MAF::NFE2	chr4	132588731	132588745	+	0.000	0.000	Merged-chr4-132588722-17
NR6483--MA0089.1.MAFG::NFE2L1	chr2	31082814	31082819	+	0.000	0.000	Merged-chr2-31082849-41
NR4573--MA0117.2.Mafb	chr15	98631606	98631617	-	0.000	0.000	Merged-chr15-98631640-23
NR2260--MA0591.1.Bach1::Mafk	chr11	104639168	104639182	+	0.000	0.000	Merged-chr11-104639154-13
NR2801--MA0501.1.MAF::NFE2	chr12	102725897	102725911	+	0.000	0.000	Merged-chr12-102725794-51
NR3383--MA0495.2.MAFF	chr13	88833952	88833972	-	0.000	0.000	Merged-chr13-88833857-16
NR867--MA0089.1.MAFG::NFE2L1	chr1	170998284	170998289	+	0.000	0.000	Merged-chr1-170998408-32
NR3708--MA0501.1.MAF::NFE2	chr14	25640555	25640569	+	0.000	0.000	Merged-chr14-25640736-54
NR3217--MA0496.2.MAFK	chr13	51738919	51738937	-	0.000	0.000	Merged-chr13-51738760-6
NR9112--MA0495.2.MAFF	chr4	150894694	150894714	-	0.000	0.000	Merged-chr4-150894695-19
NR6106--MA0501.1.MAF::NFE2	chr19	14668747	14668761	+	0.000	0.000	Merged-chr19-14668781-26
NR3695--MA0501.1.MAF::NFE2	chr14	18301869	18301883	-	0.000	0.000	Merged-chr14-18301823-12
NR1709--MA0591.1.Bach1::Mafk	chr10	118470762	118470776	-	0.000	0.000	Merged-chr10-118470709-40
NR5545--MA0495.2.MAFF	chr17	86850850	86850870	+	0.000	0.000	Merged-chr17-86850931-27
NR1411--MA0117.2.Mafb	chr10	75415018	75415029	+	0.000	0.000	Merged-chr10-75415162-28
NR6219--MA0089.1.MAFG::NFE2L1	chr19	41366698	41366703	-	0.000	0.000	Merged-chr19-41366765-21
NR8040--MA0495.2.MAFF	chr3	121946881	121946901	-	0.000	0.000	Merged-chr3-121946709-4
NR11726--MA0495.2.MAFF	chr8	46654767	46654787	-	0.000	0.000	Merged-chr8-46654782-26
NR6523--MA0495.2.MAFF	chr2	34977065	34977085	+	0.000	0.000	Merged-chr2-34977109-71
NR11301--MA0089.1.MAFG::NFE2L1	chr7	109458499	109458504	-	0.000	0.000	Merged-chr7-109458509-7
NR11902--MA0591.1.Bach1::Mafk	chr8	94186727	94186741	+	0.000	0.000	Merged-chr8-94186753-31
NR7375--MA0496.2.MAFK	chr2	160733322	160733340	+	0.000	0.000	Merged-chr2-160733337-52
NR4307--MA0496.2.MAFK	chr15	62265647	62265665	+	0.000	0.000	Merged-chr15-62265620-25
NR678--MA0089.1.MAFG::NFE2L1	chr1	151083978	151083983	+	0.000	0.000	Merged-chr1-151084034-24
NR599--MA0591.1.Bach1::Mafk	chr1	136423392	136423406	+	0.000	0.000	Merged-chr1-136423367-9
NR9699--MA0089.1.MAFG::NFE2L1	chr5	117922301	117922306	-	0.000	0.000	Merged-chr5-117922248-35
NR5686--MA0501.1.MAF::NFE2	chr18	37883697	37883711	+	0.000	0.000	Merged-chr18-37883685-41
NR3607--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR4439--MA0117.2.Mafb	chr15	80216377	80216388	-	0.000	0.000	Merged-chr15-80216610-25
NR705--MA0591.1.Bach1::Mafk	chr1	153304722	153304736	-	0.000	0.000	Merged-chr1-153304811-42
NR7063--MA0591.1.Bach1::Mafk	chr2	121413861	121413875	+	0.000	0.000	Merged-chr2-121414001-105
NR3593--MA0496.2.MAFK	chr13	113170409	113170427	-	0.000	0.000	Merged-chr13-113170375-49
NR3797--MA0089.1.MAFG::NFE2L1	chr14	53078671	53078676	-	0.000	0.000	Merged-chr14-53078717-37
NR7385--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR89--MA0501.1.MAF::NFE2	chr1	37301088	37301102	-	0.000	0.000	Merged-chr1-37301008-22
NR808--MA0496.2.MAFK	chr1	163383764	163383782	-	0.000	0.000	Merged-chr1-163383772-21
NR12612--MA0501.1.MAF::NFE2	chr9	94993603	94993617	+	0.000	0.000	Merged-chr9-94993790-30
NR2475--MA0591.1.Bach1::Mafk	chr12	13575945	13575959	-	0.000	0.000	Merged-chr12-13576044-20
NR12126--MA0496.2.MAFK	chr8	126551247	126551265	-	0.000	0.000	Merged-chr8-126551138-20
NR6557--MA0591.1.Bach1::Mafk	chr2	44981870	44981884	+	0.000	0.000	Merged-chr2-44981813-26
NR4247--MA0089.1.MAFG::NFE2L1	chr15	53216518	53216523	+	0.000	0.000	Merged-chr15-53216582-40
NR4258--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR11730--MA0496.2.MAFK	chr8	46654768	46654786	-	0.000	0.000	Merged-chr8-46654782-26
NR9641--MA0591.1.Bach1::Mafk	chr5	111195922	111195936	+	0.000	0.000	Merged-chr5-111196079-28
NR7677--MA0501.1.MAF::NFE2	chr3	35764837	35764851	-	0.000	0.000	Merged-chr3-35764985-46
NR3347--MA0496.2.MAFK	chr13	75844207	75844225	-	0.000	0.000	Merged-chr13-75844274-45
NR12173--MA0117.2.Mafb	chr8	128433679	128433690	+	0.000	0.000	Merged-chr8-128433570-8
NR8700--MA0117.2.Mafb	chr4	97859778	97859789	+	0.000	0.000	Merged-chr4-97859556-27
NR6578--MA0501.1.MAF::NFE2	chr2	49417459	49417473	+	0.000	0.000	Merged-chr2-49417373-26
NR6086--MA0591.1.Bach1::Mafk	chr19	9100874	9100888	-	0.000	0.000	Merged-chr19-9100672-23
NR2432--MA0591.1.Bach1::Mafk	chr12	3780693	3780707	+	0.000	0.000	Merged-chr12-3780555-30
NR12840--MA0117.2.Mafb	chrX	7446742	7446753	+	0.000	0.000	Merged-chrX-7446868-4
NR1259--MA0089.1.MAFG::NFE2L1	chr10	39339881	39339886	+	0.000	0.000	Merged-chr10-39339887-44
NR8027--MA0495.2.MAFF	chr3	116440309	116440329	-	0.000	0.000	Merged-chr3-116440390-48
NR9170--MA0591.1.Bach1::Mafk	chr5	5420345	5420359	+	0.000	0.000	Merged-chr5-5420247-39
NR6683--MA0089.1.MAFG::NFE2L1	chr2	68382444	68382449	-	0.000	0.000	Merged-chr2-68382520-132
NR11983--MA0117.2.Mafb	chr8	112005719	112005730	-	0.000	0.000	Merged-chr8-112005618-22
NR7739--MA0089.1.MAFG::NFE2L1	chr3	59260918	59260923	+	0.000	0.000	Merged-chr3-59260932-51
NR6169--MA0496.2.MAFK	chr19	32172686	32172704	+	0.000	0.000	Merged-chr19-32172725-56
NR7662--MA0501.1.MAF::NFE2	chr3	28236955	28236969	+	0.000	0.000	Merged-chr3-28236857-20
NR10426--MA0495.2.MAFF	chr6	115594717	115594737	-	0.000	0.000	Merged-chr6-115594731-47
NR3505--MA0089.1.MAFG::NFE2L1	chr13	103412676	103412681	-	0.000	0.000	Merged-chr13-103412841-15
NR7147--MA0496.2.MAFK	chr2	131820211	131820229	-	0.000	0.000	Merged-chr2-131820410-33
NR1231--MA0089.1.MAFG::NFE2L1	chr10	28696618	28696623	-	0.000	0.000	Merged-chr10-28696715-18
NR12064--MA0495.2.MAFF	chr8	122299743	122299763	-	0.000	0.000	Merged-chr8-122299759-10
NR9771--MA0591.1.Bach1::Mafk	chr5	130036601	130036615	-	0.000	0.000	Merged-chr5-130036542-21
NR600--MA0591.1.Bach1::Mafk	chr1	136423392	136423406	-	0.000	0.000	Merged-chr1-136423367-9
NR4145--MA0089.1.MAFG::NFE2L1	chr15	5263175	5263180	-	0.000	0.000	Merged-chr15-5263232-16
NR3238--MA0591.1.Bach1::Mafk	chr13	52915692	52915706	-	0.000	0.000	Merged-chr13-52915528-4
NR5885--MA0496.2.MAFK	chr18	67443152	67443170	+	0.000	0.000	Merged-chr18-67443121-15
NR8927--MA0495.2.MAFF	chr4	130902719	130902739	-	0.000	0.000	Merged-chr4-130902724-33
NR4478--MA0495.2.MAFF	chr15	83149651	83149671	-	0.000	0.000	Merged-chr15-83149470-115
NR6291--MA0501.1.MAF::NFE2	chr19	55773304	55773318	+	0.000	0.000	Merged-chr19-55773145-3
NR13008--MA0117.2.Mafb	chrX	159693420	159693431	+	0.000	0.000	Merged-chrX-159693250-17
NR9564--MA0496.2.MAFK	chr5	97002396	97002414	-	0.000	0.000	Merged-chr5-97002471-16
