#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR8351--MA0002.2.RUNX1	chr6	129312584	129312594	-	0.000	0.000	Merged-chr6-129312714-15
NR9876--MA0684.1.RUNX3	chr9	96583332	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR951--MA0511.2.RUNX2	chr10	23812342	23812350	+	0.000	0.000	Merged-chr10-23812313-29
NR7--MA0684.1.RUNX3	chr1	6519342	6519351	+	0.000	0.000	Merged-chr1-6519375-11
NR5645--MA0684.1.RUNX3	chr2	129816122	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR9684--MA0511.2.RUNX2	chr9	59959390	59959398	-	0.000	0.000	Merged-chr9-59959525-42
NR918--MA0002.2.RUNX1	chr10	18743891	18743901	+	0.000	0.000	Merged-chr10-18743767-30
NR4372--MA0002.2.RUNX1	chr17	65541199	65541209	-	0.000	0.000	Merged-chr17-65540988-64
NR3297--MA0511.2.RUNX2	chr14	116210532	116210540	+	0.000	0.000	Merged-chr14-116210530-30
NR9270--MA0511.2.RUNX2	chr8	69749745	69749753	+	0.000	0.000	Merged-chr8-69749904-57
NR3198--MA0002.2.RUNX1	chr14	78458864	78458874	-	0.000	0.000	Merged-chr14-78458975-97
NR7434--MA0684.1.RUNX3	chr5	74126466	74126475	+	0.000	0.000	Merged-chr5-74126578-67
NR9508--MA0002.2.RUNX1	chr8	128572371	128572381	+	0.000	0.000	Merged-chr8-128572314-34
NR7286--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR5278--MA0684.1.RUNX3	chr2	30897091	30897100	+	0.000	0.000	Merged-chr2-30897276-26
NR7557--MA0002.2.RUNX1	chr5	105614829	105614839	+	0.000	0.000	Merged-chr5-105614954-45
NR3598--MA0684.1.RUNX3	chr15	82111958	82111967	-	0.000	0.000	Merged-chr15-82112003-17
NR3203--MA0684.1.RUNX3	chr14	78692183	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR3326--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR8112--MA0002.2.RUNX1	chr6	91061193	91061203	+	0.000	0.000	Merged-chr6-91061386-8
NR6161--MA0002.2.RUNX1	chr3	88775107	88775117	+	0.000	0.000	Merged-chr3-88775263-42
NR4900--MA0684.1.RUNX3	chr19	5257355	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR6432--MA0002.2.RUNX1	chr3	136688185	136688195	+	0.000	0.000	Merged-chr3-136688298-63
NR4481--MA0002.2.RUNX1	chr17	86880725	86880735	-	0.000	0.000	Merged-chr17-86880662-37
NR3677--MA0511.2.RUNX2	chr15	94566008	94566016	+	0.000	0.000	Merged-chr15-94566031-29
NR3948--MA0511.2.RUNX2	chr16	58694218	58694226	-	0.000	0.000	Merged-chr16-58694307-32
NR4547--MA0002.2.RUNX1	chr18	14669384	14669394	-	0.000	0.000	Merged-chr18-14669573-8
NR7494--MA0511.2.RUNX2	chr5	96171826	96171834	-	0.000	0.000	Merged-chr5-96171884-25
NR92--MA0511.2.RUNX2	chr1	37473509	37473517	+	0.000	0.000	Merged-chr1-37473461-33
NR9889--MA0684.1.RUNX3	chr9	98616576	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR6955--MA0002.2.RUNX1	chr4	109471172	109471182	-	0.000	0.000	Merged-chr4-109471151-19
NR1027--MA0002.2.RUNX1	chr10	44429430	44429440	-	0.000	0.000	Merged-chr10-44429593-53
NR7338--MA0684.1.RUNX3	chr5	37083406	37083415	+	0.000	0.000	Merged-chr5-37083387-28
NR4799--MA0002.2.RUNX1	chr18	75377612	75377622	-	0.000	0.000	Merged-chr18-75377712-65
NR2582--MA0684.1.RUNX3	chr13	45850791	45850800	-	0.000	0.000	Merged-chr13-45850664-56
NR821--MA0511.2.RUNX2	chr1	191480308	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR2310--MA0002.2.RUNX1	chr12	107962043	107962053	+	0.000	0.000	Merged-chr12-107961927-37
NR7047--MA0002.2.RUNX1	chr4	133159235	133159245	-	0.000	0.000	Merged-chr4-133159149-54
NR5039--MA0684.1.RUNX3	chr19	41328933	41328942	+	0.000	0.000	Merged-chr19-41328970-48
NR451--MA0002.2.RUNX1	chr1	128614921	128614931	+	0.000	0.000	Merged-chr1-128615083-92
NR5118--MA0511.2.RUNX2	chr19	57119827	57119835	+	0.000	0.000	Merged-chr19-57119872-11
NR9206--MA0511.2.RUNX2	chr8	35628487	35628495	-	0.000	0.000	Merged-chr8-35628375-52
NR974--MA0002.2.RUNX1	chr10	28695298	28695308	+	0.000	0.000	Merged-chr10-28695198-52
NR9584--MA0684.1.RUNX3	chr9	37576668	37576677	+	0.000	0.000	Merged-chr9-37576736-24
