#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR9165--MA0002.2.RUNX1	chr9	70524445	70524455	+	0.000	0.000	Merged-chr9-70524539-1
NR7904--MA0684.1.RUNX3	chr6	128007301	128007310	+	0.000	0.000	Merged-chr6-128007455-5
NR684--MA0002.2.RUNX1	chr1	175602475	175602485	-	0.000	0.000	Merged-chr1-175602466-27
NR3654--MA0684.1.RUNX3	chr16	22461877	22461886	-	0.000	0.000	Merged-chr16-22461951-26
NR9422--MA0684.1.RUNX3	chrX	11647196	11647205	+	0.000	0.000	Merged-chrX-11647127-35
NR7537--MA0684.1.RUNX3	chr6	38848074	38848083	-	0.000	0.000	Merged-chr6-38848269-41
NR7594--MA0002.2.RUNX1	chr6	50596767	50596777	+	0.000	0.000	Merged-chr6-50596805-84
NR9501--MA0511.2.RUNX2	chrX	77580137	77580145	-	0.000	0.000	Merged-chrX-77580117-37
NR8420--MA0002.2.RUNX1	chr7	117433803	117433813	-	0.000	0.000	Merged-chr7-117433722-72
NR1749--MA0002.2.RUNX1	chr11	118232694	118232704	-	0.000	0.000	Merged-chr11-118232579-51
NR9402--MA0002.2.RUNX1	chr9	121642794	121642804	-	0.000	0.000	Merged-chr9-121642625-86
NR3492--MA0684.1.RUNX3	chr15	80572481	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR7517--MA0002.2.RUNX1	chr6	34476053	34476063	-	0.000	0.000	Merged-chr6-34476190-64
NR3763--MA0684.1.RUNX3	chr16	49818780	49818789	+	0.000	0.000	Merged-chr16-49818889-55
NR8943--MA0002.2.RUNX1	chr8	127815059	127815069	-	0.000	0.000	Merged-chr8-127815081-25
NR1335--MA0002.2.RUNX1	chr10	128991149	128991159	+	0.000	0.000	Merged-chr10-128991197-23
NR4170--MA0002.2.RUNX1	chr17	34210705	34210715	+	0.000	0.000	Merged-chr17-34210763-36
NR3637--MA0511.2.RUNX2	chr16	17619473	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR5300--MA0684.1.RUNX3	chr2	112510301	112510310	-	0.000	0.000	Merged-chr2-112510265-49
NR5423--MA0002.2.RUNX1	chr2	144224564	144224574	+	0.000	0.000	Merged-chr2-144224483-67
NR1735--MA0684.1.RUNX3	chr11	117872035	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR697--MA0002.2.RUNX1	chr1	177532840	177532850	-	0.000	0.000	Merged-chr1-177532869-13
NR3538--MA0002.2.RUNX1	chr15	93563705	93563715	-	0.000	0.000	Merged-chr15-93563752-30
NR7232--MA0684.1.RUNX3	chr5	106677005	106677014	+	0.000	0.000	Merged-chr5-106676986-37
NR5281--MA0684.1.RUNX3	chr2	104177463	104177472	-	0.000	0.000	Merged-chr2-104177493-61
NR4964--MA0002.2.RUNX1	chr2	21222924	21222934	-	0.000	0.000	Merged-chr2-21222970-39
NR5347--MA0684.1.RUNX3	chr2	128153203	128153212	-	0.000	0.000	Merged-chr2-128153146-97
NR1444--MA0002.2.RUNX1	chr11	30182877	30182887	+	0.000	0.000	Merged-chr11-30182963-54
NR9558--MA0002.2.RUNX1	chrX	140505997	140506007	+	0.000	0.000	Merged-chrX-140506133-71
NR7834--MA0511.2.RUNX2	chr6	114899130	114899138	-	0.000	0.000	Merged-chr6-114899119-6
NR1368--MA0684.1.RUNX3	chr11	8663613	8663622	-	0.000	0.000	Merged-chr11-8663603-1
NR3647--MA0002.2.RUNX1	chr16	21689352	21689362	-	0.000	0.000	Merged-chr16-21689391-19
NR1696--MA0002.2.RUNX1	chr11	108223122	108223132	+	0.000	0.000	Merged-chr11-108223138-56
NR3332--MA0511.2.RUNX2	chr15	41846676	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR7193--MA0002.2.RUNX1	chr5	98016941	98016951	-	0.000	0.000	Merged-chr5-98016849-63
NR5456--MA0684.1.RUNX3	chr2	150307354	150307363	+	0.000	0.000	Merged-chr2-150307166-50
NR540--MA0684.1.RUNX3	chr1	144355777	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR1348--MA0002.2.RUNX1	chr11	3298594	3298604	+	0.000	0.000	Merged-chr11-3298569-4
NR4725--MA0002.2.RUNX1	chr18	84851321	84851331	+	0.000	0.000	Merged-chr18-84851440-69
NR7196--MA0511.2.RUNX2	chr5	100585346	100585354	+	0.000	0.000	Merged-chr5-100585262-59
NR8813--MA0002.2.RUNX1	chr8	105937981	105937991	+	0.000	0.000	Merged-chr8-105937865-86
NR5121--MA0511.2.RUNX2	chr2	58282830	58282838	+	0.000	0.000	Merged-chr2-58282647-50
NR7516--MA0684.1.RUNX3	chr6	34277855	34277864	+	0.000	0.000	Merged-chr6-34277890-22
NR5688--MA0002.2.RUNX1	chr3	31061400	31061410	+	0.000	0.000	Merged-chr3-31061473-66
NR7324--MA0511.2.RUNX2	chr5	130139569	130139577	-	0.000	0.000	Merged-chr5-130139526-15
NR9382--MA0684.1.RUNX3	chr9	116369243	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR3964--MA0511.2.RUNX2	chr16	95985000	95985008	-	0.000	0.000	Merged-chr16-95985074-35
NR1208--MA0511.2.RUNX2	chr10	96609528	96609536	+	0.000	0.000	Merged-chr10-96609713-52
NR5545--MA0002.2.RUNX1	chr2	172390742	172390752	+	0.000	0.000	Merged-chr2-172390550-32
NR900--MA0002.2.RUNX1	chr10	18917547	18917557	-	0.000	0.000	Merged-chr10-18917466-61
NR1857--MA0684.1.RUNX3	chr12	26057915	26057924	+	0.000	0.000	Merged-chr12-26057851-43
NR8922--MA0002.2.RUNX1	chr8	124242428	124242438	+	0.000	0.000	Merged-chr8-124242348-54
NR9157--MA0002.2.RUNX1	chr9	70012575	70012585	+	0.000	0.000	Merged-chr9-70012774-59
NR31--MA0511.2.RUNX2	chr1	10325539	10325547	+	0.000	0.000	Merged-chr1-10325689-27
NR9014--MA0002.2.RUNX1	chr9	22366959	22366969	+	0.000	0.000	Merged-chr9-22366928-17
NR5326--MA0684.1.RUNX3	chr2	118700448	118700457	+	0.000	0.000	Merged-chr2-118700490-41
NR7605--MA0002.2.RUNX1	chr6	54737935	54737945	-	0.000	0.000	Merged-chr6-54737770-65
NR410--MA0684.1.RUNX3	chr1	105435211	105435220	-	0.000	0.000	Merged-chr1-105435161-34
NR9365--MA0511.2.RUNX2	chr9	115387674	115387682	-	0.000	0.000	Merged-chr9-115387656-46
NR1695--MA0684.1.RUNX3	chr11	106961728	106961737	+	0.000	0.000	Merged-chr11-106961822-47
NR533--MA0002.2.RUNX1	chr1	144086318	144086328	+	0.000	0.000	Merged-chr1-144086303-34
NR7192--MA0684.1.RUNX3	chr5	97983545	97983554	-	0.000	0.000	Merged-chr5-97983447-49
NR4800--MA0002.2.RUNX1	chr19	21623557	21623567	+	0.000	0.000	Merged-chr19-21623609-22
NR7258--MA0684.1.RUNX3	chr5	112220447	112220456	+	0.000	0.000	Merged-chr5-112220290-48
NR7857--MA0002.2.RUNX1	chr6	120081901	120081911	+	0.000	0.000	Merged-chr6-120081758-25
NR4880--MA0511.2.RUNX2	chr2	3810495	3810503	-	0.000	0.000	Merged-chr2-3810542-48
NR3027--MA0684.1.RUNX3	chr14	74949176	74949185	-	0.000	0.000	Merged-chr14-74949035-55
NR1076--MA0684.1.RUNX3	chr10	68147063	68147072	+	0.000	0.000	Merged-chr10-68147068-31
NR9395--MA0684.1.RUNX3	chr9	119744241	119744250	-	0.000	0.000	Merged-chr9-119744132-67
NR9474--MA0511.2.RUNX2	chrX	57196488	57196496	-	0.000	0.000	Merged-chrX-57196423-53
NR3007--MA0002.2.RUNX1	chr14	69979173	69979183	+	0.000	0.000	Merged-chr14-69979172-46
NR9375--MA0002.2.RUNX1	chr9	116329392	116329402	+	0.000	0.000	Merged-chr9-116329317-45
NR4704--MA0002.2.RUNX1	chr18	81572268	81572278	-	0.000	0.000	Merged-chr18-81572136-24
NR9602--MA0511.2.RUNX2	chrX	163908938	163908946	-	0.000	0.000	Merged-chrX-163909067-73
NR9126--MA0511.2.RUNX2	chr9	58280708	58280716	-	0.000	0.000	Merged-chr9-58280700-28
NR8521--MA0002.2.RUNX1	chr7	144907413	144907423	-	0.000	0.000	Merged-chr7-144907286-56
NR6841--MA0002.2.RUNX1	chr5	3887153	3887163	-	0.000	0.000	Merged-chr5-3887091-30
NR2882--MA0684.1.RUNX3	chr14	27405576	27405585	-	0.000	0.000	Merged-chr14-27405576-56
NR8650--MA0684.1.RUNX3	chr8	35628486	35628495	-	0.000	0.000	Merged-chr8-35628375-52
NR2690--MA0511.2.RUNX2	chr13	109190440	109190448	-	0.000	0.000	Merged-chr13-109190361-18
NR9235--MA0511.2.RUNX2	chr9	85671752	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR7826--MA0511.2.RUNX2	chr6	113681492	113681500	-	0.000	0.000	Merged-chr6-113681431-40
NR9013--MA0684.1.RUNX3	chr9	22155686	22155695	-	0.000	0.000	Merged-chr9-22155812-33
NR7128--MA0684.1.RUNX3	chr5	86099192	86099201	-	0.000	0.000	Merged-chr5-86099128-10
NR1439--MA0511.2.RUNX2	chr11	30166353	30166361	+	0.000	0.000	Merged-chr11-30166468-16
NR10--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR6997--MA0002.2.RUNX1	chr5	43837607	43837617	+	0.000	0.000	Merged-chr5-43837616-20
NR2971--MA0002.2.RUNX1	chr14	60072651	60072661	-	0.000	0.000	Merged-chr14-60072713-24
NR7108--MA0002.2.RUNX1	chr5	77096146	77096156	+	0.000	0.000	Merged-chr5-77096159-4
NR3625--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR7393--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR3477--MA0002.2.RUNX1	chr15	78516016	78516026	-	0.000	0.000	Merged-chr15-78515914-15
NR3704--MA0511.2.RUNX2	chr16	35741829	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR7089--MA0002.2.RUNX1	chr5	72163158	72163168	-	0.000	0.000	Merged-chr5-72163190-22
NR493--MA0002.2.RUNX1	chr1	133695096	133695106	-	0.000	0.000	Merged-chr1-133694971-54
NR5365--MA0511.2.RUNX2	chr2	132643379	132643387	-	0.000	0.000	Merged-chr2-132643452-47
NR6711--MA0002.2.RUNX1	chr4	134041640	134041650	-	0.000	0.000	Merged-chr4-134041766-28
NR4760--MA0002.2.RUNX1	chr19	8519118	8519128	-	0.000	0.000	Merged-chr19-8519085-2
NR9497--MA0002.2.RUNX1	chrX	74393182	74393192	-	0.000	0.000	Merged-chrX-74393226-50
NR5143--MA0684.1.RUNX3	chr2	60774692	60774701	+	0.000	0.000	Merged-chr2-60774747-55
NR4826--MA0002.2.RUNX1	chr19	34306975	34306985	-	0.000	0.000	Merged-chr19-34306924-50
NR621--MA0002.2.RUNX1	chr1	164966197	164966207	-	0.000	0.000	Merged-chr1-164966286-53
NR416--MA0002.2.RUNX1	chr1	106152016	106152026	+	0.000	0.000	Merged-chr1-106152101-46
NR1306--MA0002.2.RUNX1	chr10	121189337	121189347	-	0.000	0.000	Merged-chr10-121189304-59
NR9149--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR1657--MA0511.2.RUNX2	chr11	97728537	97728545	+	0.000	0.000	Merged-chr11-97728662-57
NR3115--MA0684.1.RUNX3	chr14	105272269	105272278	+	0.000	0.000	Merged-chr14-105272291-16
NR7154--MA0511.2.RUNX2	chr5	92166182	92166190	-	0.000	0.000	Merged-chr5-92166159-12
NR397--MA0002.2.RUNX1	chr1	95674257	95674267	+	0.000	0.000	Merged-chr1-95674241-20
NR8500--MA0002.2.RUNX1	chr7	140195062	140195072	+	0.000	0.000	Merged-chr7-140195109-1
NR1558--MA0002.2.RUNX1	chr11	70594816	70594826	+	0.000	0.000	Merged-chr11-70594778-39
NR2861--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR4393--MA0002.2.RUNX1	chr17	88256245	88256255	-	0.000	0.000	Merged-chr17-88256193-58
NR7203--MA0684.1.RUNX3	chr5	100916620	100916629	+	0.000	0.000	Merged-chr5-100916697-39
NR8851--MA0511.2.RUNX2	chr8	111821359	111821367	+	0.000	0.000	Merged-chr8-111821367-66
NR9006--MA0002.2.RUNX1	chr9	21288150	21288160	-	0.000	0.000	Merged-chr9-21288037-93
NR3638--MA0684.1.RUNX3	chr16	17619472	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR1144--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR5997--MA0511.2.RUNX2	chr3	104466710	104466718	+	0.000	0.000	Merged-chr3-104466607-13
NR9406--MA0684.1.RUNX3	chr9	123498109	123498118	-	0.000	0.000	Merged-chr9-123498117-30
NR7726--MA0684.1.RUNX3	chr6	86850880	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR9529--MA0002.2.RUNX1	chrX	101128786	101128796	-	0.000	0.000	Merged-chrX-101128722-47
NR1544--MA0684.1.RUNX3	chr11	58978065	58978074	-	0.000	0.000	Merged-chr11-58978003-101
NR7805--MA0511.2.RUNX2	chr6	108535571	108535579	-	0.000	0.000	Merged-chr6-108535473-34
NR3618--MA0002.2.RUNX1	chr16	13409816	13409826	-	0.000	0.000	Merged-chr16-13409957-27
NR4921--MA0684.1.RUNX3	chr2	13573900	13573909	+	0.000	0.000	Merged-chr2-13573939-7
NR9466--MA0511.2.RUNX2	chrX	52760335	52760343	+	0.000	0.000	Merged-chrX-52760494-47
NR9244--MA0684.1.RUNX3	chr9	86624320	86624329	-	0.000	0.000	Merged-chr9-86624608-86
NR5235--MA0511.2.RUNX2	chr2	84827250	84827258	-	0.000	0.000	Merged-chr2-84827189-69
NR7293--MA0684.1.RUNX3	chr5	120577171	120577180	+	0.000	0.000	Merged-chr5-120577035-13
NR4901--MA0002.2.RUNX1	chr2	9871365	9871375	+	0.000	0.000	Merged-chr2-9871528-52
NR7359--MA0684.1.RUNX3	chr5	140567499	140567508	-	0.000	0.000	Merged-chr5-140567603-46
NR2745--MA0002.2.RUNX1	chr13	119463426	119463436	+	0.000	0.000	Merged-chr13-119463403-2
NR763--MA0684.1.RUNX3	chr1	189795638	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR8242--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR8513--MA0002.2.RUNX1	chr7	143005586	143005596	-	0.000	0.000	Merged-chr7-143005288-104
NR6562--MA0002.2.RUNX1	chr4	84977505	84977515	+	0.000	0.000	Merged-chr4-84977391-25
NR571--MA0511.2.RUNX2	chr1	150396149	150396157	+	0.000	0.000	Merged-chr1-150396130-66
NR2874--MA0684.1.RUNX3	chr14	25609501	25609510	+	0.000	0.000	Merged-chr14-25609615-15
NR4948--MA0002.2.RUNX1	chr2	18821743	18821753	+	0.000	0.000	Merged-chr2-18821841-56
NR5536--MA0684.1.RUNX3	chr2	170219240	170219249	+	0.000	0.000	Merged-chr2-170219301-96
NR2997--MA0002.2.RUNX1	chr14	66843192	66843202	-	0.000	0.000	Merged-chr14-66843142-3
NR2602--MA0002.2.RUNX1	chr13	96995393	96995403	-	0.000	0.000	Merged-chr13-96995429-17
NR472--MA0002.2.RUNX1	chr1	127830381	127830391	-	0.000	0.000	Merged-chr1-127830460-48
NR5122--MA0684.1.RUNX3	chr2	58282830	58282839	+	0.000	0.000	Merged-chr2-58282647-50
NR2854--MA0002.2.RUNX1	chr14	20503206	20503216	-	0.000	0.000	Merged-chr14-20503247-33
NR995--MA0002.2.RUNX1	chr10	41527300	41527310	+	0.000	0.000	Merged-chr10-41527362-17
NR7276--MA0511.2.RUNX2	chr5	118082072	118082080	-	0.000	0.000	Merged-chr5-118082270-75
NR1014--MA0002.2.RUNX1	chr10	53348547	53348557	+	0.000	0.000	Merged-chr10-53348557-41
NR4991--MA0002.2.RUNX1	chr2	26902994	26903004	-	0.000	0.000	Merged-chr2-26902897-56
NR4120--MA0002.2.RUNX1	chr17	22353017	22353027	+	0.000	0.000	Merged-chr17-22353026-21
NR2506--MA0002.2.RUNX1	chr13	74854487	74854497	-	0.000	0.000	Merged-chr13-74854551-37
NR581--MA0002.2.RUNX1	chr1	153480848	153480858	-	0.000	0.000	Merged-chr1-153480680-38
NR9462--MA0684.1.RUNX3	chrX	48713031	48713040	-	0.000	0.000	Merged-chrX-48713049-46
NR5248--MA0511.2.RUNX2	chr2	91042847	91042855	+	0.000	0.000	Merged-chr2-91042928-59
NR1888--MA0511.2.RUNX2	chr12	36019763	36019771	-	0.000	0.000	Merged-chr12-36019766-41
NR5149--MA0002.2.RUNX1	chr2	61514183	61514193	+	0.000	0.000	Merged-chr2-61514287-58
NR3198--MA0002.2.RUNX1	chr14	122012007	122012017	-	0.000	0.000	Merged-chr14-122012077-50
NR4500--MA0002.2.RUNX1	chr18	39009101	39009111	-	0.000	0.000	Merged-chr18-39009323-57
NR3425--MA0511.2.RUNX2	chr15	67130174	67130182	+	0.000	0.000	Merged-chr15-67130106-32
NR1047--MA0684.1.RUNX3	chr10	60370955	60370964	-	0.000	0.000	Merged-chr10-60370964-39
NR4900--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR5258--MA0002.2.RUNX1	chr2	93823797	93823807	-	0.000	0.000	Merged-chr2-93823719-41
NR8840--MA0002.2.RUNX1	chr8	109595866	109595876	+	0.000	0.000	Merged-chr8-109596037-26
NR693--MA0511.2.RUNX2	chr1	176845711	176845719	-	0.000	0.000	Merged-chr1-176845739-2
NR9075--MA0002.2.RUNX1	chr9	43984812	43984822	-	0.000	0.000	Merged-chr9-43984840-13
NR9346--MA0002.2.RUNX1	chr9	109052710	109052720	-	0.000	0.000	Merged-chr9-109052792-36
NR4133--MA0002.2.RUNX1	chr17	25584077	25584087	+	0.000	0.000	Merged-chr17-25583989-33
NR5658--MA0684.1.RUNX3	chr3	22151260	22151269	+	0.000	0.000	Merged-chr3-22151308-21
NR2724--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR7351--MA0511.2.RUNX2	chr5	139303758	139303766	+	0.000	0.000	Merged-chr5-139303910-62
NR1427--MA0684.1.RUNX3	chr11	23818891	23818900	-	0.000	0.000	Merged-chr11-23819028-15
NR8887--MA0002.2.RUNX1	chr8	117776355	117776365	+	0.000	0.000	Merged-chr8-117776265-26
NR9598--MA0002.2.RUNX1	chrX	162868555	162868565	-	0.000	0.000	Merged-chrX-162868446-21
NR7398--MA0511.2.RUNX2	chr5	149255708	149255716	-	0.000	0.000	Merged-chr5-149255735-4
NR6793--MA0002.2.RUNX1	chr4	148102320	148102330	+	0.000	0.000	Merged-chr4-148102321-24
NR8873--MA0684.1.RUNX3	chr8	116600002	116600011	-	0.000	0.000	Merged-chr8-116599891-26
NR9379--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR1615--MA0511.2.RUNX2	chr11	84829171	84829179	+	0.000	0.000	Merged-chr11-84829158-56
NR1788--MA0684.1.RUNX3	chr12	3755620	3755629	-	0.000	0.000	Merged-chr12-3755769-11
NR4080--MA0002.2.RUNX1	chr17	18458391	18458401	-	0.000	0.000	Merged-chr17-18458447-27
NR4622--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR9359--MA0002.2.RUNX1	chr9	114440787	114440797	+	0.000	0.000	Merged-chr9-114440811-53
NR2671--MA0002.2.RUNX1	chr13	108303579	108303589	+	0.000	0.000	Merged-chr13-108303499-73
NR1867--MA0511.2.RUNX2	chr12	32009541	32009549	-	0.000	0.000	Merged-chr12-32009552-2
NR6924--MA0511.2.RUNX2	chr5	23387127	23387135	+	0.000	0.000	Merged-chr5-23387051-61
NR212--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR4874--MA0002.2.RUNX1	chr19	58238493	58238503	+	0.000	0.000	Merged-chr19-58238492-37
NR2989--MA0002.2.RUNX1	chr14	64884970	64884980	+	0.000	0.000	Merged-chr14-64885056-34
NR2674--MA0511.2.RUNX2	chr13	108667266	108667274	-	0.000	0.000	Merged-chr13-108667281-5
NR420--MA0511.2.RUNX2	chr1	106612882	106612890	+	0.000	0.000	Merged-chr1-106612861-63
NR3163--MA0684.1.RUNX3	chr14	118658446	118658455	+	0.000	0.000	Merged-chr14-118658326-68
NR7268--MA0511.2.RUNX2	chr5	114826496	114826504	+	0.000	0.000	Merged-chr5-114826460-42
NR3242--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR2975--MA0684.1.RUNX3	chr14	60712417	60712426	+	0.000	0.000	Merged-chr14-60712353-74
NR4112--MA0002.2.RUNX1	chr17	21477929	21477939	+	0.000	0.000	Merged-chr17-21477863-62
NR1135--MA0684.1.RUNX3	chr10	82900281	82900290	+	0.000	0.000	Merged-chr10-82900186-58
NR5716--MA0511.2.RUNX2	chr3	37978662	37978670	-	0.000	0.000	Merged-chr3-37978790-50
NR7026--MA0002.2.RUNX1	chr5	53355323	53355333	+	0.000	0.000	Merged-chr5-53355267-30
NR2336--MA0002.2.RUNX1	chr13	24617868	24617878	+	0.000	0.000	Merged-chr13-24617853-51
NR1039--MA0684.1.RUNX3	chr10	57799672	57799681	+	0.000	0.000	Merged-chr10-57799667-19
NR5349--MA0511.2.RUNX2	chr2	129180169	129180177	-	0.000	0.000	Merged-chr2-129180074-1
NR162--MA0511.2.RUNX2	chr1	52019869	52019877	-	0.000	0.000	Merged-chr1-52019898-50
NR2588--MA0002.2.RUNX1	chr13	95517998	95518008	-	0.000	0.000	Merged-chr13-95518086-22
NR3718--MA0684.1.RUNX3	chr16	36588197	36588206	+	0.000	0.000	Merged-chr16-36588182-35
NR8290--MA0002.2.RUNX1	chr7	74599961	74599971	+	0.000	0.000	Merged-chr7-74599992-6
NR605--MA0002.2.RUNX1	chr1	161794746	161794756	+	0.000	0.000	Merged-chr1-161794797-65
NR4330--MA0002.2.RUNX1	chr17	71598817	71598827	+	0.000	0.000	Merged-chr17-71598732-66
NR2174--MA0002.2.RUNX1	chr12	114804630	114804640	-	0.000	0.000	Merged-chr12-114804708-39
NR3699--MA0684.1.RUNX3	chr16	32430851	32430860	-	0.000	0.000	Merged-chr16-32431022-65
NR1148--MA0684.1.RUNX3	chr10	85035480	85035489	-	0.000	0.000	Merged-chr10-85035484-19
NR8879--MA0002.2.RUNX1	chr8	116689973	116689983	-	0.000	0.000	Merged-chr8-116689955-52
NR6804--MA0002.2.RUNX1	chr4	150269827	150269837	-	0.000	0.000	Merged-chr4-150269601-64
NR3556--MA0684.1.RUNX3	chr15	97455694	97455703	-	0.000	0.000	Merged-chr15-97455795-23
NR6933--MA0684.1.RUNX3	chr5	23637511	23637520	+	0.000	0.000	Merged-chr5-23637519-38
NR4982--MA0684.1.RUNX3	chr2	25426798	25426807	-	0.000	0.000	Merged-chr2-25426860-48
NR3093--MA0511.2.RUNX2	chr14	101842696	101842704	+	0.000	0.000	Merged-chr14-101842574-67
NR6741--MA0511.2.RUNX2	chr4	138257420	138257428	+	0.000	0.000	Merged-chr4-138257384-22
NR8322--MA0002.2.RUNX1	chr7	80647630	80647640	+	0.000	0.000	Merged-chr7-80647614-48
NR1528--MA0684.1.RUNX3	chr11	54105211	54105220	-	0.000	0.000	Merged-chr11-54105258-8
NR6642--MA0002.2.RUNX1	chr4	107210429	107210439	-	0.000	0.000	Merged-chr4-107210545-62
NR6708--MA0002.2.RUNX1	chr4	133873110	133873120	+	0.000	0.000	Merged-chr4-133873054-46
NR8944--MA0511.2.RUNX2	chr8	127968156	127968164	+	0.000	0.000	Merged-chr8-127968270-33
NR2140--MA0002.2.RUNX1	chr12	102653020	102653030	-	0.000	0.000	Merged-chr12-102653179-3
NR1607--MA0511.2.RUNX2	chr11	82183452	82183460	-	0.000	0.000	Merged-chr11-82183511-55
NR1114--MA0684.1.RUNX3	chr10	77627623	77627632	-	0.000	0.000	Merged-chr10-77627731-24
NR8845--MA0002.2.RUNX1	chr8	110988278	110988288	+	0.000	0.000	Merged-chr8-110988305-13
NR618--MA0002.2.RUNX1	chr1	164960257	164960267	+	0.000	0.000	Merged-chr1-164960365-86
NR1952--MA0002.2.RUNX1	chr12	52824993	52825003	+	0.000	0.000	Merged-chr12-52824887-17
NR7277--MA0684.1.RUNX3	chr5	118082071	118082080	-	0.000	0.000	Merged-chr5-118082270-75
NR2392--MA0002.2.RUNX1	chr13	42049066	42049076	-	0.000	0.000	Merged-chr13-42049130-34
NR6850--MA0511.2.RUNX2	chr5	5559449	5559457	+	0.000	0.000	Merged-chr5-5559516-60
