#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1977--MA0508.2.PRDM1	chr4	131860988	131860997	-	0.000	0.000	Merged-chr4-131861030-31
NR1292--MA0508.2.PRDM1	chr18	56569349	56569358	+	0.000	0.000	Merged-chr18-56569336-1
NR1672--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR2449--MA0508.2.PRDM1	chr7	105356329	105356338	-	0.000	0.000	Merged-chr7-105356441-22
NR176--MA0508.2.PRDM1	chr1	160060802	160060811	+	0.000	0.000	Merged-chr1-160060816-2
NR1032--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR2014--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR1154--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR1709--MA0508.2.PRDM1	chr3	84581801	84581810	-	0.000	0.000	Merged-chr3-84581913-3
NR1481--MA0508.2.PRDM1	chr2	79180937	79180946	-	0.000	0.000	Merged-chr2-79180935-23
NR2258--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR1799--MA0508.2.PRDM1	chr3	148360713	148360722	-	0.000	0.000	Merged-chr3-148360668-1
NR1146--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR1874--MA0508.2.PRDM1	chr4	40279588	40279597	-	0.000	0.000	Merged-chr4-40279458-68
NR841--MA0508.2.PRDM1	chr14	55644464	55644473	+	0.000	0.000	Merged-chr14-55644519-17
NR1460--MA0508.2.PRDM1	chr2	65337991	65338000	+	0.000	0.000	Merged-chr2-65337948-45
NR1093--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR1268--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR692--MA0508.2.PRDM1	chr13	83888896	83888905	-	0.000	0.000	Merged-chr13-83888974-2
NR2088--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1343--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1138--MA0508.2.PRDM1	chr17	17867184	17867193	-	0.000	0.000	Merged-chr17-17867288-2
NR1409--MA0508.2.PRDM1	chr2	34042238	34042247	+	0.000	0.000	Merged-chr2-34042344-11
NR1975--MA0508.2.PRDM1	chr4	129570168	129570177	+	0.000	0.000	Merged-chr4-129570214-45
NR1499--MA0508.2.PRDM1	chr2	91710612	91710621	+	0.000	0.000	Merged-chr2-91710716-76
NR1356--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR1213--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR650--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR1335--MA0508.2.PRDM1	chr19	5088494	5088503	-	0.000	0.000	Merged-chr19-5088339-71
NR1606--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR1587--MA0508.2.PRDM1	chr2	169865303	169865312	-	0.000	0.000	Merged-chr2-169865301-1
NR62--MA0508.2.PRDM1	chr1	60070884	60070893	+	0.000	0.000	Merged-chr1-60070874-17
NR3--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1205--MA0508.2.PRDM1	chr17	79020707	79020716	-	0.000	0.000	Merged-chr17-79020706-82
NR2360--MA0508.2.PRDM1	chr6	143462193	143462202	+	0.000	0.000	Merged-chr6-143462218-2
NR2631--MA0508.2.PRDM1	chr9	63755019	63755028	+	0.000	0.000	Merged-chr9-63755068-11
NR41--MA0508.2.PRDM1	chr1	39010834	39010843	+	0.000	0.000	Merged-chr1-39010823-36
NR2482--MA0508.2.PRDM1	chr7	141096796	141096805	+	0.000	0.000	Merged-chr7-141096826-78
NR2610--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR1165--MA0508.2.PRDM1	chr17	43265573	43265582	+	0.000	0.000	Merged-chr17-43265450-43
NR1707--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR2222--MA0508.2.PRDM1	chr6	29278874	29278883	+	0.000	0.000	Merged-chr6-29279043-26
NR220--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR2060--MA0508.2.PRDM1	chr5	20945502	20945511	-	0.000	0.000	Merged-chr5-20945424-56
NR1157--MA0508.2.PRDM1	chr17	34305029	34305038	+	0.000	0.000	Merged-chr17-34305077-21
NR1537--MA0508.2.PRDM1	chr2	122180682	122180691	+	0.000	0.000	Merged-chr2-122180612-37
NR1123--MA0508.2.PRDM1	chr17	8988501	8988510	-	0.000	0.000	Merged-chr17-8988548-64
NR690--MA0508.2.PRDM1	chr13	83649954	83649963	+	0.000	0.000	Merged-chr13-83649966-15
NR2453--MA0508.2.PRDM1	chr7	107707815	107707824	+	0.000	0.000	Merged-chr7-107707960-19
NR180--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR1136--MA0508.2.PRDM1	chr17	17234983	17234992	-	0.000	0.000	Merged-chr17-17234918-62
NR2562--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR831--MA0508.2.PRDM1	chr14	47223081	47223090	-	0.000	0.000	Merged-chr14-47223224-6
NR2671--MA0508.2.PRDM1	chr9	96350803	96350812	-	0.000	0.000	Merged-chr9-96350613-81
NR1497--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR193--MA0508.2.PRDM1	chr1	175564520	175564529	-	0.000	0.000	Merged-chr1-175564566-22
NR464--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR2161--MA0508.2.PRDM1	chr5	110639435	110639444	+	0.000	0.000	Merged-chr5-110639613-29
NR1019--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR2445--MA0508.2.PRDM1	chr7	104507849	104507858	-	0.000	0.000	Merged-chr7-104507900-57
NR2716--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR2554--MA0508.2.PRDM1	chr8	88161331	88161340	+	0.000	0.000	Merged-chr8-88161496-26
NR281--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR2392--MA0508.2.PRDM1	chr7	30454088	30454097	-	0.000	0.000	Merged-chr7-30453953-45
NR1489--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR661--MA0508.2.PRDM1	chr13	63112792	63112801	+	0.000	0.000	Merged-chr13-63112828-16
NR185--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR2153--MA0508.2.PRDM1	chr5	105053694	105053703	-	0.000	0.000	Merged-chr5-105053656-75
NR2676--MA0508.2.PRDM1	chr9	99243124	99243133	+	0.000	0.000	Merged-chr9-99243262-100
NR326--MA0508.2.PRDM1	chr10	77537462	77537471	+	0.000	0.000	Merged-chr10-77537383-119
NR2708--MA0508.2.PRDM1	chrX	53370386	53370395	-	0.000	0.000	Merged-chrX-53370330-90
NR2023--MA0508.2.PRDM1	chr5	8426141	8426150	-	0.000	0.000	Merged-chr5-8426095-8
NR544--MA0508.2.PRDM1	chr12	79751787	79751796	+	0.000	0.000	Merged-chr12-79751930-19
NR2307--MA0508.2.PRDM1	chr6	115519189	115519198	+	0.000	0.000	Merged-chr6-115519250-24
NR382--MA0508.2.PRDM1	chr10	118407118	118407127	+	0.000	0.000	Merged-chr10-118407091-36
NR99--MA0508.2.PRDM1	chr1	95605707	95605716	+	0.000	0.000	Merged-chr1-95605725-17
NR491--MA0508.2.PRDM1	chr12	33034563	33034572	-	0.000	0.000	Merged-chr12-33034658-14
NR414--MA0508.2.PRDM1	chr11	20477808	20477817	+	0.000	0.000	Merged-chr11-20477652-51
NR252--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR2429--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR2124--MA0508.2.PRDM1	chr5	76951353	76951362	+	0.000	0.000	Merged-chr5-76951369-96
NR2647--MA0508.2.PRDM1	chr9	83023896	83023905	-	0.000	0.000	Merged-chr9-83023833-29
NR2071--MA0508.2.PRDM1	chr5	34565992	34566001	+	0.000	0.000	Merged-chr5-34565807-6
NR278--MA0508.2.PRDM1	chr10	43340025	43340034	-	0.000	0.000	Merged-chr10-43339927-12
NR549--MA0508.2.PRDM1	chr12	88437418	88437427	-	0.000	0.000	Merged-chr12-88437518-14
NR406--MA0508.2.PRDM1	chr11	6628130	6628139	+	0.000	0.000	Merged-chr11-6628019-13
NR637--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR908--MA0508.2.PRDM1	chr14	121355630	121355639	+	0.000	0.000	Merged-chr14-121355632-5
NR1971--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR2586--MA0508.2.PRDM1	chr8	128363456	128363465	-	0.000	0.000	Merged-chr8-128363423-35
NR2172--MA0508.2.PRDM1	chr5	135118615	135118624	-	0.000	0.000	Merged-chr5-135118769-7
NR1984--MA0508.2.PRDM1	chr4	137861612	137861621	-	0.000	0.000	Merged-chr4-137861569-3
NR488--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR597--MA0508.2.PRDM1	chr13	6342836	6342845	-	0.000	0.000	Merged-chr13-6342930-1
NR629--MA0508.2.PRDM1	chr13	22028930	22028939	-	0.000	0.000	Merged-chr13-22029066-52
NR2469--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR215--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1724--MA0508.2.PRDM1	chr3	102738821	102738830	-	0.000	0.000	Merged-chr3-102738606-70
NR2068--MA0508.2.PRDM1	chr5	30155984	30155993	-	0.000	0.000	Merged-chr5-30156013-4
NR1671--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR188--MA0508.2.PRDM1	chr1	173456527	173456536	-	0.000	0.000	Merged-chr1-173456559-25
NR2265--MA0508.2.PRDM1	chr6	72375320	72375329	+	0.000	0.000	Merged-chr6-72375215-35
NR1642--MA0508.2.PRDM1	chr3	30975577	30975586	+	0.000	0.000	Merged-chr3-30975540-11
NR1708--MA0508.2.PRDM1	chr3	84542474	84542483	-	0.000	0.000	Merged-chr3-84542691-12
NR1480--MA0508.2.PRDM1	chr2	79180858	79180867	-	0.000	0.000	Merged-chr2-79180935-23
NR1751--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR1384--MA0508.2.PRDM1	chr2	13792513	13792522	-	0.000	0.000	Merged-chr2-13792727-5
NR1350--MA0508.2.PRDM1	chr19	32712447	32712456	+	0.000	0.000	Merged-chr19-32712408-94
NR1982--MA0508.2.PRDM1	chr4	135895473	135895482	-	0.000	0.000	Merged-chr4-135895375-12
NR2358--MA0508.2.PRDM1	chr6	143067038	143067047	-	0.000	0.000	Merged-chr6-143067094-13
NR1613--MA0508.2.PRDM1	chr3	9198913	9198922	-	0.000	0.000	Merged-chr3-9198986-16
NR1408--MA0508.2.PRDM1	chr2	31108417	31108426	-	0.000	0.000	Merged-chr2-31108373-37
NR1865--MA0508.2.PRDM1	chr4	32869245	32869254	-	0.000	0.000	Merged-chr4-32869066-16
NR1974--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1987--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1368--MA0508.2.PRDM1	chr19	55253871	55253880	+	0.000	0.000	Merged-chr19-55253983-137
NR1334--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR1605--MA0508.2.PRDM1	chr2	179966863	179966872	-	0.000	0.000	Merged-chr2-179966777-32
NR1172--MA0508.2.PRDM1	chr17	50185975	50185984	-	0.000	0.000	Merged-chr17-50185897-34
NR410--MA0508.2.PRDM1	chr11	11498233	11498242	+	0.000	0.000	Merged-chr11-11498094-24
NR1300--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR662--MA0508.2.PRDM1	chr13	63246490	63246499	-	0.000	0.000	Merged-chr13-63246406-68
NR1204--MA0508.2.PRDM1	chr17	78362369	78362378	+	0.000	0.000	Merged-chr17-78362512-60
NR1979--MA0508.2.PRDM1	chr4	133757572	133757581	-	0.000	0.000	Merged-chr4-133757542-4
NR1260--MA0508.2.PRDM1	chr18	32955104	32955113	+	0.000	0.000	Merged-chr18-32955256-11
NR1796--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR1382--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR1719--MA0508.2.PRDM1	chr3	97158753	97158762	+	0.000	0.000	Merged-chr3-97158953-85
NR1034--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR1828--MA0508.2.PRDM1	chr3	157627581	157627590	-	0.000	0.000	Merged-chr3-157627729-20
NR1143--MA0508.2.PRDM1	chr17	23550902	23550911	+	0.000	0.000	Merged-chr17-23550701-105
NR1318--MA0508.2.PRDM1	chr18	84951560	84951569	+	0.000	0.000	Merged-chr18-84951669-87
NR994--MA0508.2.PRDM1	chr15	86228297	86228306	-	0.000	0.000	Merged-chr15-86228439-16
NR1679--MA0508.2.PRDM1	chr3	60639264	60639273	-	0.000	0.000	Merged-chr3-60639254-17
NR851--MA0508.2.PRDM1	chr14	66235690	66235699	+	0.000	0.000	Merged-chr14-66235717-23
NR1536--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1897--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR211--MA0508.2.PRDM1	chr1	189703530	189703539	-	0.000	0.000	Merged-chr1-189703506-56
NR877--MA0508.2.PRDM1	chr14	90025274	90025283	-	0.000	0.000	Merged-chr14-90025209-2
NR1101--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR2322--MA0508.2.PRDM1	chr6	127246038	127246047	+	0.000	0.000	Merged-chr6-127246096-47
NR1353--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR843--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR224--MA0508.2.PRDM1	chr10	7470409	7470418	+	0.000	0.000	Merged-chr10-7470291-37
NR1889--MA0508.2.PRDM1	chr4	56005724	56005733	-	0.000	0.000	Merged-chr4-56005821-2
NR585--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR1475--MA0508.2.PRDM1	chr2	77237471	77237480	+	0.000	0.000	Merged-chr2-77237632-1
NR171--MA0508.2.PRDM1	chr1	158177299	158177308	-	0.000	0.000	Merged-chr1-158177392-1
NR280--MA0508.2.PRDM1	chr10	44003891	44003900	+	0.000	0.000	Merged-chr10-44003826-80
NR2391--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR869--MA0508.2.PRDM1	chr14	87066619	87066628	-	0.000	0.000	Merged-chr14-87066806-16
NR2423--MA0508.2.PRDM1	chr7	70628277	70628286	+	0.000	0.000	Merged-chr7-70628191-1
NR1358--MA0508.2.PRDM1	chr19	41911927	41911936	-	0.000	0.000	Merged-chr19-41912030-67
NR801--MA0508.2.PRDM1	chr14	16432970	16432979	+	0.000	0.000	Merged-chr14-16432942-30
NR1467--MA0508.2.PRDM1	chr2	68430850	68430859	-	0.000	0.000	Merged-chr2-68430660-54
NR434--MA0508.2.PRDM1	chr11	66905954	66905963	-	0.000	0.000	Merged-chr11-66906049-23
NR1053--MA0508.2.PRDM1	chr16	45024178	45024187	-	0.000	0.000	Merged-chr16-45024089-23
NR891--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR543--MA0508.2.PRDM1	chr12	79634010	79634019	+	0.000	0.000	Merged-chr12-79634130-2
NR814--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR447--MA0508.2.PRDM1	chr11	94601809	94601818	-	0.000	0.000	Merged-chr11-94601858-52
NR718--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR2492--MA0508.2.PRDM1	chr8	14997065	14997074	-	0.000	0.000	Merged-chr8-14996995-10
NR1175--MA0508.2.PRDM1	chr17	51743291	51743300	-	0.000	0.000	Merged-chr17-51743349-2
NR1079--MA0508.2.PRDM1	chr16	64824652	64824661	+	0.000	0.000	Merged-chr16-64824762-36
NR1459--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR426--MA0508.2.PRDM1	chr11	44540297	44540306	-	0.000	0.000	Merged-chr11-44540371-5
NR806--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
NR2232--MA0508.2.PRDM1	chr6	50416936	50416945	+	0.000	0.000	Merged-chr6-50417055-62
NR439--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR2484--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR548--MA0508.2.PRDM1	chr12	86879814	86879823	+	0.000	0.000	Merged-chr12-86879844-2
NR243--MA0508.2.PRDM1	chr10	16830080	16830089	+	0.000	0.000	Merged-chr10-16829982-2
NR2625--MA0508.2.PRDM1	chr9	56418305	56418314	-	0.000	0.000	Merged-chr9-56418111-4
NR1037--MA0508.2.PRDM1	chr16	24641660	24641669	+	0.000	0.000	Merged-chr16-24641606-21
NR399--MA0508.2.PRDM1	chr11	3105458	3105467	+	0.000	0.000	Merged-chr11-3105314-74
NR2320--MA0508.2.PRDM1	chr6	125131892	125131901	+	0.000	0.000	Merged-chr6-125131800-57
