#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR954--MA0684.1.RUNX3	chr10	39469530	39469539	-	0.000	0.000	Merged-chr10-39469542-68
NR9514--MA0511.2.RUNX2	chr8	125725665	125725673	-	0.000	0.000	Merged-chr8-125725496-61
NR3647--MA0002.2.RUNX1	chr15	76899957	76899967	-	0.000	0.000	Merged-chr15-76899846-50
NR3998--MA0511.2.RUNX2	chr16	49839887	49839895	-	0.000	0.000	Merged-chr16-49840085-71
NR7136--MA0684.1.RUNX3	chr4	136269038	136269047	-	0.000	0.000	Merged-chr4-136269140-11
NR5661--MA0684.1.RUNX3	chr2	91924162	91924171	-	0.000	0.000	Merged-chr2-91924034-46
NR2251--MA0002.2.RUNX1	chr12	93227031	93227041	-	0.000	0.000	Merged-chr12-93227052-12
NR5456--MA0684.1.RUNX3	chr2	32542098	32542107	-	0.000	0.000	Merged-chr2-32542194-49
NR3233--MA0002.2.RUNX1	chr14	75045425	75045435	-	0.000	0.000	Merged-chr14-75045381-29
NR5806--MA0511.2.RUNX2	chr2	128430848	128430856	-	0.000	0.000	Merged-chr2-128430953-27
NR7659--MA0684.1.RUNX3	chr5	113787260	113787269	+	0.000	0.000	Merged-chr5-113787190-10
NR9938--MA0002.2.RUNX1	chr9	108122636	108122646	+	0.000	0.000	Merged-chr9-108122547-9
NR4725--MA0002.2.RUNX1	chr18	34856379	34856389	-	0.000	0.000	Merged-chr18-34856324-36
NR5313--MA0684.1.RUNX3	chr19	58238494	58238503	-	0.000	0.000	Merged-chr19-58238492-37
NR9081--MA0511.2.RUNX2	chr7	140981913	140981921	+	0.000	0.000	Merged-chr7-140982058-21
NR7116--MA0002.2.RUNX1	chr4	135067238	135067248	-	0.000	0.000	Merged-chr4-135067110-46
NR8542--MA0002.2.RUNX1	chr7	27860537	27860547	-	0.000	0.000	Merged-chr7-27860517-78
NR9401--MA0684.1.RUNX3	chr8	111595925	111595934	+	0.000	0.000	Merged-chr8-111595874-65
NR6862--MA0002.2.RUNX1	chr4	63668485	63668495	+	0.000	0.000	Merged-chr4-63668506-36
NR7245--MA0684.1.RUNX3	chr4	150798999	150799008	-	0.000	0.000	Merged-chr4-150799073-80
NR3507--MA0511.2.RUNX2	chr15	41846726	41846734	-	0.000	0.000	Merged-chr15-41846585-48
NR3137--MA0002.2.RUNX1	chr14	57730111	57730121	-	0.000	0.000	Merged-chr14-57729995-40
NR10205--MA0002.2.RUNX1	chrX	102037244	102037254	+	0.000	0.000	Merged-chrX-102037181-28
NR3759--MA0511.2.RUNX2	chr15	97727292	97727300	+	0.000	0.000	Merged-chr15-97727348-17
NR2883--MA0002.2.RUNX1	chr13	108426583	108426593	+	0.000	0.000	Merged-chr13-108426538-45
NR1413--MA0511.2.RUNX2	chr11	3387161	3387169	-	0.000	0.000	Merged-chr11-3387260-37
NR7225--MA0002.2.RUNX1	chr4	150117488	150117498	-	0.000	0.000	Merged-chr4-150117497-12
NR5274--MA0002.2.RUNX1	chr19	56679377	56679387	+	0.000	0.000	Merged-chr19-56679584-45
NR5545--MA0002.2.RUNX1	chr2	60904337	60904347	-	0.000	0.000	Merged-chr2-60904375-31
NR1586--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR900--MA0002.2.RUNX1	chr10	22714805	22714815	-	0.000	0.000	Merged-chr10-22714818-39
NR5896--MA0511.2.RUNX2	chr2	148191746	148191754	+	0.000	0.000	Merged-chr2-148191658-6
NR9428--MA0002.2.RUNX1	chr8	116636099	116636109	-	0.000	0.000	Merged-chr8-116636119-54
NR6352--MA0002.2.RUNX1	chr3	89871229	89871239	+	0.000	0.000	Merged-chr3-89871193-44
NR10109--MA0002.2.RUNX1	chrX	20272134	20272144	+	0.000	0.000	Merged-chrX-20272195-17
NR9266--MA0002.2.RUNX1	chr8	71286320	71286330	+	0.000	0.000	Merged-chr8-71286337-41
NR4800--MA0002.2.RUNX1	chr18	56436016	56436026	-	0.000	0.000	Merged-chr18-56435913-30
NR2373--MA0002.2.RUNX1	chr12	111913012	111913022	-	0.000	0.000	Merged-chr12-111913088-13
NR3232--MA0684.1.RUNX3	chr14	74949176	74949185	-	0.000	0.000	Merged-chr14-74949035-55
NR9888--MA0511.2.RUNX2	chr9	96783897	96783905	+	0.000	0.000	Merged-chr9-96783920-38
NR3355--MA0002.2.RUNX1	chr14	118929931	118929941	-	0.000	0.000	Merged-chr14-118930023-62
NR1347--MA0684.1.RUNX3	chr10	118854770	118854779	-	0.000	0.000	Merged-chr10-118854630-50
NR5591--MA0511.2.RUNX2	chr2	73597937	73597945	+	0.000	0.000	Merged-chr2-73597981-26
NR6190--MA0002.2.RUNX1	chr3	30965810	30965820	+	0.000	0.000	Merged-chr3-30965854-44
NR9666--MA0684.1.RUNX3	chr9	52073829	52073838	-	0.000	0.000	Merged-chr9-52073999-13
NR6732--MA0002.2.RUNX1	chr4	11507352	11507362	+	0.000	0.000	Merged-chr4-11507334-14
NR5928--MA0511.2.RUNX2	chr2	153336331	153336339	-	0.000	0.000	Merged-chr2-153336329-40
NR9789--MA0002.2.RUNX1	chr9	77558251	77558261	-	0.000	0.000	Merged-chr9-77558150-7
NR5164--MA0684.1.RUNX3	chr19	32791965	32791974	-	0.000	0.000	Merged-chr19-32791960-10
NR7238--MA0002.2.RUNX1	chr4	150566267	150566277	-	0.000	0.000	Merged-chr4-150566221-49
NR3484--MA0684.1.RUNX3	chr15	36650102	36650111	-	0.000	0.000	Merged-chr15-36650116-39
NR5829--MA0002.2.RUNX1	chr2	135737685	135737695	+	0.000	0.000	Merged-chr2-135737673-31
NR9375--MA0002.2.RUNX1	chr8	105296393	105296403	-	0.000	0.000	Merged-chr8-105296320-3
NR9646--MA0002.2.RUNX1	chr9	44986692	44986702	+	0.000	0.000	Merged-chr9-44986606-109
NR4704--MA0002.2.RUNX1	chr18	23803912	23803922	-	0.000	0.000	Merged-chr18-23803965-77
NR2753--MA0002.2.RUNX1	chr13	76681514	76681524	+	0.000	0.000	Merged-chr13-76681414-15
NR3193--MA0002.2.RUNX1	chr14	67911799	67911809	-	0.000	0.000	Merged-chr14-67911920-26
NR7651--MA0511.2.RUNX2	chr5	113613462	113613470	-	0.000	0.000	Merged-chr5-113613297-13
NR10204--MA0684.1.RUNX3	chrX	101734129	101734138	-	0.000	0.000	Merged-chrX-101734120-41
NR6570--MA0002.2.RUNX1	chr3	133614395	133614405	-	0.000	0.000	Merged-chr3-133614378-37
NR10056--MA0002.2.RUNX1	chr9	122188844	122188854	-	0.000	0.000	Merged-chr9-122188885-48
NR4890--MA0002.2.RUNX1	chr18	70462823	70462833	+	0.000	0.000	Merged-chr18-70462917-22
NR5273--MA0684.1.RUNX3	chr19	56530751	56530760	+	0.000	0.000	Merged-chr19-56530729-50
NR5339--MA0684.1.RUNX3	chr2	3764340	3764349	-	0.000	0.000	Merged-chr2-3764311-29
NR3388--MA0684.1.RUNX3	chr14	122063832	122063841	-	0.000	0.000	Merged-chr14-122063804-67
NR423--MA0684.1.RUNX3	chr1	138931093	138931102	+	0.000	0.000	Merged-chr1-138931080-29
NR10185--MA0684.1.RUNX3	chrX	77640560	77640569	-	0.000	0.000	Merged-chrX-77640531-25
NR3116--MA0002.2.RUNX1	chr14	53805690	53805700	+	0.000	0.000	Merged-chr14-53805702-1
NR7969--MA0511.2.RUNX2	chr6	41527203	41527211	-	0.000	0.000	Merged-chr6-41527380-17
NR5623--MA0511.2.RUNX2	chr2	79231286	79231294	+	0.000	0.000	Merged-chr2-79231345-48
NR1436--MA0002.2.RUNX1	chr11	6152942	6152952	-	0.000	0.000	Merged-chr11-6153019-27
NR9484--MA0002.2.RUNX1	chr8	123000551	123000561	-	0.000	0.000	Merged-chr8-123000494-51
NR7555--MA0511.2.RUNX2	chr5	105137007	105137015	-	0.000	0.000	Merged-chr5-105137049-3
NR3368--MA0002.2.RUNX1	chr14	121361675	121361685	+	0.000	0.000	Merged-chr14-121361598-37
NR9884--MA0684.1.RUNX3	chr9	96583332	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR2991--MA0684.1.RUNX3	chr14	12243740	12243749	+	0.000	0.000	Merged-chr14-12243878-61
NR8981--MA0511.2.RUNX2	chr7	126821923	126821931	-	0.000	0.000	Merged-chr7-126822065-16
NR803--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR6159--MA0684.1.RUNX3	chr3	14979456	14979465	-	0.000	0.000	Merged-chr3-14979339-24
NR384--MA0002.2.RUNX1	chr1	132356019	132356029	+	0.000	0.000	Merged-chr1-132355998-23
NR10--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR10022--MA0002.2.RUNX1	chr9	119256428	119256438	-	0.000	0.000	Merged-chr9-119256469-14
NR6331--MA0002.2.RUNX1	chr3	87387617	87387627	+	0.000	0.000	Merged-chr3-87387698-10
NR4651--MA0002.2.RUNX1	chr18	4304982	4304992	+	0.000	0.000	Merged-chr18-4305032-14
NR3576--MA0511.2.RUNX2	chr15	60141833	60141841	+	0.000	0.000	Merged-chr15-60141822-49
NR2100--MA0002.2.RUNX1	chr12	36157960	36157970	+	0.000	0.000	Merged-chr12-36157829-2
NR9073--MA0511.2.RUNX2	chr7	140214122	140214130	-	0.000	0.000	Merged-chr7-140214082-44
NR1198--MA0684.1.RUNX3	chr10	88426736	88426745	-	0.000	0.000	Merged-chr10-88426596-23
NR512--MA0002.2.RUNX1	chr1	161909328	161909338	+	0.000	0.000	Merged-chr1-161909340-8
NR592--MA0511.2.RUNX2	chr1	171631631	171631639	-	0.000	0.000	Merged-chr1-171631545-10
NR3228--MA0511.2.RUNX2	chr14	74646556	74646564	-	0.000	0.000	Merged-chr14-74646498-47
NR370--MA0684.1.RUNX3	chr1	131200183	131200192	-	0.000	0.000	Merged-chr1-131199978-81
NR1055--MA0684.1.RUNX3	chr10	61648678	61648687	-	0.000	0.000	Merged-chr10-61648794-93
NR9374--MA0684.1.RUNX3	chr8	105296374	105296383	+	0.000	0.000	Merged-chr8-105296320-3
NR6711--MA0002.2.RUNX1	chr4	7207179	7207189	-	0.000	0.000	Merged-chr4-7207158-12
NR4703--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR3685--MA0511.2.RUNX2	chr15	81042825	81042833	-	0.000	0.000	Merged-chr15-81042791-7
NR9497--MA0002.2.RUNX1	chr8	124085843	124085853	+	0.000	0.000	Merged-chr8-124085760-17
NR7773--MA0511.2.RUNX2	chr5	135152711	135152719	+	0.000	0.000	Merged-chr5-135152691-12
NR8914--MA0002.2.RUNX1	chr7	118113648	118113658	-	0.000	0.000	Merged-chr7-118113743-35
NR9897--MA0684.1.RUNX3	chr9	98333430	98333439	+	0.000	0.000	Merged-chr9-98333368-51
NR9083--MA0002.2.RUNX1	chr7	140981913	140981923	-	0.000	0.000	Merged-chr7-140982058-21
NR9354--MA0002.2.RUNX1	chr8	95012620	95012630	+	0.000	0.000	Merged-chr8-95012536-10
NR4141--MA0002.2.RUNX1	chr16	93552875	93552885	+	0.000	0.000	Merged-chr16-93552984-42
NR7346--MA0684.1.RUNX3	chr5	23719094	23719103	+	0.000	0.000	Merged-chr5-23719169-48
NR4412--MA0002.2.RUNX1	chr17	44463895	44463905	+	0.000	0.000	Merged-chr17-44463845-28
NR67--MA0002.2.RUNX1	chr1	40268784	40268794	+	0.000	0.000	Merged-chr1-40268723-25
NR8772--MA0684.1.RUNX3	chr7	97463492	97463501	-	0.000	0.000	Merged-chr7-97463655-18
NR3238--MA0002.2.RUNX1	chr14	75068998	75069008	+	0.000	0.000	Merged-chr14-75068888-3
NR668--MA0002.2.RUNX1	chr1	180810552	180810562	+	0.000	0.000	Merged-chr1-180810648-13
NR3509--MA0002.2.RUNX1	chr15	41846724	41846734	+	0.000	0.000	Merged-chr15-41846585-48
NR10035--MA0002.2.RUNX1	chr9	120030055	120030065	+	0.000	0.000	Merged-chr9-120030028-3
NR7055--MA0002.2.RUNX1	chr4	124695931	124695941	+	0.000	0.000	Merged-chr4-124696004-25
NR1038--MA0511.2.RUNX2	chr10	60346224	60346232	+	0.000	0.000	Merged-chr10-60346273-6
NR5375--MA0002.2.RUNX1	chr2	9871365	9871375	+	0.000	0.000	Merged-chr2-9871528-52
NR5060--MA0511.2.RUNX2	chr19	9104136	9104144	+	0.000	0.000	Merged-chr19-9104149-11
NR9406--MA0684.1.RUNX3	chr8	111998969	111998978	+	0.000	0.000	Merged-chr8-111998914-9
NR10243--MA0511.2.RUNX2	chrX	167025097	167025105	+	0.000	0.000	Merged-chrX-167025120-15
NR2365--MA0002.2.RUNX1	chr12	111180761	111180771	+	0.000	0.000	Merged-chr12-111180785-12
NR10144--MA0002.2.RUNX1	chrX	52760335	52760345	-	0.000	0.000	Merged-chrX-52760494-47
NR6453--MA0002.2.RUNX1	chr3	108726451	108726461	+	0.000	0.000	Merged-chr3-108726514-23
NR3032--MA0511.2.RUNX2	chr14	21635312	21635320	-	0.000	0.000	Merged-chr14-21635245-13
NR462--MA0511.2.RUNX2	chr1	151670187	151670195	-	0.000	0.000	Merged-chr1-151670167-23
NR4773--MA0002.2.RUNX1	chr18	53176420	53176430	-	0.000	0.000	Merged-chr18-53176658-113
NR2222--MA0002.2.RUNX1	chr12	86787447	86787457	+	0.000	0.000	Merged-chr12-86787362-21
NR9195--MA0511.2.RUNX2	chr8	33797599	33797607	+	0.000	0.000	Merged-chr8-33797511-16
NR1796--MA0684.1.RUNX3	chr11	90675679	90675688	+	0.000	0.000	Merged-chr11-90675808-18
NR3599--MA0002.2.RUNX1	chr15	64213204	64213214	+	0.000	0.000	Merged-chr15-64213245-15
NR905--MA0002.2.RUNX1	chr10	23787399	23787409	-	0.000	0.000	Merged-chr10-23787173-89
NR1319--MA0002.2.RUNX1	chr10	117209797	117209807	+	0.000	0.000	Merged-chr10-117209655-32
NR9096--MA0002.2.RUNX1	chr7	141344958	141344968	+	0.000	0.000	Merged-chr7-141345038-25
NR4630--MA0002.2.RUNX1	chr17	87572934	87572944	-	0.000	0.000	Merged-chr17-87572921-1
NR7835--MA0684.1.RUNX3	chr5	147163486	147163495	+	0.000	0.000	Merged-chr5-147163386-4
NR1399--MA0511.2.RUNX2	chr10	128637208	128637216	-	0.000	0.000	Merged-chr10-128637070-78
NR3999--MA0684.1.RUNX3	chr16	49839886	49839895	-	0.000	0.000	Merged-chr16-49840085-71
NR5136--MA0002.2.RUNX1	chr19	29454390	29454400	-	0.000	0.000	Merged-chr19-29454284-53
NR10048--MA0002.2.RUNX1	chr9	121757621	121757631	+	0.000	0.000	Merged-chr9-121757681-27
NR8149--MA0511.2.RUNX2	chr6	99433206	99433214	+	0.000	0.000	Merged-chr6-99433049-65
NR4948--MA0002.2.RUNX1	chr18	80468534	80468544	-	0.000	0.000	Merged-chr18-80468644-15
NR2602--MA0002.2.RUNX1	chr13	33072025	33072035	+	0.000	0.000	Merged-chr13-33072044-31
NR8970--MA0002.2.RUNX1	chr7	125581323	125581333	-	0.000	0.000	Merged-chr7-125581363-89
NR7895--MA0511.2.RUNX2	chr6	13061787	13061795	-	0.000	0.000	Merged-chr6-13061823-67
NR7024--MA0511.2.RUNX2	chr4	116678005	116678013	-	0.000	0.000	Merged-chr4-116678042-15
NR1157--MA0002.2.RUNX1	chr10	80270196	80270206	+	0.000	0.000	Merged-chr10-80270188-4
NR3459--MA0511.2.RUNX2	chr15	30686469	30686477	-	0.000	0.000	Merged-chr15-30686490-29
NR9161--MA0511.2.RUNX2	chr8	22405902	22405910	-	0.000	0.000	Merged-chr8-22405869-37
NR5201--MA0511.2.RUNX2	chr19	41328933	41328941	+	0.000	0.000	Merged-chr19-41328970-48
NR4663--MA0684.1.RUNX3	chr18	6310289	6310298	-	0.000	0.000	Merged-chr18-6310381-25
NR4120--MA0002.2.RUNX1	chr16	91964736	91964746	-	0.000	0.000	Merged-chr16-91964745-42
NR5374--MA0684.1.RUNX3	chr2	9796207	9796216	+	0.000	0.000	Merged-chr2-9796210-5
NR7448--MA0002.2.RUNX1	chr5	65863568	65863578	-	0.000	0.000	Merged-chr5-65863563-64
NR253--MA0684.1.RUNX3	chr1	86005772	86005781	+	0.000	0.000	Merged-chr1-86005917-70
NR1143--MA0684.1.RUNX3	chr10	78345838	78345847	+	0.000	0.000	Merged-chr10-78345751-13
NR8874--MA0002.2.RUNX1	chr7	112238966	112238976	+	0.000	0.000	Merged-chr7-112238810-51
NR376--MA0002.2.RUNX1	chr1	131446756	131446766	+	0.000	0.000	Merged-chr1-131446788-25
NR7799--MA0511.2.RUNX2	chr5	139206777	139206785	-	0.000	0.000	Merged-chr5-139206711-28
NR5453--MA0511.2.RUNX2	chr2	32542099	32542107	-	0.000	0.000	Merged-chr2-32542194-49
NR918--MA0002.2.RUNX1	chr10	26799660	26799670	-	0.000	0.000	Merged-chr10-26799592-100
NR1266--MA0002.2.RUNX1	chr10	96231473	96231483	+	0.000	0.000	Merged-chr10-96231519-16
NR2963--MA0002.2.RUNX1	chr13	115179427	115179437	+	0.000	0.000	Merged-chr13-115179427-17
NR981--MA0684.1.RUNX3	chr10	44420257	44420266	-	0.000	0.000	Merged-chr10-44420150-34
NR7385--MA0511.2.RUNX2	chr5	37045010	37045018	+	0.000	0.000	Merged-chr5-37044965-52
NR6780--MA0002.2.RUNX1	chr4	41652230	41652240	+	0.000	0.000	Merged-chr4-41652381-11
NR9114--MA0684.1.RUNX3	chr7	144074937	144074946	-	0.000	0.000	Merged-chr7-144074974-28
NR4895--MA0002.2.RUNX1	chr18	70572505	70572515	+	0.000	0.000	Merged-chr18-70572603-19
NR3425--MA0511.2.RUNX2	chr15	6569140	6569148	+	0.000	0.000	Merged-chr15-6569076-63
NR855--MA0511.2.RUNX2	chr10	19506189	19506197	-	0.000	0.000	Merged-chr10-19506242-43
NR2820--MA0002.2.RUNX1	chr13	95449935	95449945	-	0.000	0.000	Merged-chr13-95449730-51
NR9588--MA0511.2.RUNX2	chr9	22641249	22641257	-	0.000	0.000	Merged-chr9-22641148-30
NR904--MA0684.1.RUNX3	chr10	22732436	22732445	-	0.000	0.000	Merged-chr10-22732322-3
NR7513--MA0511.2.RUNX2	chr5	92327538	92327546	+	0.000	0.000	Merged-chr5-92327493-24
NR9637--MA0684.1.RUNX3	chr9	44113583	44113592	-	0.000	0.000	Merged-chr9-44113548-48
NR9908--MA0684.1.RUNX3	chr9	102577635	102577644	-	0.000	0.000	Merged-chr9-102577518-37
NR4752--MA0002.2.RUNX1	chr18	39137636	39137646	+	0.000	0.000	Merged-chr18-39137711-66
NR3948--MA0511.2.RUNX2	chr16	43699129	43699137	-	0.000	0.000	Merged-chr16-43699187-66
NR1997--MA0511.2.RUNX2	chr11	118232513	118232521	+	0.000	0.000	Merged-chr11-118232579-51
NR4818--MA0002.2.RUNX1	chr18	60481244	60481254	+	0.000	0.000	Merged-chr18-60481199-20
