#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR2190--MA0731.1.BCL6B	chr6	54703245	54703261	+	0.000	0.000	Merged-chr6-54703132-16
NR2636--MA0731.1.BCL6B	chr9	86393757	86393773	+	0.000	0.000	Merged-chr9-86393704-34
NR2169--MA0463.1.Bcl6	chr6	34346703	34346716	+	0.000	0.000	Merged-chr6-34346731-18
NR472--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR809--MA0731.1.BCL6B	chr14	25481268	25481284	-	0.000	0.000	Merged-chr14-25481230-34
NR1303--MA0463.1.Bcl6	chr18	75338860	75338873	+	0.000	0.000	Merged-chr18-75338929-5
NR2411--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR594--MA0731.1.BCL6B	chr12	104479545	104479561	-	0.000	0.000	Merged-chr12-104479595-1
NR722--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR1388--MA0731.1.BCL6B	chr2	37803106	37803122	+	0.000	0.000	Merged-chr2-37802977-26
NR2662--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR331--MA0463.1.Bcl6	chr10	77984599	77984612	+	0.000	0.000	Merged-chr10-77984793-34
NR735--MA0731.1.BCL6B	chr13	102097597	102097613	-	0.000	0.000	Merged-chr13-102097534-1
NR2528--MA0463.1.Bcl6	chr8	94330997	94331010	-	0.000	0.000	Merged-chr8-94330995-25
NR1529--MA0731.1.BCL6B	chr2	135737800	135737816	-	0.000	0.000	Merged-chr2-135737673-31
NR443--MA0731.1.BCL6B	chr11	58214898	58214914	+	0.000	0.000	Merged-chr11-58214991-50
NR439--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR823--MA0731.1.BCL6B	chr14	40992388	40992404	+	0.000	0.000	Merged-chr14-40992584-8
NR2121--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR2578--MA0463.1.Bcl6	chr9	14966931	14966944	-	0.000	0.000	Merged-chr9-14967167-10
NR359--MA0463.1.Bcl6	chr10	99199137	99199150	-	0.000	0.000	Merged-chr10-99199242-8
NR1936--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR382--MA0731.1.BCL6B	chr10	115406526	115406542	-	0.000	0.000	Merged-chr10-115406653-18
NR2397--MA0731.1.BCL6B	chr7	100607551	100607567	+	0.000	0.000	Merged-chr7-100607633-74
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR1068--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR1641--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR658--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR244--MA0731.1.BCL6B	chr10	7681970	7681986	-	0.000	0.000	Merged-chr10-7681828-7
NR857--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR2400--MA0463.1.Bcl6	chr7	104369993	104370006	-	0.000	0.000	Merged-chr7-104370069-34
NR660--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR70--MA0463.1.Bcl6	chr1	62877030	62877043	-	0.000	0.000	Merged-chr1-62876956-19
NR2441--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR2647--MA0463.1.Bcl6	chr9	95072707	95072720	-	0.000	0.000	Merged-chr9-95072706-61
NR1745--MA0731.1.BCL6B	chr3	146783896	146783912	-	0.000	0.000	Merged-chr3-146783871-10
NR2665--MA0463.1.Bcl6	chr9	106822491	106822504	-	0.000	0.000	Merged-chr9-106822240-128
NR2213--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR1201--MA0731.1.BCL6B	chr17	62413615	62413631	-	0.000	0.000	Merged-chr17-62413697-2
NR1920--MA0463.1.Bcl6	chr4	120381174	120381187	+	0.000	0.000	Merged-chr4-120381159-28
NR464--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR2227--MA0463.1.Bcl6	chr6	97107092	97107105	+	0.000	0.000	Merged-chr6-97107020-27
NR1684--MA0731.1.BCL6B	chr3	107864169	107864185	+	0.000	0.000	Merged-chr3-107864110-34
NR1943--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR1031--MA0731.1.BCL6B	chr16	10384151	10384167	+	0.000	0.000	Merged-chr16-10384220-18
NR1968--MA0731.1.BCL6B	chr5	3508574	3508590	+	0.000	0.000	Merged-chr5-3508647-19
NR1612--MA0463.1.Bcl6	chr3	31145965	31145978	+	0.000	0.000	Merged-chr3-31145985-42
NR1934--MA0731.1.BCL6B	chr4	129570169	129570185	+	0.000	0.000	Merged-chr4-129570214-45
NR991--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR734--MA0463.1.Bcl6	chr13	102097600	102097613	+	0.000	0.000	Merged-chr13-102097534-1
NR1493--MA0731.1.BCL6B	chr2	114175318	114175334	-	0.000	0.000	Merged-chr2-114175184-57
NR1425--MA0463.1.Bcl6	chr2	60204337	60204350	-	0.000	0.000	Merged-chr2-60204421-25
NR1905--MA0731.1.BCL6B	chr4	108459769	108459785	+	0.000	0.000	Merged-chr4-108459700-11
NR542--MA0463.1.Bcl6	chr12	55438927	55438940	+	0.000	0.000	Merged-chr12-55438958-24
NR1220--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR672--MA0463.1.Bcl6	chr13	55432381	55432394	-	0.000	0.000	Merged-chr13-55432438-56
NR999--MA0463.1.Bcl6	chr15	80149805	80149818	+	0.000	0.000	Merged-chr15-80149719-49
NR426--MA0463.1.Bcl6	chr11	34010313	34010326	-	0.000	0.000	Merged-chr11-34010377-133
NR1685--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR1613--MA0731.1.BCL6B	chr3	31145962	31145978	-	0.000	0.000	Merged-chr3-31145985-42
NR2119--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR2099--MA0463.1.Bcl6	chr5	113828686	113828699	-	0.000	0.000	Merged-chr5-113828538-48
NR69--MA0463.1.Bcl6	chr1	62877032	62877045	+	0.000	0.000	Merged-chr1-62876956-19
NR1193--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR216--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR686--MA0463.1.Bcl6	chr13	67399791	67399804	+	0.000	0.000	Merged-chr13-67399691-60
NR954--MA0731.1.BCL6B	chr15	36938034	36938050	+	0.000	0.000	Merged-chr15-36937970-1
NR1639--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR540--MA0731.1.BCL6B	chr12	55015516	55015532	+	0.000	0.000	Merged-chr12-55015619-6
NR1682--MA0731.1.BCL6B	chr3	103466059	103466075	-	0.000	0.000	Merged-chr3-103466121-19
NR1748--MA0731.1.BCL6B	chr3	148730239	148730255	-	0.000	0.000	Merged-chr3-148730095-3
NR1509--MA0731.1.BCL6B	chr2	126593899	126593915	+	0.000	0.000	Merged-chr2-126594082-30
NR61--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR662--MA0731.1.BCL6B	chr13	37963717	37963733	-	0.000	0.000	Merged-chr13-37963615-35
NR1162--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR1919--MA0463.1.Bcl6	chr4	120381111	120381124	+	0.000	0.000	Merged-chr4-120381159-28
NR1610--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR821--MA0463.1.Bcl6	chr14	40894784	40894797	+	0.000	0.000	Merged-chr14-40894851-34
NR1435--MA0731.1.BCL6B	chr2	66114547	66114563	+	0.000	0.000	Merged-chr2-66114486-5
NR808--MA0463.1.Bcl6	chr14	25162015	25162028	-	0.000	0.000	Merged-chr14-25161984-35
NR1339--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR1512--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR723--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR620--MA0731.1.BCL6B	chr13	9638041	9638057	-	0.000	0.000	Merged-chr13-9637949-5
NR2038--MA0463.1.Bcl6	chr5	53490928	53490941	-	0.000	0.000	Merged-chr5-53490901-53
NR956--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR981--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR853--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR2330--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR1508--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR871--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR1265--MA0731.1.BCL6B	chr18	39664126	39664142	-	0.000	0.000	Merged-chr18-39664266-42
NR1759--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR53--MA0463.1.Bcl6	chr1	43389146	43389159	+	0.000	0.000	Merged-chr1-43389283-10
NR1656--MA0463.1.Bcl6	chr3	84595233	84595246	+	0.000	0.000	Merged-chr3-84595329-34
NR1562--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
NR1244--MA0731.1.BCL6B	chr18	5945021	5945037	+	0.000	0.000	Merged-chr18-5945225-8
NR1889--MA0463.1.Bcl6	chr4	97777191	97777204	+	0.000	0.000	Merged-chr4-97777223-4
NR2431--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR2518--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR451--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR1576--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR1003--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2554--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR2666--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR447--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR1348--MA0463.1.Bcl6	chr19	44283179	44283192	+	0.000	0.000	Merged-chr19-44283330-35
NR1597--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR2223--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR1160--MA0463.1.Bcl6	chr17	17405037	17405050	+	0.000	0.000	Merged-chr17-17405112-12
NR1478--MA0463.1.Bcl6	chr2	103583433	103583446	-	0.000	0.000	Merged-chr2-103583427-9
NR1384--MA0463.1.Bcl6	chr2	35982164	35982177	-	0.000	0.000	Merged-chr2-35982030-31
NR163--MA0731.1.BCL6B	chr1	156408130	156408146	-	0.000	0.000	Merged-chr1-156408256-35
NR2131--MA0731.1.BCL6B	chr5	148325408	148325424	+	0.000	0.000	Merged-chr5-148325520-37
NR272--MA0731.1.BCL6B	chr10	21159882	21159898	+	0.000	0.000	Merged-chr10-21160014-11
NR176--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR1841--MA0463.1.Bcl6	chr4	59334501	59334514	-	0.000	0.000	Merged-chr4-59334483-11
NR1890--MA0731.1.BCL6B	chr4	97777188	97777204	-	0.000	0.000	Merged-chr4-97777223-4
NR2358--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR1962--MA0463.1.Bcl6	chr4	152186802	152186815	+	0.000	0.000	Merged-chr4-152186778-42
NR1192--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR2110--MA0731.1.BCL6B	chr5	124050169	124050185	+	0.000	0.000	Merged-chr5-124050362-25
NR522--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR2376--MA0463.1.Bcl6	chr7	80647583	80647596	+	0.000	0.000	Merged-chr7-80647614-48
NR851--MA0463.1.Bcl6	chr14	52257854	52257867	-	0.000	0.000	Merged-chr14-52257717-61
NR2646--MA0731.1.BCL6B	chr9	94668742	94668758	-	0.000	0.000	Merged-chr9-94668774-42
NR230--MA0731.1.BCL6B	chr1	193303728	193303744	+	0.000	0.000	Merged-chr1-193303652-18
NR1654--MA0463.1.Bcl6	chr3	84314662	84314675	-	0.000	0.000	Merged-chr3-84314739-19
NR2096--MA0731.1.BCL6B	chr5	105732326	105732342	-	0.000	0.000	Merged-chr5-105732037-124
NR977--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR2086--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR422--MA0463.1.Bcl6	chr11	29526252	29526265	+	0.000	0.000	Merged-chr11-29526463-59
NR474--MA0731.1.BCL6B	chr11	102881279	102881295	-	0.000	0.000	Merged-chr11-102881162-74
NR997--MA0731.1.BCL6B	chr15	78596960	78596976	+	0.000	0.000	Merged-chr15-78597127-20
NR543--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR2489--MA0731.1.BCL6B	chr8	57592869	57592885	-	0.000	0.000	Merged-chr8-57592904-21
NR2551--MA0731.1.BCL6B	chr8	117498771	117498787	+	0.000	0.000	Merged-chr8-117498576-60
NR344--MA0731.1.BCL6B	chr10	91032634	91032650	+	0.000	0.000	Merged-chr10-91032614-23
NR673--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR2312--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR427--MA0463.1.Bcl6	chr11	40718341	40718354	+	0.000	0.000	Merged-chr11-40718408-12
NR212--MA0463.1.Bcl6	chr1	182108765	182108778	-	0.000	0.000	Merged-chr1-182108715-18
NR1686--MA0463.1.Bcl6	chr3	109025804	109025817	-	0.000	0.000	Merged-chr3-109025792-30
NR1225--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR445--MA0463.1.Bcl6	chr11	64187012	64187025	+	0.000	0.000	Merged-chr11-64187104-15
NR2427--MA0463.1.Bcl6	chr7	125551776	125551789	-	0.000	0.000	Merged-chr7-125551601-1
NR2686--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR1261--MA0463.1.Bcl6	chr18	36670359	36670372	+	0.000	0.000	Merged-chr18-36670239-51
NR2543--MA0731.1.BCL6B	chr8	109917559	109917575	+	0.000	0.000	Merged-chr8-109917447-24
NR687--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR329--MA0463.1.Bcl6	chr10	75415058	75415071	-	0.000	0.000	Merged-chr10-75415162-28
NR226--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR1127--MA0463.1.Bcl6	chr16	91076424	91076437	-	0.000	0.000	Merged-chr16-91076341-10
NR2123--MA0463.1.Bcl6	chr5	139364756	139364769	-	0.000	0.000	Merged-chr5-139364927-1
NR2329--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR1933--MA0463.1.Bcl6	chr4	129570169	129570182	-	0.000	0.000	Merged-chr4-129570214-45
NR2046--MA0731.1.BCL6B	chr5	58736592	58736608	+	0.000	0.000	Merged-chr5-58736772-10
NR477--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR2426--MA0731.1.BCL6B	chr7	125472257	125472273	-	0.000	0.000	Merged-chr7-125472313-74
NR2253--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR1181--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1705--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR2365--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR2243--MA0731.1.BCL6B	chr6	112207462	112207478	-	0.000	0.000	Merged-chr6-112207426-39
NR169--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR2612--MA0463.1.Bcl6	chr9	65579123	65579136	-	0.000	0.000	Merged-chr9-65579109-6
NR1471--MA0731.1.BCL6B	chr2	91986429	91986445	+	0.000	0.000	Merged-chr2-91986276-9
NR644--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR2519--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1580--MA0731.1.BCL6B	chr2	170205723	170205739	+	0.000	0.000	Merged-chr2-170205615-94
NR1960--MA0731.1.BCL6B	chr4	148998192	148998208	-	0.000	0.000	Merged-chr4-148998288-20
NR322--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR1581--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR2098--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
NR649--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR1335--MA0463.1.Bcl6	chr19	31199619	31199632	+	0.000	0.000	Merged-chr19-31199719-19
NR340--MA0463.1.Bcl6	chr10	89295031	89295044	+	0.000	0.000	Merged-chr10-89294916-1
NR1559--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR1022--MA0463.1.Bcl6	chr16	7234459	7234472	+	0.000	0.000	Merged-chr16-7234365-2
NR2112--MA0463.1.Bcl6	chr5	124496988	124497001	-	0.000	0.000	Merged-chr5-124497096-41
NR2439--MA0463.1.Bcl6	chr7	141064305	141064318	+	0.000	0.000	Merged-chr7-141064290-23
NR1027--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR2569--MA0463.1.Bcl6	chr8	127655655	127655668	-	0.000	0.000	Merged-chr8-127655779-25
NR1712--MA0463.1.Bcl6	chr3	131170339	131170352	-	0.000	0.000	Merged-chr3-131170434-2
NR1325--MA0731.1.BCL6B	chr19	9991434	9991450	-	0.000	0.000	Merged-chr19-9991497-15
NR162--MA0463.1.Bcl6	chr1	155281795	155281808	+	0.000	0.000	Merged-chr1-155281669-27
NR941--MA0463.1.Bcl6	chr15	27518139	27518152	+	0.000	0.000	Merged-chr15-27518308-43
NR1175--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1708--MA0463.1.Bcl6	chr3	129308458	129308471	+	0.000	0.000	Merged-chr3-129308560-67
NR2162--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR1614--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR2704--MA0463.1.Bcl6	chrX	142902319	142902332	+	0.000	0.000	Merged-chrX-142902308-39
NR1744--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1569--MA0731.1.BCL6B	chr2	163401537	163401553	+	0.000	0.000	Merged-chr2-163401452-24
NR1426--MA0731.1.BCL6B	chr2	60204337	60204353	+	0.000	0.000	Merged-chr2-60204421-25
NR1516--MA0463.1.Bcl6	chr2	132022887	132022900	+	0.000	0.000	Merged-chr2-132022814-33
