#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR8533--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR12323--MA0089.1.MAFG::NFE2L1	chr7	141447311	141447316	-	0.000	0.000	Merged-chr7-141447520-63
NR6750--MA0089.1.MAFG::NFE2L1	chr19	7217510	7217515	+	0.000	0.000	Merged-chr19-7217648-56
NR441--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR13228--MA0501.1.MAF::NFE2	chr9	78074144	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR2896--MA0496.2.MAFK	chr12	91765692	91765710	-	0.000	0.000	Merged-chr12-91765630-19
NR3130--MA0501.1.MAF::NFE2	chr13	9027369	9027383	+	0.000	0.000	Merged-chr13-9027395-10
NR8639--MA0495.2.MAFF	chr3	105892539	105892559	+	0.000	0.000	Merged-chr3-105892493-111
NR8538--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR12678--MA0659.1.MAFG	chr8	75084001	75084021	+	0.000	0.000	Merged-chr8-75083999-30
NR5835--MA0495.2.MAFF	chr17	31789317	31789337	-	0.000	0.000	Merged-chr17-31789470-34
NR11205--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR8545--MA0495.2.MAFF	chr3	89872363	89872383	-	0.000	0.000	Merged-chr3-89872416-43
NR13756--MA0089.1.MAFG::NFE2L1	chrX	167231321	167231326	+	0.000	0.000	Merged-chrX-167231316-28
NR3778--MA0501.1.MAF::NFE2	chr13	117284154	117284168	+	0.000	0.000	Merged-chr13-117284235-48
NR11482--MA0089.1.MAFG::NFE2L1	chr6	130246087	130246092	-	0.000	0.000	Merged-chr6-130245976-1
NR1145--MA0501.1.MAF::NFE2	chr10	7470135	7470149	+	0.000	0.000	Merged-chr10-7470291-37
NR9635--MA0495.2.MAFF	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR2859--MA0089.1.MAFG::NFE2L1	chr12	84177283	84177288	+	0.000	0.000	Merged-chr12-84177406-21
NR1182--MA0659.1.MAFG	chr10	12823922	12823942	-	0.000	0.000	Merged-chr10-12823956-45
NR8142--MA0089.1.MAFG::NFE2L1	chr3	22138113	22138118	-	0.000	0.000	Merged-chr3-22138280-48
NR10691--MA0501.1.MAF::NFE2	chr6	3345469	3345483	+	0.000	0.000	Merged-chr6-3345422-65
NR12858--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR122--MA0496.2.MAFK	chr1	21963193	21963211	-	0.000	0.000	Merged-chr1-21963410-76
NR4973--MA0496.2.MAFK	chr15	83149652	83149670	-	0.000	0.000	Merged-chr15-83149470-115
NR13672--MA0495.2.MAFF	chrX	103981222	103981242	+	0.000	0.000	Merged-chrX-103981115-84
NR5154--MA0089.1.MAFG::NFE2L1	chr16	11501222	11501227	+	0.000	0.000	Merged-chr16-11501282-30
NR8100--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR7800--MA0495.2.MAFF	chr2	155082571	155082591	-	0.000	0.000	Merged-chr2-155082625-23
NR9637--MA0659.1.MAFG	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR1825--MA0495.2.MAFF	chr10	99459977	99459997	-	0.000	0.000	Merged-chr10-99459996-60
NR12747--MA0501.1.MAF::NFE2	chr8	83740255	83740269	+	0.000	0.000	Merged-chr8-83740218-49
NR13412--MA0496.2.MAFK	chr9	108150736	108150754	-	0.000	0.000	Merged-chr9-108150702-30
NR13618--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR487--MA0117.2.Mafb	chr1	89741176	89741187	-	0.000	0.000	Merged-chr1-89741042-1
NR11405--MA0089.1.MAFG::NFE2L1	chr6	119522086	119522091	+	0.000	0.000	Merged-chr6-119522115-45
NR1550--MA0501.1.MAF::NFE2	chr10	62590345	62590359	+	0.000	0.000	Merged-chr10-62590420-43
NR4839--MA0496.2.MAFK	chr15	61541266	61541284	+	0.000	0.000	Merged-chr15-61541070-57
NR11607--MA0089.1.MAFG::NFE2L1	chr6	143609272	143609277	+	0.000	0.000	Merged-chr6-143609389-48
NR2468--MA0089.1.MAFG::NFE2L1	chr11	118260066	118260071	+	0.000	0.000	Merged-chr11-118260262-42
NR1265--MA0496.2.MAFK	chr10	20119543	20119561	-	0.000	0.000	Merged-chr10-20119637-31
NR13104--MA0591.1.Bach1::Mafk	chr9	32747939	32747953	+	0.000	0.000	Merged-chr9-32747725-37
NR4272--MA0501.1.MAF::NFE2	chr14	77861021	77861035	+	0.000	0.000	Merged-chr14-77861310-50
NR10967--MA0495.2.MAFF	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR2398--MA0501.1.MAF::NFE2	chr11	100588664	100588678	-	0.000	0.000	Merged-chr11-100588743-35
NR9368--MA0501.1.MAF::NFE2	chr4	62476050	62476064	+	0.000	0.000	Merged-chr4-62476033-55
NR5945--MA0089.1.MAFG::NFE2L1	chr17	56162384	56162389	-	0.000	0.000	Merged-chr17-56162461-54
NR7600--MA0089.1.MAFG::NFE2L1	chr2	127923518	127923523	-	0.000	0.000	Merged-chr2-127923410-36
NR7083--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
NR7790--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR5541--MA0089.1.MAFG::NFE2L1	chr16	78199485	78199490	+	0.000	0.000	Merged-chr16-78199529-2
NR2109--MA0496.2.MAFK	chr11	11573643	11573661	+	0.000	0.000	Merged-chr11-11573827-37
NR6106--MA0089.1.MAFG::NFE2L1	chr17	83846446	83846451	-	0.000	0.000	Merged-chr17-83846499-25
NR10627--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR12245--MA0089.1.MAFG::NFE2L1	chr7	121020597	121020602	-	0.000	0.000	Merged-chr7-121020504-17
NR11730--MA0591.1.Bach1::Mafk	chr7	19332924	19332938	-	0.000	0.000	Merged-chr7-19332998-44
NR2373--MA0496.2.MAFK	chr11	95834502	95834520	+	0.000	0.000	Merged-chr11-95834511-50
NR10069--MA0117.2.Mafb	chr5	28071845	28071856	-	0.000	0.000	Merged-chr5-28071950-1
NR13227--MA0659.1.MAFG	chr9	78074138	78074158	-	0.000	0.000	Merged-chr9-78074095-46
NR12257--MA0591.1.Bach1::Mafk	chr7	126369619	126369633	-	0.000	0.000	Merged-chr7-126369585-49
NR4879--MA0591.1.Bach1::Mafk	chr15	66824942	66824956	-	0.000	0.000	Merged-chr15-66824845-11
NR5885--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR12155--MA0659.1.MAFG	chr7	104465137	104465157	-	0.000	0.000	Merged-chr7-104465292-53
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR3018--MA0659.1.MAFG	chr12	114615864	114615884	-	0.000	0.000	Merged-chr12-114615725-85
NR7357--MA0496.2.MAFK	chr2	75823973	75823991	-	0.000	0.000	Merged-chr2-75823994-29
NR12536--MA0591.1.Bach1::Mafk	chr8	47991102	47991116	-	0.000	0.000	Merged-chr8-47991152-4
NR13678--MA0089.1.MAFG::NFE2L1	chrX	106136059	106136064	+	0.000	0.000	Merged-chrX-106135909-80
NR7424--MA0089.1.MAFG::NFE2L1	chr2	91265163	91265168	-	0.000	0.000	Merged-chr2-91265194-57
NR12950--MA0495.2.MAFF	chr8	125557551	125557571	-	0.000	0.000	Merged-chr8-125557520-11
NR3986--MA0089.1.MAFG::NFE2L1	chr14	20674182	20674187	+	0.000	0.000	Merged-chr14-20674407-80
NR6619--MA0591.1.Bach1::Mafk	chr18	75331121	75331135	+	0.000	0.000	Merged-chr18-75331173-4
NR5323--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR4694--MA0117.2.Mafb	chr15	31460756	31460767	+	0.000	0.000	Merged-chr15-31460865-20
NR8099--MA0501.1.MAF::NFE2	chr3	18623973	18623987	+	0.000	0.000	Merged-chr3-18624063-31
NR3001--MA0501.1.MAF::NFE2	chr12	107996272	107996286	+	0.000	0.000	Merged-chr12-107996436-13
NR10517--MA0117.2.Mafb	chr5	121335516	121335527	+	0.000	0.000	Merged-chr5-121335584-25
NR7884--MA0501.1.MAF::NFE2	chr2	167004604	167004618	+	0.000	0.000	Merged-chr2-167004660-28
NR10302--MA0117.2.Mafb	chr5	75645649	75645660	-	0.000	0.000	Merged-chr5-75645576-13
NR8015--MA0117.2.Mafb	chr2	180456471	180456482	+	0.000	0.000	Merged-chr2-180456418-79
NR9224--MA0495.2.MAFF	chr4	40773395	40773415	-	0.000	0.000	Merged-chr4-40773188-44
NR2377--MA0089.1.MAFG::NFE2L1	chr11	97684305	97684310	-	0.000	0.000	Merged-chr11-97684318-65
NR13124--MA0117.2.Mafb	chr9	41181626	41181637	+	0.000	0.000	Merged-chr9-41181548-13
NR5322--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR12340--MA0501.1.MAF::NFE2	chr8	3711786	3711800	+	0.000	0.000	Merged-chr8-3711702-3
NR1259--MA0089.1.MAFG::NFE2L1	chr10	19597194	19597199	+	0.000	0.000	Merged-chr10-19597137-35
NR8668--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR3129--MA0089.1.MAFG::NFE2L1	chr13	8831748	8831753	+	0.000	0.000	Merged-chr13-8831757-38
NR7624--MA0089.1.MAFG::NFE2L1	chr2	132497656	132497661	-	0.000	0.000	Merged-chr2-132497706-22
NR2046--MA0591.1.Bach1::Mafk	chr10	130311781	130311795	-	0.000	0.000	Merged-chr10-130311798-35
NR873--MA0117.2.Mafb	chr1	161660870	161660881	+	0.000	0.000	Merged-chr1-161660991-11
NR9260--MA0495.2.MAFF	chr4	48039926	48039946	+	0.000	0.000	Merged-chr4-48039854-22
NR3291--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR9452--MA0496.2.MAFK	chr4	75279033	75279051	+	0.000	0.000	Merged-chr4-75279089-1
NR13474--MA0089.1.MAFG::NFE2L1	chr9	115526462	115526467	-	0.000	0.000	Merged-chr9-115526484-32
NR12039--MA0117.2.Mafb	chr7	83144175	83144186	+	0.000	0.000	Merged-chr7-83144158-16
NR12646--MA0591.1.Bach1::Mafk	chr8	70549976	70549990	+	0.000	0.000	Merged-chr8-70549860-20
NR8297--MA0501.1.MAF::NFE2	chr3	52555202	52555216	+	0.000	0.000	Merged-chr3-52555195-52
NR5066--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR9771--MA0089.1.MAFG::NFE2L1	chr4	145263661	145263666	-	0.000	0.000	Merged-chr4-145263821-10
NR8351--MA0089.1.MAFG::NFE2L1	chr3	60639296	60639301	-	0.000	0.000	Merged-chr3-60639254-17
NR7455--MA0501.1.MAF::NFE2	chr2	101678621	101678635	+	0.000	0.000	Merged-chr2-101678794-92
NR2328--MA0501.1.MAF::NFE2	chr11	79130172	79130186	+	0.000	0.000	Merged-chr11-79129992-68
NR8134--MA0496.2.MAFK	chr3	21917648	21917666	+	0.000	0.000	Merged-chr3-21917648-70
NR5867--MA0089.1.MAFG::NFE2L1	chr17	35121402	35121407	+	0.000	0.000	Merged-chr17-35121514-61
NR10082--MA0089.1.MAFG::NFE2L1	chr5	33039547	33039552	-	0.000	0.000	Merged-chr5-33039465-62
NR5989--MA0591.1.Bach1::Mafk	chr17	65961962	65961976	-	0.000	0.000	Merged-chr17-65961846-52
NR4910--MA0089.1.MAFG::NFE2L1	chr15	73506517	73506522	+	0.000	0.000	Merged-chr15-73506445-5
NR7248--MA0501.1.MAF::NFE2	chr2	58107023	58107037	+	0.000	0.000	Merged-chr2-58107175-53
NR776--MA0089.1.MAFG::NFE2L1	chr1	143907539	143907544	-	0.000	0.000	Merged-chr1-143907495-7
NR1898--MA0495.2.MAFF	chr10	107858904	107858924	+	0.000	0.000	Merged-chr10-107858878-12
NR3201--MA0089.1.MAFG::NFE2L1	chr13	23556211	23556216	-	0.000	0.000	Merged-chr13-23556170-26
NR6649--MA0495.2.MAFF	chr18	80612045	80612065	-	0.000	0.000	Merged-chr18-80611991-79
NR2475--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR3851--MA0117.2.Mafb	chr14	8157092	8157103	+	0.000	0.000	Merged-chr14-8157136-4
NR11924--MA0501.1.MAF::NFE2	chr7	66661725	66661739	+	0.000	0.000	Merged-chr7-66661793-46
NR4835--MA0501.1.MAF::NFE2	chr15	60141740	60141754	-	0.000	0.000	Merged-chr15-60141822-49
NR11325--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR7819--MA0496.2.MAFK	chr2	157131379	157131397	+	0.000	0.000	Merged-chr2-157131278-25
NR2864--MA0591.1.Bach1::Mafk	chr12	85705547	85705561	-	0.000	0.000	Merged-chr12-85705502-111
NR1629--MA0496.2.MAFK	chr10	70903744	70903762	+	0.000	0.000	Merged-chr10-70903939-1
NR5852--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR13156--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR9851--MA0501.1.MAF::NFE2	chr4	152186854	152186868	-	0.000	0.000	Merged-chr4-152186778-42
NR11627--MA0089.1.MAFG::NFE2L1	chr6	144726015	144726020	-	0.000	0.000	Merged-chr6-144725993-9
NR12158--MA0496.2.MAFK	chr7	104465138	104465156	-	0.000	0.000	Merged-chr7-104465292-53
NR1320--MA0496.2.MAFK	chr10	29313191	29313209	-	0.000	0.000	Merged-chr10-29313390-69
NR674--MA0089.1.MAFG::NFE2L1	chr1	120293792	120293797	+	0.000	0.000	Merged-chr1-120293929-5
NR13611--MA0495.2.MAFF	chrX	71468813	71468833	+	0.000	0.000	Merged-chrX-71468864-48
NR8853--MA0089.1.MAFG::NFE2L1	chr3	138008297	138008302	+	0.000	0.000	Merged-chr3-138008366-30
NR4832--MA0495.2.MAFF	chr15	60141740	60141760	+	0.000	0.000	Merged-chr15-60141822-49
NR1659--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR2757--MA0591.1.Bach1::Mafk	chr12	54313282	54313296	+	0.000	0.000	Merged-chr12-54313214-97
NR5841--MA0591.1.Bach1::Mafk	chr17	32634940	32634954	-	0.000	0.000	Merged-chr17-32635115-43
NR4218--MA0591.1.Bach1::Mafk	chr14	57665053	57665067	+	0.000	0.000	Merged-chr14-57665003-92
NR11929--MA0089.1.MAFG::NFE2L1	chr7	68070809	68070814	-	0.000	0.000	Merged-chr7-68070882-29
NR5326--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR8537--MA0591.1.Bach1::Mafk	chr3	88503280	88503294	+	0.000	0.000	Merged-chr3-88503323-39
NR11438--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR9493--MA0089.1.MAFG::NFE2L1	chr4	84091793	84091798	+	0.000	0.000	Merged-chr4-84091835-3
NR2578--MA0501.1.MAF::NFE2	chr12	25240223	25240237	+	0.000	0.000	Merged-chr12-25240283-42
NR3949--MA0591.1.Bach1::Mafk	chr14	15747084	15747098	+	0.000	0.000	Merged-chr14-15746987-40
NR7709--MA0591.1.Bach1::Mafk	chr2	143839408	143839422	-	0.000	0.000	Merged-chr2-143839351-69
NR44--MA0089.1.MAFG::NFE2L1	chr1	10037936	10037941	+	0.000	0.000	Merged-chr1-10038044-60
NR7620--MA0089.1.MAFG::NFE2L1	chr2	132110874	132110879	-	0.000	0.000	Merged-chr2-132110934-3
NR11410--MA0089.1.MAFG::NFE2L1	chr6	119918737	119918742	+	0.000	0.000	Merged-chr6-119918835-40
NR7752--MA0496.2.MAFK	chr2	148408352	148408370	+	0.000	0.000	Merged-chr2-148408263-26
NR6895--MA0496.2.MAFK	chr2	4864668	4864686	+	0.000	0.000	Merged-chr2-4864669-14
NR1974--MA0591.1.Bach1::Mafk	chr10	118722058	118722072	+	0.000	0.000	Merged-chr10-118722050-7
NR8643--MA0659.1.MAFG	chr3	105892539	105892559	-	0.000	0.000	Merged-chr3-105892493-111
NR9840--MA0117.2.Mafb	chr4	149104134	149104145	+	0.000	0.000	Merged-chr4-149104249-48
NR4861--MA0659.1.MAFG	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR2179--MA0591.1.Bach1::Mafk	chr11	26640671	26640685	-	0.000	0.000	Merged-chr11-26640535-47
NR12756--MA0089.1.MAFG::NFE2L1	chr8	84689264	84689269	-	0.000	0.000	Merged-chr8-84689283-39
NR874--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR1109--MA0501.1.MAF::NFE2	chr1	194600273	194600287	+	0.000	0.000	Merged-chr1-194600218-2
NR10629--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR1980--MA0501.1.MAF::NFE2	chr10	121334826	121334840	-	0.000	0.000	Merged-chr10-121334819-22
NR4994--MA0591.1.Bach1::Mafk	chr15	91172432	91172446	-	0.000	0.000	Merged-chr15-91172371-1
NR8186--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR673--MA0501.1.MAF::NFE2	chr1	120197405	120197419	+	0.000	0.000	Merged-chr1-120197360-57
NR3630--MA0496.2.MAFK	chr13	99385148	99385166	+	0.000	0.000	Merged-chr13-99385105-49
NR1240--MA0089.1.MAFG::NFE2L1	chr10	16930232	16930237	+	0.000	0.000	Merged-chr10-16930100-2
NR9191--MA0117.2.Mafb	chr4	33310234	33310245	-	0.000	0.000	Merged-chr4-33310385-59
NR2581--MA0495.2.MAFF	chr12	25256485	25256505	-	0.000	0.000	Merged-chr12-25256439-11
NR5285--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR10218--MA0089.1.MAFG::NFE2L1	chr5	64371445	64371450	-	0.000	0.000	Merged-chr5-64371502-26
NR2180--MA0501.1.MAF::NFE2	chr11	26640674	26640688	+	0.000	0.000	Merged-chr11-26640535-47
NR181--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR5950--MA0089.1.MAFG::NFE2L1	chr17	56819798	56819803	+	0.000	0.000	Merged-chr17-56819789-51
NR2113--MA0659.1.MAFG	chr11	11766210	11766230	-	0.000	0.000	Merged-chr11-11766225-56
NR7559--MA0089.1.MAFG::NFE2L1	chr2	121271577	121271582	+	0.000	0.000	Merged-chr2-121271299-80
NR10592--MA0496.2.MAFK	chr5	135134346	135134364	-	0.000	0.000	Merged-chr5-135134293-53
NR11823--MA0591.1.Bach1::Mafk	chr7	44527955	44527969	-	0.000	0.000	Merged-chr7-44527953-37
NR6902--MA0117.2.Mafb	chr2	5404114	5404125	+	0.000	0.000	Merged-chr2-5404009-10
NR1923--MA0659.1.MAFG	chr10	111107640	111107660	-	0.000	0.000	Merged-chr10-111107692-40
NR7350--MA0495.2.MAFF	chr2	75823972	75823992	-	0.000	0.000	Merged-chr2-75823994-29
NR5349--MA0496.2.MAFK	chr16	52468521	52468539	+	0.000	0.000	Merged-chr16-52468577-24
NR10091--MA0089.1.MAFG::NFE2L1	chr5	36465041	36465046	-	0.000	0.000	Merged-chr5-36465079-55
NR11324--MA0496.2.MAFK	chr6	108426943	108426961	+	0.000	0.000	Merged-chr6-108426934-21
NR6817--MA0089.1.MAFG::NFE2L1	chr19	32409821	32409826	+	0.000	0.000	Merged-chr19-32409832-17
NR11250--MA0117.2.Mafb	chr6	97294129	97294140	-	0.000	0.000	Merged-chr6-97294114-106
NR13506--MA0117.2.Mafb	chr9	123723235	123723246	+	0.000	0.000	Merged-chr9-123723255-25
NR4167--MA0089.1.MAFG::NFE2L1	chr14	47518828	47518833	+	0.000	0.000	Merged-chr14-47518812-18
NR4277--MA0496.2.MAFK	chr14	78273821	78273839	-	0.000	0.000	Merged-chr14-78273841-14
NR4607--MA0591.1.Bach1::Mafk	chr15	12667948	12667962	-	0.000	0.000	Merged-chr15-12668076-24
NR13168--MA0496.2.MAFK	chr9	61708040	61708058	-	0.000	0.000	Merged-chr9-61708026-57
NR7069--MA0501.1.MAF::NFE2	chr2	27693889	27693903	+	0.000	0.000	Merged-chr2-27693880-30
NR1802--MA0117.2.Mafb	chr10	96274309	96274320	-	0.000	0.000	Merged-chr10-96274144-52
NR7002--MA0501.1.MAF::NFE2	chr2	16568275	16568289	-	0.000	0.000	Merged-chr2-16568402-24
NR8406--MA0117.2.Mafb	chr3	69156710	69156721	+	0.000	0.000	Merged-chr3-69156652-55
NR10393--MA0089.1.MAFG::NFE2L1	chr5	93136944	93136949	+	0.000	0.000	Merged-chr5-93137054-42
NR13406--MA0495.2.MAFF	chr9	108150735	108150755	-	0.000	0.000	Merged-chr9-108150702-30
NR9327--MA0089.1.MAFG::NFE2L1	chr4	56088685	56088690	+	0.000	0.000	Merged-chr4-56088865-1
NR8588--MA0501.1.MAF::NFE2	chr3	95434258	95434272	-	0.000	0.000	Merged-chr3-95434415-68
NR12908--MA0591.1.Bach1::Mafk	chr8	115844180	115844194	-	0.000	0.000	Merged-chr8-115844208-1
NR6130--MA0496.2.MAFK	chr17	86063693	86063711	-	0.000	0.000	Merged-chr17-86063661-27
NR6743--MA0501.1.MAF::NFE2	chr19	5850313	5850327	-	0.000	0.000	Merged-chr19-5850230-41
NR4065--MA0089.1.MAFG::NFE2L1	chr14	36316078	36316083	+	0.000	0.000	Merged-chr14-36316254-1
NR13408--MA0659.1.MAFG	chr9	108150735	108150755	+	0.000	0.000	Merged-chr9-108150702-30
NR4656--MA0089.1.MAFG::NFE2L1	chr15	25817422	25817427	-	0.000	0.000	Merged-chr15-25817272-36
NR5083--MA0659.1.MAFG	chr16	4736340	4736360	-	0.000	0.000	Merged-chr16-4736414-28
NR13314--MA0659.1.MAFG	chr9	90257560	90257580	-	0.000	0.000	Merged-chr9-90257512-5
NR4837--MA0496.2.MAFK	chr15	60141741	60141759	-	0.000	0.000	Merged-chr15-60141822-49
