#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR9501--MA0511.2.RUNX2	chrX	77580137	77580145	-	0.000	0.000	Merged-chrX-77580117-37
NR2288--MA0511.2.RUNX2	chr13	12520212	12520220	-	0.000	0.000	Merged-chr13-12520187-58
NR1749--MA0002.2.RUNX1	chr11	118232694	118232704	-	0.000	0.000	Merged-chr11-118232579-51
NR3492--MA0684.1.RUNX3	chr15	80572481	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR7868--MA0511.2.RUNX2	chr6	120957519	120957527	-	0.000	0.000	Merged-chr6-120957473-22
NR1335--MA0002.2.RUNX1	chr10	128991149	128991159	+	0.000	0.000	Merged-chr10-128991197-23
NR3366--MA0511.2.RUNX2	chr15	50841965	50841973	+	0.000	0.000	Merged-chr15-50841998-15
NR5300--MA0684.1.RUNX3	chr2	112510301	112510310	-	0.000	0.000	Merged-chr2-112510265-49
NR7769--MA0002.2.RUNX1	chr6	100072752	100072762	+	0.000	0.000	Merged-chr6-100072784-7
NR5423--MA0002.2.RUNX1	chr2	144224564	144224574	+	0.000	0.000	Merged-chr2-144224483-67
NR1735--MA0684.1.RUNX3	chr11	117872035	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR3267--MA0002.2.RUNX1	chr15	27596891	27596901	+	0.000	0.000	Merged-chr15-27596992-56
NR7232--MA0684.1.RUNX3	chr5	106677005	106677014	+	0.000	0.000	Merged-chr5-106676986-37
NR5281--MA0684.1.RUNX3	chr2	104177463	104177472	-	0.000	0.000	Merged-chr2-104177493-61
NR4964--MA0002.2.RUNX1	chr2	21222924	21222934	-	0.000	0.000	Merged-chr2-21222970-39
NR5347--MA0684.1.RUNX3	chr2	128153203	128153212	-	0.000	0.000	Merged-chr2-128153146-97
NR1444--MA0002.2.RUNX1	chr11	30182877	30182887	+	0.000	0.000	Merged-chr11-30182963-54
NR5426--MA0511.2.RUNX2	chr2	144594337	144594345	-	0.000	0.000	Merged-chr2-144594184-54
NR3475--MA0511.2.RUNX2	chr15	78422731	78422739	-	0.000	0.000	Merged-chr15-78422686-21
NR9558--MA0002.2.RUNX1	chrX	140505997	140506007	+	0.000	0.000	Merged-chrX-140506133-71
NR1368--MA0684.1.RUNX3	chr11	8663613	8663622	-	0.000	0.000	Merged-chr11-8663603-1
NR3647--MA0002.2.RUNX1	chr16	21689352	21689362	-	0.000	0.000	Merged-chr16-21689391-19
NR1696--MA0002.2.RUNX1	chr11	108223122	108223132	+	0.000	0.000	Merged-chr11-108223138-56
NR3332--MA0511.2.RUNX2	chr15	41846676	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR7193--MA0002.2.RUNX1	chr5	98016941	98016951	-	0.000	0.000	Merged-chr5-98016849-63
NR7420--MA0511.2.RUNX2	chr6	8068567	8068575	+	0.000	0.000	Merged-chr6-8068549-6
NR4725--MA0002.2.RUNX1	chr18	84851321	84851331	+	0.000	0.000	Merged-chr18-84851440-69
NR7196--MA0511.2.RUNX2	chr5	100585346	100585354	+	0.000	0.000	Merged-chr5-100585262-59
NR5121--MA0511.2.RUNX2	chr2	58282830	58282838	+	0.000	0.000	Merged-chr2-58282647-50
NR9253--MA0002.2.RUNX1	chr9	89212725	89212735	-	0.000	0.000	Merged-chr9-89212688-42
NR7516--MA0684.1.RUNX3	chr6	34277855	34277864	+	0.000	0.000	Merged-chr6-34277890-22
NR7324--MA0511.2.RUNX2	chr5	130139569	130139577	-	0.000	0.000	Merged-chr5-130139526-15
NR3964--MA0511.2.RUNX2	chr16	95985000	95985008	-	0.000	0.000	Merged-chr16-95985074-35
NR4563--MA0002.2.RUNX1	chr18	54722728	54722738	+	0.000	0.000	Merged-chr18-54722634-2
NR4834--MA0002.2.RUNX1	chr19	41656259	41656269	+	0.000	0.000	Merged-chr19-41656223-24
NR1208--MA0511.2.RUNX2	chr10	96609528	96609536	+	0.000	0.000	Merged-chr10-96609713-52
NR5545--MA0002.2.RUNX1	chr2	172390742	172390752	+	0.000	0.000	Merged-chr2-172390550-32
NR1857--MA0684.1.RUNX3	chr12	26057915	26057924	+	0.000	0.000	Merged-chr12-26057851-43
NR31--MA0511.2.RUNX2	chr1	10325539	10325547	+	0.000	0.000	Merged-chr1-10325689-27
NR7605--MA0002.2.RUNX1	chr6	54737935	54737945	-	0.000	0.000	Merged-chr6-54737770-65
NR410--MA0684.1.RUNX3	chr1	105435211	105435220	-	0.000	0.000	Merged-chr1-105435161-34
NR9365--MA0511.2.RUNX2	chr9	115387674	115387682	-	0.000	0.000	Merged-chr9-115387656-46
NR1695--MA0684.1.RUNX3	chr11	106961728	106961737	+	0.000	0.000	Merged-chr11-106961822-47
NR7192--MA0684.1.RUNX3	chr5	97983545	97983554	-	0.000	0.000	Merged-chr5-97983447-49
NR4800--MA0002.2.RUNX1	chr19	21623557	21623567	+	0.000	0.000	Merged-chr19-21623609-22
NR7586--MA0002.2.RUNX1	chr6	49354750	49354760	+	0.000	0.000	Merged-chr6-49354722-8
NR7857--MA0002.2.RUNX1	chr6	120081901	120081911	+	0.000	0.000	Merged-chr6-120081758-25
NR6831--MA0511.2.RUNX2	chr4	155306844	155306852	+	0.000	0.000	Merged-chr4-155306831-50
NR4880--MA0511.2.RUNX2	chr2	3810495	3810503	-	0.000	0.000	Merged-chr2-3810542-48
NR3027--MA0684.1.RUNX3	chr14	74949176	74949185	-	0.000	0.000	Merged-chr14-74949035-55
NR7066--MA0511.2.RUNX2	chr5	65929347	65929355	+	0.000	0.000	Merged-chr5-65929353-41
NR9395--MA0684.1.RUNX3	chr9	119744241	119744250	-	0.000	0.000	Merged-chr9-119744132-67
NR3007--MA0002.2.RUNX1	chr14	69979173	69979183	+	0.000	0.000	Merged-chr14-69979172-46
NR9523--MA0684.1.RUNX3	chrX	93905790	93905799	+	0.000	0.000	Merged-chrX-93905707-8
NR708--MA0002.2.RUNX1	chr1	179240818	179240828	-	0.000	0.000	Merged-chr1-179240877-38
NR4704--MA0002.2.RUNX1	chr18	81572268	81572278	-	0.000	0.000	Merged-chr18-81572136-24
NR9126--MA0511.2.RUNX2	chr9	58280708	58280716	-	0.000	0.000	Merged-chr9-58280700-28
NR6841--MA0002.2.RUNX1	chr5	3887153	3887163	-	0.000	0.000	Merged-chr5-3887091-30
NR8650--MA0684.1.RUNX3	chr8	35628486	35628495	-	0.000	0.000	Merged-chr8-35628375-52
NR3196--MA0511.2.RUNX2	chr14	121846234	121846242	-	0.000	0.000	Merged-chr14-121846246-16
NR4542--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR9279--MA0002.2.RUNX1	chr9	94621077	94621087	+	0.000	0.000	Merged-chr9-94620917-97
NR9235--MA0511.2.RUNX2	chr9	85671752	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR7284--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR132--MA0002.2.RUNX1	chr1	39896692	39896702	+	0.000	0.000	Merged-chr1-39896761-43
NR1439--MA0511.2.RUNX2	chr11	30166353	30166361	+	0.000	0.000	Merged-chr11-30166468-16
NR2971--MA0002.2.RUNX1	chr14	60072651	60072661	-	0.000	0.000	Merged-chr14-60072713-24
NR7108--MA0002.2.RUNX1	chr5	77096146	77096156	+	0.000	0.000	Merged-chr5-77096159-4
NR7393--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR3477--MA0002.2.RUNX1	chr15	78516016	78516026	-	0.000	0.000	Merged-chr15-78515914-15
NR3704--MA0511.2.RUNX2	chr16	35741829	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR6983--MA0684.1.RUNX3	chr5	39329129	39329138	+	0.000	0.000	Merged-chr5-39328996-4
NR5365--MA0511.2.RUNX2	chr2	132643379	132643387	-	0.000	0.000	Merged-chr2-132643452-47
NR6711--MA0002.2.RUNX1	chr4	134041640	134041650	-	0.000	0.000	Merged-chr4-134041766-28
NR4760--MA0002.2.RUNX1	chr19	8519118	8519128	-	0.000	0.000	Merged-chr19-8519085-2
NR5143--MA0684.1.RUNX3	chr2	60774692	60774701	+	0.000	0.000	Merged-chr2-60774747-55
NR4826--MA0002.2.RUNX1	chr19	34306975	34306985	-	0.000	0.000	Merged-chr19-34306924-50
NR621--MA0002.2.RUNX1	chr1	164966197	164966207	-	0.000	0.000	Merged-chr1-164966286-53
NR1306--MA0002.2.RUNX1	chr10	121189337	121189347	-	0.000	0.000	Merged-chr10-121189304-59
NR9149--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR1657--MA0511.2.RUNX2	chr11	97728537	97728545	+	0.000	0.000	Merged-chr11-97728662-57
NR8500--MA0002.2.RUNX1	chr7	140195062	140195072	+	0.000	0.000	Merged-chr7-140195109-1
NR1558--MA0002.2.RUNX1	chr11	70594816	70594826	+	0.000	0.000	Merged-chr11-70594778-39
NR4393--MA0002.2.RUNX1	chr17	88256245	88256255	-	0.000	0.000	Merged-chr17-88256193-58
NR8851--MA0511.2.RUNX2	chr8	111821359	111821367	+	0.000	0.000	Merged-chr8-111821367-66
NR8481--MA0002.2.RUNX1	chr7	132672698	132672708	-	0.000	0.000	Merged-chr7-132672749-42
NR1144--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR7726--MA0684.1.RUNX3	chr6	86850880	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR9529--MA0002.2.RUNX1	chrX	101128786	101128796	-	0.000	0.000	Merged-chrX-101128722-47
NR1544--MA0684.1.RUNX3	chr11	58978065	58978074	-	0.000	0.000	Merged-chr11-58978003-101
NR7805--MA0511.2.RUNX2	chr6	108535571	108535579	-	0.000	0.000	Merged-chr6-108535473-34
NR3618--MA0002.2.RUNX1	chr16	13409816	13409826	-	0.000	0.000	Merged-chr16-13409957-27
NR4921--MA0684.1.RUNX3	chr2	13573900	13573909	+	0.000	0.000	Merged-chr2-13573939-7
NR3303--MA0511.2.RUNX2	chr15	36565768	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR5427--MA0684.1.RUNX3	chr2	144594336	144594345	-	0.000	0.000	Merged-chr2-144594184-54
NR3476--MA0684.1.RUNX3	chr15	78422730	78422739	-	0.000	0.000	Merged-chr15-78422686-21
NR9244--MA0684.1.RUNX3	chr9	86624320	86624329	-	0.000	0.000	Merged-chr9-86624608-86
NR5235--MA0511.2.RUNX2	chr2	84827250	84827258	-	0.000	0.000	Merged-chr2-84827189-69
NR7293--MA0684.1.RUNX3	chr5	120577171	120577180	+	0.000	0.000	Merged-chr5-120577035-13
NR2745--MA0002.2.RUNX1	chr13	119463426	119463436	+	0.000	0.000	Merged-chr13-119463403-2
NR763--MA0684.1.RUNX3	chr1	189795638	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR5136--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR9118--MA0511.2.RUNX2	chr9	56465409	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR8513--MA0002.2.RUNX1	chr7	143005586	143005596	-	0.000	0.000	Merged-chr7-143005288-104
NR4825--MA0684.1.RUNX3	chr19	33265323	33265332	-	0.000	0.000	Merged-chr19-33265390-26
NR571--MA0511.2.RUNX2	chr1	150396149	150396157	+	0.000	0.000	Merged-chr1-150396130-66
NR4948--MA0002.2.RUNX1	chr2	18821743	18821753	+	0.000	0.000	Merged-chr2-18821841-56
NR5536--MA0684.1.RUNX3	chr2	170219240	170219249	+	0.000	0.000	Merged-chr2-170219301-96
NR2997--MA0002.2.RUNX1	chr14	66843192	66843202	-	0.000	0.000	Merged-chr14-66843142-3
NR2602--MA0002.2.RUNX1	chr13	96995393	96995403	-	0.000	0.000	Merged-chr13-96995429-17
NR472--MA0002.2.RUNX1	chr1	127830381	127830391	-	0.000	0.000	Merged-chr1-127830460-48
NR5122--MA0684.1.RUNX3	chr2	58282830	58282839	+	0.000	0.000	Merged-chr2-58282647-50
NR2854--MA0002.2.RUNX1	chr14	20503206	20503216	-	0.000	0.000	Merged-chr14-20503247-33
NR7276--MA0511.2.RUNX2	chr5	118082072	118082080	-	0.000	0.000	Merged-chr5-118082270-75
NR1014--MA0002.2.RUNX1	chr10	53348547	53348557	+	0.000	0.000	Merged-chr10-53348557-41
NR2506--MA0002.2.RUNX1	chr13	74854487	74854497	-	0.000	0.000	Merged-chr13-74854551-37
NR581--MA0002.2.RUNX1	chr1	153480848	153480858	-	0.000	0.000	Merged-chr1-153480680-38
NR3217--MA0002.2.RUNX1	chr15	5108552	5108562	+	0.000	0.000	Merged-chr15-5108448-64
NR5248--MA0511.2.RUNX2	chr2	91042847	91042855	+	0.000	0.000	Merged-chr2-91042928-59
NR1888--MA0511.2.RUNX2	chr12	36019763	36019771	-	0.000	0.000	Merged-chr12-36019766-41
NR5149--MA0002.2.RUNX1	chr2	61514183	61514193	+	0.000	0.000	Merged-chr2-61514287-58
NR3198--MA0002.2.RUNX1	chr14	122012007	122012017	-	0.000	0.000	Merged-chr14-122012077-50
NR3425--MA0511.2.RUNX2	chr15	67130174	67130182	+	0.000	0.000	Merged-chr15-67130106-32
NR4900--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR2744--MA0684.1.RUNX3	chr13	117242260	117242269	+	0.000	0.000	Merged-chr13-117242416-107
NR5135--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR5258--MA0002.2.RUNX1	chr2	93823797	93823807	-	0.000	0.000	Merged-chr2-93823719-41
NR693--MA0511.2.RUNX2	chr1	176845711	176845719	-	0.000	0.000	Merged-chr1-176845739-2
NR2724--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR7351--MA0511.2.RUNX2	chr5	139303758	139303766	+	0.000	0.000	Merged-chr5-139303910-62
NR7398--MA0511.2.RUNX2	chr5	149255708	149255716	-	0.000	0.000	Merged-chr5-149255735-4
NR6793--MA0002.2.RUNX1	chr4	148102320	148102330	+	0.000	0.000	Merged-chr4-148102321-24
NR8873--MA0684.1.RUNX3	chr8	116600002	116600011	-	0.000	0.000	Merged-chr8-116599891-26
NR1265--MA0684.1.RUNX3	chr10	111996401	111996410	+	0.000	0.000	Merged-chr10-111996570-172
NR4642--MA0684.1.RUNX3	chr18	69547155	69547164	+	0.000	0.000	Merged-chr18-69547283-22
NR7156--MA0002.2.RUNX1	chr5	92603164	92603174	+	0.000	0.000	Merged-chr5-92603127-58
NR1615--MA0511.2.RUNX2	chr11	84829171	84829179	+	0.000	0.000	Merged-chr11-84829158-56
NR1788--MA0684.1.RUNX3	chr12	3755620	3755629	-	0.000	0.000	Merged-chr12-3755769-11
NR1960--MA0002.2.RUNX1	chr12	55367005	55367015	-	0.000	0.000	Merged-chr12-55366796-37
NR4622--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR9359--MA0002.2.RUNX1	chr9	114440787	114440797	+	0.000	0.000	Merged-chr9-114440811-53
NR2671--MA0002.2.RUNX1	chr13	108303579	108303589	+	0.000	0.000	Merged-chr13-108303499-73
NR6924--MA0511.2.RUNX2	chr5	23387127	23387135	+	0.000	0.000	Merged-chr5-23387051-61
NR2737--MA0002.2.RUNX1	chr13	117193644	117193654	+	0.000	0.000	Merged-chr13-117193569-3
NR212--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR3448--MA0002.2.RUNX1	chr15	73225334	73225344	-	0.000	0.000	Merged-chr15-73225223-4
NR292--MA0511.2.RUNX2	chr1	82893719	82893727	-	0.000	0.000	Merged-chr1-82893598-7
NR4874--MA0002.2.RUNX1	chr19	58238493	58238503	+	0.000	0.000	Merged-chr19-58238492-37
NR7208--MA0684.1.RUNX3	chr5	101937984	101937993	+	0.000	0.000	Merged-chr5-101938144-3
NR2989--MA0002.2.RUNX1	chr14	64884970	64884980	+	0.000	0.000	Merged-chr14-64885056-34
NR2674--MA0511.2.RUNX2	chr13	108667266	108667274	-	0.000	0.000	Merged-chr13-108667281-5
NR420--MA0511.2.RUNX2	chr1	106612882	106612890	+	0.000	0.000	Merged-chr1-106612861-63
NR3163--MA0684.1.RUNX3	chr14	118658446	118658455	+	0.000	0.000	Merged-chr14-118658326-68
NR987--MA0002.2.RUNX1	chr10	39793434	39793444	+	0.000	0.000	Merged-chr10-39793457-38
NR8343--MA0002.2.RUNX1	chr7	90131275	90131285	+	0.000	0.000	Merged-chr7-90131300-10
NR5716--MA0511.2.RUNX2	chr3	37978662	37978670	-	0.000	0.000	Merged-chr3-37978790-50
NR4906--MA0002.2.RUNX1	chr2	11195199	11195209	+	0.000	0.000	Merged-chr2-11195107-54
NR7026--MA0002.2.RUNX1	chr5	53355323	53355333	+	0.000	0.000	Merged-chr5-53355267-30
NR5349--MA0511.2.RUNX2	chr2	129180169	129180177	-	0.000	0.000	Merged-chr2-129180074-1
NR2588--MA0002.2.RUNX1	chr13	95517998	95518008	-	0.000	0.000	Merged-chr13-95518086-22
NR3718--MA0684.1.RUNX3	chr16	36588197	36588206	+	0.000	0.000	Merged-chr16-36588182-35
NR8290--MA0002.2.RUNX1	chr7	74599961	74599971	+	0.000	0.000	Merged-chr7-74599992-6
NR8356--MA0002.2.RUNX1	chr7	96456512	96456522	-	0.000	0.000	Merged-chr7-96456783-25
NR605--MA0002.2.RUNX1	chr1	161794746	161794756	+	0.000	0.000	Merged-chr1-161794797-65
NR4330--MA0002.2.RUNX1	chr17	71598817	71598827	+	0.000	0.000	Merged-chr17-71598732-66
NR7387--MA0002.2.RUNX1	chr5	148501500	148501510	+	0.000	0.000	Merged-chr5-148501527-73
NR2174--MA0002.2.RUNX1	chr12	114804630	114804640	-	0.000	0.000	Merged-chr12-114804708-39
NR3304--MA0684.1.RUNX3	chr15	36565767	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR1148--MA0684.1.RUNX3	chr10	85035480	85035489	-	0.000	0.000	Merged-chr10-85035484-19
NR857--MA0002.2.RUNX1	chr10	13925648	13925658	-	0.000	0.000	Merged-chr10-13925632-1
NR7138--MA0511.2.RUNX2	chr5	89198657	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR8879--MA0002.2.RUNX1	chr8	116689973	116689983	-	0.000	0.000	Merged-chr8-116689955-52
NR6804--MA0002.2.RUNX1	chr4	150269827	150269837	-	0.000	0.000	Merged-chr4-150269601-64
NR4377--MA0002.2.RUNX1	chr17	86038397	86038407	-	0.000	0.000	Merged-chr17-86038391-20
NR3556--MA0684.1.RUNX3	chr15	97455694	97455703	-	0.000	0.000	Merged-chr15-97455795-23
NR6933--MA0684.1.RUNX3	chr5	23637511	23637520	+	0.000	0.000	Merged-chr5-23637519-38
NR9053--MA0684.1.RUNX3	chr9	37554456	37554465	-	0.000	0.000	Merged-chr9-37554470-32
NR9119--MA0684.1.RUNX3	chr9	56465408	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR4234--MA0002.2.RUNX1	chr17	51800376	51800386	-	0.000	0.000	Merged-chr17-51800463-8
NR8322--MA0002.2.RUNX1	chr7	80647630	80647640	+	0.000	0.000	Merged-chr7-80647614-48
NR1528--MA0684.1.RUNX3	chr11	54105211	54105220	-	0.000	0.000	Merged-chr11-54105258-8
NR7518--MA0511.2.RUNX2	chr6	34495211	34495219	-	0.000	0.000	Merged-chr6-34495216-31
NR6642--MA0002.2.RUNX1	chr4	107210429	107210439	-	0.000	0.000	Merged-chr4-107210545-62
NR5838--MA0511.2.RUNX2	chr3	65435375	65435383	+	0.000	0.000	Merged-chr3-65435198-48
NR2140--MA0002.2.RUNX1	chr12	102653020	102653030	-	0.000	0.000	Merged-chr12-102653179-3
NR1607--MA0511.2.RUNX2	chr11	82183452	82183460	-	0.000	0.000	Merged-chr11-82183511-55
NR8845--MA0002.2.RUNX1	chr8	110988278	110988288	+	0.000	0.000	Merged-chr8-110988305-13
NR618--MA0002.2.RUNX1	chr1	164960257	164960267	+	0.000	0.000	Merged-chr1-164960365-86
NR1952--MA0002.2.RUNX1	chr12	52824993	52825003	+	0.000	0.000	Merged-chr12-52824887-17
NR7277--MA0684.1.RUNX3	chr5	118082071	118082080	-	0.000	0.000	Merged-chr5-118082270-75
NR2392--MA0002.2.RUNX1	chr13	42049066	42049076	-	0.000	0.000	Merged-chr13-42049130-34
NR6850--MA0511.2.RUNX2	chr5	5559449	5559457	+	0.000	0.000	Merged-chr5-5559516-60
NR599--MA0002.2.RUNX1	chr1	161309625	161309635	-	0.000	0.000	Merged-chr1-161309457-43
NR8702--MA0002.2.RUNX1	chr8	64805451	64805461	+	0.000	0.000	Merged-chr8-64805470-51
NR2414--MA0511.2.RUNX2	chr13	48979287	48979295	-	0.000	0.000	Merged-chr13-48979303-21
NR8560--MA0684.1.RUNX3	chr8	14090513	14090522	-	0.000	0.000	Merged-chr8-14090395-62
NR333--MA0684.1.RUNX3	chr1	86005772	86005781	+	0.000	0.000	Merged-chr1-86005917-70
NR4181--MA0002.2.RUNX1	chr17	35222533	35222543	-	0.000	0.000	Merged-chr17-35222576-28
NR141--MA0511.2.RUNX2	chr1	40465641	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR4723--MA0002.2.RUNX1	chr18	84807898	84807908	+	0.000	0.000	Merged-chr18-84807959-18
NR4247--MA0002.2.RUNX1	chr17	52463554	52463564	+	0.000	0.000	Merged-chr17-52463426-13
NR2296--MA0002.2.RUNX1	chr13	13557077	13557087	+	0.000	0.000	Merged-chr13-13557258-36
NR9145--MA0511.2.RUNX2	chr9	66280658	66280666	+	0.000	0.000	Merged-chr9-66280621-39
NR8811--MA0002.2.RUNX1	chr8	104344199	104344209	-	0.000	0.000	Merged-chr8-104344230-45
NR6803--MA0684.1.RUNX3	chr4	150269502	150269511	+	0.000	0.000	Merged-chr4-150269601-64
NR8335--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR8606--MA0002.2.RUNX1	chr8	22728940	22728950	-	0.000	0.000	Merged-chr8-22728865-15
NR5629--MA0684.1.RUNX3	chr3	18624050	18624059	+	0.000	0.000	Merged-chr3-18624063-31
NR4931--MA0511.2.RUNX2	chr2	16568289	16568297	-	0.000	0.000	Merged-chr2-16568402-24
NR508--MA0684.1.RUNX3	chr1	136685579	136685588	-	0.000	0.000	Merged-chr1-136685597-75
NR6307--MA0002.2.RUNX1	chr4	11077683	11077693	-	0.000	0.000	Merged-chr4-11077783-17
NR4085--MA0002.2.RUNX1	chr17	18597514	18597524	-	0.000	0.000	Merged-chr17-18597509-40
NR4356--MA0002.2.RUNX1	chr17	80323713	80323723	-	0.000	0.000	Merged-chr17-80323753-51
NR694--MA0684.1.RUNX3	chr1	176845710	176845719	-	0.000	0.000	Merged-chr1-176845739-2
NR9254--MA0511.2.RUNX2	chr9	90259714	90259722	+	0.000	0.000	Merged-chr9-90259820-55
NR8987--MA0684.1.RUNX3	chr9	14172082	14172091	+	0.000	0.000	Merged-chr9-14171965-37
NR1379--MA0684.1.RUNX3	chr11	10276428	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR4756--MA0684.1.RUNX3	chr19	5041211	5041220	+	0.000	0.000	Merged-chr19-5041354-41
NR4879--MA0002.2.RUNX1	chr2	3718084	3718094	-	0.000	0.000	Merged-chr2-3718014-59
NR346--MA0684.1.RUNX3	chr1	88475603	88475612	+	0.000	0.000	Merged-chr1-88475619-20
NR198--MA0002.2.RUNX1	chr1	60907722	60907732	-	0.000	0.000	Merged-chr1-60907642-6
NR3039--MA0002.2.RUNX1	chr14	78356897	78356907	+	0.000	0.000	Merged-chr14-78356893-53
