#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR927--MA0741.1.KLF16	chr1	61181511	61181521	+	0.000	0.000	Merged-chr1-61181462-55
NR61901--MA0741.1.KLF16	chr7	105554335	105554345	+	0.000	0.000	Merged-chr7-105554530-56
NR10732--MA0599.1.KLF5	chr11	69094967	69094976	-	0.000	0.000	Merged-chr11-69095094-65
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR66811--MA0740.1.KLF14	chr8	115568530	115568543	+	0.000	0.000	Merged-chr8-115568627-19
NR8949--MA0741.1.KLF16	chr10	127621763	127621773	+	0.000	0.000	Merged-chr10-127621595-57
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR27035--MA0599.1.KLF5	chr16	91729084	91729093	-	0.000	0.000	Merged-chr16-91729013-92
NR57685--MA0493.1.Klf1	chr6	128227933	128227943	-	0.000	0.000	Merged-chr6-128227783-25
NR10386--MA0740.1.KLF14	chr11	58995975	58995988	+	0.000	0.000	Merged-chr11-58995988-22
NR16491--MA1107.1.KLF9	chr13	32338784	32338796	-	0.000	0.000	Merged-chr13-32338674-80
NR45171--MA0599.1.KLF5	chr4	43669259	43669268	-	0.000	0.000	Merged-chr4-43669290-57
NR56393--MA1107.1.KLF9	chr6	91878066	91878078	-	0.000	0.000	Merged-chr6-91878167-58
NR36544--MA0599.1.KLF5	chr2	71055641	71055650	-	0.000	0.000	Merged-chr2-71055719-62
NR49264--MA0741.1.KLF16	chr5	5514540	5514550	+	0.000	0.000	Merged-chr5-5514609-81
NR70392--MA0741.1.KLF16	chr9	101251890	101251900	+	0.000	0.000	Merged-chr9-101251656-72
NR28371--MA0599.1.KLF5	chr17	28594072	28594081	+	0.000	0.000	Merged-chr17-28593992-6
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR26935--MA0741.1.KLF16	chr16	90197545	90197555	-	0.000	0.000	Merged-chr16-90197695-59
NR71676--MA1107.1.KLF9	chrX	8074619	8074631	-	0.000	0.000	Merged-chrX-8074652-54
NR21292--MA0493.1.Klf1	chr14	87044677	87044687	-	0.000	0.000	Merged-chr14-87044537-7
NR72888--MA0599.1.KLF5	chrX	163848684	163848693	-	0.000	0.000	Merged-chrX-163848776-29
NR59559--MA0742.1.Klf12	chr7	25689340	25689354	+	0.000	0.000	Merged-chr7-25689415-98
NR21473--MA0742.1.Klf12	chr14	101879180	101879194	+	0.000	0.000	Merged-chr14-101879110-69
NR26934--MA0493.1.Klf1	chr16	90197546	90197556	-	0.000	0.000	Merged-chr16-90197695-59
NR24113--MA0741.1.KLF16	chr15	85879290	85879300	+	0.000	0.000	Merged-chr15-85879337-71
NR25303--MA0599.1.KLF5	chr16	13256612	13256621	-	0.000	0.000	Merged-chr16-13256575-87
NR63901--MA0039.3.KLF4	chr7	144470636	144470646	+	0.000	0.000	Merged-chr7-144470746-9
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR35757--MA0039.3.KLF4	chr2	32757204	32757214	-	0.000	0.000	Merged-chr2-32757365-75
NR68775--MA0741.1.KLF16	chr9	53706255	53706265	-	0.000	0.000	Merged-chr9-53706205-55
NR41120--MA0493.1.Klf1	chr3	55688153	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR45033--MA0741.1.KLF16	chr4	41465059	41465069	-	0.000	0.000	Merged-chr4-41464971-72
NR71645--MA0741.1.KLF16	chrX	7574343	7574353	-	0.000	0.000	Merged-chrX-7574510-93
NR45699--MA0741.1.KLF16	chr4	59549296	59549306	-	0.000	0.000	Merged-chr4-59549142-105
NR10051--MA0493.1.Klf1	chr11	50225320	50225330	+	0.000	0.000	Merged-chr11-50225207-103
NR55873--MA0599.1.KLF5	chr6	72097575	72097584	+	0.000	0.000	Merged-chr6-72097676-68
NR71071--MA0740.1.KLF14	chr9	114933885	114933898	+	0.000	0.000	Merged-chr9-114933914-87
NR32076--MA1107.1.KLF9	chr18	68300425	68300437	-	0.000	0.000	Merged-chr18-68300275-69
NR513--MA0741.1.KLF16	chr1	39478786	39478796	+	0.000	0.000	Merged-chr1-39478588-52
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR31984--MA0039.3.KLF4	chr18	66471582	66471592	+	0.000	0.000	Merged-chr18-66471661-3
NR362--MA0657.1.KLF13	chr1	35813995	35814012	-	0.000	0.000	Merged-chr1-35813885-25
NR48805--MA0740.1.KLF14	chr4	150909787	150909800	+	0.000	0.000	Merged-chr4-150909856-55
NR3073--MA0742.1.Klf12	chr1	153304278	153304292	+	0.000	0.000	Merged-chr1-153304263-23
NR29894--MA1107.1.KLF9	chr17	70974258	70974270	-	0.000	0.000	Merged-chr17-70974358-18
NR28201--MA0741.1.KLF16	chr17	27056388	27056398	-	0.000	0.000	Merged-chr17-27056351-33
NR43885--MA0742.1.Klf12	chr3	146450455	146450469	+	0.000	0.000	Merged-chr3-146450553-52
NR38378--MA1107.1.KLF9	chr2	132379895	132379907	-	0.000	0.000	Merged-chr2-132379852-19
NR4859--MA1107.1.KLF9	chr1	191999163	191999175	-	0.000	0.000	Merged-chr1-191999183-26
NR53250--MA0599.1.KLF5	chr5	134540096	134540105	-	0.000	0.000	Merged-chr5-134540113-16
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR38163--MA1107.1.KLF9	chr2	128125917	128125929	-	0.000	0.000	Merged-chr2-128126014-53
NR58555--MA1107.1.KLF9	chr6	145002297	145002309	-	0.000	0.000	Merged-chr6-145002461-23
NR49928--MA1107.1.KLF9	chr5	33143059	33143071	-	0.000	0.000	Merged-chr5-33143118-19
NR17895--MA0493.1.Klf1	chr13	91223998	91224008	-	0.000	0.000	Merged-chr13-91224009-83
NR47712--MA0741.1.KLF16	chr4	132843312	132843322	-	0.000	0.000	Merged-chr4-132843203-52
NR6596--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR60313--MA0741.1.KLF16	chr7	44590868	44590878	+	0.000	0.000	Merged-chr7-44590867-32
NR23669--MA0493.1.Klf1	chr15	78597091	78597101	-	0.000	0.000	Merged-chr15-78597127-20
NR61404--MA1107.1.KLF9	chr7	89308414	89308426	-	0.000	0.000	Merged-chr7-89308449-38
NR5641--MA0599.1.KLF5	chr10	38156087	38156096	-	0.000	0.000	Merged-chr10-38156035-3
NR54523--MA0493.1.Klf1	chr6	8209196	8209206	+	0.000	0.000	Merged-chr6-8209414-69
NR71449--MA0599.1.KLF5	chr9	122294567	122294576	-	0.000	0.000	Merged-chr9-122294367-85
NR66681--MA0741.1.KLF16	chr8	111259249	111259259	-	0.000	0.000	Merged-chr8-111259123-96
NR139--MA0599.1.KLF5	chr1	14740135	14740144	-	0.000	0.000	Merged-chr1-14740213-10
NR12478--MA0741.1.KLF16	chr11	106193671	106193681	+	0.000	0.000	Merged-chr11-106193514-84
NR3313--MA0493.1.Klf1	chr1	156956591	156956601	-	0.000	0.000	Merged-chr1-156956579-55
NR35349--MA0741.1.KLF16	chr2	25983446	25983456	+	0.000	0.000	Merged-chr2-25983366-83
NR49256--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR33927--MA1107.1.KLF9	chr19	41207067	41207079	+	0.000	0.000	Merged-chr19-41206944-35
NR58891--MA0742.1.Klf12	chr7	6362942	6362956	+	0.000	0.000	Merged-chr7-6362949-126
NR71492--MA0742.1.Klf12	chr9	123253116	123253130	+	0.000	0.000	Merged-chr9-123252996-28
NR38931--MA0741.1.KLF16	chr2	151543660	151543670	-	0.000	0.000	Merged-chr2-151543630-14
NR64401--MA0741.1.KLF16	chr8	22653190	22653200	-	0.000	0.000	Merged-chr8-22653358-66
NR51803--MA0741.1.KLF16	chr5	108132569	108132579	-	0.000	0.000	Merged-chr5-108132484-96
NR23093--MA0740.1.KLF14	chr15	59648200	59648213	+	0.000	0.000	Merged-chr15-59648235-82
NR1179--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR59851--MA0741.1.KLF16	chr7	29251414	29251424	-	0.000	0.000	Merged-chr7-29251339-19
NR58550--MA0039.3.KLF4	chr6	144902775	144902785	-	0.000	0.000	Merged-chr6-144902713-143
NR35799--MA0599.1.KLF5	chr2	32931925	32931934	+	0.000	0.000	Merged-chr2-32931910-4
NR50731--MA0039.3.KLF4	chr5	65764529	65764539	+	0.000	0.000	Merged-chr5-65764429-153
NR8323--MA1107.1.KLF9	chr10	117104434	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR15805--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR64662--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR60565--MA0741.1.KLF16	chr7	49616543	49616553	+	0.000	0.000	Merged-chr7-49616493-31
NR698--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR12463--MA1107.1.KLF9	chr11	106036721	106036733	-	0.000	0.000	Merged-chr11-106036906-50
NR12800--MA0599.1.KLF5	chr11	115153995	115154004	+	0.000	0.000	Merged-chr11-115153968-54
NR1840--MA1107.1.KLF9	chr1	97613886	97613898	+	0.000	0.000	Merged-chr1-97613912-17
NR55620--MA0741.1.KLF16	chr6	56909162	56909172	-	0.000	0.000	Merged-chr6-56909111-27
NR37400--MA1107.1.KLF9	chr2	103485241	103485253	-	0.000	0.000	Merged-chr2-103485172-63
NR39828--MA0657.1.KLF13	chr2	170218549	170218566	+	0.000	0.000	Merged-chr2-170218506-29
NR32815--MA0741.1.KLF16	chr18	89626890	89626900	+	0.000	0.000	Merged-chr18-89627032-39
NR59949--MA0039.3.KLF4	chr7	30607854	30607864	-	0.000	0.000	Merged-chr7-30607986-27
NR43462--MA0741.1.KLF16	chr3	135307624	135307634	+	0.000	0.000	Merged-chr3-135307763-66
NR7466--MA1107.1.KLF9	chr10	85035596	85035608	-	0.000	0.000	Merged-chr10-85035484-19
NR43733--MA0741.1.KLF16	chr3	143379404	143379414	+	0.000	0.000	Merged-chr3-143379316-24
NR27935--MA0599.1.KLF5	chr17	21617538	21617547	-	0.000	0.000	Merged-chr17-21617473-39
NR18550--MA1107.1.KLF9	chr13	108170124	108170136	+	0.000	0.000	Merged-chr13-108170237-20
NR1589--MA0039.3.KLF4	chr1	88267861	88267871	+	0.000	0.000	Merged-chr1-88267879-42
NR38165--MA0740.1.KLF14	chr2	128190327	128190340	-	0.000	0.000	Merged-chr2-128190126-44
NR56126--MA0741.1.KLF16	chr6	86397185	86397195	+	0.000	0.000	Merged-chr6-86397021-74
NR64653--MA0741.1.KLF16	chr8	36188904	36188914	-	0.000	0.000	Merged-chr8-36188983-40
NR72771--MA0493.1.Klf1	chrX	157492112	157492122	-	0.000	0.000	Merged-chrX-157492192-4
NR31659--MA0599.1.KLF5	chr18	56562415	56562424	+	0.000	0.000	Merged-chr18-56562419-49
NR54340--MA0599.1.KLF5	chr5	149526302	149526311	-	0.000	0.000	Merged-chr5-149526152-1
NR49896--MA0741.1.KLF16	chr5	32610841	32610851	+	0.000	0.000	Merged-chr5-32610925-84
NR4413--MA0741.1.KLF16	chr1	183345536	183345546	-	0.000	0.000	Merged-chr1-183345406-106
NR34681--MA0741.1.KLF16	chr2	3118324	3118334	-	0.000	0.000	Merged-chr2-3118423-48
NR27701--MA1107.1.KLF9	chr17	12036300	12036312	+	0.000	0.000	Merged-chr17-12036318-13
NR39459--MA1107.1.KLF9	chr2	163472701	163472713	-	0.000	0.000	Merged-chr2-163472521-59
NR7199--MA0741.1.KLF16	chr10	81136291	81136301	-	0.000	0.000	Merged-chr10-81136337-26
NR58887--MA0493.1.Klf1	chr7	6286458	6286468	-	0.000	0.000	Merged-chr7-6286404-52
NR6055--MA0599.1.KLF5	chr10	58497883	58497892	-	0.000	0.000	Merged-chr10-58497927-65
NR15035--MA0493.1.Klf1	chr12	91849228	91849238	+	0.000	0.000	Merged-chr12-91849094-58
NR11033--MA1107.1.KLF9	chr11	75410424	75410436	+	0.000	0.000	Merged-chr11-75410293-22
NR65159--MA0741.1.KLF16	chr8	68062493	68062503	+	0.000	0.000	Merged-chr8-68062355-69
NR32717--MA0493.1.Klf1	chr18	84685289	84685299	-	0.000	0.000	Merged-chr18-84685222-141
NR12100--MA0039.3.KLF4	chr11	99144112	99144122	-	0.000	0.000	Merged-chr11-99144248-66
NR6731--MA0599.1.KLF5	chr10	75836068	75836077	+	0.000	0.000	Merged-chr10-75835813-94
NR33171--MA0493.1.Klf1	chr19	6992586	6992596	+	0.000	0.000	Merged-chr19-6992689-50
NR64446--MA0493.1.Klf1	chr8	25597211	25597221	+	0.000	0.000	Merged-chr8-25597379-88
NR19800--MA0741.1.KLF16	chr14	31830807	31830817	-	0.000	0.000	Merged-chr14-31830494-112
NR32637--MA0599.1.KLF5	chr18	82855839	82855848	+	0.000	0.000	Merged-chr18-82855874-59
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR32976--MA1107.1.KLF9	chr19	4943108	4943120	+	0.000	0.000	Merged-chr19-4942974-44
NR35347--MA0599.1.KLF5	chr2	25983415	25983424	+	0.000	0.000	Merged-chr2-25983366-83
NR19448--MA0740.1.KLF14	chr14	21682998	21683011	-	0.000	0.000	Merged-chr14-21683018-22
NR71135--MA0741.1.KLF16	chr9	116123216	116123226	-	0.000	0.000	Merged-chr9-116123185-43
NR64366--MA0599.1.KLF5	chr8	22060487	22060496	-	0.000	0.000	Merged-chr8-22060379-109
NR45390--MA0493.1.Klf1	chr4	47251261	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR36753--MA0039.3.KLF4	chr2	75563649	75563659	+	0.000	0.000	Merged-chr2-75563664-35
NR48056--MA0741.1.KLF16	chr4	136469746	136469756	+	0.000	0.000	Merged-chr4-136469909-78
NR14506--MA0740.1.KLF14	chr12	72085581	72085594	-	0.000	0.000	Merged-chr12-72085712-110
NR44856--MA0599.1.KLF5	chr4	33310259	33310268	-	0.000	0.000	Merged-chr4-33310385-59
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR71255--MA0657.1.KLF13	chr9	118678596	118678613	+	0.000	0.000	Merged-chr9-118678587-68
NR12555--MA0740.1.KLF14	chr11	109331236	109331249	+	0.000	0.000	Merged-chr11-109331360-60
NR33019--MA0493.1.Klf1	chr19	5457575	5457585	-	0.000	0.000	Merged-chr19-5457359-63
NR58795--MA0742.1.Klf12	chr7	4460696	4460710	+	0.000	0.000	Merged-chr7-4460679-27
NR44641--MA0599.1.KLF5	chr4	16163661	16163670	+	0.000	0.000	Merged-chr4-16163634-149
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR58234--MA0599.1.KLF5	chr6	140614111	140614120	-	0.000	0.000	Merged-chr6-140613913-33
NR6821--MA0741.1.KLF16	chr10	77367039	77367049	+	0.000	0.000	Merged-chr10-77367193-51
NR28786--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR20967--MA0039.3.KLF4	chr14	73049214	73049224	-	0.000	0.000	Merged-chr14-73049322-54
NR50200--MA0599.1.KLF5	chr5	41708185	41708194	+	0.000	0.000	Merged-chr5-41708072-132
NR23687--MA0493.1.Klf1	chr15	78773514	78773524	+	0.000	0.000	Merged-chr15-78773486-35
NR39599--MA0599.1.KLF5	chr2	166786853	166786862	-	0.000	0.000	Merged-chr2-166786664-60
NR13413--MA0741.1.KLF16	chr12	8521795	8521805	+	0.000	0.000	Merged-chr12-8521654-50
NR28428--MA0039.3.KLF4	chr17	29393798	29393808	-	0.000	0.000	Merged-chr17-29393996-77
NR66084--MA0493.1.Klf1	chr8	90795487	90795497	+	0.000	0.000	Merged-chr8-90795506-65
NR157--MA0599.1.KLF5	chr1	16665202	16665211	-	0.000	0.000	Merged-chr1-16665389-58
NR18519--MA1107.1.KLF9	chr13	107168732	107168744	+	0.000	0.000	Merged-chr13-107168851-26
NR56502--MA0599.1.KLF5	chr6	95117832	95117841	-	0.000	0.000	Merged-chr6-95117994-75
NR67724--MA1107.1.KLF9	chr9	14172182	14172194	-	0.000	0.000	Merged-chr9-14171965-37
NR28358--MA0599.1.KLF5	chr17	28516039	28516048	-	0.000	0.000	Merged-chr17-28516201-30
NR19781--MA0741.1.KLF16	chr14	31206078	31206088	-	0.000	0.000	Merged-chr14-31206647-90
NR36316--MA0599.1.KLF5	chr2	59882611	59882620	-	0.000	0.000	Merged-chr2-59882495-61
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR50467--MA0741.1.KLF16	chr5	57714983	57714993	-	0.000	0.000	Merged-chr5-57715009-24
NR68801--MA0493.1.Klf1	chr9	55110575	55110585	+	0.000	0.000	Merged-chr9-55110680-29
NR18304--MA1107.1.KLF9	chr13	101669127	101669139	-	0.000	0.000	Merged-chr13-101669067-25
NR52123--MA0039.3.KLF4	chr5	114175813	114175823	-	0.000	0.000	Merged-chr5-114175903-40
NR22175--MA0741.1.KLF16	chr14	122913264	122913274	+	0.000	0.000	Merged-chr14-122913202-60
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR45139--MA1107.1.KLF9	chr4	43044013	43044025	+	0.000	0.000	Merged-chr4-43044114-23
NR27085--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR62400--MA1107.1.KLF9	chr7	118740224	118740236	-	0.000	0.000	Merged-chr7-118740082-2
NR8556--MA1107.1.KLF9	chr10	120697614	120697626	+	0.000	0.000	Merged-chr10-120697518-32
NR45317--MA0741.1.KLF16	chr4	46507519	46507529	-	0.000	0.000	Merged-chr4-46507538-69
NR22717--MA0741.1.KLF16	chr15	38452895	38452905	-	0.000	0.000	Merged-chr15-38452892-28
NR17896--MA0741.1.KLF16	chr13	91223997	91224007	-	0.000	0.000	Merged-chr13-91224009-83
NR55039--MA0039.3.KLF4	chr6	38345976	38345986	+	0.000	0.000	Merged-chr6-38346040-40
NR58754--MA0740.1.KLF14	chr7	3617321	3617334	-	0.000	0.000	Merged-chr7-3617392-59
NR255--MA0741.1.KLF16	chr1	24100391	24100401	+	0.000	0.000	Merged-chr1-24100239-49
NR35012--MA0740.1.KLF14	chr2	17862024	17862037	+	0.000	0.000	Merged-chr2-17861880-15
NR11821--MA1107.1.KLF9	chr11	95713991	95714003	+	0.000	0.000	Merged-chr11-95714089-14
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR35949--MA0740.1.KLF14	chr2	37703405	37703418	-	0.000	0.000	Merged-chr2-37703369-89
NR35706--MA0657.1.KLF13	chr2	32288141	32288158	+	0.000	0.000	Merged-chr2-32288192-62
NR2474--MA0493.1.Klf1	chr1	132316074	132316084	-	0.000	0.000	Merged-chr1-132316198-37
NR42792--MA0493.1.Klf1	chr3	116424263	116424273	-	0.000	0.000	Merged-chr3-116424067-206
NR41957--MA0741.1.KLF16	chr3	95160446	95160456	-	0.000	0.000	Merged-chr3-95160363-68
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR15804--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR36865--MA0039.3.KLF4	chr2	78973959	78973969	+	0.000	0.000	Merged-chr2-78973866-41
NR68908--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR25982--MA0039.3.KLF4	chr16	38399686	38399696	+	0.000	0.000	Merged-chr16-38399742-32
NR28680--MA0742.1.Klf12	chr17	34187494	34187508	-	0.000	0.000	Merged-chr17-34187443-76
NR37839--MA1107.1.KLF9	chr2	118491077	118491089	+	0.000	0.000	Merged-chr2-118491236-48
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR2571--MA0741.1.KLF16	chr1	134344750	134344760	+	0.000	0.000	Merged-chr1-134344743-32
NR23689--MA0742.1.Klf12	chr15	78773534	78773548	-	0.000	0.000	Merged-chr15-78773486-35
NR30474--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR16056--MA0741.1.KLF16	chr12	118836994	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR12123--MA1107.1.KLF9	chr11	99549731	99549743	-	0.000	0.000	Merged-chr11-99549700-12
NR69905--MA0599.1.KLF5	chr9	85319699	85319708	+	0.000	0.000	Merged-chr9-85319747-2
NR60055--MA0741.1.KLF16	chr7	35333918	35333928	-	0.000	0.000	Merged-chr7-35333987-100
NR41142--MA1107.1.KLF9	chr3	57848016	57848028	+	0.000	0.000	Merged-chr3-57848090-4
NR36517--MA0493.1.Klf1	chr2	69802994	69803004	+	0.000	0.000	Merged-chr2-69803068-39
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR65659--MA0657.1.KLF13	chr8	78509324	78509341	-	0.000	0.000	Merged-chr8-78509175-167
NR27960--MA0741.1.KLF16	chr17	22424056	22424066	-	0.000	0.000	Merged-chr17-22424161-65
NR19780--MA0599.1.KLF5	chr14	31206081	31206090	-	0.000	0.000	Merged-chr14-31206647-90
NR53361--MA1107.1.KLF9	chr5	135632604	135632616	+	0.000	0.000	Merged-chr5-135632742-49
NR52536--MA0742.1.Klf12	chr5	122951569	122951583	+	0.000	0.000	Merged-chr5-122951683-61
NR65456--MA0599.1.KLF5	chr8	71634466	71634475	-	0.000	0.000	Merged-chr8-71634399-33
NR66186--MA0039.3.KLF4	chr8	94827954	94827964	-	0.000	0.000	Merged-chr8-94828163-36
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR112--MA0741.1.KLF16	chr1	13426251	13426261	-	0.000	0.000	Merged-chr1-13426013-7
NR50856--MA0742.1.Klf12	chr5	72203201	72203215	-	0.000	0.000	Merged-chr5-72203390-56
NR27934--MA1107.1.KLF9	chr17	21488970	21488982	-	0.000	0.000	Merged-chr17-21489154-64
NR48285--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR6153--MA0493.1.Klf1	chr10	60305570	60305580	+	0.000	0.000	Merged-chr10-60305430-32
