#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1322--MA0089.1.MAFG::NFE2L1	chr10	76270398	76270403	-	0.000	0.000	Merged-chr10-76270300-7
NR8442--MA0496.2.MAFK	chr4	106869720	106869738	-	0.000	0.000	Merged-chr4-106869679-64
NR1733--MA0117.2.Mafb	chr11	3159778	3159789	-	0.000	0.000	Merged-chr11-3159670-75
NR1859--MA0591.1.Bach1::Mafk	chr11	43681869	43681883	+	0.000	0.000	Merged-chr11-43682127-96
NR10624--MA0117.2.Mafb	chr7	64122535	64122546	-	0.000	0.000	Merged-chr7-64122484-38
NR7090--MA0501.1.MAF::NFE2	chr2	145905332	145905346	+	0.000	0.000	Merged-chr2-145905286-60
NR11947--MA0659.1.MAFG	chr9	57831616	57831636	-	0.000	0.000	Merged-chr9-57831644-49
NR7684--MA0591.1.Bach1::Mafk	chr3	88138426	88138440	-	0.000	0.000	Merged-chr3-88138554-68
NR11602--MA0117.2.Mafb	chr8	117328932	117328943	-	0.000	0.000	Merged-chr8-117329052-8
NR1178--MA0117.2.Mafb	chr10	43919090	43919101	-	0.000	0.000	Merged-chr10-43919152-21
NR2177--MA0089.1.MAFG::NFE2L1	chr11	90225043	90225048	+	0.000	0.000	Merged-chr11-90225249-59
NR5415--MA0495.2.MAFF	chr17	74808029	74808049	-	0.000	0.000	Merged-chr17-74808088-1
NR5607--MA0496.2.MAFK	chr18	23754630	23754648	+	0.000	0.000	Merged-chr18-23754514-42
NR5813--MA0591.1.Bach1::Mafk	chr18	70520982	70520996	-	0.000	0.000	Merged-chr18-70520943-32
NR4893--MA0496.2.MAFK	chr16	75903185	75903203	+	0.000	0.000	Merged-chr16-75903251-33
NR8051--MA0089.1.MAFG::NFE2L1	chr3	149394037	149394042	+	0.000	0.000	Merged-chr3-149393865-18
NR5871--MA0496.2.MAFK	chr18	80554954	80554972	-	0.000	0.000	Merged-chr18-80555147-42
NR9107--MA0089.1.MAFG::NFE2L1	chr5	75066916	75066921	-	0.000	0.000	Merged-chr5-75066831-3
NR5118--MA0501.1.MAF::NFE2	chr17	15704635	15704649	+	0.000	0.000	Merged-chr17-15704757-20
NR397--MA0501.1.MAF::NFE2	chr1	95573070	95573084	-	0.000	0.000	Merged-chr1-95573255-46
NR4514--MA0591.1.Bach1::Mafk	chr15	95763138	95763152	-	0.000	0.000	Merged-chr15-95763066-31
NR6483--MA0089.1.MAFG::NFE2L1	chr2	38797348	38797353	-	0.000	0.000	Merged-chr2-38797323-19
NR10273--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR3280--MA0089.1.MAFG::NFE2L1	chr13	55022904	55022909	+	0.000	0.000	Merged-chr13-55022808-47
NR11972--MA0495.2.MAFF	chr9	61277814	61277834	-	0.000	0.000	Merged-chr9-61277901-26
NR2023--MA0591.1.Bach1::Mafk	chr11	69098730	69098744	+	0.000	0.000	Merged-chr11-69098613-81
NR9397--MA0089.1.MAFG::NFE2L1	chr5	124233201	124233206	-	0.000	0.000	Merged-chr5-124233258-22
NR6733--MA0501.1.MAF::NFE2	chr2	102981590	102981604	-	0.000	0.000	Merged-chr2-102981586-74
NR752--MA0089.1.MAFG::NFE2L1	chr1	172126701	172126706	-	0.000	0.000	Merged-chr1-172126791-53
NR11945--MA0591.1.Bach1::Mafk	chr9	57831619	57831633	-	0.000	0.000	Merged-chr9-57831644-49
NR11708--MA0591.1.Bach1::Mafk	chr8	125741634	125741648	+	0.000	0.000	Merged-chr8-125741645-15
NR11780--MA0089.1.MAFG::NFE2L1	chr8	128595102	128595107	+	0.000	0.000	Merged-chr8-128595191-53
NR9409--MA0089.1.MAFG::NFE2L1	chr5	125137580	125137585	+	0.000	0.000	Merged-chr5-125137642-19
NR4759--MA0496.2.MAFK	chr16	43303489	43303507	+	0.000	0.000	Merged-chr16-43303663-37
NR7639--MA0089.1.MAFG::NFE2L1	chr3	84046515	84046520	+	0.000	0.000	Merged-chr3-84046424-40
NR3452--MA0591.1.Bach1::Mafk	chr13	99433544	99433558	+	0.000	0.000	Merged-chr13-99433551-16
NR387--MA0496.2.MAFK	chr1	94497026	94497044	-	0.000	0.000	Merged-chr1-94497080-23
NR10663--MA0495.2.MAFF	chr7	75641364	75641384	+	0.000	0.000	Merged-chr7-75641429-31
NR10002--MA0591.1.Bach1::Mafk	chr6	108477012	108477026	-	0.000	0.000	Merged-chr6-108477065-48
NR7726--MA0089.1.MAFG::NFE2L1	chr3	95697685	95697690	+	0.000	0.000	Merged-chr3-95697809-14
NR3680--MA0501.1.MAF::NFE2	chr14	15770028	15770042	+	0.000	0.000	Merged-chr14-15770075-60
NR3731--MA0591.1.Bach1::Mafk	chr14	27351647	27351661	+	0.000	0.000	Merged-chr14-27351647-44
NR10175--MA0591.1.Bach1::Mafk	chr6	128972828	128972842	+	0.000	0.000	Merged-chr6-128972909-46
NR765--MA0089.1.MAFG::NFE2L1	chr1	173508722	173508727	+	0.000	0.000	Merged-chr1-173508831-21
NR6532--MA0495.2.MAFF	chr2	52938453	52938473	-	0.000	0.000	Merged-chr2-52938398-15
NR2298--MA0495.2.MAFF	chr11	106387154	106387174	-	0.000	0.000	Merged-chr11-106387264-9
NR10197--MA0496.2.MAFK	chr6	130430845	130430863	+	0.000	0.000	Merged-chr6-130430787-10
NR2110--MA0591.1.Bach1::Mafk	chr11	80089586	80089600	+	0.000	0.000	Merged-chr11-80089472-35
NR8700--MA0117.2.Mafb	chr4	141952347	141952358	-	0.000	0.000	Merged-chr4-141952458-47
NR12244--MA0501.1.MAF::NFE2	chr9	106289008	106289022	-	0.000	0.000	Merged-chr9-106289065-22
NR8362--MA0496.2.MAFK	chr4	88998480	88998498	-	0.000	0.000	Merged-chr4-88998396-38
NR4313--MA0501.1.MAF::NFE2	chr15	62079562	62079576	-	0.000	0.000	Merged-chr15-62079594-24
NR576--MA0089.1.MAFG::NFE2L1	chr1	144086333	144086338	+	0.000	0.000	Merged-chr1-144086303-34
NR2535--MA0501.1.MAF::NFE2	chr12	25095900	25095914	-	0.000	0.000	Merged-chr12-25096104-64
NR8600--MA0495.2.MAFF	chr4	130706881	130706901	+	0.000	0.000	Merged-chr4-130706849-20
NR1133--MA0591.1.Bach1::Mafk	chr10	34418442	34418456	-	0.000	0.000	Merged-chr10-34418340-93
NR1179--MA0501.1.MAF::NFE2	chr10	43919087	43919101	+	0.000	0.000	Merged-chr10-43919152-21
NR7403--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR3815--MA0117.2.Mafb	chr14	54210122	54210133	+	0.000	0.000	Merged-chr14-54210060-31
NR4549--MA0496.2.MAFK	chr15	100265725	100265743	+	0.000	0.000	Merged-chr15-100265875-19
NR5368--MA0501.1.MAF::NFE2	chr17	70987098	70987112	-	0.000	0.000	Merged-chr17-70986978-98
NR172--MA0089.1.MAFG::NFE2L1	chr1	53970760	53970765	-	0.000	0.000	Merged-chr1-53970777-7
NR10070--MA0591.1.Bach1::Mafk	chr6	117431670	117431684	+	0.000	0.000	Merged-chr6-117431708-65
NR10977--MA0089.1.MAFG::NFE2L1	chr7	118500291	118500296	+	0.000	0.000	Merged-chr7-118500296-3
NR8369--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR5192--MA0501.1.MAF::NFE2	chr17	31176461	31176475	+	0.000	0.000	Merged-chr17-31176516-21
NR9280--MA0089.1.MAFG::NFE2L1	chr5	105849562	105849567	-	0.000	0.000	Merged-chr5-105849504-21
NR214--MA0591.1.Bach1::Mafk	chr1	61039454	61039468	-	0.000	0.000	Merged-chr1-61039499-28
NR5161--MA0089.1.MAFG::NFE2L1	chr17	25014250	25014255	+	0.000	0.000	Merged-chr17-25014289-16
NR7973--MA0117.2.Mafb	chr3	142545600	142545611	+	0.000	0.000	Merged-chr3-142545607-21
NR10562--MA0117.2.Mafb	chr7	45779524	45779535	+	0.000	0.000	Merged-chr7-45779377-55
NR289--MA0496.2.MAFK	chr1	82795744	82795762	-	0.000	0.000	Merged-chr1-82795778-30
NR3240--MA0591.1.Bach1::Mafk	chr13	48516055	48516069	+	0.000	0.000	Merged-chr13-48516187-54
NR10007--MA0089.1.MAFG::NFE2L1	chr6	108709565	108709570	+	0.000	0.000	Merged-chr6-108709432-1
NR6093--MA0496.2.MAFK	chr19	32524045	32524063	-	0.000	0.000	Merged-chr19-32523975-16
NR4254--MA0501.1.MAF::NFE2	chr15	52944851	52944865	-	0.000	0.000	Merged-chr15-52944849-44
NR6749--MA0117.2.Mafb	chr2	104095846	104095857	-	0.000	0.000	Merged-chr2-104095908-22
NR3605--MA0659.1.MAFG	chr13	113170408	113170428	-	0.000	0.000	Merged-chr13-113170375-49
NR11023--MA0089.1.MAFG::NFE2L1	chr7	123377957	123377962	-	0.000	0.000	Merged-chr7-123378098-56
NR3114--MA0089.1.MAFG::NFE2L1	chr13	24487237	24487242	+	0.000	0.000	Merged-chr13-24487447-67
NR5087--MA0089.1.MAFG::NFE2L1	chr17	8165441	8165446	-	0.000	0.000	Merged-chr17-8165441-73
NR11997--MA0659.1.MAFG	chr9	62425367	62425387	+	0.000	0.000	Merged-chr9-62425384-15
NR10297--MA0089.1.MAFG::NFE2L1	chr6	142389295	142389300	-	0.000	0.000	Merged-chr6-142389290-7
NR7183--MA0496.2.MAFK	chr2	153350990	153351008	-	0.000	0.000	Merged-chr2-153350886-63
NR9091--MA0089.1.MAFG::NFE2L1	chr5	73152319	73152324	-	0.000	0.000	Merged-chr5-73152389-40
NR11626--MA0591.1.Bach1::Mafk	chr8	120101458	120101472	+	0.000	0.000	Merged-chr8-120101369-97
NR5657--MA0496.2.MAFK	chr18	39035418	39035436	-	0.000	0.000	Merged-chr18-39035384-28
NR11097--MA0117.2.Mafb	chr7	135581187	135581198	-	0.000	0.000	Merged-chr7-135581080-39
NR9144--MA0495.2.MAFF	chr5	90603530	90603550	-	0.000	0.000	Merged-chr5-90603641-23
NR11763--MA0501.1.MAF::NFE2	chr8	127973405	127973419	+	0.000	0.000	Merged-chr8-127973425-20
NR10760--MA0089.1.MAFG::NFE2L1	chr7	89253032	89253037	-	0.000	0.000	Merged-chr7-89253007-2
NR4931--MA0501.1.MAF::NFE2	chr16	87700098	87700112	-	0.000	0.000	Merged-chr16-87700097-27
NR3899--MA0501.1.MAF::NFE2	chr14	68044961	68044975	-	0.000	0.000	Merged-chr14-68044800-35
NR11667--MA0501.1.MAF::NFE2	chr8	123287516	123287530	+	0.000	0.000	Merged-chr8-123287508-25
NR11924--MA0501.1.MAF::NFE2	chr9	55209109	55209123	-	0.000	0.000	Merged-chr9-55209102-59
NR7535--MA0089.1.MAFG::NFE2L1	chr3	31145874	31145879	-	0.000	0.000	Merged-chr3-31145985-42
NR7911--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR2542--MA0591.1.Bach1::Mafk	chr12	25240220	25240234	-	0.000	0.000	Merged-chr12-25240283-42
NR10242--MA0591.1.Bach1::Mafk	chr6	136499439	136499453	+	0.000	0.000	Merged-chr6-136499419-25
NR4345--MA0089.1.MAFG::NFE2L1	chr15	64191474	64191479	+	0.000	0.000	Merged-chr15-64191593-19
NR11916--MA0089.1.MAFG::NFE2L1	chr9	53673866	53673871	+	0.000	0.000	Merged-chr9-53673777-24
NR1357--MA0089.1.MAFG::NFE2L1	chr10	80075343	80075348	+	0.000	0.000	Merged-chr10-80075365-55
NR992--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR11650--MA0496.2.MAFK	chr8	122299744	122299762	-	0.000	0.000	Merged-chr8-122299759-10
NR5243--MA0117.2.Mafb	chr17	36042878	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR8083--MA0659.1.MAFG	chr3	153764829	153764849	-	0.000	0.000	Merged-chr3-153764846-117
NR12158--MA0496.2.MAFK	chr9	89221267	89221285	-	0.000	0.000	Merged-chr9-89221104-50
NR4158--MA0659.1.MAFG	chr15	12008206	12008226	+	0.000	0.000	Merged-chr15-12008199-38
NR11977--MA0496.2.MAFK	chr9	61277815	61277833	-	0.000	0.000	Merged-chr9-61277901-26
NR9804--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR8282--MA0496.2.MAFK	chr4	62629990	62630008	+	0.000	0.000	Merged-chr4-62630130-56
NR4825--MA0659.1.MAFG	chr16	52418693	52418713	+	0.000	0.000	Merged-chr16-52418568-49
NR2504--MA0496.2.MAFK	chr12	8859037	8859055	+	0.000	0.000	Merged-chr12-8859142-27
NR9707--MA0089.1.MAFG::NFE2L1	chr6	50417017	50417022	+	0.000	0.000	Merged-chr6-50417055-62
NR8732--MA0117.2.Mafb	chr4	145156033	145156044	-	0.000	0.000	Merged-chr4-145156207-33
NR5778--MA0089.1.MAFG::NFE2L1	chr18	65022162	65022167	+	0.000	0.000	Merged-chr18-65022239-24
NR6432--MA0591.1.Bach1::Mafk	chr2	33154872	33154886	+	0.000	0.000	Merged-chr2-33154986-19
NR4832--MA0495.2.MAFF	chr16	52879649	52879669	-	0.000	0.000	Merged-chr16-52879758-28
NR6991--MA0591.1.Bach1::Mafk	chr2	132874103	132874117	+	0.000	0.000	Merged-chr2-132874056-29
NR1427--MA0501.1.MAF::NFE2	chr10	86786088	86786102	-	0.000	0.000	Merged-chr10-86786135-22
NR2460--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR1040--MA0089.1.MAFG::NFE2L1	chr10	13967562	13967567	+	0.000	0.000	Merged-chr10-13967586-131
NR5467--MA0117.2.Mafb	chr17	83666804	83666815	-	0.000	0.000	Merged-chr17-83666792-23
NR9644--MA0501.1.MAF::NFE2	chr6	31079958	31079972	+	0.000	0.000	Merged-chr6-31079866-35
NR5033--MA0659.1.MAFG	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR976--MA0089.1.MAFG::NFE2L1	chr1	192092710	192092715	-	0.000	0.000	Merged-chr1-192092599-105
NR7624--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR7542--MA0501.1.MAF::NFE2	chr3	36060308	36060322	+	0.000	0.000	Merged-chr3-36060425-51
NR1373--MA0591.1.Bach1::Mafk	chr10	81254942	81254956	-	0.000	0.000	Merged-chr10-81255041-17
NR4330--MA0089.1.MAFG::NFE2L1	chr15	62809293	62809298	+	0.000	0.000	Merged-chr15-62809402-30
NR2714--MA0591.1.Bach1::Mafk	chr12	84417262	84417276	+	0.000	0.000	Merged-chr12-84417394-49
NR10960--MA0089.1.MAFG::NFE2L1	chr7	116459351	116459356	+	0.000	0.000	Merged-chr7-116459256-35
NR6217--MA0659.1.MAFG	chr19	55866019	55866039	+	0.000	0.000	Merged-chr19-55866165-31
NR2737--MA0496.2.MAFK	chr12	87411187	87411205	+	0.000	0.000	Merged-chr12-87411276-22
NR9809--MA0659.1.MAFG	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR7629--MA0117.2.Mafb	chr3	79504674	79504685	-	0.000	0.000	Merged-chr3-79504650-9
