#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR708--MA0002.2.RUNX1	chr1	179240818	179240828	-	0.000	0.000	Merged-chr1-179240877-38
NR993--MA0511.2.RUNX2	chr10	40469354	40469362	-	0.000	0.000	Merged-chr10-40469285-5
NR3259--MA0002.2.RUNX1	chr15	25828624	25828634	+	0.000	0.000	Merged-chr15-25828667-44
NR4833--MA0684.1.RUNX3	chr19	41354448	41354457	-	0.000	0.000	Merged-chr19-41354593-71
NR5544--MA0684.1.RUNX3	chr2	172382248	172382257	+	0.000	0.000	Merged-chr2-172382291-6
NR3196--MA0511.2.RUNX2	chr14	121846234	121846242	-	0.000	0.000	Merged-chr14-121846246-16
NR4542--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR9279--MA0002.2.RUNX1	chr9	94621077	94621087	+	0.000	0.000	Merged-chr9-94620917-97
NR9506--MA0511.2.RUNX2	chrX	77795899	77795907	+	0.000	0.000	Merged-chrX-77795992-119
NR7284--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR132--MA0002.2.RUNX1	chr1	39896692	39896702	+	0.000	0.000	Merged-chr1-39896761-43
NR5875--MA0511.2.RUNX2	chr3	75714111	75714119	+	0.000	0.000	Merged-chr3-75714014-36
NR7333--MA0684.1.RUNX3	chr5	134373116	134373125	+	0.000	0.000	Merged-chr5-134373166-2
NR6983--MA0684.1.RUNX3	chr5	39329129	39329138	+	0.000	0.000	Merged-chr5-39328996-4
NR1055--MA0684.1.RUNX3	chr10	62507952	62507961	-	0.000	0.000	Merged-chr10-62507815-50,Merged-chr10-62508148-1
NR1449--MA0002.2.RUNX1	chr11	31824839	31824849	+	0.000	0.000	Merged-chr11-31824780-24
NR87--MA0684.1.RUNX3	chr1	24100192	24100201	+	0.000	0.000	Merged-chr1-24100239-49
NR3463--MA0684.1.RUNX3	chr15	75884331	75884340	+	0.000	0.000	Merged-chr15-75884248-28
NR5266--MA0002.2.RUNX1	chr2	101649592	101649602	-	0.000	0.000	Merged-chr2-101649593-1
NR6963--MA0002.2.RUNX1	chr5	34565878	34565888	-	0.000	0.000	Merged-chr5-34565807-6
NR5000--MA0684.1.RUNX3	chr2	30796783	30796792	+	0.000	0.000	Merged-chr2-30796578-35
NR7425--MA0511.2.RUNX2	chr6	8365099	8365107	-	0.000	0.000	Merged-chr6-8365103-3
NR8900--MA0684.1.RUNX3	chr8	119812443	119812452	+	0.000	0.000	Merged-chr8-119812593-113
NR8481--MA0002.2.RUNX1	chr7	132672698	132672708	-	0.000	0.000	Merged-chr7-132672749-42
NR8752--MA0002.2.RUNX1	chr8	80393342	80393352	+	0.000	0.000	Merged-chr8-80393299-11
NR383--MA0684.1.RUNX3	chr1	94092013	94092022	-	0.000	0.000	Merged-chr1-94091974-43
NR3019--MA0684.1.RUNX3	chr14	73117173	73117182	+	0.000	0.000	Merged-chr14-73117167-52
NR7263--MA0511.2.RUNX2	chr5	113165187	113165195	+	0.000	0.000	Merged-chr5-113165071-16
NR3032--MA0511.2.RUNX2	chr14	75722247	75722255	+	0.000	0.000	Merged-chr14-75722251-22
NR3303--MA0511.2.RUNX2	chr15	36565768	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR5427--MA0684.1.RUNX3	chr2	144594336	144594345	-	0.000	0.000	Merged-chr2-144594184-54
NR3476--MA0684.1.RUNX3	chr15	78422730	78422739	-	0.000	0.000	Merged-chr15-78422686-21
NR985--MA0511.2.RUNX2	chr10	39600324	39600332	+	0.000	0.000	Merged-chr10-39600436-54
NR5013--MA0684.1.RUNX3	chr2	32047599	32047608	+	0.000	0.000	Merged-chr2-32047446-8
NR5136--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR9118--MA0511.2.RUNX2	chr9	56465409	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR2430--MA0511.2.RUNX2	chr13	55255487	55255495	-	0.000	0.000	Merged-chr13-55255412-37
NR4825--MA0684.1.RUNX3	chr19	33265323	33265332	-	0.000	0.000	Merged-chr19-33265390-26
NR4882--MA0002.2.RUNX1	chr2	3910639	3910649	-	0.000	0.000	Merged-chr2-3910596-12
NR124--MA0002.2.RUNX1	chr1	39010727	39010737	-	0.000	0.000	Merged-chr1-39010823-36
NR6737--MA0002.2.RUNX1	chr4	136266854	136266864	+	0.000	0.000	Merged-chr4-136266898-41
NR4786--MA0002.2.RUNX1	chr19	16029381	16029391	+	0.000	0.000	Merged-chr19-16029300-45
NR1094--MA0511.2.RUNX2	chr10	71226073	71226081	-	0.000	0.000	Merged-chr10-71226142-30
NR3489--MA0684.1.RUNX3	chr15	80562628	80562637	-	0.000	0.000	Merged-chr15-80562627-18
NR3217--MA0002.2.RUNX1	chr15	5108552	5108562	+	0.000	0.000	Merged-chr15-5108448-64
NR918--MA0002.2.RUNX1	chr10	22714805	22714815	-	0.000	0.000	Merged-chr10-22714818-39
NR8830--MA0511.2.RUNX2	chr8	108823130	108823138	-	0.000	0.000	Merged-chr8-108823126-5
NR981--MA0684.1.RUNX3	chr10	39387126	39387135	-	0.000	0.000	Merged-chr10-39387129-14
NR9065--MA0511.2.RUNX2	chr9	41116120	41116128	-	0.000	0.000	Merged-chr9-41116264-54
NR2714--MA0511.2.RUNX2	chr13	112355216	112355224	-	0.000	0.000	Merged-chr13-112355130-25
NR8983--MA0002.2.RUNX1	chr9	13973828	13973838	-	0.000	0.000	Merged-chr9-13973849-7
NR4481--MA0002.2.RUNX1	chr18	32240239	32240249	+	0.000	0.000	Merged-chr18-32240208-51
NR2744--MA0684.1.RUNX3	chr13	117242260	117242269	+	0.000	0.000	Merged-chr13-117242416-107
NR5135--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR342--MA0002.2.RUNX1	chr1	87847453	87847463	-	0.000	0.000	Merged-chr1-87847290-68
NR6955--MA0002.2.RUNX1	chr5	31964050	31964060	+	0.000	0.000	Merged-chr5-31963887-11
NR2182--MA0002.2.RUNX1	chr12	115312145	115312155	+	0.000	0.000	Merged-chr12-115312281-46
NR808--MA0684.1.RUNX3	chr10	7005413	7005422	+	0.000	0.000	Merged-chr10-7005430-4
NR1279--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7447--MA0684.1.RUNX3	chr6	12081955	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR3167--MA0511.2.RUNX2	chr14	118774994	118775002	-	0.000	0.000	Merged-chr14-118775098-19
NR580--MA0684.1.RUNX3	chr1	151683179	151683188	-	0.000	0.000	Merged-chr1-151683056-48
NR1758--MA0511.2.RUNX2	chr11	119076033	119076041	+	0.000	0.000	Merged-chr11-119075997-48
NR4864--MA0511.2.RUNX2	chr19	55332803	55332811	-	0.000	0.000	Merged-chr19-55332814-24
NR1265--MA0684.1.RUNX3	chr10	111996401	111996410	+	0.000	0.000	Merged-chr10-111996570-172
NR3068--MA0002.2.RUNX1	chr14	87452281	87452291	+	0.000	0.000	Merged-chr14-87452152-30
NR4642--MA0684.1.RUNX3	chr18	69547155	69547164	+	0.000	0.000	Merged-chr18-69547283-22
NR7156--MA0002.2.RUNX1	chr5	92603164	92603174	+	0.000	0.000	Merged-chr5-92603127-58
NR1960--MA0002.2.RUNX1	chr12	55367005	55367015	-	0.000	0.000	Merged-chr12-55366796-37
NR9507--MA0684.1.RUNX3	chrX	77795899	77795908	+	0.000	0.000	Merged-chrX-77795992-119
NR3547--MA0511.2.RUNX2	chr15	96599114	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR2942--MA0002.2.RUNX1	chr14	47188183	47188193	-	0.000	0.000	Merged-chr14-47188104-35
NR6653--MA0511.2.RUNX2	chr4	116053543	116053551	-	0.000	0.000	Merged-chr4-116053495-96
NR2737--MA0002.2.RUNX1	chr13	117193644	117193654	+	0.000	0.000	Merged-chr13-117193569-3
NR6702--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR3448--MA0002.2.RUNX1	chr15	73225334	73225344	-	0.000	0.000	Merged-chr15-73225223-4
NR292--MA0511.2.RUNX2	chr1	82893719	82893727	-	0.000	0.000	Merged-chr1-82893598-7
NR7208--MA0684.1.RUNX3	chr5	101937984	101937993	+	0.000	0.000	Merged-chr5-101938144-3
NR5607--MA0511.2.RUNX2	chr3	10466141	10466149	+	0.000	0.000	Merged-chr3-10466039-18
NR987--MA0002.2.RUNX1	chr10	39793434	39793444	+	0.000	0.000	Merged-chr10-39793457-38
NR8343--MA0002.2.RUNX1	chr7	90131275	90131285	+	0.000	0.000	Merged-chr7-90131300-10
NR672--MA0511.2.RUNX2	chr1	173532205	173532213	+	0.000	0.000	Merged-chr1-173532000-25
NR4906--MA0002.2.RUNX1	chr2	11195199	11195209	+	0.000	0.000	Merged-chr2-11195107-54
NR7426--MA0684.1.RUNX3	chr6	8365098	8365107	-	0.000	0.000	Merged-chr6-8365103-3
NR2541--MA0002.2.RUNX1	chr13	86046847	86046857	+	0.000	0.000	Merged-chr13-86046681-54
NR7505--MA0511.2.RUNX2	chr6	32328214	32328222	-	0.000	0.000	Merged-chr6-32328311-28
NR3318--MA0002.2.RUNX1	chr15	37644430	37644440	+	0.000	0.000	Merged-chr15-37644500-63
NR6424--MA0002.2.RUNX1	chr4	45280316	45280326	+	0.000	0.000	Merged-chr4-45280353-18
NR8356--MA0002.2.RUNX1	chr7	96456512	96456522	-	0.000	0.000	Merged-chr7-96456783-25
NR6676--MA0002.2.RUNX1	chr4	123588773	123588783	-	0.000	0.000	Merged-chr4-123588937-38
NR7264--MA0684.1.RUNX3	chr5	113165187	113165196	+	0.000	0.000	Merged-chr5-113165071-16
NR7387--MA0002.2.RUNX1	chr5	148501500	148501510	+	0.000	0.000	Merged-chr5-148501527-73
NR2445--MA0002.2.RUNX1	chr13	59840898	59840908	+	0.000	0.000	Merged-chr13-59840941-45
NR3033--MA0684.1.RUNX3	chr14	75722247	75722256	+	0.000	0.000	Merged-chr14-75722251-22
NR3304--MA0684.1.RUNX3	chr15	36565767	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR857--MA0002.2.RUNX1	chr10	13925648	13925658	-	0.000	0.000	Merged-chr10-13925632-1
NR7138--MA0511.2.RUNX2	chr5	89198657	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR4377--MA0002.2.RUNX1	chr17	86038397	86038407	-	0.000	0.000	Merged-chr17-86038391-20
NR5359--MA0002.2.RUNX1	chr2	130577964	130577974	+	0.000	0.000	Merged-chr2-130578052-52
NR8465--MA0002.2.RUNX1	chr7	127144624	127144634	+	0.000	0.000	Merged-chr7-127144596-50
NR9053--MA0684.1.RUNX3	chr9	37554456	37554465	-	0.000	0.000	Merged-chr9-37554470-32
NR9119--MA0684.1.RUNX3	chr9	56465408	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR3364--MA0511.2.RUNX2	chr15	50697988	50697996	+	0.000	0.000	Merged-chr15-50698255-117
NR4234--MA0002.2.RUNX1	chr17	51800376	51800386	-	0.000	0.000	Merged-chr17-51800463-8
NR8988--MA0002.2.RUNX1	chr9	14500802	14500812	+	0.000	0.000	Merged-chr9-14500635-62
NR7518--MA0511.2.RUNX2	chr6	34495211	34495219	-	0.000	0.000	Merged-chr6-34495216-31
NR5838--MA0511.2.RUNX2	chr3	65435375	65435383	+	0.000	0.000	Merged-chr3-65435198-48
NR1700--MA0002.2.RUNX1	chr11	109445750	109445760	+	0.000	0.000	Merged-chr11-109445792-26
NR17--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR4072--MA0002.2.RUNX1	chr17	18032516	18032526	+	0.000	0.000	Merged-chr17-18032603-1
NR7005--MA0002.2.RUNX1	chr5	44606812	44606822	-	0.000	0.000	Merged-chr5-44606765-1
NR6423--MA0684.1.RUNX3	chr4	44097943	44097952	-	0.000	0.000	Merged-chr4-44098042-4
NR1174--MA0511.2.RUNX2	chr10	91167021	91167029	+	0.000	0.000	Merged-chr10-91167120-36
NR8560--MA0684.1.RUNX3	chr8	14090513	14090522	-	0.000	0.000	Merged-chr8-14090395-62
NR3026--MA0002.2.RUNX1	chr14	74847840	74847850	+	0.000	0.000	Merged-chr14-74847708-53
NR4181--MA0002.2.RUNX1	chr17	35222533	35222543	-	0.000	0.000	Merged-chr17-35222576-28
NR4723--MA0002.2.RUNX1	chr18	84807898	84807908	+	0.000	0.000	Merged-chr18-84807959-18
NR2715--MA0684.1.RUNX3	chr13	112355215	112355224	-	0.000	0.000	Merged-chr13-112355130-25
NR4247--MA0002.2.RUNX1	chr17	52463554	52463564	+	0.000	0.000	Merged-chr17-52463426-13
NR979--MA0002.2.RUNX1	chr10	39023754	39023764	+	0.000	0.000	Merged-chr10-39023842-41
NR8335--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR8957--MA0511.2.RUNX2	chr9	7897824	7897832	+	0.000	0.000	Merged-chr9-7897799-25
NR171--MA0684.1.RUNX3	chr1	53774180	53774189	+	0.000	0.000	Merged-chr1-53774073-61
NR9298--MA0002.2.RUNX1	chr9	96783897	96783907	-	0.000	0.000	Merged-chr9-96783920-38
NR4756--MA0684.1.RUNX3	chr19	5041211	5041220	+	0.000	0.000	Merged-chr19-5041354-41
NR2410--MA0684.1.RUNX3	chr13	47105883	47105892	+	0.000	0.000	Merged-chr13-47106094-91
NR2262--MA0002.2.RUNX1	chr13	6916212	6916222	+	0.000	0.000	Merged-chr13-6916028-1
NR5467--MA0684.1.RUNX3	chr2	153161502	153161511	+	0.000	0.000	Merged-chr2-153161513-55
NR2328--MA0002.2.RUNX1	chr13	22049920	22049930	-	0.000	0.000	Merged-chr13-22049966-26
NR346--MA0684.1.RUNX3	chr1	88475603	88475612	+	0.000	0.000	Merged-chr1-88475619-20
NR7127--MA0002.2.RUNX1	chr5	86087003	86087013	-	0.000	0.000	Merged-chr5-86086914-50
NR3168--MA0684.1.RUNX3	chr14	118774993	118775002	-	0.000	0.000	Merged-chr14-118775098-19
NR1074--MA0684.1.RUNX3	chr10	67658077	67658086	-	0.000	0.000	Merged-chr10-67657975-87
NR2894--MA0002.2.RUNX1	chr14	31569121	31569131	+	0.000	0.000	Merged-chr14-31569304-6
NR3548--MA0684.1.RUNX3	chr15	96599113	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR978--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR6111--MA0002.2.RUNX1	chr3	135407456	135407466	+	0.000	0.000	Merged-chr3-135407498-3
NR4103--MA0684.1.RUNX3	chr17	19445082	19445091	+	0.000	0.000	Merged-chr17-19445027-33
NR5307--MA0511.2.RUNX2	chr2	114145113	114145121	+	0.000	0.000	Merged-chr2-114145226-70
NR2275--MA0002.2.RUNX1	chr13	8783856	8783866	+	0.000	0.000	Merged-chr13-8783962-14
NR835--MA0684.1.RUNX3	chr10	9856012	9856021	+	0.000	0.000	Merged-chr10-9856019-18
NR6092--MA0002.2.RUNX1	chr3	129561207	129561217	+	0.000	0.000	Merged-chr3-129561081-2
NR4831--MA0684.1.RUNX3	chr19	36083078	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR6905--MA0002.2.RUNX1	chr5	18044603	18044613	-	0.000	0.000	Merged-chr5-18044510-1
NR4683--MA0002.2.RUNX1	chr18	77767858	77767868	+	0.000	0.000	Merged-chr18-77767671-52
NR4954--MA0002.2.RUNX1	chr2	19344909	19344919	-	0.000	0.000	Merged-chr2-19344795-21
NR339--MA0002.2.RUNX1	chr1	87378986	87378996	+	0.000	0.000	Merged-chr1-87378937-12
NR4335--MA0002.2.RUNX1	chr17	72925171	72925181	-	0.000	0.000	Merged-chr17-72925262-16
NR6472--MA0002.2.RUNX1	chr4	58121128	58121138	-	0.000	0.000	Merged-chr4-58121225-3
NR1801--MA0002.2.RUNX1	chr12	8844922	8844932	+	0.000	0.000	Merged-chr12-8844937-14
NR276--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR818--MA0511.2.RUNX2	chr10	8766172	8766180	+	0.000	0.000	Merged-chr10-8766277-7
NR382--MA0002.2.RUNX1	chr1	94092012	94092022	+	0.000	0.000	Merged-chr1-94091974-43
NR1782--MA0002.2.RUNX1	chr12	3426887	3426897	-	0.000	0.000	Merged-chr12-3427015-132
NR6951--MA0511.2.RUNX2	chr5	29195825	29195833	+	0.000	0.000	Merged-chr5-29195906-68
NR6524--MA0684.1.RUNX3	chr4	70410407	70410416	+	0.000	0.000	Merged-chr4-70410445-57
NR9309--MA0002.2.RUNX1	chr9	98616575	98616585	+	0.000	0.000	Merged-chr9-98616546-17
NR2416--MA0002.2.RUNX1	chr13	49298749	49298759	-	0.000	0.000	Merged-chr13-49298668-48
NR3399--MA0684.1.RUNX3	chr15	59619972	59619981	+	0.000	0.000	Merged-chr15-59620120-63
NR4824--MA0002.2.RUNX1	chr19	33265322	33265332	+	0.000	0.000	Merged-chr19-33265390-26
NR2397--MA0002.2.RUNX1	chr13	44097391	44097401	-	0.000	0.000	Merged-chr13-44097360-12
NR2002--MA0002.2.RUNX1	chr12	73598394	73598404	+	0.000	0.000	Merged-chr12-73598343-51
NR686--MA0684.1.RUNX3	chr1	175669154	175669163	+	0.000	0.000	Merged-chr1-175669210-35
NR4953--MA0684.1.RUNX3	chr2	19344824	19344833	-	0.000	0.000	Merged-chr2-19344795-21
NR2131--MA0684.1.RUNX3	chr12	99647051	99647060	+	0.000	0.000	Merged-chr12-99647039-10
NR2254--MA0002.2.RUNX1	chr13	5864746	5864756	+	0.000	0.000	Merged-chr13-5864867-1
NR8770--MA0684.1.RUNX3	chr8	88279326	88279335	-	0.000	0.000	Merged-chr8-88279591-45
NR338--MA0684.1.RUNX3	chr1	86440719	86440728	+	0.000	0.000	Merged-chr1-86440751-39
NR8893--MA0002.2.RUNX1	chr8	118830517	118830527	+	0.000	0.000	Merged-chr8-118830505-12
NR6613--MA0002.2.RUNX1	chr4	98113774	98113784	+	0.000	0.000	Merged-chr4-98113853-12
NR9399--MA0002.2.RUNX1	chr9	120078413	120078423	-	0.000	0.000	Merged-chr9-120078496-7
NR8915--MA0511.2.RUNX2	chr8	123000573	123000581	-	0.000	0.000	Merged-chr8-123000494-51
NR4043--MA0002.2.RUNX1	chr17	12992196	12992206	-	0.000	0.000	Merged-chr17-12992302-122
NR2634--MA0002.2.RUNX1	chr13	101308917	101308927	+	0.000	0.000	Merged-chr13-101308963-14
NR2158--MA0002.2.RUNX1	chr12	110770983	110770993	+	0.000	0.000	Merged-chr12-110770987-31
NR4394--MA0511.2.RUNX2	chr17	88562692	88562700	-	0.000	0.000	Merged-chr17-88562797-4
NR6994--MA0684.1.RUNX3	chr5	41708343	41708352	+	0.000	0.000	Merged-chr5-41708072-132
NR9--MA0511.2.RUNX2	chr1	6406418	6406426	-	0.000	0.000	Merged-chr1-6406629-55
NR2829--MA0684.1.RUNX3	chr14	15273275	15273284	-	0.000	0.000	Merged-chr14-15273135-43
NR5992--MA0002.2.RUNX1	chr3	103466208	103466218	-	0.000	0.000	Merged-chr3-103466121-19
NR1761--MA0002.2.RUNX1	chr11	119083833	119083843	-	0.000	0.000	Merged-chr11-119083935-60
NR8511--MA0002.2.RUNX1	chr7	143004973	143004983	+	0.000	0.000	Merged-chr7-143004947-1
NR4360--MA0511.2.RUNX2	chr17	80772670	80772678	-	0.000	0.000	Merged-chr17-80772766-52
NR536--MA0002.2.RUNX1	chr1	144283483	144283493	-	0.000	0.000	Merged-chr1-144283563-68
NR2746--MA0511.2.RUNX2	chr13	119706667	119706675	-	0.000	0.000	Merged-chr13-119706684-31
NR8558--MA0002.2.RUNX1	chr8	14090512	14090522	+	0.000	0.000	Merged-chr8-14090395-62
NR807--MA0002.2.RUNX1	chr10	7005413	7005423	-	0.000	0.000	Merged-chr10-7005430-4
NR665--MA0684.1.RUNX3	chr1	172312074	172312083	+	0.000	0.000	Merged-chr1-172312178-79
NR4949--MA0511.2.RUNX2	chr2	18952328	18952336	+	0.000	0.000	Merged-chr2-18952458-63
NR1079--MA0684.1.RUNX3	chr10	68673690	68673699	-	0.000	0.000	Merged-chr10-68673774-53
NR8081--MA0511.2.RUNX2	chr7	6172089	6172097	+	0.000	0.000	Merged-chr7-6172024-124
NR6721--MA0684.1.RUNX3	chr4	134642024	134642033	+	0.000	0.000	Merged-chr4-134642170-32
NR1360--MA0002.2.RUNX1	chr11	5541337	5541347	-	0.000	0.000	Merged-chr11-5541384-26
NR4688--MA0002.2.RUNX1	chr18	78014888	78014898	+	0.000	0.000	Merged-chr18-78014896-40
NR2342--MA0002.2.RUNX1	chr13	28502512	28502522	-	0.000	0.000	Merged-chr13-28502397-49
NR1760--MA0684.1.RUNX3	chr11	119076033	119076042	+	0.000	0.000	Merged-chr11-119075997-48
NR8510--MA0684.1.RUNX3	chr7	141194084	141194093	-	0.000	0.000	Merged-chr7-141194198-81
NR2616--MA0511.2.RUNX2	chr13	99503596	99503604	-	0.000	0.000	Merged-chr13-99503494-98
NR6477--MA0002.2.RUNX1	chr4	59244348	59244358	-	0.000	0.000	Merged-chr4-59244253-10
