#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR8142--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR932--MA0089.1.MAFG::NFE2L1	chr1	161734763	161734768	-	0.000	0.000	Merged-chr1-161734917-117
NR5127--MA0496.2.MAFK	chr15	38470738	38470756	-	0.000	0.000	Merged-chr15-38470739-79
NR7113--MA0089.1.MAFG::NFE2L1	chr18	84859697	84859702	+	0.000	0.000	Merged-chr18-84859622-32
NR2168--MA0591.1.Bach1::Mafk	chr11	5762415	5762429	-	0.000	0.000	Merged-chr11-5762236-58
NR11093--MA0089.1.MAFG::NFE2L1	chr5	97702730	97702735	-	0.000	0.000	Merged-chr5-97702819-2
NR10720--MA0495.2.MAFF	chr5	21658704	21658724	+	0.000	0.000	Merged-chr5-21658802-28
NR9164--MA0501.1.MAF::NFE2	chr3	90587051	90587065	-	0.000	0.000	Merged-chr3-90587051-129
NR3130--MA0501.1.MAF::NFE2	chr12	77138857	77138871	+	0.000	0.000	Merged-chr12-77138910-46
NR4988--MA0501.1.MAF::NFE2	chr14	121345390	121345404	-	0.000	0.000	Merged-chr14-121345189-15
NR5015--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR14090--MA0495.2.MAFF	chr9	7776014	7776034	-	0.000	0.000	Merged-chr9-7776145-26
NR5047--MA0495.2.MAFF	chr15	10723725	10723745	+	0.000	0.000	Merged-chr15-10723648-41
NR10379--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR1856--MA0591.1.Bach1::Mafk	chr10	93946124	93946138	-	0.000	0.000	Merged-chr10-93946109-39
NR10071--MA0495.2.MAFF	chr4	88110178	88110198	+	0.000	0.000	Merged-chr4-88110065-14
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR1080--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR10867--MA0501.1.MAF::NFE2	chr5	52908397	52908411	+	0.000	0.000	Merged-chr5-52908402-27
NR1772--MA0501.1.MAF::NFE2	chr10	84896037	84896051	+	0.000	0.000	Merged-chr10-84895953-22
NR8431--MA0089.1.MAFG::NFE2L1	chr2	146606407	146606412	-	0.000	0.000	Merged-chr2-146606447-27
NR5398--MA0117.2.Mafb	chr15	92138443	92138454	-	0.000	0.000	Merged-chr15-92138453-8
NR2153--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR10704--MA0117.2.Mafb	chr5	17653770	17653781	+	0.000	0.000	Merged-chr5-17653657-7
NR10768--MA0089.1.MAFG::NFE2L1	chr5	31193021	31193026	+	0.000	0.000	Merged-chr5-31193113-62
NR6487--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR13352--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR5443--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR3404--MA0591.1.Bach1::Mafk	chr12	111809981	111809995	+	0.000	0.000	Merged-chr12-111809959-15
NR10610--MA0117.2.Mafb	chr5	3358909	3358920	+	0.000	0.000	Merged-chr5-3358967-15
NR469--MA0117.2.Mafb	chr1	91024084	91024095	+	0.000	0.000	Merged-chr1-91024136-16
NR10364--MA0089.1.MAFG::NFE2L1	chr4	127319878	127319883	-	0.000	0.000	Merged-chr4-127319840-19
NR7856--MA0501.1.MAF::NFE2	chr2	73486470	73486484	+	0.000	0.000	Merged-chr2-73486434-24
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR5510--MA0117.2.Mafb	chr16	11519478	11519489	-	0.000	0.000	Merged-chr16-11519349-21
NR10955--MA0089.1.MAFG::NFE2L1	chr5	67306954	67306959	+	0.000	0.000	Merged-chr5-67307077-62
NR9373--MA0089.1.MAFG::NFE2L1	chr3	116332015	116332020	+	0.000	0.000	Merged-chr3-116332074-27
NR14361--MA0591.1.Bach1::Mafk	chr9	63721904	63721918	+	0.000	0.000	Merged-chr9-63721553-124
NR6909--MA0117.2.Mafb	chr18	63708707	63708718	-	0.000	0.000	Merged-chr18-63708781-66
NR3796--MA0117.2.Mafb	chr13	51651721	51651732	+	0.000	0.000	Merged-chr13-51651703-54
NR9847--MA0501.1.MAF::NFE2	chr4	33587764	33587778	-	0.000	0.000	Merged-chr4-33587729-131
NR10175--MA0089.1.MAFG::NFE2L1	chr4	102981887	102981892	-	0.000	0.000	Merged-chr4-102981884-20
NR1388--MA0117.2.Mafb	chr10	21366096	21366107	+	0.000	0.000	Merged-chr10-21366079-21
NR7853--MA0591.1.Bach1::Mafk	chr2	72170816	72170830	+	0.000	0.000	Merged-chr2-72170854-84
NR10073--MA0117.2.Mafb	chr4	88110187	88110198	-	0.000	0.000	Merged-chr4-88110065-14
NR1711--MA0501.1.MAF::NFE2	chr10	78476948	78476962	+	0.000	0.000	Merged-chr10-78476877-17
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR7938--MA0591.1.Bach1::Mafk	chr2	84059442	84059456	-	0.000	0.000	Merged-chr2-84059493-47
NR6940--MA0591.1.Bach1::Mafk	chr18	67290663	67290677	-	0.000	0.000	Merged-chr18-67290612-3
NR2225--MA0496.2.MAFK	chr11	20107922	20107940	-	0.000	0.000	Merged-chr11-20107877-60
NR6285--MA0495.2.MAFF	chr17	32891342	32891362	-	0.000	0.000	Merged-chr17-32891413-48
NR2468--MA0089.1.MAFG::NFE2L1	chr11	62731559	62731564	-	0.000	0.000	Merged-chr11-62731750-77
NR163--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR2353--MA0089.1.MAFG::NFE2L1	chr11	46474480	46474485	-	0.000	0.000	Merged-chr11-46474391-31
NR12471--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR4886--MA0117.2.Mafb	chr14	103033626	103033637	-	0.000	0.000	Merged-chr14-103033598-47
NR3696--MA0495.2.MAFF	chr13	37783912	37783932	+	0.000	0.000	Merged-chr13-37783892-22
NR7240--MA0496.2.MAFK	chr19	20424389	20424407	+	0.000	0.000	Merged-chr19-20424322-22
NR6232--MA0591.1.Bach1::Mafk	chr17	26572482	26572496	-	0.000	0.000	Merged-chr17-26572396-49
NR1639--MA0089.1.MAFG::NFE2L1	chr10	67498273	67498278	-	0.000	0.000	Merged-chr10-67498312-2
NR14972--MA0089.1.MAFG::NFE2L1	chrX	105716158	105716163	+	0.000	0.000	Merged-chrX-105716099-35
NR199--MA0501.1.MAF::NFE2	chr1	51509243	51509257	+	0.000	0.000	Merged-chr1-51509217-43
NR132--MA0501.1.MAF::NFE2	chr1	36262321	36262335	+	0.000	0.000	Merged-chr1-36262219-41
NR1265--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR12364--MA0501.1.MAF::NFE2	chr6	134615227	134615241	+	0.000	0.000	Merged-chr6-134615220-54
NR12347--MA0089.1.MAFG::NFE2L1	chr6	131404460	131404465	+	0.000	0.000	Merged-chr6-131404505-15
NR2279--MA0089.1.MAFG::NFE2L1	chr11	32542734	32542739	+	0.000	0.000	Merged-chr11-32542755-79
NR14002--MA0089.1.MAFG::NFE2L1	chr8	124699876	124699881	-	0.000	0.000	Merged-chr8-124699852-21
NR5354--MA0089.1.MAFG::NFE2L1	chr15	82112181	82112186	-	0.000	0.000	Merged-chr15-82112003-17
NR5403--MA0117.2.Mafb	chr15	93245665	93245676	+	0.000	0.000	Merged-chr15-93245731-28
NR2823--MA0659.1.MAFG	chr11	119929851	119929871	+	0.000	0.000	Merged-chr11-119929820-6
NR8458--MA0659.1.MAFG	chr2	148409916	148409936	-	0.000	0.000	Merged-chr2-148410092-7
NR7473--MA0496.2.MAFK	chr2	9536068	9536086	+	0.000	0.000	Merged-chr2-9536121-12
NR24--MA0089.1.MAFG::NFE2L1	chr1	13301687	13301692	+	0.000	0.000	Merged-chr1-13301807-39
NR13654--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR10954--MA0501.1.MAF::NFE2	chr5	67300127	67300141	-	0.000	0.000	Merged-chr5-67300252-37
NR9301--MA0501.1.MAF::NFE2	chr3	107796787	107796801	+	0.000	0.000	Merged-chr3-107796765-38
NR1322--MA0089.1.MAFG::NFE2L1	chr10	12823692	12823697	+	0.000	0.000	Merged-chr10-12823513-1
NR2138--MA0117.2.Mafb	chr11	3159778	3159789	-	0.000	0.000	Merged-chr11-3159670-75
NR7266--MA0501.1.MAF::NFE2	chr19	21946595	21946609	+	0.000	0.000	Merged-chr19-21946684-18
NR3671--MA0089.1.MAFG::NFE2L1	chr13	32983043	32983048	+	0.000	0.000	Merged-chr13-32982935-23
NR11229--MA0089.1.MAFG::NFE2L1	chr5	111273723	111273728	+	0.000	0.000	Merged-chr5-111273731-20
NR11620--MA0659.1.MAFG	chr6	29827423	29827443	-	0.000	0.000	Merged-chr6-29827502-39
NR5421--MA0501.1.MAF::NFE2	chr15	96520618	96520632	-	0.000	0.000	Merged-chr15-96520737-46
NR11795--MA0089.1.MAFG::NFE2L1	chr6	65538420	65538425	+	0.000	0.000	Merged-chr6-65538516-95
NR8275--MA0591.1.Bach1::Mafk	chr2	128365993	128366007	-	0.000	0.000	Merged-chr2-128365920-27
NR7820--MA0117.2.Mafb	chr2	66102479	66102490	-	0.000	0.000	Merged-chr2-66102335-49
NR14744--MA0496.2.MAFK	chr9	117910892	117910910	+	0.000	0.000	Merged-chr9-117910970-21
NR4231--MA0495.2.MAFF	chr13	113322203	113322223	-	0.000	0.000	Merged-chr13-113322180-25
NR8946--MA0089.1.MAFG::NFE2L1	chr3	54567428	54567433	+	0.000	0.000	Merged-chr3-54567528-25
NR6296--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR7411--MA0089.1.MAFG::NFE2L1	chr19	56721528	56721533	-	0.000	0.000	Merged-chr19-56721379-1
NR2373--MA0496.2.MAFK	chr11	51264659	51264677	+	0.000	0.000	Merged-chr11-51264498-29
NR6751--MA0495.2.MAFF	chr18	32941393	32941413	+	0.000	0.000	Merged-chr18-32941218-63
NR14148--MA0501.1.MAF::NFE2	chr9	21609994	21610008	-	0.000	0.000	Merged-chr9-21610100-42
NR13145--MA0501.1.MAF::NFE2	chr7	119861788	119861802	-	0.000	0.000	Merged-chr7-119861539-102
NR7935--MA0495.2.MAFF	chr2	84059439	84059459	+	0.000	0.000	Merged-chr2-84059493-47
NR8876--MA0591.1.Bach1::Mafk	chr3	35764840	35764854	-	0.000	0.000	Merged-chr3-35764985-46
NR9471--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR844--MA0495.2.MAFF	chr1	153288164	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR9107--MA0089.1.MAFG::NFE2L1	chr3	84667382	84667387	-	0.000	0.000	Merged-chr3-84667466-30
NR1078--MA0495.2.MAFF	chr1	180403754	180403774	-	0.000	0.000	Merged-chr1-180403715-60
NR10431--MA0591.1.Bach1::Mafk	chr4	136031451	136031465	+	0.000	0.000	Merged-chr4-136031447-41
NR5719--MA0496.2.MAFK	chr16	43303489	43303507	-	0.000	0.000	Merged-chr16-43303663-37
NR5427--MA0591.1.Bach1::Mafk	chr15	97361181	97361195	-	0.000	0.000	Merged-chr15-97361236-9
NR3899--MA0089.1.MAFG::NFE2L1	chr13	67814191	67814196	-	0.000	0.000	Merged-chr13-67814064-68
NR13140--MA0495.2.MAFF	chr7	119861788	119861808	+	0.000	0.000	Merged-chr7-119861539-102
NR7255--MA0591.1.Bach1::Mafk	chr19	21787354	21787368	+	0.000	0.000	Merged-chr19-21787247-22
NR13332--MA0496.2.MAFK	chr7	141167989	141168007	+	0.000	0.000	Merged-chr7-141167957-1
NR3708--MA0501.1.MAF::NFE2	chr13	38038016	38038030	-	0.000	0.000	Merged-chr13-38038059-24
NR752--MA0089.1.MAFG::NFE2L1	chr1	136685551	136685556	+	0.000	0.000	Merged-chr1-136685597-75
NR6570--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR426--MA0591.1.Bach1::Mafk	chr1	85250860	85250874	-	0.000	0.000	Merged-chr1-85250842-29
NR14128--MA0089.1.MAFG::NFE2L1	chr9	15037803	15037808	+	0.000	0.000	Merged-chr9-15037808-4
NR172--MA0496.2.MAFK	chr1	43139747	43139765	+	0.000	0.000	Merged-chr1-43139813-33
NR3137--MA0495.2.MAFF	chr12	79488966	79488986	+	0.000	0.000	Merged-chr12-79488992-20
NR3582--MA0089.1.MAFG::NFE2L1	chr13	13564505	13564510	-	0.000	0.000	Merged-chr13-13564699-51
NR6785--MA0501.1.MAF::NFE2	chr18	39031391	39031405	-	0.000	0.000	Merged-chr18-39031215-33
NR6847--MA0117.2.Mafb	chr18	54900628	54900639	+	0.000	0.000	Merged-chr18-54900599-82
NR7726--MA0089.1.MAFG::NFE2L1	chr2	52891300	52891305	-	0.000	0.000	Merged-chr2-52891472-34
NR13339--MA0117.2.Mafb	chr7	142114131	142114142	+	0.000	0.000	Merged-chr7-142113991-20
NR7610--MA0117.2.Mafb	chr2	32921209	32921220	-	0.000	0.000	Merged-chr2-32921398-14
NR3376--MA0117.2.Mafb	chr12	108613427	108613438	+	0.000	0.000	Merged-chr12-108613293-25
NR949--MA0117.2.Mafb	chr1	163910307	163910318	-	0.000	0.000	Merged-chr1-163910520-32
NR1517--MA0495.2.MAFF	chr10	44716058	44716078	-	0.000	0.000	Merged-chr10-44715918-29
NR12191--MA0659.1.MAFG	chr6	120294491	120294511	+	0.000	0.000	Merged-chr6-120294540-46
NR2797--MA0591.1.Bach1::Mafk	chr11	116254800	116254814	+	0.000	0.000	Merged-chr11-116254750-41
NR14308--MA0117.2.Mafb	chr9	52356768	52356779	+	0.000	0.000	Merged-chr9-52356728-32
NR765--MA0089.1.MAFG::NFE2L1	chr1	138596496	138596501	-	0.000	0.000	Merged-chr1-138596413-38
NR8273--MA0495.2.MAFF	chr2	128365990	128366010	+	0.000	0.000	Merged-chr2-128365920-27
NR274--MA0089.1.MAFG::NFE2L1	chr1	62875856	62875861	-	0.000	0.000	Merged-chr1-62876051-68
NR13952--MA0089.1.MAFG::NFE2L1	chr8	117395282	117395287	-	0.000	0.000	Merged-chr8-117395323-13
NR7937--MA0117.2.Mafb	chr2	84059439	84059450	+	0.000	0.000	Merged-chr2-84059493-47
NR8613--MA0501.1.MAF::NFE2	chr2	167775304	167775318	-	0.000	0.000	Merged-chr2-167775389-53
NR6608--MA0089.1.MAFG::NFE2L1	chr17	88511407	88511412	-	0.000	0.000	Merged-chr17-88511397-31
NR5378--MA0089.1.MAFG::NFE2L1	chr15	86054364	86054369	-	0.000	0.000	Merged-chr15-86054318-51
NR5263--MA0089.1.MAFG::NFE2L1	chr15	65810926	65810931	-	0.000	0.000	Merged-chr15-65810890-18
NR11095--MA0495.2.MAFF	chr5	98016905	98016925	+	0.000	0.000	Merged-chr5-98016849-63
NR1868--MA0117.2.Mafb	chr10	94919750	94919761	+	0.000	0.000	Merged-chr10-94919760-32
NR7622--MA0495.2.MAFF	chr2	34938703	34938723	+	0.000	0.000	Merged-chr2-34938971-69
NR8619--MA0591.1.Bach1::Mafk	chr2	167986854	167986868	+	0.000	0.000	Merged-chr2-167986885-20
NR2368--MA0591.1.Bach1::Mafk	chr11	51264661	51264675	+	0.000	0.000	Merged-chr11-51264498-29
NR6563--MA0501.1.MAF::NFE2	chr17	80933610	80933624	-	0.000	0.000	Merged-chr17-80933774-41
NR14114--MA0495.2.MAFF	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR1436--MA0501.1.MAF::NFE2	chr10	28695161	28695175	-	0.000	0.000	Merged-chr10-28695198-52
NR7403--MA0501.1.MAF::NFE2	chr19	56451097	56451111	+	0.000	0.000	Merged-chr19-56451111-33
NR5189--MA0089.1.MAFG::NFE2L1	chr15	55097473	55097478	-	0.000	0.000	Merged-chr15-55097336-26
NR4145--MA0089.1.MAFG::NFE2L1	chr13	108316171	108316176	-	0.000	0.000	Merged-chr13-108316339-65
NR10450--MA0117.2.Mafb	chr4	140699856	140699867	-	0.000	0.000	Merged-chr4-140699867-49
NR1553--MA0495.2.MAFF	chr10	53346649	53346669	+	0.000	0.000	Merged-chr10-53346835-25
NR8479--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR8369--MA0117.2.Mafb	chr2	140042604	140042615	-	0.000	0.000	Merged-chr2-140042676-83
NR13185--MA0089.1.MAFG::NFE2L1	chr7	125512077	125512082	-	0.000	0.000	Merged-chr7-125512112-4
NR14429--MA0591.1.Bach1::Mafk	chr9	79970922	79970936	-	0.000	0.000	Merged-chr9-79970896-33
NR2994--MA0659.1.MAFG	chr12	41044928	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR8060--MA0117.2.Mafb	chr2	104095846	104095857	-	0.000	0.000	Merged-chr2-104095908-22
NR9285--MA0501.1.MAF::NFE2	chr3	105763612	105763626	+	0.000	0.000	Merged-chr3-105763665-52
NR1585--MA0591.1.Bach1::Mafk	chr10	59380458	59380472	+	0.000	0.000	Merged-chr10-59380482-71
NR11059--MA0496.2.MAFK	chr5	92375102	92375120	+	0.000	0.000	Merged-chr5-92374946-3
NR3605--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR6322--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR5463--MA0089.1.MAFG::NFE2L1	chr15	101105609	101105614	+	0.000	0.000	Merged-chr15-101105775-48
NR11238--MA0089.1.MAFG::NFE2L1	chr5	112275279	112275284	+	0.000	0.000	Merged-chr5-112275327-24
NR424--MA0495.2.MAFF	chr1	85250857	85250877	+	0.000	0.000	Merged-chr1-85250842-29
NR3939--MA0495.2.MAFF	chr13	76129008	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR2475--MA0089.1.MAFG::NFE2L1	chr11	64021040	64021045	-	0.000	0.000	Merged-chr11-64021089-15
NR11200--MA0117.2.Mafb	chr5	107264915	107264926	+	0.000	0.000	Merged-chr5-107265096-67
NR9962--MA0501.1.MAF::NFE2	chr4	59204836	59204850	-	0.000	0.000	Merged-chr4-59204829-36
NR6420--MA0496.2.MAFK	chr17	56162453	56162471	+	0.000	0.000	Merged-chr17-56162461-54
NR9999--MA0089.1.MAFG::NFE2L1	chr4	62806759	62806764	+	0.000	0.000	Merged-chr4-62806731-67
NR2220--MA0591.1.Bach1::Mafk	chr11	20107924	20107938	-	0.000	0.000	Merged-chr11-20107877-60
NR11155--MA0591.1.Bach1::Mafk	chr5	103425235	103425249	+	0.000	0.000	Merged-chr5-103425256-74
NR8088--MA0089.1.MAFG::NFE2L1	chr2	112367902	112367907	+	0.000	0.000	Merged-chr2-112367834-78
NR11701--MA0089.1.MAFG::NFE2L1	chr6	50417017	50417022	+	0.000	0.000	Merged-chr6-50417055-62
NR7044--MA0089.1.MAFG::NFE2L1	chr18	79263189	79263194	+	0.000	0.000	Merged-chr18-79263255-24
NR13044--MA0117.2.Mafb	chr7	110061589	110061600	-	0.000	0.000	Merged-chr7-110061592-78
NR372--MA0089.1.MAFG::NFE2L1	chr1	80747393	80747398	-	0.000	0.000	Merged-chr1-80747155-18
NR2819--MA0591.1.Bach1::Mafk	chr11	119355586	119355600	-	0.000	0.000	Merged-chr11-119355654-77
NR8047--MA0117.2.Mafb	chr2	102850106	102850117	+	0.000	0.000	Merged-chr2-102849968-21
NR14646--MA0591.1.Bach1::Mafk	chr9	108827299	108827313	+	0.000	0.000	Merged-chr9-108827209-27
NR12070--MA0591.1.Bach1::Mafk	chr6	108477012	108477026	-	0.000	0.000	Merged-chr6-108477065-48
NR5476--MA0089.1.MAFG::NFE2L1	chr15	102510783	102510788	+	0.000	0.000	Merged-chr15-102510806-31
