#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1663--MA0463.1.Bcl6	chr6	57814058	57814071	-	0.000	0.000	Merged-chr6-57814077-20
NR2077--MA0463.1.Bcl6	chr9	96785330	96785343	-	0.000	0.000	Merged-chr9-96785400-18
NR780--MA0463.1.Bcl6	chr15	93519406	93519419	+	0.000	0.000	Merged-chr15-93519280-70
NR1793--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR1659--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR711--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR1996--MA0731.1.BCL6B	chr9	18277555	18277571	-	0.000	0.000	Merged-chr9-18277609-13
NR1104--MA0463.1.Bcl6	chr2	65331317	65331330	+	0.000	0.000	Merged-chr2-65331508-29
NR820--MA0731.1.BCL6B	chr16	52143316	52143332	+	0.000	0.000	Merged-chr16-52143257-58
NR1695--MA0463.1.Bcl6	chr6	97107092	97107105	+	0.000	0.000	Merged-chr6-97107020-27
NR1247--MA0731.1.BCL6B	chr3	30602087	30602103	+	0.000	0.000	Merged-chr3-30601989-42
NR1346--MA0463.1.Bcl6	chr3	131250572	131250585	+	0.000	0.000	Merged-chr3-131250529-24
NR566--MA0463.1.Bcl6	chr13	73714215	73714228	+	0.000	0.000	Merged-chr13-73714224-16
NR351--MA0463.1.Bcl6	chr11	77386339	77386352	+	0.000	0.000	Merged-chr11-77386373-55
NR208--MA0463.1.Bcl6	chr10	42701708	42701721	-	0.000	0.000	Merged-chr10-42701771-5
NR1465--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1024--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR96--MA0731.1.BCL6B	chr1	138596458	138596474	+	0.000	0.000	Merged-chr1-138596413-38
NR1154--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR1173--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR374--MA0463.1.Bcl6	chr11	98948149	98948162	+	0.000	0.000	Merged-chr11-98948156-24
NR1942--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR271--MA0463.1.Bcl6	chr10	117918824	117918837	+	0.000	0.000	Merged-chr10-117918701-83
NR392--MA0731.1.BCL6B	chr11	115628145	115628161	+	0.000	0.000	Merged-chr11-115628140-53
NR907--MA0463.1.Bcl6	chr17	50084090	50084103	+	0.000	0.000	Merged-chr17-50084129-24
NR1728--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR146--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR813--MA0463.1.Bcl6	chr16	45756938	45756951	+	0.000	0.000	Merged-chr16-45757061-23
NR1190--MA0463.1.Bcl6	chr2	147012096	147012109	+	0.000	0.000	Merged-chr2-147011946-5
NR1826--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR88--MA0731.1.BCL6B	chr1	134098103	134098119	+	0.000	0.000	Merged-chr1-134098207-8
NR817--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR2052--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR961--MA0463.1.Bcl6	chr18	38365161	38365174	+	0.000	0.000	Merged-chr18-38365063-36
NR132--MA0731.1.BCL6B	chr1	165236470	165236486	-	0.000	0.000	Merged-chr1-165236335-1
NR798--MA0731.1.BCL6B	chr16	21672094	21672110	+	0.000	0.000	Merged-chr16-21672078-13
NR1287--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR1079--MA0463.1.Bcl6	chr2	44981636	44981649	-	0.000	0.000	Merged-chr2-44981813-26
NR1858--MA0463.1.Bcl6	chr7	120727725	120727738	-	0.000	0.000	Merged-chr7-120727783-30
NR634--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR905--MA0731.1.BCL6B	chr17	46073764	46073780	-	0.000	0.000	Merged-chr17-46073947-66
NR523--MA0463.1.Bcl6	chr13	21750310	21750323	-	0.000	0.000	Merged-chr13-21750455-56
NR1997--MA0463.1.Bcl6	chr9	21320903	21320916	-	0.000	0.000	Merged-chr9-21320762-47
NR1266--MA0731.1.BCL6B	chr3	63899336	63899352	-	0.000	0.000	Merged-chr3-63899109-67
NR45--MA0463.1.Bcl6	chr1	86394525	86394538	+	0.000	0.000	Merged-chr1-86394473-34
NR868--MA0463.1.Bcl6	chr17	3521440	3521453	-	0.000	0.000	Merged-chr17-3521498-21
NR1027--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR59--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR765--MA0463.1.Bcl6	chr15	77789313	77789326	-	0.000	0.000	Merged-chr15-77789452-41
NR407--MA0463.1.Bcl6	chr12	17387994	17388007	-	0.000	0.000	Merged-chr12-17388017-60
NR517--MA0731.1.BCL6B	chr13	9767665	9767681	-	0.000	0.000	Merged-chr13-9767570-31
NR1407--MA0731.1.BCL6B	chr4	43045926	43045942	+	0.000	0.000	Merged-chr4-43046068-69
NR886--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1778--MA0463.1.Bcl6	chr7	38090387	38090400	-	0.000	0.000	Merged-chr7-38090413-30
NR425--MA0463.1.Bcl6	chr12	52818807	52818820	-	0.000	0.000	Merged-chr12-52818712-31
NR443--MA0463.1.Bcl6	chr12	77788478	77788491	+	0.000	0.000	Merged-chr12-77788504-44
NR844--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR1241--MA0463.1.Bcl6	chr2	180051155	180051168	-	0.000	0.000	Merged-chr2-180051185-31
NR477--MA0731.1.BCL6B	chr12	102332398	102332414	-	0.000	0.000	Merged-chr12-102332454-11
NR1096--MA0731.1.BCL6B	chr2	59488321	59488337	+	0.000	0.000	Merged-chr2-59488284-24
NR86--MA0463.1.Bcl6	chr1	131085425	131085438	-	0.000	0.000	Merged-chr1-131085349-9
NR327--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR112--MA0463.1.Bcl6	chr1	155293642	155293655	-	0.000	0.000	Merged-chr1-155293636-24
NR509--MA0731.1.BCL6B	chr12	119157077	119157093	-	0.000	0.000	Merged-chr12-119157162-44
NR1492--MA0463.1.Bcl6	chr4	138975489	138975502	+	0.000	0.000	Merged-chr4-138975429-9
NR1134--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR823--MA0731.1.BCL6B	chr16	57336821	57336837	+	0.000	0.000	Merged-chr16-57337059-55
NR345--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR599--MA0731.1.BCL6B	chr13	100790432	100790448	+	0.000	0.000	Merged-chr13-100790409-21
NR217--MA0731.1.BCL6B	chr10	58675865	58675881	-	0.000	0.000	Merged-chr10-58675736-25
NR381--MA0463.1.Bcl6	chr11	103375378	103375391	-	0.000	0.000	Merged-chr11-103375376-18
NR198--MA0731.1.BCL6B	chr10	13057151	13057167	-	0.000	0.000	Merged-chr10-13057097-43
NR229--MA0463.1.Bcl6	chr10	67644394	67644407	+	0.000	0.000	Merged-chr10-67644505-31
NR1197--MA0731.1.BCL6B	chr2	150437809	150437825	+	0.000	0.000	Merged-chr2-150437755-14
NR2023--MA0731.1.BCL6B	chr9	57836947	57836963	-	0.000	0.000	Merged-chr9-57836875-58
NR171--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR382--MA0731.1.BCL6B	chr11	106958393	106958409	-	0.000	0.000	Merged-chr11-106958567-20
NR448--MA0731.1.BCL6B	chr12	80643868	80643884	-	0.000	0.000	Merged-chr12-80643898-100
NR2145--MA0731.1.BCL6B	chrX	100476537	100476553	-	0.000	0.000	Merged-chrX-100476611-55
NR2002--MA0731.1.BCL6B	chr9	32594531	32594547	+	0.000	0.000	Merged-chr9-32594541-47
NR919--MA0463.1.Bcl6	chr17	66077045	66077058	+	0.000	0.000	Merged-chr17-66076994-114
NR395--MA0731.1.BCL6B	chr11	116669950	116669966	-	0.000	0.000	Merged-chr11-116669972-23
NR2028--MA0463.1.Bcl6	chr9	62420178	62420191	+	0.000	0.000	Merged-chr9-62420075-10
NR1981--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR78--MA0731.1.BCL6B	chr1	127733005	127733021	-	0.000	0.000	Merged-chr1-127732945-24
NR955--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR1641--MA0463.1.Bcl6	chr6	7002324	7002337	-	0.000	0.000	Merged-chr6-7002391-6
NR645--MA0731.1.BCL6B	chr14	27262546	27262562	-	0.000	0.000	Merged-chr14-27262535-17
NR1301--MA0463.1.Bcl6	chr3	103375968	103375981	-	0.000	0.000	Merged-chr3-103375915-4
NR2071--MA0731.1.BCL6B	chr9	94668742	94668758	-	0.000	0.000	Merged-chr9-94668774-42
NR727--MA0463.1.Bcl6	chr15	12371406	12371419	+	0.000	0.000	Merged-chr15-12371387-24
NR1628--MA0463.1.Bcl6	chr5	143622275	143622288	-	0.000	0.000	Merged-chr5-143622364-69
NR991--MA0463.1.Bcl6	chr18	73548730	73548743	+	0.000	0.000	Merged-chr18-73548790-35
NR857--MA0463.1.Bcl6	chr16	93977791	93977804	-	0.000	0.000	Merged-chr16-93977807-10
NR101--MA0731.1.BCL6B	chr1	144689062	144689078	+	0.000	0.000	Merged-chr1-144689065-18
NR1753--MA0731.1.BCL6B	chr6	144962127	144962143	-	0.000	0.000	Merged-chr6-144962023-22
NR1655--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR199--MA0463.1.Bcl6	chr10	14066209	14066222	-	0.000	0.000	Merged-chr10-14066140-19
NR660--MA0463.1.Bcl6	chr14	47518920	47518933	+	0.000	0.000	Merged-chr14-47518812-18
NR257--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR987--MA0463.1.Bcl6	chr18	69644888	69644901	-	0.000	0.000	Merged-chr18-69644802-19
NR114--MA0731.1.BCL6B	chr1	156464625	156464641	-	0.000	0.000	Merged-chr1-156464548-8
NR629--MA0463.1.Bcl6	chr13	114932010	114932023	-	0.000	0.000	Merged-chr13-114931861-78
NR893--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR1794--MA0463.1.Bcl6	chr7	65373765	65373778	+	0.000	0.000	Merged-chr7-65373607-20
NR1427--MA0463.1.Bcl6	chr4	85670085	85670098	-	0.000	0.000	Merged-chr4-85670020-5
NR1333--MA0463.1.Bcl6	chr3	126693673	126693686	+	0.000	0.000	Merged-chr3-126693413-64
NR544--MA0463.1.Bcl6	chr13	45850823	45850836	+	0.000	0.000	Merged-chr13-45850664-56
NR1351--MA0463.1.Bcl6	chr3	133437174	133437187	-	0.000	0.000	Merged-chr3-133436994-54
NR759--MA0731.1.BCL6B	chr15	75989467	75989483	-	0.000	0.000	Merged-chr15-75989277-9
NR204--MA0463.1.Bcl6	chr10	21029213	21029226	+	0.000	0.000	Merged-chr10-21029256-16
NR1463--MA0463.1.Bcl6	chr4	120959634	120959647	+	0.000	0.000	Merged-chr4-120959527-5
NR1575--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1602--MA0731.1.BCL6B	chr5	107177481	107177497	+	0.000	0.000	Merged-chr5-107177683-65
NR795--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1481--MA0463.1.Bcl6	chr4	133263381	133263394	+	0.000	0.000	Merged-chr4-133263314-71
NR2089--MA0731.1.BCL6B	chr9	105483328	105483344	-	0.000	0.000	Merged-chr9-105483179-11
NR549--MA0463.1.Bcl6	chr13	52635698	52635711	+	0.000	0.000	Merged-chr13-52635608-5
NR1020--MA0463.1.Bcl6	chr19	16255597	16255610	-	0.000	0.000	Merged-chr19-16255427-25
NR1963--MA0731.1.BCL6B	chr8	107505469	107505485	-	0.000	0.000	Merged-chr8-107505522-28
NR567--MA0463.1.Bcl6	chr13	73740708	73740721	-	0.000	0.000	Merged-chr13-73740559-35
NR119--MA0731.1.BCL6B	chr1	160290473	160290489	-	0.000	0.000	Merged-chr1-160290479-12
NR679--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR585--MA0463.1.Bcl6	chr13	91697219	91697232	-	0.000	0.000	Merged-chr13-91697201-18
NR2021--MA0731.1.BCL6B	chr9	52075392	52075408	-	0.000	0.000	Merged-chr9-52075566-6
NR1833--MA0731.1.BCL6B	chr7	108934377	108934393	-	0.000	0.000	Merged-chr7-108934410-57
NR1598--MA0463.1.Bcl6	chr5	105718531	105718544	-	0.000	0.000	Merged-chr5-105718341-55
NR1383--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR912--MA0463.1.Bcl6	chr17	57194319	57194332	-	0.000	0.000	Merged-chr17-57194359-63
NR1249--MA0463.1.Bcl6	chr3	30930138	30930151	-	0.000	0.000	Merged-chr3-30930063-19
NR1710--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
NR1161--MA0731.1.BCL6B	chr2	124732779	124732795	-	0.000	0.000	Merged-chr2-124732800-44
NR2012--MA0463.1.Bcl6	chr9	43784218	43784231	+	0.000	0.000	Merged-chr9-43784156-3
NR487--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR272--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR188--MA0731.1.BCL6B	chr1	193303728	193303744	+	0.000	0.000	Merged-chr1-193303652-18
NR1388--MA0463.1.Bcl6	chr3	155235647	155235660	+	0.000	0.000	Merged-chr3-155235663-12
NR1840--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR1285--MA0463.1.Bcl6	chr3	95722519	95722532	-	0.000	0.000	Merged-chr3-95722546-39
NR1961--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR1809--MA0463.1.Bcl6	chr7	81344209	81344222	-	0.000	0.000	Merged-chr7-81344263-6
NR1825--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR2017--MA0463.1.Bcl6	chr9	50414258	50414271	-	0.000	0.000	Merged-chr9-50414250-13
NR1392--MA0731.1.BCL6B	chr4	10770224	10770240	+	0.000	0.000	Merged-chr4-10770192-53
NR156--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1630--MA0463.1.Bcl6	chr5	144294987	144295000	+	0.000	0.000	Merged-chr5-144295152-24
NR1751--MA0463.1.Bcl6	chr6	144909720	144909733	+	0.000	0.000	Merged-chr6-144909826-5
NR1957--MA0463.1.Bcl6	chr8	104631458	104631471	-	0.000	0.000	Merged-chr8-104631259-113
NR2053--MA0463.1.Bcl6	chr9	78553078	78553091	+	0.000	0.000	Merged-chr9-78553202-20
NR1975--MA0463.1.Bcl6	chr8	119946328	119946341	+	0.000	0.000	Merged-chr8-119946472-42
NR1760--MA0463.1.Bcl6	chr7	4083103	4083116	+	0.000	0.000	Merged-chr7-4082893-63
NR1617--MA0463.1.Bcl6	chr5	134437612	134437625	-	0.000	0.000	Merged-chr5-134437601-35
NR1402--MA0463.1.Bcl6	chr4	33791608	33791621	+	0.000	0.000	Merged-chr4-33791808-5
NR32--MA0463.1.Bcl6	chr1	72255173	72255186	-	0.000	0.000	Merged-chr1-72255084-113
NR1403--MA0731.1.BCL6B	chr4	33791605	33791621	-	0.000	0.000	Merged-chr4-33791808-5
NR50--MA0463.1.Bcl6	chr1	91831119	91831132	+	0.000	0.000	Merged-chr1-91831329-12
NR2095--MA0731.1.BCL6B	chr9	107542057	107542073	-	0.000	0.000	Merged-chr9-107542021-57
NR21--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR1764--MA0731.1.BCL6B	chr7	16003223	16003239	-	0.000	0.000	Merged-chr7-16003232-2
NR1765--MA0463.1.Bcl6	chr7	17056197	17056210	-	0.000	0.000	Merged-chr7-17056338-38
NR1350--MA0731.1.BCL6B	chr3	132858979	132858995	+	0.000	0.000	Merged-chr3-132859011-26
NR1621--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR976--MA0463.1.Bcl6	chr18	60736711	60736724	-	0.000	0.000	Merged-chr18-60736796-4
NR1668--MA0731.1.BCL6B	chr6	66252464	66252480	+	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR994--MA0463.1.Bcl6	chr18	75247001	75247014	-	0.000	0.000	Merged-chr18-75247078-14
NR13--MA0731.1.BCL6B	chr1	38723918	38723934	-	0.000	0.000	Merged-chr1-38723833-22
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1899--MA0731.1.BCL6B	chr7	140374386	140374402	-	0.000	0.000	Merged-chr7-140374516-48
NR1900--MA0463.1.Bcl6	chr7	144470659	144470672	-	0.000	0.000	Merged-chr7-144470746-9
NR561--MA0731.1.BCL6B	chr13	66905343	66905359	-	0.000	0.000	Merged-chr13-66905214-64
NR1246--MA0731.1.BCL6B	chr3	19240210	19240226	-	0.000	0.000	Merged-chr3-19240113-21
NR1457--MA0463.1.Bcl6	chr4	117835406	117835419	-	0.000	0.000	Merged-chr4-117835233-2
NR1242--MA0463.1.Bcl6	chr2	180347333	180347346	+	0.000	0.000	Merged-chr2-180347205-36
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR1229--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR1014--MA0463.1.Bcl6	chr19	8984436	8984449	-	0.000	0.000	Merged-chr19-8984601-50
NR540--MA0731.1.BCL6B	chr13	41445687	41445703	-	0.000	0.000	Merged-chr13-41445652-2
NR1682--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR1477--MA0731.1.BCL6B	chr4	132748936	132748952	+	0.000	0.000	Merged-chr4-132748989-25
NR1586--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR410--MA0731.1.BCL6B	chr12	25240252	25240268	+	0.000	0.000	Merged-chr12-25240283-42
NR1932--MA0463.1.Bcl6	chr8	70003303	70003316	+	0.000	0.000	Merged-chr8-70003366-27
NR1019--MA0463.1.Bcl6	chr19	14668773	14668786	-	0.000	0.000	Merged-chr19-14668781-26
NR494--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR803--MA0463.1.Bcl6	chr16	30181354	30181367	+	0.000	0.000	Merged-chr16-30181350-22
NR1979--MA0731.1.BCL6B	chr8	121603034	121603050	+	0.000	0.000	Merged-chr8-121603020-18
NR248--MA0463.1.Bcl6	chr10	90966829	90966842	-	0.000	0.000	Merged-chr10-90966965-2
NR154--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1469--MA0731.1.BCL6B	chr4	123577646	123577662	+	0.000	0.000	Merged-chr4-123577716-54
NR1167--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR378--MA0463.1.Bcl6	chr11	101087270	101087283	+	0.000	0.000	Merged-chr11-101087263-56
NR1297--MA0463.1.Bcl6	chr3	101229003	101229016	+	0.000	0.000	Merged-chr3-101229120-28
NR1606--MA0463.1.Bcl6	chr5	110711558	110711571	-	0.000	0.000	Merged-chr5-110711531-4
NR1982--MA0463.1.Bcl6	chr8	123203781	123203794	+	0.000	0.000	Merged-chr8-123203714-21
NR1305--MA0731.1.BCL6B	chr3	104818059	104818075	+	0.000	0.000	Merged-chr3-104818098-119
NR1839--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR2038--MA0463.1.Bcl6	chr9	66126869	66126882	+	0.000	0.000	Merged-chr9-66126707-56
NR1087--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1199--MA0463.1.Bcl6	chr2	151968009	151968022	-	0.000	0.000	Merged-chr2-151967993-15
NR742--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR625--MA0463.1.Bcl6	chr13	111655971	111655984	+	0.000	0.000	Merged-chr13-111655949-74
NR503--MA0731.1.BCL6B	chr12	116200612	116200628	+	0.000	0.000	Merged-chr12-116200493-21
NR58--MA0731.1.BCL6B	chr1	105443380	105443396	-	0.000	0.000	Merged-chr1-105443622-43
NR1135--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR1562--MA0463.1.Bcl6	chr5	65867465	65867478	+	0.000	0.000	Merged-chr5-65867573-52
NR211--MA0731.1.BCL6B	chr10	44716098	44716114	-	0.000	0.000	Merged-chr10-44715918-29
NR877--MA0731.1.BCL6B	chr17	15499617	15499633	-	0.000	0.000	Merged-chr17-15499813-50
NR1082--MA0731.1.BCL6B	chr2	46064727	46064743	+	0.000	0.000	Merged-chr2-46064700-1
NR1692--MA0463.1.Bcl6	chr6	95621806	95621819	-	0.000	0.000	Merged-chr6-95621938-31
NR638--MA0731.1.BCL6B	chr14	7964613	7964629	+	0.000	0.000	Merged-chr14-7964637-21
NR1446--MA0463.1.Bcl6	chr4	103095944	103095957	+	0.000	0.000	Merged-chr4-103096061-32
NR1095--MA0731.1.BCL6B	chr2	59488243	59488259	+	0.000	0.000	Merged-chr2-59488284-24
NR778--MA0463.1.Bcl6	chr15	91664497	91664510	+	0.000	0.000	Merged-chr15-91664603-13
NR1679--MA0463.1.Bcl6	chr6	86087365	86087378	+	0.000	0.000	Merged-chr6-86087323-6
NR856--MA0731.1.BCL6B	chr16	93918247	93918263	+	0.000	0.000	Merged-chr16-93918388-61
NR111--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR94--MA0463.1.Bcl6	chr1	138175123	138175136	+	0.000	0.000	Merged-chr1-138175302-90
NR1127--MA0731.1.BCL6B	chr2	83744753	83744769	-	0.000	0.000	Merged-chr2-83744684-15
NR223--MA0463.1.Bcl6	chr10	62486845	62486858	-	0.000	0.000	Merged-chr10-62486884-129
NR346--MA0731.1.BCL6B	chr11	72176108	72176124	+	0.000	0.000	Merged-chr11-72176027-2
NR2111--MA0463.1.Bcl6	chr9	119068015	119068028	-	0.000	0.000	Merged-chr9-119067852-20
NR353--MA0463.1.Bcl6	chr11	78360347	78360360	-	0.000	0.000	Merged-chr11-78360468-54
NR1160--MA0463.1.Bcl6	chr2	124732782	124732795	+	0.000	0.000	Merged-chr2-124732800-44
NR371--MA0463.1.Bcl6	chr11	97127124	97127137	+	0.000	0.000	Merged-chr11-97127179-61
NR1478--MA0463.1.Bcl6	chr4	133005466	133005479	-	0.000	0.000	Merged-chr4-133005373-4
NR125--MA0463.1.Bcl6	chr1	162094332	162094345	+	0.000	0.000	Merged-chr1-162094499-16
NR1026--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR957--MA0731.1.BCL6B	chr18	35740329	35740345	-	0.000	0.000	Merged-chr18-35740183-57
NR1062--MA0463.1.Bcl6	chr2	18765846	18765859	+	0.000	0.000	Merged-chr2-18765910-35
NR488--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
