#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1522--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR1178--MA0731.1.BCL6B	chr2	167975579	167975595	+	0.000	0.000	Merged-chr2-167975780-28
NR416--MA0731.1.BCL6B	chr12	80643868	80643884	-	0.000	0.000	Merged-chr12-80643898-100
NR634--MA0731.1.BCL6B	chr14	74847825	74847841	+	0.000	0.000	Merged-chr14-74847708-53
NR975--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR995--MA0731.1.BCL6B	chr19	41848269	41848285	+	0.000	0.000	Merged-chr19-41848121-99
NR376--MA0731.1.BCL6B	chr11	110911232	110911248	-	0.000	0.000	Merged-chr11-110911126-2
NR1537--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR1536--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR747--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR756--MA0731.1.BCL6B	chr16	23379810	23379826	+	0.000	0.000	Merged-chr16-23379859-35
NR1442--MA0463.1.Bcl6	chr4	132808241	132808254	+	0.000	0.000	Merged-chr4-132808337-17
NR1648--MA0463.1.Bcl6	chr6	54816540	54816553	+	0.000	0.000	Merged-chr6-54816601-6
NR407--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR722--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR3--MA0463.1.Bcl6	chr1	13560072	13560085	+	0.000	0.000	Merged-chr1-13560165-1
NR783--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
NR1326--MA0463.1.Bcl6	chr3	142744063	142744076	+	0.000	0.000	Merged-chr3-142744255-26
NR1497--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR68--MA0463.1.Bcl6	chr1	120033229	120033242	-	0.000	0.000	Merged-chr1-120033205-45
NR225--MA0731.1.BCL6B	chr10	63176747	63176763	+	0.000	0.000	Merged-chr10-63176806-32
NR682--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR748--MA0731.1.BCL6B	chr16	17508848	17508864	-	0.000	0.000	Merged-chr16-17508961-62
NR573--MA0463.1.Bcl6	chr13	108976433	108976446	+	0.000	0.000	Merged-chr13-108976576-1
NR439--MA0463.1.Bcl6	chr12	99557472	99557485	+	0.000	0.000	Merged-chr12-99557572-3
NR345--MA0463.1.Bcl6	chr11	76399039	76399052	-	0.000	0.000	Merged-chr11-76399136-77
NR599--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR1031--MA0463.1.Bcl6	chr2	19201757	19201770	-	0.000	0.000	Merged-chr2-19201871-12
NR2121--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR1264--MA0463.1.Bcl6	chr3	104675451	104675464	-	0.000	0.000	Merged-chr3-104675564-49
NR1376--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR2108--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR135--MA0463.1.Bcl6	chr1	173437393	173437406	+	0.000	0.000	Merged-chr1-173437499-84
NR2117--MA0463.1.Bcl6	chrX	134307959	134307972	-	0.000	0.000	Merged-chrX-134308001-68
NR339--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR130--MA0731.1.BCL6B	chr1	170993653	170993669	+	0.000	0.000	Merged-chr1-170993660-17
NR653--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR1296--MA0463.1.Bcl6	chr3	129470273	129470286	+	0.000	0.000	Merged-chr3-129470281-15
NR318--MA0731.1.BCL6B	chr11	54492681	54492697	+	0.000	0.000	Merged-chr11-54492562-47
NR1761--MA0731.1.BCL6B	chr7	19157672	19157688	+	0.000	0.000	Merged-chr7-19157659-48
NR807--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR297--MA0463.1.Bcl6	chr11	17051559	17051572	+	0.000	0.000	Merged-chr11-17051443-1
NR25--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR1892--MA0463.1.Bcl6	chr8	4212923	4212936	-	0.000	0.000	Merged-chr8-4212854-13
NR745--MA0463.1.Bcl6	chr16	13780571	13780584	-	0.000	0.000	Merged-chr16-13780698-52
NR1431--MA0463.1.Bcl6	chr4	120959634	120959647	+	0.000	0.000	Merged-chr4-120959527-5
NR1637--MA0463.1.Bcl6	chr6	40898535	40898548	-	0.000	0.000	Merged-chr6-40898625-5
NR857--MA0463.1.Bcl6	chr17	56269274	56269287	+	0.000	0.000	Merged-chr17-56269390-41
NR763--MA0463.1.Bcl6	chr16	32430855	32430868	-	0.000	0.000	Merged-chr16-32431022-65
NR199--MA0463.1.Bcl6	chr10	21077157	21077170	+	0.000	0.000	Merged-chr10-21077347-58
NR2097--MA0731.1.BCL6B	chrX	7657331	7657347	-	0.000	0.000	Merged-chrX-7657381-29
NR114--MA0731.1.BCL6B	chr1	160290473	160290489	-	0.000	0.000	Merged-chr1-160290479-12
NR414--MA0463.1.Bcl6	chr12	80113278	80113291	+	0.000	0.000	Merged-chr12-80113137-75
NR637--MA0731.1.BCL6B	chr14	79394637	79394653	+	0.000	0.000	Merged-chr14-79394771-21
NR2096--MA0463.1.Bcl6	chrX	7657334	7657347	+	0.000	0.000	Merged-chrX-7657381-29
NR1548--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR57--MA0463.1.Bcl6	chr1	88450668	88450681	-	0.000	0.000	Merged-chr1-88450830-24
NR236--MA0731.1.BCL6B	chr10	80602901	80602917	+	0.000	0.000	Merged-chr10-80603037-66
NR1570--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR683--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1331--MA0731.1.BCL6B	chr3	143740827	143740843	-	0.000	0.000	Merged-chr3-143740858-3
NR795--MA0463.1.Bcl6	chr16	78546703	78546716	+	0.000	0.000	Merged-chr16-78546881-68
NR222--MA0463.1.Bcl6	chr10	60284880	60284893	+	0.000	0.000	Merged-chr10-60285008-11
NR1696--MA0463.1.Bcl6	chr6	120836044	120836057	+	0.000	0.000	Merged-chr6-120836291-89
NR2089--MA0731.1.BCL6B	chr9	117896446	117896462	-	0.000	0.000	Merged-chr9-117896590-25
NR352--MA0463.1.Bcl6	chr11	83629974	83629987	+	0.000	0.000	Merged-chr11-83629879-6
NR196--MA0731.1.BCL6B	chr10	19530152	19530168	-	0.000	0.000	Merged-chr10-19530154-52
NR89--MA0463.1.Bcl6	chr1	144719141	144719154	+	0.000	0.000	Merged-chr1-144719233-1
NR370--MA0463.1.Bcl6	chr11	106665702	106665715	-	0.000	0.000	Merged-chr11-106665646-39
NR2012--MA0463.1.Bcl6	chr9	50924708	50924721	-	0.000	0.000	Merged-chr9-50924601-13
NR1955--MA0731.1.BCL6B	chr8	110860098	110860114	+	0.000	0.000	Merged-chr8-110860019-49
NR459--MA0731.1.BCL6B	chr12	111406845	111406861	-	0.000	0.000	Merged-chr12-111406868-16
NR1285--MA0463.1.Bcl6	chr3	123386117	123386130	+	0.000	0.000	Merged-chr3-123385920-64
NR1697--MA0731.1.BCL6B	chr6	120836041	120836057	-	0.000	0.000	Merged-chr6-120836291-89
NR2013--MA0731.1.BCL6B	chr9	50924708	50924724	+	0.000	0.000	Merged-chr9-50924601-13
NR1039--MA0463.1.Bcl6	chr2	26409281	26409294	+	0.000	0.000	Merged-chr2-26409124-52
NR329--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR1075--MA0463.1.Bcl6	chr2	65331317	65331330	+	0.000	0.000	Merged-chr2-65331508-29
NR1947--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR1187--MA0463.1.Bcl6	chr2	173431769	173431782	-	0.000	0.000	Merged-chr2-173431870-16
NR1785--MA0731.1.BCL6B	chr7	58501118	58501134	-	0.000	0.000	Merged-chr7-58501010-19
NR308--MA0731.1.BCL6B	chr11	43410504	43410520	-	0.000	0.000	Merged-chr11-43410532-22
NR1635--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR1132--MA0731.1.BCL6B	chr2	128451831	128451847	+	0.000	0.000	Merged-chr2-128451749-44
NR1747--MA0463.1.Bcl6	chr6	147546404	147546417	+	0.000	0.000	Merged-chr6-147546273-1
NR752--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR1512--MA0731.1.BCL6B	chr5	53213993	53214009	+	0.000	0.000	Merged-chr5-53213963-3
NR506--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR28--MA0463.1.Bcl6	chr1	64305594	64305607	-	0.000	0.000	Merged-chr1-64305701-25
NR1425--MA0463.1.Bcl6	chr4	117267545	117267558	-	0.000	0.000	Merged-chr4-117267580-14
NR1649--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR1327--MA0463.1.Bcl6	chr3	142744061	142744074	-	0.000	0.000	Merged-chr3-142744255-26
NR1517--MA0731.1.BCL6B	chr5	64324516	64324532	-	0.000	0.000	Merged-chr5-64324524-11
NR1130--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR1769--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR556--MA0463.1.Bcl6	chr13	99126718	99126731	+	0.000	0.000	Merged-chr13-99126699-1
NR1560--MA0731.1.BCL6B	chr5	112276253	112276269	+	0.000	0.000	Merged-chr5-112276109-3
NR1242--MA0463.1.Bcl6	chr3	83053908	83053921	-	0.000	0.000	Merged-chr3-83054013-12
NR78--MA0463.1.Bcl6	chr1	131184385	131184398	+	0.000	0.000	Merged-chr1-131184569-46
NR1193--MA0731.1.BCL6B	chr2	178407650	178407666	-	0.000	0.000	Merged-chr2-178407625-2
NR1475--MA0463.1.Bcl6	chr4	149698122	149698135	+	0.000	0.000	Merged-chr4-149697962-1
NR1014--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR234--MA0463.1.Bcl6	chr10	76835918	76835931	+	0.000	0.000	Merged-chr10-76835846-46
NR1932--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1695--MA0731.1.BCL6B	chr6	120529141	120529157	-	0.000	0.000	Merged-chr6-120529161-48
NR118--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR382--MA0463.1.Bcl6	chr11	115258227	115258240	-	0.000	0.000	Merged-chr11-115258229-4
NR74--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR880--MA0731.1.BCL6B	chr17	78418044	78418060	-	0.000	0.000	Merged-chr17-78417856-75
NR2118--MA0463.1.Bcl6	chrX	136986416	136986429	+	0.000	0.000	Merged-chrX-136986316-28
NR784--MA0731.1.BCL6B	chr16	75617786	75617802	-	0.000	0.000	Merged-chr16-75617911-31
NR1046--MA0463.1.Bcl6	chr2	34945660	34945673	-	0.000	0.000	Merged-chr2-34945759-18
NR893--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR1946--MA0463.1.Bcl6	chr8	105991190	105991203	-	0.000	0.000	Merged-chr8-105991112-25
NR396--MA0463.1.Bcl6	chr12	25864290	25864303	+	0.000	0.000	Merged-chr12-25864437-46
NR1839--MA0463.1.Bcl6	chr7	114081552	114081565	+	0.000	0.000	Merged-chr7-114081573-27
NR872--MA0731.1.BCL6B	chr17	71485916	71485932	+	0.000	0.000	Merged-chr17-71486096-96
NR1209--MA0731.1.BCL6B	chr3	27210437	27210453	-	0.000	0.000	Merged-chr3-27210457-3
NR1937--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR1679--MA0731.1.BCL6B	chr6	103296301	103296317	-	0.000	0.000	Merged-chr6-103296336-38
NR755--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR858--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR58--MA0731.1.BCL6B	chr1	88450668	88450684	+	0.000	0.000	Merged-chr1-88450830-24
NR1777--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR1889--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR877--MA0731.1.BCL6B	chr17	78245441	78245457	+	0.000	0.000	Merged-chr17-78245592-60
NR1428--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1446--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR1366--MA0731.1.BCL6B	chr4	6881220	6881236	+	0.000	0.000	Merged-chr4-6881171-35
NR333--MA0731.1.BCL6B	chr11	68768669	68768685	+	0.000	0.000	Merged-chr11-68768507-16
NR563--MA0463.1.Bcl6	chr13	101719596	101719609	+	0.000	0.000	Merged-chr13-101719562-51
NR856--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR317--MA0463.1.Bcl6	chr11	54492681	54492694	-	0.000	0.000	Merged-chr11-54492562-47
NR223--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR693--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR1236--MA0463.1.Bcl6	chr3	75557548	75557561	+	0.000	0.000	Merged-chr3-75557381-3
NR353--MA0463.1.Bcl6	chr11	86586366	86586379	+	0.000	0.000	Merged-chr11-86586440-5
NR1254--MA0463.1.Bcl6	chr3	95697890	95697903	-	0.000	0.000	Merged-chr3-95697809-14
NR1087--MA0731.1.BCL6B	chr2	75138174	75138190	-	0.000	0.000	Merged-chr2-75138018-27
NR652--MA0731.1.BCL6B	chr14	103049139	103049155	+	0.000	0.000	Merged-chr14-103048950-60
NR718--MA0731.1.BCL6B	chr15	76196467	76196483	-	0.000	0.000	Merged-chr15-76196304-121
NR699--MA0731.1.BCL6B	chr15	50652005	50652021	-	0.000	0.000	Merged-chr15-50651925-26
NR385--MA0463.1.Bcl6	chr11	117081940	117081953	-	0.000	0.000	Merged-chr11-117081831-19
NR665--MA0731.1.BCL6B	chr14	118865201	118865217	+	0.000	0.000	Merged-chr14-118865146-38
NR815--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR251--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR1980--MA0463.1.Bcl6	chr8	126758037	126758050	+	0.000	0.000	Merged-chr8-126758131-44
NR712--MA0463.1.Bcl6	chr15	67031460	67031473	-	0.000	0.000	Merged-chr15-67031356-8
NR1613--MA0463.1.Bcl6	chr5	146845045	146845058	-	0.000	0.000	Merged-chr5-146845015-50
NR1058--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR175--MA0463.1.Bcl6	chr1	189799170	189799183	+	0.000	0.000	Merged-chr1-189799097-29
NR15--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1976--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR753--MA0463.1.Bcl6	chr16	21531031	21531044	+	0.000	0.000	Merged-chr16-21531039-7
NR69--MA0731.1.BCL6B	chr1	120033229	120033245	+	0.000	0.000	Merged-chr1-120033205-45
NR779--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR310--MA0463.1.Bcl6	chr11	46393592	46393605	+	0.000	0.000	Merged-chr11-46393520-11
NR1784--MA0463.1.Bcl6	chr7	58501121	58501134	+	0.000	0.000	Merged-chr7-58501010-19
NR2086--MA0463.1.Bcl6	chr9	116383778	116383791	-	0.000	0.000	Merged-chr9-116383833-1
NR1681--MA0463.1.Bcl6	chr6	108296160	108296173	-	0.000	0.000	Merged-chr6-108296153-11
NR583--MA0731.1.BCL6B	chr13	115171992	115172008	-	0.000	0.000	Merged-chr13-115171911-31
NR306--MA0463.1.Bcl6	chr11	34833783	34833796	+	0.000	0.000	Merged-chr11-34833705-58
NR201--MA0731.1.BCL6B	chr10	21659657	21659673	-	0.000	0.000	Merged-chr10-21659696-16
NR785--MA0463.1.Bcl6	chr16	75823389	75823402	-	0.000	0.000	Merged-chr16-75823473-28
NR212--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR1225--MA0463.1.Bcl6	chr3	60499114	60499127	-	0.000	0.000	Merged-chr3-60498979-3,Merged-chr3-60499297-2
NR445--MA0463.1.Bcl6	chr12	103348650	103348663	+	0.000	0.000	Merged-chr12-103348740-28
NR323--MA0731.1.BCL6B	chr11	57962660	57962676	+	0.000	0.000	Merged-chr11-57962717-47
NR669--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1561--MA0731.1.BCL6B	chr5	115312892	115312908	+	0.000	0.000	Merged-chr5-115313005-7
NR1015--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR226--MA0463.1.Bcl6	chr10	63582800	63582813	+	0.000	0.000	Merged-chr10-63582747-40
NR347--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1248--MA0463.1.Bcl6	chr3	88914017	88914030	+	0.000	0.000	Merged-chr3-88913993-52
NR1954--MA0731.1.BCL6B	chr8	110813182	110813198	+	0.000	0.000	Merged-chr8-110813191-16
NR1051--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR2020--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR262--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR458--MA0731.1.BCL6B	chr12	111182140	111182156	+	0.000	0.000	Merged-chr12-111182112-59
NR1275--MA0463.1.Bcl6	chr3	107931788	107931801	-	0.000	0.000	Merged-chr3-107931821-21
NR153--MA0731.1.BCL6B	chr1	180906882	180906898	-	0.000	0.000	Merged-chr1-180906731-1
NR1824--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR1817--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR1933--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR2025--MA0463.1.Bcl6	chr9	63712140	63712153	-	0.000	0.000	Merged-chr9-63712041-20
NR1771--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1186--MA0463.1.Bcl6	chr2	173077132	173077145	-	0.000	0.000	Merged-chr2-173077118-17
NR706--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR1983--MA0463.1.Bcl6	chr8	128352945	128352958	-	0.000	0.000	Merged-chr8-128352989-24
NR1131--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR2039--MA0463.1.Bcl6	chr9	79970823	79970836	+	0.000	0.000	Merged-chr9-79970896-33
NR1643--MA0463.1.Bcl6	chr6	48086588	48086601	+	0.000	0.000	Merged-chr6-48086485-91
NR1763--MA0731.1.BCL6B	chr7	19310286	19310302	-	0.000	0.000	Merged-chr7-19310248-55
NR1755--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR267--MA0731.1.BCL6B	chr10	110920255	110920271	-	0.000	0.000	Merged-chr10-110920143-70
NR1773--MA0463.1.Bcl6	chr7	37978525	37978538	+	0.000	0.000	Merged-chr7-37978660-9
NR1776--MA0731.1.BCL6B	chr7	38090387	38090403	-	0.000	0.000	Merged-chr7-38090413-30
