#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR9669--MA0742.1.Klf12	chr11	75654227	75654241	-	0.000	0.000	Merged-chr11-75654262-32
NR63024--MA1107.1.KLF9	chr9	114016479	114016491	-	0.000	0.000	Merged-chr9-114016465-30
NR21287--MA1107.1.KLF9	chr15	81968775	81968787	-	0.000	0.000	Merged-chr15-81968524-13
NR58462--MA0599.1.KLF5	chr8	84270524	84270533	+	0.000	0.000	Merged-chr8-84270449-50
NR41679--MA1107.1.KLF9	chr4	119195281	119195293	+	0.000	0.000	Merged-chr4-119195443-60
NR35002--MA0599.1.KLF5	chr2	155019173	155019182	+	0.000	0.000	Merged-chr2-155019039-1
NR37862--MA0742.1.Klf12	chr3	101748387	101748401	+	0.000	0.000	Merged-chr3-101748481-44
NR61754--MA0740.1.KLF14	chr9	70657290	70657303	+	0.000	0.000	Merged-chr9-70657290-17
NR25292--MA0657.1.KLF13	chr17	26069584	26069601	+	0.000	0.000	Merged-chr17-26069503-58
NR24879--MA1107.1.KLF9	chr17	12201315	12201327	-	0.000	0.000	Merged-chr17-12201252-1
NR10862--MA0740.1.KLF14	chr11	101095444	101095457	-	0.000	0.000	Merged-chr11-101095515-65
NR59520--MA0493.1.Klf1	chr8	117802078	117802088	+	0.000	0.000	Merged-chr8-117802067-74
NR13781--MA1107.1.KLF9	chr12	101015908	101015920	+	0.000	0.000	Merged-chr12-101016101-42
NR33148--MA1107.1.KLF9	chr2	91078502	91078514	-	0.000	0.000	Merged-chr2-91078502-21
NR49601--MA1107.1.KLF9	chr6	72552820	72552832	-	0.000	0.000	Merged-chr6-72552853-56
NR13400--MA0741.1.KLF16	chr12	85151265	85151275	-	0.000	0.000	Merged-chr12-85151265-38
NR55286--MA0493.1.Klf1	chr7	114356566	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR62612--MA0741.1.KLF16	chr9	104263004	104263014	+	0.000	0.000	Merged-chr9-104262960-58
NR39254--MA0599.1.KLF5	chr3	146308448	146308457	+	0.000	0.000	Merged-chr3-146308303-21
NR57791--MA0741.1.KLF16	chr8	64947110	64947120	+	0.000	0.000	Merged-chr8-64947122-116
NR2972--MA0741.1.KLF16	chr1	167273757	167273767	-	0.000	0.000	Merged-chr1-167273702-38
NR34320--MA0741.1.KLF16	chr2	132511677	132511687	-	0.000	0.000	Merged-chr2-132511544-14
NR29055--MA0741.1.KLF16	chr18	80200677	80200687	-	0.000	0.000	Merged-chr18-80200692-56
NR42442--MA1107.1.KLF9	chr4	134372585	134372597	+	0.000	0.000	Merged-chr4-134372505-25
NR26258--MA0493.1.Klf1	chr17	46880156	46880166	+	0.000	0.000	Merged-chr17-46880120-39
NR2101--MA0741.1.KLF16	chr1	134415339	134415349	-	0.000	0.000	Merged-chr1-134415467-59
NR2767--MA0741.1.KLF16	chr1	162476929	162476939	+	0.000	0.000	Merged-chr1-162477062-12
NR14111--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR18085--MA0493.1.Klf1	chr14	47541784	47541794	-	0.000	0.000	Merged-chr14-47541663-55
NR37377--MA0741.1.KLF16	chr3	89279692	89279702	+	0.000	0.000	Merged-chr3-89279767-20
NR24874--MA0039.3.KLF4	chr17	12201315	12201325	-	0.000	0.000	Merged-chr17-12201252-1
NR45699--MA0741.1.KLF16	chr5	99252868	99252878	+	0.000	0.000	Merged-chr5-99252869-81
NR1071--MA0599.1.KLF5	chr1	75317753	75317762	+	0.000	0.000	Merged-chr1-75317558-106
NR5602--MA0740.1.KLF14	chr10	76962153	76962166	-	0.000	0.000	Merged-chr10-76962071-59
NR7658--MA0039.3.KLF4	chr10	127513702	127513712	+	0.000	0.000	Merged-chr10-127513778-10
NR44990--MA0599.1.KLF5	chr5	65910597	65910606	-	0.000	0.000	Merged-chr5-65910646-31
NR20482--MA0741.1.KLF16	chr15	58171624	58171634	+	0.000	0.000	Merged-chr15-58171434-29
NR61167--MA0741.1.KLF16	chr9	51765296	51765306	-	0.000	0.000	Merged-chr9-51765331-83
NR59412--MA1107.1.KLF9	chr8	115826669	115826681	-	0.000	0.000	Merged-chr8-115826691-38
NR2904--MA0742.1.Klf12	chr1	165816638	165816652	-	0.000	0.000	Merged-chr1-165816619-40
NR61718--MA0493.1.Klf1	chr9	69467509	69467519	+	0.000	0.000	Merged-chr9-69467550-22
NR61095--MA1107.1.KLF9	chr9	48447924	48447936	+	0.000	0.000	Merged-chr9-48448010-22
NR40710--MA1107.1.KLF9	chr4	57295369	57295381	+	0.000	0.000	Merged-chr4-57295265-18
NR15962--MA0599.1.KLF5	chr13	69611716	69611725	+	0.000	0.000	Merged-chr13-69611588-99
NR42662--MA0493.1.Klf1	chr4	136206349	136206359	-	0.000	0.000	Merged-chr4-136206356-47
NR33417--MA0741.1.KLF16	chr2	104122694	104122704	-	0.000	0.000	Merged-chr2-104122905-60
NR49992--MA0741.1.KLF16	chr6	90604826	90604836	+	0.000	0.000	Merged-chr6-90604806-66
NR16549--MA0039.3.KLF4	chr13	99781070	99781080	+	0.000	0.000	Merged-chr13-99781144-21
NR41739--MA0741.1.KLF16	chr4	120288021	120288031	+	0.000	0.000	Merged-chr4-120287807-68
NR4859--MA1107.1.KLF9	chr10	42269538	42269550	+	0.000	0.000	Merged-chr10-42269495-58
NR9246--MA0741.1.KLF16	chr11	67025066	67025076	+	0.000	0.000	Merged-chr11-67025090-52
NR46649--MA0740.1.KLF14	chr5	121618989	121619002	+	0.000	0.000	Merged-chr5-121619111-49
NR17102--MA1107.1.KLF9	chr13	113031866	113031878	-	0.000	0.000	Merged-chr13-113031920-44
NR53250--MA0599.1.KLF5	chr7	30957639	30957648	-	0.000	0.000	Merged-chr7-30957482-35
NR45004--MA0039.3.KLF4	chr5	66096064	66096074	+	0.000	0.000	Merged-chr5-66096250-16
NR45498--MA0599.1.KLF5	chr5	92042779	92042788	+	0.000	0.000	Merged-chr5-92042823-70
NR18114--MA0657.1.KLF13	chr14	50924721	50924738	+	0.000	0.000	Merged-chr14-50924727-80
NR52928--MA0741.1.KLF16	chr7	27490797	27490807	-	0.000	0.000	Merged-chr7-27490978-55
NR17885--MA0039.3.KLF4	chr14	33099302	33099312	+	0.000	0.000	Merged-chr14-33099452-34
NR49928--MA1107.1.KLF9	chr6	88958157	88958169	-	0.000	0.000	Merged-chr6-88958094-9
NR47712--MA0741.1.KLF16	chr5	140649146	140649156	+	0.000	0.000	Merged-chr5-140649068-64
NR8351--MA0599.1.KLF5	chr11	30986395	30986404	-	0.000	0.000	Merged-chr11-30986417-66
NR32145--MA0740.1.KLF14	chr2	37703405	37703418	-	0.000	0.000	Merged-chr2-37703369-89
NR49924--MA0742.1.Klf12	chr6	88958155	88958169	-	0.000	0.000	Merged-chr6-88958094-9
NR38830--MA1107.1.KLF9	chr3	132859089	132859101	+	0.000	0.000	Merged-chr3-132859011-26
NR50431--MA0657.1.KLF13	chr6	108862855	108862872	-	0.000	0.000	Merged-chr6-108862725-26
NR57429--MA0039.3.KLF4	chr8	46470934	46470944	-	0.000	0.000	Merged-chr8-46471112-117
NR54649--MA0599.1.KLF5	chr7	97788435	97788444	+	0.000	0.000	Merged-chr7-97788658-80
NR41530--MA0741.1.KLF16	chr4	115085838	115085848	-	0.000	0.000	Merged-chr4-115085754-39
NR6441--MA0741.1.KLF16	chr10	89443754	89443764	-	0.000	0.000	Merged-chr10-89443691-130
NR56269--MA0741.1.KLF16	chr7	135716605	135716615	-	0.000	0.000	Merged-chr7-135716348-117
NR56442--MA0740.1.KLF14	chr7	140102444	140102457	-	0.000	0.000	Merged-chr7-140102387-42
NR21046--MA0493.1.Klf1	chr15	78773514	78773524	+	0.000	0.000	Merged-chr15-78773486-35
NR8538--MA1107.1.KLF9	chr11	44520373	44520385	-	0.000	0.000	Merged-chr11-44520256-56
NR41893--MA0740.1.KLF14	chr4	124709097	124709110	+	0.000	0.000	Merged-chr4-124709015-86
NR35215--MA0742.1.Klf12	chr2	160731186	160731200	-	0.000	0.000	Merged-chr2-160731143-4
NR12615--MA0742.1.Klf12	chr12	40037414	40037428	+	0.000	0.000	Merged-chr12-40037304-3
NR31313--MA1107.1.KLF9	chr2	13793556	13793568	+	0.000	0.000	Merged-chr2-13793433-83
NR58695--MA0599.1.KLF5	chr8	93810268	93810277	-	0.000	0.000	Merged-chr8-93810346-59
NR62721--MA0741.1.KLF16	chr9	106481249	106481259	-	0.000	0.000	Merged-chr9-106481275-1
NR8323--MA1107.1.KLF9	chr11	29373591	29373603	-	0.000	0.000	Merged-chr11-29373741-75
NR18999--MA0599.1.KLF5	chr14	76415034	76415043	+	0.000	0.000	Merged-chr14-76414870-149
NR33806--MA0742.1.Klf12	chr2	119897331	119897345	+	0.000	0.000	Merged-chr2-119897563-82
NR12124--MA0599.1.KLF5	chr12	4548904	4548913	-	0.000	0.000	Merged-chr12-4548788-24
NR52038--MA0741.1.KLF16	chr6	147476395	147476405	+	0.000	0.000	Merged-chr6-147476293-99
NR16534--MA0740.1.KLF14	chr13	99126821	99126834	-	0.000	0.000	Merged-chr13-99126699-1
NR17429--MA1107.1.KLF9	chr14	7914157	7914169	-	0.000	0.000	Merged-chr14-7914040-29
NR32397--MA0740.1.KLF14	chr2	58324528	58324541	+	0.000	0.000	Merged-chr2-58324650-40
NR59753--MA0493.1.Klf1	chr8	121591461	121591471	-	0.000	0.000	Merged-chr8-121591458-17
NR37400--MA1107.1.KLF9	chr3	89459098	89459110	-	0.000	0.000	Merged-chr3-89459176-81
NR45142--MA0741.1.KLF16	chr5	72844503	72844513	+	0.000	0.000	Merged-chr5-72844506-23
NR57117--MA0742.1.Klf12	chr8	25754303	25754317	+	0.000	0.000	Merged-chr8-25754369-70
NR21919--MA0742.1.Klf12	chr15	96599088	96599102	+	0.000	0.000	Merged-chr15-96599090-44
NR30593--MA0741.1.KLF16	chr19	47537137	47537147	+	0.000	0.000	Merged-chr19-47537261-82
NR38951--MA1107.1.KLF9	chr3	135579481	135579493	-	0.000	0.000	Merged-chr3-135579457-44
NR22337--MA0741.1.KLF16	chr15	101846036	101846046	+	0.000	0.000	Merged-chr15-101846140-39
NR14752--MA0742.1.Klf12	chr13	14011779	14011793	-	0.000	0.000	Merged-chr13-14011718-22
NR53219--MA0599.1.KLF5	chr7	30594637	30594646	+	0.000	0.000	Merged-chr7-30594419-34
NR42336--MA0599.1.KLF5	chr4	133241472	133241481	-	0.000	0.000	Merged-chr4-133241411-59
NR26060--MA0039.3.KLF4	chr17	36235503	36235513	+	0.000	0.000	Merged-chr17-36235407-12
NR28326--MA0493.1.Klf1	chr18	56562414	56562424	+	0.000	0.000	Merged-chr18-56562419-49
NR53004--MA0599.1.KLF5	chr7	28467706	28467715	-	0.000	0.000	Merged-chr7-28467544-14
NR12969--MA0740.1.KLF14	chr12	69461954	69461967	+	0.000	0.000	Merged-chr12-69461998-25
NR42460--MA1107.1.KLF9	chr4	134496954	134496966	-	0.000	0.000	Merged-chr4-134496951-35
NR57120--MA0039.3.KLF4	chr8	25962089	25962099	+	0.000	0.000	Merged-chr8-25962203-9
NR36204--MA0599.1.KLF5	chr2	181081018	181081027	-	0.000	0.000	Merged-chr2-181081085-14
NR55285--MA0039.3.KLF4	chr7	114356564	114356574	-	0.000	0.000	Merged-chr7-114356592-29
NR57130--MA0493.1.Klf1	chr8	26119243	26119253	+	0.000	0.000	Merged-chr8-26119308-99
NR9355--MA0741.1.KLF16	chr11	69765848	69765858	-	0.000	0.000	Merged-chr11-69765727-4
NR10521--MA0742.1.Klf12	chr11	97052319	97052333	+	0.000	0.000	Merged-chr11-97052422-15
NR62497--MA0741.1.KLF16	chr9	101251890	101251900	+	0.000	0.000	Merged-chr9-101251656-72
NR47211--MA1107.1.KLF9	chr5	134350913	134350925	-	0.000	0.000	Merged-chr5-134350841-34
NR56935--MA1107.1.KLF9	chr8	13907648	13907660	-	0.000	0.000	Merged-chr8-13907776-51
NR23208--MA0493.1.Klf1	chr16	32608935	32608945	-	0.000	0.000	Merged-chr16-32609068-64
NR34830--MA0599.1.KLF5	chr2	151971070	151971079	+	0.000	0.000	Merged-chr2-151971067-35
NR8444--MA1107.1.KLF9	chr11	34050294	34050306	+	0.000	0.000	Merged-chr11-34050171-2
NR46588--MA0599.1.KLF5	chr5	120577131	120577140	+	0.000	0.000	Merged-chr5-120577035-13
NR11876--MA0741.1.KLF16	chr11	119392483	119392493	-	0.000	0.000	Merged-chr11-119392513-1
NR21759--MA0657.1.KLF13	chr15	93514217	93514234	-	0.000	0.000	Merged-chr15-93514141-31
NR31236--MA0742.1.Klf12	chr2	9879646	9879660	-	0.000	0.000	Merged-chr2-9879570-49
NR52361--MA0742.1.Klf12	chr7	12881143	12881157	-	0.000	0.000	Merged-chr7-12881125-51
NR62905--MA0742.1.Klf12	chr9	110131958	110131972	-	0.000	0.000	Merged-chr9-110132063-73
NR12030--MA0599.1.KLF5	chr11	121237145	121237154	-	0.000	0.000	Merged-chr11-121237143-85
NR7318--MA0039.3.KLF4	chr10	118787591	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR53174--MA0740.1.KLF14	chr7	30184115	30184128	+	0.000	0.000	Merged-chr7-30184154-42
NR12587--MA0741.1.KLF16	chr12	36042523	36042533	+	0.000	0.000	Merged-chr12-36042318-87
NR35458--MA0741.1.KLF16	chr2	165653852	165653862	+	0.000	0.000	Merged-chr2-165653935-20
NR29619--MA0742.1.Klf12	chr19	6969805	6969819	+	0.000	0.000	Merged-chr19-6969828-39
NR62038--MA0493.1.Klf1	chr9	80313763	80313773	-	0.000	0.000	Merged-chr9-80313733-27
NR54969--MA0741.1.KLF16	chr7	105633653	105633663	+	0.000	0.000	Merged-chr7-105633562-65
NR54531--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR237--MA0493.1.Klf1	chr1	26687593	26687603	+	0.000	0.000	Merged-chr1-26687444-162
NR2254--MA1107.1.KLF9	chr1	139181125	139181137	-	0.000	0.000	Merged-chr1-139181025-29
NR157--MA0599.1.KLF5	chr1	20951607	20951616	+	0.000	0.000	Merged-chr1-20951631-56
NR44459--MA0740.1.KLF14	chr5	34949338	34949351	+	0.000	0.000	Merged-chr5-34949325-82
NR24331--MA0741.1.KLF16	chr16	94371049	94371059	-	0.000	0.000	Merged-chr16-94371065-139
NR65016--MA0741.1.KLF16	chrX	164382075	164382085	-	0.000	0.000	Merged-chrX-164382152-46
NR52418--MA0741.1.KLF16	chr7	16098491	16098501	-	0.000	0.000	Merged-chr7-16098473-81
NR22723--MA0599.1.KLF5	chr16	11577678	11577687	+	0.000	0.000	Merged-chr16-11577786-44
NR47868--MA0741.1.KLF16	chr5	142551116	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR42113--MA0740.1.KLF14	chr4	130017254	130017267	+	0.000	0.000	Merged-chr4-130017376-16
NR14692--MA0740.1.KLF14	chr13	12395085	12395098	-	0.000	0.000	Merged-chr13-12395311-75
NR2580--MA0742.1.Klf12	chr1	155973483	155973497	+	0.000	0.000	Merged-chr1-155973452-104
NR52133--MA0493.1.Klf1	chr6	148896228	148896238	+	0.000	0.000	Merged-chr6-148896090-83
NR45522--MA0741.1.KLF16	chr5	92485039	92485049	+	0.000	0.000	Merged-chr5-92485089-31
NR39365--MA1107.1.KLF9	chr3	149097652	149097664	+	0.000	0.000	Merged-chr3-149097847-1
NR37867--MA0599.1.KLF5	chr3	101800621	101800630	-	0.000	0.000	Merged-chr3-101800601-48
NR26984--MA0599.1.KLF5	chr17	78916594	78916603	-	0.000	0.000	Merged-chr17-78916603-61
NR34942--MA0599.1.KLF5	chr2	153492688	153492697	-	0.000	0.000	Merged-chr2-153492855-60
NR30788--MA0493.1.Klf1	chr19	55401900	55401910	-	0.000	0.000	Merged-chr19-55401887-30
NR48481--MA0740.1.KLF14	chr6	4749269	4749282	+	0.000	0.000	Merged-chr6-4749300-25
NR35323--MA0039.3.KLF4	chr2	163602674	163602684	-	0.000	0.000	Merged-chr2-163602590-76
NR60011--MA0599.1.KLF5	chr8	124699924	124699933	-	0.000	0.000	Merged-chr8-124699852-21
NR17896--MA0741.1.KLF16	chr14	33099361	33099371	+	0.000	0.000	Merged-chr14-33099452-34
NR27627--MA0740.1.KLF14	chr18	12236553	12236566	+	0.000	0.000	Merged-chr18-12236569-102
NR30573--MA0493.1.Klf1	chr19	46983950	46983960	+	0.000	0.000	Merged-chr19-46983880-15
NR64762--MA0741.1.KLF16	chrX	136976865	136976875	+	0.000	0.000	Merged-chrX-136976953-62
NR15067--MA0599.1.KLF5	chr13	34154450	34154459	+	0.000	0.000	Merged-chr13-34154699-84
NR56506--MA0741.1.KLF16	chr7	141072481	141072491	+	0.000	0.000	Merged-chr7-141072410-71
NR48699--MA0657.1.KLF13	chr6	29517184	29517201	+	0.000	0.000	Merged-chr6-29517345-20
NR43908--MA0741.1.KLF16	chr5	3383629	3383639	-	0.000	0.000	Merged-chr5-3383814-54
NR46028--MA0741.1.KLF16	chr5	110094446	110094456	+	0.000	0.000	Merged-chr5-110094650-54
NR23996--MA0740.1.KLF14	chr16	84774353	84774366	+	0.000	0.000	Merged-chr16-84774518-64
NR16483--MA0493.1.Klf1	chr13	97790018	97790028	+	0.000	0.000	Merged-chr13-97790032-25
NR5184--MA0493.1.Klf1	chr10	62247949	62247959	-	0.000	0.000	Merged-chr10-62247968-20
NR10983--MA0599.1.KLF5	chr11	102946895	102946904	-	0.000	0.000	Merged-chr11-102946743-33
NR63942--MA1107.1.KLF9	chrX	12062741	12062753	+	0.000	0.000	Merged-chrX-12062732-18
NR18780--MA0740.1.KLF14	chr14	70351386	70351399	+	0.000	0.000	Merged-chr14-70351270-70
NR47748--MA0039.3.KLF4	chr5	140981730	140981740	-	0.000	0.000	Merged-chr5-140981610-38
NR23125--MA0740.1.KLF14	chr16	30252284	30252297	-	0.000	0.000	Merged-chr16-30252274-42
NR18878--MA0741.1.KLF16	chr14	73377971	73377981	-	0.000	0.000	Merged-chr14-73378030-18
NR31479--MA0741.1.KLF16	chr2	25054356	25054366	-	0.000	0.000	Merged-chr2-25054565-53
NR39585--MA0493.1.Klf1	chr3	153658463	153658473	-	0.000	0.000	Merged-chr3-153658616-40
NR30000--MA0493.1.Klf1	chr19	21778240	21778250	-	0.000	0.000	Merged-chr19-21778385-93
NR31766--MA0493.1.Klf1	chr2	30547958	30547968	-	0.000	0.000	Merged-chr2-30547911-31
NR27071--MA0599.1.KLF5	chr17	80441971	80441980	-	0.000	0.000	Merged-chr17-80441791-30
NR38293--MA1107.1.KLF9	chr3	116424259	116424271	-	0.000	0.000	Merged-chr3-116424067-206
NR60785--MA0493.1.Klf1	chr9	37420842	37420852	+	0.000	0.000	Merged-chr9-37420944-37
NR21508--MA0599.1.KLF5	chr15	86087581	86087590	-	0.000	0.000	Merged-chr15-86087524-4
NR58346--MA0599.1.KLF5	chr8	81342481	81342490	-	0.000	0.000	Merged-chr8-81342289-116
NR7579--MA0741.1.KLF16	chr10	127060418	127060428	-	0.000	0.000	Merged-chr10-127060313-39
NR34261--MA0493.1.Klf1	chr2	131820505	131820515	+	0.000	0.000	Merged-chr2-131820410-33
NR7276--MA0740.1.KLF14	chr10	118103327	118103340	-	0.000	0.000	Merged-chr10-118103353-49
NR51933--MA0039.3.KLF4	chr6	145256874	145256884	+	0.000	0.000	Merged-chr6-145256997-16
NR24551--MA0740.1.KLF14	chr16	97922641	97922654	-	0.000	0.000	Merged-chr16-97922460-77
NR39227--MA0493.1.Klf1	chr3	145942167	145942177	-	0.000	0.000	Merged-chr3-145942154-31
NR24649--MA0741.1.KLF16	chr17	5935017	5935027	-	0.000	0.000	Merged-chr17-5935124-37
NR14647--MA0741.1.KLF16	chr13	6648788	6648798	+	0.000	0.000	Merged-chr13-6648891-51
NR53022--MA0599.1.KLF5	chr7	28716736	28716745	-	0.000	0.000	Merged-chr7-28716768-36
NR22844--MA0599.1.KLF5	chr16	17200729	17200738	+	0.000	0.000	Merged-chr16-17201057-84
NR37518--MA0741.1.KLF16	chr3	94379982	94379992	+	0.000	0.000	Merged-chr3-94379948-32
NR14344--MA0740.1.KLF14	chr12	112629098	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR42534--MA0742.1.Klf12	chr4	135168038	135168052	+	0.000	0.000	Merged-chr4-135168211-13
NR22303--MA0741.1.KLF16	chr15	101141223	101141233	-	0.000	0.000	Merged-chr15-101141305-22
NR32429--MA0740.1.KLF14	chr2	59882608	59882621	-	0.000	0.000	Merged-chr2-59882495-61
NR58167--MA0741.1.KLF16	chr8	72135144	72135154	+	0.000	0.000	Merged-chr8-72135322-43
NR62531--MA0599.1.KLF5	chr9	102834908	102834917	+	0.000	0.000	Merged-chr9-102834749-1
NR778--MA0741.1.KLF16	chr1	59764259	59764269	+	0.000	0.000	Merged-chr1-59764134-5
NR16375--MA1107.1.KLF9	chr13	94116563	94116575	+	0.000	0.000	Merged-chr13-94116775-28
NR5765--MA0742.1.Klf12	chr10	79614055	79614069	-	0.000	0.000	Merged-chr10-79614028-25
NR3045--MA0740.1.KLF14	chr1	170147759	170147772	+	0.000	0.000	Merged-chr1-170147878-39
NR48799--MA0740.1.KLF14	chr6	34910651	34910664	+	0.000	0.000	Merged-chr6-34910780-76
NR6288--MA0599.1.KLF5	chr10	83534142	83534151	+	0.000	0.000	Merged-chr10-83533900-47
NR59663--MA1107.1.KLF9	chr8	120404067	120404079	+	0.000	0.000	Merged-chr8-120404007-24
NR42120--MA1107.1.KLF9	chr4	130017254	130017266	+	0.000	0.000	Merged-chr4-130017376-16
NR33016--MA0741.1.KLF16	chr2	80315681	80315691	+	0.000	0.000	Merged-chr2-80315576-77
NR48968--MA0742.1.Klf12	chr6	47454963	47454977	-	0.000	0.000	Merged-chr6-47455141-5
NR59864--MA0741.1.KLF16	chr8	122769451	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR52165--MA0599.1.KLF5	chr6	149193672	149193681	+	0.000	0.000	Merged-chr6-149193776-50
NR4774--MA0741.1.KLF16	chr10	39505708	39505718	-	0.000	0.000	Merged-chr10-39505827-10
NR41282--MA0599.1.KLF5	chr4	103313753	103313762	-	0.000	0.000	Merged-chr4-103313867-67
NR54207--MA0741.1.KLF16	chr7	78847175	78847185	+	0.000	0.000	Merged-chr7-78847158-68
NR43538--MA0599.1.KLF5	chr4	152138709	152138718	+	0.000	0.000	Merged-chr4-152138737-60
NR31607--MA0741.1.KLF16	chr2	27426791	27426801	+	0.000	0.000	Merged-chr2-27426949-82
NR32520--MA0493.1.Klf1	chr2	62441259	62441269	+	0.000	0.000	Merged-chr2-62441216-45
NR9116--MA0741.1.KLF16	chr11	60811333	60811343	+	0.000	0.000	Merged-chr11-60811220-49
NR40613--MA0599.1.KLF5	chr4	52438972	52438981	-	0.000	0.000	Merged-chr4-52439085-87
NR46248--MA0599.1.KLF5	chr5	113814495	113814504	+	0.000	0.000	Merged-chr5-113814580-52
NR29591--MA0599.1.KLF5	chr19	6235930	6235939	+	0.000	0.000	Merged-chr19-6236034-63
NR9955--MA0740.1.KLF14	chr11	80154066	80154079	-	0.000	0.000	Merged-chr11-80154113-41
NR12469--MA0599.1.KLF5	chr12	30911753	30911762	-	0.000	0.000	Merged-chr12-30911736-104
NR32994--MA1107.1.KLF9	chr2	79255429	79255441	-	0.000	0.000	Merged-chr2-79255338-118
NR16579--MA0741.1.KLF16	chr13	101344181	101344191	+	0.000	0.000	Merged-chr13-101344260-14
NR9853--MA0742.1.Klf12	chr11	78360258	78360272	-	0.000	0.000	Merged-chr11-78360468-54
NR16595--MA0493.1.Klf1	chr13	101696937	101696947	+	0.000	0.000	Merged-chr13-101697011-15
NR55633--MA0741.1.KLF16	chr7	123377991	123378001	-	0.000	0.000	Merged-chr7-123378098-56
NR27398--MA0599.1.KLF5	chr17	86760437	86760446	-	0.000	0.000	Merged-chr17-86760300-15
NR25079--MA0493.1.Klf1	chr17	21535509	21535519	-	0.000	0.000	Merged-chr17-21535383-93
NR32015--MA0740.1.KLF14	chr2	33887488	33887501	-	0.000	0.000	Merged-chr2-33887388-77
