#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR765--MA0508.2.PRDM1	chr13	113198243	113198252	-	0.000	0.000	Merged-chr13-113198047-76
NR1036--MA0508.2.PRDM1	chr16	24152155	24152164	+	0.000	0.000	Merged-chr16-24152137-5
NR2462--MA0508.2.PRDM1	chr7	113263266	113263275	+	0.000	0.000	Merged-chr7-113263148-32
NR460--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR1145--MA0508.2.PRDM1	chr17	28007329	28007338	+	0.000	0.000	Merged-chr17-28007418-17
NR2571--MA0508.2.PRDM1	chr8	111595747	111595756	-	0.000	0.000	Merged-chr8-111595874-65
NR2603--MA0508.2.PRDM1	chr9	15003374	15003383	-	0.000	0.000	Merged-chr9-15003468-19
NR744--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR539--MA0508.2.PRDM1	chr12	76753049	76753058	+	0.000	0.000	Merged-chr12-76753055-50
NR1015--MA0508.2.PRDM1	chr16	10690479	10690488	-	0.000	0.000	Merged-chr16-10690218-33
NR377--MA0508.2.PRDM1	chr10	111100282	111100291	+	0.000	0.000	Merged-chr10-111100246-10
NR648--MA0508.2.PRDM1	chr13	45907109	45907118	+	0.000	0.000	Merged-chr13-45907051-110
NR1267--MA0508.2.PRDM1	chr18	39801356	39801365	-	0.000	0.000	Merged-chr18-39801283-11
NR2693--MA0508.2.PRDM1	chr9	120582695	120582704	+	0.000	0.000	Merged-chr9-120582751-83
NR2550--MA0508.2.PRDM1	chr8	83740299	83740308	-	0.000	0.000	Merged-chr8-83740218-49
NR2311--MA0508.2.PRDM1	chr6	120077187	120077196	+	0.000	0.000	Merged-chr6-120077232-23
NR2563--MA0508.2.PRDM1	chr8	94413698	94413707	+	0.000	0.000	Merged-chr8-94413719-53
NR975--MA0508.2.PRDM1	chr15	59524943	59524952	+	0.000	0.000	Merged-chr15-59525009-64
NR104--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR627--MA0508.2.PRDM1	chr13	21234183	21234192	-	0.000	0.000	Merged-chr13-21234284-39
NR2672--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR2467--MA0508.2.PRDM1	chr7	120830961	120830970	+	0.000	0.000	Merged-chr7-120830904-87
NR988--MA0508.2.PRDM1	chr15	74918567	74918576	-	0.000	0.000	Merged-chr15-74918683-40
NR2433--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR683--MA0508.2.PRDM1	chr13	77708751	77708760	-	0.000	0.000	Merged-chr13-77708849-66
NR587--MA0508.2.PRDM1	chr13	3637157	3637166	+	0.000	0.000	Merged-chr13-3636993-50
NR858--MA0508.2.PRDM1	chr14	78307348	78307357	+	0.000	0.000	Merged-chr14-78307471-124
NR444--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR301--MA0508.2.PRDM1	chr10	58282343	58282352	+	0.000	0.000	Merged-chr10-58282409-26
NR391--MA0508.2.PRDM1	chr10	122047135	122047144	+	0.000	0.000	Merged-chr10-122047468-83
NR186--MA0508.2.PRDM1	chr1	172368889	172368898	+	0.000	0.000	Merged-chr1-172369010-35
NR457--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR314--MA0508.2.PRDM1	chr10	67620233	67620242	+	0.000	0.000	Merged-chr10-67620150-41
NR2425--MA0508.2.PRDM1	chr7	73531100	73531109	+	0.000	0.000	Merged-chr7-73531012-64
NR837--MA0508.2.PRDM1	chr14	51386101	51386110	+	0.000	0.000	Merged-chr14-51385941-36
NR327--MA0508.2.PRDM1	chr10	79417237	79417246	-	0.000	0.000	Merged-chr10-79417442-89
NR2372--MA0508.2.PRDM1	chr7	5357030	5357039	+	0.000	0.000	Merged-chr7-5357031-11
NR2167--MA0508.2.PRDM1	chr5	122951586	122951595	-	0.000	0.000	Merged-chr5-122951683-61
NR2709--MA0508.2.PRDM1	chrX	59586034	59586043	+	0.000	0.000	Merged-chrX-59585920-18
NR579--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR2133--MA0508.2.PRDM1	chr5	90402983	90402992	+	0.000	0.000	Merged-chr5-90403196-7
NR2404--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR2656--MA0508.2.PRDM1	chr9	87178920	87178929	-	0.000	0.000	Merged-chr9-87178792-36
NR1531--MA0508.2.PRDM1	chr2	117352885	117352894	+	0.000	0.000	Merged-chr2-117352784-31
NR383--MA0508.2.PRDM1	chr10	118714412	118714421	-	0.000	0.000	Merged-chr10-118714396-52
NR178--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR306--MA0508.2.PRDM1	chr10	60000263	60000272	+	0.000	0.000	Merged-chr10-60000232-10
NR2146--MA0508.2.PRDM1	chr5	98161461	98161470	+	0.000	0.000	Merged-chr5-98161434-16
NR2398--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR2112--MA0508.2.PRDM1	chr5	62939302	62939311	-	0.000	0.000	Merged-chr5-62939189-18
NR2364--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR1762--MA0508.2.PRDM1	chr3	134238888	134238897	+	0.000	0.000	Merged-chr3-134238964-2
NR2539--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR2234--MA0508.2.PRDM1	chr6	54088344	54088353	-	0.000	0.000	Merged-chr6-54088359-21
NR2356--MA0508.2.PRDM1	chr6	142752600	142752609	+	0.000	0.000	Merged-chr6-142752635-30
NR2627--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR2736--MA0508.2.PRDM1	chrX	166185334	166185343	+	0.000	0.000	Merged-chrX-166185579-37
NR1340--MA0508.2.PRDM1	chr19	8518398	8518407	-	0.000	0.000	Merged-chr19-8518636-102
NR2098--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR638--MA0508.2.PRDM1	chr13	33004491	33004500	+	0.000	0.000	Merged-chr13-33004532-79
NR1972--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR2335--MA0508.2.PRDM1	chr6	131264131	131264140	+	0.000	0.000	Merged-chr6-131264117-18
NR2587--MA0508.2.PRDM1	chr8	128654845	128654854	+	0.000	0.000	Merged-chr8-128654839-29
NR2173--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR2696--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR598--MA0508.2.PRDM1	chr13	6515638	6515647	-	0.000	0.000	Merged-chr13-6515620-23
NR1332--MA0508.2.PRDM1	chr19	4114053	4114062	+	0.000	0.000	Merged-chr19-4113915-47
NR2314--MA0508.2.PRDM1	chr6	122756187	122756196	+	0.000	0.000	Merged-chr6-122756168-13
NR197--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR468--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR1868--MA0508.2.PRDM1	chr4	35006647	35006656	-	0.000	0.000	Merged-chr4-35006607-36
NR2165--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR1563--MA0508.2.PRDM1	chr2	144742297	144742306	+	0.000	0.000	Merged-chr2-144742373-21
NR1943--MA0508.2.PRDM1	chr4	88641336	88641345	-	0.000	0.000	Merged-chr4-88641244-84
NR1576--MA0508.2.PRDM1	chr2	151974197	151974206	-	0.000	0.000	Merged-chr2-151974232-5
NR51--MA0508.2.PRDM1	chr1	51104859	51104868	+	0.000	0.000	Merged-chr1-51104887-5
NR1542--MA0508.2.PRDM1	chr2	130068355	130068364	+	0.000	0.000	Merged-chr2-130068381-27
NR870--MA0508.2.PRDM1	chr14	87079923	87079932	+	0.000	0.000	Merged-chr14-87079950-39
NR2279--MA0508.2.PRDM1	chr6	90819194	90819203	-	0.000	0.000	Merged-chr6-90819007-15
NR1500--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR1752--MA0508.2.PRDM1	chr3	126650982	126650991	+	0.000	0.000	Merged-chr3-126650760-81
NR1404--MA0508.2.PRDM1	chr2	26739238	26739247	+	0.000	0.000	Merged-chr2-26739075-19
NR971--MA0508.2.PRDM1	chr15	53724376	53724385	+	0.000	0.000	Merged-chr15-53724398-47
NR1308--MA0508.2.PRDM1	chr18	70598098	70598107	+	0.000	0.000	Merged-chr18-70597990-21
NR1351--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR1398--MA0508.2.PRDM1	chr2	19734646	19734655	+	0.000	0.000	Merged-chr2-19734692-8
NR1003--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR1669--MA0508.2.PRDM1	chr3	52791142	52791151	+	0.000	0.000	Merged-chr3-52791161-46
NR2700--MA0508.2.PRDM1	chrX	11664477	11664486	+	0.000	0.000	Merged-chrX-11664686-45
NR1112--MA0508.2.PRDM1	chr16	88212066	88212075	-	0.000	0.000	Merged-chr16-88212138-3
NR1016--MA0508.2.PRDM1	chr16	10732708	10732717	+	0.000	0.000	Merged-chr16-10732689-38
NR440--MA0508.2.PRDM1	chr11	78887160	78887169	-	0.000	0.000	Merged-chr11-78887268-28
NR1648--MA0508.2.PRDM1	chr3	37173564	37173573	-	0.000	0.000	Merged-chr3-37173489-44
NR724--MA0508.2.PRDM1	chr13	97857898	97857907	-	0.000	0.000	Merged-chr13-97858038-42
NR1595--MA0508.2.PRDM1	chr2	173448682	173448691	+	0.000	0.000	Merged-chr2-173448878-59
NR1988--MA0508.2.PRDM1	chr4	140814522	140814531	+	0.000	0.000	Merged-chr4-140814639-31
NR83--MA0508.2.PRDM1	chr1	82902054	82902063	-	0.000	0.000	Merged-chr1-82901993-1
NR1574--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR1369--MA0508.2.PRDM1	chr19	56685687	56685696	+	0.000	0.000	Merged-chr19-56685748-31
NR541--MA0508.2.PRDM1	chr12	77781376	77781385	+	0.000	0.000	Merged-chr12-77781498-27
NR812--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR1683--MA0508.2.PRDM1	chr3	65650520	65650529	+	0.000	0.000	Merged-chr3-65650597-39
NR1478--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1064--MA0508.2.PRDM1	chr16	52129718	52129727	+	0.000	0.000	Merged-chr16-52129675-51
NR1173--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR1030--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR663--MA0508.2.PRDM1	chr13	63701894	63701903	-	0.000	0.000	Merged-chr13-63701998-19
NR676--MA0508.2.PRDM1	chr13	74639845	74639854	+	0.000	0.000	Merged-chr13-74639723-103
NR1295--MA0508.2.PRDM1	chr18	60963903	60963912	+	0.000	0.000	Merged-chr18-60963764-1
NR1152--MA0508.2.PRDM1	chr17	33358908	33358917	-	0.000	0.000	Merged-chr17-33358776-57
NR785--MA0508.2.PRDM1	chr14	7819461	7819470	-	0.000	0.000	Merged-chr14-7819575-11
NR751--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR817--MA0508.2.PRDM1	chr14	36270837	36270846	-	0.000	0.000	Merged-chr14-36270876-1
NR2591--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR132--MA0508.2.PRDM1	chr1	133661418	133661427	-	0.000	0.000	Merged-chr1-133661318-54
NR403--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR384--MA0508.2.PRDM1	chr10	118797439	118797448	-	0.000	0.000	Merged-chr10-118797511-13
NR1069--MA0508.2.PRDM1	chr16	55758467	55758476	+	0.000	0.000	Merged-chr16-55758589-1
NR764--MA0508.2.PRDM1	chr13	113198060	113198069	+	0.000	0.000	Merged-chr13-113198047-76
NR1035--MA0508.2.PRDM1	chr16	23100343	23100352	-	0.000	0.000	Merged-chr16-23100189-17
NR1144--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR2602--MA0508.2.PRDM1	chr9	13894666	13894675	-	0.000	0.000	Merged-chr9-13894754-54
NR2583--MA0508.2.PRDM1	chr8	126867690	126867699	-	0.000	0.000	Merged-chr8-126867742-65
NR995--MA0508.2.PRDM1	chr15	91172410	91172419	-	0.000	0.000	Merged-chr15-91172371-1
NR2440--MA0508.2.PRDM1	chr7	96914217	96914226	+	0.000	0.000	Merged-chr7-96914274-42
NR852--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR647--MA0508.2.PRDM1	chr13	44376101	44376110	-	0.000	0.000	Merged-chr13-44376077-22
NR2724--MA0508.2.PRDM1	chrX	130772368	130772377	-	0.000	0.000	Merged-chrX-130772470-1
NR59--MA0508.2.PRDM1	chr1	54279815	54279824	-	0.000	0.000	Merged-chr1-54279813-25
NR451--MA0508.2.PRDM1	chr11	100931778	100931787	+	0.000	0.000	Merged-chr11-100931794-39
NR2291--MA0508.2.PRDM1	chr6	99502217	99502226	+	0.000	0.000	Merged-chr6-99502370-1
NR103--MA0508.2.PRDM1	chr1	98589784	98589793	-	0.000	0.000	Merged-chr1-98589738-39
NR25--MA0508.2.PRDM1	chr1	21781109	21781118	+	0.000	0.000	Merged-chr1-21781098-42
NR212--MA0508.2.PRDM1	chr1	191111425	191111434	-	0.000	0.000	Merged-chr1-191111364-43
NR2323--MA0508.2.PRDM1	chr6	127446830	127446839	-	0.000	0.000	Merged-chr6-127446764-51
NR1083--MA0508.2.PRDM1	chr16	65629300	65629309	-	0.000	0.000	Merged-chr16-65629396-38
NR1149--MA0508.2.PRDM1	chr17	29660669	29660678	-	0.000	0.000	Merged-chr17-29660811-69
NR987--MA0508.2.PRDM1	chr15	73629824	73629833	-	0.000	0.000	Merged-chr15-73629813-13
NR2432--MA0508.2.PRDM1	chr7	80647609	80647618	-	0.000	0.000	Merged-chr7-80647614-48
NR38--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR573--MA0508.2.PRDM1	chr12	101075286	101075295	-	0.000	0.000	Merged-chr12-101075229-34
NR844--MA0508.2.PRDM1	chr14	60783430	60783439	+	0.000	0.000	Merged-chr14-60783398-4
NR430--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR1115--MA0508.2.PRDM1	chr16	94402423	94402432	+	0.000	0.000	Merged-chr16-94402317-35
NR748--MA0508.2.PRDM1	chr13	107461261	107461270	+	0.000	0.000	Merged-chr13-107461269-28
NR1096--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR334--MA0508.2.PRDM1	chr10	84774759	84774768	+	0.000	0.000	Merged-chr10-84774745-16
NR791--MA0508.2.PRDM1	chr14	10146639	10146648	-	0.000	0.000	Merged-chr14-10146570-14
NR857--MA0508.2.PRDM1	chr14	78307339	78307348	+	0.000	0.000	Merged-chr14-78307471-124
NR443--MA0508.2.PRDM1	chr11	88187859	88187868	+	0.000	0.000	Merged-chr11-88187909-35
NR2729--MA0508.2.PRDM1	chrX	140457235	140457244	+	0.000	0.000	Merged-chrX-140457424-1
NR313--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR565--MA0508.2.PRDM1	chr12	93670525	93670534	-	0.000	0.000	Merged-chr12-93670515-1
NR2010--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR422--MA0508.2.PRDM1	chr11	34762809	34762818	-	0.000	0.000	Merged-chr11-34762658-71
NR469--MA0508.2.PRDM1	chr12	8660050	8660059	-	0.000	0.000	Merged-chr12-8659979-34
NR531--MA0508.2.PRDM1	chr12	69853634	69853643	+	0.000	0.000	Merged-chr12-69853558-20
NR849--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR1197--MA0508.2.PRDM1	chr17	73010123	73010132	+	0.000	0.000	Merged-chr17-73010213-37
NR2689--MA0508.2.PRDM1	chr9	114452507	114452516	+	0.000	0.000	Merged-chr9-114452652-12
NR2512--MA0508.2.PRDM1	chr8	36182375	36182384	-	0.000	0.000	Merged-chr8-36182321-59
NR653--MA0508.2.PRDM1	chr13	49015553	49015562	+	0.000	0.000	Merged-chr13-49015468-8
NR177--MA0508.2.PRDM1	chr1	161660862	161660871	+	0.000	0.000	Merged-chr1-161660991-11
NR448--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR305--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR2397--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR937--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR2634--MA0508.2.PRDM1	chr9	75256336	75256345	-	0.000	0.000	Merged-chr9-75256322-14
NR2015--MA0508.2.PRDM1	chr5	3887111	3887120	-	0.000	0.000	Merged-chr5-3887091-30
NR2472--MA0508.2.PRDM1	chr7	132335501	132335510	-	0.000	0.000	Merged-chr7-132335509-39
NR2267--MA0508.2.PRDM1	chr6	72900502	72900511	+	0.000	0.000	Merged-chr6-72900407-12
NR916--MA0508.2.PRDM1	chr15	6726748	6726757	+	0.000	0.000	Merged-chr15-6726597-28
NR2613--MA0508.2.PRDM1	chr9	32938979	32938988	+	0.000	0.000	Merged-chr9-32939001-13
NR135--MA0508.2.PRDM1	chr1	136685609	136685618	+	0.000	0.000	Merged-chr1-136685597-75
NR2180--MA0508.2.PRDM1	chr5	148388087	148388096	-	0.000	0.000	Merged-chr5-148388208-26
NR1501--MA0508.2.PRDM1	chr2	92464857	92464866	+	0.000	0.000	Merged-chr2-92464936-24
NR2007--MA0508.2.PRDM1	chr4	147848475	147848484	-	0.000	0.000	Merged-chr4-147848412-69
NR353--MA0508.2.PRDM1	chr10	94829526	94829535	-	0.000	0.000	Merged-chr10-94829610-38
NR2639--MA0508.2.PRDM1	chr9	80026192	80026201	-	0.000	0.000	Merged-chr9-80026146-29
NR2225--MA0508.2.PRDM1	chr6	34364710	34364719	+	0.000	0.000	Merged-chr6-34364838-25
NR2063--MA0508.2.PRDM1	chr5	22747530	22747539	+	0.000	0.000	Merged-chr5-22747535-33
NR746--MA0508.2.PRDM1	chr13	107168974	107168983	+	0.000	0.000	Merged-chr13-107168851-26
NR2695--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2281--MA0508.2.PRDM1	chr6	91125020	91125029	+	0.000	0.000	Merged-chr6-91125010-35
NR249--MA0508.2.PRDM1	chr10	19168055	19168064	-	0.000	0.000	Merged-chr10-19167953-53
NR1711--MA0508.2.PRDM1	chr3	85127040	85127049	+	0.000	0.000	Merged-chr3-85127158-54
NR358--MA0508.2.PRDM1	chr10	99417107	99417116	+	0.000	0.000	Merged-chr10-99417083-63
NR2326--MA0508.2.PRDM1	chr6	129575706	129575715	-	0.000	0.000	Merged-chr6-129575587-29
NR2578--MA0508.2.PRDM1	chr8	120078268	120078277	+	0.000	0.000	Merged-chr8-120078339-32
NR1833--MA0508.2.PRDM1	chr4	3954239	3954248	+	0.000	0.000	Merged-chr4-3954116-51
NR2177--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR175--MA0508.2.PRDM1	chr1	160053604	160053613	-	0.000	0.000	Merged-chr1-160053620-125
NR446--MA0508.2.PRDM1	chr11	94210257	94210266	+	0.000	0.000	Merged-chr11-94210319-4
NR2286--MA0508.2.PRDM1	chr6	97311155	97311164	-	0.000	0.000	Merged-chr6-97311024-32
NR1684--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR1270--MA0508.2.PRDM1	chr18	41951239	41951248	+	0.000	0.000	Merged-chr18-41951172-76
NR1812--MA0508.2.PRDM1	chr3	152956344	152956353	+	0.000	0.000	Merged-chr3-152956195-38
NR316--MA0508.2.PRDM1	chr10	71285097	71285106	+	0.000	0.000	Merged-chr10-71285103-74
NR1716--MA0508.2.PRDM1	chr3	96198425	96198434	+	0.000	0.000	Merged-chr3-96198410-32
NR2679--MA0508.2.PRDM1	chr9	101099666	101099675	+	0.000	0.000	Merged-chr9-101099532-8
NR1411--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR167--MA0508.2.PRDM1	chr1	155041093	155041102	-	0.000	0.000	Merged-chr1-155041204-32
NR2549--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR276--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR1676--MA0508.2.PRDM1	chr3	59262340	59262349	-	0.000	0.000	Merged-chr3-59262212-10
NR42--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR1262--MA0508.2.PRDM1	chr18	34118175	34118184	-	0.000	0.000	Merged-chr18-34118477-76
NR1533--MA0508.2.PRDM1	chr2	117441210	117441219	-	0.000	0.000	Merged-chr2-117441143-41
NR1990--MA0508.2.PRDM1	chr4	143190833	143190842	+	0.000	0.000	Merged-chr4-143190909-19
NR308--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR1371--MA0508.2.PRDM1	chr2	3710545	3710554	+	0.000	0.000	Merged-chr2-3710676-36
NR1798--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR1403--MA0508.2.PRDM1	chr2	26739164	26739173	-	0.000	0.000	Merged-chr2-26739075-19
NR2114--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR2366--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1764--MA0508.2.PRDM1	chr3	136106737	136106746	-	0.000	0.000	Merged-chr3-136106732-41
NR1002--MA0508.2.PRDM1	chr15	97372803	97372812	+	0.000	0.000	Merged-chr15-97372688-4
NR1668--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR2074--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR2106--MA0508.2.PRDM1	chr5	57387329	57387338	+	0.000	0.000	Merged-chr5-57387295-1
NR1647--MA0508.2.PRDM1	chr3	35747329	35747338	-	0.000	0.000	Merged-chr3-35747239-33
NR2087--MA0508.2.PRDM1	chr5	43355258	43355267	+	0.000	0.000	Merged-chr5-43355421-55
NR2196--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR1342--MA0508.2.PRDM1	chr19	12477074	12477083	+	0.000	0.000	Merged-chr19-12477129-16
NR1498--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR1103--MA0508.2.PRDM1	chr16	84995478	84995487	+	0.000	0.000	Merged-chr16-84995665-26
NR1626--MA0508.2.PRDM1	chr3	19945912	19945921	+	0.000	0.000	Merged-chr3-19945919-7
NR2066--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
NR1050--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR1116--MA0508.2.PRDM1	chr16	94593689	94593698	+	0.000	0.000	Merged-chr16-94593743-20
NR1573--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR1844--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
