#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1906--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR2011--MA0463.1.Bcl6	chr9	50527997	50528010	-	0.000	0.000	Merged-chr9-50528064-1
NR374--MA0463.1.Bcl6	chr11	109585135	109585148	-	0.000	0.000	Merged-chr11-109585234-31
NR1239--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR1030--MA0731.1.BCL6B	chr2	18911779	18911795	+	0.000	0.000	Merged-chr2-18911586-19
NR1387--MA0463.1.Bcl6	chr4	57065438	57065451	+	0.000	0.000	Merged-chr4-57065457-35
NR772--MA0731.1.BCL6B	chr16	49164667	49164683	-	0.000	0.000	Merged-chr16-49164589-42
NR813--MA0463.1.Bcl6	chr16	97272489	97272502	+	0.000	0.000	Merged-chr16-97272459-57
NR925--MA0463.1.Bcl6	chr18	60632960	60632973	-	0.000	0.000	Merged-chr18-60633052-25
NR1159--MA0463.1.Bcl6	chr2	148851486	148851499	-	0.000	0.000	Merged-chr2-148851394-47
NR1218--MA0731.1.BCL6B	chr3	52850196	52850212	-	0.000	0.000	Merged-chr3-52850315-12
NR276--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR371--MA0731.1.BCL6B	chr11	106716672	106716688	-	0.000	0.000	Merged-chr11-106716812-28
NR913--MA0731.1.BCL6B	chr18	36525746	36525762	+	0.000	0.000	Merged-chr18-36525718-16
NR1289--MA0463.1.Bcl6	chr3	126825088	126825101	-	0.000	0.000	Merged-chr3-126825034-19
NR480--MA0731.1.BCL6B	chr12	119157077	119157093	-	0.000	0.000	Merged-chr12-119157162-44
NR751--MA0731.1.BCL6B	chr16	20804580	20804596	-	0.000	0.000	Merged-chr16-20804779-46
NR294--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR926--MA0731.1.BCL6B	chr18	60632960	60632976	+	0.000	0.000	Merged-chr18-60633052-25
NR2070--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR1522--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR254--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR975--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR743--MA0731.1.BCL6B	chr16	13286624	13286640	-	0.000	0.000	Merged-chr16-13286714-13
NR881--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR27--MA0463.1.Bcl6	chr1	60979578	60979591	-	0.000	0.000	Merged-chr1-60979583-29
NR995--MA0731.1.BCL6B	chr19	41848269	41848285	+	0.000	0.000	Merged-chr19-41848121-99
NR1537--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR420--MA0463.1.Bcl6	chr12	86687071	86687084	-	0.000	0.000	Merged-chr12-86687051-28
NR1536--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR747--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR756--MA0731.1.BCL6B	chr16	23379810	23379826	+	0.000	0.000	Merged-chr16-23379859-35
NR1442--MA0463.1.Bcl6	chr4	132808241	132808254	+	0.000	0.000	Merged-chr4-132808337-17
NR1648--MA0463.1.Bcl6	chr6	54816540	54816553	+	0.000	0.000	Merged-chr6-54816601-6
NR865--MA0731.1.BCL6B	chr17	65870407	65870423	-	0.000	0.000	Merged-chr17-65870335-22
NR407--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR722--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR1136--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR1308--MA0463.1.Bcl6	chr3	135604915	135604928	+	0.000	0.000	Merged-chr3-135604723-37
NR671--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR1572--MA0463.1.Bcl6	chr5	123508367	123508380	+	0.000	0.000	Merged-chr5-123508424-41
NR1326--MA0463.1.Bcl6	chr3	142744063	142744076	+	0.000	0.000	Merged-chr3-142744255-26
NR1497--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR193--MA0731.1.BCL6B	chr10	13057151	13057167	-	0.000	0.000	Merged-chr10-13057097-43
NR68--MA0463.1.Bcl6	chr1	120033229	120033242	-	0.000	0.000	Merged-chr1-120033205-45
NR225--MA0731.1.BCL6B	chr10	63176747	63176763	+	0.000	0.000	Merged-chr10-63176806-32
NR682--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR748--MA0731.1.BCL6B	chr16	17508848	17508864	-	0.000	0.000	Merged-chr16-17508961-62
NR309--MA0463.1.Bcl6	chr11	43767037	43767050	-	0.000	0.000	Merged-chr11-43767173-52
NR573--MA0463.1.Bcl6	chr13	108976433	108976446	+	0.000	0.000	Merged-chr13-108976576-1
NR1586--MA0463.1.Bcl6	chr5	134437612	134437625	-	0.000	0.000	Merged-chr5-134437601-35
NR439--MA0463.1.Bcl6	chr12	99557472	99557485	+	0.000	0.000	Merged-chr12-99557572-3
NR1913--MA0463.1.Bcl6	chr8	50293759	50293772	-	0.000	0.000	Merged-chr8-50293787-15
NR2121--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR381--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR2108--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR578--MA0731.1.BCL6B	chr13	109844987	109845003	-	0.000	0.000	Merged-chr13-109845162-65
NR687--MA0731.1.BCL6B	chr15	18951744	18951760	+	0.000	0.000	Merged-chr15-18951851-25
NR932--MA0463.1.Bcl6	chr18	66502170	66502183	-	0.000	0.000	Merged-chr18-66502099-22
NR130--MA0731.1.BCL6B	chr1	170993653	170993669	+	0.000	0.000	Merged-chr1-170993660-17
NR653--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR177--MA0731.1.BCL6B	chr1	189922365	189922381	+	0.000	0.000	Merged-chr1-189922190-68
NR2002--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR919--MA0463.1.Bcl6	chr18	54940552	54940565	-	0.000	0.000	Merged-chr18-54940674-40
NR1511--MA0463.1.Bcl6	chr5	52783117	52783130	+	0.000	0.000	Merged-chr5-52783183-56
NR1189--MA0731.1.BCL6B	chr2	174674171	174674187	+	0.000	0.000	Merged-chr2-174674180-20
NR852--MA0463.1.Bcl6	chr17	46686074	46686087	-	0.000	0.000	Merged-chr17-46686121-20
NR1968--MA0463.1.Bcl6	chr8	117673711	117673724	-	0.000	0.000	Merged-chr8-117673653-52
NR297--MA0463.1.Bcl6	chr11	17051559	17051572	+	0.000	0.000	Merged-chr11-17051443-1
NR1413--MA0463.1.Bcl6	chr4	102989449	102989462	-	0.000	0.000	Merged-chr4-102989545-19
NR1892--MA0463.1.Bcl6	chr8	4212923	4212936	-	0.000	0.000	Merged-chr8-4212854-13
NR745--MA0463.1.Bcl6	chr16	13780571	13780584	-	0.000	0.000	Merged-chr16-13780698-52
NR1655--MA0463.1.Bcl6	chr6	59417831	59417844	+	0.000	0.000	Merged-chr6-59417759-25
NR199--MA0463.1.Bcl6	chr10	21077157	21077170	+	0.000	0.000	Merged-chr10-21077347-58
NR114--MA0731.1.BCL6B	chr1	160290473	160290489	-	0.000	0.000	Merged-chr1-160290479-12
NR1673--MA0463.1.Bcl6	chr6	91706271	91706284	-	0.000	0.000	Merged-chr6-91706219-53
NR637--MA0731.1.BCL6B	chr14	79394637	79394653	+	0.000	0.000	Merged-chr14-79394771-21
NR526--MA0463.1.Bcl6	chr13	60744305	60744318	-	0.000	0.000	Merged-chr13-60744325-32
NR1427--MA0463.1.Bcl6	chr4	118449767	118449780	-	0.000	0.000	Merged-chr4-118449765-23
NR1548--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR57--MA0463.1.Bcl6	chr1	88450668	88450681	-	0.000	0.000	Merged-chr1-88450830-24
NR1570--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR683--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1331--MA0731.1.BCL6B	chr3	143740827	143740843	-	0.000	0.000	Merged-chr3-143740858-3
NR795--MA0463.1.Bcl6	chr16	78546703	78546716	+	0.000	0.000	Merged-chr16-78546881-68
NR1696--MA0463.1.Bcl6	chr6	120836044	120836057	+	0.000	0.000	Merged-chr6-120836291-89
NR1854--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR106--MA0731.1.BCL6B	chr1	153559668	153559684	-	0.000	0.000	Merged-chr1-153559503-28
NR1440--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR89--MA0463.1.Bcl6	chr1	144719141	144719154	+	0.000	0.000	Merged-chr1-144719233-1
NR1137--MA0463.1.Bcl6	chr2	131145659	131145672	+	0.000	0.000	Merged-chr2-131145703-8
NR1955--MA0731.1.BCL6B	chr8	110860098	110860114	+	0.000	0.000	Merged-chr8-110860019-49
NR375--MA0463.1.Bcl6	chr11	109822516	109822529	-	0.000	0.000	Merged-chr11-109822566-4
NR459--MA0731.1.BCL6B	chr12	111406845	111406861	-	0.000	0.000	Merged-chr12-111406868-16
NR1388--MA0463.1.Bcl6	chr4	59682660	59682673	+	0.000	0.000	Merged-chr4-59682801-45
NR908--MA0463.1.Bcl6	chr18	25510935	25510948	+	0.000	0.000	Merged-chr18-25510965-10
NR1285--MA0463.1.Bcl6	chr3	123386117	123386130	+	0.000	0.000	Merged-chr3-123385920-64
NR1697--MA0731.1.BCL6B	chr6	120836041	120836057	-	0.000	0.000	Merged-chr6-120836291-89
NR1809--MA0463.1.Bcl6	chr7	89500188	89500201	-	0.000	0.000	Merged-chr7-89500080-22
NR290--MA0463.1.Bcl6	chr11	3157550	3157563	+	0.000	0.000	Merged-chr11-3157744-93
NR1039--MA0463.1.Bcl6	chr2	26409281	26409294	+	0.000	0.000	Merged-chr2-26409124-52
NR1500--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR1827--MA0463.1.Bcl6	chr7	104400828	104400841	-	0.000	0.000	Merged-chr7-104400949-29
NR1075--MA0463.1.Bcl6	chr2	65331317	65331330	+	0.000	0.000	Merged-chr2-65331508-29
NR1785--MA0731.1.BCL6B	chr7	58501118	58501134	-	0.000	0.000	Merged-chr7-58501010-19
NR308--MA0731.1.BCL6B	chr11	43410504	43410520	-	0.000	0.000	Merged-chr11-43410532-22
NR32--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR1747--MA0463.1.Bcl6	chr6	147546404	147546417	+	0.000	0.000	Merged-chr6-147546273-1
NR2095--MA0731.1.BCL6B	chr9	123960498	123960514	+	0.000	0.000	Merged-chr9-123960411-24
NR752--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR1653--MA0463.1.Bcl6	chr6	58770866	58770879	-	0.000	0.000	Merged-chr6-58770995-22
NR864--MA0463.1.Bcl6	chr17	65870410	65870423	+	0.000	0.000	Merged-chr17-65870335-22
NR506--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR1939--MA0731.1.BCL6B	chr8	95081038	95081054	+	0.000	0.000	Merged-chr8-95081024-85
NR1730--MA0731.1.BCL6B	chr6	143373889	143373905	-	0.000	0.000	Merged-chr6-143373914-47
NR1425--MA0463.1.Bcl6	chr4	117267545	117267558	-	0.000	0.000	Merged-chr4-117267580-14
NR1111--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR1649--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR654--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1504--MA0731.1.BCL6B	chr5	35813679	35813695	+	0.000	0.000	Merged-chr5-35813752-8
NR1327--MA0463.1.Bcl6	chr3	142744061	142744074	-	0.000	0.000	Merged-chr3-142744255-26
NR1439--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR1769--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR556--MA0463.1.Bcl6	chr13	99126718	99126731	+	0.000	0.000	Merged-chr13-99126699-1
NR1242--MA0463.1.Bcl6	chr3	83053908	83053921	-	0.000	0.000	Merged-chr3-83054013-12
NR1193--MA0731.1.BCL6B	chr2	178407650	178407666	-	0.000	0.000	Merged-chr2-178407625-2
NR1475--MA0463.1.Bcl6	chr4	149698122	149698135	+	0.000	0.000	Merged-chr4-149697962-1
NR1014--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR234--MA0463.1.Bcl6	chr10	76835918	76835931	+	0.000	0.000	Merged-chr10-76835846-46
NR1932--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1695--MA0731.1.BCL6B	chr6	120529141	120529157	-	0.000	0.000	Merged-chr6-120529161-48
NR118--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR1019--MA0463.1.Bcl6	chr2	6445024	6445037	+	0.000	0.000	Merged-chr2-6444990-17
NR382--MA0463.1.Bcl6	chr11	115258227	115258240	-	0.000	0.000	Merged-chr11-115258229-4
NR74--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR880--MA0731.1.BCL6B	chr17	78418044	78418060	-	0.000	0.000	Merged-chr17-78417856-75
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR154--MA0463.1.Bcl6	chr1	181299201	181299214	-	0.000	0.000	Merged-chr1-181299360-30
NR2118--MA0463.1.Bcl6	chrX	136986416	136986429	+	0.000	0.000	Merged-chrX-136986316-28
NR2024--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR396--MA0463.1.Bcl6	chr12	25864290	25864303	+	0.000	0.000	Merged-chr12-25864437-46
NR1339--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR511--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR1414--MA0731.1.BCL6B	chr4	102989449	102989465	+	0.000	0.000	Merged-chr4-102989545-19
NR1209--MA0731.1.BCL6B	chr3	27210437	27210453	-	0.000	0.000	Merged-chr3-27210457-3
NR1000--MA0731.1.BCL6B	chr19	46014671	46014687	+	0.000	0.000	Merged-chr19-46014734-21
NR362--MA0731.1.BCL6B	chr11	98348333	98348349	+	0.000	0.000	Merged-chr11-98348383-15
NR401--MA0463.1.Bcl6	chr12	41852146	41852159	-	0.000	0.000	Merged-chr12-41852230-53
NR1679--MA0731.1.BCL6B	chr6	103296301	103296317	-	0.000	0.000	Merged-chr6-103296336-38
NR1265--MA0731.1.BCL6B	chr3	104818059	104818075	+	0.000	0.000	Merged-chr3-104818098-119
NR755--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR58--MA0731.1.BCL6B	chr1	88450668	88450684	+	0.000	0.000	Merged-chr1-88450830-24
NR303--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR1777--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR877--MA0731.1.BCL6B	chr17	78245441	78245457	+	0.000	0.000	Merged-chr17-78245592-60
NR1795--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR1366--MA0731.1.BCL6B	chr4	6881220	6881236	+	0.000	0.000	Merged-chr4-6881171-35
NR563--MA0463.1.Bcl6	chr13	101719596	101719609	+	0.000	0.000	Merged-chr13-101719562-51
NR1018--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR856--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1576--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR796--MA0463.1.Bcl6	chr16	84616236	84616249	+	0.000	0.000	Merged-chr16-84616157-15
NR223--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR693--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR1594--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1236--MA0463.1.Bcl6	chr3	75557548	75557561	+	0.000	0.000	Merged-chr3-75557381-3
NR107--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR1087--MA0731.1.BCL6B	chr2	75138174	75138190	-	0.000	0.000	Merged-chr2-75138018-27
NR530--MA0731.1.BCL6B	chr13	65176267	65176283	+	0.000	0.000	Merged-chr13-65176353-33
NR814--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR699--MA0731.1.BCL6B	chr15	50652005	50652021	-	0.000	0.000	Merged-chr15-50651925-26
NR385--MA0463.1.Bcl6	chr11	117081940	117081953	-	0.000	0.000	Merged-chr11-117081831-19
NR665--MA0731.1.BCL6B	chr14	118865201	118865217	+	0.000	0.000	Merged-chr14-118865146-38
NR815--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR1501--MA0463.1.Bcl6	chr5	23787890	23787903	+	0.000	0.000	Merged-chr5-23787783-52
NR1613--MA0463.1.Bcl6	chr5	146845045	146845058	-	0.000	0.000	Merged-chr5-146845015-50
NR1058--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR678--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR175--MA0463.1.Bcl6	chr1	189799170	189799183	+	0.000	0.000	Merged-chr1-189799097-29
NR15--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1403--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR33--MA0463.1.Bcl6	chr1	69461264	69461277	+	0.000	0.000	Merged-chr1-69461360-14
NR69--MA0731.1.BCL6B	chr1	120033229	120033245	+	0.000	0.000	Merged-chr1-120033205-45
NR779--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR1784--MA0463.1.Bcl6	chr7	58501121	58501134	+	0.000	0.000	Merged-chr7-58501010-19
NR1556--MA0463.1.Bcl6	chr5	104022046	104022059	+	0.000	0.000	Merged-chr5-104021929-50
NR201--MA0731.1.BCL6B	chr10	21659657	21659673	-	0.000	0.000	Merged-chr10-21659696-16
NR785--MA0463.1.Bcl6	chr16	75823389	75823402	-	0.000	0.000	Merged-chr16-75823473-28
NR1225--MA0463.1.Bcl6	chr3	60499114	60499127	-	0.000	0.000	Merged-chr3-60498979-3,Merged-chr3-60499297-2
NR445--MA0463.1.Bcl6	chr12	103348650	103348663	+	0.000	0.000	Merged-chr12-103348740-28
NR323--MA0731.1.BCL6B	chr11	57962660	57962676	+	0.000	0.000	Merged-chr11-57962717-47
NR669--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1476--MA0463.1.Bcl6	chr4	149889170	149889183	-	0.000	0.000	Merged-chr4-149889246-22
NR1015--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR226--MA0463.1.Bcl6	chr10	63582800	63582813	+	0.000	0.000	Merged-chr10-63582747-40
NR347--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1051--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR262--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1275--MA0463.1.Bcl6	chr3	107931788	107931801	-	0.000	0.000	Merged-chr3-107931821-21
NR1824--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR1817--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR1933--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1835--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1675--MA0731.1.BCL6B	chr6	97148714	97148730	-	0.000	0.000	Merged-chr6-97148793-82
NR706--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR1893--MA0731.1.BCL6B	chr8	4313908	4313924	-	0.000	0.000	Merged-chr8-4313757-51
NR1983--MA0463.1.Bcl6	chr8	128352945	128352958	-	0.000	0.000	Merged-chr8-128352989-24
NR1131--MA0731.1.BCL6B	chr2	128325595	128325611	-	0.000	0.000	Merged-chr2-128325647-45
NR854--MA0463.1.Bcl6	chr17	50525278	50525291	-	0.000	0.000	Merged-chr17-50525188-50
