#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR38706--MA0599.1.KLF5	chr3	85887553	85887562	+	0.000	0.000	Merged-chr3-85887790-94
NR27823--MA0599.1.KLF5	chr17	64332223	64332232	+	0.000	0.000	Merged-chr17-64332180-104
NR50521--MA1107.1.KLF9	chr6	17901367	17901379	-	0.000	0.000	Merged-chr6-17901265-19
NR38830--MA1107.1.KLF9	chr3	88832610	88832622	+	0.000	0.000	Merged-chr3-88832556-26
NR36637--MA1107.1.KLF9	chr2	161675490	161675502	+	0.000	0.000	Merged-chr2-161675424-1
NR56171--MA0740.1.KLF14	chr7	80779537	80779550	+	0.000	0.000	Merged-chr7-80779458-48
NR50638--MA0742.1.Klf12	chr6	29916960	29916974	-	0.000	0.000	Merged-chr6-29917052-59
NR17286--MA0742.1.Klf12	chr13	98692029	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR12697--MA0599.1.KLF5	chr12	3886427	3886436	+	0.000	0.000	Merged-chr12-3886470-4
NR41530--MA0741.1.KLF16	chr4	11900137	11900147	-	0.000	0.000	Merged-chr4-11900204-55
NR46267--MA0741.1.KLF16	chr5	35105751	35105761	+	0.000	0.000	Merged-chr5-35105769-58
NR3572--MA1107.1.KLF9	chr1	178784088	178784100	+	0.000	0.000	Merged-chr1-178784216-1
NR27559--MA0742.1.Klf12	chr17	51855410	51855424	+	0.000	0.000	Merged-chr17-51855418-25
NR47882--MA0039.3.KLF4	chr5	112274132	112274142	-	0.000	0.000	Merged-chr5-112274120-60
NR43471--MA0742.1.Klf12	chr4	123313252	123313266	-	0.000	0.000	Merged-chr4-123313240-12
NR4784--MA0599.1.KLF5	chr10	22731529	22731538	-	0.000	0.000	Merged-chr10-22731486-93
NR1250--MA0742.1.Klf12	chr1	86415831	86415845	+	0.000	0.000	Merged-chr1-86415733-84
NR49373--MA0741.1.KLF16	chr5	137535187	137535197	+	0.000	0.000	Merged-chr5-137535332-8
NR36775--MA0741.1.KLF16	chr2	165285778	165285788	+	0.000	0.000	Merged-chr2-165285935-14
NR31020--MA0740.1.KLF14	chr19	8798613	8798626	+	0.000	0.000	Merged-chr19-8798550-51
NR19622--MA1107.1.KLF9	chr14	72983653	72983665	-	0.000	0.000	Merged-chr14-72983519-34
NR6825--MA0599.1.KLF5	chr10	94942875	94942884	-	0.000	0.000	Merged-chr10-94942923-6
NR10083--MA0599.1.KLF5	chr11	73094701	73094710	-	0.000	0.000	Merged-chr11-73094669-63
NR3214--MA1107.1.KLF9	chr1	169531489	169531501	-	0.000	0.000	Merged-chr1-169531770-70
NR1379--MA1107.1.KLF9	chr1	90739032	90739044	-	0.000	0.000	Merged-chr1-90739110-18
NR61883--MA1107.1.KLF9	chr9	21196444	21196456	-	0.000	0.000	Merged-chr9-21196368-25
NR62950--MA0039.3.KLF4	chr9	59565755	59565765	-	0.000	0.000	Merged-chr9-59565831-20
NR4089--MA1107.1.KLF9	chr1	189795408	189795420	-	0.000	0.000	Merged-chr1-189795440-7
NR52702--MA0599.1.KLF5	chr6	122491810	122491819	+	0.000	0.000	Merged-chr6-122491726-37
NR13530--MA0039.3.KLF4	chr12	70825386	70825396	-	0.000	0.000	Merged-chr12-70825421-128
NR27133--MA0493.1.Klf1	chr17	36083527	36083537	+	0.000	0.000	Merged-chr17-36083529-56
NR62880--MA0599.1.KLF5	chr9	57956935	57956944	-	0.000	0.000	Merged-chr9-57956974-45
NR47932--MA0740.1.KLF14	chr5	112386194	112386207	-	0.000	0.000	Merged-chr5-112386154-2
NR32544--MA0741.1.KLF16	chr2	5003273	5003283	+	0.000	0.000	Merged-chr2-5003396-19
NR55025--MA0657.1.KLF13	chr7	29238310	29238327	-	0.000	0.000	Merged-chr7-29238309-53
NR16107--MA0493.1.Klf1	chr13	49251351	49251361	-	0.000	0.000	Merged-chr13-49251247-4
NR39487--MA0599.1.KLF5	chr3	104638572	104638581	-	0.000	0.000	Merged-chr3-104638712-128
NR38818--MA0599.1.KLF5	chr3	88772639	88772648	+	0.000	0.000	Merged-chr3-88772617-19
NR8915--MA0741.1.KLF16	chr11	32020366	32020376	-	0.000	0.000	Merged-chr11-32020422-50
NR26070--MA0493.1.Klf1	chr17	19435238	19435248	+	0.000	0.000	Merged-chr17-19435269-18
NR22489--MA1107.1.KLF9	chr15	89149573	89149585	+	0.000	0.000	Merged-chr15-89149704-89
NR1361--MA0657.1.KLF13	chr1	88708257	88708274	+	0.000	0.000	Merged-chr1-88708373-21
NR28101--MA0039.3.KLF4	chr17	73174326	73174336	+	0.000	0.000	Merged-chr17-73174368-48
NR384--MA1107.1.KLF9	chr1	37471656	37471668	+	0.000	0.000	Merged-chr1-37471561-5
NR31659--MA0599.1.KLF5	chr19	38746135	38746144	-	0.000	0.000	Merged-chr19-38746267-36
NR1384--MA0493.1.Klf1	chr1	90742641	90742651	+	0.000	0.000	Merged-chr1-90742735-3
NR26276--MA0493.1.Klf1	chr17	24896473	24896483	+	0.000	0.000	Merged-chr17-24896442-47
NR23887--MA0740.1.KLF14	chr16	17911115	17911128	-	0.000	0.000	Merged-chr16-17911310-48
NR43672--MA0599.1.KLF5	chr4	128957233	128957242	-	0.000	0.000	Merged-chr4-128957353-26
NR16018--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR61059--MA0039.3.KLF4	chr8	120319623	120319633	-	0.000	0.000	Merged-chr8-120319667-36
NR62709--MA1107.1.KLF9	chr9	53706273	53706285	-	0.000	0.000	Merged-chr9-53706205-55
NR54041--MA0742.1.Klf12	chr6	149193671	149193685	+	0.000	0.000	Merged-chr6-149193776-50
NR28576--MA1107.1.KLF9	chr17	85800161	85800173	-	0.000	0.000	Merged-chr17-85800006-20
NR59430--MA1107.1.KLF9	chr8	64723354	64723366	+	0.000	0.000	Merged-chr8-64723409-10
NR17693--MA1107.1.KLF9	chr13	108170098	108170110	+	0.000	0.000	Merged-chr13-108170237-20
NR52147--MA0599.1.KLF5	chr6	100824841	100824850	-	0.000	0.000	Merged-chr6-100824678-47
NR50783--MA0740.1.KLF14	chr6	37046651	37046664	-	0.000	0.000	Merged-chr6-37046555-33
NR9441--MA0599.1.KLF5	chr11	57660962	57660971	+	0.000	0.000	Merged-chr11-57661002-26
NR1908--MA0493.1.Klf1	chr1	128713043	128713053	+	0.000	0.000	Merged-chr1-128713010-21
NR55125--MA0740.1.KLF14	chr7	30717489	30717502	+	0.000	0.000	Merged-chr7-30717543-30
NR27136--MA0741.1.KLF16	chr17	36083546	36083556	+	0.000	0.000	Merged-chr17-36083529-56
NR37409--MA0741.1.KLF16	chr2	173449002	173449012	+	0.000	0.000	Merged-chr2-173448878-59
NR35187--MA0741.1.KLF16	chr2	119742873	119742883	-	0.000	0.000	Merged-chr2-119742846-8
NR19075--MA0742.1.Klf12	chr14	53364152	53364166	-	0.000	0.000	Merged-chr14-53364139-16
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR63204--MA0657.1.KLF13	chr9	65435690	65435707	+	0.000	0.000	Merged-chr9-65435912-41
NR8896--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR58897--MA0740.1.KLF14	chr8	33318405	33318418	-	0.000	0.000	Merged-chr8-33318480-6
NR47421--MA0039.3.KLF4	chr5	100498685	100498695	+	0.000	0.000	Merged-chr5-100498698-59
NR15622--MA0599.1.KLF5	chr13	24831555	24831564	+	0.000	0.000	Merged-chr13-24831601-67
NR29554--MA1107.1.KLF9	chr18	53245545	53245557	+	0.000	0.000	Merged-chr18-53245593-51
NR14178--MA0493.1.Klf1	chr12	98628101	98628111	-	0.000	0.000	Merged-chr12-98628210-48
NR56940--MA0493.1.Klf1	chr7	112180264	112180274	-	0.000	0.000	Merged-chr7-112180328-30
NR64034--MA0741.1.KLF16	chr9	92275231	92275241	-	0.000	0.000	Merged-chr9-92275152-2
NR28796--MA0493.1.Klf1	chr18	3933657	3933667	+	0.000	0.000	Merged-chr18-3933786-31
NR38724--MA0599.1.KLF5	chr3	86961190	86961199	-	0.000	0.000	Merged-chr3-86961231-31
NR54871--MA0740.1.KLF14	chr7	27258655	27258668	-	0.000	0.000	Merged-chr7-27258672-61
NR36884--MA0741.1.KLF16	chr2	166622932	166622942	+	0.000	0.000	Merged-chr2-166622738-30
NR22056--MA0599.1.KLF5	chr15	80544320	80544329	+	0.000	0.000	Merged-chr15-80544309-7
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR13266--MA0740.1.KLF14	chr12	52503830	52503843	-	0.000	0.000	Merged-chr12-52504054-125
NR18052--MA0740.1.KLF14	chr13	114931904	114931917	+	0.000	0.000	Merged-chr13-114931861-78
NR11191--MA0741.1.KLF16	chr11	98786601	98786611	-	0.000	0.000	Merged-chr11-98786782-44
NR54937--MA0740.1.KLF14	chr7	27929236	27929249	+	0.000	0.000	Merged-chr7-27929384-28
NR28438--MA0493.1.Klf1	chr17	83705947	83705957	+	0.000	0.000	Merged-chr17-83706034-70
NR22180--MA1107.1.KLF9	chr15	81905001	81905013	-	0.000	0.000	Merged-chr15-81905099-6
NR36110--MA0599.1.KLF5	chr2	150910381	150910390	+	0.000	0.000	Merged-chr2-150910563-2
NR55191--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR496--MA1107.1.KLF9	chr1	39949396	39949408	-	0.000	0.000	Merged-chr1-39949345-35
NR56165--MA1107.1.KLF9	chr7	80450050	80450062	+	0.000	0.000	Merged-chr7-80450087-44
NR33945--MA1107.1.KLF9	chr2	60880817	60880829	+	0.000	0.000	Merged-chr2-60880763-2
NR60469--MA0741.1.KLF16	chr8	104631377	104631387	+	0.000	0.000	Merged-chr8-104631259-113
NR6176--MA0599.1.KLF5	chr10	80566558	80566567	+	0.000	0.000	Merged-chr10-80566579-19
NR54452--MA0599.1.KLF5	chr7	16908232	16908241	+	0.000	0.000	Merged-chr7-16908180-25
NR58786--MA0741.1.KLF16	chr8	22757686	22757696	+	0.000	0.000	Merged-chr8-22757594-30
NR42807--MA0657.1.KLF13	chr4	101496653	101496670	-	0.000	0.000	Merged-chr4-101496663-37
NR58754--MA0740.1.KLF14	chr8	22185553	22185566	+	0.000	0.000	Merged-chr8-22185664-67
NR27627--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR50999--MA0742.1.Klf12	chr6	48395580	48395594	+	0.000	0.000	Merged-chr6-48395696-62
NR33364--MA0741.1.KLF16	chr2	31950221	31950231	-	0.000	0.000	Merged-chr2-31950269-16
NR52800--MA0493.1.Klf1	chr6	125067859	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR61148--MA0740.1.KLF14	chr8	121578893	121578906	+	0.000	0.000	Merged-chr8-121578886-116
NR23025--MA0599.1.KLF5	chr15	99126699	99126708	-	0.000	0.000	Merged-chr15-99126498-24
NR23157--MA0741.1.KLF16	chr15	100304706	100304716	+	0.000	0.000	Merged-chr15-100304601-63
NR16483--MA0493.1.Klf1	chr13	61998878	61998888	+	0.000	0.000	Merged-chr13-61998846-64
NR26074--MA1107.1.KLF9	chr17	19435238	19435250	+	0.000	0.000	Merged-chr17-19435269-18
NR2394--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR44077--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR48301--MA1107.1.KLF9	chr5	118172106	118172118	-	0.000	0.000	Merged-chr5-118172344-28
NR6824--MA1107.1.KLF9	chr10	94942850	94942862	+	0.000	0.000	Merged-chr10-94942923-6
NR57932--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR10625--MA0599.1.KLF5	chr11	87756741	87756750	-	0.000	0.000	Merged-chr11-87756738-13
NR61749--MA1107.1.KLF9	chr9	11579251	11579263	-	0.000	0.000	Merged-chr9-11579132-23
NR24557--MA1107.1.KLF9	chr16	52009770	52009782	-	0.000	0.000	Merged-chr16-52009656-17
NR11285--MA0599.1.KLF5	chr11	99230458	99230467	+	0.000	0.000	Merged-chr11-99230573-70
NR32300--MA1107.1.KLF9	chr19	57132251	57132263	-	0.000	0.000	Merged-chr19-57132265-94
NR36437--MA0599.1.KLF5	chr2	156730764	156730773	+	0.000	0.000	Merged-chr2-156730705-70
NR50687--MA0740.1.KLF14	chr6	30896831	30896844	+	0.000	0.000	Merged-chr6-30896699-63
NR22032--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR15715--MA1107.1.KLF9	chr13	30259689	30259701	+	0.000	0.000	Merged-chr13-30259922-51
NR5596--MA0740.1.KLF14	chr10	67979547	67979560	+	0.000	0.000	Merged-chr10-67979614-53
NR34387--MA0599.1.KLF5	chr2	79052364	79052373	-	0.000	0.000	Merged-chr2-79052352-13
NR57569--MA0493.1.Klf1	chr7	128070069	128070079	+	0.000	0.000	Merged-chr7-128070068-7
NR61087--MA0493.1.Klf1	chr8	120589224	120589234	+	0.000	0.000	Merged-chr8-120589278-59
NR14877--MA0599.1.KLF5	chr12	112130403	112130412	+	0.000	0.000	Merged-chr12-112130474-63
NR56487--MA0741.1.KLF16	chr7	97788435	97788445	+	0.000	0.000	Merged-chr7-97788658-80
NR8123--MA0599.1.KLF5	chr10	128039374	128039383	+	0.000	0.000	Merged-chr10-128039274-35
NR53003--MA1107.1.KLF9	chr6	128852990	128853002	+	0.000	0.000	Merged-chr6-128852954-26
NR11266--MA1107.1.KLF9	chr11	99116966	99116978	-	0.000	0.000	Merged-chr11-99116882-2
NR25545--MA0599.1.KLF5	chr16	97462943	97462952	+	0.000	0.000	Merged-chr16-97462987-69
NR44287--MA0493.1.Klf1	chr4	136140416	136140426	+	0.000	0.000	Merged-chr4-136140503-4
NR33016--MA0741.1.KLF16	chr2	26586859	26586869	+	0.000	0.000	Merged-chr2-26586785-35
NR51669--MA0740.1.KLF14	chr6	83711174	83711187	-	0.000	0.000	Merged-chr6-83711196-55
NR34368--MA1107.1.KLF9	chr2	77175977	77175989	-	0.000	0.000	Merged-chr2-77175946-2
NR9116--MA0741.1.KLF16	chr11	49202766	49202776	-	0.000	0.000	Merged-chr11-49202721-8
NR14304--MA0599.1.KLF5	chr12	101718629	101718638	+	0.000	0.000	Merged-chr12-101718493-65
NR15179--MA0599.1.KLF5	chr12	117834791	117834800	-	0.000	0.000	Merged-chr12-117834906-3
NR11842--MA0741.1.KLF16	chr11	109331355	109331365	+	0.000	0.000	Merged-chr11-109331360-60
NR52700--MA0740.1.KLF14	chr6	122491820	122491833	+	0.000	0.000	Merged-chr6-122491726-37
NR32491--MA0741.1.KLF16	chr2	3118331	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR11476--MA0039.3.KLF4	chr11	102295411	102295421	-	0.000	0.000	Merged-chr11-102295518-39
NR4341--MA0599.1.KLF5	chr1	193189573	193189582	+	0.000	0.000	Merged-chr1-193189573-66
NR6936--MA1107.1.KLF9	chr10	98776717	98776729	-	0.000	0.000	Merged-chr10-98776574-38
NR13590--MA0599.1.KLF5	chr12	72085809	72085818	-	0.000	0.000	Merged-chr12-72085712-110
NR60887--MA0039.3.KLF4	chr8	116526104	116526114	+	0.000	0.000	Merged-chr8-116526092-12
NR30211--MA0741.1.KLF16	chr18	74294800	74294810	-	0.000	0.000	Merged-chr18-74294799-40
NR50639--MA0599.1.KLF5	chr6	29916964	29916973	-	0.000	0.000	Merged-chr6-29917052-59
NR7933--MA0599.1.KLF5	chr10	125330269	125330278	-	0.000	0.000	Merged-chr10-125330277-12
NR2013--MA0493.1.Klf1	chr1	132008076	132008086	-	0.000	0.000	Merged-chr1-132007976-127
NR26504--MA1107.1.KLF9	chr17	27907768	27907780	+	0.000	0.000	Merged-chr17-27907698-19
NR62652--MA0599.1.KLF5	chr9	50537458	50537467	+	0.000	0.000	Merged-chr9-50537430-19
NR32627--MA1107.1.KLF9	chr2	11016626	11016638	+	0.000	0.000	Merged-chr2-11016646-27
NR44301--MA0599.1.KLF5	chr4	136172233	136172242	-	0.000	0.000	Merged-chr4-136172134-18
NR27634--MA0742.1.Klf12	chr17	56462415	56462429	-	0.000	0.000	Merged-chr17-56462383-73
NR25746--MA0493.1.Klf1	chr17	7169961	7169971	-	0.000	0.000	Merged-chr17-7169938-73
NR45176--MA0599.1.KLF5	chr4	150518993	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR18050--MA0741.1.KLF16	chr13	114887434	114887444	-	0.000	0.000	Merged-chr13-114887526-35
NR48554--MA0742.1.Klf12	chr5	122900366	122900380	-	0.000	0.000	Merged-chr5-122900223-75
NR36888--MA1107.1.KLF9	chr2	166622931	166622943	+	0.000	0.000	Merged-chr2-166622738-30
NR48848--MA0493.1.Klf1	chr5	129715476	129715486	-	0.000	0.000	Merged-chr5-129715582-48
NR39800--MA0493.1.Klf1	chr3	116387096	116387106	+	0.000	0.000	Merged-chr3-116386953-10
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR56876--MA0742.1.Klf12	chr7	110221661	110221675	-	0.000	0.000	Merged-chr7-110221778-96
NR57770--MA0741.1.KLF16	chr7	132576464	132576474	+	0.000	0.000	Merged-chr7-132576269-107
NR4902--MA0741.1.KLF16	chr10	30842889	30842899	+	0.000	0.000	Merged-chr10-30842947-69
NR29792--MA0493.1.Klf1	chr18	62125524	62125534	+	0.000	0.000	Merged-chr18-62125570-18
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR51219--MA0742.1.Klf12	chr6	54162969	54162983	+	0.000	0.000	Merged-chr6-54162989-41
NR30796--MA0039.3.KLF4	chr19	5041425	5041435	+	0.000	0.000	Merged-chr19-5041354-41
NR31010--MA0599.1.KLF5	chr19	8712147	8712156	+	0.000	0.000	Merged-chr19-8712106-37
