#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR8557--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	-	0.000	0.000	Merged-chr3-90587051-129
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR10082--MA0089.1.MAFG::NFE2L1	chr5	33039547	33039552	-	0.000	0.000	Merged-chr5-33039465-62
NR4910--MA0089.1.MAFG::NFE2L1	chr15	73506517	73506522	+	0.000	0.000	Merged-chr15-73506445-5
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR2218--MA0591.1.Bach1::Mafk	chr11	43748004	43748018	-	0.000	0.000	Merged-chr11-43747947-60
NR7248--MA0501.1.MAF::NFE2	chr2	58107023	58107037	+	0.000	0.000	Merged-chr2-58107175-53
NR6649--MA0495.2.MAFF	chr18	80612045	80612065	-	0.000	0.000	Merged-chr18-80611991-79
NR2475--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR6970--MA0089.1.MAFG::NFE2L1	chr2	14998105	14998110	-	0.000	0.000	Merged-chr2-14998000-10
NR5934--MA0501.1.MAF::NFE2	chr17	52168419	52168433	-	0.000	0.000	Merged-chr17-52168646-44
NR4835--MA0501.1.MAF::NFE2	chr15	60141740	60141754	-	0.000	0.000	Merged-chr15-60141822-49
NR11325--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR7819--MA0496.2.MAFK	chr2	157131379	157131397	+	0.000	0.000	Merged-chr2-157131278-25
NR5695--MA0117.2.Mafb	chr17	10425564	10425575	-	0.000	0.000	Merged-chr17-10425505-16
NR2864--MA0591.1.Bach1::Mafk	chr12	85705547	85705561	-	0.000	0.000	Merged-chr12-85705502-111
NR6340--MA0495.2.MAFF	chr18	33060132	33060152	-	0.000	0.000	Merged-chr18-33060171-12
NR13190--MA0495.2.MAFF	chr9	71874477	71874497	-	0.000	0.000	Merged-chr9-71874475-35
NR12187--MA0117.2.Mafb	chr7	110630430	110630441	-	0.000	0.000	Merged-chr7-110630391-39
NR12494--MA0501.1.MAF::NFE2	chr8	35250897	35250911	-	0.000	0.000	Merged-chr8-35250826-10
NR13156--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR11627--MA0089.1.MAFG::NFE2L1	chr6	144726015	144726020	-	0.000	0.000	Merged-chr6-144725993-9
NR674--MA0089.1.MAFG::NFE2L1	chr1	120293792	120293797	+	0.000	0.000	Merged-chr1-120293929-5
NR13611--MA0495.2.MAFF	chrX	71468813	71468833	+	0.000	0.000	Merged-chrX-71468864-48
NR2350--MA0591.1.Bach1::Mafk	chr11	87240404	87240418	+	0.000	0.000	Merged-chr11-87240422-3
NR5778--MA0089.1.MAFG::NFE2L1	chr17	22866544	22866549	-	0.000	0.000	Merged-chr17-22866822-95
NR10988--MA0089.1.MAFG::NFE2L1	chr6	52306248	52306253	+	0.000	0.000	Merged-chr6-52306168-25
NR4832--MA0495.2.MAFF	chr15	60141740	60141760	+	0.000	0.000	Merged-chr15-60141822-49
NR2757--MA0591.1.Bach1::Mafk	chr12	54313282	54313296	+	0.000	0.000	Merged-chr12-54313214-97
NR4734--MA0089.1.MAFG::NFE2L1	chr15	38452914	38452919	+	0.000	0.000	Merged-chr15-38452892-28
NR3314--MA0089.1.MAFG::NFE2L1	chr13	55022904	55022909	+	0.000	0.000	Merged-chr13-55022808-47
NR6719--MA0089.1.MAFG::NFE2L1	chr18	89126581	89126586	-	0.000	0.000	Merged-chr18-89126622-17
NR11445--MA0501.1.MAF::NFE2	chr6	125237468	125237482	+	0.000	0.000	Merged-chr6-125237216-70
NR5326--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR8537--MA0591.1.Bach1::Mafk	chr3	88503280	88503294	+	0.000	0.000	Merged-chr3-88503323-39
NR11438--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR5109--MA0117.2.Mafb	chr16	6935048	6935059	+	0.000	0.000	Merged-chr16-6934984-1
NR9493--MA0089.1.MAFG::NFE2L1	chr4	84091793	84091798	+	0.000	0.000	Merged-chr4-84091835-3
NR2578--MA0501.1.MAF::NFE2	chr12	25240223	25240237	+	0.000	0.000	Merged-chr12-25240283-42
NR3949--MA0591.1.Bach1::Mafk	chr14	15747084	15747098	+	0.000	0.000	Merged-chr14-15746987-40
NR7709--MA0591.1.Bach1::Mafk	chr2	143839408	143839422	-	0.000	0.000	Merged-chr2-143839351-69
NR2319--MA0501.1.MAF::NFE2	chr11	75170581	75170595	-	0.000	0.000	Merged-chr11-75170495-55
NR8664--MA0089.1.MAFG::NFE2L1	chr3	107559402	107559407	+	0.000	0.000	Merged-chr3-107559278-21
NR5461--MA0089.1.MAFG::NFE2L1	chr16	65448874	65448879	+	0.000	0.000	Merged-chr16-65448972-5
NR10671--MA0089.1.MAFG::NFE2L1	chr5	150522599	150522604	+	0.000	0.000	Merged-chr5-150522629-58
NR11928--MA0591.1.Bach1::Mafk	chr7	67951790	67951804	-	0.000	0.000	Merged-chr7-67951675-118
NR13470--MA0089.1.MAFG::NFE2L1	chr9	115481405	115481410	+	0.000	0.000	Merged-chr9-115481366-14
NR12756--MA0089.1.MAFG::NFE2L1	chr8	84689264	84689269	-	0.000	0.000	Merged-chr8-84689283-39
NR5763--MA0089.1.MAFG::NFE2L1	chr17	21536859	21536864	-	0.000	0.000	Merged-chr17-21536922-38
NR3993--MA0089.1.MAFG::NFE2L1	chr14	22553920	22553925	+	0.000	0.000	Merged-chr14-22553829-1
NR10629--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR2983--MA0501.1.MAF::NFE2	chr12	105069094	105069108	-	0.000	0.000	Merged-chr12-105069151-33
NR10357--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR3138--MA0089.1.MAFG::NFE2L1	chr13	9763395	9763400	-	0.000	0.000	Merged-chr13-9763479-33
NR262--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR3619--MA0117.2.Mafb	chr13	97789942	97789953	+	0.000	0.000	Merged-chr13-97790032-25
NR3742--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR7559--MA0089.1.MAFG::NFE2L1	chr2	121271577	121271582	+	0.000	0.000	Merged-chr2-121271299-80
NR887--MA0089.1.MAFG::NFE2L1	chr1	164405703	164405708	-	0.000	0.000	Merged-chr1-164405623-22
NR8995--MA0495.2.MAFF	chr3	154372398	154372418	-	0.000	0.000	Merged-chr3-154372398-2
NR10305--MA0089.1.MAFG::NFE2L1	chr5	75808763	75808768	-	0.000	0.000	Merged-chr5-75808701-3
NR10482--MA0591.1.Bach1::Mafk	chr5	112083159	112083173	-	0.000	0.000	Merged-chr5-112083278-3
NR11823--MA0591.1.Bach1::Mafk	chr7	44527955	44527969	-	0.000	0.000	Merged-chr7-44527953-37
NR6902--MA0117.2.Mafb	chr2	5404114	5404125	+	0.000	0.000	Merged-chr2-5404009-10
NR3671--MA0495.2.MAFF	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR1923--MA0659.1.MAFG	chr10	111107640	111107660	-	0.000	0.000	Merged-chr10-111107692-40
NR11610--MA0089.1.MAFG::NFE2L1	chr6	143690392	143690397	+	0.000	0.000	Merged-chr6-143690441-8
NR6779--MA0496.2.MAFK	chr19	14352215	14352233	-	0.000	0.000	Merged-chr19-14352313-109
NR8951--MA0089.1.MAFG::NFE2L1	chr3	149326931	149326936	+	0.000	0.000	Merged-chr3-149326950-53
NR9863--MA0659.1.MAFG	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR8534--MA0495.2.MAFF	chr3	87919441	87919461	-	0.000	0.000	Merged-chr3-87919615-56
NR5349--MA0496.2.MAFK	chr16	52468521	52468539	+	0.000	0.000	Merged-chr16-52468577-24
NR10091--MA0089.1.MAFG::NFE2L1	chr5	36465041	36465046	-	0.000	0.000	Merged-chr5-36465079-55
NR6817--MA0089.1.MAFG::NFE2L1	chr19	32409821	32409826	+	0.000	0.000	Merged-chr19-32409832-17
NR13506--MA0117.2.Mafb	chr9	123723235	123723246	+	0.000	0.000	Merged-chr9-123723255-25
NR477--MA0591.1.Bach1::Mafk	chr1	88285062	88285076	-	0.000	0.000	Merged-chr1-88285028-12
NR12316--MA0495.2.MAFF	chr7	141072584	141072604	+	0.000	0.000	Merged-chr7-141072410-71
NR3673--MA0659.1.MAFG	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR13168--MA0496.2.MAFK	chr9	61708040	61708058	-	0.000	0.000	Merged-chr9-61708026-57
NR1802--MA0117.2.Mafb	chr10	96274309	96274320	-	0.000	0.000	Merged-chr10-96274144-52
NR2458--MA0659.1.MAFG	chr11	117109896	117109916	-	0.000	0.000	Merged-chr11-117109823-31
NR8406--MA0117.2.Mafb	chr3	69156710	69156721	+	0.000	0.000	Merged-chr3-69156652-55
NR10393--MA0089.1.MAFG::NFE2L1	chr5	93136944	93136949	+	0.000	0.000	Merged-chr5-93137054-42
NR8588--MA0501.1.MAF::NFE2	chr3	95434258	95434272	-	0.000	0.000	Merged-chr3-95434415-68
NR4412--MA0495.2.MAFF	chr14	105177467	105177487	+	0.000	0.000	Merged-chr14-105177397-2
NR5940--MA0496.2.MAFK	chr17	52312186	52312204	-	0.000	0.000	Merged-chr17-52312219-8
NR596--MA0089.1.MAFG::NFE2L1	chr1	106171605	106171610	-	0.000	0.000	Merged-chr1-106171565-10
NR6328--MA0591.1.Bach1::Mafk	chr18	32311876	32311890	-	0.000	0.000	Merged-chr18-32311918-36
NR2460--MA0496.2.MAFK	chr11	117109897	117109915	+	0.000	0.000	Merged-chr11-117109823-31
NR4656--MA0089.1.MAFG::NFE2L1	chr15	25817422	25817427	-	0.000	0.000	Merged-chr15-25817272-36
NR5083--MA0659.1.MAFG	chr16	4736340	4736360	-	0.000	0.000	Merged-chr16-4736414-28
NR12941--MA0089.1.MAFG::NFE2L1	chr8	123807201	123807206	+	0.000	0.000	Merged-chr8-123807206-24
