#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR3034--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR1446--MA0482.1.Gata4	chr12	12172556	12172566	+	0.000	0.000	Merged-chr12-12172464-29
NR2482--MA0035.3.Gata1	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR2846--MA1104.1.GATA6	chr15	78514704	78514716	+	0.000	0.000	Merged-chr15-78514847-17
NR2548--MA0035.3.Gata1	chr14	79557827	79557837	-	0.000	0.000	Merged-chr14-79557870-40
NR3286--MA1104.1.GATA6	chr16	92641310	92641322	+	0.000	0.000	Merged-chr16-92641253-41
NR4956--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR203--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR994--MA0140.2.GATA1::TAL1	chr10	118110141	118110158	+	0.000	0.000	Merged-chr10-118110099-23
NR4661--MA0482.1.Gata4	chr2	154754225	154754235	-	0.000	0.000	Merged-chr2-154754253-27
NR1258--MA1104.1.GATA6	chr11	75169167	75169179	-	0.000	0.000	Merged-chr11-75169080-24
NR132--MA0035.3.Gata1	chr1	79752488	79752498	-	0.000	0.000	Merged-chr1-79752241-78
NR2270--MA1104.1.GATA6	chr14	16172523	16172535	+	0.000	0.000	Merged-chr14-16172497-2
NR1459--MA0482.1.Gata4	chr12	16258474	16258484	-	0.000	0.000	Merged-chr12-16258722-16
NR5199--MA0036.3.GATA2	chr3	143977278	143977288	-	0.000	0.000	Merged-chr3-143977087-2
NR6481--MA0140.2.GATA1::TAL1	chr6	120188249	120188266	-	0.000	0.000	Merged-chr6-120188171-90
NR4380--MA0035.3.Gata1	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR2495--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR6501--MA0036.3.GATA2	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR5107--MA1104.1.GATA6	chr3	130810234	130810246	+	0.000	0.000	Merged-chr3-130810133-82
NR1909--MA0037.3.GATA3	chr13	33079457	33079464	+	0.000	0.000	Merged-chr13-33079670-11
NR3156--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR857--MA1104.1.GATA6	chr10	81137367	81137379	-	0.000	0.000	Merged-chr10-81137276-7
NR4106--MA0036.3.GATA2	chr2	28418247	28418257	-	0.000	0.000	Merged-chr2-28418249-8
NR7174--MA0482.1.Gata4	chr8	27137213	27137223	+	0.000	0.000	Merged-chr8-27137178-38
NR296--MA0036.3.GATA2	chr1	108038617	108038627	+	0.000	0.000	Merged-chr1-108038539-17
NR848--MA0766.1.GATA5	chr10	79937304	79937311	-	0.000	0.000	Merged-chr10-79937148-47
NR1329--MA0482.1.Gata4	chr11	98682373	98682383	-	0.000	0.000	Merged-chr11-98682471-63
NR1508--MA1104.1.GATA6	chr12	40427688	40427700	+	0.000	0.000	Merged-chr12-40427719-34
NR6157--MA0766.1.GATA5	chr5	149246273	149246280	+	0.000	0.000	Merged-chr5-149246178-51
NR4477--MA0766.1.GATA5	chr2	121457053	121457060	-	0.000	0.000	Merged-chr2-121457132-54
NR1048--MA0035.3.Gata1	chr11	6528674	6528684	-	0.000	0.000	Merged-chr11-6528717-51
NR3916--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR6885--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR4605--MA0766.1.GATA5	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR5782--MA0037.3.GATA3	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR836--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR2676--MA1104.1.GATA6	chr15	5108582	5108594	-	0.000	0.000	Merged-chr15-5108448-64
NR699--MA0766.1.GATA5	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR6171--MA0482.1.Gata4	chr6	4664524	4664534	+	0.000	0.000	Merged-chr6-4664595-18
NR6989--MA0035.3.Gata1	chr7	108943831	108943841	-	0.000	0.000	Merged-chr7-108943832-1
NR7075--MA0140.2.GATA1::TAL1	chr7	135647125	135647142	+	0.000	0.000	Merged-chr7-135647119-33
NR2001--MA0766.1.GATA5	chr13	62880365	62880372	+	0.000	0.000	Merged-chr13-62880327-44
NR2463--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR798--MA0036.3.GATA2	chr10	62327713	62327723	-	0.000	0.000	Merged-chr10-62327638-49
NR5033--MA1104.1.GATA6	chr3	115704680	115704692	+	0.000	0.000	Merged-chr3-115704719-34
NR6822--MA0482.1.Gata4	chr7	43894806	43894816	+	0.000	0.000	Merged-chr7-43894981-37
NR4845--MA1104.1.GATA6	chr3	51744640	51744652	-	0.000	0.000	Merged-chr3-51744632-10
NR3594--MA0140.2.GATA1::TAL1	chr17	84273171	84273188	-	0.000	0.000	Merged-chr17-84273035-23
NR2480--MA1104.1.GATA6	chr14	62342731	62342743	+	0.000	0.000	Merged-chr14-62342844-35
NR1912--MA0036.3.GATA2	chr13	33079455	33079465	-	0.000	0.000	Merged-chr13-33079670-11
NR6363--MA1104.1.GATA6	chr6	87041202	87041214	+	0.000	0.000	Merged-chr6-87041204-35
NR7047--MA0035.3.Gata1	chr7	125281541	125281551	-	0.000	0.000	Merged-chr7-125281590-1
NR4284--MA0036.3.GATA2	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR2885--MA0766.1.GATA5	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR6859--MA0035.3.Gata1	chr7	68225792	68225802	+	0.000	0.000	Merged-chr7-68225775-20
NR4037--MA0035.3.Gata1	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR6743--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR6174--MA0035.3.Gata1	chr6	4664523	4664533	+	0.000	0.000	Merged-chr6-4664595-18
NR4792--MA1104.1.GATA6	chr3	9867514	9867526	+	0.000	0.000	Merged-chr3-9867662-24
NR668--MA0036.3.GATA2	chr10	13993678	13993688	+	0.000	0.000	Merged-chr10-13993632-56
NR5298--MA1104.1.GATA6	chr4	11404219	11404231	-	0.000	0.000	Merged-chr4-11404244-13
NR6354--MA0766.1.GATA5	chr6	82922017	82922024	+	0.000	0.000	Merged-chr6-82922037-57
NR2896--MA0140.2.GATA1::TAL1	chr15	93751199	93751216	-	0.000	0.000	Merged-chr15-93751087-35
NR4080--MA0140.2.GATA1::TAL1	chr2	18939004	18939021	-	0.000	0.000	Merged-chr2-18939077-26
NR355--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR3766--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR7725--MA0037.3.GATA3	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR4122--MA0482.1.Gata4	chr2	32857713	32857723	+	0.000	0.000	Merged-chr2-32857854-19
NR7087--MA1104.1.GATA6	chr7	139861701	139861713	+	0.000	0.000	Merged-chr7-139861613-5
NR5499--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR1447--MA1104.1.GATA6	chr12	12172554	12172566	-	0.000	0.000	Merged-chr12-12172464-29
NR4164--MA0766.1.GATA5	chr2	43739404	43739411	-	0.000	0.000	Merged-chr2-43739518-2
NR4425--MA0036.3.GATA2	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR1450--MA0035.3.Gata1	chr12	12172555	12172565	+	0.000	0.000	Merged-chr12-12172464-29
NR4295--MA0140.2.GATA1::TAL1	chr2	76030057	76030074	+	0.000	0.000	Merged-chr2-76030062-28
NR2158--MA0037.3.GATA3	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR4339--MA0766.1.GATA5	chr2	84868763	84868770	-	0.000	0.000	Merged-chr2-84868738-21
NR7650--MA0766.1.GATA5	chr9	66505774	66505781	+	0.000	0.000	Merged-chr9-66505646-32
NR4406--MA0482.1.Gata4	chr2	102039327	102039337	-	0.000	0.000	Merged-chr2-102039537-38
NR596--MA0482.1.Gata4	chr1	187347071	187347081	-	0.000	0.000	Merged-chr1-187347072-46
NR3983--MA0140.2.GATA1::TAL1	chr19	32998961	32998978	-	0.000	0.000	Merged-chr19-32999080-29
NR6795--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
NR4125--MA0035.3.Gata1	chr2	32857712	32857722	+	0.000	0.000	Merged-chr2-32857854-19
NR2083--MA0766.1.GATA5	chr13	94966148	94966155	-	0.000	0.000	Merged-chr13-94966148-17
NR5277--MA0037.3.GATA3	chr3	159505789	159505796	+	0.000	0.000	Merged-chr3-159505893-1
NR1885--MA0036.3.GATA2	chr13	16020803	16020813	+	0.000	0.000	Merged-chr13-16020821-23
NR1843--MA0035.3.Gata1	chr12	117403955	117403965	-	0.000	0.000	Merged-chr12-117403786-38
NR1774--MA0037.3.GATA3	chr12	112606011	112606018	-	0.000	0.000	Merged-chr12-112605824-36
NR6490--MA0482.1.Gata4	chr6	122334235	122334245	-	0.000	0.000	Merged-chr6-122334221-7
NR7175--MA1104.1.GATA6	chr8	27137211	27137223	-	0.000	0.000	Merged-chr8-27137178-38
NR3977--MA0037.3.GATA3	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR807--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR3629--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR204--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR3215--MA0037.3.GATA3	chr16	66086702	66086709	-	0.000	0.000	Merged-chr16-66086640-17
NR5004--MA1104.1.GATA6	chr3	106544878	106544890	+	0.000	0.000	Merged-chr3-106544962-40
NR4494--MA0036.3.GATA2	chr2	125214597	125214607	+	0.000	0.000	Merged-chr2-125214795-24
NR2961--MA0037.3.GATA3	chr16	8640134	8640141	+	0.000	0.000	Merged-chr16-8639905-53
NR2856--MA0140.2.GATA1::TAL1	chr15	80743668	80743685	-	0.000	0.000	Merged-chr15-80743505-96
NR3726--MA0140.2.GATA1::TAL1	chr18	56504815	56504832	-	0.000	0.000	Merged-chr18-56504783-42
NR1098--MA0482.1.Gata4	chr11	11836941	11836951	+	0.000	0.000	Merged-chr11-11837020-26
NR3544--MA0036.3.GATA2	chr17	71491183	71491193	+	0.000	0.000	Merged-chr17-71491103-50
NR217--MA0035.3.Gata1	chr1	91099024	91099034	+	0.000	0.000	Merged-chr1-91099031-34
NR6493--MA0035.3.Gata1	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR2447--MA0482.1.Gata4	chr14	57571228	57571238	-	0.000	0.000	Merged-chr14-57571249-1
NR2718--MA0482.1.Gata4	chr15	25673749	25673759	+	0.000	0.000	Merged-chr15-25673661-24
NR5910--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR4855--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR3956--MA0037.3.GATA3	chr19	29418706	29418713	-	0.000	0.000	Merged-chr19-29418635-70
NR7470--MA0036.3.GATA2	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR5200--MA0766.1.GATA5	chr3	143977280	143977287	+	0.000	0.000	Merged-chr3-143977087-2
NR2464--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR1386--MA0037.3.GATA3	chr11	108910990	108910997	-	0.000	0.000	Merged-chr11-108910906-74
NR6577--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR876--MA1104.1.GATA6	chr10	85411166	85411178	+	0.000	0.000	Merged-chr10-85411172-67
NR849--MA0035.3.Gata1	chr10	79937303	79937313	+	0.000	0.000	Merged-chr10-79937148-47
NR6823--MA1104.1.GATA6	chr7	43894804	43894816	-	0.000	0.000	Merged-chr7-43894981-37
NR2336--MA0036.3.GATA2	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR1877--MA0036.3.GATA2	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR1147--MA1104.1.GATA6	chr11	43492831	43492843	-	0.000	0.000	Merged-chr11-43492848-27
NR1192--MA0036.3.GATA2	chr11	58643560	58643570	+	0.000	0.000	Merged-chr11-58643569-22
NR7805--MA0037.3.GATA3	chr9	100522273	100522280	+	0.000	0.000	Merged-chr9-100522209-27
NR6158--MA0035.3.Gata1	chr5	149246271	149246281	-	0.000	0.000	Merged-chr5-149246178-51
NR4478--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR1996--MA0766.1.GATA5	chr13	61788293	61788300	-	0.000	0.000	Merged-chr13-61788395-14
NR4919--MA0036.3.GATA2	chr3	69177418	69177428	+	0.000	0.000	Merged-chr3-69177555-55
NR6886--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR3284--MA0037.3.GATA3	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR7168--MA0140.2.GATA1::TAL1	chr8	25017191	25017208	-	0.000	0.000	Merged-chr8-25017163-89
NR3980--MA0036.3.GATA2	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR7693--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR1256--MA0037.3.GATA3	chr11	75169169	75169176	-	0.000	0.000	Merged-chr11-75169080-24
NR746--MA1104.1.GATA6	chr10	39764910	39764922	-	0.000	0.000	Merged-chr10-39764888-24
NR7940--MA0482.1.Gata4	chrX	37110341	37110351	-	0.000	0.000	Merged-chrX-37110282-56
NR3903--MA0036.3.GATA2	chr19	5802463	5802473	+	0.000	0.000	Merged-chr19-5802452-32
NR1757--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR4123--MA1104.1.GATA6	chr2	32857711	32857723	-	0.000	0.000	Merged-chr2-32857854-19
NR5835--MA0036.3.GATA2	chr5	36140703	36140713	+	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR1585--MA0036.3.GATA2	chr12	73598432	73598442	+	0.000	0.000	Merged-chr12-73598343-51
NR6208--MA0766.1.GATA5	chr6	29279099	29279106	+	0.000	0.000	Merged-chr6-29279043-26
NR1570--MA1104.1.GATA6	chr12	69446042	69446054	+	0.000	0.000	Merged-chr12-69446107-1
NR1933--MA0482.1.Gata4	chr13	43485436	43485446	+	0.000	0.000	Merged-chr13-43485409-24
NR4324--MA0482.1.Gata4	chr2	84016491	84016501	+	0.000	0.000	Merged-chr2-84016424-23
NR3154--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR192--MA0140.2.GATA1::TAL1	chr1	85953391	85953408	+	0.000	0.000	Merged-chr1-85953523-25
NR2025--MA0482.1.Gata4	chr13	66991736	66991746	-	0.000	0.000	Merged-chr13-66991703-16
NR1110--MA0140.2.GATA1::TAL1	chr11	22843008	22843025	-	0.000	0.000	Merged-chr11-22842852-10
NR3630--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR7289--MA0037.3.GATA3	chr8	81695137	81695144	-	0.000	0.000	Merged-chr8-81695130-10
NR1432--MA0140.2.GATA1::TAL1	chr11	117334306	117334323	-	0.000	0.000	Merged-chr11-117334271-49
NR4704--MA0482.1.Gata4	chr2	163229298	163229308	-	0.000	0.000	Merged-chr2-163229277-53
NR3859--MA0140.2.GATA1::TAL1	chr18	83740741	83740758	-	0.000	0.000	Merged-chr18-83740717-24
NR1506--MA0037.3.GATA3	chr12	40427691	40427698	+	0.000	0.000	Merged-chr12-40427719-34
NR546--MA0482.1.Gata4	chr1	176877892	176877902	+	0.000	0.000	Merged-chr1-176877943-17
NR6796--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR4337--MA0482.1.Gata4	chr2	84868763	84868773	+	0.000	0.000	Merged-chr2-84868738-21
NR3861--MA0140.2.GATA1::TAL1	chr18	84911834	84911851	+	0.000	0.000	Merged-chr18-84911932-15
NR7255--MA0037.3.GATA3	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR5000--MA0140.2.GATA1::TAL1	chr3	105815405	105815422	-	0.000	0.000	Merged-chr3-105815563-53
NR3592--MA0036.3.GATA2	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR6060--MA0482.1.Gata4	chr5	114681319	114681329	-	0.000	0.000	Merged-chr5-114681129-21
NR4379--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
