#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR39008--MA0599.1.KLF5	chr2	136891526	136891535	+	0.000	0.000	Merged-chr2-136891552-154
NR33003--MA0741.1.KLF16	chr18	67768649	67768659	-	0.000	0.000	Merged-chr18-67768535-29
NR64796--MA0741.1.KLF16	chr8	109868492	109868502	-	0.000	0.000	Merged-chr8-109868700-77
NR41232--MA0493.1.Klf1	chr3	35723792	35723802	+	0.000	0.000	Merged-chr3-35723760-11
NR50956--MA0493.1.Klf1	chr5	65436007	65436017	-	0.000	0.000	Merged-chr5-65436020-62
NR20645--MA1107.1.KLF9	chr14	47546048	47546060	+	0.000	0.000	Merged-chr14-47545973-9
NR69578--MA0599.1.KLF5	chrX	162760255	162760264	+	0.000	0.000	Merged-chrX-162760331-82
NR48479--MA0742.1.Klf12	chr4	136206248	136206262	-	0.000	0.000	Merged-chr4-136206356-47
NR53451--MA0493.1.Klf1	chr5	137776847	137776857	-	0.000	0.000	Merged-chr5-137776694-7
NR42979--MA0039.3.KLF4	chr3	103102604	103102614	-	0.000	0.000	Merged-chr3-103102606-96
NR44824--MA0493.1.Klf1	chr3	156410317	156410327	-	0.000	0.000	Merged-chr3-156410327-15
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR9093--MA0742.1.Klf12	chr10	121331258	121331272	+	0.000	0.000	Merged-chr10-121331107-36
NR39610--MA0740.1.KLF14	chr2	158794735	158794748	-	0.000	0.000	Merged-chr2-158794730-73
NR62982--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR37486--MA0741.1.KLF16	chr2	83929608	83929618	-	0.000	0.000	Merged-chr2-83929608-43
NR26732--MA1107.1.KLF9	chr16	48763323	48763335	-	0.000	0.000	Merged-chr16-48763464-5
NR7207--MA0493.1.Klf1	chr10	75304012	75304022	-	0.000	0.000	Merged-chr10-75303775-85
NR56287--MA0599.1.KLF5	chr6	99502511	99502520	+	0.000	0.000	Merged-chr6-99502370-1
NR67846--MA0599.1.KLF5	chr9	106438462	106438471	+	0.000	0.000	Merged-chr9-106438400-53
NR58461--MA1107.1.KLF9	chr7	19404126	19404138	+	0.000	0.000	Merged-chr7-19404013-49
NR13460--MA0599.1.KLF5	chr12	21543471	21543480	-	0.000	0.000	Merged-chr12-21543416-58
NR5711--MA0740.1.KLF14	chr10	17479187	17479200	+	0.000	0.000	Merged-chr10-17479176-1
NR27392--MA1107.1.KLF9	chr16	75856073	75856085	+	0.000	0.000	Merged-chr16-75856186-4
NR10607--MA0599.1.KLF5	chr11	53519829	53519838	-	0.000	0.000	Merged-chr11-53519837-32
NR36562--MA0599.1.KLF5	chr2	48419890	48419899	+	0.000	0.000	Merged-chr2-48419995-8
NR58645--MA0740.1.KLF14	chr7	24638376	24638389	+	0.000	0.000	Merged-chr7-24638466-38
NR59879--MA0599.1.KLF5	chr7	64392531	64392540	+	0.000	0.000	Merged-chr7-64392480-85
NR5799--MA0742.1.Klf12	chr10	22058713	22058727	-	0.000	0.000	Merged-chr10-22058743-34
NR14733--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR28326--MA0493.1.Klf1	chr17	7169950	7169960	-	0.000	0.000	Merged-chr17-7169938-73
NR64902--MA1107.1.KLF9	chr8	114882136	114882148	+	0.000	0.000	Merged-chr8-114882305-33
NR69190--MA0742.1.Klf12	chrX	103695580	103695594	-	0.000	0.000	Merged-chrX-103695530-55
NR66844--MA0039.3.KLF4	chr9	65461183	65461193	-	0.000	0.000	Merged-chr9-65461064-58
NR22950--MA1107.1.KLF9	chr15	25805854	25805866	+	0.000	0.000	Merged-chr15-25805747-73
NR68487--MA1107.1.KLF9	chrX	7375918	7375930	-	0.000	0.000	Merged-chrX-7375915-61
NR49230--MA0741.1.KLF16	chr4	155774592	155774602	+	0.000	0.000	Merged-chr4-155774656-37
NR59356--MA0740.1.KLF14	chr7	44305094	44305107	-	0.000	0.000	Merged-chr7-44305170-86
NR48638--MA0599.1.KLF5	chr4	140868569	140868578	+	0.000	0.000	Merged-chr4-140868739-15
NR14859--MA0599.1.KLF5	chr12	85746480	85746489	-	0.000	0.000	Merged-chr12-85746223-36
NR18769--MA0741.1.KLF16	chr13	104109623	104109633	+	0.000	0.000	Merged-chr13-104109580-88
NR66098--MA0599.1.KLF5	chr9	32728397	32728406	-	0.000	0.000	Merged-chr9-32728530-9
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR17569--MA0599.1.KLF5	chr13	69611738	69611747	+	0.000	0.000	Merged-chr13-69611588-99
NR34830--MA0599.1.KLF5	chr19	47937642	47937651	-	0.000	0.000	Merged-chr19-47937684-41
NR67678--MA0740.1.KLF14	chr9	99568955	99568968	-	0.000	0.000	Merged-chr9-99568733-85
NR1016--MA0039.3.KLF4	chr1	51104944	51104954	-	0.000	0.000	Merged-chr1-51104887-5
NR69484--MA0599.1.KLF5	chrX	151344083	151344092	+	0.000	0.000	Merged-chrX-151344027-1
NR65061--MA0740.1.KLF14	chr8	119840580	119840593	+	0.000	0.000	Merged-chr8-119840588-52
NR37540--MA0599.1.KLF5	chr2	85007679	85007688	+	0.000	0.000	Merged-chr2-85007896-35
NR11210--MA0741.1.KLF16	chr11	70983022	70983032	+	0.000	0.000	Merged-chr11-70982951-40
NR20418--MA0599.1.KLF5	chr14	40966991	40967000	+	0.000	0.000	Merged-chr14-40966984-107
NR52220--MA0657.1.KLF13	chr5	112326293	112326310	+	0.000	0.000	Merged-chr5-112326460-40
NR40052--MA1107.1.KLF9	chr2	169504358	169504370	+	0.000	0.000	Merged-chr2-169504323-1
NR35417--MA0039.3.KLF4	chr2	13575064	13575074	+	0.000	0.000	Merged-chr2-13575035-10
NR49083--MA0599.1.KLF5	chr4	152130692	152130701	-	0.000	0.000	Merged-chr4-152130617-6
NR68600--MA0599.1.KLF5	chrX	12977804	12977813	-	0.000	0.000	Merged-chrX-12977868-18
NR13651--MA0039.3.KLF4	chr12	28735503	28735513	-	0.000	0.000	Merged-chr12-28735423-1
NR53553--MA0039.3.KLF4	chr5	139793915	139793925	+	0.000	0.000	Merged-chr5-139793766-12
NR37311--MA0740.1.KLF14	chr2	76648050	76648063	+	0.000	0.000	Merged-chr2-76648077-91
NR14711--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR5072--MA0493.1.Klf1	chr1	193153101	193153111	-	0.000	0.000	Merged-chr1-193153117-43
NR10871--MA0599.1.KLF5	chr11	60727259	60727268	+	0.000	0.000	Merged-chr11-60727194-59
NR22589--MA0741.1.KLF16	chr14	123001573	123001583	+	0.000	0.000	Merged-chr14-123001594-21
NR35686--MA1107.1.KLF9	chr2	21223026	21223038	-	0.000	0.000	Merged-chr2-21222970-39
NR49965--MA0599.1.KLF5	chr5	24685916	24685925	-	0.000	0.000	Merged-chr5-24685796-115
NR58058--MA0741.1.KLF16	chr7	4964460	4964470	+	0.000	0.000	Merged-chr7-4964465-28
NR8896--MA0741.1.KLF16	chr10	117063814	117063824	-	0.000	0.000	Merged-chr10-117063673-90
NR57913--MA1107.1.KLF9	chr6	148212164	148212176	-	0.000	0.000	Merged-chr6-148212124-77
NR45904--MA0740.1.KLF14	chr4	43493301	43493314	-	0.000	0.000	Merged-chr4-43493243-98
NR2488--MA0599.1.KLF5	chr1	119457045	119457054	-	0.000	0.000	Merged-chr1-119457268-70
NR58234--MA0599.1.KLF5	chr7	15912283	15912292	+	0.000	0.000	Merged-chr7-15912372-18
NR48972--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR35053--MA0742.1.Klf12	chr2	3284119	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR1559--MA0741.1.KLF16	chr1	74854898	74854908	-	0.000	0.000	Merged-chr1-74854969-34
NR28796--MA0493.1.Klf1	chr17	22867286	22867296	+	0.000	0.000	Merged-chr17-22867283-5
NR28833--MA0741.1.KLF16	chr17	23924760	23924770	-	0.000	0.000	Merged-chr17-23924911-57
NR10307--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR6345--MA0741.1.KLF16	chr10	43722543	43722553	+	0.000	0.000	Merged-chr10-43722672-2
NR62634--MA0599.1.KLF5	chr8	26698690	26698699	-	0.000	0.000	Merged-chr8-26698799-12
NR59570--MA0599.1.KLF5	chr7	48898567	48898576	+	0.000	0.000	Merged-chr7-48898692-36
NR40192--MA0599.1.KLF5	chr2	172440522	172440531	+	0.000	0.000	Merged-chr2-172440509-70
NR67021--MA0657.1.KLF13	chr9	74953025	74953042	-	0.000	0.000	Merged-chr9-74953040-95
NR58901--MA0599.1.KLF5	chr7	28803043	28803052	+	0.000	0.000	Merged-chr7-28802927-28
NR43999--MA0599.1.KLF5	chr3	138264942	138264951	-	0.000	0.000	Merged-chr3-138265020-7
NR32981--MA0493.1.Klf1	chr18	67289142	67289152	-	0.000	0.000	Merged-chr18-67289383-133
NR56502--MA0599.1.KLF5	chr6	108571218	108571227	+	0.000	0.000	Merged-chr6-108571232-71
NR14765--MA0599.1.KLF5	chr12	82169642	82169651	+	0.000	0.000	Merged-chr12-82169653-106
NR52348--MA0493.1.Klf1	chr5	114639608	114639618	-	0.000	0.000	Merged-chr5-114639574-38
NR65889--MA1107.1.KLF9	chr9	22155931	22155943	+	0.000	0.000	Merged-chr9-22155812-33
NR11840--MA0599.1.KLF5	chr11	94601910	94601919	-	0.000	0.000	Merged-chr11-94601858-52
NR16806--MA0599.1.KLF5	chr13	42051653	42051662	-	0.000	0.000	Merged-chr13-42051680-16
NR37867--MA0599.1.KLF5	chr2	103797078	103797087	-	0.000	0.000	Merged-chr2-103797033-190
NR66171--MA0741.1.KLF16	chr9	37232354	37232364	-	0.000	0.000	Merged-chr9-37232426-6
NR40060--MA0742.1.Klf12	chr2	169634035	169634049	+	0.000	0.000	Merged-chr2-169634008-43
NR39908--MA0599.1.KLF5	chr2	167349466	167349475	-	0.000	0.000	Merged-chr2-167349371-94
NR33364--MA0741.1.KLF16	chr18	77743803	77743813	-	0.000	0.000	Merged-chr18-77743762-23
NR48276--MA0740.1.KLF14	chr4	133887412	133887425	-	0.000	0.000	Merged-chr4-133887364-2
NR50955--MA0039.3.KLF4	chr5	65436005	65436015	-	0.000	0.000	Merged-chr5-65436020-62
NR43211--MA0599.1.KLF5	chr3	109025789	109025798	-	0.000	0.000	Merged-chr3-109025792-30
NR58435--MA0493.1.Klf1	chr7	19282641	19282651	+	0.000	0.000	Merged-chr7-19282647-45
NR52598--MA1107.1.KLF9	chr5	121564879	121564891	-	0.000	0.000	Merged-chr5-121564703-31
NR52935--MA0599.1.KLF5	chr5	129725042	129725051	+	0.000	0.000	Merged-chr5-129725191-86
NR49808--MA0493.1.Klf1	chr5	21187053	21187063	+	0.000	0.000	Merged-chr5-21187049-4
NR65101--MA1107.1.KLF9	chr8	120276576	120276588	-	0.000	0.000	Merged-chr8-120276586-37
NR59612--MA0741.1.KLF16	chr7	51879291	51879301	-	0.000	0.000	Merged-chr7-51879410-58
NR68908--MA1107.1.KLF9	chrX	57326759	57326771	-	0.000	0.000	Merged-chrX-57326687-25
NR41281--MA0742.1.Klf12	chr3	36613427	36613441	+	0.000	0.000	Merged-chr3-36613405-48
NR69362--MA1107.1.KLF9	chrX	136761501	136761513	-	0.000	0.000	Merged-chrX-136761493-40
NR69229--MA0599.1.KLF5	chrX	107816438	107816447	+	0.000	0.000	Merged-chrX-107816203-60
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR60802--MA0741.1.KLF16	chr7	101934072	101934082	-	0.000	0.000	Merged-chr7-101933899-55
NR47454--MA0741.1.KLF16	chr4	109117945	109117955	-	0.000	0.000	Merged-chr4-109118050-62
NR11365--MA0493.1.Klf1	chr11	76217590	76217600	+	0.000	0.000	Merged-chr11-76217513-52
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR54868--MA0493.1.Klf1	chr6	41662627	41662637	+	0.000	0.000	Merged-chr6-41662525-9
NR22168--MA0599.1.KLF5	chr14	115205899	115205908	+	0.000	0.000	Merged-chr14-115206056-2
NR45064--MA0599.1.KLF5	chr4	8812664	8812673	-	0.000	0.000	Merged-chr4-8812564-41
NR45774--MA0741.1.KLF16	chr4	41569669	41569679	-	0.000	0.000	Merged-chr4-41569502-63
NR22698--MA0741.1.KLF16	chr15	9071392	9071402	+	0.000	0.000	Merged-chr15-9071380-92
NR65795--MA1107.1.KLF9	chr9	21265259	21265271	-	0.000	0.000	Merged-chr9-21265250-55
NR62531--MA0599.1.KLF5	chr8	22757686	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR2703--MA0599.1.KLF5	chr1	126817823	126817832	+	0.000	0.000	Merged-chr1-126817924-65
NR27111--MA0742.1.Klf12	chr16	64873905	64873919	+	0.000	0.000	Merged-chr16-64873763-80
NR68903--MA0039.3.KLF4	chrX	57189588	57189598	-	0.000	0.000	Merged-chrX-57189507-26
NR5752--MA1107.1.KLF9	chr10	18743779	18743791	+	0.000	0.000	Merged-chr10-18743767-30
NR68913--MA0493.1.Klf1	chrX	59134807	59134817	+	0.000	0.000	Merged-chrX-59134766-110
NR38602--MA1107.1.KLF9	chr2	128061286	128061298	+	0.000	0.000	Merged-chr2-128061246-44
NR61005--MA0740.1.KLF14	chr7	110221679	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR4994--MA0493.1.Klf1	chr1	191397226	191397236	-	0.000	0.000	Merged-chr1-191397050-148
NR66560--MA0742.1.Klf12	chr9	55110575	55110589	+	0.000	0.000	Merged-chr9-55110680-29
NR57950--MA0599.1.KLF5	chr6	148896263	148896272	+	0.000	0.000	Merged-chr6-148896090-83
NR61569--MA0742.1.Klf12	chr7	128688427	128688441	-	0.000	0.000	Merged-chr7-128688304-46
NR12263--MA0599.1.KLF5	chr11	101009388	101009397	-	0.000	0.000	Merged-chr11-101009406-46
NR61889--MA0599.1.KLF5	chr7	141215715	141215724	-	0.000	0.000	Merged-chr7-141215830-56
NR26120--MA0741.1.KLF16	chr16	20622574	20622584	-	0.000	0.000	Merged-chr16-20622479-9
NR41282--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR69493--MA0599.1.KLF5	chrX	152016301	152016310	-	0.000	0.000	Merged-chrX-152016475-78
NR49830--MA0740.1.KLF14	chr5	21701493	21701506	-	0.000	0.000	Merged-chr5-21701542-81
NR31304--MA0740.1.KLF14	chr18	3507870	3507883	-	0.000	0.000	Merged-chr18-3507740-84
NR21129--MA0741.1.KLF16	chr14	61556963	61556973	-	0.000	0.000	Merged-chr14-61556804-76
NR11842--MA0741.1.KLF16	chr11	94601904	94601914	-	0.000	0.000	Merged-chr11-94601858-52
NR43662--MA1107.1.KLF9	chr3	128088205	128088217	+	0.000	0.000	Merged-chr3-128088433-16
NR57437--MA0740.1.KLF14	chr6	137754511	137754524	-	0.000	0.000	Merged-chr6-137754640-54
NR37406--MA0599.1.KLF5	chr2	79180831	79180840	+	0.000	0.000	Merged-chr2-79180935-23
NR2889--MA0741.1.KLF16	chr1	132417544	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR10611--MA0493.1.Klf1	chr11	53567353	53567363	-	0.000	0.000	Merged-chr11-53567481-45
NR32762--MA0741.1.KLF16	chr18	61377969	61377979	-	0.000	0.000	Merged-chr18-61377910-13
NR40098--MA0741.1.KLF16	chr2	170206048	170206058	-	0.000	0.000	Merged-chr2-170206161-1
NR37104--MA0741.1.KLF16	chr2	69723112	69723122	-	0.000	0.000	Merged-chr2-69723038-83
NR29233--MA0599.1.KLF5	chr17	31277407	31277416	-	0.000	0.000	Merged-chr17-31277371-45
NR45631--MA0741.1.KLF16	chr4	34889449	34889459	-	0.000	0.000	Merged-chr4-34889348-6
NR22284--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR68897--MA0741.1.KLF16	chrX	56374578	56374588	-	0.000	0.000	Merged-chrX-56374648-33
NR18350--MA0599.1.KLF5	chr13	93304022	93304031	+	0.000	0.000	Merged-chr13-93303987-85
NR52788--MA0742.1.Klf12	chr5	124352286	124352300	-	0.000	0.000	Merged-chr5-124352404-43
NR39697--MA0493.1.Klf1	chr2	160873051	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR53419--MA0039.3.KLF4	chr5	137721049	137721059	+	0.000	0.000	Merged-chr5-137721139-55
NR34578--MA0039.3.KLF4	chr19	41027749	41027759	+	0.000	0.000	Merged-chr19-41027802-5
NR35424--MA0741.1.KLF16	chr2	13793561	13793571	+	0.000	0.000	Merged-chr2-13793433-83
NR49964--MA1107.1.KLF9	chr5	24685861	24685873	+	0.000	0.000	Merged-chr5-24685796-115
NR61101--MA0599.1.KLF5	chr7	114276178	114276187	-	0.000	0.000	Merged-chr7-114276213-86
NR8862--MA0741.1.KLF16	chr10	116397673	116397683	-	0.000	0.000	Merged-chr10-116397793-21
NR12348--MA0741.1.KLF16	chr11	102467222	102467232	-	0.000	0.000	Merged-chr11-102467251-44
NR41254--MA1107.1.KLF9	chr3	36475724	36475736	+	0.000	0.000	Merged-chr3-36475795-73
NR15930--MA0741.1.KLF16	chr13	6648788	6648798	+	0.000	0.000	Merged-chr13-6648891-51
NR58929--MA0740.1.KLF14	chr7	29211551	29211564	+	0.000	0.000	Merged-chr7-29211529-84
NR38801--MA0741.1.KLF16	chr2	132511675	132511685	-	0.000	0.000	Merged-chr2-132511544-14
NR53134--MA0599.1.KLF5	chr5	134437538	134437547	+	0.000	0.000	Merged-chr5-134437601-35
NR28052--MA0741.1.KLF16	chr16	95821066	95821076	-	0.000	0.000	Merged-chr16-95821218-29
NR56876--MA0742.1.Klf12	chr6	120916865	120916879	+	0.000	0.000	Merged-chr6-120916830-68
NR65353--MA0599.1.KLF5	chr8	124434605	124434614	+	0.000	0.000	Merged-chr8-124434522-47
NR26643--MA0741.1.KLF16	chr16	44687889	44687899	-	0.000	0.000	Merged-chr16-44688022-8
NR40191--MA1107.1.KLF9	chr2	172440457	172440469	+	0.000	0.000	Merged-chr2-172440509-70
NR3206--MA0493.1.Klf1	chr1	144004216	144004226	+	0.000	0.000	Merged-chr1-144004210-81
NR64532--MA0742.1.Klf12	chr8	104042628	104042642	-	0.000	0.000	Merged-chr8-104042673-23
