#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR12419--MA0493.1.Klf1	chr11	113335009	113335019	-	0.000	0.000	Merged-chr11-113334838-19
NR9498--MA0741.1.KLF16	chr11	46076169	46076179	+	0.000	0.000	Merged-chr11-46076262-41
NR23159--MA0740.1.KLF14	chr15	98634713	98634726	+	0.000	0.000	Merged-chr15-98634819-42
NR44284--MA0740.1.KLF14	chr4	115839240	115839253	-	0.000	0.000	Merged-chr4-115839229-53
NR9942--MA0740.1.KLF14	chr11	58168521	58168534	-	0.000	0.000	Merged-chr11-58168348-50
NR16295--MA0741.1.KLF16	chr13	48546658	48546668	+	0.000	0.000	Merged-chr13-48546690-1
NR49853--MA0599.1.KLF5	chr5	123907154	123907163	+	0.000	0.000	Merged-chr5-123907214-53
NR2210--MA0741.1.KLF16	chr1	132341982	132341992	+	0.000	0.000	Merged-chr1-132341932-46
NR9364--MA0742.1.Klf12	chr11	32554525	32554539	-	0.000	0.000	Merged-chr11-32554709-20
NR22239--MA0493.1.Klf1	chr15	78515790	78515800	-	0.000	0.000	Merged-chr15-78515914-15
NR10750--MA0599.1.KLF5	chr11	76572999	76573008	+	0.000	0.000	Merged-chr11-76573046-33
NR50629--MA0741.1.KLF16	chr5	138619765	138619775	+	0.000	0.000	Merged-chr5-138619664-54
NR11141--MA0493.1.Klf1	chr11	85140151	85140161	+	0.000	0.000	Merged-chr11-85140096-67
NR29309--MA0599.1.KLF5	chr18	32939078	32939087	-	0.000	0.000	Merged-chr18-32939306-98
NR42406--MA0039.3.KLF4	chr4	11684334	11684344	+	0.000	0.000	Merged-chr4-11684265-15
NR47999--MA1107.1.KLF9	chr5	72202164	72202176	+	0.000	0.000	Merged-chr5-72202096-40
NR7127--MA0599.1.KLF5	chr10	88540383	88540392	-	0.000	0.000	Merged-chr10-88540211-41
NR24754--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR19977--MA0599.1.KLF5	chr14	73112612	73112621	-	0.000	0.000	Merged-chr14-73112682-7
NR7251--MA1107.1.KLF9	chr10	93069550	93069562	+	0.000	0.000	Merged-chr10-93069523-27
NR61142--MA0742.1.Klf12	chr8	71488174	71488188	-	0.000	0.000	Merged-chr8-71488439-81
NR12726--MA0657.1.KLF13	chr11	117319687	117319704	-	0.000	0.000	Merged-chr11-117319615-150
NR65438--MA0599.1.KLF5	chr9	95750408	95750417	-	0.000	0.000	Merged-chr9-95750219-56
NR54555--MA0599.1.KLF5	chr6	140507838	140507847	+	0.000	0.000	Merged-chr6-140507900-3
NR36361--MA0741.1.KLF16	chr2	132512645	132512655	-	0.000	0.000	Merged-chr2-132512511-69
NR1399--MA0740.1.KLF14	chr1	86528356	86528369	+	0.000	0.000	Merged-chr1-86528310-67
NR62973--MA0741.1.KLF16	chr8	123805956	123805966	+	0.000	0.000	Merged-chr8-123805891-37
NR66774--MA0599.1.KLF5	chr9	121317283	121317292	-	0.000	0.000	Merged-chr9-121317284-25
NR19743--MA1107.1.KLF9	chr14	64368592	64368604	+	0.000	0.000	Merged-chr14-64368474-8
NR46588--MA0599.1.KLF5	chr4	155841273	155841282	-	0.000	0.000	Merged-chr4-155841183-71
NR56929--MA0742.1.Klf12	chr7	64048781	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR18985--MA0493.1.Klf1	chr14	33099340	33099350	+	0.000	0.000	Merged-chr14-33099452-34
NR35490--MA0599.1.KLF5	chr2	104095787	104095796	-	0.000	0.000	Merged-chr2-104095908-22
NR21234--MA0742.1.Klf12	chr15	25622522	25622536	-	0.000	0.000	Merged-chr15-25622646-118
NR35427--MA0493.1.Klf1	chr2	101993133	101993143	-	0.000	0.000	Merged-chr2-101993125-49
NR1908--MA0493.1.Klf1	chr1	119526094	119526104	+	0.000	0.000	Merged-chr1-119526190-58
NR45394--MA0741.1.KLF16	chr4	135157518	135157528	-	0.000	0.000	Merged-chr4-135157519-19
NR66079--MA1107.1.KLF9	chr9	108783783	108783795	-	0.000	0.000	Merged-chr9-108783844-54
NR37192--MA0657.1.KLF13	chr2	157071719	157071736	-	0.000	0.000	Merged-chr2-157071692-20
NR14625--MA1107.1.KLF9	chr12	100856494	100856506	-	0.000	0.000	Merged-chr12-100856491-28
NR24340--MA0742.1.Klf12	chr16	36071595	36071609	-	0.000	0.000	Merged-chr16-36071679-92
NR8230--MA0741.1.KLF16	chr10	121476327	121476337	+	0.000	0.000	Merged-chr10-121476337-119
NR66540--MA1107.1.KLF9	chr9	117927102	117927114	-	0.000	0.000	Merged-chr9-117927282-85
NR20243--MA0741.1.KLF16	chr14	79587565	79587575	+	0.000	0.000	Merged-chr14-79587561-73
NR58449--MA0599.1.KLF5	chr7	117404544	117404553	-	0.000	0.000	Merged-chr7-117404576-18
NR35471--MA1107.1.KLF9	chr2	103703461	103703473	-	0.000	0.000	Merged-chr2-103703560-39
NR64151--MA0599.1.KLF5	chr9	50856894	50856903	-	0.000	0.000	Merged-chr9-50856954-76
NR63345--MA0742.1.Klf12	chr9	14171905	14171919	-	0.000	0.000	Merged-chr9-14171965-37
NR41245--MA1107.1.KLF9	chr3	135590638	135590650	+	0.000	0.000	Merged-chr3-135590750-10
NR33778--MA0741.1.KLF16	chr2	32312426	32312436	+	0.000	0.000	Merged-chr2-32312482-34
NR33019--MA0493.1.Klf1	chr2	6444947	6444957	+	0.000	0.000	Merged-chr2-6444990-17
NR39669--MA0039.3.KLF4	chr3	89869853	89869863	+	0.000	0.000	Merged-chr3-89869741-17
NR28562--MA0741.1.KLF16	chr17	83632189	83632199	+	0.000	0.000	Merged-chr17-83632090-95
NR48982--MA0493.1.Klf1	chr5	107597658	107597668	+	0.000	0.000	Merged-chr5-107597762-77
NR13509--MA0493.1.Klf1	chr12	40037414	40037424	+	0.000	0.000	Merged-chr12-40037304-3
NR10719--MA0599.1.KLF5	chr11	75878000	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR33278--MA1107.1.KLF9	chr2	22811141	22811153	-	0.000	0.000	Merged-chr2-22811349-74
NR4394--MA0741.1.KLF16	chr1	189933637	189933647	-	0.000	0.000	Merged-chr1-189933791-26
NR6941--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR59570--MA0599.1.KLF5	chr7	141006602	141006611	-	0.000	0.000	Merged-chr7-141006658-12
NR39384--MA0599.1.KLF5	chr3	84022910	84022919	+	0.000	0.000	Merged-chr3-84022944-34
NR45013--MA0039.3.KLF4	chr4	130921147	130921157	-	0.000	0.000	Merged-chr4-130921297-32
NR26677--MA0741.1.KLF16	chr17	28488298	28488308	+	0.000	0.000	Merged-chr17-28488439-21
NR51957--MA0599.1.KLF5	chr6	43265604	43265613	+	0.000	0.000	Merged-chr6-43265780-49
NR25987--MA1107.1.KLF9	chr17	10425426	10425438	+	0.000	0.000	Merged-chr17-10425505-16
NR56841--MA1107.1.KLF9	chr7	58677350	58677362	-	0.000	0.000	Merged-chr7-58677436-64
NR21757--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR45251--MA0741.1.KLF16	chr4	133666365	133666375	-	0.000	0.000	Merged-chr4-133666445-25
NR12231--MA0493.1.Klf1	chr11	107539233	107539243	-	0.000	0.000	Merged-chr11-107539158-14
NR50288--MA0039.3.KLF4	chr5	134494508	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR45139--MA1107.1.KLF9	chr4	132808283	132808295	-	0.000	0.000	Merged-chr4-132808337-17
NR26984--MA0599.1.KLF5	chr17	33555664	33555673	+	0.000	0.000	Merged-chr17-33555665-46
NR54309--MA0599.1.KLF5	chr6	134220566	134220575	+	0.000	0.000	Merged-chr6-134220428-49
NR48874--MA1107.1.KLF9	chr5	105053632	105053644	+	0.000	0.000	Merged-chr5-105053656-75
NR20495--MA0741.1.KLF16	chr14	103070197	103070207	+	0.000	0.000	Merged-chr14-103070212-78
NR11145--MA1107.1.KLF9	chr11	85140179	85140191	-	0.000	0.000	Merged-chr11-85140096-67
NR20100--MA0741.1.KLF16	chr14	75787116	75787126	+	0.000	0.000	Merged-chr14-75786967-70
NR36198--MA0039.3.KLF4	chr2	128470706	128470716	-	0.000	0.000	Merged-chr2-128470524-44
NR45783--MA0742.1.Klf12	chr4	141296051	141296065	+	0.000	0.000	Merged-chr4-141296105-4
NR40840--MA1107.1.KLF9	chr3	126690977	126690989	+	0.000	0.000	Merged-chr3-126690917-48
NR68026--MA1107.1.KLF9	chrX	152353044	152353056	-	0.000	0.000	Merged-chrX-152352945-26
NR9892--MA1107.1.KLF9	chr11	55120952	55120964	+	0.000	0.000	Merged-chr11-55121040-53
NR1860--MA0741.1.KLF16	chr1	118398763	118398773	-	0.000	0.000	Merged-chr1-118398960-17
NR17241--MA1107.1.KLF9	chr13	85507885	85507897	+	0.000	0.000	Merged-chr13-85507689-92
NR64557--MA0741.1.KLF16	chr9	65435692	65435702	+	0.000	0.000	Merged-chr9-65435912-41
NR66313--MA0599.1.KLF5	chr9	114688712	114688721	+	0.000	0.000	Merged-chr9-114688906-75
NR15941--MA0657.1.KLF13	chr13	34131189	34131206	-	0.000	0.000	Merged-chr13-34131233-123
NR6824--MA1107.1.KLF9	chr10	81605303	81605315	-	0.000	0.000	Merged-chr10-81605207-33
NR10154--MA0742.1.Klf12	chr11	61684379	61684393	+	0.000	0.000	Merged-chr11-61684230-57
NR67219--MA0741.1.KLF16	chrX	36744967	36744977	-	0.000	0.000	Merged-chrX-36744841-35
NR22238--MA0039.3.KLF4	chr15	78515788	78515798	-	0.000	0.000	Merged-chr15-78515914-15
NR65441--MA0740.1.KLF14	chr9	95858465	95858478	+	0.000	0.000	Merged-chr9-95858420-14
NR7484--MA1107.1.KLF9	chr10	98785671	98785683	+	0.000	0.000	Merged-chr10-98785565-23
NR60560--MA0039.3.KLF4	chr8	41039619	41039629	-	0.000	0.000	Merged-chr8-41039674-18
NR54868--MA0493.1.Klf1	chr6	144664961	144664971	+	0.000	0.000	Merged-chr6-144664964-20
NR50892--MA0740.1.KLF14	chr5	142463819	142463832	+	0.000	0.000	Merged-chr5-142463900-60
NR39227--MA0493.1.Klf1	chr3	68784321	68784331	-	0.000	0.000	Merged-chr3-68784168-43
NR51187--MA0599.1.KLF5	chr5	148495241	148495250	+	0.000	0.000	Merged-chr5-148494934-110
NR59609--MA0039.3.KLF4	chr7	141221728	141221738	+	0.000	0.000	Merged-chr7-141221917-47
NR59682--MA0599.1.KLF5	chr7	142460807	142460816	-	0.000	0.000	Merged-chr7-142461005-80
NR46480--MA0493.1.Klf1	chr4	154105757	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR47320--MA0742.1.Klf12	chr5	33336067	33336081	-	0.000	0.000	Merged-chr5-33336162-4
NR45569--MA0741.1.KLF16	chr4	136469715	136469725	+	0.000	0.000	Merged-chr4-136469909-78
NR50715--MA0657.1.KLF13	chr5	139791460	139791477	-	0.000	0.000	Merged-chr5-139791708-104
NR35892--MA0657.1.KLF13	chr2	120027480	120027497	-	0.000	0.000	Merged-chr2-120027547-78
NR59404--MA0493.1.Klf1	chr7	136210061	136210071	-	0.000	0.000	Merged-chr7-136210208-6
NR25262--MA0740.1.KLF14	chr16	90810572	90810585	-	0.000	0.000	Merged-chr16-90810372-70
NR45640--MA0742.1.Klf12	chr4	138216470	138216484	+	0.000	0.000	Merged-chr4-138216401-6
NR6153--MA0493.1.Klf1	chr10	74823552	74823562	-	0.000	0.000	Merged-chr10-74823662-27
NR66792--MA0599.1.KLF5	chr9	121719084	121719093	-	0.000	0.000	Merged-chr9-121719213-142
NR33016--MA0741.1.KLF16	chr2	6322720	6322730	-	0.000	0.000	Merged-chr2-6322787-80
NR48780--MA1107.1.KLF9	chr5	100846229	100846241	-	0.000	0.000	Merged-chr5-100846236-82
NR61298--MA0742.1.Klf12	chr8	77482256	77482270	+	0.000	0.000	Merged-chr8-77482121-16
NR35704--MA0742.1.Klf12	chr2	114136989	114137003	-	0.000	0.000	Merged-chr2-114137020-31
NR40070--MA1107.1.KLF9	chr3	100812077	100812089	+	0.000	0.000	Merged-chr3-100812047-20
NR57950--MA0599.1.KLF5	chr7	102565496	102565505	-	0.000	0.000	Merged-chr7-102565413-55
NR21852--MA0493.1.Klf1	chr15	66855038	66855048	+	0.000	0.000	Merged-chr15-66854970-48
NR44954--MA0493.1.Klf1	chr4	129877494	129877504	-	0.000	0.000	Merged-chr4-129877494-36
NR7165--MA0741.1.KLF16	chr10	89731581	89731591	-	0.000	0.000	Merged-chr10-89731594-1
NR5090--MA0493.1.Klf1	chr10	20952523	20952533	-	0.000	0.000	Merged-chr10-20952486-81
NR7346--MA0493.1.Klf1	chr10	94864860	94864870	-	0.000	0.000	Merged-chr10-94864939-82
NR56291--MA0493.1.Klf1	chr7	35333919	35333929	-	0.000	0.000	Merged-chr7-35333987-100
NR50791--MA0599.1.KLF5	chr5	140871298	140871307	-	0.000	0.000	Merged-chr5-140871418-38
NR49983--MA0599.1.KLF5	chr5	125441554	125441563	-	0.000	0.000	Merged-chr5-125441596-78
NR67439--MA0740.1.KLF14	chrX	57253874	57253887	+	0.000	0.000	Merged-chrX-57253722-63
NR7121--MA0039.3.KLF4	chr10	88428302	88428312	-	0.000	0.000	Merged-chr10-88428108-41
NR2889--MA0741.1.KLF16	chr1	155973261	155973271	-	0.000	0.000	Merged-chr1-155973452-104
NR42888--MA0740.1.KLF14	chr4	45018582	45018595	-	0.000	0.000	Merged-chr4-45018744-59
NR66425--MA0599.1.KLF5	chr9	116175480	116175489	+	0.000	0.000	Merged-chr9-116175362-141
NR27398--MA0599.1.KLF5	chr17	44690566	44690575	+	0.000	0.000	Merged-chr17-44690721-49
NR39521--MA0742.1.Klf12	chr3	88142279	88142293	+	0.000	0.000	Merged-chr3-88142158-111
NR9307--MA0599.1.KLF5	chr11	30649083	30649092	+	0.000	0.000	Merged-chr11-30649256-50
NR37530--MA1107.1.KLF9	chr2	164828985	164828997	+	0.000	0.000	Merged-chr2-164829091-12
NR45155--MA0741.1.KLF16	chr4	133056289	133056299	-	0.000	0.000	Merged-chr4-133056441-57
NR67976--MA0599.1.KLF5	chrX	150812966	150812975	+	0.000	0.000	Merged-chrX-150813149-62
NR13527--MA0493.1.Klf1	chr12	41040128	41040138	-	0.000	0.000	Merged-chr12-41040097-12
NR16227--MA0039.3.KLF4	chr13	43476426	43476436	+	0.000	0.000	Merged-chr13-43476378-13
NR27736--MA0740.1.KLF14	chr17	52601165	52601178	-	0.000	0.000	Merged-chr17-52601188-69
NR61462--MA0740.1.KLF14	chr8	84004816	84004829	+	0.000	0.000	Merged-chr8-84004825-54
NR26504--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR2148--MA0599.1.KLF5	chr1	130717430	130717439	+	0.000	0.000	Merged-chr1-130717492-49
NR34373--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR20399--MA0741.1.KLF16	chr14	100284724	100284734	-	0.000	0.000	Merged-chr14-100284560-1
NR13786--MA1107.1.KLF9	chr12	69412105	69412117	+	0.000	0.000	Merged-chr12-69412167-34
NR8593--MA0599.1.KLF5	chr10	127603713	127603722	-	0.000	0.000	Merged-chr10-127603833-11
NR16904--MA0493.1.Klf1	chr13	67500246	67500256	+	0.000	0.000	Merged-chr13-67500378-53
