#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR50643--MA0599.1.KLF5	chr6	30047975	30047984	+	0.000	0.000	Merged-chr6-30048099-79
NR35174--MA0741.1.KLF16	chr2	119594280	119594290	-	0.000	0.000	Merged-chr2-119594435-52
NR45447--MA0741.1.KLF16	chr4	155198029	155198039	+	0.000	0.000	Merged-chr4-155197948-31
NR62942--MA0493.1.Klf1	chr9	59486725	59486735	+	0.000	0.000	Merged-chr9-59486572-90
NR61311--MA0599.1.KLF5	chr8	123374419	123374428	-	0.000	0.000	Merged-chr8-123374392-1
NR35002--MA0599.1.KLF5	chr2	115855890	115855899	-	0.000	0.000	Merged-chr2-115856078-28
NR56339--MA0039.3.KLF4	chr7	90476111	90476121	-	0.000	0.000	Merged-chr7-90476243-63
NR20990--MA0493.1.Klf1	chr15	34390130	34390140	+	0.000	0.000	Merged-chr15-34390161-14
NR38051--MA1107.1.KLF9	chr3	36475724	36475736	+	0.000	0.000	Merged-chr3-36475795-73
NR12813--MA0740.1.KLF14	chr12	11266100	11266113	-	0.000	0.000	Merged-chr12-11266075-96
NR6061--MA0741.1.KLF16	chr10	80139421	80139431	+	0.000	0.000	Merged-chr10-80139256-20
NR18541--MA1107.1.KLF9	chr14	25628571	25628583	-	0.000	0.000	Merged-chr14-25628678-27
NR7242--MA1107.1.KLF9	chr10	112001737	112001749	-	0.000	0.000	Merged-chr10-112001683-11
NR38822--MA0741.1.KLF16	chr3	88831933	88831943	-	0.000	0.000	Merged-chr3-88831913-99
NR10689--MA0741.1.KLF16	chr11	88595871	88595881	+	0.000	0.000	Merged-chr11-88595910-28
NR47560--MA1107.1.KLF9	chr5	105139617	105139629	+	0.000	0.000	Merged-chr5-105139642-65
NR385--MA0599.1.KLF5	chr1	37541074	37541083	+	0.000	0.000	Merged-chr1-37541062-55
NR28344--MA0741.1.KLF16	chr17	80441970	80441980	-	0.000	0.000	Merged-chr17-80441791-30
NR59595--MA0740.1.KLF14	chr8	70374666	70374679	-	0.000	0.000	Merged-chr8-70374798-28
NR46997--MA0740.1.KLF14	chr5	76779463	76779476	-	0.000	0.000	Merged-chr5-76779382-27
NR31848--MA0740.1.KLF14	chr19	45079934	45079947	-	0.000	0.000	Merged-chr19-45079804-49
NR46434--MA0039.3.KLF4	chr5	43782099	43782109	+	0.000	0.000	Merged-chr5-43782130-89
NR29055--MA0741.1.KLF16	chr18	25505288	25505298	-	0.000	0.000	Merged-chr18-25505224-41
NR31475--MA0742.1.Klf12	chr19	32172585	32172599	-	0.000	0.000	Merged-chr19-32172725-56
NR9996--MA0599.1.KLF5	chr11	70622679	70622688	+	0.000	0.000	Merged-chr11-70622499-26
NR55240--MA0741.1.KLF16	chr7	35754509	35754519	+	0.000	0.000	Merged-chr7-35754427-56
NR14083--MA1107.1.KLF9	chr12	93549964	93549976	+	0.000	0.000	Merged-chr12-93549943-12
NR3460--MA1107.1.KLF9	chr1	175692816	175692828	+	0.000	0.000	Merged-chr1-175692845-123
NR35031--MA0741.1.KLF16	chr2	116900134	116900144	-	0.000	0.000	Merged-chr2-116900141-29
NR4948--MA0039.3.KLF4	chr10	39418661	39418671	+	0.000	0.000	Merged-chr10-39418565-23
NR48405--MA0599.1.KLF5	chr5	120511175	120511184	-	0.000	0.000	Merged-chr5-120511260-45
NR3327--MA0599.1.KLF5	chr1	172217407	172217416	-	0.000	0.000	Merged-chr1-172217304-35
NR58859--MA0039.3.KLF4	chr8	27023837	27023847	-	0.000	0.000	Merged-chr8-27023676-72
NR50320--MA0742.1.Klf12	chr5	150262887	150262901	+	0.000	0.000	Merged-chr5-150262822-29
NR20482--MA0741.1.KLF16	chr14	120911178	120911188	+	0.000	0.000	Merged-chr14-120911089-102
NR47976--MA0039.3.KLF4	chr5	113772626	113772636	+	0.000	0.000	Merged-chr5-113772716-49
NR25392--MA0740.1.KLF14	chr16	94354648	94354661	-	0.000	0.000	Merged-chr16-94354620-30
NR19510--MA1107.1.KLF9	chr14	67951870	67951882	+	0.000	0.000	Merged-chr14-67951902-1
NR6376--MA1107.1.KLF9	chr10	81378513	81378525	+	0.000	0.000	Merged-chr10-81378614-74
NR18752--MA0493.1.Klf1	chr14	33447265	33447275	-	0.000	0.000	Merged-chr14-33447186-64
NR1953--MA0599.1.KLF5	chr1	131000513	131000522	+	0.000	0.000	Merged-chr1-131000577-8
NR8806--MA0741.1.KLF16	chr11	23306308	23306318	+	0.000	0.000	Merged-chr11-23306363-115
NR11798--MA0039.3.KLF4	chr11	108334630	108334640	+	0.000	0.000	Merged-chr11-108334513-21
NR9629--MA0599.1.KLF5	chr11	61175065	61175074	-	0.000	0.000	Merged-chr11-61175090-72
NR28596--MA0741.1.KLF16	chr17	86145233	86145243	-	0.000	0.000	Merged-chr17-86145064-83
NR57219--MA1107.1.KLF9	chr7	118996125	118996137	+	0.000	0.000	Merged-chr7-118996312-34
NR62593--MA0741.1.KLF16	chr9	48715182	48715192	+	0.000	0.000	Merged-chr9-48715337-26
NR13769--MA0599.1.KLF5	chr12	79646698	79646707	-	0.000	0.000	Merged-chr12-79646873-78
NR39785--MA0741.1.KLF16	chr3	116200269	116200279	+	0.000	0.000	Merged-chr3-116200281-40
NR4644--MA1107.1.KLF9	chr10	17796261	17796273	-	0.000	0.000	Merged-chr10-17796351-83
NR6586--MA0039.3.KLF4	chr10	84622254	84622264	-	0.000	0.000	Merged-chr10-84622424-60
NR32892--MA0741.1.KLF16	chr2	25054395	25054405	+	0.000	0.000	Merged-chr2-25054565-53
NR39160--MA0599.1.KLF5	chr3	96635418	96635427	+	0.000	0.000	Merged-chr3-96635554-60
NR1487--MA0493.1.Klf1	chr1	93754892	93754902	+	0.000	0.000	Merged-chr1-93754706-110
NR11155--MA0599.1.KLF5	chr11	98358297	98358306	-	0.000	0.000	Merged-chr11-98358396-75
NR20879--MA0599.1.KLF5	chr15	25726864	25726873	+	0.000	0.000	Merged-chr15-25726973-5
NR19650--MA0599.1.KLF5	chr14	74732255	74732264	-	0.000	0.000	Merged-chr14-74732316-54
NR29698--MA0657.1.KLF13	chr18	60059214	60059231	+	0.000	0.000	Merged-chr18-60059257-14
NR5583--MA0740.1.KLF14	chr10	67582056	67582069	-	0.000	0.000	Merged-chr10-67582122-21
NR35283--MA0741.1.KLF16	chr2	122234759	122234769	+	0.000	0.000	Merged-chr2-122234725-76
NR28483--MA0599.1.KLF5	chr17	84119721	84119730	+	0.000	0.000	Merged-chr17-84119713-65
NR27027--MA0741.1.KLF16	chr17	35164944	35164954	+	0.000	0.000	Merged-chr17-35165046-91
NR60566--MA0599.1.KLF5	chr8	106007462	106007471	-	0.000	0.000	Merged-chr8-106007407-44
NR8992--MA0741.1.KLF16	chr11	43388177	43388187	+	0.000	0.000	Merged-chr11-43388426-63
NR14754--MA0657.1.KLF13	chr12	110480889	110480906	+	0.000	0.000	Merged-chr12-110480854-10
NR63067--MA0740.1.KLF14	chr9	62121857	62121870	+	0.000	0.000	Merged-chr9-62121738-9
NR23374--MA0599.1.KLF5	chr15	102203554	102203563	+	0.000	0.000	Merged-chr15-102203687-82
NR63276--MA0599.1.KLF5	chr9	66599824	66599833	-	0.000	0.000	Merged-chr9-66599878-25
NR25076--MA0741.1.KLF16	chr16	90334349	90334359	+	0.000	0.000	Merged-chr16-90334244-28
NR66476--MA0741.1.KLF16	chrX	104857309	104857319	+	0.000	0.000	Merged-chrX-104857124-25
NR12749--MA0741.1.KLF16	chr12	8521794	8521804	+	0.000	0.000	Merged-chr12-8521654-50
NR54988--MA1107.1.KLF9	chr7	28810856	28810868	-	0.000	0.000	Merged-chr7-28810674-63
NR6158--MA0599.1.KLF5	chr10	80494804	80494813	-	0.000	0.000	Merged-chr10-80494941-15
NR39008--MA0599.1.KLF5	chr3	94310104	94310113	+	0.000	0.000	Merged-chr3-94310137-58
NR28125--MA0599.1.KLF5	chr17	73822558	73822567	+	0.000	0.000	Merged-chr17-73822361-73
NR61829--MA0039.3.KLF4	chr9	20385151	20385161	+	0.000	0.000	Merged-chr9-20385191-56
NR6441--MA0741.1.KLF16	chr10	81545137	81545147	-	0.000	0.000	Merged-chr10-81545230-68
NR39347--MA1107.1.KLF9	chr3	101701453	101701465	-	0.000	0.000	Merged-chr3-101701370-14
NR35593--MA0599.1.KLF5	chr2	131510084	131510093	-	0.000	0.000	Merged-chr2-131509995-53
NR51803--MA0741.1.KLF16	chr6	87542249	87542259	-	0.000	0.000	Merged-chr6-87542145-24
NR26966--MA0599.1.KLF5	chr17	34632511	34632520	+	0.000	0.000	Merged-chr17-34632499-30
NR4490--MA0741.1.KLF16	chr10	5824256	5824266	+	0.000	0.000	Merged-chr10-5824355-123
NR3867--MA0742.1.Klf12	chr1	184048089	184048103	+	0.000	0.000	Merged-chr1-184048031-42
NR33740--MA0742.1.Klf12	chr2	48949271	48949285	+	0.000	0.000	Merged-chr2-48949437-98
NR9671--MA0740.1.KLF14	chr11	61762193	61762206	-	0.000	0.000	Merged-chr11-61762062-61
NR23159--MA0740.1.KLF14	chr15	100411276	100411289	+	0.000	0.000	Merged-chr15-100411281-12
NR9769--MA0741.1.KLF16	chr11	65807158	65807168	+	0.000	0.000	Merged-chr11-65807044-98
NR63042--MA1107.1.KLF9	chr9	61947342	61947354	-	0.000	0.000	Merged-chr9-61947278-11
NR61544--MA0599.1.KLF5	chr8	126584351	126584360	-	0.000	0.000	Merged-chr8-126584527-70
NR16295--MA0741.1.KLF16	chr13	54694188	54694198	+	0.000	0.000	Merged-chr13-54694129-87
NR9535--MA0599.1.KLF5	chr11	59662641	59662650	-	0.000	0.000	Merged-chr11-59662530-59
NR62841--MA0657.1.KLF13	chr9	57077090	57077107	+	0.000	0.000	Merged-chr9-57076991-9
NR31584--MA0742.1.Klf12	chr19	36409584	36409598	-	0.000	0.000	Merged-chr19-36409790-61
NR12124--MA0599.1.KLF5	chr11	115475597	115475606	+	0.000	0.000	Merged-chr11-115475686-55
NR55627--MA0599.1.KLF5	chr7	48838646	48838655	-	0.000	0.000	Merged-chr7-48838700-6
NR46242--MA1107.1.KLF9	chr5	34637179	34637191	+	0.000	0.000	Merged-chr5-34637135-1
NR18778--MA0742.1.Klf12	chr14	34549235	34549249	+	0.000	0.000	Merged-chr14-34549308-78
NR4550--MA1107.1.KLF9	chr10	8370347	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR16161--MA0742.1.Klf12	chr13	51726389	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR24343--MA0599.1.KLF5	chr16	36071599	36071608	-	0.000	0.000	Merged-chr16-36071679-92
NR22542--MA0741.1.KLF16	chr15	90224258	90224268	+	0.000	0.000	Merged-chr15-90224402-90
NR45413--MA0741.1.KLF16	chr4	154160687	154160697	+	0.000	0.000	Merged-chr4-154160768-60
NR55539--MA0740.1.KLF14	chr7	46033671	46033684	-	0.000	0.000	Merged-chr7-46033779-50
NR62602--MA0493.1.Klf1	chr9	48985148	48985158	-	0.000	0.000	Merged-chr9-48985134-97
NR57693--MA0039.3.KLF4	chr7	130647044	130647054	-	0.000	0.000	Merged-chr7-130647041-17
NR10607--MA0599.1.KLF5	chr11	87578396	87578405	+	0.000	0.000	Merged-chr11-87578522-34
NR66062--MA0741.1.KLF16	chrX	56598212	56598222	-	0.000	0.000	Merged-chrX-56598063-61
NR11061--MA0599.1.KLF5	chr11	97133379	97133388	+	0.000	0.000	Merged-chr11-97133494-13
NR8543--MA0493.1.Klf1	chr11	6519613	6519623	+	0.000	0.000	Merged-chr11-6519719-31
NR12606--MA0741.1.KLF16	chr11	120948652	120948662	-	0.000	0.000	Merged-chr11-120948566-1
NR41800--MA1107.1.KLF9	chr4	40948291	40948303	+	0.000	0.000	Merged-chr4-40948225-82
NR14276--MA0742.1.Klf12	chr12	101018070	101018084	+	0.000	0.000	Merged-chr12-101018139-51
NR19762--MA0599.1.KLF5	chr14	76504378	76504387	+	0.000	0.000	Merged-chr14-76504460-49
NR42121--MA0599.1.KLF5	chr4	46485835	46485844	-	0.000	0.000	Merged-chr4-46485924-53
NR63182--MA0599.1.KLF5	chr9	64960814	64960823	+	0.000	0.000	Merged-chr9-64960866-47
NR12201--MA0742.1.Klf12	chr11	116306793	116306807	-	0.000	0.000	Merged-chr11-116306675-50
NR54420--MA0493.1.Klf1	chr7	16783491	16783501	-	0.000	0.000	Merged-chr7-16783425-42
NR9084--MA0741.1.KLF16	chr11	48788752	48788762	-	0.000	0.000	Merged-chr11-48788771-2
NR34369--MA0599.1.KLF5	chr2	77280625	77280634	-	0.000	0.000	Merged-chr2-77280729-98
NR31099--MA0741.1.KLF16	chr19	10525248	10525258	-	0.000	0.000	Merged-chr19-10525471-98
NR54340--MA0599.1.KLF5	chr7	12966200	12966209	-	0.000	0.000	Merged-chr7-12966009-60
NR31543--MA0740.1.KLF14	chr19	34192670	34192683	+	0.000	0.000	Merged-chr19-34192635-86
NR66098--MA0599.1.KLF5	chrX	70365126	70365135	-	0.000	0.000	Merged-chrX-70365071-55
NR23128--MA0599.1.KLF5	chr15	100038735	100038744	-	0.000	0.000	Merged-chr15-100038868-69
NR12110--MA0493.1.Klf1	chr11	115276976	115276986	+	0.000	0.000	Merged-chr11-115277112-67
NR2528--MA0741.1.KLF16	chr1	151582201	151582211	+	0.000	0.000	Merged-chr1-151582085-10
NR9016--MA0742.1.Klf12	chr11	45752486	45752500	+	0.000	0.000	Merged-chr11-45752431-24
NR7438--MA0740.1.KLF14	chr10	117112698	117112711	-	0.000	0.000	Merged-chr10-117112735-27
NR22762--MA0740.1.KLF14	chr15	94543623	94543636	+	0.000	0.000	Merged-chr15-94543602-76
NR5758--MA0740.1.KLF14	chr10	75517420	75517433	+	0.000	0.000	Merged-chr10-75517574-101
NR57913--MA1107.1.KLF9	chr7	136171743	136171755	-	0.000	0.000	Merged-chr7-136171818-25
NR3293--MA0657.1.KLF13	chr1	171677912	171677929	+	0.000	0.000	Merged-chr1-171677833-5
NR61101--MA0740.1.KLF14	chr8	120701895	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR28590--MA0493.1.Klf1	chr17	85908829	85908839	+	0.000	0.000	Merged-chr17-85908968-35
NR20514--MA0741.1.KLF16	chr14	121405485	121405495	+	0.000	0.000	Merged-chr14-121405440-45
NR36959--MA0039.3.KLF4	chr2	167313812	167313822	+	0.000	0.000	Merged-chr2-167313855-44
NR58234--MA0599.1.KLF5	chr7	141392110	141392119	-	0.000	0.000	Merged-chr7-141392195-61
NR37512--MA1107.1.KLF9	chr2	178427068	178427080	+	0.000	0.000	Merged-chr2-178427210-3
NR58573--MA1107.1.KLF9	chr8	11635795	11635807	-	0.000	0.000	Merged-chr8-11635696-171
NR12724--MA0742.1.Klf12	chr12	4817470	4817484	+	0.000	0.000	Merged-chr12-4817506-66
NR59650--MA0493.1.Klf1	chr8	70558294	70558304	+	0.000	0.000	Merged-chr8-70558477-31
NR64873--MA0740.1.KLF14	chr9	114731114	114731127	-	0.000	0.000	Merged-chr9-114731222-121
NR18538--MA0599.1.KLF5	chr14	25628567	25628576	-	0.000	0.000	Merged-chr14-25628678-27
NR7239--MA0599.1.KLF5	chr10	112001739	112001748	-	0.000	0.000	Merged-chr10-112001683-11
NR54531--MA0039.3.KLF4	chr7	19270051	19270061	-	0.000	0.000	Merged-chr7-19270064-6
NR62354--MA0741.1.KLF16	chr9	40344036	40344046	+	0.000	0.000	Merged-chr9-40344107-38
NR32609--MA1107.1.KLF9	chr2	10080531	10080543	+	0.000	0.000	Merged-chr2-10080401-75
NR33644--MA0742.1.Klf12	chr2	36049428	36049442	-	0.000	0.000	Merged-chr2-36049261-79
NR15830--MA0742.1.Klf12	chr13	36117585	36117599	+	0.000	0.000	Merged-chr13-36117623-83
NR33400--MA0599.1.KLF5	chr2	32288331	32288340	+	0.000	0.000	Merged-chr2-32288192-62
NR52481--MA0039.3.KLF4	chr6	115847225	115847235	-	0.000	0.000	Merged-chr6-115847146-35
NR46789--MA0493.1.Klf1	chr5	67155800	67155810	+	0.000	0.000	Merged-chr5-67155759-12
NR3546--MA0493.1.Klf1	chr1	178406469	178406479	+	0.000	0.000	Merged-chr1-178406202-119
NR26948--MA0741.1.KLF16	chr17	34604041	34604051	-	0.000	0.000	Merged-chr17-34603959-87
NR60584--MA0599.1.KLF5	chr8	106973680	106973689	-	0.000	0.000	Merged-chr8-106973584-40
NR31964--MA0742.1.Klf12	chr19	46761358	46761372	+	0.000	0.000	Merged-chr19-46761432-95
NR63294--MA0599.1.KLF5	chr9	66834988	66834997	-	0.000	0.000	Merged-chr9-66834917-64
NR37595--MA0741.1.KLF16	chr2	180042432	180042442	+	0.000	0.000	Merged-chr2-180042476-118
NR9--MA0741.1.KLF16	chr1	4785773	4785783	+	0.000	0.000	Merged-chr1-4785759-53
NR2114--MA0741.1.KLF16	chr1	134344750	134344760	+	0.000	0.000	Merged-chr1-134344743-32
NR29774--MA0493.1.Klf1	chr18	61555163	61555173	-	0.000	0.000	Merged-chr18-61555267-68
NR13096--MA0039.3.KLF4	chr12	32285258	32285268	-	0.000	0.000	Merged-chr12-32285209-18
NR66442--MA0741.1.KLF16	chrX	103616960	103616970	-	0.000	0.000	Merged-chrX-103616839-86
NR53844--MA0741.1.KLF16	chr6	145116572	145116582	-	0.000	0.000	Merged-chr6-145116429-13
NR48874--MA1107.1.KLF9	chr5	129914179	129914191	+	0.000	0.000	Merged-chr5-129914211-20
NR24450--MA0493.1.Klf1	chr16	44173588	44173598	+	0.000	0.000	Merged-chr16-44173749-3
NR2689--MA0493.1.Klf1	chr1	155784564	155784574	-	0.000	0.000	Merged-chr1-155784753-78
NR52259--MA0599.1.KLF5	chr6	108709817	108709826	+	0.000	0.000	Merged-chr6-108709910-74
NR28124--MA1107.1.KLF9	chr17	73822304	73822316	-	0.000	0.000	Merged-chr17-73822361-73
NR49871--MA0599.1.KLF5	chr5	143975135	143975144	+	0.000	0.000	Merged-chr5-143975077-1
NR8819--MA0741.1.KLF16	chr11	23665945	23665955	+	0.000	0.000	Merged-chr11-23666059-101
NR64286--MA0741.1.KLF16	chr9	102626231	102626241	+	0.000	0.000	Merged-chr9-102626272-120
NR17241--MA1107.1.KLF9	chr13	97790018	97790030	+	0.000	0.000	Merged-chr13-97790032-25
NR41686--MA0741.1.KLF16	chr4	33147016	33147026	+	0.000	0.000	Merged-chr4-33147019-23
NR23364--MA1107.1.KLF9	chr15	102110643	102110655	-	0.000	0.000	Merged-chr15-102110732-12
NR12976--MA0742.1.Klf12	chr12	24652177	24652191	-	0.000	0.000	Merged-chr12-24652044-2
NR33998--MA0740.1.KLF14	chr2	65022815	65022828	-	0.000	0.000	Merged-chr2-65022793-47
NR54555--MA0741.1.KLF16	chr7	19381997	19382007	+	0.000	0.000	Merged-chr7-19382105-63
NR52720--MA0599.1.KLF5	chr6	122764660	122764669	+	0.000	0.000	Merged-chr6-122764645-81
NR6868--MA0741.1.KLF16	chr10	96118231	96118241	-	0.000	0.000	Merged-chr10-96118246-10
NR64478--MA0599.1.KLF5	chr9	106481250	106481259	-	0.000	0.000	Merged-chr9-106481275-1
NR38169--MA0599.1.KLF5	chr3	41564991	41565000	+	0.000	0.000	Merged-chr3-41565252-144
NR53595--MA0599.1.KLF5	chr6	142345908	142345917	+	0.000	0.000	Merged-chr6-142345915-71
NR18514--MA0039.3.KLF4	chr14	23465421	23465431	-	0.000	0.000	Merged-chr14-23465360-30
NR26263--MA0741.1.KLF16	chr17	24752908	24752918	+	0.000	0.000	Merged-chr17-24753082-30
NR19389--MA0039.3.KLF4	chr14	63178041	63178051	+	0.000	0.000	Merged-chr14-63178024-55
NR2106--MA0039.3.KLF4	chr1	134332897	134332907	+	0.000	0.000	Merged-chr1-134332992-10
NR26805--MA0741.1.KLF16	chr17	32389410	32389420	+	0.000	0.000	Merged-chr17-32389394-69
NR7484--MA1107.1.KLF9	chr10	117629431	117629443	-	0.000	0.000	Merged-chr10-117629481-71
NR60055--MA0741.1.KLF16	chr8	83997197	83997207	-	0.000	0.000	Merged-chr8-83997144-69
NR54868--MA0493.1.Klf1	chr7	27228551	27228561	-	0.000	0.000	Merged-chr7-27228644-59
NR21343--MA0742.1.Klf12	chr15	58823638	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR50324--MA0741.1.KLF16	chr5	150262888	150262898	+	0.000	0.000	Merged-chr5-150262822-29
NR67169--MA1107.1.KLF9	chrY	90799068	90799080	-	0.000	0.000	Merged-chrY-90799205-23
NR16447--MA0657.1.KLF13	chr13	59585296	59585313	-	0.000	0.000	Merged-chr13-59585318-80
NR30802--MA0599.1.KLF5	chr19	5088424	5088433	+	0.000	0.000	Merged-chr19-5088339-71
NR8481--MA0599.1.KLF5	chr11	5444996	5445005	+	0.000	0.000	Merged-chr11-5444767-95
NR5028--MA0741.1.KLF16	chr10	41810100	41810110	-	0.000	0.000	Merged-chr10-41810228-135
NR42899--MA1107.1.KLF9	chr4	107006402	107006414	-	0.000	0.000	Merged-chr4-107006366-21
NR27365--MA0657.1.KLF13	chr17	46383659	46383676	-	0.000	0.000	Merged-chr17-46383696-57
NR57283--MA0599.1.KLF5	chr7	120635184	120635193	-	0.000	0.000	Merged-chr7-120635408-90
NR27258--MA1107.1.KLF9	chr17	44690578	44690590	+	0.000	0.000	Merged-chr17-44690721-49
NR945--MA0599.1.KLF5	chr1	72284351	72284360	+	0.000	0.000	Merged-chr1-72284360-53
NR27777--MA0742.1.Klf12	chr17	57332401	57332415	-	0.000	0.000	Merged-chr17-57332504-4
NR38673--MA0741.1.KLF16	chr3	84345605	84345615	+	0.000	0.000	Merged-chr3-84345416-77
NR66933--MA0740.1.KLF14	chrX	164028027	164028040	+	0.000	0.000	Merged-chrX-164027993-42
NR10145--MA0741.1.KLF16	chr11	75510788	75510798	+	0.000	0.000	Merged-chr11-75510662-56
NR36767--MA1107.1.KLF9	chr2	164943170	164943182	-	0.000	0.000	Merged-chr2-164943047-31
NR40908--MA0493.1.Klf1	chr3	146328979	146328989	+	0.000	0.000	Merged-chr3-146328953-17
NR52245--MA0493.1.Klf1	chr6	108630897	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR18193--MA0741.1.KLF16	chr13	119790742	119790752	+	0.000	0.000	Merged-chr13-119790826-111
NR37979--MA0599.1.KLF5	chr3	30995754	30995763	-	0.000	0.000	Merged-chr3-30995800-69
NR6073--MA0599.1.KLF5	chr10	80158556	80158565	-	0.000	0.000	Merged-chr10-80158624-23
NR28466--MA0741.1.KLF16	chr17	84022527	84022537	-	0.000	0.000	Merged-chr17-84022626-28
NR31065--MA0741.1.KLF16	chr19	9135091	9135101	+	0.000	0.000	Merged-chr19-9135336-75
NR42326--MA1107.1.KLF9	chr4	56947067	56947079	-	0.000	0.000	Merged-chr4-56947082-88
NR49862--MA0741.1.KLF16	chr5	143731741	143731751	+	0.000	0.000	Merged-chr5-143731621-1
NR24552--MA0039.3.KLF4	chr16	50839706	50839716	+	0.000	0.000	Merged-chr16-50839866-11
NR9582--MA0742.1.Klf12	chr11	60727258	60727272	+	0.000	0.000	Merged-chr11-60727194-59
NR29303--MA0039.3.KLF4	chr18	38367010	38367020	-	0.000	0.000	Merged-chr18-38367283-66
NR55757--MA0599.1.KLF5	chr7	63858648	63858657	+	0.000	0.000	Merged-chr7-63858765-41
NR23813--MA0599.1.KLF5	chr16	16213273	16213282	-	0.000	0.000	Merged-chr16-16213421-42
NR21978--MA0599.1.KLF5	chr15	79441409	79441418	-	0.000	0.000	Merged-chr15-79441397-1
NR12930--MA0599.1.KLF5	chr12	21373699	21373708	+	0.000	0.000	Merged-chr12-21373648-61
NR52993--MA0742.1.Klf12	chr6	128803162	128803176	+	0.000	0.000	Merged-chr6-128803141-52
NR14233--MA0741.1.KLF16	chr12	100480844	100480854	+	0.000	0.000	Merged-chr12-100480598-53
NR60849--MA0741.1.KLF16	chr8	115826668	115826678	-	0.000	0.000	Merged-chr8-115826691-38
NR47584--MA0599.1.KLF5	chr5	105648835	105648844	+	0.000	0.000	Merged-chr5-105648904-12
NR27183--MA0599.1.KLF5	chr17	40934668	40934677	+	0.000	0.000	Merged-chr17-40934697-83
NR3779--MA0493.1.Klf1	chr1	182358271	182358281	+	0.000	0.000	Merged-chr1-182358310-43
NR50978--MA1107.1.KLF9	chr6	47953392	47953404	-	0.000	0.000	Merged-chr6-47953415-51
NR35219--MA0741.1.KLF16	chr2	121008326	121008336	-	0.000	0.000	Merged-chr2-121008420-56
NR43746--MA0741.1.KLF16	chr4	129542701	129542711	-	0.000	0.000	Merged-chr4-129542711-60
NR906--MA0741.1.KLF16	chr1	66897064	66897074	+	0.000	0.000	Merged-chr1-66897217-4
NR56041--MA0740.1.KLF14	chr7	78847174	78847187	+	0.000	0.000	Merged-chr7-78847158-68
NR8928--MA0741.1.KLF16	chr11	32554699	32554709	-	0.000	0.000	Merged-chr11-32554709-20
