#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR6936--MA0036.3.GATA2	chr9	95289191	95289201	-	0.000	0.000	Merged-chr9-95289296-28
NR2173--MA0766.1.GATA5	chr14	27562729	27562736	+	0.000	0.000	Merged-chr14-27562668-44
NR7182--MA0482.1.Gata4	chrX	160496687	160496697	+	0.000	0.000	Merged-chrX-160496581-5
NR4738--MA0035.3.Gata1	chr4	46152003	46152013	+	0.000	0.000	Merged-chr4-46152127-36
NR5178--MA0035.3.Gata1	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR262--MA0035.3.Gata1	chr1	138249025	138249035	+	0.000	0.000	Merged-chr1-138248934-12
NR3498--MA0035.3.Gata1	chr19	11484713	11484723	-	0.000	0.000	Merged-chr19-11484539-38
NR3544--MA0037.3.GATA3	chr19	26683932	26683939	+	0.000	0.000	Merged-chr19-26683900-27
NR2942--MA1104.1.GATA6	chr16	89849286	89849298	+	0.000	0.000	Merged-chr16-89849155-62
NR304--MA0482.1.Gata4	chr1	151973291	151973301	-	0.000	0.000	Merged-chr1-151973357-25
NR4889--MA0036.3.GATA2	chr4	122872201	122872211	+	0.000	0.000	Merged-chr4-122872187-66
NR2099--MA0037.3.GATA3	chr13	115011728	115011735	+	0.000	0.000	Merged-chr13-115011790-8
NR2620--MA0482.1.Gata4	chr15	78835266	78835276	-	0.000	0.000	Merged-chr15-78835387-37
NR6155--MA0036.3.GATA2	chr7	79728347	79728357	+	0.000	0.000	Merged-chr7-79728407-21
NR193--MA1104.1.GATA6	chr1	105543277	105543289	+	0.000	0.000	Merged-chr1-105543373-21
NR464--MA1104.1.GATA6	chr1	187228846	187228858	+	0.000	0.000	Merged-chr1-187228770-56
NR166--MA0035.3.Gata1	chr1	91286863	91286873	-	0.000	0.000	Merged-chr1-91287015-12
NR4071--MA0766.1.GATA5	chr2	129385622	129385629	-	0.000	0.000	Merged-chr2-129385556-29
NR3557--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR2391--MA0766.1.GATA5	chr14	101892383	101892390	-	0.000	0.000	Merged-chr14-101892350-14
NR5287--MA0140.2.GATA1::TAL1	chr5	96201972	96201989	+	0.000	0.000	Merged-chr5-96201907-44
NR7195--MA0482.1.Gata4	chrX	167131029	167131039	+	0.000	0.000	Merged-chrX-167131211-21
NR4685--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR994--MA0140.2.GATA1::TAL1	chr11	43412973	43412990	+	0.000	0.000	Merged-chr11-43412987-16
NR546--MA0035.3.Gata1	chr10	17550175	17550185	-	0.000	0.000	Merged-chr10-17550297-37
NR5171--MA0037.3.GATA3	chr5	36720446	36720453	-	0.000	0.000	Merged-chr5-36720499-2
NR5713--MA0037.3.GATA3	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR3740--MA0766.1.GATA5	chr2	29689675	29689682	+	0.000	0.000	Merged-chr2-29689675-19
NR4608--MA0035.3.Gata1	chr3	146275830	146275840	+	0.000	0.000	Merged-chr3-146275724-31
NR2386--MA0035.3.Gata1	chr14	101653836	101653846	+	0.000	0.000	Merged-chr14-101654038-102
NR2657--MA0035.3.Gata1	chr15	82914620	82914630	-	0.000	0.000	Merged-chr15-82914694-36
NR2295--MA0766.1.GATA5	chr14	62928198	62928205	+	0.000	0.000	Merged-chr14-62928345-50
NR2556--MA0036.3.GATA2	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR2633--MA0482.1.Gata4	chr15	81308334	81308344	+	0.000	0.000	Merged-chr15-81308219-24
NR697--MA0036.3.GATA2	chr10	81525046	81525056	-	0.000	0.000	Merged-chr10-81525209-7
NR2243--MA0035.3.Gata1	chr14	54074906	54074916	-	0.000	0.000	Merged-chr14-54074884-6
NR5598--MA1104.1.GATA6	chr6	34364726	34364738	+	0.000	0.000	Merged-chr6-34364838-25
NR293--MA0766.1.GATA5	chr1	151009415	151009422	-	0.000	0.000	Merged-chr1-151009545-50
NR5547--MA0482.1.Gata4	chr5	151104543	151104553	-	0.000	0.000	Merged-chr5-151104405-3
NR7108--MA0035.3.Gata1	chrX	23673358	23673368	+	0.000	0.000	Merged-chrX-23673581-22
NR1316--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR2742--MA0482.1.Gata4	chr16	8412517	8412527	-	0.000	0.000	Merged-chr16-8412399-34
NR4698--MA0035.3.Gata1	chr4	32388104	32388114	+	0.000	0.000	Merged-chr4-32387941-10
NR5133--MA0482.1.Gata4	chr5	24505729	24505739	+	0.000	0.000	Merged-chr5-24505685-17
NR2623--MA0035.3.Gata1	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR4878--MA0766.1.GATA5	chr4	115056686	115056693	-	0.000	0.000	Merged-chr4-115056666-5
NR6990--MA1104.1.GATA6	chr9	108163942	108163954	+	0.000	0.000	Merged-chr9-108163865-26
NR4710--MA1104.1.GATA6	chr4	33189441	33189453	-	0.000	0.000	Merged-chr4-33189254-36
NR6667--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR2527--MA0035.3.Gata1	chr15	37932657	37932667	-	0.000	0.000	Merged-chr15-37932559-17
NR4977--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR2370--MA0766.1.GATA5	chr14	100222433	100222440	-	0.000	0.000	Merged-chr14-100222353-13
NR6913--MA1104.1.GATA6	chr9	92274723	92274735	+	0.000	0.000	Merged-chr9-92274591-56
NR7174--MA0482.1.Gata4	chrX	139998458	139998468	-	0.000	0.000	Merged-chrX-139998422-73
NR2503--MA0482.1.Gata4	chr15	34046681	34046691	-	0.000	0.000	Merged-chr15-34046584-10
NR2012--MA0140.2.GATA1::TAL1	chr13	102899587	102899604	+	0.000	0.000	Merged-chr13-102899540-65
NR3470--MA0037.3.GATA3	chr18	89233872	89233879	+	0.000	0.000	Merged-chr18-89233824-45
NR163--MA0766.1.GATA5	chr1	90677875	90677882	-	0.000	0.000	Merged-chr1-90677857-31
NR3536--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR1421--MA0140.2.GATA1::TAL1	chr12	33048502	33048519	+	0.000	0.000	Merged-chr12-33048598-27
NR7082--MA0037.3.GATA3	chrX	12007355	12007362	+	0.000	0.000	Merged-chrX-12007363-15
NR111--MA0035.3.Gata1	chr1	69496218	69496228	-	0.000	0.000	Merged-chr1-69496310-11
NR2806--MA0036.3.GATA2	chr16	27388011	27388021	+	0.000	0.000	Merged-chr16-27388094-20
NR6428--MA0766.1.GATA5	chr8	69189266	69189273	+	0.000	0.000	Merged-chr8-69189155-7
NR548--MA0482.1.Gata4	chr10	17566398	17566408	+	0.000	0.000	Merged-chr10-17566277-15
NR4196--MA0036.3.GATA2	chr2	167081043	167081053	-	0.000	0.000	Merged-chr2-167081117-10
NR4467--MA0036.3.GATA2	chr3	131156308	131156318	+	0.000	0.000	Merged-chr3-131156512-43
NR1438--MA0482.1.Gata4	chr12	52830187	52830197	+	0.000	0.000	Merged-chr12-52830229-3
NR5530--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR6976--MA0035.3.Gata1	chr9	105689627	105689637	+	0.000	0.000	Merged-chr9-105689631-24
NR4324--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR2035--MA0766.1.GATA5	chr13	107926692	107926699	-	0.000	0.000	Merged-chr13-107926533-9
NR2973--MA0482.1.Gata4	chr16	93454218	93454228	-	0.000	0.000	Merged-chr16-93454367-31
NR3483--MA0037.3.GATA3	chr19	6015318	6015325	-	0.000	0.000	Merged-chr19-6015500-73
NR4263--MA0035.3.Gata1	chr3	37157381	37157391	+	0.000	0.000	Merged-chr3-37157248-37
NR2881--MA1104.1.GATA6	chr16	56800670	56800682	-	0.000	0.000	Merged-chr16-56800625-33
NR3732--MA0766.1.GATA5	chr2	26753538	26753545	+	0.000	0.000	Merged-chr2-26753671-30
NR4377--MA0140.2.GATA1::TAL1	chr3	107061874	107061891	-	0.000	0.000	Merged-chr3-107061699-25
NR5686--MA0037.3.GATA3	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR7177--MA0035.3.Gata1	chrX	139998459	139998469	-	0.000	0.000	Merged-chrX-139998422-73
NR1359--MA1104.1.GATA6	chr12	12172554	12172566	-	0.000	0.000	Merged-chr12-12172464-29
NR4736--MA1104.1.GATA6	chr4	46152002	46152014	-	0.000	0.000	Merged-chr4-46152127-36
NR285--MA0766.1.GATA5	chr1	149758506	149758513	-	0.000	0.000	Merged-chr1-149758666-31
NR6888--MA0036.3.GATA2	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR260--MA1104.1.GATA6	chr1	138249024	138249036	-	0.000	0.000	Merged-chr1-138248934-12
NR623--MA0482.1.Gata4	chr10	58371379	58371389	-	0.000	0.000	Merged-chr10-58371559-38
NR2615--MA0035.3.Gata1	chr15	78576486	78576496	+	0.000	0.000	Merged-chr15-78576586-27
NR1813--MA0766.1.GATA5	chr13	42049139	42049146	+	0.000	0.000	Merged-chr13-42049130-34
NR756--MA0035.3.Gata1	chr10	96648180	96648190	+	0.000	0.000	Merged-chr10-96648180-16
NR4481--MA0035.3.Gata1	chr3	132886774	132886784	+	0.000	0.000	Merged-chr3-132886809-16
NR6341--MA0766.1.GATA5	chr7	143649723	143649730	-	0.000	0.000	Merged-chr7-143649559-54
NR6429--MA0037.3.GATA3	chr8	69328896	69328903	-	0.000	0.000	Merged-chr8-69328899-30
NR4175--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR342--MA0035.3.Gata1	chr1	161767271	161767281	+	0.000	0.000	Merged-chr1-161767386-1
NR2572--MA0482.1.Gata4	chr15	62779103	62779113	+	0.000	0.000	Merged-chr15-62779143-25
NR3082--MA0037.3.GATA3	chr17	18462930	18462937	-	0.000	0.000	Merged-chr17-18462916-14
NR1370--MA0036.3.GATA2	chr12	15536116	15536126	+	0.000	0.000	Merged-chr12-15536023-13
NR7099--MA0766.1.GATA5	chrX	17365319	17365326	-	0.000	0.000	Merged-chrX-17365333-21
NR7166--MA0482.1.Gata4	chrX	113084408	113084418	-	0.000	0.000	Merged-chrX-113084391-25
NR2700--MA0482.1.Gata4	chr15	96543513	96543523	-	0.000	0.000	Merged-chr15-96543525-72
NR640--MA0037.3.GATA3	chr10	59431035	59431042	+	0.000	0.000	Merged-chr10-59431050-41
NR2976--MA0035.3.Gata1	chr16	93454219	93454229	-	0.000	0.000	Merged-chr16-93454367-31
NR1060--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR1893--MA0036.3.GATA2	chr13	75053972	75053982	-	0.000	0.000	Merged-chr13-75053881-13
NR6506--MA0036.3.GATA2	chr8	94633741	94633751	+	0.000	0.000	Merged-chr8-94633712-19
NR4606--MA1104.1.GATA6	chr3	146275829	146275841	-	0.000	0.000	Merged-chr3-146275724-31
NR6768--MA0766.1.GATA5	chr9	51908932	51908939	+	0.000	0.000	Merged-chr9-51909085-33
NR222--MA0482.1.Gata4	chr1	127320133	127320143	+	0.000	0.000	Merged-chr1-127320105-13
NR4217--MA0766.1.GATA5	chr2	173063423	173063430	-	0.000	0.000	Merged-chr2-173063390-29
NR7183--MA1104.1.GATA6	chrX	160496685	160496697	-	0.000	0.000	Merged-chrX-160496581-5
NR653--MA1104.1.GATA6	chr10	62984253	62984265	+	0.000	0.000	Merged-chr10-62984405-51
NR4188--MA0036.3.GATA2	chr2	166719517	166719527	+	0.000	0.000	Merged-chr2-166719426-29
NR4536--MA0482.1.Gata4	chr3	138334459	138334469	-	0.000	0.000	Merged-chr3-138334424-50
NR525--MA0036.3.GATA2	chr10	12961777	12961787	+	0.000	0.000	Merged-chr10-12961810-12
NR331--MA0482.1.Gata4	chr1	160044870	160044880	-	0.000	0.000	Merged-chr1-160044750-78
NR305--MA1104.1.GATA6	chr1	151973291	151973303	+	0.000	0.000	Merged-chr1-151973357-25
NR212--MA0035.3.Gata1	chr1	106738288	106738298	-	0.000	0.000	Merged-chr1-106738280-22
NR4122--MA0482.1.Gata4	chr2	146498566	146498576	+	0.000	0.000	Merged-chr2-146498425-8
NR2907--MA0036.3.GATA2	chr16	64898527	64898537	+	0.000	0.000	Merged-chr16-64898423-6
NR2621--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR2118--MA0035.3.Gata1	chr14	7858141	7858151	-	0.000	0.000	Merged-chr14-7858119-23
NR6529--MA0766.1.GATA5	chr8	106623320	106623327	+	0.000	0.000	Merged-chr8-106623305-12
NR6325--MA0482.1.Gata4	chr7	141049042	141049052	-	0.000	0.000	Merged-chr7-141049009-7
NR5631--MA0037.3.GATA3	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR6411--MA0035.3.Gata1	chr8	40595269	40595279	-	0.000	0.000	Merged-chr8-40595277-53
NR1492--MA0036.3.GATA2	chr12	84764150	84764160	-	0.000	0.000	Merged-chr12-84764443-25
NR7196--MA1104.1.GATA6	chrX	167131027	167131039	-	0.000	0.000	Merged-chrX-167131211-21
NR7169--MA0035.3.Gata1	chrX	113084409	113084419	-	0.000	0.000	Merged-chrX-113084391-25
NR6096--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR6086--MA0036.3.GATA2	chr7	30280500	30280510	-	0.000	0.000	Merged-chr7-30280528-94
NR4021--MA0766.1.GATA5	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR4109--MA0037.3.GATA3	chr2	144300385	144300392	+	0.000	0.000	Merged-chr2-144300316-30
NR267--MA0036.3.GATA2	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR2479--MA0035.3.Gata1	chr15	11533051	11533061	-	0.000	0.000	Merged-chr15-11533088-60
NR550--MA0140.2.GATA1::TAL1	chr10	21268945	21268962	-	0.000	0.000	Merged-chr10-21269012-32
NR405--MA0766.1.GATA5	chr1	178685218	178685225	+	0.000	0.000	Merged-chr1-178685130-2
NR2634--MA1104.1.GATA6	chr15	81308332	81308344	-	0.000	0.000	Merged-chr15-81308219-24
NR4120--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR1805--MA0766.1.GATA5	chr13	40924137	40924144	-	0.000	0.000	Merged-chr13-40924154-14
NR6180--MA1104.1.GATA6	chr7	92805484	92805496	+	0.000	0.000	Merged-chr7-92805492-6
NR4658--MA0482.1.Gata4	chr3	157938621	157938631	+	0.000	0.000	Merged-chr3-157938783-43
NR2978--MA0482.1.Gata4	chr16	93839228	93839238	-	0.000	0.000	Merged-chr16-93839317-9
NR5548--MA1104.1.GATA6	chr5	151104543	151104555	+	0.000	0.000	Merged-chr5-151104405-3
NR1317--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR5529--MA0140.2.GATA1::TAL1	chr5	149335849	149335866	+	0.000	0.000	Merged-chr5-149336038-32
NR78--MA1104.1.GATA6	chr1	44101605	44101617	+	0.000	0.000	Merged-chr1-44101717-6
NR1394--MA0037.3.GATA3	chr12	26460152	26460159	-	0.000	0.000	Merged-chr12-26460097-25
NR2174--MA0035.3.Gata1	chr14	27562727	27562737	-	0.000	0.000	Merged-chr14-27562668-44
NR4616--MA0140.2.GATA1::TAL1	chr3	148844385	148844402	-	0.000	0.000	Merged-chr3-148844306-23
NR5551--MA0035.3.Gata1	chr5	151104544	151104554	-	0.000	0.000	Merged-chr5-151104405-3
NR2149--MA0766.1.GATA5	chr14	20177875	20177882	-	0.000	0.000	Merged-chr14-20177932-18
NR6328--MA0035.3.Gata1	chr7	141049043	141049053	-	0.000	0.000	Merged-chr7-141049009-7
NR3202--MA0037.3.GATA3	chr17	65558610	65558617	-	0.000	0.000	Merged-chr17-65558424-20
NR4261--MA1104.1.GATA6	chr3	37157380	37157392	-	0.000	0.000	Merged-chr3-37157248-37
NR1843--MA0035.3.Gata1	chr13	61241686	61241696	-	0.000	0.000	Merged-chr13-61241638-32
NR147--MA0766.1.GATA5	chr1	85794297	85794304	+	0.000	0.000	Merged-chr1-85794071-131
NR3087--MA1104.1.GATA6	chr17	18615307	18615319	+	0.000	0.000	Merged-chr17-18615356-8
NR3040--MA0037.3.GATA3	chr17	7904966	7904973	-	0.000	0.000	Merged-chr17-7905100-9
NR7175--MA1104.1.GATA6	chrX	139998458	139998470	+	0.000	0.000	Merged-chrX-139998422-73
NR2504--MA1104.1.GATA6	chr15	34046681	34046693	+	0.000	0.000	Merged-chr15-34046584-10
NR2852--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR246--MA0036.3.GATA2	chr1	136685413	136685423	-	0.000	0.000	Merged-chr1-136685597-75
NR599--MA0035.3.Gata1	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR1008--MA0482.1.Gata4	chr11	46348503	46348513	-	0.000	0.000	Merged-chr11-46348633-7
NR3793--MA0766.1.GATA5	chr2	52952406	52952413	-	0.000	0.000	Merged-chr2-52952534-7
NR2705--MA0482.1.Gata4	chr15	97213194	97213204	-	0.000	0.000	Merged-chr15-97213099-28
NR5811--MA0482.1.Gata4	chr6	117166982	117166992	-	0.000	0.000	Merged-chr6-117167105-10
NR3741--MA0035.3.Gata1	chr2	29689673	29689683	-	0.000	0.000	Merged-chr2-29689675-19
NR1439--MA1104.1.GATA6	chr12	52830185	52830197	-	0.000	0.000	Merged-chr12-52830229-3
NR231--MA0037.3.GATA3	chr1	131170137	131170144	-	0.000	0.000	Merged-chr1-131170011-6
NR2296--MA0035.3.Gata1	chr14	62928196	62928206	-	0.000	0.000	Merged-chr14-62928345-50
NR161--MA0482.1.Gata4	chr1	90677875	90677885	+	0.000	0.000	Merged-chr1-90677857-31
NR6697--MA0036.3.GATA2	chr9	31300706	31300716	+	0.000	0.000	Merged-chr9-31300664-3
NR4417--MA0036.3.GATA2	chr3	121689180	121689190	+	0.000	0.000	Merged-chr3-121689232-23
NR2814--MA0482.1.Gata4	chr16	31355054	31355064	+	0.000	0.000	Merged-chr16-31355131-20
NR2609--MA0482.1.Gata4	chr15	78495175	78495185	-	0.000	0.000	Merged-chr15-78495177-43
NR5920--MA0482.1.Gata4	chr6	134117728	134117738	-	0.000	0.000	Merged-chr6-134117779-3
NR6554--MA0036.3.GATA2	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR294--MA0035.3.Gata1	chr1	151009414	151009424	+	0.000	0.000	Merged-chr1-151009545-50
NR5190--MA0037.3.GATA3	chr5	53566530	53566537	-	0.000	0.000	Merged-chr5-53566690-62
NR6467--MA0140.2.GATA1::TAL1	chr8	83767571	83767588	+	0.000	0.000	Merged-chr8-83767708-6
NR4085--MA0035.3.Gata1	chr2	132512564	132512574	+	0.000	0.000	Merged-chr2-132512511-69
