#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1282--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR135--MA0463.1.Bcl6	chr1	173437393	173437406	+	0.000	0.000	Merged-chr1-173437499-84
NR914--MA0463.1.Bcl6	chr18	39020928	39020941	-	0.000	0.000	Merged-chr18-39020827-46
NR2117--MA0463.1.Bcl6	chrX	134307959	134307972	-	0.000	0.000	Merged-chrX-134308001-68
NR339--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR2023--MA0463.1.Bcl6	chr9	63124407	63124420	+	0.000	0.000	Merged-chr9-63124202-41
NR950--MA0463.1.Bcl6	chr18	81462417	81462430	-	0.000	0.000	Merged-chr18-81462369-37
NR1296--MA0463.1.Bcl6	chr3	129470273	129470286	+	0.000	0.000	Merged-chr3-129470281-15
NR318--MA0731.1.BCL6B	chr11	54492681	54492697	+	0.000	0.000	Merged-chr11-54492562-47
NR2092--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR1838--MA0463.1.Bcl6	chr7	114069447	114069460	+	0.000	0.000	Merged-chr7-114069379-29
NR1761--MA0731.1.BCL6B	chr7	19157672	19157688	+	0.000	0.000	Merged-chr7-19157659-48
NR807--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR122--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR1086--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR25--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR624--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR1992--MA0731.1.BCL6B	chr9	32906412	32906428	+	0.000	0.000	Merged-chr9-32906573-43
NR1431--MA0463.1.Bcl6	chr4	120959634	120959647	+	0.000	0.000	Merged-chr4-120959527-5
NR1637--MA0463.1.Bcl6	chr6	40898535	40898548	-	0.000	0.000	Merged-chr6-40898625-5
NR857--MA0463.1.Bcl6	chr17	56269274	56269287	+	0.000	0.000	Merged-chr17-56269390-41
NR52--MA0463.1.Bcl6	chr1	85794371	85794384	+	0.000	0.000	Merged-chr1-85794071-131
NR763--MA0463.1.Bcl6	chr16	32430855	32430868	-	0.000	0.000	Merged-chr16-32431022-65
NR2097--MA0731.1.BCL6B	chrX	7657331	7657347	-	0.000	0.000	Merged-chrX-7657381-29
NR629--MA0463.1.Bcl6	chr14	66232296	66232309	+	0.000	0.000	Merged-chr14-66232261-58
NR414--MA0463.1.Bcl6	chr12	80113278	80113291	+	0.000	0.000	Merged-chr12-80113137-75
NR320--MA0463.1.Bcl6	chr11	57951648	57951661	+	0.000	0.000	Merged-chr11-57951726-64
NR2096--MA0463.1.Bcl6	chrX	7657334	7657347	+	0.000	0.000	Merged-chrX-7657381-29
NR127--MA0731.1.BCL6B	chr1	170168189	170168205	-	0.000	0.000	Merged-chr1-170167960-28
NR1445--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR450--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
NR236--MA0731.1.BCL6B	chr10	80602901	80602917	+	0.000	0.000	Merged-chr10-80603037-66
NR1463--MA0463.1.Bcl6	chr4	145250061	145250074	+	0.000	0.000	Merged-chr4-145250198-42
NR110--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR316--MA0463.1.Bcl6	chr11	54239918	54239931	+	0.000	0.000	Merged-chr11-54240142-13
NR222--MA0463.1.Bcl6	chr10	60284880	60284893	+	0.000	0.000	Merged-chr10-60285008-11
NR249--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR2089--MA0731.1.BCL6B	chr9	117896446	117896462	-	0.000	0.000	Merged-chr9-117896590-25
NR1020--MA0463.1.Bcl6	chr2	9681863	9681876	+	0.000	0.000	Merged-chr2-9681902-51
NR240--MA0463.1.Bcl6	chr10	84836282	84836295	-	0.000	0.000	Merged-chr10-84836383-30
NR1615--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR352--MA0463.1.Bcl6	chr11	83629974	83629987	+	0.000	0.000	Merged-chr11-83629879-6
NR196--MA0731.1.BCL6B	chr10	19530152	19530168	-	0.000	0.000	Merged-chr10-19530154-52
NR370--MA0463.1.Bcl6	chr11	106665702	106665715	-	0.000	0.000	Merged-chr11-106665646-39
NR697--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR2034--MA0731.1.BCL6B	chr9	74142193	74142209	-	0.000	0.000	Merged-chr9-74142084-19
NR1043--MA0463.1.Bcl6	chr2	32057480	32057493	-	0.000	0.000	Merged-chr2-32057507-27
NR1161--MA0731.1.BCL6B	chr2	148857011	148857027	+	0.000	0.000	Merged-chr2-148856922-22
NR1432--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR2012--MA0463.1.Bcl6	chr9	50924708	50924721	-	0.000	0.000	Merged-chr9-50924601-13
NR930--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR2030--MA0463.1.Bcl6	chr9	69319993	69320006	+	0.000	0.000	Merged-chr9-69320084-71
NR272--MA0463.1.Bcl6	chr10	117660123	117660136	-	0.000	0.000	Merged-chr10-117659981-30
NR2013--MA0731.1.BCL6B	chr9	50924708	50924724	+	0.000	0.000	Merged-chr9-50924601-13
NR1283--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR329--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR850--MA0463.1.Bcl6	chr17	45384662	45384675	-	0.000	0.000	Merged-chr17-45384721-21
NR1947--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR1187--MA0463.1.Bcl6	chr2	173431769	173431782	-	0.000	0.000	Merged-chr2-173431870-16
NR622--MA0463.1.Bcl6	chr14	55497507	55497520	-	0.000	0.000	Merged-chr14-55497522-22
NR1023--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR2005--MA0731.1.BCL6B	chr9	46273043	46273059	+	0.000	0.000	Merged-chr9-46273034-67
NR1635--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR1132--MA0731.1.BCL6B	chr2	128451831	128451847	+	0.000	0.000	Merged-chr2-128451749-44
NR846--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR970--MA0731.1.BCL6B	chr19	11496483	11496499	-	0.000	0.000	Merged-chr19-11496633-26
NR1512--MA0731.1.BCL6B	chr5	53213993	53214009	+	0.000	0.000	Merged-chr5-53213963-3
NR197--MA0463.1.Bcl6	chr10	19566239	19566252	+	0.000	0.000	Merged-chr10-19566068-15
NR618--MA0463.1.Bcl6	chr14	54060008	54060021	+	0.000	0.000	Merged-chr14-54060057-10
NR28--MA0463.1.Bcl6	chr1	64305594	64305607	-	0.000	0.000	Merged-chr1-64305701-25
NR1667--MA0463.1.Bcl6	chr6	88412833	88412846	-	0.000	0.000	Merged-chr6-88412709-5
NR1452--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1756--MA0731.1.BCL6B	chr7	13054842	13054858	+	0.000	0.000	Merged-chr7-13054889-1
NR211--MA0463.1.Bcl6	chr10	39492190	39492203	-	0.000	0.000	Merged-chr10-39492279-24
NR1112--MA0463.1.Bcl6	chr2	93823660	93823673	+	0.000	0.000	Merged-chr2-93823719-41
NR690--MA0463.1.Bcl6	chr15	25884648	25884661	-	0.000	0.000	Merged-chr15-25884835-36
NR2099--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR1246--MA0731.1.BCL6B	chr3	87742863	87742879	-	0.000	0.000	Merged-chr3-87742894-18
NR1517--MA0731.1.BCL6B	chr5	64324516	64324532	-	0.000	0.000	Merged-chr5-64324524-11
NR1130--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR341--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR1560--MA0731.1.BCL6B	chr5	112276253	112276269	+	0.000	0.000	Merged-chr5-112276109-3
NR78--MA0463.1.Bcl6	chr1	131184385	131184398	+	0.000	0.000	Merged-chr1-131184569-46
NR328--MA0463.1.Bcl6	chr11	61231621	61231634	-	0.000	0.000	Merged-chr11-61231556-8
NR113--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR1573--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1247--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR1063--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1820--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR410--MA0731.1.BCL6B	chr12	70999571	70999587	+	0.000	0.000	Merged-chr12-70999631-61
NR1552--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR1727--MA0731.1.BCL6B	chr6	140801177	140801193	-	0.000	0.000	Merged-chr6-140801246-11
NR1180--MA0463.1.Bcl6	chr2	168159068	168159081	-	0.000	0.000	Merged-chr2-168159188-34
NR248--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR784--MA0731.1.BCL6B	chr16	75617786	75617802	-	0.000	0.000	Merged-chr16-75617911-31
NR1046--MA0463.1.Bcl6	chr2	34945660	34945673	-	0.000	0.000	Merged-chr2-34945759-18
NR893--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR1946--MA0463.1.Bcl6	chr8	105991190	105991203	-	0.000	0.000	Merged-chr8-105991112-25
NR1185--MA0463.1.Bcl6	chr2	173018225	173018238	+	0.000	0.000	Merged-chr2-173018174-48
NR53--MA0731.1.BCL6B	chr1	85794368	85794384	-	0.000	0.000	Merged-chr1-85794071-131
NR1870--MA0463.1.Bcl6	chr7	131540223	131540236	-	0.000	0.000	Merged-chr7-131540239-21
NR1839--MA0463.1.Bcl6	chr7	114081552	114081565	+	0.000	0.000	Merged-chr7-114081573-27
NR872--MA0731.1.BCL6B	chr17	71485916	71485932	+	0.000	0.000	Merged-chr17-71486096-96
NR1828--MA0731.1.BCL6B	chr7	105395366	105395382	-	0.000	0.000	Merged-chr7-105395581-59
NR1666--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR1937--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR917--MA0731.1.BCL6B	chr18	49755848	49755864	-	0.000	0.000	Merged-chr18-49755713-75
NR1788--MA0731.1.BCL6B	chr7	64228657	64228673	+	0.000	0.000	Merged-chr7-64228536-6
NR35--MA0463.1.Bcl6	chr1	72212336	72212349	-	0.000	0.000	Merged-chr1-72212180-28
NR1790--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR858--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR721--MA0731.1.BCL6B	chr15	78896369	78896385	+	0.000	0.000	Merged-chr15-78896310-38
NR24--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR988--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR625--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1889--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1767--MA0731.1.BCL6B	chr7	25647999	25648015	-	0.000	0.000	Merged-chr7-25647877-43
NR321--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR1428--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1446--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR778--MA0463.1.Bcl6	chr16	55822246	55822259	-	0.000	0.000	Merged-chr16-55822144-53
NR333--MA0731.1.BCL6B	chr11	68768669	68768685	+	0.000	0.000	Merged-chr11-68768507-16
NR1464--MA0463.1.Bcl6	chr4	145250059	145250072	-	0.000	0.000	Merged-chr4-145250198-42
NR317--MA0463.1.Bcl6	chr11	54492681	54492694	-	0.000	0.000	Merged-chr11-54492562-47
NR1124--MA0463.1.Bcl6	chr2	122234452	122234465	+	0.000	0.000	Merged-chr2-122234275-1
NR1021--MA0463.1.Bcl6	chr2	9681864	9681877	+	0.000	0.000	Merged-chr2-9681902-51
NR353--MA0463.1.Bcl6	chr11	86586366	86586379	+	0.000	0.000	Merged-chr11-86586440-5
NR1254--MA0463.1.Bcl6	chr3	95697890	95697903	-	0.000	0.000	Merged-chr3-95697809-14
NR1921--MA0463.1.Bcl6	chr8	71537599	71537612	+	0.000	0.000	Merged-chr8-71537469-55
NR150--MA0731.1.BCL6B	chr1	180264979	180264995	+	0.000	0.000	Merged-chr1-180265063-87
NR1478--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR1908--MA0463.1.Bcl6	chr8	46753129	46753142	+	0.000	0.000	Merged-chr8-46753180-8
NR652--MA0731.1.BCL6B	chr14	103049139	103049155	+	0.000	0.000	Merged-chr14-103048950-60
NR718--MA0731.1.BCL6B	chr15	76196467	76196483	-	0.000	0.000	Merged-chr15-76196304-121
NR1062--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1589--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR251--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR1980--MA0463.1.Bcl6	chr8	126758037	126758050	+	0.000	0.000	Merged-chr8-126758131-44
NR712--MA0463.1.Bcl6	chr15	67031460	67031473	-	0.000	0.000	Merged-chr15-67031356-8
NR833--MA0463.1.Bcl6	chr17	29395512	29395525	+	0.000	0.000	Merged-chr17-29395437-29
NR1631--MA0463.1.Bcl6	chr6	31125737	31125750	+	0.000	0.000	Merged-chr6-31125664-26
NR851--MA0463.1.Bcl6	chr17	46163220	46163233	-	0.000	0.000	Merged-chr17-46163116-51
NR230--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR1976--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR847--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR753--MA0463.1.Bcl6	chr16	21531031	21531044	+	0.000	0.000	Merged-chr16-21531039-7
NR2115--MA0731.1.BCL6B	chrX	105710855	105710871	+	0.000	0.000	Merged-chrX-105710929-18
NR256--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR1305--MA0463.1.Bcl6	chr3	133544249	133544262	-	0.000	0.000	Merged-chr3-133544434-91
NR310--MA0463.1.Bcl6	chr11	46393592	46393605	+	0.000	0.000	Merged-chr11-46393520-11
NR2086--MA0463.1.Bcl6	chr9	116383778	116383791	-	0.000	0.000	Merged-chr9-116383833-1
NR269--MA0731.1.BCL6B	chr10	111925666	111925682	+	0.000	0.000	Merged-chr10-111925713-30
NR1681--MA0463.1.Bcl6	chr6	108296160	108296173	-	0.000	0.000	Merged-chr6-108296153-11
NR583--MA0731.1.BCL6B	chr13	115171992	115172008	-	0.000	0.000	Merged-chr13-115171911-31
NR306--MA0463.1.Bcl6	chr11	34833783	34833796	+	0.000	0.000	Merged-chr11-34833705-58
NR212--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR1691--MA0731.1.BCL6B	chr6	114916512	114916528	-	0.000	0.000	Merged-chr6-114916622-10
NR557--MA0463.1.Bcl6	chr13	99148491	99148504	+	0.000	0.000	Merged-chr13-99148566-18
NR1243--MA0463.1.Bcl6	chr3	84314662	84314675	-	0.000	0.000	Merged-chr3-84314739-19
NR989--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR463--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR1561--MA0731.1.BCL6B	chr5	115312892	115312908	+	0.000	0.000	Merged-chr5-115313005-7
NR2067--MA0731.1.BCL6B	chr9	105483328	105483344	-	0.000	0.000	Merged-chr9-105483179-11
