#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR8663--MA0117.2.Mafb	chr3	136959406	136959417	-	0.000	0.000	Merged-chr3-136959339-20
NR4940--MA0591.1.Bach1::Mafk	chr15	96953632	96953646	+	0.000	0.000	Merged-chr15-96953639-31
NR13756--MA0089.1.MAFG::NFE2L1	chrX	106136097	106136102	-	0.000	0.000	Merged-chrX-106135909-80
NR12304--MA0496.2.MAFK	chr7	143506794	143506812	-	0.000	0.000	Merged-chr7-143506795-17
NR8700--MA0591.1.Bach1::Mafk	chr3	142626065	142626079	-	0.000	0.000	Merged-chr3-142626110-5
NR454--MA0089.1.MAFG::NFE2L1	chr1	97650302	97650307	+	0.000	0.000	Merged-chr1-97650227-42
NR9475--MA0089.1.MAFG::NFE2L1	chr4	138247456	138247461	+	0.000	0.000	Merged-chr4-138247417-10
NR7011--MA0089.1.MAFG::NFE2L1	chr2	48315504	48315509	-	0.000	0.000	Merged-chr2-48315490-45
NR3939--MA0501.1.MAF::NFE2	chr13	112458786	112458800	+	0.000	0.000	Merged-chr13-112458738-9
NR12439--MA0495.2.MAFF	chr8	35608680	35608700	+	0.000	0.000	Merged-chr8-35608720-5
NR6964--MA0501.1.MAF::NFE2	chr2	34140011	34140025	+	0.000	0.000	Merged-chr2-34139840-30
NR669--MA0089.1.MAFG::NFE2L1	chr1	144275698	144275703	+	0.000	0.000	Merged-chr1-144275874-18
NR2476--MA0495.2.MAFF	chr11	115172976	115172996	+	0.000	0.000	Merged-chr11-115173098-6
NR6902--MA0496.2.MAFK	chr2	19628290	19628308	-	0.000	0.000	Merged-chr2-19628399-27
NR1837--MA0501.1.MAF::NFE2	chr10	121316217	121316231	-	0.000	0.000	Merged-chr10-121316401-59
NR8142--MA0089.1.MAFG::NFE2L1	chr3	37981917	37981922	+	0.000	0.000	Merged-chr3-37982009-31
NR5865--MA0501.1.MAF::NFE2	chr17	64751429	64751443	+	0.000	0.000	Merged-chr17-64751345-36
NR4774--MA0659.1.MAFG	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR12630--MA0501.1.MAF::NFE2	chr8	81867286	81867300	+	0.000	0.000	Merged-chr8-81867222-29
NR2453--MA0496.2.MAFK	chr11	112782136	112782154	-	0.000	0.000	Merged-chr11-112781983-1,Merged-chr11-112782319-1
NR2385--MA0591.1.Bach1::Mafk	chr11	101087323	101087337	+	0.000	0.000	Merged-chr11-101087263-56
NR11663--MA0591.1.Bach1::Mafk	chr7	29816019	29816033	-	0.000	0.000	Merged-chr7-29816029-62
NR12638--MA0089.1.MAFG::NFE2L1	chr8	84737906	84737911	+	0.000	0.000	Merged-chr8-84737825-38
NR2373--MA0495.2.MAFF	chr11	99244242	99244262	-	0.000	0.000	Merged-chr11-99244239-11
NR8100--MA0501.1.MAF::NFE2	chr3	28236949	28236963	-	0.000	0.000	Merged-chr3-28236857-20
NR3924--MA0501.1.MAF::NFE2	chr13	112318284	112318298	+	0.000	0.000	Merged-chr13-112318352-37
NR3875--MA0089.1.MAFG::NFE2L1	chr13	109776341	109776346	-	0.000	0.000	Merged-chr13-109776276-46
NR5509--MA0591.1.Bach1::Mafk	chr17	6861921	6861935	+	0.000	0.000	Merged-chr17-6861769-90
NR12682--MA0501.1.MAF::NFE2	chr8	90961834	90961848	-	0.000	0.000	Merged-chr8-90961787-20
NR4816--MA0089.1.MAFG::NFE2L1	chr15	73595571	73595576	-	0.000	0.000	Merged-chr15-73595462-42
NR6102--MA0591.1.Bach1::Mafk	chr18	10744230	10744244	+	0.000	0.000	Merged-chr18-10744169-16
NR9845--MA0496.2.MAFK	chr5	30000614	30000632	+	0.000	0.000	Merged-chr5-30000750-6
NR10580--MA0501.1.MAF::NFE2	chr6	3496435	3496449	+	0.000	0.000	Merged-chr6-3496456-14
NR7400--MA0089.1.MAFG::NFE2L1	chr2	117021988	117021993	-	0.000	0.000	Merged-chr2-117022022-6
NR4751--MA0501.1.MAF::NFE2	chr15	60141740	60141754	-	0.000	0.000	Merged-chr15-60141822-49
NR4701--MA0089.1.MAFG::NFE2L1	chr15	50652117	50652122	-	0.000	0.000	Merged-chr15-50651925-26
NR7030--MA0495.2.MAFF	chr2	52319424	52319444	-	0.000	0.000	Merged-chr2-52319482-58
NR12747--MA0501.1.MAF::NFE2	chr8	106687696	106687710	-	0.000	0.000	Merged-chr8-106687705-18
NR8979--MA0496.2.MAFK	chr4	33587739	33587757	+	0.000	0.000	Merged-chr4-33587729-131
NR5456--MA0089.1.MAFG::NFE2L1	chr16	95827629	95827634	+	0.000	0.000	Merged-chr16-95827524-61
NR5832--MA0089.1.MAFG::NFE2L1	chr17	56079565	56079570	-	0.000	0.000	Merged-chr17-56079386-89
NR10175--MA0089.1.MAFG::NFE2L1	chr5	100070460	100070465	+	0.000	0.000	Merged-chr5-100070344-29
NR5341--MA0089.1.MAFG::NFE2L1	chr16	77038108	77038113	-	0.000	0.000	Merged-chr16-77038211-5
NR11971--MA0089.1.MAFG::NFE2L1	chr7	101896630	101896635	-	0.000	0.000	Merged-chr7-101896554-69
NR10549--MA0501.1.MAF::NFE2	chr5	149525185	149525199	-	0.000	0.000	Merged-chr5-149525038-89
NR7853--MA0591.1.Bach1::Mafk	chr2	163838150	163838164	+	0.000	0.000	Merged-chr2-163838287-34
NR6038--MA0591.1.Bach1::Mafk	chr17	88112418	88112432	+	0.000	0.000	Merged-chr17-88112270-70
NR7745--MA0501.1.MAF::NFE2	chr2	152914601	152914615	+	0.000	0.000	Merged-chr2-152914724-49
NR2915--MA0495.2.MAFF	chr12	81845341	81845361	+	0.000	0.000	Merged-chr12-81845150-28
NR7938--MA0591.1.Bach1::Mafk	chr2	173048238	173048252	+	0.000	0.000	Merged-chr2-173048246-44
NR2706--MA0591.1.Bach1::Mafk	chr12	32292546	32292560	+	0.000	0.000	Merged-chr12-32292439-88
NR9299--MA0089.1.MAFG::NFE2L1	chr4	106938880	106938885	-	0.000	0.000	Merged-chr4-106939018-9
NR9681--MA0591.1.Bach1::Mafk	chr4	156255100	156255114	-	0.000	0.000	Merged-chr4-156255097-67
NR8631--MA0089.1.MAFG::NFE2L1	chr3	133563756	133563761	-	0.000	0.000	Merged-chr3-133563771-42
NR13659--MA0495.2.MAFF	chrX	57177427	57177447	-	0.000	0.000	Merged-chrX-57177488-49
NR11880--MA0591.1.Bach1::Mafk	chr7	80889940	80889954	-	0.000	0.000	Merged-chr7-80889840-60
NR2263--MA0117.2.Mafb	chr11	79520159	79520170	-	0.000	0.000	Merged-chr11-79520137-35
NR1288--MA0495.2.MAFF	chr10	26325616	26325636	+	0.000	0.000	Merged-chr10-26325461-56
NR8733--MA0501.1.MAF::NFE2	chr3	145951482	145951496	-	0.000	0.000	Merged-chr3-145951501-19
NR12132--MA0089.1.MAFG::NFE2L1	chr7	125594019	125594024	+	0.000	0.000	Merged-chr7-125593922-57
NR11830--MA0117.2.Mafb	chr7	73517596	73517607	-	0.000	0.000	Merged-chr7-73517689-25
NR987--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR13350--MA0495.2.MAFF	chr9	94696890	94696910	-	0.000	0.000	Merged-chr9-94696966-6
NR293--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR6963--MA0659.1.MAFG	chr2	34140005	34140025	-	0.000	0.000	Merged-chr2-34139840-30
NR12750--MA0591.1.Bach1::Mafk	chr8	107324383	107324397	+	0.000	0.000	Merged-chr8-107324257-32
NR7135--MA0117.2.Mafb	chr2	66101983	66101994	-	0.000	0.000	Merged-chr2-66101928-1
NR8471--MA0117.2.Mafb	chr3	105756155	105756166	+	0.000	0.000	Merged-chr3-105756050-3
NR3497--MA0501.1.MAF::NFE2	chr13	45623863	45623877	-	0.000	0.000	Merged-chr13-45624002-39
NR1709--MA0495.2.MAFF	chr10	98880174	98880194	+	0.000	0.000	Merged-chr10-98880383-54
NR12925--MA0089.1.MAFG::NFE2L1	chr8	128506104	128506109	-	0.000	0.000	Merged-chr8-128506100-25
NR403--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	-	0.000	0.000	Merged-chr1-92119439-48
NR2366--MA0089.1.MAFG::NFE2L1	chr11	97246738	97246743	-	0.000	0.000	Merged-chr11-97246717-13
NR10954--MA0501.1.MAF::NFE2	chr6	72552775	72552789	-	0.000	0.000	Merged-chr6-72552853-56
NR13580--MA0117.2.Mafb	chr9	123021076	123021087	-	0.000	0.000	Merged-chr9-123021299-81
NR12907--MA0659.1.MAFG	chr8	128148522	128148542	-	0.000	0.000	Merged-chr8-128148641-36
NR3539--MA0496.2.MAFK	chr13	51969841	51969859	+	0.000	0.000	Merged-chr13-51969748-1
NR8010--MA0117.2.Mafb	chr2	180300403	180300414	+	0.000	0.000	Merged-chr2-180300527-7
NR6447--MA0591.1.Bach1::Mafk	chr18	82492908	82492922	-	0.000	0.000	Merged-chr18-82492983-14
NR6167--MA0501.1.MAF::NFE2	chr18	35022052	35022066	-	0.000	0.000	Merged-chr18-35022074-15
NR713--MA0501.1.MAF::NFE2	chr1	153141068	153141082	-	0.000	0.000	Merged-chr1-153140977-54
NR13560--MA0496.2.MAFK	chr9	120960856	120960874	+	0.000	0.000	Merged-chr9-120960803-26
NR4612--MA0089.1.MAFG::NFE2L1	chr15	10723496	10723501	+	0.000	0.000	Merged-chr15-10723648-41
NR7153--MA0117.2.Mafb	chr2	69415269	69415280	-	0.000	0.000	Merged-chr2-69415236-25
NR12157--MA0501.1.MAF::NFE2	chr7	128382033	128382047	-	0.000	0.000	Merged-chr7-128382170-51
NR13556--MA0591.1.Bach1::Mafk	chr9	120960858	120960872	-	0.000	0.000	Merged-chr9-120960803-26
NR2917--MA0117.2.Mafb	chr12	81845341	81845352	+	0.000	0.000	Merged-chr12-81845150-28
NR6296--MA0117.2.Mafb	chr18	61626449	61626460	-	0.000	0.000	Merged-chr18-61626581-16
NR478--MA0089.1.MAFG::NFE2L1	chr1	106153205	106153210	-	0.000	0.000	Merged-chr1-106153126-17
NR6822--MA0496.2.MAFK	chr2	5840989	5841007	+	0.000	0.000	Merged-chr2-5840978-13
NR11846--MA0501.1.MAF::NFE2	chr7	75641364	75641378	-	0.000	0.000	Merged-chr7-75641429-31
NR1713--MA0496.2.MAFK	chr10	98880175	98880193	+	0.000	0.000	Merged-chr10-98880383-54
NR363--MA0089.1.MAFG::NFE2L1	chr1	88622659	88622664	-	0.000	0.000	Merged-chr1-88622560-34
NR2705--MA0495.2.MAFF	chr12	32292543	32292563	-	0.000	0.000	Merged-chr12-32292439-88
NR5148--MA0591.1.Bach1::Mafk	chr16	38403890	38403904	+	0.000	0.000	Merged-chr16-38403737-54
NR7155--MA0501.1.MAF::NFE2	chr2	69415266	69415280	+	0.000	0.000	Merged-chr2-69415236-25
NR4150--MA0591.1.Bach1::Mafk	chr14	46671309	46671323	+	0.000	0.000	Merged-chr14-46671310-13
NR2912--MA0501.1.MAF::NFE2	chr12	80937850	80937864	+	0.000	0.000	Merged-chr12-80937807-11
NR8102--MA0496.2.MAFK	chr3	28236950	28236968	-	0.000	0.000	Merged-chr3-28236857-20
NR12823--MA0089.1.MAFG::NFE2L1	chr8	117395282	117395287	-	0.000	0.000	Merged-chr8-117395323-13
NR13752--MA0089.1.MAFG::NFE2L1	chrX	104760581	104760586	+	0.000	0.000	Merged-chrX-104760741-26
NR177--MA0495.2.MAFF	chr1	52066889	52066909	-	0.000	0.000	Merged-chr1-52066714-41
NR2485--MA0496.2.MAFK	chr11	115172977	115172995	-	0.000	0.000	Merged-chr11-115173098-6
NR10040--MA0501.1.MAF::NFE2	chr5	75645423	75645437	+	0.000	0.000	Merged-chr5-75645576-13
NR5195--MA0496.2.MAFK	chr16	45310576	45310594	-	0.000	0.000	Merged-chr16-45310615-7
NR12834--MA0501.1.MAF::NFE2	chr8	120332945	120332959	-	0.000	0.000	Merged-chr8-120332869-43
NR1667--MA0591.1.Bach1::Mafk	chr10	94378532	94378546	+	0.000	0.000	Merged-chr10-94378414-58
NR5504--MA0496.2.MAFK	chr17	5802393	5802411	-	0.000	0.000	Merged-chr17-5802429-65
NR5178--MA0089.1.MAFG::NFE2L1	chr16	44737391	44737396	-	0.000	0.000	Merged-chr16-44737385-3
NR6974--MA0089.1.MAFG::NFE2L1	chr2	36136641	36136646	+	0.000	0.000	Merged-chr2-36136611-74
NR11620--MA0117.2.Mafb	chr7	19819198	19819209	-	0.000	0.000	Merged-chr7-19819165-4
NR9934--MA0501.1.MAF::NFE2	chr5	54045698	54045712	-	0.000	0.000	Merged-chr5-54045721-49
NR11639--MA0501.1.MAF::NFE2	chr7	24450797	24450811	+	0.000	0.000	Merged-chr7-24450719-31
NR8511--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR11090--MA0495.2.MAFF	chr6	99435314	99435334	+	0.000	0.000	Merged-chr6-99435291-39
NR12214--MA0591.1.Bach1::Mafk	chr7	133740765	133740779	+	0.000	0.000	Merged-chr7-133740776-40
NR8349--MA0495.2.MAFF	chr3	89727207	89727227	-	0.000	0.000	Merged-chr3-89727230-25
NR11829--MA0495.2.MAFF	chr7	73517587	73517607	-	0.000	0.000	Merged-chr7-73517689-25
NR11282--MA0496.2.MAFK	chr6	124683829	124683847	+	0.000	0.000	Merged-chr6-124683900-13
NR12283--MA0495.2.MAFF	chr7	140983129	140983149	-	0.000	0.000	Merged-chr7-140983161-18
NR8899--MA0496.2.MAFK	chr4	6446816	6446834	+	0.000	0.000	Merged-chr4-6446926-20
NR9397--MA0089.1.MAFG::NFE2L1	chr4	124928300	124928305	-	0.000	0.000	Merged-chr4-124928290-22
NR3907--MA0495.2.MAFF	chr13	111789487	111789507	-	0.000	0.000	Merged-chr13-111789412-2
NR12634--MA0089.1.MAFG::NFE2L1	chr8	83748743	83748748	+	0.000	0.000	Merged-chr8-83748656-80
NR11871--MA0659.1.MAFG	chr7	80209870	80209890	-	0.000	0.000	Merged-chr7-80209951-53
NR1522--MA0089.1.MAFG::NFE2L1	chr10	78092782	78092787	-	0.000	0.000	Merged-chr10-78092797-33
NR5323--MA0659.1.MAFG	chr16	75903184	75903204	+	0.000	0.000	Merged-chr16-75903251-33
NR6952--MA0496.2.MAFK	chr2	31082798	31082816	-	0.000	0.000	Merged-chr2-31082849-41
NR6106--MA0501.1.MAF::NFE2	chr18	10744227	10744241	-	0.000	0.000	Merged-chr18-10744169-16
NR10710--MA0591.1.Bach1::Mafk	chr6	41177385	41177399	-	0.000	0.000	Merged-chr6-41177322-23
NR2168--MA0495.2.MAFF	chr11	60935531	60935551	+	0.000	0.000	Merged-chr11-60935533-50
NR4955--MA0501.1.MAF::NFE2	chr15	97581874	97581888	-	0.000	0.000	Merged-chr15-97581834-38
NR748--MA0591.1.Bach1::Mafk	chr1	156474315	156474329	-	0.000	0.000	Merged-chr1-156474258-59
NR8099--MA0501.1.MAF::NFE2	chr3	28236955	28236969	+	0.000	0.000	Merged-chr3-28236857-20
NR7843--MA0659.1.MAFG	chr2	163155369	163155389	-	0.000	0.000	Merged-chr2-163155228-25
NR7771--MA0591.1.Bach1::Mafk	chr2	154732946	154732960	+	0.000	0.000	Merged-chr2-154732933-29
NR8064--MA0089.1.MAFG::NFE2L1	chr3	14959658	14959663	+	0.000	0.000	Merged-chr3-14959677-21
NR10199--MA0089.1.MAFG::NFE2L1	chr5	103356113	103356118	+	0.000	0.000	Merged-chr5-103356006-8
NR4688--MA0495.2.MAFF	chr15	41612498	41612518	-	0.000	0.000	Merged-chr15-41612397-47
NR12919--MA0495.2.MAFF	chr8	128333587	128333607	-	0.000	0.000	Merged-chr8-128333532-18
NR3582--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR3918--MA0659.1.MAFG	chr13	112287331	112287351	+	0.000	0.000	Merged-chr13-112287336-21
NR1658--MA0501.1.MAF::NFE2	chr10	93442283	93442297	-	0.000	0.000	Merged-chr10-93442339-20
NR2398--MA0117.2.Mafb	chr11	102930812	102930823	+	0.000	0.000	Merged-chr11-102930777-13
NR11632--MA0495.2.MAFF	chr7	24378152	24378172	+	0.000	0.000	Merged-chr7-24378380-41
NR8009--MA0495.2.MAFF	chr2	180300403	180300423	-	0.000	0.000	Merged-chr2-180300527-7
NR3797--MA0089.1.MAFG::NFE2L1	chr13	102578861	102578866	+	0.000	0.000	Merged-chr13-102578667-1
NR3925--MA0495.2.MAFF	chr13	112385233	112385253	+	0.000	0.000	Merged-chr13-112385232-32
NR2753--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR6150--MA0591.1.Bach1::Mafk	chr18	31759787	31759801	-	0.000	0.000	Merged-chr18-31760012-102
NR12429--MA0591.1.Bach1::Mafk	chr8	34208226	34208240	+	0.000	0.000	Merged-chr8-34208072-51
NR8051--MA0659.1.MAFG	chr3	9802432	9802452	-	0.000	0.000	Merged-chr3-9802270-83
NR10171--MA0089.1.MAFG::NFE2L1	chr5	98186477	98186482	+	0.000	0.000	Merged-chr5-98186387-9
NR12647--MA0089.1.MAFG::NFE2L1	chr8	86484982	86484987	-	0.000	0.000	Merged-chr8-86484982-16
NR4247--MA0089.1.MAFG::NFE2L1	chr14	62008797	62008802	-	0.000	0.000	Merged-chr14-62008910-32
NR7322--MA0089.1.MAFG::NFE2L1	chr2	102701607	102701612	-	0.000	0.000	Merged-chr2-102701497-15
NR5896--MA0117.2.Mafb	chr17	70728885	70728896	-	0.000	0.000	Merged-chr17-70729015-28
NR8465--MA0496.2.MAFK	chr3	104616228	104616246	+	0.000	0.000	Merged-chr3-104616358-38
NR13085--MA0089.1.MAFG::NFE2L1	chr9	50852635	50852640	-	0.000	0.000	Merged-chr9-50852835-21
NR10414--MA0501.1.MAF::NFE2	chr5	135713607	135713621	+	0.000	0.000	Merged-chr5-135713648-47
NR11643--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR6608--MA0089.1.MAFG::NFE2L1	chr19	21865258	21865263	+	0.000	0.000	Merged-chr19-21865390-5
NR3909--MA0089.1.MAFG::NFE2L1	chr13	112002796	112002801	-	0.000	0.000	Merged-chr13-112002975-20
NR12753--MA0591.1.Bach1::Mafk	chr8	107504405	107504419	+	0.000	0.000	Merged-chr8-107504298-30
NR3721--MA0659.1.MAFG	chr13	96697952	96697972	-	0.000	0.000	Merged-chr13-96698036-39
NR634--MA0495.2.MAFF	chr1	139179867	139179887	-	0.000	0.000	Merged-chr1-139179878-22
NR6514--MA0591.1.Bach1::Mafk	chr19	8741418	8741432	+	0.000	0.000	Merged-chr19-8741587-61
NR12949--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR160--MA0501.1.MAF::NFE2	chr1	43168787	43168801	+	0.000	0.000	Merged-chr1-43168933-57
NR3129--MA0089.1.MAFG::NFE2L1	chr12	107051454	107051459	+	0.000	0.000	Merged-chr12-107051429-24
NR7837--MA0495.2.MAFF	chr2	163155369	163155389	+	0.000	0.000	Merged-chr2-163155228-25
NR6204--MA0089.1.MAFG::NFE2L1	chr18	39835788	39835793	+	0.000	0.000	Merged-chr18-39835954-30
NR2766--MA0089.1.MAFG::NFE2L1	chr12	40010030	40010035	+	0.000	0.000	Merged-chr12-40010101-23
NR3505--MA0089.1.MAFG::NFE2L1	chr13	45867530	45867535	+	0.000	0.000	Merged-chr13-45867539-21
