#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR55--MA0508.2.PRDM1	chr1	84817866	84817875	+	0.000	0.000	Merged-chr1-84817778-11
NR385--MA0508.2.PRDM1	chr11	79076583	79076592	+	0.000	0.000	Merged-chr11-79076715-52
NR1275--MA0508.2.PRDM1	chr2	170024985	170024994	+	0.000	0.000	Merged-chr2-170025063-12
NR2191--MA0508.2.PRDM1	chrX	167231346	167231355	+	0.000	0.000	Merged-chrX-167231316-28
NR887--MA0508.2.PRDM1	chr16	65533672	65533681	-	0.000	0.000	Merged-chr16-65533669-35
NR853--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR2183--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR866--MA0508.2.PRDM1	chr16	37094286	37094295	-	0.000	0.000	Merged-chr16-37094405-73
NR2040--MA0508.2.PRDM1	chr8	123162984	123162993	+	0.000	0.000	Merged-chr8-123163099-40
NR452--MA0508.2.PRDM1	chr12	32635529	32635538	+	0.000	0.000	Merged-chr12-32635321-24
NR723--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR879--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR465--MA0508.2.PRDM1	chr12	61994427	61994436	-	0.000	0.000	Merged-chr12-61994556-31
NR988--MA0508.2.PRDM1	chr17	84944592	84944601	+	0.000	0.000	Merged-chr17-84944510-25
NR1007--MA0508.2.PRDM1	chr18	23773231	23773240	-	0.000	0.000	Merged-chr18-23773308-23
NR2162--MA0508.2.PRDM1	chrX	70385620	70385629	+	0.000	0.000	Merged-chrX-70385731-95
NR574--MA0508.2.PRDM1	chr13	23761507	23761516	-	0.000	0.000	Merged-chr13-23761314-21
NR369--MA0508.2.PRDM1	chr11	69920051	69920060	-	0.000	0.000	Merged-chr11-69919909-46
NR160--MA0508.2.PRDM1	chr1	176996870	176996879	+	0.000	0.000	Merged-chr1-176997002-19
NR1831--MA0508.2.PRDM1	chr7	31161098	31161107	-	0.000	0.000	Merged-chr7-31161172-57
NR749--MA0508.2.PRDM1	chr14	87348985	87348994	-	0.000	0.000	Merged-chr14-87349015-16
NR335--MA0508.2.PRDM1	chr11	11498141	11498150	+	0.000	0.000	Merged-chr11-11498094-24
NR967--MA0508.2.PRDM1	chr17	65604619	65604628	+	0.000	0.000	Merged-chr17-65604481-30
NR619--MA0508.2.PRDM1	chr13	74861745	74861754	-	0.000	0.000	Merged-chr13-74861692-20
NR205--MA0508.2.PRDM1	chr10	12874951	12874960	-	0.000	0.000	Merged-chr10-12875013-52
NR186--MA0508.2.PRDM1	chr1	191111425	191111434	-	0.000	0.000	Merged-chr1-191111364-43
NR314--MA0508.2.PRDM1	chr10	118507646	118507655	+	0.000	0.000	Merged-chr10-118507756-30
NR2154--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR152--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR423--MA0508.2.PRDM1	chr11	116398139	116398148	+	0.000	0.000	Merged-chr11-116398180-34
NR1108--MA0508.2.PRDM1	chr19	58096025	58096034	+	0.000	0.000	Merged-chr19-58095870-50
NR199--MA0508.2.PRDM1	chr10	7847548	7847557	-	0.000	0.000	Merged-chr10-7847400-11
NR2167--MA0508.2.PRDM1	chrX	98259641	98259650	-	0.000	0.000	Merged-chrX-98259743-49
NR165--MA0508.2.PRDM1	chr1	179130277	179130286	+	0.000	0.000	Merged-chr1-179130359-23
NR436--MA0508.2.PRDM1	chr12	8660050	8660059	-	0.000	0.000	Merged-chr12-8659979-34
NR688--MA0508.2.PRDM1	chr14	26858424	26858433	+	0.000	0.000	Merged-chr14-26858524-14
NR1531--MA0508.2.PRDM1	chr4	136007113	136007122	+	0.000	0.000	Merged-chr4-136007062-25
NR1783--MA0508.2.PRDM1	chr6	134981306	134981315	-	0.000	0.000	Merged-chr6-134981456-22
NR287--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR415--MA0508.2.PRDM1	chr11	106167712	106167721	+	0.000	0.000	Merged-chr11-106167556-51
NR2112--MA0508.2.PRDM1	chr9	84970182	84970191	-	0.000	0.000	Merged-chr9-84970224-28
NR253--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR2093--MA0508.2.PRDM1	chr9	64831979	64831988	-	0.000	0.000	Merged-chr9-64831906-29
NR2016--MA0508.2.PRDM1	chr8	86642144	86642153	+	0.000	0.000	Merged-chr8-86642161-12
NR428--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1491--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR2125--MA0508.2.PRDM1	chr9	102587665	102587674	+	0.000	0.000	Merged-chr9-102587549-11
NR1871--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR1980--MA0508.2.PRDM1	chr8	33892341	33892350	-	0.000	0.000	Merged-chr8-33892285-10
NR1632--MA0508.2.PRDM1	chr5	114824207	114824216	+	0.000	0.000	Merged-chr5-114824362-38
NR2138--MA0508.2.PRDM1	chr9	114794612	114794621	+	0.000	0.000	Merged-chr9-114794637-24
NR407--MA0508.2.PRDM1	chr11	100555826	100555835	+	0.000	0.000	Merged-chr11-100555804-21
NR1340--MA0508.2.PRDM1	chr3	89338091	89338100	+	0.000	0.000	Merged-chr3-89337908-44
NR258--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR2098--MA0508.2.PRDM1	chr9	73163186	73163195	-	0.000	0.000	Merged-chr9-73163191-23
NR1720--MA0508.2.PRDM1	chr6	82921955	82921964	-	0.000	0.000	Merged-chr6-82922037-57
NR367--MA0508.2.PRDM1	chr11	69326100	69326109	-	0.000	0.000	Merged-chr11-69326179-56
NR2064--MA0508.2.PRDM1	chr9	32759574	32759583	+	0.000	0.000	Merged-chr9-32759617-51
NR1191--MA0508.2.PRDM1	chr2	90579573	90579582	+	0.000	0.000	Merged-chr2-90579647-1
NR1985--MA0508.2.PRDM1	chr8	36019746	36019755	-	0.000	0.000	Merged-chr8-36019786-19
NR489--MA0508.2.PRDM1	chr12	80131632	80131641	+	0.000	0.000	Merged-chr12-80131386-94
NR598--MA0508.2.PRDM1	chr13	52071168	52071177	-	0.000	0.000	Merged-chr13-52071199-1
NR1332--MA0508.2.PRDM1	chr3	81761175	81761184	+	0.000	0.000	Merged-chr3-81761081-32
NR1693--MA0508.2.PRDM1	chr6	41200107	41200116	+	0.000	0.000	Merged-chr6-41200274-23
NR216--MA0508.2.PRDM1	chr10	21222943	21222952	-	0.000	0.000	Merged-chr10-21222869-17
NR2056--MA0508.2.PRDM1	chr9	13425372	13425381	-	0.000	0.000	Merged-chr9-13425435-23
NR1868--MA0508.2.PRDM1	chr7	80179984	80179993	+	0.000	0.000	Merged-chr7-80180023-20
NR1311--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR1800--MA0508.2.PRDM1	chr6	145616540	145616549	-	0.000	0.000	Merged-chr6-145616643-48
NR1324--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR2144--MA0508.2.PRDM1	chr9	118731049	118731058	-	0.000	0.000	Merged-chr9-118731153-14
NR1890--MA0508.2.PRDM1	chr7	98103403	98103412	+	0.000	0.000	Merged-chr7-98103355-56
NR1685--MA0508.2.PRDM1	chr6	30592156	30592165	+	0.000	0.000	Merged-chr6-30592201-27
NR1271--MA0508.2.PRDM1	chr2	167589433	167589442	-	0.000	0.000	Merged-chr2-167589263-66
NR1794--MA0508.2.PRDM1	chr6	143067038	143067047	-	0.000	0.000	Merged-chr6-143067094-13
NR1922--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR1446--MA0508.2.PRDM1	chr4	15958522	15958531	-	0.000	0.000	Merged-chr4-15958337-98
NR1717--MA0508.2.PRDM1	chr6	72982080	72982089	+	0.000	0.000	Merged-chr6-72982109-28
NR1698--MA0508.2.PRDM1	chr6	51280326	51280335	+	0.000	0.000	Merged-chr6-51280406-9
NR1141--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR1316--MA0508.2.PRDM1	chr3	55148261	55148270	+	0.000	0.000	Merged-chr3-55148497-8
NR1154--MA0508.2.PRDM1	chr2	48322220	48322229	+	0.000	0.000	Merged-chr2-48322438-54
NR1011--MA0508.2.PRDM1	chr18	32560091	32560100	+	0.000	0.000	Merged-chr18-32559945-41
NR2149--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR1752--MA0508.2.PRDM1	chr6	117677442	117677451	+	0.000	0.000	Merged-chr6-117677288-17
NR1927--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR1765--MA0508.2.PRDM1	chr6	125484187	125484196	-	0.000	0.000	Merged-chr6-125484183-4
NR1146--MA0508.2.PRDM1	chr2	35233009	35233018	-	0.000	0.000	Merged-chr2-35233017-25
NR1417--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR984--MA0508.2.PRDM1	chr17	83633001	83633010	+	0.000	0.000	Merged-chr17-83632909-17
NR1003--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1669--MA0508.2.PRDM1	chr5	150262690	150262699	+	0.000	0.000	Merged-chr5-150262822-29
NR35--MA0508.2.PRDM1	chr1	66279478	66279487	+	0.000	0.000	Merged-chr1-66279555-43
NR1112--MA0508.2.PRDM1	chr19	59930102	59930111	+	0.000	0.000	Merged-chr19-59930047-24
NR1093--MA0508.2.PRDM1	chr19	41365687	41365696	-	0.000	0.000	Merged-chr19-41365730-30
NR602--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR1221--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1473--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1539--MA0508.2.PRDM1	chr4	143190833	143190842	+	0.000	0.000	Merged-chr4-143190909-19
NR440--MA0508.2.PRDM1	chr12	12275397	12275406	-	0.000	0.000	Merged-chr12-12275545-18
NR963--MA0508.2.PRDM1	chr17	50580460	50580469	-	0.000	0.000	Merged-chr17-50580565-35
NR1582--MA0508.2.PRDM1	chr5	41768503	41768512	+	0.000	0.000	Merged-chr5-41768605-34
NR1377--MA0508.2.PRDM1	chr3	115584779	115584788	+	0.000	0.000	Merged-chr3-115584831-13
NR2088--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1757--MA0508.2.PRDM1	chr6	120124993	120125002	+	0.000	0.000	Merged-chr6-120124865-39
NR724--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR310--MA0508.2.PRDM1	chr10	117393427	117393436	-	0.000	0.000	Merged-chr10-117393432-68
NR27--MA0508.2.PRDM1	chr1	58713271	58713280	+	0.000	0.000	Merged-chr1-58713281-1
NR562--MA0508.2.PRDM1	chr13	6633782	6633791	-	0.000	0.000	Merged-chr13-6633671-76
NR1181--MA0508.2.PRDM1	chr2	75892195	75892204	-	0.000	0.000	Merged-chr2-75892268-38
NR1518--MA0508.2.PRDM1	chr4	120053121	120053130	+	0.000	0.000	Merged-chr4-120053225-2
NR1104--MA0508.2.PRDM1	chr19	56685687	56685696	+	0.000	0.000	Merged-chr19-56685748-31
NR432--MA0508.2.PRDM1	chr12	4918240	4918249	-	0.000	0.000	Merged-chr12-4918314-6
NR703--MA0508.2.PRDM1	chr14	43925370	43925379	+	0.000	0.000	Merged-chr14-43925389-59
NR1322--MA0508.2.PRDM1	chr3	64205380	64205389	+	0.000	0.000	Merged-chr3-64205377-25
NR1117--MA0508.2.PRDM1	chr2	5642776	5642785	-	0.000	0.000	Merged-chr2-5642867-48
NR270--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR1160--MA0508.2.PRDM1	chr2	53088983	53088992	-	0.000	0.000	Merged-chr2-53088913-36
NR1335--MA0508.2.PRDM1	chr3	84570664	84570673	-	0.000	0.000	Merged-chr3-84570776-21
NR96--MA0508.2.PRDM1	chr1	130999816	130999825	+	0.000	0.000	Merged-chr1-130999778-14
NR1173--MA0508.2.PRDM1	chr2	68364638	68364647	+	0.000	0.000	Merged-chr2-68364639-40
NR140--MA0508.2.PRDM1	chr1	167212486	167212495	-	0.000	0.000	Merged-chr1-167212500-30
NR411--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR392--MA0508.2.PRDM1	chr11	86430582	86430591	+	0.000	0.000	Merged-chr11-86430506-15
NR663--MA0508.2.PRDM1	chr13	115131546	115131555	+	0.000	0.000	Merged-chr13-115131589-24
NR934--MA0508.2.PRDM1	chr17	29552540	29552549	+	0.000	0.000	Merged-chr17-29552502-38
NR1077--MA0508.2.PRDM1	chr19	27124260	27124269	-	0.000	0.000	Merged-chr19-27124375-9
NR1457--MA0508.2.PRDM1	chr4	44065641	44065650	+	0.000	0.000	Merged-chr4-44065712-54
NR1837--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR785--MA0508.2.PRDM1	chr15	53724376	53724385	+	0.000	0.000	Merged-chr15-53724398-47
NR1675--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR817--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR1707--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR1959--MA0508.2.PRDM1	chr8	3631199	3631208	-	0.000	0.000	Merged-chr8-3631064-68
NR384--MA0508.2.PRDM1	chr11	78301612	78301621	-	0.000	0.000	Merged-chr11-78301552-46
NR926--MA0508.2.PRDM1	chr17	21579695	21579704	-	0.000	0.000	Merged-chr17-21579709-31
NR350--MA0508.2.PRDM1	chr11	32000073	32000082	+	0.000	0.000	Merged-chr11-32000120-91
NR1035--MA0508.2.PRDM1	chr18	61479915	61479924	+	0.000	0.000	Merged-chr18-61480035-15
NR1306--MA0508.2.PRDM1	chr3	37175263	37175272	+	0.000	0.000	Merged-chr3-37175214-1
NR2190--MA0508.2.PRDM1	chrX	166304565	166304574	+	0.000	0.000	Merged-chrX-166304686-40
NR939--MA0508.2.PRDM1	chr17	31386246	31386255	-	0.000	0.000	Merged-chr17-31386288-8
NR8--MA0508.2.PRDM1	chr1	21830030	21830039	-	0.000	0.000	Merged-chr1-21830153-46
NR254--MA0508.2.PRDM1	chr10	67698037	67698046	-	0.000	0.000	Merged-chr10-67697981-39
NR1001--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR1319--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR220--MA0508.2.PRDM1	chr10	24292778	24292787	+	0.000	0.000	Merged-chr10-24292766-57
NR2060--MA0508.2.PRDM1	chr9	15060194	15060203	-	0.000	0.000	Merged-chr9-15060271-40
NR1537--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR233--MA0508.2.PRDM1	chr10	42897741	42897750	+	0.000	0.000	Merged-chr10-42897771-65
NR1123--MA0508.2.PRDM1	chr2	9872919	9872928	+	0.000	0.000	Merged-chr2-9872839-11
NR690--MA0508.2.PRDM1	chr14	27376198	27376207	-	0.000	0.000	Merged-chr14-27376322-41
NR451--MA0508.2.PRDM1	chr12	32635131	32635140	-	0.000	0.000	Merged-chr12-32634992-1
NR103--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR1388--MA0508.2.PRDM1	chr3	126650982	126650991	+	0.000	0.000	Merged-chr3-126650760-81
NR1497--MA0508.2.PRDM1	chr4	89524847	89524856	-	0.000	0.000	Merged-chr4-89524865-47
NR464--MA0508.2.PRDM1	chr12	59206840	59206849	+	0.000	0.000	Merged-chr12-59206918-90
NR1083--MA0508.2.PRDM1	chr19	32999028	32999037	+	0.000	0.000	Merged-chr19-32999080-29
NR987--MA0508.2.PRDM1	chr17	84944403	84944412	-	0.000	0.000	Merged-chr17-84944510-25
NR1258--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR1529--MA0508.2.PRDM1	chr4	134058418	134058427	-	0.000	0.000	Merged-chr4-134058654-63
NR748--MA0508.2.PRDM1	chr14	87079923	87079932	+	0.000	0.000	Merged-chr14-87079950-39
NR334--MA0508.2.PRDM1	chr11	6267807	6267816	+	0.000	0.000	Merged-chr11-6267788-45
NR605--MA0508.2.PRDM1	chr13	61788299	61788308	+	0.000	0.000	Merged-chr13-61788395-14
NR586--MA0508.2.PRDM1	chr13	37633208	37633217	-	0.000	0.000	Merged-chr13-37633223-3
NR2031--MA0508.2.PRDM1	chr8	115496169	115496178	+	0.000	0.000	Merged-chr8-115496222-29
NR172--MA0508.2.PRDM1	chr1	184014218	184014227	+	0.000	0.000	Merged-chr1-184014303-22
NR17--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR618--MA0508.2.PRDM1	chr13	74639845	74639854	+	0.000	0.000	Merged-chr13-74639723-103
NR1489--MA0508.2.PRDM1	chr4	86722002	86722011	-	0.000	0.000	Merged-chr4-86721990-52
NR1075--MA0508.2.PRDM1	chr19	25056156	25056165	-	0.000	0.000	Merged-chr19-25056081-49
NR565--MA0508.2.PRDM1	chr13	10244529	10244538	+	0.000	0.000	Merged-chr13-10244552-9
NR836--MA0508.2.PRDM1	chr16	10665316	10665325	-	0.000	0.000	Merged-chr16-10665545-75
NR260--MA0508.2.PRDM1	chr10	77515728	77515737	+	0.000	0.000	Merged-chr10-77515813-50
NR849--MA0508.2.PRDM1	chr16	24735930	24735939	+	0.000	0.000	Merged-chr16-24736077-7
NR164--MA0508.2.PRDM1	chr1	179130250	179130259	+	0.000	0.000	Merged-chr1-179130359-23
NR435--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR719--MA0508.2.PRDM1	chr14	55644464	55644473	+	0.000	0.000	Merged-chr14-55644519-17
NR1067--MA0508.2.PRDM1	chr19	5467253	5467262	-	0.000	0.000	Merged-chr19-5467382-16
NR2145--MA0508.2.PRDM1	chr9	120340031	120340040	+	0.000	0.000	Merged-chr9-120340117-48
NR299--MA0508.2.PRDM1	chr10	108446434	108446443	-	0.000	0.000	Merged-chr10-108446364-45
NR361--MA0508.2.PRDM1	chr11	58189826	58189835	+	0.000	0.000	Merged-chr11-58189839-18
NR679--MA0508.2.PRDM1	chr14	10146471	10146480	+	0.000	0.000	Merged-chr14-10146570-14
NR122--MA0508.2.PRDM1	chr1	156913219	156913228	-	0.000	0.000	Merged-chr1-156913345-17
NR916--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR169--MA0508.2.PRDM1	chr1	182100571	182100580	+	0.000	0.000	Merged-chr1-182100503-13
NR483--MA0508.2.PRDM1	chr12	76753049	76753058	+	0.000	0.000	Merged-chr12-76753055-50
NR929--MA0508.2.PRDM1	chr17	24063689	24063698	-	0.000	0.000	Merged-chr17-24063697-12
NR2084--MA0508.2.PRDM1	chr9	57831509	57831518	+	0.000	0.000	Merged-chr9-57831644-49
NR419--MA0508.2.PRDM1	chr11	108088210	108088219	-	0.000	0.000	Merged-chr11-108088190-36
NR528--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR366--MA0508.2.PRDM1	chr11	68270897	68270906	+	0.000	0.000	Merged-chr11-68271044-32
NR236--MA0508.2.PRDM1	chr10	45001162	45001171	+	0.000	0.000	Merged-chr10-45001177-45
NR1570--MA0508.2.PRDM1	chr5	22536470	22536479	+	0.000	0.000	Merged-chr5-22536690-14
NR2076--MA0508.2.PRDM1	chr9	44966931	44966940	+	0.000	0.000	Merged-chr9-44966981-16
NR1950--MA0508.2.PRDM1	chr7	141579044	141579053	-	0.000	0.000	Merged-chr7-141579078-48
NR2185--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR249--MA0508.2.PRDM1	chr10	62508046	62508055	+	0.000	0.000	Merged-chr10-62508148-1
NR1854--MA0508.2.PRDM1	chr7	64090106	64090115	+	0.000	0.000	Merged-chr7-64090173-26
NR1963--MA0508.2.PRDM1	chr8	8334599	8334608	-	0.000	0.000	Merged-chr8-8334812-71
NR215--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR337--MA0508.2.PRDM1	chr11	11498187	11498196	+	0.000	0.000	Merged-chr11-11498094-24
NR2143--MA0508.2.PRDM1	chr9	118196916	118196925	-	0.000	0.000	Merged-chr9-118196833-13
NR1541--MA0508.2.PRDM1	chr4	145263865	145263874	-	0.000	0.000	Merged-chr4-145263821-10
NR1650--MA0508.2.PRDM1	chr5	134370949	134370958	+	0.000	0.000	Merged-chr5-134370965-15
NR1968--MA0508.2.PRDM1	chr8	13992655	13992664	+	0.000	0.000	Merged-chr8-13992764-55
NR2013--MA0508.2.PRDM1	chr8	85036095	85036104	-	0.000	0.000	Merged-chr8-85036008-3
NR1663--MA0508.2.PRDM1	chr5	148903637	148903646	+	0.000	0.000	Merged-chr5-148903803-10
NR167--MA0508.2.PRDM1	chr1	180766682	180766691	+	0.000	0.000	Merged-chr1-180766596-26
NR1838--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR276--MA0508.2.PRDM1	chr10	93419617	93419626	+	0.000	0.000	Merged-chr10-93419744-14
NR1262--MA0508.2.PRDM1	chr2	152332546	152332555	+	0.000	0.000	Merged-chr2-152332475-59
NR308--MA0508.2.PRDM1	chr10	111912369	111912378	+	0.000	0.000	Merged-chr10-111912286-27
NR1708--MA0508.2.PRDM1	chr6	66472924	66472933	+	0.000	0.000	Merged-chr6-66473070-26
NR1894--MA0508.2.PRDM1	chr7	104241587	104241596	+	0.000	0.000	Merged-chr7-104241566-11
NR1132--MA0508.2.PRDM1	chr2	26640299	26640308	+	0.000	0.000	Merged-chr2-26640192-42
NR1384--MA0508.2.PRDM1	chr3	122202566	122202575	+	0.000	0.000	Merged-chr3-122202498-54
NR1655--MA0508.2.PRDM1	chr5	140847300	140847309	+	0.000	0.000	Merged-chr5-140847444-22
NR1493--MA0508.2.PRDM1	chr4	87987166	87987175	-	0.000	0.000	Merged-chr4-87987202-14
NR1764--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR2127--MA0508.2.PRDM1	chr9	105395183	105395192	+	0.000	0.000	Merged-chr9-105395355-56
NR1668--MA0508.2.PRDM1	chr5	150232765	150232774	-	0.000	0.000	Merged-chr5-150232910-1
NR840--MA0508.2.PRDM1	chr16	11077748	11077757	+	0.000	0.000	Merged-chr16-11077800-31
NR1342--MA0508.2.PRDM1	chr3	89961607	89961616	+	0.000	0.000	Merged-chr3-89961609-14
NR1613--MA0508.2.PRDM1	chr5	96254264	96254273	-	0.000	0.000	Merged-chr5-96254113-8
