#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR7088--MA0684.1.RUNX3	chr4	137854093	137854102	+	0.000	0.000	Merged-chr4-137854061-36
NR9367--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR5679--MA0684.1.RUNX3	chr2	136987996	136988005	-	0.000	0.000	Merged-chr2-136988057-20
NR9323--MA0511.2.RUNX2	chr8	86856476	86856484	+	0.000	0.000	Merged-chr8-86856376-59
NR1382--MA0684.1.RUNX3	chr10	118407016	118407025	+	0.000	0.000	Merged-chr10-118407091-36
NR9989--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
NR5407--MA0002.2.RUNX1	chr2	69002507	69002517	+	0.000	0.000	Merged-chr2-69002641-39
NR1448--MA0684.1.RUNX3	chr10	127231156	127231165	+	0.000	0.000	Merged-chr10-127231137-38
NR8149--MA0511.2.RUNX2	chr6	97447186	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR3207--MA0511.2.RUNX2	chr14	79115160	79115168	-	0.000	0.000	Merged-chr14-79115074-10
NR1256--MA0511.2.RUNX2	chr10	93171415	93171423	+	0.000	0.000	Merged-chr10-93171456-51
NR7068--MA0002.2.RUNX1	chr4	134787144	134787154	+	0.000	0.000	Merged-chr4-134787167-34
NR5659--MA0002.2.RUNX1	chr2	132643377	132643387	+	0.000	0.000	Merged-chr2-132643452-47
NR8970--MA0002.2.RUNX1	chr7	125597221	125597231	+	0.000	0.000	Merged-chr7-125597306-20
NR472--MA0002.2.RUNX1	chr1	132264780	132264790	-	0.000	0.000	Merged-chr1-132264829-22
NR1305--MA0684.1.RUNX3	chr10	98494580	98494589	+	0.000	0.000	Merged-chr10-98494547-28
NR3108--MA0002.2.RUNX1	chr14	61698837	61698847	+	0.000	0.000	Merged-chr14-61698789-31
NR4411--MA0684.1.RUNX3	chr17	73815028	73815037	-	0.000	0.000	Merged-chr17-73814943-62
NR5139--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR3188--MA0511.2.RUNX2	chr14	76569400	76569408	+	0.000	0.000	Merged-chr14-76569463-39
NR7739--MA0684.1.RUNX3	chr5	134350926	134350935	+	0.000	0.000	Merged-chr5-134350841-34
NR938--MA0684.1.RUNX3	chr10	21504626	21504635	+	0.000	0.000	Merged-chr10-21504659-28
NR9876--MA0684.1.RUNX3	chr9	96583332	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR2983--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR2440--MA0002.2.RUNX1	chr13	10019378	10019388	-	0.000	0.000	Merged-chr13-10019536-22
NR10113--MA0511.2.RUNX2	chrX	52760335	52760343	+	0.000	0.000	Merged-chrX-52760494-47
NR5182--MA0511.2.RUNX2	chr2	9689687	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR1266--MA0002.2.RUNX1	chr10	93615093	93615103	+	0.000	0.000	Merged-chr10-93614959-29
NR10014--MA0002.2.RUNX1	chr9	119744240	119744250	+	0.000	0.000	Merged-chr9-119744132-67
NR776--MA0684.1.RUNX3	chr1	184576648	184576657	+	0.000	0.000	Merged-chr1-184576440-44
NR8460--MA0002.2.RUNX1	chr6	144961868	144961878	+	0.000	0.000	Merged-chr6-144962023-22
NR3198--MA0002.2.RUNX1	chr14	78458864	78458874	-	0.000	0.000	Merged-chr14-78458975-97
NR899--MA0002.2.RUNX1	chr10	12985165	12985175	+	0.000	0.000	Merged-chr10-12985296-24
NR49--MA0511.2.RUNX2	chr1	20740683	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR5976--MA0511.2.RUNX2	chr3	28244428	28244436	-	0.000	0.000	Merged-chr3-28244555-21
NR7434--MA0684.1.RUNX3	chr5	74126466	74126475	+	0.000	0.000	Merged-chr5-74126578-67
NR7705--MA0684.1.RUNX3	chr5	124446588	124446597	-	0.000	0.000	Merged-chr5-124446724-12
NR855--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9508--MA0002.2.RUNX1	chr8	128572371	128572381	+	0.000	0.000	Merged-chr8-128572314-34
NR10222--MA0511.2.RUNX2	chrX	142792339	142792347	-	0.000	0.000	Merged-chrX-142792362-24
NR7286--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR5278--MA0684.1.RUNX3	chr2	30897091	30897100	+	0.000	0.000	Merged-chr2-30897276-26
NR7557--MA0002.2.RUNX1	chr5	105614829	105614839	+	0.000	0.000	Merged-chr5-105614954-45
NR3598--MA0684.1.RUNX3	chr15	82111958	82111967	-	0.000	0.000	Merged-chr15-82112003-17
NR3203--MA0684.1.RUNX3	chr14	78692183	78692192	-	0.000	0.000	Merged-chr14-78692214-30
