#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR14429--MA0741.1.KLF16	chr12	69539531	69539541	-	0.000	0.000	Merged-chr12-69539558-45
NR35554--MA0741.1.KLF16	chr2	17703232	17703242	+	0.000	0.000	Merged-chr2-17703026-82
NR15271--MA0039.3.KLF4	chr12	100856454	100856464	+	0.000	0.000	Merged-chr12-100856491-28
NR37100--MA0742.1.Klf12	chr2	69713289	69713303	+	0.000	0.000	Merged-chr2-69713363-57
NR36637--MA1107.1.KLF9	chr2	51223806	51223818	+	0.000	0.000	Merged-chr2-51223946-1
NR30017--MA0657.1.KLF13	chr17	56357744	56357761	+	0.000	0.000	Merged-chr17-56357646-33
NR33003--MA0741.1.KLF16	chr18	67768649	67768659	-	0.000	0.000	Merged-chr18-67768535-29
NR41232--MA0493.1.Klf1	chr3	35723792	35723802	+	0.000	0.000	Merged-chr3-35723760-11
NR10495--MA0740.1.KLF14	chr11	49083338	49083351	+	0.000	0.000	Merged-chr11-49083360-4
NR20645--MA1107.1.KLF9	chr14	47546048	47546060	+	0.000	0.000	Merged-chr14-47545973-9
NR48479--MA0742.1.Klf12	chr4	136206248	136206262	-	0.000	0.000	Merged-chr4-136206356-47
NR53451--MA0493.1.Klf1	chr5	137776847	137776857	-	0.000	0.000	Merged-chr5-137776694-7
NR44824--MA0493.1.Klf1	chr3	156410317	156410327	-	0.000	0.000	Merged-chr3-156410327-15
NR9535--MA0599.1.KLF5	chr10	128526136	128526145	+	0.000	0.000	Merged-chr10-128526022-11
NR62516--MA0741.1.KLF16	chr8	22227124	22227134	+	0.000	0.000	Merged-chr8-22227321-39
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR25092--MA0493.1.Klf1	chr15	93576006	93576016	-	0.000	0.000	Merged-chr15-93576121-28
NR9093--MA0742.1.Klf12	chr10	121331258	121331272	+	0.000	0.000	Merged-chr10-121331107-36
NR39610--MA0740.1.KLF14	chr2	158794735	158794748	-	0.000	0.000	Merged-chr2-158794730-73
NR62982--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR52309--MA0741.1.KLF16	chr5	113873339	113873349	-	0.000	0.000	Merged-chr5-113873174-24
NR37486--MA0741.1.KLF16	chr2	83929608	83929618	-	0.000	0.000	Merged-chr2-83929608-43
NR66634--MA1107.1.KLF9	chr9	57647828	57647840	-	0.000	0.000	Merged-chr9-57647746-26
NR44192--MA1107.1.KLF9	chr3	143493054	143493066	+	0.000	0.000	Merged-chr3-143493127-1
NR56287--MA0599.1.KLF5	chr6	99502511	99502520	+	0.000	0.000	Merged-chr6-99502370-1
NR13460--MA0599.1.KLF5	chr12	21543471	21543480	-	0.000	0.000	Merged-chr12-21543416-58
NR5711--MA0740.1.KLF14	chr10	17479187	17479200	+	0.000	0.000	Merged-chr10-17479176-1
NR10607--MA0599.1.KLF5	chr11	53519829	53519838	-	0.000	0.000	Merged-chr11-53519837-32
NR61310--MA1107.1.KLF9	chr7	121734715	121734727	-	0.000	0.000	Merged-chr7-121734819-1
NR36562--MA0599.1.KLF5	chr2	48419890	48419899	+	0.000	0.000	Merged-chr2-48419995-8
NR17397--MA0657.1.KLF13	chr13	64161797	64161814	-	0.000	0.000	Merged-chr13-64161873-63
NR58645--MA0740.1.KLF14	chr7	24638376	24638389	+	0.000	0.000	Merged-chr7-24638466-38
NR43430--MA0740.1.KLF14	chr3	121370595	121370608	-	0.000	0.000	Merged-chr3-121370505-2
NR5799--MA0742.1.Klf12	chr10	22058713	22058727	-	0.000	0.000	Merged-chr10-22058743-34
NR20846--MA0039.3.KLF4	chr14	54146704	54146714	+	0.000	0.000	Merged-chr14-54146707-32
NR28326--MA0493.1.Klf1	chr17	7169950	7169960	-	0.000	0.000	Merged-chr17-7169938-73
NR22489--MA1107.1.KLF9	chr14	121545762	121545774	+	0.000	0.000	Merged-chr14-121545671-6
NR64902--MA1107.1.KLF9	chr8	114882136	114882148	+	0.000	0.000	Merged-chr8-114882305-33
NR68487--MA1107.1.KLF9	chrX	7375918	7375930	-	0.000	0.000	Merged-chrX-7375915-61
NR59356--MA0740.1.KLF14	chr7	44305094	44305107	-	0.000	0.000	Merged-chr7-44305170-86
NR48638--MA0599.1.KLF5	chr4	140868569	140868578	+	0.000	0.000	Merged-chr4-140868739-15
NR14859--MA0599.1.KLF5	chr12	85746480	85746489	-	0.000	0.000	Merged-chr12-85746223-36
NR66098--MA0599.1.KLF5	chr9	32728397	32728406	-	0.000	0.000	Merged-chr9-32728530-9
NR5734--MA1107.1.KLF9	chr10	18070686	18070698	-	0.000	0.000	Merged-chr10-18070790-14
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR1016--MA0039.3.KLF4	chr1	51104944	51104954	-	0.000	0.000	Merged-chr1-51104887-5
NR69484--MA0599.1.KLF5	chrX	151344083	151344092	+	0.000	0.000	Merged-chrX-151344027-1
NR11210--MA0741.1.KLF16	chr11	70983022	70983032	+	0.000	0.000	Merged-chr11-70982951-40
NR58887--MA0493.1.Klf1	chr7	28677346	28677356	-	0.000	0.000	Merged-chr7-28677170-43
NR52220--MA0657.1.KLF13	chr5	112326293	112326310	+	0.000	0.000	Merged-chr5-112326460-40
NR28913--MA0599.1.KLF5	chr17	25015824	25015833	-	0.000	0.000	Merged-chr17-25015631-3
NR68815--MA0599.1.KLF5	chrX	48285496	48285505	+	0.000	0.000	Merged-chrX-48285695-3
NR49083--MA0599.1.KLF5	chr4	152130692	152130701	-	0.000	0.000	Merged-chr4-152130617-6
NR68600--MA0599.1.KLF5	chrX	12977804	12977813	-	0.000	0.000	Merged-chrX-12977868-18
NR68265--MA0741.1.KLF16	chr9	119402187	119402197	+	0.000	0.000	Merged-chr9-119402239-40
NR37311--MA0740.1.KLF14	chr2	76648050	76648063	+	0.000	0.000	Merged-chr2-76648077-91
NR14711--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR37409--MA0741.1.KLF16	chr2	79227982	79227992	-	0.000	0.000	Merged-chr2-79227897-44
NR22589--MA0741.1.KLF16	chr14	123001573	123001583	+	0.000	0.000	Merged-chr14-123001594-21
NR35686--MA1107.1.KLF9	chr2	21223026	21223038	-	0.000	0.000	Merged-chr2-21222970-39
NR58058--MA0741.1.KLF16	chr7	4964460	4964470	+	0.000	0.000	Merged-chr7-4964465-28
NR56193--MA0599.1.KLF5	chr6	97300924	97300933	-	0.000	0.000	Merged-chr6-97300820-20
NR669--MA0741.1.KLF16	chr1	36024916	36024926	+	0.000	0.000	Merged-chr1-36024851-1
NR48972--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR1559--MA0741.1.KLF16	chr1	74854898	74854908	-	0.000	0.000	Merged-chr1-74854969-34
NR28833--MA0741.1.KLF16	chr17	23924760	23924770	-	0.000	0.000	Merged-chr17-23924911-57
NR10307--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR38724--MA0599.1.KLF5	chr2	131204780	131204789	-	0.000	0.000	Merged-chr2-131204704-19
NR52081--MA0741.1.KLF16	chr5	110176524	110176534	-	0.000	0.000	Merged-chr5-110176742-78
NR45914--MA0493.1.Klf1	chr4	43499672	43499682	-	0.000	0.000	Merged-chr4-43499565-45
NR52481--MA0039.3.KLF4	chr5	118465215	118465225	-	0.000	0.000	Merged-chr5-118465239-56
NR58901--MA0599.1.KLF5	chr7	28803043	28803052	+	0.000	0.000	Merged-chr7-28802927-28
NR16478--MA1107.1.KLF9	chr13	24786311	24786323	+	0.000	0.000	Merged-chr13-24786227-53
NR13553--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR32981--MA0493.1.Klf1	chr18	67289142	67289152	-	0.000	0.000	Merged-chr18-67289383-133
NR29068--MA0741.1.KLF16	chr17	27826186	27826196	-	0.000	0.000	Merged-chr17-27826379-77
NR56502--MA0599.1.KLF5	chr6	108571218	108571227	+	0.000	0.000	Merged-chr6-108571232-71
NR45282--MA1107.1.KLF9	chr4	14922315	14922327	-	0.000	0.000	Merged-chr4-14922203-28
NR29307--MA0740.1.KLF14	chr17	33817658	33817671	+	0.000	0.000	Merged-chr17-33817699-57
NR40060--MA0742.1.Klf12	chr2	169634035	169634049	+	0.000	0.000	Merged-chr2-169634008-43
NR60011--MA0599.1.KLF5	chr7	72308189	72308198	+	0.000	0.000	Merged-chr7-72308227-31
NR43842--MA0741.1.KLF16	chr3	133509187	133509197	-	0.000	0.000	Merged-chr3-133509042-15
NR17501--MA0741.1.KLF16	chr13	67081391	67081401	+	0.000	0.000	Merged-chr13-67081382-93
NR62606--MA1107.1.KLF9	chr8	25609071	25609083	-	0.000	0.000	Merged-chr8-25609215-28
NR33364--MA0741.1.KLF16	chr18	77743803	77743813	-	0.000	0.000	Merged-chr18-77743762-23
NR10038--MA0493.1.Klf1	chr11	20561490	20561500	-	0.000	0.000	Merged-chr11-20561447-13
NR25108--MA0741.1.KLF16	chr15	93950834	93950844	-	0.000	0.000	Merged-chr15-93950639-49
NR43211--MA0599.1.KLF5	chr3	109025789	109025798	-	0.000	0.000	Merged-chr3-109025792-30
NR65101--MA1107.1.KLF9	chr8	120276576	120276588	-	0.000	0.000	Merged-chr8-120276586-37
NR48445--MA0742.1.Klf12	chr4	136060046	136060060	-	0.000	0.000	Merged-chr4-136060160-34
NR66313--MA0599.1.KLF5	chr9	44396952	44396961	+	0.000	0.000	Merged-chr9-44397016-62
NR41281--MA0742.1.Klf12	chr3	36613427	36613441	+	0.000	0.000	Merged-chr3-36613405-48
NR35920--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR30135--MA0599.1.KLF5	chr17	62246830	62246839	-	0.000	0.000	Merged-chr17-62246918-5
NR44753--MA0599.1.KLF5	chr3	154628589	154628598	+	0.000	0.000	Merged-chr3-154628476-23
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR52025--MA1107.1.KLF9	chr5	107926653	107926665	+	0.000	0.000	Merged-chr5-107926816-56
NR67685--MA0742.1.Klf12	chr9	100462340	100462354	-	0.000	0.000	Merged-chr9-100462229-47
NR60802--MA0741.1.KLF16	chr7	101934072	101934082	-	0.000	0.000	Merged-chr7-101933899-55
NR11365--MA0493.1.Klf1	chr11	76217590	76217600	+	0.000	0.000	Merged-chr11-76217513-52
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR55110--MA0741.1.KLF16	chr6	50110138	50110148	-	0.000	0.000	Merged-chr6-50110247-81
NR42693--MA1107.1.KLF9	chr3	95135837	95135849	-	0.000	0.000	Merged-chr3-95135773-59
NR45064--MA0599.1.KLF5	chr4	8812664	8812673	-	0.000	0.000	Merged-chr4-8812564-41
NR45774--MA0741.1.KLF16	chr4	41569669	41569679	-	0.000	0.000	Merged-chr4-41569502-63
NR21409--MA0742.1.Klf12	chr14	75131075	75131089	+	0.000	0.000	Merged-chr14-75131133-67
NR33512--MA0599.1.KLF5	chr18	82847257	82847266	-	0.000	0.000	Merged-chr18-82847210-15
NR65795--MA1107.1.KLF9	chr9	21265259	21265271	-	0.000	0.000	Merged-chr9-21265250-55
NR62531--MA0599.1.KLF5	chr8	22757686	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR2703--MA0599.1.KLF5	chr1	126817823	126817832	+	0.000	0.000	Merged-chr1-126817924-65
NR778--MA0741.1.KLF16	chr1	39478751	39478761	+	0.000	0.000	Merged-chr1-39478588-52
NR27111--MA0742.1.Klf12	chr16	64873905	64873919	+	0.000	0.000	Merged-chr16-64873763-80
NR68903--MA0039.3.KLF4	chrX	57189588	57189598	-	0.000	0.000	Merged-chrX-57189507-26
NR38602--MA1107.1.KLF9	chr2	128061286	128061298	+	0.000	0.000	Merged-chr2-128061246-44
NR61005--MA0740.1.KLF14	chr7	110221679	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR57950--MA0599.1.KLF5	chr6	148896263	148896272	+	0.000	0.000	Merged-chr6-148896090-83
NR61569--MA0742.1.Klf12	chr7	128688427	128688441	-	0.000	0.000	Merged-chr7-128688304-46
NR43755--MA0742.1.Klf12	chr3	131272064	131272078	-	0.000	0.000	Merged-chr3-131271947-79
NR41282--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR22816--MA1107.1.KLF9	chr15	12795465	12795477	+	0.000	0.000	Merged-chr15-12795578-29
NR49830--MA0740.1.KLF14	chr5	21701493	21701506	-	0.000	0.000	Merged-chr5-21701542-81
NR31304--MA0740.1.KLF14	chr18	3507870	3507883	-	0.000	0.000	Merged-chr18-3507740-84
NR1058--MA0742.1.Klf12	chr1	52630917	52630931	+	0.000	0.000	Merged-chr1-52631121-87
NR24440--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR32762--MA0741.1.KLF16	chr18	61377969	61377979	-	0.000	0.000	Merged-chr18-61377910-13
NR40098--MA0741.1.KLF16	chr2	170206048	170206058	-	0.000	0.000	Merged-chr2-170206161-1
NR29233--MA0599.1.KLF5	chr17	31277407	31277416	-	0.000	0.000	Merged-chr17-31277371-45
NR45631--MA0741.1.KLF16	chr4	34889449	34889459	-	0.000	0.000	Merged-chr4-34889348-6
NR25079--MA0493.1.Klf1	chr15	93275328	93275338	+	0.000	0.000	Merged-chr15-93275409-98
NR22284--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR68897--MA0741.1.KLF16	chrX	56374578	56374588	-	0.000	0.000	Merged-chrX-56374648-33
NR18350--MA0599.1.KLF5	chr13	93304022	93304031	+	0.000	0.000	Merged-chr13-93303987-85
NR34578--MA0039.3.KLF4	chr19	41027749	41027759	+	0.000	0.000	Merged-chr19-41027802-5
NR35424--MA0741.1.KLF16	chr2	13793561	13793571	+	0.000	0.000	Merged-chr2-13793433-83
NR8862--MA0741.1.KLF16	chr10	116397673	116397683	-	0.000	0.000	Merged-chr10-116397793-21
NR12911--MA1107.1.KLF9	chr11	117878384	117878396	-	0.000	0.000	Merged-chr11-117878483-30
NR51093--MA0599.1.KLF5	chr5	71658021	71658030	+	0.000	0.000	Merged-chr5-71657956-24
NR48656--MA0740.1.KLF14	chr4	141060591	141060604	-	0.000	0.000	Merged-chr4-141060681-65
NR53134--MA0599.1.KLF5	chr5	134437538	134437547	+	0.000	0.000	Merged-chr5-134437601-35
NR67066--MA1107.1.KLF9	chr9	75435887	75435899	+	0.000	0.000	Merged-chr9-75436054-36
NR59230--MA0599.1.KLF5	chr7	38085244	38085253	-	0.000	0.000	Merged-chr7-38085350-130
NR25451--MA0599.1.KLF5	chr15	102279429	102279438	-	0.000	0.000	Merged-chr15-102279513-54
NR65353--MA0599.1.KLF5	chr8	124434605	124434614	+	0.000	0.000	Merged-chr8-124434522-47
NR26643--MA0741.1.KLF16	chr16	44687889	44687899	-	0.000	0.000	Merged-chr16-44688022-8
NR42447--MA1107.1.KLF9	chr3	88510189	88510201	-	0.000	0.000	Merged-chr3-88510082-59
NR28161--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR51219--MA0742.1.Klf12	chr5	74092964	74092978	+	0.000	0.000	Merged-chr5-74093137-75
NR34694--MA0741.1.KLF16	chr19	45805272	45805282	+	0.000	0.000	Merged-chr19-45805178-27
NR31827--MA0740.1.KLF14	chr18	25554826	25554839	-	0.000	0.000	Merged-chr18-25554898-22
NR39036--MA0741.1.KLF16	chr2	139776490	139776500	-	0.000	0.000	Merged-chr2-139776654-18
NR5310--MA0599.1.KLF5	chr10	5805596	5805605	+	0.000	0.000	Merged-chr10-5805785-87
NR40397--MA1107.1.KLF9	chr2	178593190	178593202	+	0.000	0.000	Merged-chr2-178593347-6
NR1832--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR56707--MA1107.1.KLF9	chr6	115762206	115762218	+	0.000	0.000	Merged-chr6-115762298-33
NR32767--MA0599.1.KLF5	chr18	61459486	61459495	+	0.000	0.000	Merged-chr18-61459524-23
NR53693--MA0493.1.Klf1	chr5	142909256	142909266	-	0.000	0.000	Merged-chr5-142909413-47
NR58720--MA0740.1.KLF14	chr7	25316869	25316882	+	0.000	0.000	Merged-chr7-25316715-33
NR32891--MA1107.1.KLF9	chr18	65512461	65512473	-	0.000	0.000	Merged-chr18-65512491-27
NR37518--MA0599.1.KLF5	chr2	84727432	84727441	-	0.000	0.000	Merged-chr2-84727435-53
NR25166--MA0740.1.KLF14	chr15	96684759	96684772	+	0.000	0.000	Merged-chr15-96684531-29
NR6709--MA0599.1.KLF5	chr10	59911890	59911899	-	0.000	0.000	Merged-chr10-59911749-1
NR44771--MA0599.1.KLF5	chr3	155093415	155093424	+	0.000	0.000	Merged-chr3-155093462-79
NR51925--MA0741.1.KLF16	chr5	103692353	103692363	-	0.000	0.000	Merged-chr5-103692321-99
NR7163--MA0599.1.KLF5	chr10	71239714	71239723	+	0.000	0.000	Merged-chr10-71239715-44
NR1474--MA0740.1.KLF14	chr1	71557128	71557141	-	0.000	0.000	Merged-chr1-71557349-80
NR50884--MA1107.1.KLF9	chr5	64519009	64519021	+	0.000	0.000	Merged-chr5-64519093-9
NR54884--MA0740.1.KLF14	chr6	42373230	42373243	+	0.000	0.000	Merged-chr6-42373286-40
NR28300--MA0657.1.KLF13	chr17	6948670	6948687	+	0.000	0.000	Merged-chr17-6948507-80
NR1724--MA1107.1.KLF9	chr1	80757986	80757998	+	0.000	0.000	Merged-chr1-80757990-114
NR52365--MA0741.1.KLF16	chr5	114707609	114707619	+	0.000	0.000	Merged-chr5-114707863-50
NR42578--MA0599.1.KLF5	chr3	90052824	90052833	-	0.000	0.000	Merged-chr3-90052542-109
NR36240--MA0599.1.KLF5	chr2	34938758	34938767	-	0.000	0.000	Merged-chr2-34938971-69
NR54577--MA0742.1.Klf12	chr6	28421775	28421789	-	0.000	0.000	Merged-chr6-28421757-53
NR58130--MA1107.1.KLF9	chr7	6383276	6383288	-	0.000	0.000	Merged-chr7-6383352-66
NR5094--MA1107.1.KLF9	chr1	193349928	193349940	-	0.000	0.000	Merged-chr1-193349952-15
NR56632--MA0599.1.KLF5	chr6	113668772	113668781	+	0.000	0.000	Merged-chr6-113668955-38
NR24615--MA0741.1.KLF16	chr15	83122211	83122221	+	0.000	0.000	Merged-chr15-83122079-5
NR54797--MA0599.1.KLF5	chr6	38254301	38254310	-	0.000	0.000	Merged-chr6-38254248-53
NR16936--MA0599.1.KLF5	chr13	48842400	48842409	-	0.000	0.000	Merged-chr13-48842323-16
