#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR7834--MA0511.2.RUNX2	chr6	114899130	114899138	-	0.000	0.000	Merged-chr6-114899119-6
NR7420--MA0511.2.RUNX2	chr6	8068567	8068575	+	0.000	0.000	Merged-chr6-8068549-6
NR8956--MA0002.2.RUNX1	chr9	7830106	7830116	+	0.000	0.000	Merged-chr9-7830026-47
NR1348--MA0002.2.RUNX1	chr11	3298594	3298604	+	0.000	0.000	Merged-chr11-3298569-4
NR7196--MA0511.2.RUNX2	chr5	100585346	100585354	+	0.000	0.000	Merged-chr5-100585262-59
NR8813--MA0002.2.RUNX1	chr8	105937981	105937991	+	0.000	0.000	Merged-chr8-105937865-86
NR1205--MA0002.2.RUNX1	chr10	96481315	96481325	-	0.000	0.000	Merged-chr10-96481360-10
NR9253--MA0002.2.RUNX1	chr9	89212725	89212735	-	0.000	0.000	Merged-chr9-89212688-42
NR5022--MA0002.2.RUNX1	chr2	35259869	35259879	+	0.000	0.000	Merged-chr2-35259882-5
NR9382--MA0684.1.RUNX3	chr9	116369243	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR4563--MA0002.2.RUNX1	chr18	54722728	54722738	+	0.000	0.000	Merged-chr18-54722634-2
NR900--MA0002.2.RUNX1	chr10	18917547	18917557	-	0.000	0.000	Merged-chr10-18917466-61
NR1857--MA0684.1.RUNX3	chr12	26057915	26057924	+	0.000	0.000	Merged-chr12-26057851-43
NR9157--MA0002.2.RUNX1	chr9	70012575	70012585	+	0.000	0.000	Merged-chr9-70012774-59
NR18--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR9014--MA0002.2.RUNX1	chr9	22366959	22366969	+	0.000	0.000	Merged-chr9-22366928-17
NR1695--MA0684.1.RUNX3	chr11	106961728	106961737	+	0.000	0.000	Merged-chr11-106961822-47
NR7734--MA0684.1.RUNX3	chr6	89272954	89272963	+	0.000	0.000	Merged-chr6-89272769-1
NR4800--MA0002.2.RUNX1	chr19	21623557	21623567	+	0.000	0.000	Merged-chr19-21623609-22
NR7258--MA0684.1.RUNX3	chr5	112220447	112220456	+	0.000	0.000	Merged-chr5-112220290-48
NR7586--MA0002.2.RUNX1	chr6	49354750	49354760	+	0.000	0.000	Merged-chr6-49354722-8
NR6831--MA0511.2.RUNX2	chr4	155306844	155306852	+	0.000	0.000	Merged-chr4-155306831-50
NR4880--MA0511.2.RUNX2	chr2	3810495	3810503	-	0.000	0.000	Merged-chr2-3810542-48
NR1076--MA0684.1.RUNX3	chr10	68147063	68147072	+	0.000	0.000	Merged-chr10-68147068-31
NR7066--MA0511.2.RUNX2	chr5	65929347	65929355	+	0.000	0.000	Merged-chr5-65929353-41
NR9395--MA0684.1.RUNX3	chr9	119744241	119744250	-	0.000	0.000	Merged-chr9-119744132-67
NR9123--MA0002.2.RUNX1	chr9	57861936	57861946	+	0.000	0.000	Merged-chr9-57862051-8
NR9523--MA0684.1.RUNX3	chrX	93905790	93905799	+	0.000	0.000	Merged-chrX-93905707-8
NR708--MA0002.2.RUNX1	chr1	179240818	179240828	-	0.000	0.000	Merged-chr1-179240877-38
NR993--MA0511.2.RUNX2	chr10	40469354	40469362	-	0.000	0.000	Merged-chr10-40469285-5
NR4704--MA0002.2.RUNX1	chr18	81572268	81572278	-	0.000	0.000	Merged-chr18-81572136-24
NR3259--MA0002.2.RUNX1	chr15	25828624	25828634	+	0.000	0.000	Merged-chr15-25828667-44
NR6841--MA0002.2.RUNX1	chr5	3887153	3887163	-	0.000	0.000	Merged-chr5-3887091-30
NR4833--MA0684.1.RUNX3	chr19	41354448	41354457	-	0.000	0.000	Merged-chr19-41354593-71
NR2882--MA0684.1.RUNX3	chr14	27405576	27405585	-	0.000	0.000	Merged-chr14-27405576-56
NR5544--MA0684.1.RUNX3	chr2	172382248	172382257	+	0.000	0.000	Merged-chr2-172382291-6
NR3196--MA0511.2.RUNX2	chr14	121846234	121846242	-	0.000	0.000	Merged-chr14-121846246-16
NR4542--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR9506--MA0511.2.RUNX2	chrX	77795899	77795907	+	0.000	0.000	Merged-chrX-77795992-119
NR7284--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR132--MA0002.2.RUNX1	chr1	39896692	39896702	+	0.000	0.000	Merged-chr1-39896761-43
NR7826--MA0511.2.RUNX2	chr6	113681492	113681500	-	0.000	0.000	Merged-chr6-113681431-40
NR5875--MA0511.2.RUNX2	chr3	75714111	75714119	+	0.000	0.000	Merged-chr3-75714014-36
NR7333--MA0684.1.RUNX3	chr5	134373116	134373125	+	0.000	0.000	Merged-chr5-134373166-2
NR1439--MA0511.2.RUNX2	chr11	30166353	30166361	+	0.000	0.000	Merged-chr11-30166468-16
NR10--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR2971--MA0002.2.RUNX1	chr14	60072651	60072661	-	0.000	0.000	Merged-chr14-60072713-24
NR7108--MA0002.2.RUNX1	chr5	77096146	77096156	+	0.000	0.000	Merged-chr5-77096159-4
NR7393--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR3477--MA0002.2.RUNX1	chr15	78516016	78516026	-	0.000	0.000	Merged-chr15-78515914-15
NR7089--MA0002.2.RUNX1	chr5	72163158	72163168	-	0.000	0.000	Merged-chr5-72163190-22
NR1055--MA0684.1.RUNX3	chr10	62507952	62507961	-	0.000	0.000	Merged-chr10-62507815-50,Merged-chr10-62508148-1
NR1449--MA0002.2.RUNX1	chr11	31824839	31824849	+	0.000	0.000	Merged-chr11-31824780-24
NR4760--MA0002.2.RUNX1	chr19	8519118	8519128	-	0.000	0.000	Merged-chr19-8519085-2
NR9497--MA0002.2.RUNX1	chrX	74393182	74393192	-	0.000	0.000	Merged-chrX-74393226-50
NR4826--MA0002.2.RUNX1	chr19	34306975	34306985	-	0.000	0.000	Merged-chr19-34306924-50
NR3463--MA0684.1.RUNX3	chr15	75884331	75884340	+	0.000	0.000	Merged-chr15-75884248-28
NR621--MA0002.2.RUNX1	chr1	164966197	164966207	-	0.000	0.000	Merged-chr1-164966286-53
NR6963--MA0002.2.RUNX1	chr5	34565878	34565888	-	0.000	0.000	Merged-chr5-34565807-6
NR5000--MA0684.1.RUNX3	chr2	30796783	30796792	+	0.000	0.000	Merged-chr2-30796578-35
NR1657--MA0511.2.RUNX2	chr11	97728537	97728545	+	0.000	0.000	Merged-chr11-97728662-57
NR3115--MA0684.1.RUNX3	chr14	105272269	105272278	+	0.000	0.000	Merged-chr14-105272291-16
NR7154--MA0511.2.RUNX2	chr5	92166182	92166190	-	0.000	0.000	Merged-chr5-92166159-12
NR397--MA0002.2.RUNX1	chr1	95674257	95674267	+	0.000	0.000	Merged-chr1-95674241-20
NR8500--MA0002.2.RUNX1	chr7	140195062	140195072	+	0.000	0.000	Merged-chr7-140195109-1
NR2861--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR4393--MA0002.2.RUNX1	chr17	88256245	88256255	-	0.000	0.000	Merged-chr17-88256193-58
NR8851--MA0511.2.RUNX2	chr8	111821359	111821367	+	0.000	0.000	Merged-chr8-111821367-66
NR8900--MA0684.1.RUNX3	chr8	119812443	119812452	+	0.000	0.000	Merged-chr8-119812593-113
NR3638--MA0684.1.RUNX3	chr16	17619472	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR5997--MA0511.2.RUNX2	chr3	104466710	104466718	+	0.000	0.000	Merged-chr3-104466607-13
NR9529--MA0002.2.RUNX1	chrX	101128786	101128796	-	0.000	0.000	Merged-chrX-101128722-47
NR383--MA0684.1.RUNX3	chr1	94092013	94092022	-	0.000	0.000	Merged-chr1-94091974-43
NR3019--MA0684.1.RUNX3	chr14	73117173	73117182	+	0.000	0.000	Merged-chr14-73117167-52
NR3618--MA0002.2.RUNX1	chr16	13409816	13409826	-	0.000	0.000	Merged-chr16-13409957-27
NR3032--MA0511.2.RUNX2	chr14	75722247	75722255	+	0.000	0.000	Merged-chr14-75722251-22
NR3303--MA0511.2.RUNX2	chr15	36565768	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR9466--MA0511.2.RUNX2	chrX	52760335	52760343	+	0.000	0.000	Merged-chrX-52760494-47
NR5235--MA0511.2.RUNX2	chr2	84827250	84827258	-	0.000	0.000	Merged-chr2-84827189-69
NR7293--MA0684.1.RUNX3	chr5	120577171	120577180	+	0.000	0.000	Merged-chr5-120577035-13
NR985--MA0511.2.RUNX2	chr10	39600324	39600332	+	0.000	0.000	Merged-chr10-39600436-54
NR5013--MA0684.1.RUNX3	chr2	32047599	32047608	+	0.000	0.000	Merged-chr2-32047446-8
NR763--MA0684.1.RUNX3	chr1	189795638	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR5136--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR9118--MA0511.2.RUNX2	chr9	56465409	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR2430--MA0511.2.RUNX2	chr13	55255487	55255495	-	0.000	0.000	Merged-chr13-55255412-37
NR8242--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR4825--MA0684.1.RUNX3	chr19	33265323	33265332	-	0.000	0.000	Merged-chr19-33265390-26
NR2874--MA0684.1.RUNX3	chr14	25609501	25609510	+	0.000	0.000	Merged-chr14-25609615-15
NR4948--MA0002.2.RUNX1	chr2	18821743	18821753	+	0.000	0.000	Merged-chr2-18821841-56
NR2997--MA0002.2.RUNX1	chr14	66843192	66843202	-	0.000	0.000	Merged-chr14-66843142-3
NR2602--MA0002.2.RUNX1	chr13	96995393	96995403	-	0.000	0.000	Merged-chr13-96995429-17
NR1014--MA0002.2.RUNX1	chr10	53348547	53348557	+	0.000	0.000	Merged-chr10-53348557-41
NR4991--MA0002.2.RUNX1	chr2	26902994	26903004	-	0.000	0.000	Merged-chr2-26902897-56
NR6737--MA0002.2.RUNX1	chr4	136266854	136266864	+	0.000	0.000	Merged-chr4-136266898-41
NR4786--MA0002.2.RUNX1	chr19	16029381	16029391	+	0.000	0.000	Merged-chr19-16029300-45
NR1094--MA0511.2.RUNX2	chr10	71226073	71226081	-	0.000	0.000	Merged-chr10-71226142-30
NR2506--MA0002.2.RUNX1	chr13	74854487	74854497	-	0.000	0.000	Merged-chr13-74854551-37
NR3489--MA0684.1.RUNX3	chr15	80562628	80562637	-	0.000	0.000	Merged-chr15-80562627-18
NR581--MA0002.2.RUNX1	chr1	153480848	153480858	-	0.000	0.000	Merged-chr1-153480680-38
NR9462--MA0684.1.RUNX3	chrX	48713031	48713040	-	0.000	0.000	Merged-chrX-48713049-46
NR3217--MA0002.2.RUNX1	chr15	5108552	5108562	+	0.000	0.000	Merged-chr15-5108448-64
NR918--MA0002.2.RUNX1	chr10	22714805	22714815	-	0.000	0.000	Merged-chr10-22714818-39
NR8830--MA0511.2.RUNX2	chr8	108823130	108823138	-	0.000	0.000	Merged-chr8-108823126-5
NR981--MA0684.1.RUNX3	chr10	39387126	39387135	-	0.000	0.000	Merged-chr10-39387129-14
NR3198--MA0002.2.RUNX1	chr14	122012007	122012017	-	0.000	0.000	Merged-chr14-122012077-50
NR1047--MA0684.1.RUNX3	chr10	60370955	60370964	-	0.000	0.000	Merged-chr10-60370964-39
NR4900--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR4481--MA0002.2.RUNX1	chr18	32240239	32240249	+	0.000	0.000	Merged-chr18-32240208-51
NR5135--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR8840--MA0002.2.RUNX1	chr8	109595866	109595876	+	0.000	0.000	Merged-chr8-109596037-26
NR342--MA0002.2.RUNX1	chr1	87847453	87847463	-	0.000	0.000	Merged-chr1-87847290-68
NR9075--MA0002.2.RUNX1	chr9	43984812	43984822	-	0.000	0.000	Merged-chr9-43984840-13
NR2182--MA0002.2.RUNX1	chr12	115312145	115312155	+	0.000	0.000	Merged-chr12-115312281-46
NR5658--MA0684.1.RUNX3	chr3	22151260	22151269	+	0.000	0.000	Merged-chr3-22151308-21
NR8887--MA0002.2.RUNX1	chr8	117776355	117776365	+	0.000	0.000	Merged-chr8-117776265-26
NR1279--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7398--MA0511.2.RUNX2	chr5	149255708	149255716	-	0.000	0.000	Merged-chr5-149255735-4
NR7447--MA0684.1.RUNX3	chr6	12081955	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR3167--MA0511.2.RUNX2	chr14	118774994	118775002	-	0.000	0.000	Merged-chr14-118775098-19
NR580--MA0684.1.RUNX3	chr1	151683179	151683188	-	0.000	0.000	Merged-chr1-151683056-48
NR1758--MA0511.2.RUNX2	chr11	119076033	119076041	+	0.000	0.000	Merged-chr11-119075997-48
NR4864--MA0511.2.RUNX2	chr19	55332803	55332811	-	0.000	0.000	Merged-chr19-55332814-24
NR3068--MA0002.2.RUNX1	chr14	87452281	87452291	+	0.000	0.000	Merged-chr14-87452152-30
NR7156--MA0002.2.RUNX1	chr5	92603164	92603174	+	0.000	0.000	Merged-chr5-92603127-58
NR1960--MA0002.2.RUNX1	chr12	55367005	55367015	-	0.000	0.000	Merged-chr12-55366796-37
NR9507--MA0684.1.RUNX3	chrX	77795899	77795908	+	0.000	0.000	Merged-chrX-77795992-119
NR4080--MA0002.2.RUNX1	chr17	18458391	18458401	-	0.000	0.000	Merged-chr17-18458447-27
NR4622--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR3547--MA0511.2.RUNX2	chr15	96599114	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR9359--MA0002.2.RUNX1	chr9	114440787	114440797	+	0.000	0.000	Merged-chr9-114440811-53
NR2671--MA0002.2.RUNX1	chr13	108303579	108303589	+	0.000	0.000	Merged-chr13-108303499-73
NR2942--MA0002.2.RUNX1	chr14	47188183	47188193	-	0.000	0.000	Merged-chr14-47188104-35
NR6653--MA0511.2.RUNX2	chr4	116053543	116053551	-	0.000	0.000	Merged-chr4-116053495-96
NR6924--MA0511.2.RUNX2	chr5	23387127	23387135	+	0.000	0.000	Merged-chr5-23387051-61
NR2737--MA0002.2.RUNX1	chr13	117193644	117193654	+	0.000	0.000	Merged-chr13-117193569-3
NR212--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR6702--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR3448--MA0002.2.RUNX1	chr15	73225334	73225344	-	0.000	0.000	Merged-chr15-73225223-4
NR292--MA0511.2.RUNX2	chr1	82893719	82893727	-	0.000	0.000	Merged-chr1-82893598-7
NR4874--MA0002.2.RUNX1	chr19	58238493	58238503	+	0.000	0.000	Merged-chr19-58238492-37
NR7208--MA0684.1.RUNX3	chr5	101937984	101937993	+	0.000	0.000	Merged-chr5-101938144-3
NR5607--MA0511.2.RUNX2	chr3	10466141	10466149	+	0.000	0.000	Merged-chr3-10466039-18
NR987--MA0002.2.RUNX1	chr10	39793434	39793444	+	0.000	0.000	Merged-chr10-39793457-38
NR8343--MA0002.2.RUNX1	chr7	90131275	90131285	+	0.000	0.000	Merged-chr7-90131300-10
NR672--MA0511.2.RUNX2	chr1	173532205	173532213	+	0.000	0.000	Merged-chr1-173532000-25
NR5716--MA0511.2.RUNX2	chr3	37978662	37978670	-	0.000	0.000	Merged-chr3-37978790-50
NR4906--MA0002.2.RUNX1	chr2	11195199	11195209	+	0.000	0.000	Merged-chr2-11195107-54
NR7026--MA0002.2.RUNX1	chr5	53355323	53355333	+	0.000	0.000	Merged-chr5-53355267-30
NR2336--MA0002.2.RUNX1	chr13	24617868	24617878	+	0.000	0.000	Merged-chr13-24617853-51
NR3318--MA0002.2.RUNX1	chr15	37644430	37644440	+	0.000	0.000	Merged-chr15-37644500-63
NR6424--MA0002.2.RUNX1	chr4	45280316	45280326	+	0.000	0.000	Merged-chr4-45280353-18
NR5349--MA0511.2.RUNX2	chr2	129180169	129180177	-	0.000	0.000	Merged-chr2-129180074-1
NR2588--MA0002.2.RUNX1	chr13	95517998	95518008	-	0.000	0.000	Merged-chr13-95518086-22
NR8290--MA0002.2.RUNX1	chr7	74599961	74599971	+	0.000	0.000	Merged-chr7-74599992-6
NR8356--MA0002.2.RUNX1	chr7	96456512	96456522	-	0.000	0.000	Merged-chr7-96456783-25
NR6676--MA0002.2.RUNX1	chr4	123588773	123588783	-	0.000	0.000	Merged-chr4-123588937-38
NR2174--MA0002.2.RUNX1	chr12	114804630	114804640	-	0.000	0.000	Merged-chr12-114804708-39
NR3033--MA0684.1.RUNX3	chr14	75722247	75722256	+	0.000	0.000	Merged-chr14-75722251-22
NR3304--MA0684.1.RUNX3	chr15	36565767	36565776	-	0.000	0.000	Merged-chr15-36565719-31
NR857--MA0002.2.RUNX1	chr10	13925648	13925658	-	0.000	0.000	Merged-chr10-13925632-1
NR7138--MA0511.2.RUNX2	chr5	89198657	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR9053--MA0684.1.RUNX3	chr9	37554456	37554465	-	0.000	0.000	Merged-chr9-37554470-32
NR4982--MA0684.1.RUNX3	chr2	25426798	25426807	-	0.000	0.000	Merged-chr2-25426860-48
NR3093--MA0511.2.RUNX2	chr14	101842696	101842704	+	0.000	0.000	Merged-chr14-101842574-67
NR9119--MA0684.1.RUNX3	chr9	56465408	56465417	-	0.000	0.000	Merged-chr9-56465348-61
NR3364--MA0511.2.RUNX2	chr15	50697988	50697996	+	0.000	0.000	Merged-chr15-50698255-117
NR4234--MA0002.2.RUNX1	chr17	51800376	51800386	-	0.000	0.000	Merged-chr17-51800463-8
NR1528--MA0684.1.RUNX3	chr11	54105211	54105220	-	0.000	0.000	Merged-chr11-54105258-8
NR8988--MA0002.2.RUNX1	chr9	14500802	14500812	+	0.000	0.000	Merged-chr9-14500635-62
NR7518--MA0511.2.RUNX2	chr6	34495211	34495219	-	0.000	0.000	Merged-chr6-34495216-31
NR6642--MA0002.2.RUNX1	chr4	107210429	107210439	-	0.000	0.000	Merged-chr4-107210545-62
NR5838--MA0511.2.RUNX2	chr3	65435375	65435383	+	0.000	0.000	Merged-chr3-65435198-48
NR1700--MA0002.2.RUNX1	chr11	109445750	109445760	+	0.000	0.000	Merged-chr11-109445792-26
NR2140--MA0002.2.RUNX1	chr12	102653020	102653030	-	0.000	0.000	Merged-chr12-102653179-3
NR1607--MA0511.2.RUNX2	chr11	82183452	82183460	-	0.000	0.000	Merged-chr11-82183511-55
NR17--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR618--MA0002.2.RUNX1	chr1	164960257	164960267	+	0.000	0.000	Merged-chr1-164960365-86
NR4072--MA0002.2.RUNX1	chr17	18032516	18032526	+	0.000	0.000	Merged-chr17-18032603-1
NR2392--MA0002.2.RUNX1	chr13	42049066	42049076	-	0.000	0.000	Merged-chr13-42049130-34
NR7005--MA0002.2.RUNX1	chr5	44606812	44606822	-	0.000	0.000	Merged-chr5-44606765-1
NR6423--MA0684.1.RUNX3	chr4	44097943	44097952	-	0.000	0.000	Merged-chr4-44098042-4
NR599--MA0002.2.RUNX1	chr1	161309625	161309635	-	0.000	0.000	Merged-chr1-161309457-43
NR1174--MA0511.2.RUNX2	chr10	91167021	91167029	+	0.000	0.000	Merged-chr10-91167120-36
NR3298--MA0684.1.RUNX3	chr15	36214894	36214903	-	0.000	0.000	Merged-chr15-36214970-54
NR333--MA0684.1.RUNX3	chr1	86005772	86005781	+	0.000	0.000	Merged-chr1-86005917-70
NR3569--MA0684.1.RUNX3	chr15	100461457	100461466	-	0.000	0.000	Merged-chr15-100461368-57
NR3026--MA0002.2.RUNX1	chr14	74847840	74847850	+	0.000	0.000	Merged-chr14-74847708-53
NR727--MA0002.2.RUNX1	chr1	184005826	184005836	-	0.000	0.000	Merged-chr1-184005889-70
NR4181--MA0002.2.RUNX1	chr17	35222533	35222543	-	0.000	0.000	Merged-chr17-35222576-28
NR141--MA0511.2.RUNX2	chr1	40465641	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR4723--MA0002.2.RUNX1	chr18	84807898	84807908	+	0.000	0.000	Merged-chr18-84807959-18
NR4247--MA0002.2.RUNX1	chr17	52463554	52463564	+	0.000	0.000	Merged-chr17-52463426-13
NR2296--MA0002.2.RUNX1	chr13	13557077	13557087	+	0.000	0.000	Merged-chr13-13557258-36
NR979--MA0002.2.RUNX1	chr10	39023754	39023764	+	0.000	0.000	Merged-chr10-39023842-41
NR8335--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR4581--MA0684.1.RUNX3	chr18	56718579	56718588	-	0.000	0.000	Merged-chr18-56718597-44
NR2153--MA0002.2.RUNX1	chr12	107993221	107993231	+	0.000	0.000	Merged-chr12-107993325-68
NR171--MA0684.1.RUNX3	chr1	53774180	53774189	+	0.000	0.000	Merged-chr1-53774073-61
