#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR298--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR1698--MA0508.2.PRDM1	chr4	114909015	114909024	+	0.000	0.000	Merged-chr4-114908814-141
NR1760--MA0508.2.PRDM1	chr4	155095399	155095408	+	0.000	0.000	Merged-chr4-155095407-34
NR1393--MA0508.2.PRDM1	chr2	168230535	168230544	+	0.000	0.000	Merged-chr2-168230468-122
NR902--MA0508.2.PRDM1	chr15	98623492	98623501	-	0.000	0.000	Merged-chr15-98623504-45
NR1882--MA0508.2.PRDM1	chr5	124497027	124497036	+	0.000	0.000	Merged-chr5-124497096-41
NR1011--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR1895--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR862--MA0508.2.PRDM1	chr15	62780929	62780938	-	0.000	0.000	Merged-chr15-62781008-8
NR1818--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR2258--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR1669--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR950--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR1093--MA0508.2.PRDM1	chr18	34118175	34118184	-	0.000	0.000	Merged-chr18-34118477-76
NR1486--MA0508.2.PRDM1	chr3	96557067	96557076	-	0.000	0.000	Merged-chr3-96557157-22
NR1072--MA0508.2.PRDM1	chr17	88403478	88403487	+	0.000	0.000	Merged-chr17-88403515-53
NR1866--MA0508.2.PRDM1	chr5	105110387	105110396	-	0.000	0.000	Merged-chr5-105110402-76
NR1181--MA0508.2.PRDM1	chr19	32186694	32186703	+	0.000	0.000	Merged-chr19-32186788-54
NR1723--MA0508.2.PRDM1	chr4	134273506	134273515	+	0.000	0.000	Merged-chr4-134273569-45
NR1975--MA0508.2.PRDM1	chr6	72900502	72900511	+	0.000	0.000	Merged-chr6-72900407-12
NR1356--MA0508.2.PRDM1	chr2	140042508	140042517	-	0.000	0.000	Merged-chr2-140042676-83
NR1213--MA0508.2.PRDM1	chr2	5714496	5714505	+	0.000	0.000	Merged-chr2-5714351-135
NR1194--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1117--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR1098--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR2490--MA0508.2.PRDM1	chrX	100504601	100504610	-	0.000	0.000	Merged-chrX-100504535-34
NR1444--MA0508.2.PRDM1	chr3	59260876	59260885	-	0.000	0.000	Merged-chr3-59260932-51
NR1715--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR3--MA0508.2.PRDM1	chr1	13293643	13293652	-	0.000	0.000	Merged-chr1-13293593-50
NR772--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR804--MA0508.2.PRDM1	chr14	99265969	99265978	+	0.000	0.000	Merged-chr14-99266048-28
NR1152--MA0508.2.PRDM1	chr19	4114053	4114062	+	0.000	0.000	Merged-chr19-4113915-47
NR2482--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR1436--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR132--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR939--MA0508.2.PRDM1	chr16	36598480	36598489	+	0.000	0.000	Merged-chr16-36598490-46
NR1829--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR1415--MA0508.2.PRDM1	chr3	22022385	22022394	+	0.000	0.000	Merged-chr3-22022540-24
NR982--MA0508.2.PRDM1	chr16	92654028	92654037	+	0.000	0.000	Merged-chr16-92654045-22
NR33--MA0508.2.PRDM1	chr1	43224399	43224408	+	0.000	0.000	Merged-chr1-43224405-37
NR634--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR220--MA0508.2.PRDM1	chr10	12842776	12842785	+	0.000	0.000	Merged-chr10-12842715-46
NR2331--MA0508.2.PRDM1	chr8	122304203	122304212	+	0.000	0.000	Merged-chr8-122304236-12
NR1157--MA0508.2.PRDM1	chr19	10747842	10747851	+	0.000	0.000	Merged-chr19-10747819-69
NR2440--MA0508.2.PRDM1	chr9	102625646	102625655	+	0.000	0.000	Merged-chr9-102625698-1
NR899--MA0508.2.PRDM1	chr15	97837525	97837534	+	0.000	0.000	Merged-chr15-97837692-8
NR1123--MA0508.2.PRDM1	chr18	67255666	67255675	-	0.000	0.000	Merged-chr18-67255745-40
NR961--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1027--MA0508.2.PRDM1	chr17	44675234	44675243	+	0.000	0.000	Merged-chr17-44675111-13
NR59--MA0508.2.PRDM1	chr1	80746397	80746406	+	0.000	0.000	Merged-chr1-80746602-112
NR865--MA0508.2.PRDM1	chr15	66702897	66702906	+	0.000	0.000	Merged-chr15-66702981-58
NR1407--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR974--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR878--MA0508.2.PRDM1	chr15	81745152	81745161	-	0.000	0.000	Merged-chr15-81745308-45
NR1006--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR2432--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR573--MA0508.2.PRDM1	chr12	118525318	118525327	+	0.000	0.000	Merged-chr12-118525490-1
NR1529--MA0508.2.PRDM1	chr3	126693633	126693642	+	0.000	0.000	Merged-chr3-126693413-64
NR1115--MA0508.2.PRDM1	chr18	62188971	62188980	+	0.000	0.000	Merged-chr18-62189000-72
NR682--MA0508.2.PRDM1	chr13	95891033	95891042	+	0.000	0.000	Merged-chr13-95891213-14
NR714--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR300--MA0508.2.PRDM1	chr10	94552159	94552168	+	0.000	0.000	Merged-chr10-94552139-57
NR1237--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR2392--MA0508.2.PRDM1	chr9	62349320	62349329	+	0.000	0.000	Merged-chr9-62349502-36
NR2424--MA0508.2.PRDM1	chr9	84972166	84972175	-	0.000	0.000	Merged-chr9-84971931-23
NR422--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR2262--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR945--MA0508.2.PRDM1	chr16	44356491	44356500	+	0.000	0.000	Merged-chr16-44356525-24
NR326--MA0508.2.PRDM1	chr10	118458964	118458973	+	0.000	0.000	Merged-chr10-118459008-40
NR164--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR2403--MA0508.2.PRDM1	chr9	69034361	69034370	+	0.000	0.000	Merged-chr9-69034461-64
NR273--MA0508.2.PRDM1	chr10	77515728	77515737	+	0.000	0.000	Merged-chr10-77515813-50
NR1229--MA0508.2.PRDM1	chr2	25170433	25170442	-	0.000	0.000	Merged-chr2-25170502-21
NR401--MA0508.2.PRDM1	chr11	80498173	80498182	-	0.000	0.000	Merged-chr11-80498094-2
NR382--MA0508.2.PRDM1	chr11	58189826	58189835	+	0.000	0.000	Merged-chr11-58189839-18
NR448--MA0508.2.PRDM1	chr12	3823805	3823814	-	0.000	0.000	Merged-chr12-3823687-29
NR286--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR2254--MA0508.2.PRDM1	chr8	34686660	34686669	-	0.000	0.000	Merged-chr8-34686570-26
NR666--MA0508.2.PRDM1	chr13	85498921	85498930	+	0.000	0.000	Merged-chr13-85498931-37
NR252--MA0508.2.PRDM1	chr10	57753280	57753289	+	0.000	0.000	Merged-chr10-57753371-62
NR1761--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR679--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR2124--MA0508.2.PRDM1	chr7	66116180	66116189	-	0.000	0.000	Merged-chr7-66116161-49
NR374--MA0508.2.PRDM1	chr11	52004191	52004200	+	0.000	0.000	Merged-chr11-52004219-51
NR1631--MA0508.2.PRDM1	chr4	53920831	53920840	-	0.000	0.000	Merged-chr4-53920761-26
NR2137--MA0508.2.PRDM1	chr7	80576044	80576053	-	0.000	0.000	Merged-chr7-80576009-57
NR2451--MA0508.2.PRDM1	chr9	116114430	116114439	+	0.000	0.000	Merged-chr9-116114550-42
NR244--MA0508.2.PRDM1	chr10	44821711	44821720	+	0.000	0.000	Merged-chr10-44821803-43
NR1501--MA0508.2.PRDM1	chr3	102738821	102738830	-	0.000	0.000	Merged-chr3-102738606-70
NR148--MA0508.2.PRDM1	chr1	161765936	161765945	-	0.000	0.000	Merged-chr1-161766108-8
NR1610--MA0508.2.PRDM1	chr4	16071597	16071606	+	0.000	0.000	Merged-chr4-16071517-41
NR257--MA0508.2.PRDM1	chr10	60352114	60352123	+	0.000	0.000	Merged-chr10-60352057-41
NR2225--MA0508.2.PRDM1	chr7	141455844	141455853	-	0.000	0.000	Merged-chr7-141455879-2
NR2477--MA0508.2.PRDM1	chrX	59584238	59584247	-	0.000	0.000	Merged-chrX-59584208-12
NR2334--MA0508.2.PRDM1	chr8	124046022	124046031	+	0.000	0.000	Merged-chr8-124045987-6
NR2204--MA0508.2.PRDM1	chr7	128611242	128611251	-	0.000	0.000	Merged-chr7-128611334-65
NR616--MA0508.2.PRDM1	chr13	30972270	30972279	-	0.000	0.000	Merged-chr13-30972253-49
NR2456--MA0508.2.PRDM1	chr9	120340031	120340040	+	0.000	0.000	Merged-chr9-120340117-48
NR1602--MA0508.2.PRDM1	chr4	9631243	9631252	-	0.000	0.000	Merged-chr4-9631004-95
NR2042--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR2089--MA0508.2.PRDM1	chr7	17135547	17135556	+	0.000	0.000	Merged-chr7-17135418-14
NR358--MA0508.2.PRDM1	chr11	20477808	20477817	+	0.000	0.000	Merged-chr11-20477652-51
NR629--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR576--MA0508.2.PRDM1	chr12	119157258	119157267	-	0.000	0.000	Merged-chr12-119157162-44
NR2068--MA0508.2.PRDM1	chr6	142823521	142823530	-	0.000	0.000	Merged-chr6-142823375-40
NR446--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1161--MA0508.2.PRDM1	chr19	11513696	11513705	-	0.000	0.000	Merged-chr19-11513556-25
NR2395--MA0508.2.PRDM1	chr9	63738502	63738511	+	0.000	0.000	Merged-chr9-63738316-120
NR207--MA0508.2.PRDM1	chr1	193273460	193273469	+	0.000	0.000	Merged-chr1-193273386-37
NR2047--MA0508.2.PRDM1	chr6	129817706	129817715	+	0.000	0.000	Merged-chr6-129817846-22
NR2299--MA0508.2.PRDM1	chr8	86856347	86856356	-	0.000	0.000	Merged-chr8-86856376-59
NR2156--MA0508.2.PRDM1	chr7	101341586	101341595	+	0.000	0.000	Merged-chr7-101341598-26
NR329--MA0508.2.PRDM1	chr10	118561871	118561880	+	0.000	0.000	Merged-chr10-118561767-20
NR1900--MA0508.2.PRDM1	chr5	146882603	146882612	-	0.000	0.000	Merged-chr5-146882424-24
NR2039--MA0508.2.PRDM1	chr6	121241940	121241949	-	0.000	0.000	Merged-chr6-121242053-23
NR398--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR1926--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR2095--MA0508.2.PRDM1	chr7	24608321	24608330	+	0.000	0.000	Merged-chr7-24608343-34
NR1730--MA0508.2.PRDM1	chr4	138282969	138282978	-	0.000	0.000	Merged-chr4-138283015-36
NR1982--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
NR1363--MA0508.2.PRDM1	chr2	145905309	145905318	+	0.000	0.000	Merged-chr2-145905286-60
NR2358--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR1342--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR832--MA0508.2.PRDM1	chr15	9529675	9529684	+	0.000	0.000	Merged-chr15-9529844-37
NR1722--MA0508.2.PRDM1	chr4	133757633	133757642	-	0.000	0.000	Merged-chr4-133757542-4
NR1735--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR920--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR1063--MA0508.2.PRDM1	chr17	85975159	85975168	-	0.000	0.000	Merged-chr17-85975060-32
NR1334--MA0508.2.PRDM1	chr2	119742213	119742222	-	0.000	0.000	Merged-chr2-119742331-93
NR1443--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR1714--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR1238--MA0508.2.PRDM1	chr2	34904947	34904956	+	0.000	0.000	Merged-chr2-34905139-61
NR933--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR1552--MA0508.2.PRDM1	chr3	138420515	138420524	-	0.000	0.000	Merged-chr3-138420589-27
NR2--MA0508.2.PRDM1	chr1	13161576	13161585	+	0.000	0.000	Merged-chr1-13161604-37
NR2058--MA0508.2.PRDM1	chr6	137541344	137541353	-	0.000	0.000	Merged-chr6-137541549-52
NR771--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR1294--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR40--MA0508.2.PRDM1	chr1	52100604	52100613	+	0.000	0.000	Merged-chr1-52100715-41
NR912--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR893--MA0508.2.PRDM1	chr15	95850110	95850119	+	0.000	0.000	Merged-chr15-95850129-22
NR402--MA0508.2.PRDM1	chr11	80498186	80498195	-	0.000	0.000	Merged-chr11-80498094-2
NR511--MA0508.2.PRDM1	chr12	84762574	84762583	+	0.000	0.000	Merged-chr12-84762785-51
NR1719--MA0508.2.PRDM1	chr4	132353366	132353375	-	0.000	0.000	Merged-chr4-132353572-54
NR981--MA0508.2.PRDM1	chr16	92621053	92621062	-	0.000	0.000	Merged-chr16-92621073-48
NR776--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR2330--MA0508.2.PRDM1	chr8	122285081	122285090	-	0.000	0.000	Merged-chr8-122285200-46
NR471--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR45--MA0508.2.PRDM1	chr1	60070965	60070974	+	0.000	0.000	Merged-chr1-60070874-17
NR580--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR503--MA0508.2.PRDM1	chr12	76957918	76957927	+	0.000	0.000	Merged-chr12-76957913-30
NR1278--MA0508.2.PRDM1	chr2	73281399	73281408	+	0.000	0.000	Merged-chr2-73281326-31
NR1135--MA0508.2.PRDM1	chr18	79080252	79080261	-	0.000	0.000	Merged-chr18-79080001-30
NR877--MA0508.2.PRDM1	chr15	80948576	80948585	-	0.000	0.000	Merged-chr15-80948556-72
NR572--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR1528--MA0508.2.PRDM1	chr3	126650982	126650991	+	0.000	0.000	Merged-chr3-126650760-81
NR224--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR1095--MA0508.2.PRDM1	chr18	36328877	36328886	-	0.000	0.000	Merged-chr18-36328839-42
NR1366--MA0508.2.PRDM1	chr2	147012125	147012134	+	0.000	0.000	Merged-chr2-147011946-5
NR604--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
