#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR13441--MA0089.1.MAFG::NFE2L1	chr9	107602150	107602155	+	0.000	0.000	Merged-chr9-107602294-28
NR4568--MA0501.1.MAF::NFE2	chr14	121965188	121965202	+	0.000	0.000	Merged-chr14-121965362-59
NR8298--MA0496.2.MAFK	chr3	84686965	84686983	+	0.000	0.000	Merged-chr3-84686985-16
NR12231--MA0591.1.Bach1::Mafk	chr7	136220748	136220762	-	0.000	0.000	Merged-chr7-136220645-21
NR2232--MA0591.1.Bach1::Mafk	chr11	75530552	75530566	-	0.000	0.000	Merged-chr11-75530665-33
NR9075--MA0495.2.MAFF	chr4	59278554	59278574	+	0.000	0.000	Merged-chr4-59278599-46
NR12340--MA0495.2.MAFF	chr8	10481064	10481084	-	0.000	0.000	Merged-chr8-10480951-33
NR6663--MA0089.1.MAFG::NFE2L1	chr19	40477793	40477798	+	0.000	0.000	Merged-chr19-40477844-34
NR121--MA0591.1.Bach1::Mafk	chr1	37310147	37310161	-	0.000	0.000	Merged-chr1-37310125-13
NR1367--MA0501.1.MAF::NFE2	chr10	44434871	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR6958--MA0591.1.Bach1::Mafk	chr2	33025302	33025316	+	0.000	0.000	Merged-chr2-33025277-16
NR1690--MA0089.1.MAFG::NFE2L1	chr10	96602613	96602618	+	0.000	0.000	Merged-chr10-96602495-12
NR8157--MA0089.1.MAFG::NFE2L1	chr3	51744511	51744516	-	0.000	0.000	Merged-chr3-51744632-10
NR4905--MA0089.1.MAFG::NFE2L1	chr15	89429598	89429603	+	0.000	0.000	Merged-chr15-89429749-75
NR12510--MA0591.1.Bach1::Mafk	chr8	66495990	66496004	-	0.000	0.000	Merged-chr8-66495916-40
NR5252--MA0591.1.Bach1::Mafk	chr16	55555392	55555406	-	0.000	0.000	Merged-chr16-55555428-28
NR2031--MA0501.1.MAF::NFE2	chr11	32486754	32486768	-	0.000	0.000	Merged-chr11-32486832-15
NR10755--MA0089.1.MAFG::NFE2L1	chr6	52306248	52306253	+	0.000	0.000	Merged-chr6-52306168-25
NR5921--MA0089.1.MAFG::NFE2L1	chr17	74717768	74717773	-	0.000	0.000	Merged-chr17-74717725-59
NR4983--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR8226--MA0501.1.MAF::NFE2	chr3	65858259	65858273	+	0.000	0.000	Merged-chr3-65858192-18
NR8459--MA0089.1.MAFG::NFE2L1	chr3	103802476	103802481	-	0.000	0.000	Merged-chr3-103802336-72
NR9874--MA0659.1.MAFG	chr5	35713861	35713881	+	0.000	0.000	Merged-chr5-35713868-16
NR2557--MA0089.1.MAFG::NFE2L1	chr11	120981028	120981033	+	0.000	0.000	Merged-chr11-120981125-9
NR9185--MA0591.1.Bach1::Mafk	chr4	95162626	95162640	-	0.000	0.000	Merged-chr4-95162673-9
NR2933--MA0089.1.MAFG::NFE2L1	chr12	82251510	82251515	-	0.000	0.000	Merged-chr12-82251542-24
NR1513--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR3413--MA0496.2.MAFK	chr13	32825850	32825868	+	0.000	0.000	Merged-chr13-32825780-3
NR8055--MA0089.1.MAFG::NFE2L1	chr3	9853485	9853490	+	0.000	0.000	Merged-chr3-9853322-69
NR4868--MA0659.1.MAFG	chr15	81872293	81872313	+	0.000	0.000	Merged-chr15-81872198-88
NR4523--MA0117.2.Mafb	chr14	119236381	119236392	-	0.000	0.000	Merged-chr14-119236354-10
NR7766--MA0591.1.Bach1::Mafk	chr2	154603868	154603882	+	0.000	0.000	Merged-chr2-154603925-61
NR7717--MA0089.1.MAFG::NFE2L1	chr2	150362521	150362526	+	0.000	0.000	Merged-chr2-150362676-64
NR9077--MA0117.2.Mafb	chr4	59278554	59278565	+	0.000	0.000	Merged-chr4-59278599-46
NR3445--MA0495.2.MAFF	chr13	38211252	38211272	+	0.000	0.000	Merged-chr13-38211329-16
NR6831--MA0495.2.MAFF	chr2	6733575	6733595	+	0.000	0.000	Merged-chr2-6733505-17
NR5958--MA0659.1.MAFG	chr17	80621326	80621346	+	0.000	0.000	Merged-chr17-80621176-31
NR1661--MA0501.1.MAF::NFE2	chr10	93882921	93882935	-	0.000	0.000	Merged-chr10-93883012-34
NR7068--MA0501.1.MAF::NFE2	chr2	57407769	57407783	+	0.000	0.000	Merged-chr2-57407840-54
NR2020--MA0591.1.Bach1::Mafk	chr11	29692909	29692923	-	0.000	0.000	Merged-chr11-29692902-6
NR9864--MA0089.1.MAFG::NFE2L1	chr5	34466839	34466844	+	0.000	0.000	Merged-chr5-34466876-6
NR2664--MA0591.1.Bach1::Mafk	chr12	25013099	25013113	-	0.000	0.000	Merged-chr12-25013214-16
NR1122--MA0089.1.MAFG::NFE2L1	chr1	192487989	192487994	-	0.000	0.000	Merged-chr1-192488126-14
NR13426--MA0495.2.MAFF	chr9	105689643	105689663	-	0.000	0.000	Merged-chr9-105689631-24
NR6833--MA0659.1.MAFG	chr2	6733575	6733595	+	0.000	0.000	Merged-chr2-6733505-17
NR4998--MA0659.1.MAFG	chr16	4475219	4475239	-	0.000	0.000	Merged-chr16-4475244-54
NR2113--MA0496.2.MAFK	chr11	52046564	52046582	-	0.000	0.000	Merged-chr11-52046638-57
NR13759--MA0117.2.Mafb	chrX	106603049	106603060	+	0.000	0.000	Merged-chrX-106602991-38
NR12449--MA0089.1.MAFG::NFE2L1	chr8	41334269	41334274	+	0.000	0.000	Merged-chr8-41334366-24
NR11029--MA0089.1.MAFG::NFE2L1	chr6	89422838	89422843	-	0.000	0.000	Merged-chr6-89422834-19
NR10615--MA0659.1.MAFG	chr6	15726619	15726639	+	0.000	0.000	Merged-chr6-15726718-35
NR10645--MA0501.1.MAF::NFE2	chr6	28385242	28385256	+	0.000	0.000	Merged-chr6-28385371-21
NR8529--MA0591.1.Bach1::Mafk	chr3	115689612	115689626	+	0.000	0.000	Merged-chr3-115689717-44
NR4098--MA0117.2.Mafb	chr14	30024467	30024478	-	0.000	0.000	Merged-chr14-30024538-20
NR1358--MA0501.1.MAF::NFE2	chr10	44004539	44004553	-	0.000	0.000	Merged-chr10-44004537-1
NR10965--MA0591.1.Bach1::Mafk	chr6	72881455	72881469	-	0.000	0.000	Merged-chr6-72881581-61
NR13465--MA0089.1.MAFG::NFE2L1	chr9	112174593	112174598	+	0.000	0.000	Merged-chr9-112174843-101
NR163--MA0089.1.MAFG::NFE2L1	chr1	43299542	43299547	-	0.000	0.000	Merged-chr1-43299668-27
NR1368--MA0496.2.MAFK	chr10	44434866	44434884	+	0.000	0.000	Merged-chr10-44434814-22
NR11001--MA0089.1.MAFG::NFE2L1	chr6	83795165	83795170	+	0.000	0.000	Merged-chr6-83795051-68
NR11376--MA0501.1.MAF::NFE2	chr6	134058652	134058666	+	0.000	0.000	Merged-chr6-134058621-9
NR286--MA0659.1.MAFG	chr1	75533526	75533546	-	0.000	0.000	Merged-chr1-75533497-24
NR4223--MA0089.1.MAFG::NFE2L1	chr14	60744650	60744655	-	0.000	0.000	Merged-chr14-60744715-28
NR10853--MA0089.1.MAFG::NFE2L1	chr6	65538444	65538449	-	0.000	0.000	Merged-chr6-65538516-95
NR2711--MA0659.1.MAFG	chr12	32774704	32774724	+	0.000	0.000	Merged-chr12-32774759-19
NR1265--MA0496.2.MAFK	chr10	21476469	21476487	+	0.000	0.000	Merged-chr10-21476462-10
NR11418--MA0089.1.MAFG::NFE2L1	chr6	136551112	136551117	+	0.000	0.000	Merged-chr6-136551186-18
NR3105--MA0591.1.Bach1::Mafk	chr12	103995370	103995384	-	0.000	0.000	Merged-chr12-103995489-26
NR3509--MA0089.1.MAFG::NFE2L1	chr13	45919217	45919222	-	0.000	0.000	Merged-chr13-45919195-6
NR13748--MA0591.1.Bach1::Mafk	chrX	103616989	103617003	-	0.000	0.000	Merged-chrX-103616839-86
NR485--MA0496.2.MAFK	chr1	106187696	106187714	+	0.000	0.000	Merged-chr1-106187715-26
NR3699--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR4978--MA0496.2.MAFK	chr15	101241137	101241155	-	0.000	0.000	Merged-chr15-101241005-42
NR2163--MA0495.2.MAFF	chr11	60199797	60199817	-	0.000	0.000	Merged-chr11-60199892-26
NR9007--MA0089.1.MAFG::NFE2L1	chr4	46095679	46095684	+	0.000	0.000	Merged-chr4-46095668-16
NR13478--MA0089.1.MAFG::NFE2L1	chr9	114480402	114480407	+	0.000	0.000	Merged-chr9-114480387-11
NR2355--MA0496.2.MAFK	chr11	94275921	94275939	-	0.000	0.000	Merged-chr11-94275707-70
NR8153--MA0089.1.MAFG::NFE2L1	chr3	51234640	51234645	-	0.000	0.000	Merged-chr3-51234583-28
NR12649--MA0089.1.MAFG::NFE2L1	chr8	87765275	87765280	-	0.000	0.000	Merged-chr8-87765293-3
NR5212--MA0591.1.Bach1::Mafk	chr16	50201784	50201798	-	0.000	0.000	Merged-chr16-50201808-40
NR6424--MA0501.1.MAF::NFE2	chr18	80469706	80469720	-	0.000	0.000	Merged-chr18-80469735-111
NR13074--MA0089.1.MAFG::NFE2L1	chr9	45291890	45291895	+	0.000	0.000	Merged-chr9-45291923-45
NR576--MA0591.1.Bach1::Mafk	chr1	131652865	131652879	+	0.000	0.000	Merged-chr1-131653128-44
NR7601--MA0659.1.MAFG	chr2	132874100	132874120	-	0.000	0.000	Merged-chr2-132874056-29
NR11807--MA0089.1.MAFG::NFE2L1	chr7	68250580	68250585	-	0.000	0.000	Merged-chr7-68250535-42
NR9340--MA0495.2.MAFF	chr4	116018506	116018526	-	0.000	0.000	Merged-chr4-116018460-3
NR11316--MA0089.1.MAFG::NFE2L1	chr6	128803270	128803275	+	0.000	0.000	Merged-chr6-128803141-52
NR3407--MA0089.1.MAFG::NFE2L1	chr13	30972086	30972091	-	0.000	0.000	Merged-chr13-30972253-49
NR9315--MA0117.2.Mafb	chr4	109136703	109136714	+	0.000	0.000	Merged-chr4-109136872-28
NR8125--MA0495.2.MAFF	chr3	35802266	35802286	-	0.000	0.000	Merged-chr3-35802225-4
NR10747--MA0501.1.MAF::NFE2	chr6	51384072	51384086	+	0.000	0.000	Merged-chr6-51384192-15
NR1976--MA0501.1.MAF::NFE2	chr11	20553188	20553202	+	0.000	0.000	Merged-chr11-20553238-64
NR8675--MA0496.2.MAFK	chr3	138686819	138686837	-	0.000	0.000	Merged-chr3-138686837-12
NR11391--MA0089.1.MAFG::NFE2L1	chr6	134883908	134883913	+	0.000	0.000	Merged-chr6-134883955-22
NR1991--MA0495.2.MAFF	chr11	23570306	23570326	-	0.000	0.000	Merged-chr11-23570355-13
NR3483--MA0117.2.Mafb	chr13	44819586	44819597	+	0.000	0.000	Merged-chr13-44819494-25
NR6193--MA0117.2.Mafb	chr18	39185933	39185944	-	0.000	0.000	Merged-chr18-39185847-29
NR8554--MA0591.1.Bach1::Mafk	chr3	121874815	121874829	+	0.000	0.000	Merged-chr3-121874730-10
NR10677--MA0089.1.MAFG::NFE2L1	chr6	32158519	32158524	-	0.000	0.000	Merged-chr6-32158498-25
NR2640--MA0089.1.MAFG::NFE2L1	chr12	16049797	16049802	-	0.000	0.000	Merged-chr12-16049748-36
NR5118--MA0501.1.MAF::NFE2	chr16	33179878	33179892	+	0.000	0.000	Merged-chr16-33179922-1
NR6909--MA0501.1.MAF::NFE2	chr2	23006520	23006534	+	0.000	0.000	Merged-chr2-23006422-36
NR8214--MA0496.2.MAFK	chr3	61467449	61467467	+	0.000	0.000	Merged-chr3-61467409-30
NR469--MA0591.1.Bach1::Mafk	chr1	105292045	105292059	-	0.000	0.000	Merged-chr1-105291975-13
NR2566--MA0089.1.MAFG::NFE2L1	chr12	3959992	3959997	-	0.000	0.000	Merged-chr12-3960054-48
NR11806--MA0496.2.MAFK	chr7	68225771	68225789	-	0.000	0.000	Merged-chr7-68225775-20
NR6194--MA0089.1.MAFG::NFE2L1	chr18	39250781	39250786	-	0.000	0.000	Merged-chr18-39250948-35
NR9038--MA0591.1.Bach1::Mafk	chr4	49567752	49567766	+	0.000	0.000	Merged-chr4-49567834-34
NR7953--MA0495.2.MAFF	chr2	174566021	174566041	-	0.000	0.000	Merged-chr2-174566072-46
NR1541--MA0659.1.MAFG	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR7856--MA0591.1.Bach1::Mafk	chr2	164389634	164389648	-	0.000	0.000	Merged-chr2-164389680-42
NR10525--MA0501.1.MAF::NFE2	chr5	147697469	147697483	-	0.000	0.000	Merged-chr5-147697335-17
NR2624--MA0591.1.Bach1::Mafk	chr12	11300744	11300758	-	0.000	0.000	Merged-chr12-11300955-23
NR9005--MA0089.1.MAFG::NFE2L1	chr4	45342165	45342170	-	0.000	0.000	Merged-chr4-45342285-81
NR13065--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	+	0.000	0.000	Merged-chr9-44999415-9
NR6496--MA0089.1.MAFG::NFE2L1	chr19	4269234	4269239	+	0.000	0.000	Merged-chr19-4269199-28
NR13124--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR11965--MA0117.2.Mafb	chr7	101538345	101538356	-	0.000	0.000	Merged-chr7-101538203-73
NR10662--MA0089.1.MAFG::NFE2L1	chr6	30804862	30804867	+	0.000	0.000	Merged-chr6-30804874-26
NR9080--MA0089.1.MAFG::NFE2L1	chr4	59331867	59331872	+	0.000	0.000	Merged-chr4-59331656-79
NR5563--MA0495.2.MAFF	chr17	13208660	13208680	-	0.000	0.000	Merged-chr17-13208567-23
NR7773--MA0501.1.MAF::NFE2	chr2	155079748	155079762	-	0.000	0.000	Merged-chr2-155079749-45
NR5667--MA0089.1.MAFG::NFE2L1	chr17	28257058	28257063	-	0.000	0.000	Merged-chr17-28256965-58
NR9295--MA0089.1.MAFG::NFE2L1	chr4	106794720	106794725	-	0.000	0.000	Merged-chr4-106794567-50
NR13022--MA0591.1.Bach1::Mafk	chr9	35475550	35475564	-	0.000	0.000	Merged-chr9-35475679-27
NR2464--MA0089.1.MAFG::NFE2L1	chr11	113617867	113617872	+	0.000	0.000	Merged-chr11-113617843-27
NR1420--MA0089.1.MAFG::NFE2L1	chr10	58351645	58351650	-	0.000	0.000	Merged-chr10-58351765-21
NR6086--MA0591.1.Bach1::Mafk	chr18	6281375	6281389	-	0.000	0.000	Merged-chr18-6281338-48
NR10432--MA0117.2.Mafb	chr5	139377529	139377540	-	0.000	0.000	Merged-chr5-139377554-24
NR3480--MA0089.1.MAFG::NFE2L1	chr13	44800185	44800190	+	0.000	0.000	Merged-chr13-44800110-59
NR891--MA0659.1.MAFG	chr1	171767103	171767123	-	0.000	0.000	Merged-chr1-171767245-53
NR8497--MA0495.2.MAFF	chr3	108537560	108537580	+	0.000	0.000	Merged-chr3-108537509-16
NR3388--MA0495.2.MAFF	chr13	29805496	29805516	-	0.000	0.000	Merged-chr13-29805422-4
NR10618--MA0496.2.MAFK	chr6	15726620	15726638	-	0.000	0.000	Merged-chr6-15726718-35
NR6563--MA0501.1.MAF::NFE2	chr19	14503996	14504010	-	0.000	0.000	Merged-chr19-14504107-29
NR5471--MA0659.1.MAFG	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR10290--MA0501.1.MAF::NFE2	chr5	115126769	115126783	+	0.000	0.000	Merged-chr5-115126925-31
NR7403--MA0501.1.MAF::NFE2	chr2	117374459	117374473	-	0.000	0.000	Merged-chr2-117374468-47
NR11883--MA0495.2.MAFF	chr7	80936802	80936822	-	0.000	0.000	Merged-chr7-80936896-39
NR5368--MA0501.1.MAF::NFE2	chr16	84625359	84625373	-	0.000	0.000	Merged-chr16-84625247-15
NR2410--MA0495.2.MAFF	chr11	104664024	104664044	+	0.000	0.000	Merged-chr11-104664090-22
NR12883--MA0591.1.Bach1::Mafk	chr8	125558645	125558659	+	0.000	0.000	Merged-chr8-125558804-33
NR8479--MA0089.1.MAFG::NFE2L1	chr3	106785187	106785192	-	0.000	0.000	Merged-chr3-106785320-62
NR7879--MA0591.1.Bach1::Mafk	chr2	167775307	167775321	-	0.000	0.000	Merged-chr2-167775389-53
NR11716--MA0089.1.MAFG::NFE2L1	chr7	45128917	45128922	+	0.000	0.000	Merged-chr7-45128961-54
NR627--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR9014--MA0495.2.MAFF	chr4	46560560	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR5276--MA0089.1.MAFG::NFE2L1	chr16	57634365	57634370	+	0.000	0.000	Merged-chr16-57634391-20
NR2167--MA0501.1.MAF::NFE2	chr11	60353048	60353062	-	0.000	0.000	Merged-chr11-60353018-61
NR9148--MA0591.1.Bach1::Mafk	chr4	88722181	88722195	-	0.000	0.000	Merged-chr4-88722242-68
NR6581--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR9132--MA0117.2.Mafb	chr4	84822666	84822677	-	0.000	0.000	Merged-chr4-84822671-2
NR289--MA0496.2.MAFK	chr1	75533527	75533545	-	0.000	0.000	Merged-chr1-75533497-24
NR589--MA0089.1.MAFG::NFE2L1	chr1	133159538	133159543	+	0.000	0.000	Merged-chr1-133159409-33
NR4797--MA0591.1.Bach1::Mafk	chr15	67290243	67290257	+	0.000	0.000	Merged-chr15-67290142-69
NR11993--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR3839--MA0591.1.Bach1::Mafk	chr13	105393741	105393755	-	0.000	0.000	Merged-chr13-105393755-1
NR1585--MA0591.1.Bach1::Mafk	chr10	83723242	83723256	+	0.000	0.000	Merged-chr10-83723178-1
NR10542--MA0496.2.MAFK	chr5	149454665	149454683	+	0.000	0.000	Merged-chr5-149454508-33
NR7651--MA0659.1.MAFG	chr2	144245718	144245738	+	0.000	0.000	Merged-chr2-144245539-27
NR8181--MA0117.2.Mafb	chr3	55688375	55688386	+	0.000	0.000	Merged-chr3-55688329-24
NR2940--MA0501.1.MAF::NFE2	chr12	84218910	84218924	+	0.000	0.000	Merged-chr12-84218783-53
NR9365--MA0117.2.Mafb	chr4	120815857	120815868	-	0.000	0.000	Merged-chr4-120815867-58
NR12658--MA0089.1.MAFG::NFE2L1	chr8	88244522	88244527	+	0.000	0.000	Merged-chr8-88244347-35
NR9103--MA0089.1.MAFG::NFE2L1	chr4	63595363	63595368	+	0.000	0.000	Merged-chr4-63595459-34
NR55--MA0117.2.Mafb	chr1	21896421	21896432	-	0.000	0.000	Merged-chr1-21896423-20
NR2966--MA0089.1.MAFG::NFE2L1	chr12	86895330	86895335	+	0.000	0.000	Merged-chr12-86895308-3
NR2099--MA0089.1.MAFG::NFE2L1	chr11	49094013	49094018	+	0.000	0.000	Merged-chr11-49094027-55
NR5624--MA0591.1.Bach1::Mafk	chr17	24084866	24084880	+	0.000	0.000	Merged-chr17-24084802-20
NR5946--MA0591.1.Bach1::Mafk	chr17	80139920	80139934	-	0.000	0.000	Merged-chr17-80140059-47
NR9809--MA0089.1.MAFG::NFE2L1	chr5	20845378	20845383	+	0.000	0.000	Merged-chr5-20845245-18
NR8365--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	-	0.000	0.000	Merged-chr3-90587051-129
NR2851--MA0089.1.MAFG::NFE2L1	chr12	72847884	72847889	+	0.000	0.000	Merged-chr12-72847862-14
NR6561--MA0117.2.Mafb	chr19	14503996	14504007	+	0.000	0.000	Merged-chr19-14504107-29
NR8128--MA0591.1.Bach1::Mafk	chr3	35802269	35802283	-	0.000	0.000	Merged-chr3-35802225-4
NR3455--MA0591.1.Bach1::Mafk	chr13	40922627	40922641	+	0.000	0.000	Merged-chr13-40922608-25
NR10216--MA0495.2.MAFF	chr5	103817972	103817992	-	0.000	0.000	Merged-chr5-103817975-33
NR7604--MA0496.2.MAFK	chr2	132874101	132874119	+	0.000	0.000	Merged-chr2-132874056-29
NR8940--MA0496.2.MAFK	chr4	20033152	20033170	+	0.000	0.000	Merged-chr4-20033263-40
NR2562--MA0089.1.MAFG::NFE2L1	chr12	3349592	3349597	-	0.000	0.000	Merged-chr12-3349585-15
NR7764--MA0501.1.MAF::NFE2	chr2	154455639	154455653	-	0.000	0.000	Merged-chr2-154455831-9
NR9457--MA0496.2.MAFK	chr4	134483936	134483954	-	0.000	0.000	Merged-chr4-134483836-10
NR8322--MA0591.1.Bach1::Mafk	chr3	87525574	87525588	-	0.000	0.000	Merged-chr3-87525732-56
NR13024--MA0496.2.MAFK	chr9	35475548	35475566	+	0.000	0.000	Merged-chr9-35475679-27
NR9016--MA0117.2.Mafb	chr4	46560569	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR8060--MA0089.1.MAFG::NFE2L1	chr3	10466083	10466088	+	0.000	0.000	Merged-chr3-10466039-18
NR2305--MA0659.1.MAFG	chr11	85324146	85324166	-	0.000	0.000	Merged-chr11-85324179-42
NR2885--MA0495.2.MAFF	chr12	77020206	77020226	-	0.000	0.000	Merged-chr12-77020175-38
NR2527--MA0495.2.MAFF	chr11	119345104	119345124	+	0.000	0.000	Merged-chr11-119345028-19
NR6492--MA0089.1.MAFG::NFE2L1	chr19	4119814	4119819	-	0.000	0.000	Merged-chr19-4119891-46
NR2350--MA0591.1.Bach1::Mafk	chr11	94275923	94275937	+	0.000	0.000	Merged-chr11-94275707-70
NR2430--MA0117.2.Mafb	chr11	106961665	106961676	-	0.000	0.000	Merged-chr11-106961822-47
NR6089--MA0496.2.MAFK	chr18	6281373	6281391	-	0.000	0.000	Merged-chr18-6281338-48
NR10800--MA0659.1.MAFG	chr6	54925857	54925877	-	0.000	0.000	Merged-chr6-54926058-40
NR8477--MA0089.1.MAFG::NFE2L1	chr3	106485958	106485963	+	0.000	0.000	Merged-chr3-106485995-50
NR5551--MA0501.1.MAF::NFE2	chr17	12039410	12039424	+	0.000	0.000	Merged-chr17-12039403-15
NR2896--MA0659.1.MAFG	chr12	77666582	77666602	+	0.000	0.000	Merged-chr12-77666709-12
NR1361--MA0495.2.MAFF	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR13863--MA0591.1.Bach1::Mafk	chrX	167106150	167106164	-	0.000	0.000	Merged-chrX-167106124-35
NR11438--MA0089.1.MAFG::NFE2L1	chr6	140548147	140548152	+	0.000	0.000	Merged-chr6-140548189-34
NR2286--MA0591.1.Bach1::Mafk	chr11	82961853	82961867	+	0.000	0.000	Merged-chr11-82962014-19
NR2299--MA0089.1.MAFG::NFE2L1	chr11	84016436	84016441	-	0.000	0.000	Merged-chr11-84016302-8
NR10584--MA0089.1.MAFG::NFE2L1	chr6	3620721	3620726	+	0.000	0.000	Merged-chr6-3620670-56
NR8990--MA0495.2.MAFF	chr4	40773395	40773415	-	0.000	0.000	Merged-chr4-40773188-44
NR7709--MA0591.1.Bach1::Mafk	chr2	148752454	148752468	+	0.000	0.000	Merged-chr2-148752390-72
NR1479--MA0501.1.MAF::NFE2	chr10	68249765	68249779	+	0.000	0.000	Merged-chr10-68249681-39
NR13067--MA0659.1.MAFG	chr9	44999338	44999358	+	0.000	0.000	Merged-chr9-44999415-9
NR3397--MA0496.2.MAFK	chr13	29805497	29805515	-	0.000	0.000	Merged-chr13-29805422-4
NR10736--MA0591.1.Bach1::Mafk	chr6	49128471	49128485	+	0.000	0.000	Merged-chr6-49128471-29
