#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1106--MA0482.1.Gata4	chr11	77766711	77766721	-	0.000	0.000	Merged-chr11-77766597-12
NR5768--MA1104.1.GATA6	chr6	98843186	98843198	-	0.000	0.000	Merged-chr6-98843089-22
NR1087--MA0482.1.Gata4	chr11	70653429	70653439	-	0.000	0.000	Merged-chr11-70653653-5
NR2988--MA0766.1.GATA5	chr16	93918466	93918473	-	0.000	0.000	Merged-chr16-93918388-61
NR4940--MA0482.1.Gata4	chr4	133879300	133879310	+	0.000	0.000	Merged-chr4-133879423-50
NR1808--MA1104.1.GATA6	chr13	41097617	41097629	+	0.000	0.000	Merged-chr13-41097728-40
NR4914--MA1104.1.GATA6	chr4	126677480	126677492	+	0.000	0.000	Merged-chr4-126677717-65
NR2870--MA0035.3.Gata1	chr16	50839801	50839811	+	0.000	0.000	Merged-chr16-50839866-11
NR7007--MA0035.3.Gata1	chr9	116153054	116153064	+	0.000	0.000	Merged-chr9-116153221-33
NR1419--MA0766.1.GATA5	chr12	31997094	31997101	+	0.000	0.000	Merged-chr12-31997107-37
NR5149--MA1104.1.GATA6	chr5	30887490	30887502	+	0.000	0.000	Merged-chr5-30887642-12
NR5327--MA0035.3.Gata1	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR2820--MA1104.1.GATA6	chr16	32645536	32645548	-	0.000	0.000	Merged-chr16-32645495-50
NR5877--MA1104.1.GATA6	chr6	129917827	129917839	-	0.000	0.000	Merged-chr6-129917853-39
NR3326--MA1104.1.GATA6	chr18	39831976	39831988	-	0.000	0.000	Merged-chr18-39831959-21
NR934--MA0035.3.Gata1	chr11	6528674	6528684	-	0.000	0.000	Merged-chr11-6528717-51
NR729--MA0035.3.Gata1	chr10	95262683	95262693	-	0.000	0.000	Merged-chr10-95262672-51
NR3674--MA0037.3.GATA3	chr2	11173735	11173742	-	0.000	0.000	Merged-chr2-11173621-55
NR7116--MA0035.3.Gata1	chrX	42399488	42399498	-	0.000	0.000	Merged-chrX-42399563-21
NR7025--MA0766.1.GATA5	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR4037--MA0037.3.GATA3	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR6394--MA0036.3.GATA2	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR3365--MA0482.1.Gata4	chr18	56733836	56733846	-	0.000	0.000	Merged-chr18-56734019-60
NR6471--MA0482.1.Gata4	chr8	84357743	84357753	+	0.000	0.000	Merged-chr8-84357932-29
NR6352--MA0035.3.Gata1	chr8	4507819	4507829	+	0.000	0.000	Merged-chr8-4507701-32
NR5843--MA0037.3.GATA3	chr6	125231717	125231724	-	0.000	0.000	Merged-chr6-125231768-97
NR7090--MA1104.1.GATA6	chrX	13347154	13347166	+	0.000	0.000	Merged-chrX-13347316-78
NR5358--MA0766.1.GATA5	chr5	113157050	113157057	+	0.000	0.000	Merged-chr5-113157037-10
NR5425--MA0482.1.Gata4	chr5	136136240	136136250	+	0.000	0.000	Merged-chr5-136136075-63
NR1199--MA0035.3.Gata1	chr11	100545860	100545870	+	0.000	0.000	Merged-chr11-100545700-39
NR5952--MA0037.3.GATA3	chr6	140598741	140598748	-	0.000	0.000	Merged-chr6-140598794-45
NR489--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR6360--MA0036.3.GATA2	chr8	19703491	19703501	-	0.000	0.000	Merged-chr8-19703358-67
NR1721--MA0037.3.GATA3	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR735--MA1104.1.GATA6	chr10	96204409	96204421	-	0.000	0.000	Merged-chr10-96204406-28
NR2205--MA0766.1.GATA5	chr14	51057643	51057650	+	0.000	0.000	Merged-chr14-51057576-14
NR6960--MA0482.1.Gata4	chr9	100522270	100522280	-	0.000	0.000	Merged-chr9-100522209-27
NR987--MA1104.1.GATA6	chr11	32445891	32445903	-	0.000	0.000	Merged-chr11-32445818-14
NR936--MA0482.1.Gata4	chr11	6568134	6568144	+	0.000	0.000	Merged-chr11-6568162-40
NR6070--MA0482.1.Gata4	chr7	24845947	24845957	+	0.000	0.000	Merged-chr7-24845913-10
NR6474--MA0035.3.Gata1	chr8	84357742	84357752	+	0.000	0.000	Merged-chr8-84357932-29
NR4974--MA0766.1.GATA5	chr4	145263891	145263898	+	0.000	0.000	Merged-chr4-145263821-10
NR1069--MA0035.3.Gata1	chr11	68726957	68726967	+	0.000	0.000	Merged-chr11-68726851-12
NR6602--MA0035.3.Gata1	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR4446--MA0035.3.Gata1	chr3	126693182	126693192	+	0.000	0.000	Merged-chr3-126693084-1
NR3937--MA0037.3.GATA3	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR349--MA0036.3.GATA2	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
NR4969--MA0035.3.Gata1	chr4	145200596	145200606	-	0.000	0.000	Merged-chr4-145200481-37
NR2716--MA1104.1.GATA6	chr15	97790275	97790287	+	0.000	0.000	Merged-chr15-97790248-21
NR1821--MA0766.1.GATA5	chr13	43485540	43485547	-	0.000	0.000	Merged-chr13-43485409-24
NR6095--MA0140.2.GATA1::TAL1	chr7	34198569	34198586	-	0.000	0.000	Merged-chr7-34198569-7
NR2441--MA0140.2.GATA1::TAL1	chr14	121829945	121829962	+	0.000	0.000	Merged-chr14-121830164-49
NR3519--MA0482.1.Gata4	chr19	12805881	12805891	-	0.000	0.000	Merged-chr19-12806193-62
NR1178--MA0035.3.Gata1	chr11	97949929	97949939	+	0.000	0.000	Merged-chr11-97949895-26
NR1792--MA0036.3.GATA2	chr13	32993665	32993675	+	0.000	0.000	Merged-chr13-32993550-50
NR838--MA0036.3.GATA2	chr10	117938872	117938882	+	0.000	0.000	Merged-chr10-117938782-19
NR2535--MA0036.3.GATA2	chr15	50667570	50667580	+	0.000	0.000	Merged-chr15-50667671-62
NR4568--MA0035.3.Gata1	chr3	143348120	143348130	-	0.000	0.000	Merged-chr3-143348318-1
NR6291--MA0035.3.Gata1	chr7	122390320	122390330	+	0.000	0.000	Merged-chr7-122390315-39
NR4948--MA0035.3.Gata1	chr4	134496973	134496983	+	0.000	0.000	Merged-chr4-134496951-35
NR3135--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR4008--MA0037.3.GATA3	chr2	115855978	115855985	-	0.000	0.000	Merged-chr2-115856078-28
NR6241--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR4172--MA0766.1.GATA5	chr2	162998790	162998797	+	0.000	0.000	Merged-chr2-162998735-32
NR4443--MA0766.1.GATA5	chr3	126691146	126691153	+	0.000	0.000	Merged-chr3-126690917-48
NR6466--MA0035.3.Gata1	chr8	83715200	83715210	-	0.000	0.000	Merged-chr8-83715259-53
NR3786--MA0140.2.GATA1::TAL1	chr2	52319396	52319413	+	0.000	0.000	Merged-chr2-52319482-58
NR1088--MA1104.1.GATA6	chr11	70653429	70653441	+	0.000	0.000	Merged-chr11-70653653-5
NR4941--MA1104.1.GATA6	chr4	133879298	133879310	-	0.000	0.000	Merged-chr4-133879423-50
NR3078--MA0140.2.GATA1::TAL1	chr17	17374300	17374317	+	0.000	0.000	Merged-chr17-17374353-72
NR5721--MA0035.3.Gata1	chr6	84407447	84407457	-	0.000	0.000	Merged-chr6-84407362-1
NR2309--MA0036.3.GATA2	chr14	66241476	66241486	+	0.000	0.000	Merged-chr14-66241484-22
NR3101--MA0037.3.GATA3	chr17	26532845	26532852	+	0.000	0.000	Merged-chr17-26532798-20
NR3940--MA0036.3.GATA2	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR2495--MA0036.3.GATA2	chr15	25817329	25817339	+	0.000	0.000	Merged-chr15-25817272-36
NR6479--MA0035.3.Gata1	chr8	85429363	85429373	+	0.000	0.000	Merged-chr8-85429526-12
NR5830--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR6726--MA0482.1.Gata4	chr9	41118249	41118259	-	0.000	0.000	Merged-chr9-41118206-38
NR6102--MA0766.1.GATA5	chr7	45069781	45069788	+	0.000	0.000	Merged-chr7-45069861-43
NR3366--MA1104.1.GATA6	chr18	56733836	56733848	+	0.000	0.000	Merged-chr18-56734019-60
NR6472--MA1104.1.GATA6	chr8	84357741	84357753	-	0.000	0.000	Merged-chr8-84357932-29
NR1705--MA0037.3.GATA3	chr12	118930864	118930871	+	0.000	0.000	Merged-chr12-118930773-38
NR5522--MA0037.3.GATA3	chr5	149246273	149246280	+	0.000	0.000	Merged-chr5-149246178-51
NR5426--MA1104.1.GATA6	chr5	136136238	136136250	-	0.000	0.000	Merged-chr5-136136075-63
NR4250--MA0036.3.GATA2	chr3	9826842	9826852	+	0.000	0.000	Merged-chr3-9826871-7
NR2989--MA0035.3.Gata1	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR583--MA0482.1.Gata4	chr10	34172903	34172913	-	0.000	0.000	Merged-chr10-34172961-40
NR4297--MA0036.3.GATA2	chr3	52840428	52840438	+	0.000	0.000	Merged-chr3-52840378-53
NR4164--MA0766.1.GATA5	chr2	153350783	153350790	+	0.000	0.000	Merged-chr2-153350886-63
NR6961--MA1104.1.GATA6	chr9	100522270	100522282	+	0.000	0.000	Merged-chr9-100522209-27
NR5883--MA0037.3.GATA3	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR2346--MA0482.1.Gata4	chr14	78687948	78687958	+	0.000	0.000	Merged-chr14-78687892-42
NR4011--MA0036.3.GATA2	chr2	115855977	115855987	+	0.000	0.000	Merged-chr2-115856078-28
NR937--MA1104.1.GATA6	chr11	6568132	6568144	-	0.000	0.000	Merged-chr11-6568162-40
NR6434--MA0482.1.Gata4	chr8	70558448	70558458	-	0.000	0.000	Merged-chr8-70558477-31
NR2203--MA0482.1.Gata4	chr14	51057640	51057650	-	0.000	0.000	Merged-chr14-51057576-14
NR2649--MA0036.3.GATA2	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR4043--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
NR405--MA0766.1.GATA5	chr1	178685218	178685225	+	0.000	0.000	Merged-chr1-178685366-1
NR2038--MA0140.2.GATA1::TAL1	chr13	108853802	108853819	-	0.000	0.000	Merged-chr13-108853912-1
NR5612--MA0036.3.GATA2	chr6	41141088	41141098	+	0.000	0.000	Merged-chr6-41141136-19
NR6219--MA0035.3.Gata1	chr7	101504103	101504113	+	0.000	0.000	Merged-chr7-101503907-73
NR164--MA0140.2.GATA1::TAL1	chr1	91065254	91065271	-	0.000	0.000	Merged-chr1-91065226-49
NR5482--MA0037.3.GATA3	chr5	142920705	142920712	+	0.000	0.000	Merged-chr5-142920894-48
NR2739--MA0482.1.Gata4	chr16	7419926	7419936	+	0.000	0.000	Merged-chr16-7419949-42
NR1018--MA0140.2.GATA1::TAL1	chr11	49088527	49088544	-	0.000	0.000	Merged-chr11-49088320-57
NR6437--MA0035.3.Gata1	chr8	70558449	70558459	-	0.000	0.000	Merged-chr8-70558477-31
NR5906--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR5659--MA0140.2.GATA1::TAL1	chr6	54846999	54847016	-	0.000	0.000	Merged-chr6-54847008-7
NR2206--MA0035.3.Gata1	chr14	51057641	51057651	-	0.000	0.000	Merged-chr14-51057576-14
NR6050--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR5766--MA0037.3.GATA3	chr6	98843188	98843195	-	0.000	0.000	Merged-chr6-98843089-22
NR2342--MA1104.1.GATA6	chr14	78687783	78687795	-	0.000	0.000	Merged-chr14-78687892-42
NR6188--MA0140.2.GATA1::TAL1	chr7	92903842	92903859	-	0.000	0.000	Merged-chr7-92903803-41
NR5147--MA0037.3.GATA3	chr5	30887493	30887500	+	0.000	0.000	Merged-chr5-30887642-12
NR4908--MA0482.1.Gata4	chr4	126103849	126103859	+	0.000	0.000	Merged-chr4-126103759-104
NR6531--MA0140.2.GATA1::TAL1	chr8	106687703	106687720	+	0.000	0.000	Merged-chr8-106687705-18
NR6477--MA1104.1.GATA6	chr8	85429362	85429374	-	0.000	0.000	Merged-chr8-85429526-12
NR5875--MA0037.3.GATA3	chr6	129917829	129917836	-	0.000	0.000	Merged-chr6-129917853-39
NR3825--MA0766.1.GATA5	chr2	60845543	60845550	+	0.000	0.000	Merged-chr2-60845573-40
NR4641--MA0140.2.GATA1::TAL1	chr3	152210480	152210497	-	0.000	0.000	Merged-chr3-152210438-105
NR217--MA0035.3.Gata1	chr1	118403837	118403847	+	0.000	0.000	Merged-chr1-118403887-21
NR6509--MA0140.2.GATA1::TAL1	chr8	95001898	95001915	+	0.000	0.000	Merged-chr8-95001890-40
NR1973--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR3720--MA0035.3.Gata1	chr2	25111312	25111322	+	0.000	0.000	Merged-chr2-25111409-51
NR6727--MA1104.1.GATA6	chr9	41118249	41118261	+	0.000	0.000	Merged-chr9-41118206-38
NR3028--MA0482.1.Gata4	chr17	6079938	6079948	-	0.000	0.000	Merged-chr17-6079781-61
NR458--MA0482.1.Gata4	chr1	184536789	184536799	-	0.000	0.000	Merged-chr1-184536773-10
NR985--MA0037.3.GATA3	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR4039--MA0766.1.GATA5	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR2426--MA0482.1.Gata4	chr14	120525793	120525803	+	0.000	0.000	Merged-chr14-120525808-27
NR3785--MA0766.1.GATA5	chr2	52319395	52319402	-	0.000	0.000	Merged-chr2-52319482-58
NR4173--MA0035.3.Gata1	chr2	162998788	162998798	-	0.000	0.000	Merged-chr2-162998735-32
NR4444--MA0035.3.Gata1	chr3	126691144	126691154	-	0.000	0.000	Merged-chr3-126690917-48
NR898--MA0140.2.GATA1::TAL1	chr10	128696396	128696413	+	0.000	0.000	Merged-chr10-128696320-57
NR219--MA0482.1.Gata4	chr1	125466893	125466903	-	0.000	0.000	Merged-chr1-125466833-56
NR584--MA1104.1.GATA6	chr10	34172903	34172915	+	0.000	0.000	Merged-chr10-34172961-40
NR5150--MA0036.3.GATA2	chr5	30887491	30887501	-	0.000	0.000	Merged-chr5-30887642-12
NR3839--MA0037.3.GATA3	chr2	66185007	66185014	+	0.000	0.000	Merged-chr2-66184903-51
NR2714--MA0037.3.GATA3	chr15	97790278	97790285	+	0.000	0.000	Merged-chr15-97790248-21
NR2347--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR6071--MA0035.3.Gata1	chr7	24845946	24845956	+	0.000	0.000	Merged-chr7-24845913-10
NR6435--MA1104.1.GATA6	chr8	70558448	70558460	+	0.000	0.000	Merged-chr8-70558477-31
NR4847--MA0482.1.Gata4	chr4	101192431	101192441	+	0.000	0.000	Merged-chr4-101192584-17
NR70--MA0766.1.GATA5	chr1	43521167	43521174	+	0.000	0.000	Merged-chr1-43521160-6
NR4162--MA0482.1.Gata4	chr2	153350780	153350790	-	0.000	0.000	Merged-chr2-153350886-63
NR2819--MA0482.1.Gata4	chr16	32645538	32645548	+	0.000	0.000	Merged-chr16-32645495-50
NR2514--MA0482.1.Gata4	chr15	36375101	36375111	-	0.000	0.000	Merged-chr15-36375084-60
NR7112--MA0037.3.GATA3	chrX	42399490	42399497	+	0.000	0.000	Merged-chrX-42399563-21
NR5161--MA0037.3.GATA3	chr5	33468771	33468778	-	0.000	0.000	Merged-chr5-33468852-15
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR7089--MA0482.1.Gata4	chrX	13347154	13347164	-	0.000	0.000	Merged-chrX-13347316-78
NR3133--MA0037.3.GATA3	chr17	32350601	32350608	-	0.000	0.000	Merged-chr17-32350599-47
NR4165--MA0035.3.Gata1	chr2	153350781	153350791	-	0.000	0.000	Merged-chr2-153350886-63
NR6487--MA0482.1.Gata4	chr8	91073944	91073954	-	0.000	0.000	Merged-chr8-91073966-44
NR1086--MA0037.3.GATA3	chr11	70653432	70653439	+	0.000	0.000	Merged-chr11-70653653-5
NR922--MA0140.2.GATA1::TAL1	chr11	3227252	3227269	-	0.000	0.000	Merged-chr11-3227351-28
NR2046--MA0766.1.GATA5	chr13	109232149	109232156	-	0.000	0.000	Merged-chr13-109232171-58
NR4909--MA1104.1.GATA6	chr4	126103847	126103859	-	0.000	0.000	Merged-chr4-126103759-104
NR1264--MA0035.3.Gata1	chr11	108101663	108101673	+	0.000	0.000	Merged-chr11-108101692-19
NR6376--MA0036.3.GATA2	chr8	25962130	25962140	-	0.000	0.000	Merged-chr8-25962203-9
NR2888--MA0482.1.Gata4	chr16	58679047	58679057	-	0.000	0.000	Merged-chr16-58678885-20
NR6731--MA0140.2.GATA1::TAL1	chr9	41118241	41118258	-	0.000	0.000	Merged-chr9-41118206-38
NR3842--MA0036.3.GATA2	chr2	66185005	66185015	-	0.000	0.000	Merged-chr2-66184903-51
NR3637--MA0036.3.GATA2	chr19	46613396	46613406	+	0.000	0.000	Merged-chr19-46613309-39
NR3364--MA0037.3.GATA3	chr18	56733839	56733846	+	0.000	0.000	Merged-chr18-56734019-60
NR5907--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR2506--MA0482.1.Gata4	chr15	34412343	34412353	-	0.000	0.000	Merged-chr15-34412458-31
NR1304--MA0036.3.GATA2	chr11	114051354	114051364	-	0.000	0.000	Merged-chr11-114051191-1
NR5888--MA0035.3.Gata1	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR5864--MA0482.1.Gata4	chr6	129586993	129587003	+	0.000	0.000	Merged-chr6-129586992-7
NR6846--MA0482.1.Gata4	chr9	79970743	79970753	-	0.000	0.000	Merged-chr9-79970896-33
NR4024--MA0482.1.Gata4	chr2	117374271	117374281	+	0.000	0.000	Merged-chr2-117374468-47
NR3029--MA1104.1.GATA6	chr17	6079938	6079950	+	0.000	0.000	Merged-chr17-6079781-61
NR459--MA1104.1.GATA6	chr1	184536789	184536801	+	0.000	0.000	Merged-chr1-184536773-10
NR6135--MA1104.1.GATA6	chr7	67451657	67451669	-	0.000	0.000	Merged-chr7-67451602-26
NR2867--MA0482.1.Gata4	chr16	50839802	50839812	+	0.000	0.000	Merged-chr16-50839866-11
NR324--MA0140.2.GATA1::TAL1	chr1	155506907	155506924	-	0.000	0.000	Merged-chr1-155506901-12
NR1946--MA0766.1.GATA5	chr13	90930170	90930177	-	0.000	0.000	Merged-chr13-90930019-46
NR3032--MA0035.3.Gata1	chr17	6079939	6079949	-	0.000	0.000	Merged-chr17-6079781-61
NR3672--MA0140.2.GATA1::TAL1	chr2	9594140	9594157	+	0.000	0.000	Merged-chr2-9594121-50
NR5829--MA0766.1.GATA5	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR935--MA0037.3.GATA3	chr11	6568134	6568141	-	0.000	0.000	Merged-chr11-6568162-40
NR2427--MA1104.1.GATA6	chr14	120525791	120525803	-	0.000	0.000	Merged-chr14-120525808-27
NR6259--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR5218--MA0140.2.GATA1::TAL1	chr5	65795515	65795532	+	0.000	0.000	Merged-chr5-65795420-10
NR6116--MA0036.3.GATA2	chr7	47111356	47111366	+	0.000	0.000	Merged-chr7-47111394-88
NR4041--MA0037.3.GATA3	chr2	121457053	121457060	-	0.000	0.000	Merged-chr2-121457132-54
NR6101--MA1104.1.GATA6	chr7	45069778	45069790	+	0.000	0.000	Merged-chr7-45069861-43
NR4150--MA1104.1.GATA6	chr2	151530971	151530983	+	0.000	0.000	Merged-chr2-151531035-38
NR5591--MA0036.3.GATA2	chr6	32158580	32158590	+	0.000	0.000	Merged-chr6-32158498-25
NR2357--MA0482.1.Gata4	chr14	79481997	79482007	+	0.000	0.000	Merged-chr14-79481875-1
NR5819--MA0140.2.GATA1::TAL1	chr6	119217818	119217835	-	0.000	0.000	Merged-chr6-119217771-9
NR3640--MA0482.1.Gata4	chr19	46620060	46620070	-	0.000	0.000	Merged-chr19-46620252-57
NR5867--MA0035.3.Gata1	chr6	129586992	129587002	+	0.000	0.000	Merged-chr6-129586992-7
NR4146--MA0482.1.Gata4	chr2	150909932	150909942	+	0.000	0.000	Merged-chr2-150909929-87
NR4027--MA0035.3.Gata1	chr2	117374270	117374280	+	0.000	0.000	Merged-chr2-117374468-47
NR3518--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR5362--MA0766.1.GATA5	chr5	114374680	114374687	-	0.000	0.000	Merged-chr5-114374787-5
NR4705--MA1104.1.GATA6	chr4	33110180	33110192	-	0.000	0.000	Merged-chr4-33110299-20
NR5291--MA0035.3.Gata1	chr5	97055840	97055850	-	0.000	0.000	Merged-chr5-97055881-18
NR709--MA0037.3.GATA3	chr10	85411169	85411176	+	0.000	0.000	Merged-chr10-85411172-67
NR1035--MA0766.1.GATA5	chr11	53470104	53470111	-	0.000	0.000	Merged-chr11-53470263-39
NR3433--MA0036.3.GATA2	chr18	80608595	80608605	-	0.000	0.000	Merged-chr18-80608570-30
NR5856--MA0482.1.Gata4	chr6	129218537	129218547	-	0.000	0.000	Merged-chr6-129218550-1
NR2515--MA1104.1.GATA6	chr15	36375101	36375113	+	0.000	0.000	Merged-chr15-36375084-60
NR5350--MA1104.1.GATA6	chr5	112219579	112219591	-	0.000	0.000	Merged-chr5-112219700-2
NR1211--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR2720--MA0037.3.GATA3	chr15	97993230	97993237	+	0.000	0.000	Merged-chr15-97993070-31
NR7093--MA0035.3.Gata1	chrX	13347155	13347165	-	0.000	0.000	Merged-chrX-13347316-78
NR3727--MA0766.1.GATA5	chr2	26566417	26566424	+	0.000	0.000	Merged-chr2-26566393-14
NR5801--MA0140.2.GATA1::TAL1	chr6	115945752	115945769	+	0.000	0.000	Merged-chr6-115945918-28
NR4761--MA0037.3.GATA3	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR1418--MA0036.3.GATA2	chr12	31997092	31997102	-	0.000	0.000	Merged-chr12-31997107-37
NR3565--MA0766.1.GATA5	chr19	32107875	32107882	+	0.000	0.000	Merged-chr19-32107977-56
NR71--MA0035.3.Gata1	chr1	43521165	43521175	-	0.000	0.000	Merged-chr1-43521160-6
NR1747--MA0482.1.Gata4	chr13	19219719	19219729	+	0.000	0.000	Merged-chr13-19219739-41
NR6299--MA0035.3.Gata1	chr7	126822098	126822108	-	0.000	0.000	Merged-chr7-126822065-16
NR2729--MA0482.1.Gata4	chr15	102296188	102296198	-	0.000	0.000	Merged-chr15-102296189-42
NR842--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR5564--MA0482.1.Gata4	chr6	15743688	15743698	+	0.000	0.000	Merged-chr6-15743639-18
NR2963--MA0766.1.GATA5	chr16	91433540	91433547	+	0.000	0.000	Merged-chr16-91433677-29
NR7024--MA0036.3.GATA2	chr9	118059236	118059246	+	0.000	0.000	Merged-chr9-118059304-13
NR2889--MA1104.1.GATA6	chr16	58679047	58679059	+	0.000	0.000	Merged-chr16-58678885-20
NR6597--MA0037.3.GATA3	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR1790--MA0482.1.Gata4	chr13	32993666	32993676	+	0.000	0.000	Merged-chr13-32993550-50
