#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3753--MA0496.2.MAFK	chr13	111807869	111807887	-	0.000	0.000	Merged-chr13-111808090-12
NR9664--MA0089.1.MAFG::NFE2L1	chr4	119415501	119415506	-	0.000	0.000	Merged-chr4-119415497-57
NR13037--MA0591.1.Bach1::Mafk	chr9	14867165	14867179	-	0.000	0.000	Merged-chr9-14867208-21
NR4501--MA0089.1.MAFG::NFE2L1	chr14	118823538	118823543	+	0.000	0.000	Merged-chr14-118823574-15
NR7080--MA0591.1.Bach1::Mafk	chr2	32583666	32583680	+	0.000	0.000	Merged-chr2-32583588-24
NR12124--MA0591.1.Bach1::Mafk	chr7	101504749	101504763	-	0.000	0.000	Merged-chr7-101504709-13
NR6907--MA0495.2.MAFF	chr2	6478400	6478420	+	0.000	0.000	Merged-chr2-6478572-51
NR3271--MA0089.1.MAFG::NFE2L1	chr13	37963598	37963603	-	0.000	0.000	Merged-chr13-37963615-35
NR11127--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR13669--MA0089.1.MAFG::NFE2L1	chrX	101954292	101954297	-	0.000	0.000	Merged-chrX-101954276-51
NR4212--MA0089.1.MAFG::NFE2L1	chr14	54361015	54361020	+	0.000	0.000	Merged-chr14-54361034-73
NR6813--MA0495.2.MAFF	chr19	32320554	32320574	+	0.000	0.000	Merged-chr19-32320426-40
NR6255--MA0117.2.Mafb	chr18	13787133	13787144	-	0.000	0.000	Merged-chr18-13787099-71
NR8431--MA0089.1.MAFG::NFE2L1	chr3	75499333	75499338	+	0.000	0.000	Merged-chr3-75499335-90
NR10234--MA0591.1.Bach1::Mafk	chr5	65514773	65514787	+	0.000	0.000	Merged-chr5-65514883-10
NR12989--MA0496.2.MAFK	chr8	128596687	128596705	+	0.000	0.000	Merged-chr8-128596588-1
NR12927--MA0089.1.MAFG::NFE2L1	chr8	118830484	118830489	+	0.000	0.000	Merged-chr8-118830505-12
NR10768--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR11507--MA0089.1.MAFG::NFE2L1	chr6	131433513	131433518	-	0.000	0.000	Merged-chr6-131433462-1
NR9077--MA0117.2.Mafb	chr4	8712299	8712310	-	0.000	0.000	Merged-chr4-8712432-5
NR9753--MA0117.2.Mafb	chr4	142153734	142153745	+	0.000	0.000	Merged-chr4-142153700-30
NR145--MA0495.2.MAFF	chr1	31616474	31616494	-	0.000	0.000	Merged-chr1-31616471-4
NR8794--MA0501.1.MAF::NFE2	chr3	130905293	130905307	+	0.000	0.000	Merged-chr3-130905343-29
NR12638--MA0089.1.MAFG::NFE2L1	chr8	69329030	69329035	-	0.000	0.000	Merged-chr8-69328899-30
NR7804--MA0089.1.MAFG::NFE2L1	chr2	155382161	155382166	+	0.000	0.000	Merged-chr2-155382008-76
NR8733--MA0089.1.MAFG::NFE2L1	chr3	121474886	121474891	-	0.000	0.000	Merged-chr3-121474891-3
NR12322--MA0496.2.MAFK	chr7	141072585	141072603	-	0.000	0.000	Merged-chr7-141072410-71
NR3667--MA0501.1.MAF::NFE2	chr13	103110002	103110016	-	0.000	0.000	Merged-chr13-103110112-59
NR5530--MA0089.1.MAFG::NFE2L1	chr16	77391606	77391611	-	0.000	0.000	Merged-chr16-77391496-1
NR13491--MA0591.1.Bach1::Mafk	chr9	120960867	120960881	+	0.000	0.000	Merged-chr9-120960803-26
NR1831--MA0117.2.Mafb	chr10	99592177	99592188	-	0.000	0.000	Merged-chr10-99592304-27
NR8793--MA0117.2.Mafb	chr3	130905322	130905333	+	0.000	0.000	Merged-chr3-130905343-29
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR9859--MA0495.2.MAFF	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR7337--MA0591.1.Bach1::Mafk	chr2	70933191	70933205	+	0.000	0.000	Merged-chr2-70933304-29
NR7024--MA0089.1.MAFG::NFE2L1	chr2	19344838	19344843	-	0.000	0.000	Merged-chr2-19344795-21
NR12586--MA0501.1.MAF::NFE2	chr8	57427711	57427725	-	0.000	0.000	Merged-chr8-57427831-53
NR12234--MA0089.1.MAFG::NFE2L1	chr7	117428880	117428885	-	0.000	0.000	Merged-chr7-117429043-56
NR2542--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR4653--MA0117.2.Mafb	chr15	25441378	25441389	+	0.000	0.000	Merged-chr15-25441217-22
NR9098--MA0495.2.MAFF	chr4	11616382	11616402	+	0.000	0.000	Merged-chr4-11616279-22
NR6876--MA0089.1.MAFG::NFE2L1	chr19	57105696	57105701	-	0.000	0.000	Merged-chr19-57105551-34
NR7615--MA0089.1.MAFG::NFE2L1	chr2	130642558	130642563	+	0.000	0.000	Merged-chr2-130642738-65
NR8471--MA0659.1.MAFG	chr3	79100354	79100374	-	0.000	0.000	Merged-chr3-79100420-9
NR8040--MA0089.1.MAFG::NFE2L1	chr3	8971816	8971821	+	0.000	0.000	Merged-chr3-8971852-23
NR6761--MA0089.1.MAFG::NFE2L1	chr19	9939003	9939008	-	0.000	0.000	Merged-chr19-9938920-69
NR6485--MA0501.1.MAF::NFE2	chr18	54987013	54987027	+	0.000	0.000	Merged-chr18-54986948-23
NR8885--MA0496.2.MAFK	chr3	142560505	142560523	+	0.000	0.000	Merged-chr3-142560586-84
NR1990--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR4544--MA0501.1.MAF::NFE2	chr14	121965188	121965202	+	0.000	0.000	Merged-chr14-121965362-59
NR7789--MA0591.1.Bach1::Mafk	chr2	152029410	152029424	-	0.000	0.000	Merged-chr2-152029501-52
NR11712--MA0495.2.MAFF	chr7	16314087	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR741--MA0089.1.MAFG::NFE2L1	chr1	138159131	138159136	+	0.000	0.000	Merged-chr1-138159171-7
NR13176--MA0089.1.MAFG::NFE2L1	chr9	63602415	63602420	+	0.000	0.000	Merged-chr9-63602538-63
NR5855--MA0117.2.Mafb	chr17	34079786	34079797	-	0.000	0.000	Merged-chr17-34079741-9
NR2243--MA0496.2.MAFK	chr11	51898837	51898855	+	0.000	0.000	Merged-chr11-51898870-27
NR12364--MA0501.1.MAF::NFE2	chr8	10927708	10927722	+	0.000	0.000	Merged-chr8-10927860-5
NR11600--MA0591.1.Bach1::Mafk	chr6	142925437	142925451	+	0.000	0.000	Merged-chr6-142925598-18
NR10536--MA0591.1.Bach1::Mafk	chr5	124943798	124943812	+	0.000	0.000	Merged-chr5-124943788-2
NR13478--MA0089.1.MAFG::NFE2L1	chr9	117653680	117653685	-	0.000	0.000	Merged-chr9-117653773-19
NR11945--MA0495.2.MAFF	chr7	70628281	70628301	+	0.000	0.000	Merged-chr7-70628191-1
NR4525--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR725--MA0591.1.Bach1::Mafk	chr1	131384554	131384568	-	0.000	0.000	Merged-chr1-131384650-38
NR382--MA0496.2.MAFK	chr1	72870500	72870518	+	0.000	0.000	Merged-chr1-72870469-25
NR5515--MA0117.2.Mafb	chr16	75855587	75855598	-	0.000	0.000	Merged-chr16-75855662-51
NR6447--MA0591.1.Bach1::Mafk	chr18	49721874	49721888	+	0.000	0.000	Merged-chr18-49721855-41
NR12649--MA0089.1.MAFG::NFE2L1	chr8	70601426	70601431	+	0.000	0.000	Merged-chr8-70601430-20
NR491--MA0591.1.Bach1::Mafk	chr1	89957109	89957123	+	0.000	0.000	Merged-chr1-89957067-1
NR1537--MA0089.1.MAFG::NFE2L1	chr10	59748932	59748937	+	0.000	0.000	Merged-chr10-59748873-11
NR9188--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR6961--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR4538--MA0089.1.MAFG::NFE2L1	chr14	121879680	121879685	-	0.000	0.000	Merged-chr14-121879691-39
NR11403--MA0089.1.MAFG::NFE2L1	chr6	119346338	119346343	-	0.000	0.000	Merged-chr6-119346471-8
NR8542--MA0089.1.MAFG::NFE2L1	chr3	89459082	89459087	+	0.000	0.000	Merged-chr3-89459176-81
NR5214--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR10510--MA0496.2.MAFK	chr5	118269184	118269202	-	0.000	0.000	Merged-chr5-118269215-26
NR3193--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR9765--MA0496.2.MAFK	chr4	144404463	144404481	-	0.000	0.000	Merged-chr4-144404562-1
NR1010--MA0501.1.MAF::NFE2	chr1	185193695	185193709	-	0.000	0.000	Merged-chr1-185193700-43
NR2023--MA0591.1.Bach1::Mafk	chr10	127041924	127041938	-	0.000	0.000	Merged-chr10-127041778-74
NR10979--MA0089.1.MAFG::NFE2L1	chr6	50601913	50601918	+	0.000	0.000	Merged-chr6-50601872-31
NR1522--MA0089.1.MAFG::NFE2L1	chr10	56848210	56848215	+	0.000	0.000	Merged-chr10-56848025-2
NR13585--MA0117.2.Mafb	chrX	56346306	56346317	-	0.000	0.000	Merged-chrX-56346415-28
NR12345--MA0089.1.MAFG::NFE2L1	chr8	4193656	4193661	-	0.000	0.000	Merged-chr8-4193483-29
NR2162--MA0089.1.MAFG::NFE2L1	chr11	22782950	22782955	-	0.000	0.000	Merged-chr11-22782908-24
NR3036--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR3091--MA0089.1.MAFG::NFE2L1	chr13	6689943	6689948	-	0.000	0.000	Merged-chr13-6690119-33
NR12961--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR13556--MA0496.2.MAFK	chrX	48310731	48310749	+	0.000	0.000	Merged-chrX-48310773-8
NR13482--MA0117.2.Mafb	chr9	118706052	118706063	+	0.000	0.000	Merged-chr9-118706091-31
NR7149--MA0117.2.Mafb	chr2	49482494	49482505	+	0.000	0.000	Merged-chr2-49482478-20
NR8559--MA0496.2.MAFK	chr3	90587052	90587070	+	0.000	0.000	Merged-chr3-90587051-129
NR4520--MA0501.1.MAF::NFE2	chr14	120275574	120275588	-	0.000	0.000	Merged-chr14-120275634-49
NR300--MA0659.1.MAFG	chr1	65186472	65186492	-	0.000	0.000	Merged-chr1-65186701-72
NR3009--MA0117.2.Mafb	chr12	111713117	111713128	-	0.000	0.000	Merged-chr12-111713191-55
NR7813--MA0089.1.MAFG::NFE2L1	chr2	156970625	156970630	+	0.000	0.000	Merged-chr2-156970494-23
NR6557--MA0591.1.Bach1::Mafk	chr18	65430699	65430713	-	0.000	0.000	Merged-chr18-65430843-87
NR5667--MA0089.1.MAFG::NFE2L1	chr17	5165466	5165471	-	0.000	0.000	Merged-chr17-5165532-60
NR3203--MA0089.1.MAFG::NFE2L1	chr13	23752647	23752652	-	0.000	0.000	Merged-chr13-23752435-52
NR179--MA0117.2.Mafb	chr1	38884008	38884019	+	0.000	0.000	Merged-chr1-38884000-31
NR3023--MA0591.1.Bach1::Mafk	chr12	114991125	114991139	-	0.000	0.000	Merged-chr12-114991248-55
NR12458--MA0089.1.MAFG::NFE2L1	chr8	27137160	27137165	-	0.000	0.000	Merged-chr8-27137178-38
NR8812--MA0117.2.Mafb	chr3	133411787	133411798	-	0.000	0.000	Merged-chr3-133411903-38
NR6758--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR952--MA0089.1.MAFG::NFE2L1	chr1	172000863	172000868	+	0.000	0.000	Merged-chr1-172000780-26
NR1653--MA0117.2.Mafb	chr10	75415018	75415029	+	0.000	0.000	Merged-chr10-75415162-28
NR7335--MA0089.1.MAFG::NFE2L1	chr2	70920017	70920022	+	0.000	0.000	Merged-chr2-70920097-22
NR11522--MA0117.2.Mafb	chr6	135436457	135436468	+	0.000	0.000	Merged-chr6-135436569-8
NR7711--MA0089.1.MAFG::NFE2L1	chr2	144217402	144217407	-	0.000	0.000	Merged-chr2-144217495-19
NR13592--MA0496.2.MAFK	chrX	59568330	59568348	+	0.000	0.000	Merged-chrX-59568240-6
NR6310--MA0117.2.Mafb	chr18	25061740	25061751	+	0.000	0.000	Merged-chr18-25061659-23
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR4723--MA0089.1.MAFG::NFE2L1	chr15	36261593	36261598	+	0.000	0.000	Merged-chr15-36261569-31
NR2953--MA0089.1.MAFG::NFE2L1	chr12	99796041	99796046	-	0.000	0.000	Merged-chr12-99796151-6
NR6581--MA0089.1.MAFG::NFE2L1	chr18	70053250	70053255	-	0.000	0.000	Merged-chr18-70053424-8
NR4229--MA0117.2.Mafb	chr14	61971194	61971205	+	0.000	0.000	Merged-chr14-61971047-1
NR4938--MA0089.1.MAFG::NFE2L1	chr15	78597115	78597120	+	0.000	0.000	Merged-chr15-78597127-20
NR8557--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	-	0.000	0.000	Merged-chr3-90587051-129
NR8900--MA0591.1.Bach1::Mafk	chr3	144232018	144232032	+	0.000	0.000	Merged-chr3-144232172-58
NR6760--MA0496.2.MAFK	chr19	8997797	8997815	-	0.000	0.000	Merged-chr19-8997882-60
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR10542--MA0496.2.MAFK	chr5	125158607	125158625	-	0.000	0.000	Merged-chr5-125158641-59
NR12512--MA0495.2.MAFF	chr8	40962896	40962916	+	0.000	0.000	Merged-chr8-40963134-88
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR2218--MA0591.1.Bach1::Mafk	chr11	43748004	43748018	-	0.000	0.000	Merged-chr11-43747947-60
NR7824--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR1546--MA0089.1.MAFG::NFE2L1	chr10	61715406	61715411	+	0.000	0.000	Merged-chr10-61715305-29
NR344--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR6970--MA0089.1.MAFG::NFE2L1	chr2	14998105	14998110	-	0.000	0.000	Merged-chr2-14998000-10
NR5934--MA0501.1.MAF::NFE2	chr17	52168419	52168433	-	0.000	0.000	Merged-chr17-52168646-44
NR9706--MA0591.1.Bach1::Mafk	chr4	127060912	127060926	-	0.000	0.000	Merged-chr4-127061069-56
NR12254--MA0089.1.MAFG::NFE2L1	chr7	125507477	125507482	-	0.000	0.000	Merged-chr7-125507552-10
NR5695--MA0117.2.Mafb	chr17	10425564	10425575	-	0.000	0.000	Merged-chr17-10425505-16
NR13044--MA0117.2.Mafb	chr9	15582149	15582160	-	0.000	0.000	Merged-chr9-15582230-13
NR8840--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR6340--MA0495.2.MAFF	chr18	33060132	33060152	-	0.000	0.000	Merged-chr18-33060171-12
NR12530--MA0495.2.MAFF	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR13190--MA0495.2.MAFF	chr9	71874477	71874497	-	0.000	0.000	Merged-chr9-71874475-35
NR12187--MA0117.2.Mafb	chr7	110630430	110630441	-	0.000	0.000	Merged-chr7-110630391-39
NR12494--MA0501.1.MAF::NFE2	chr8	35250897	35250911	-	0.000	0.000	Merged-chr8-35250826-10
NR12532--MA0659.1.MAFG	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR7910--MA0501.1.MAF::NFE2	chr2	170247792	170247806	+	0.000	0.000	Merged-chr2-170247949-28
NR2350--MA0591.1.Bach1::Mafk	chr11	87240404	87240418	+	0.000	0.000	Merged-chr11-87240422-3
NR5778--MA0089.1.MAFG::NFE2L1	chr17	22866544	22866549	-	0.000	0.000	Merged-chr17-22866822-95
NR10988--MA0089.1.MAFG::NFE2L1	chr6	52306248	52306253	+	0.000	0.000	Merged-chr6-52306168-25
NR4734--MA0089.1.MAFG::NFE2L1	chr15	38452914	38452919	+	0.000	0.000	Merged-chr15-38452892-28
NR3314--MA0089.1.MAFG::NFE2L1	chr13	55022904	55022909	+	0.000	0.000	Merged-chr13-55022808-47
NR5287--MA0089.1.MAFG::NFE2L1	chr16	44546969	44546974	+	0.000	0.000	Merged-chr16-44546974-36
NR6719--MA0089.1.MAFG::NFE2L1	chr18	89126581	89126586	-	0.000	0.000	Merged-chr18-89126622-17
NR11445--MA0501.1.MAF::NFE2	chr6	125237468	125237482	+	0.000	0.000	Merged-chr6-125237216-70
NR9587--MA0496.2.MAFK	chr4	95765629	95765647	-	0.000	0.000	Merged-chr4-95765748-2
NR8918--MA0496.2.MAFK	chr3	146063413	146063431	+	0.000	0.000	Merged-chr3-146063322-20
NR5109--MA0117.2.Mafb	chr16	6935048	6935059	+	0.000	0.000	Merged-chr16-6934984-1
NR426--MA0117.2.Mafb	chr1	80728462	80728473	+	0.000	0.000	Merged-chr1-80728475-49
NR429--MA0495.2.MAFF	chr1	81301963	81301983	-	0.000	0.000	Merged-chr1-81301857-6
NR12945--MA0089.1.MAFG::NFE2L1	chr8	124573690	124573695	+	0.000	0.000	Merged-chr8-124573741-33
NR2305--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR2435--MA0659.1.MAFG	chr11	115463665	115463685	+	0.000	0.000	Merged-chr11-115463666-29
NR2319--MA0501.1.MAF::NFE2	chr11	75170581	75170595	-	0.000	0.000	Merged-chr11-75170495-55
NR8664--MA0089.1.MAFG::NFE2L1	chr3	107559402	107559407	+	0.000	0.000	Merged-chr3-107559278-21
NR5461--MA0089.1.MAFG::NFE2L1	chr16	65448874	65448879	+	0.000	0.000	Merged-chr16-65448972-5
NR10671--MA0089.1.MAFG::NFE2L1	chr5	150522599	150522604	+	0.000	0.000	Merged-chr5-150522629-58
NR6325--MA0591.1.Bach1::Mafk	chr18	31759787	31759801	-	0.000	0.000	Merged-chr18-31760012-102
NR11928--MA0591.1.Bach1::Mafk	chr7	67951790	67951804	-	0.000	0.000	Merged-chr7-67951675-118
NR2417--MA0117.2.Mafb	chr11	109611822	109611833	+	0.000	0.000	Merged-chr11-109611660-96
NR13470--MA0089.1.MAFG::NFE2L1	chr9	115481405	115481410	+	0.000	0.000	Merged-chr9-115481366-14
NR5763--MA0089.1.MAFG::NFE2L1	chr17	21536859	21536864	-	0.000	0.000	Merged-chr17-21536922-38
NR5272--MA0089.1.MAFG::NFE2L1	chr16	38902507	38902512	+	0.000	0.000	Merged-chr16-38902351-60
NR3993--MA0089.1.MAFG::NFE2L1	chr14	22553920	22553925	+	0.000	0.000	Merged-chr14-22553829-1
NR2983--MA0501.1.MAF::NFE2	chr12	105069094	105069108	-	0.000	0.000	Merged-chr12-105069151-33
NR10357--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR13206--MA0089.1.MAFG::NFE2L1	chr9	75541761	75541766	-	0.000	0.000	Merged-chr9-75541698-38
NR3138--MA0089.1.MAFG::NFE2L1	chr13	9763395	9763400	-	0.000	0.000	Merged-chr13-9763479-33
NR6919--MA0089.1.MAFG::NFE2L1	chr2	6863174	6863179	-	0.000	0.000	Merged-chr2-6863166-2
NR262--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR3619--MA0117.2.Mafb	chr13	97789942	97789953	+	0.000	0.000	Merged-chr13-97790032-25
NR8883--MA0495.2.MAFF	chr3	142560504	142560524	+	0.000	0.000	Merged-chr3-142560586-84
NR2429--MA0495.2.MAFF	chr11	113536965	113536985	-	0.000	0.000	Merged-chr11-113536889-33
NR1005--MA0117.2.Mafb	chr1	182657754	182657765	-	0.000	0.000	Merged-chr1-182657860-43
NR10469--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR6667--MA0496.2.MAFK	chr18	82826228	82826246	+	0.000	0.000	Merged-chr18-82826025-87
NR3742--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR887--MA0089.1.MAFG::NFE2L1	chr1	164405703	164405708	-	0.000	0.000	Merged-chr1-164405623-22
NR8995--MA0495.2.MAFF	chr3	154372398	154372418	-	0.000	0.000	Merged-chr3-154372398-2
NR10305--MA0089.1.MAFG::NFE2L1	chr5	75808763	75808768	-	0.000	0.000	Merged-chr5-75808701-3
NR10482--MA0591.1.Bach1::Mafk	chr5	112083159	112083173	-	0.000	0.000	Merged-chr5-112083278-3
NR3671--MA0495.2.MAFF	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR11610--MA0089.1.MAFG::NFE2L1	chr6	143690392	143690397	+	0.000	0.000	Merged-chr6-143690441-8
NR6779--MA0496.2.MAFK	chr19	14352215	14352233	-	0.000	0.000	Merged-chr19-14352313-109
NR8951--MA0089.1.MAFG::NFE2L1	chr3	149326931	149326936	+	0.000	0.000	Merged-chr3-149326950-53
NR9863--MA0659.1.MAFG	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR8534--MA0495.2.MAFF	chr3	87919441	87919461	-	0.000	0.000	Merged-chr3-87919615-56
NR477--MA0591.1.Bach1::Mafk	chr1	88285062	88285076	-	0.000	0.000	Merged-chr1-88285028-12
NR12316--MA0495.2.MAFF	chr7	141072584	141072604	+	0.000	0.000	Merged-chr7-141072410-71
NR3673--MA0659.1.MAFG	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR2458--MA0659.1.MAFG	chr11	117109896	117109916	-	0.000	0.000	Merged-chr11-117109823-31
