#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR9373--MA0511.2.RUNX2	chr9	83564266	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR7408--MA0002.2.RUNX1	chr5	151252478	151252488	-	0.000	0.000	Merged-chr5-151252284-65
NR3191--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR4603--MA0002.2.RUNX1	chr18	78142428	78142438	-	0.000	0.000	Merged-chr18-78142282-103
NR5394--MA0511.2.RUNX2	chr2	132686969	132686977	-	0.000	0.000	Merged-chr2-132687004-41
NR1749--MA0002.2.RUNX1	chr11	113879401	113879411	+	0.000	0.000	Merged-chr11-113879500-1
NR9797--MA0002.2.RUNX1	chrX	169319214	169319224	+	0.000	0.000	Merged-chrX-169319212-31
NR5172--MA0684.1.RUNX3	chr2	72183928	72183937	-	0.000	0.000	Merged-chr2-72183936-23
NR7246--MA0002.2.RUNX1	chr5	120588701	120588711	-	0.000	0.000	Merged-chr5-120588744-78
NR8820--MA0684.1.RUNX3	chr8	88647368	88647377	+	0.000	0.000	Merged-chr8-88647358-34
NR650--MA0002.2.RUNX1	chr1	176939894	176939904	+	0.000	0.000	Merged-chr1-176939939-16
NR445--MA0002.2.RUNX1	chr1	135128337	135128347	-	0.000	0.000	Merged-chr1-135128273-30
NR1335--MA0002.2.RUNX1	chr11	12072498	12072508	-	0.000	0.000	Merged-chr11-12072507-15
NR7375--MA0684.1.RUNX3	chr5	147366586	147366595	+	0.000	0.000	Merged-chr5-147366476-45
NR3095--MA0511.2.RUNX2	chr14	116210532	116210540	+	0.000	0.000	Merged-chr14-116210530-30
NR1957--MA0511.2.RUNX2	chr12	73162818	73162826	-	0.000	0.000	Merged-chr12-73162812-38
NR7769--MA0002.2.RUNX1	chr6	120486195	120486205	+	0.000	0.000	Merged-chr6-120486424-77
NR5152--MA0002.2.RUNX1	chr2	69002507	69002517	+	0.000	0.000	Merged-chr2-69002641-39
NR8800--MA0002.2.RUNX1	chr8	83086819	83086829	-	0.000	0.000	Merged-chr8-83086902-25
NR7232--MA0684.1.RUNX3	chr5	118045554	118045563	-	0.000	0.000	Merged-chr5-118045541-17
NR4693--MA0002.2.RUNX1	chr19	5257354	5257364	+	0.000	0.000	Merged-chr19-5257394-33
NR19--MA0002.2.RUNX1	chr1	13294962	13294972	-	0.000	0.000	Merged-chr1-13295038-43
NR1050--MA0684.1.RUNX3	chr10	84897547	84897556	+	0.000	0.000	Merged-chr10-84897526-62
NR9657--MA0511.2.RUNX2	chrX	50490666	50490674	+	0.000	0.000	Merged-chrX-50490696-9
NR825--MA0002.2.RUNX1	chr10	20855250	20855260	+	0.000	0.000	Merged-chr10-20855169-17
NR7878--MA0002.2.RUNX1	chr6	134565850	134565860	-	0.000	0.000	Merged-chr6-134565999-9
NR3253--MA0684.1.RUNX3	chr15	38129487	38129496	+	0.000	0.000	Merged-chr15-38129582-31
NR9021--MA0684.1.RUNX3	chr8	127502046	127502055	+	0.000	0.000	Merged-chr8-127501964-41
NR8704--MA0002.2.RUNX1	chr8	45934960	45934970	-	0.000	0.000	Merged-chr8-45934835-41
NR7629--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR6753--MA0002.2.RUNX1	chr4	149664190	149664200	-	0.000	0.000	Merged-chr4-149664202-47
NR2079--MA0684.1.RUNX3	chr12	99468132	99468141	+	0.000	0.000	Merged-chr12-99468213-62
NR5390--MA0684.1.RUNX3	chr2	132512544	132512553	-	0.000	0.000	Merged-chr2-132512511-69
NR3998--MA0511.2.RUNX2	chr17	25248164	25248172	-	0.000	0.000	Merged-chr17-25248347-49
NR5185--MA0684.1.RUNX3	chr2	75590253	75590262	-	0.000	0.000	Merged-chr2-75590338-29
NR3110--MA0684.1.RUNX3	chr14	118681224	118681233	-	0.000	0.000	Merged-chr14-118681179-25
NR8118--MA0684.1.RUNX3	chr7	58500980	58500989	+	0.000	0.000	Merged-chr7-58501010-19
NR934--MA0002.2.RUNX1	chr10	60162574	60162584	+	0.000	0.000	Merged-chr10-60162645-38
NR6610--MA0002.2.RUNX1	chr4	122923025	122923035	+	0.000	0.000	Merged-chr4-122923030-28
NR5806--MA0511.2.RUNX2	chr3	75930327	75930335	-	0.000	0.000	Merged-chr3-75930291-55
NR3--MA0002.2.RUNX1	chr1	6519178	6519188	-	0.000	0.000	Merged-chr1-6519375-11
NR5979--MA0684.1.RUNX3	chr3	115972450	115972459	+	0.000	0.000	Merged-chr3-115972355-68
NR792--MA0684.1.RUNX3	chr10	13553016	13553025	+	0.000	0.000	Merged-chr10-13553137-58
NR520--MA0002.2.RUNX1	chr1	155836301	155836311	+	0.000	0.000	Merged-chr1-155836180-11
NR4139--MA0684.1.RUNX3	chr17	56443647	56443656	+	0.000	0.000	Merged-chr17-56443573-18
NR1205--MA0002.2.RUNX1	chr10	117526743	117526753	+	0.000	0.000	Merged-chr10-117526787-23
NR4977--MA0002.2.RUNX1	chr2	17845528	17845538	+	0.000	0.000	Merged-chr2-17845339-45
NR3507--MA0511.2.RUNX2	chr15	100461770	100461778	-	0.000	0.000	Merged-chr15-100461811-2
NR2360--MA0002.2.RUNX1	chr13	29974480	29974490	+	0.000	0.000	Merged-chr13-29974387-22
NR1285--MA0511.2.RUNX2	chr10	128991151	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR5836--MA0684.1.RUNX3	chr3	86693948	86693957	-	0.000	0.000	Merged-chr3-86693783-4
NR920--MA0684.1.RUNX3	chr10	53355489	53355498	+	0.000	0.000	Merged-chr10-53355559-24
NR9004--MA0511.2.RUNX2	chr8	125667473	125667481	-	0.000	0.000	Merged-chr8-125667402-39
NR9527--MA0511.2.RUNX2	chr9	114778159	114778167	+	0.000	0.000	Merged-chr9-114778253-39
NR1857--MA0684.1.RUNX3	chr12	21451579	21451588	+	0.000	0.000	Merged-chr12-21451589-67
NR7625--MA0684.1.RUNX3	chr6	86570877	86570886	-	0.000	0.000	Merged-chr6-86570900-55
NR9428--MA0002.2.RUNX1	chr9	94993741	94993751	-	0.000	0.000	Merged-chr9-94993790-30
NR6007--MA0511.2.RUNX2	chr3	123192399	123192407	+	0.000	0.000	Merged-chr3-123192207-28
NR9762--MA0684.1.RUNX3	chrX	145307430	145307439	-	0.000	0.000	Merged-chrX-145307441-1
NR1509--MA0684.1.RUNX3	chr11	63148535	63148544	+	0.000	0.000	Merged-chr11-63148506-21
NR4820--MA0684.1.RUNX3	chr19	41656260	41656269	-	0.000	0.000	Merged-chr19-41656223-24
NR9557--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR1522--MA0511.2.RUNX2	chr11	68417871	68417879	+	0.000	0.000	Merged-chr11-68418005-32
NR8760--MA0002.2.RUNX1	chr8	69176673	69176683	-	0.000	0.000	Merged-chr8-69176623-23
NR1966--MA0684.1.RUNX3	chr12	73593511	73593520	+	0.000	0.000	Merged-chr12-73593577-88
NR9143--MA0684.1.RUNX3	chr9	32716197	32716206	-	0.000	0.000	Merged-chr9-32716245-5
NR9414--MA0684.1.RUNX3	chr9	92384628	92384637	-	0.000	0.000	Merged-chr9-92384528-56
NR9395--MA0684.1.RUNX3	chr9	88273496	88273505	+	0.000	0.000	Merged-chr9-88273504-34
NR7986--MA0684.1.RUNX3	chr7	5363879	5363888	-	0.000	0.000	Merged-chr7-5363814-17
NR7172--MA0002.2.RUNX1	chr5	107449101	107449111	+	0.000	0.000	Merged-chr5-107449243-36
NR5558--MA0002.2.RUNX1	chr2	166610381	166610391	-	0.000	0.000	Merged-chr2-166610595-30
NR5829--MA0002.2.RUNX1	chr3	84679038	84679048	-	0.000	0.000	Merged-chr3-84679070-45
NR5243--MA0511.2.RUNX2	chr2	93413603	93413611	-	0.000	0.000	Merged-chr2-93413697-49
NR4069--MA0511.2.RUNX2	chr17	43645417	43645425	+	0.000	0.000	Merged-chr17-43645396-23
NR5415--MA0002.2.RUNX1	chr2	140042685	140042695	-	0.000	0.000	Merged-chr2-140042676-83
NR8250--MA0002.2.RUNX1	chr7	90059428	90059438	+	0.000	0.000	Merged-chr7-90059452-5
NR8521--MA0002.2.RUNX1	chr7	139227267	139227277	+	0.000	0.000	Merged-chr7-139227243-22
NR1727--MA0684.1.RUNX3	chr11	109432617	109432626	-	0.000	0.000	Merged-chr11-109432542-63
NR3259--MA0002.2.RUNX1	chr15	41846674	41846684	+	0.000	0.000	Merged-chr15-41846585-48
NR9232--MA0002.2.RUNX1	chr9	58280706	58280716	+	0.000	0.000	Merged-chr9-58280700-28
NR6907--MA0002.2.RUNX1	chr5	30000693	30000703	+	0.000	0.000	Merged-chr5-30000750-6
NR9583--MA0511.2.RUNX2	chr9	119823990	119823998	+	0.000	0.000	Merged-chr9-119823942-29
NR4912--MA0511.2.RUNX2	chr19	57113350	57113358	+	0.000	0.000	Merged-chr19-57113185-31
NR817--MA0002.2.RUNX1	chr10	19578236	19578246	-	0.000	0.000	Merged-chr10-19578163-111
NR3672--MA0511.2.RUNX2	chr16	35485045	35485053	+	0.000	0.000	Merged-chr16-35485007-20
NR74--MA0684.1.RUNX3	chr1	38657790	38657799	-	0.000	0.000	Merged-chr1-38657935-57
NR2862--MA0002.2.RUNX1	chr14	45155696	45155706	-	0.000	0.000	Merged-chr14-45155731-26
NR132--MA0002.2.RUNX1	chr1	54913571	54913581	-	0.000	0.000	Merged-chr1-54913673-53
NR7826--MA0511.2.RUNX2	chr6	127574758	127574766	+	0.000	0.000	Merged-chr6-127574626-1
NR3639--MA0002.2.RUNX1	chr16	24974979	24974989	+	0.000	0.000	Merged-chr16-24975123-11
NR2991--MA0684.1.RUNX3	chr14	71035780	71035789	-	0.000	0.000	Merged-chr14-71035782-16
NR7333--MA0684.1.RUNX3	chr5	138280161	138280170	-	0.000	0.000	Merged-chr5-138280109-50
NR4794--MA0002.2.RUNX1	chr19	36083077	36083087	+	0.000	0.000	Merged-chr19-36083098-3
NR7456--MA0002.2.RUNX1	chr6	29264721	29264731	+	0.000	0.000	Merged-chr6-29264627-26
NR803--MA0684.1.RUNX3	chr10	17565507	17565516	-	0.000	0.000	Merged-chr10-17565414-37
NR8882--MA0002.2.RUNX1	chr8	111967479	111967489	+	0.000	0.000	Merged-chr8-111967453-22
NR9265--MA0684.1.RUNX3	chr9	66492529	66492538	-	0.000	0.000	Merged-chr9-66492510-30
NR3576--MA0511.2.RUNX2	chr16	14088428	14088436	-	0.000	0.000	Merged-chr16-14088440-49
NR3847--MA0511.2.RUNX2	chr16	89986206	89986214	+	0.000	0.000	Merged-chr16-89986478-112
NR5034--MA0684.1.RUNX3	chr2	31180525	31180534	+	0.000	0.000	Merged-chr2-31180309-64
NR7979--MA0002.2.RUNX1	chr7	4082972	4082982	+	0.000	0.000	Merged-chr7-4082893-63
NR5157--MA0002.2.RUNX1	chr2	69415321	69415331	-	0.000	0.000	Merged-chr2-69415236-25
NR241--MA0002.2.RUNX1	chr1	79561206	79561216	+	0.000	0.000	Merged-chr1-79561257-51
NR7664--MA0511.2.RUNX2	chr6	97447186	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR3477--MA0002.2.RUNX1	chr15	97455659	97455669	-	0.000	0.000	Merged-chr15-97455795-23
NR5557--MA0684.1.RUNX3	chr2	166565694	166565703	+	0.000	0.000	Merged-chr2-166565613-5
NR5014--MA0002.2.RUNX1	chr2	27438516	27438526	-	0.000	0.000	Merged-chr2-27438518-5
NR8934--MA0684.1.RUNX3	chr8	119380835	119380844	+	0.000	0.000	Merged-chr8-119380766-18
NR493--MA0002.2.RUNX1	chr1	150992074	150992084	-	0.000	0.000	Merged-chr1-150992242-29
NR7045--MA0511.2.RUNX2	chr5	77252315	77252323	+	0.000	0.000	Merged-chr5-77252339-67
NR1326--MA0684.1.RUNX3	chr11	10276428	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR9374--MA0684.1.RUNX3	chr9	83564265	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR5365--MA0511.2.RUNX2	chr2	128380754	128380762	+	0.000	0.000	Merged-chr2-128380717-35
NR720--MA0511.2.RUNX2	chr1	190944627	190944635	+	0.000	0.000	Merged-chr1-190944479-26
NR9768--MA0002.2.RUNX1	chrX	159697150	159697160	-	0.000	0.000	Merged-chrX-159697100-67
NR4826--MA0002.2.RUNX1	chr19	42796385	42796395	-	0.000	0.000	Merged-chr19-42796440-5
NR2875--MA0002.2.RUNX1	chr14	50870659	50870669	-	0.000	0.000	Merged-chr14-50870513-68
NR9182--MA0511.2.RUNX2	chr9	44649181	44649189	-	0.000	0.000	Merged-chr9-44649213-30
NR4511--MA0511.2.RUNX2	chr18	65207730	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR9248--MA0511.2.RUNX2	chr9	64797603	64797611	+	0.000	0.000	Merged-chr9-64797561-46
NR7773--MA0511.2.RUNX2	chr6	121109985	121109993	-	0.000	0.000	Merged-chr6-121110104-77
NR6692--MA0002.2.RUNX1	chr4	137890844	137890854	-	0.000	0.000	Merged-chr4-137890747-20
NR9083--MA0002.2.RUNX1	chr9	14172082	14172092	-	0.000	0.000	Merged-chr9-14171965-37
NR5395--MA0684.1.RUNX3	chr2	132686968	132686977	-	0.000	0.000	Merged-chr2-132687004-41
NR5666--MA0684.1.RUNX3	chr3	21943153	21943162	+	0.000	0.000	Merged-chr3-21943162-33
NR5937--MA0684.1.RUNX3	chr3	105806851	105806860	-	0.000	0.000	Merged-chr3-105806958-26
NR7469--MA0002.2.RUNX1	chr6	33683814	33683824	+	0.000	0.000	Merged-chr6-33683719-46
NR9310--MA0511.2.RUNX2	chr9	72400244	72400252	+	0.000	0.000	Merged-chr9-72400300-19
NR8895--MA0002.2.RUNX1	chr8	114801885	114801895	+	0.000	0.000	Merged-chr8-114801884-47
NR397--MA0002.2.RUNX1	chr1	128570220	128570230	-	0.000	0.000	Merged-chr1-128570257-50
NR3238--MA0002.2.RUNX1	chr15	36562936	36562946	-	0.000	0.000	Merged-chr15-36562926-39
NR668--MA0002.2.RUNX1	chr1	180531602	180531612	+	0.000	0.000	Merged-chr1-180531418-30
NR3096--MA0684.1.RUNX3	chr14	116210532	116210541	+	0.000	0.000	Merged-chr14-116210530-30
NR5375--MA0002.2.RUNX1	chr2	129198693	129198703	+	0.000	0.000	Merged-chr2-129198566-84
NR1958--MA0684.1.RUNX3	chr12	73162817	73162826	-	0.000	0.000	Merged-chr12-73162812-38
NR9135--MA0684.1.RUNX3	chr9	32394804	32394813	-	0.000	0.000	Merged-chr9-32394945-22
NR7184--MA0684.1.RUNX3	chr5	110284119	110284128	+	0.000	0.000	Merged-chr5-110284039-11
NR4250--MA0002.2.RUNX1	chr17	84306337	84306347	+	0.000	0.000	Merged-chr17-84306486-55
NR7455--MA0684.1.RUNX3	chr6	28949422	28949431	+	0.000	0.000	Merged-chr6-28949446-17
NR9258--MA0002.2.RUNX1	chr9	66158420	66158430	+	0.000	0.000	Merged-chr9-66158396-48
NR9529--MA0002.2.RUNX1	chr9	114788782	114788792	+	0.000	0.000	Merged-chr9-114788883-8
NR1766--MA0511.2.RUNX2	chr11	115589156	115589164	+	0.000	0.000	Merged-chr11-115589146-15
NR4921--MA0684.1.RUNX3	chr19	58087364	58087373	-	0.000	0.000	Merged-chr19-58087296-13
NR4773--MA0002.2.RUNX1	chr19	31210731	31210741	+	0.000	0.000	Merged-chr19-31210653-54
NR6310--MA0002.2.RUNX1	chr4	46152065	46152075	-	0.000	0.000	Merged-chr4-46152127-36
NR6976--MA0002.2.RUNX1	chr5	54105738	54105748	-	0.000	0.000	Merged-chr5-54105686-48
NR7835--MA0684.1.RUNX3	chr6	127617443	127617452	+	0.000	0.000	Merged-chr6-127617353-34
NR2622--MA0684.1.RUNX3	chr13	99385786	99385795	-	0.000	0.000	Merged-chr13-99385771-3
NR9638--MA0002.2.RUNX1	chrX	17365284	17365294	+	0.000	0.000	Merged-chrX-17365333-21
NR492--MA0684.1.RUNX3	chr1	150396149	150396158	+	0.000	0.000	Merged-chr1-150396130-66
NR842--MA0511.2.RUNX2	chr10	22732437	22732445	-	0.000	0.000	Merged-chr10-22732322-3
NR2331--MA0002.2.RUNX1	chr13	20306317	20306327	+	0.000	0.000	Merged-chr13-20306536-31
NR5807--MA0684.1.RUNX3	chr3	75930326	75930335	-	0.000	0.000	Merged-chr3-75930291-55
NR7339--MA0002.2.RUNX1	chr5	139161918	139161928	+	0.000	0.000	Merged-chr5-139161823-20
NR620--MA0684.1.RUNX3	chr1	171778191	171778200	+	0.000	0.000	Merged-chr1-171778353-20
NR8913--MA0684.1.RUNX3	chr8	116636099	116636108	+	0.000	0.000	Merged-chr8-116636119-54
NR3664--MA0511.2.RUNX2	chr16	32430852	32430860	-	0.000	0.000	Merged-chr16-32431022-65
NR9161--MA0511.2.RUNX2	chr9	42158806	42158814	+	0.000	0.000	Merged-chr9-42158908-46
NR8351--MA0002.2.RUNX1	chr7	109458594	109458604	-	0.000	0.000	Merged-chr7-109458509-7
NR4934--MA0684.1.RUNX3	chr2	3277726	3277735	+	0.000	0.000	Merged-chr2-3277691-9
NR9062--MA0002.2.RUNX1	chr9	7897824	7897834	-	0.000	0.000	Merged-chr9-7897799-25
NR4786--MA0002.2.RUNX1	chr19	32496627	32496637	+	0.000	0.000	Merged-chr19-32496642-11
NR746--MA0511.2.RUNX2	chr1	193303655	193303663	-	0.000	0.000	Merged-chr1-193303652-18
NR8480--MA0684.1.RUNX3	chr7	132402776	132402785	-	0.000	0.000	Merged-chr7-132402823-64
NR7719--MA0002.2.RUNX1	chr6	107748973	107748983	+	0.000	0.000	Merged-chr6-107749008-33
NR5497--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR852--MA0002.2.RUNX1	chr10	26325511	26325521	+	0.000	0.000	Merged-chr10-26325461-56
NR3217--MA0002.2.RUNX1	chr15	28021819	28021829	-	0.000	0.000	Merged-chr15-28021766-8
NR1266--MA0002.2.RUNX1	chr10	122567063	122567073	-	0.000	0.000	Merged-chr10-122566962-17
NR9528--MA0684.1.RUNX3	chr9	114778159	114778168	+	0.000	0.000	Merged-chr9-114778253-39
NR3839--MA0511.2.RUNX2	chr16	89817051	89817059	+	0.000	0.000	Merged-chr16-89817047-30
NR1222--MA0511.2.RUNX2	chr10	118407016	118407024	+	0.000	0.000	Merged-chr10-118407091-36
NR5083--MA0002.2.RUNX1	chr2	48476889	48476899	-	0.000	0.000	Merged-chr2-48477015-42
NR8731--MA0002.2.RUNX1	chr8	61426326	61426336	-	0.000	0.000	Merged-chr8-61426321-97
NR8983--MA0002.2.RUNX1	chr8	124242428	124242438	+	0.000	0.000	Merged-chr8-124242348-54
NR3055--MA0002.2.RUNX1	chr14	87315117	87315127	+	0.000	0.000	Merged-chr14-87315268-30
NR9366--MA0684.1.RUNX3	chr9	82961607	82961616	-	0.000	0.000	Merged-chr9-82961653-22
NR6703--MA0002.2.RUNX1	chr4	140867471	140867481	+	0.000	0.000	Merged-chr4-140867435-11
NR6290--MA0684.1.RUNX3	chr4	41708558	41708567	-	0.000	0.000	Merged-chr4-41708469-7
NR6684--MA0002.2.RUNX1	chr4	136570218	136570228	+	0.000	0.000	Merged-chr4-136570246-39
NR9018--MA0684.1.RUNX3	chr8	127500373	127500382	-	0.000	0.000	Merged-chr8-127500234-70
NR693--MA0511.2.RUNX2	chr1	184534589	184534597	-	0.000	0.000	Merged-chr1-184534660-49
NR9075--MA0002.2.RUNX1	chr9	13509910	13509920	-	0.000	0.000	Merged-chr9-13509807-24
NR9346--MA0002.2.RUNX1	chr9	79919425	79919435	-	0.000	0.000	Merged-chr9-79919473-56
NR2601--MA0684.1.RUNX3	chr13	95813839	95813848	-	0.000	0.000	Merged-chr13-95813903-46
NR2724--MA0002.2.RUNX1	chr13	113549210	113549220	+	0.000	0.000	Merged-chr13-113549207-25
NR6812--MA0002.2.RUNX1	chr5	3497659	3497669	+	0.000	0.000	Merged-chr5-3497810-31
NR9598--MA0002.2.RUNX1	chr9	120960684	120960694	-	0.000	0.000	Merged-chr9-120960803-26
NR180--MA0002.2.RUNX1	chr1	64508664	64508674	-	0.000	0.000	Merged-chr1-64508658-48
NR6670--MA0684.1.RUNX3	chr4	135157504	135157513	-	0.000	0.000	Merged-chr4-135157519-19
NR8744--MA0002.2.RUNX1	chr8	64805444	64805454	+	0.000	0.000	Merged-chr8-64805470-51
NR6793--MA0002.2.RUNX1	chr4	154246713	154246723	-	0.000	0.000	Merged-chr4-154246608-23
NR2291--MA0002.2.RUNX1	chr13	5286588	5286598	-	0.000	0.000	Merged-chr13-5286449-11
NR498--MA0002.2.RUNX1	chr1	152227405	152227415	-	0.000	0.000	Merged-chr1-152227417-11
NR5575--MA0511.2.RUNX2	chr2	170219240	170219248	+	0.000	0.000	Merged-chr2-170219301-96
NR2962--MA0684.1.RUNX3	chr14	65330857	65330866	-	0.000	0.000	Merged-chr14-65330788-23
NR4765--MA0002.2.RUNX1	chr19	26646348	26646358	+	0.000	0.000	Merged-chr19-26646309-47
NR7156--MA0002.2.RUNX1	chr5	105675681	105675691	+	0.000	0.000	Merged-chr5-105675662-27
NR9170--MA0684.1.RUNX3	chr9	43096519	43096528	+	0.000	0.000	Merged-chr9-43096353-58
NR6697--MA0002.2.RUNX1	chr4	139287490	139287500	+	0.000	0.000	Merged-chr4-139287610-26
NR4622--MA0002.2.RUNX1	chr18	80555073	80555083	+	0.000	0.000	Merged-chr18-80555147-42
NR2614--MA0684.1.RUNX3	chr13	98684552	98684561	+	0.000	0.000	Merged-chr13-98684546-11
NR2671--MA0002.2.RUNX1	chr13	108390773	108390783	-	0.000	0.000	Merged-chr13-108390764-33
NR2195--MA0002.2.RUNX1	chr12	115012937	115012947	-	0.000	0.000	Merged-chr12-115012998-22
NR8710--MA0002.2.RUNX1	chr8	46869648	46869658	-	0.000	0.000	Merged-chr8-46869591-35
NR3448--MA0002.2.RUNX1	chr15	91614641	91614651	-	0.000	0.000	Merged-chr15-91614558-11
NR7159--MA0511.2.RUNX2	chr5	105840059	105840067	-	0.000	0.000	Merged-chr5-105840151-44
NR6825--MA0002.2.RUNX1	chr5	8374630	8374640	+	0.000	0.000	Merged-chr5-8374526-17
NR563--MA0511.2.RUNX2	chr1	164138822	164138830	+	0.000	0.000	Merged-chr1-164138853-49
NR8691--MA0002.2.RUNX1	chr8	36182406	36182416	-	0.000	0.000	Merged-chr8-36182321-59
NR1026--MA0684.1.RUNX3	chr10	79897903	79897912	+	0.000	0.000	Merged-chr10-79897818-26
NR9074--MA0684.1.RUNX3	chr9	13446431	13446440	+	0.000	0.000	Merged-chr9-13446463-33
NR9345--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR1149--MA0002.2.RUNX1	chr10	99385990	99386000	-	0.000	0.000	Merged-chr10-99386107-51
NR7665--MA0684.1.RUNX3	chr6	97447185	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR9197--MA0002.2.RUNX1	chr9	50966604	50966614	-	0.000	0.000	Merged-chr9-50966454-25
NR9739--MA0002.2.RUNX1	chrX	113002327	113002337	+	0.000	0.000	Merged-chrX-113002387-37
NR8220--MA0684.1.RUNX3	chr7	80828607	80828616	+	0.000	0.000	Merged-chr7-80828687-47
