#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1179--MA0508.2.PRDM1	chr2	73059908	73059917	+	0.000	0.000	Merged-chr2-73059981-18
NR1036--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR1307--MA0508.2.PRDM1	chr3	37183606	37183615	+	0.000	0.000	Merged-chr3-37183520-10
NR983--MA0508.2.PRDM1	chr17	83307020	83307029	+	0.000	0.000	Merged-chr17-83307130-30
NR112--MA0508.2.PRDM1	chr1	152053499	152053508	-	0.000	0.000	Merged-chr1-152053412-31
NR635--MA0508.2.PRDM1	chr13	95891033	95891042	+	0.000	0.000	Merged-chr13-95891213-14
NR906--MA0508.2.PRDM1	chr16	95682448	95682457	+	0.000	0.000	Merged-chr16-95682592-12
NR473--MA0508.2.PRDM1	chr12	70995479	70995488	+	0.000	0.000	Merged-chr12-70995410-19
NR1429--MA0508.2.PRDM1	chr3	152127485	152127494	-	0.000	0.000	Merged-chr3-152127515-20
NR330--MA0508.2.PRDM1	chr10	130324473	130324482	-	0.000	0.000	Merged-chr10-130324467-31
NR1015--MA0508.2.PRDM1	chr18	36726403	36726412	-	0.000	0.000	Merged-chr18-36726027-47
NR582--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR648--MA0508.2.PRDM1	chr13	107114044	107114053	+	0.000	0.000	Merged-chr13-107114151-28
NR595--MA0508.2.PRDM1	chr13	51391722	51391731	-	0.000	0.000	Merged-chr13-51391583-19
NR200--MA0508.2.PRDM1	chr10	7992672	7992681	+	0.000	0.000	Merged-chr10-7992796-25
NR1137--MA0508.2.PRDM1	chr2	30677200	30677209	-	0.000	0.000	Merged-chr2-30677148-9
NR499--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR104--MA0508.2.PRDM1	chr1	136898369	136898378	-	0.000	0.000	Merged-chr1-136898317-25
NR26--MA0508.2.PRDM1	chr1	52388418	52388427	+	0.000	0.000	Merged-chr1-52388435-48
NR290--MA0508.2.PRDM1	chr10	99417107	99417116	+	0.000	0.000	Merged-chr10-99417083-63
NR561--MA0508.2.PRDM1	chr13	5890289	5890298	+	0.000	0.000	Merged-chr13-5890173-33
NR213--MA0508.2.PRDM1	chr10	19406223	19406232	+	0.000	0.000	Merged-chr10-19406285-14
NR117--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR845--MA0508.2.PRDM1	chr16	21690605	21690614	+	0.000	0.000	Merged-chr16-21690540-7
NR431--MA0508.2.PRDM1	chr12	3284357	3284366	+	0.000	0.000	Merged-chr12-3284182-20
NR444--MA0508.2.PRDM1	chr12	25208919	25208928	+	0.000	0.000	Merged-chr12-25209047-25
NR1129--MA0508.2.PRDM1	chr2	18910023	18910032	+	0.000	0.000	Merged-chr2-18909851-2
NR696--MA0508.2.PRDM1	chr14	40938697	40938706	-	0.000	0.000	Merged-chr14-40938744-34
NR1701--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR18--MA0508.2.PRDM1	chr1	39734979	39734988	+	0.000	0.000	Merged-chr1-39734752-43
NR348--MA0508.2.PRDM1	chr11	31808038	31808047	+	0.000	0.000	Merged-chr11-31808102-31
NR1810--MA0508.2.PRDM1	chr7	5357030	5357039	+	0.000	0.000	Merged-chr7-5357031-11
NR391--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR728--MA0508.2.PRDM1	chr14	66792052	66792061	-	0.000	0.000	Merged-chr14-66791932-41
NR109--MA0508.2.PRDM1	chr1	151011218	151011227	+	0.000	0.000	Merged-chr1-151011231-27
NR837--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR261--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR1932--MA0508.2.PRDM1	chr7	128731472	128731481	-	0.000	0.000	Merged-chr7-128731645-14
NR579--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR2133--MA0508.2.PRDM1	chr9	109000832	109000841	+	0.000	0.000	Merged-chr9-109000906-26
NR545--MA0508.2.PRDM1	chr12	116620104	116620113	+	0.000	0.000	Merged-chr12-116620074-47
NR131--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR2037--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR383--MA0508.2.PRDM1	chr11	77372330	77372339	+	0.000	0.000	Merged-chr11-77372347-7
NR558--MA0508.2.PRDM1	chr13	5286476	5286485	+	0.000	0.000	Merged-chr13-5286449-11
NR829--MA0508.2.PRDM1	chr15	103014221	103014230	+	0.000	0.000	Merged-chr15-103014251-2
NR144--MA0508.2.PRDM1	chr1	168432404	168432413	-	0.000	0.000	Merged-chr1-168432368-41
NR396--MA0508.2.PRDM1	chr11	90019374	90019383	-	0.000	0.000	Merged-chr11-90019347-20
NR319--MA0508.2.PRDM1	chr10	122194304	122194313	-	0.000	0.000	Merged-chr10-122194311-33
NR2159--MA0508.2.PRDM1	chrX	59584238	59584247	-	0.000	0.000	Merged-chrX-59584208-12
NR375--MA0508.2.PRDM1	chr11	72954003	72954012	-	0.000	0.000	Merged-chr11-72953852-64
NR646--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR279--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR1884--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR136--MA0508.2.PRDM1	chr1	164184497	164184506	+	0.000	0.000	Merged-chr1-164184631-39
NR388--MA0508.2.PRDM1	chr11	80498173	80498182	-	0.000	0.000	Merged-chr11-80498094-2
NR245--MA0508.2.PRDM1	chr10	60189945	60189954	-	0.000	0.000	Merged-chr10-60189958-4
NR516--MA0508.2.PRDM1	chr12	101075286	101075295	-	0.000	0.000	Merged-chr12-101075229-34
NR1850--MA0508.2.PRDM1	chr7	58759451	58759460	-	0.000	0.000	Merged-chr7-58759463-23
NR768--MA0508.2.PRDM1	chr14	122029104	122029113	+	0.000	0.000	Merged-chr14-122029195-41
NR1231--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR149--MA0508.2.PRDM1	chr1	171412291	171412300	+	0.000	0.000	Merged-chr1-171412217-14
NR1754--MA0508.2.PRDM1	chr6	118621981	118621990	+	0.000	0.000	Merged-chr6-118621968-6
NR2117--MA0508.2.PRDM1	chr9	90104899	90104908	+	0.000	0.000	Merged-chr9-90104933-13
NR1624--MA0508.2.PRDM1	chr5	106459266	106459275	+	0.000	0.000	Merged-chr5-106459151-1
NR476--MA0508.2.PRDM1	chr12	73382498	73382507	-	0.000	0.000	Merged-chr12-73382539-19
NR1908--MA0508.2.PRDM1	chr7	114066942	114066951	+	0.000	0.000	Merged-chr7-114066923-10
NR2043--MA0508.2.PRDM1	chr8	127296680	127296689	-	0.000	0.000	Merged-chr8-127296709-1
NR2109--MA0508.2.PRDM1	chr9	82809356	82809365	-	0.000	0.000	Merged-chr9-82809314-11
NR1855--MA0508.2.PRDM1	chr7	64373931	64373940	+	0.000	0.000	Merged-chr7-64373946-61
NR359--MA0508.2.PRDM1	chr11	52004191	52004200	+	0.000	0.000	Merged-chr11-52004219-51
NR1964--MA0508.2.PRDM1	chr8	8441763	8441772	-	0.000	0.000	Merged-chr8-8441880-9
NR1821--MA0508.2.PRDM1	chr7	25774503	25774512	+	0.000	0.000	Merged-chr7-25774614-28
NR468--MA0508.2.PRDM1	chr12	65780296	65780305	-	0.000	0.000	Merged-chr12-65780293-1
NR1202--MA0508.2.PRDM1	chr2	103672987	103672996	-	0.000	0.000	Merged-chr2-103672845-28
NR1454--MA0508.2.PRDM1	chr4	40823900	40823909	+	0.000	0.000	Merged-chr4-40823922-38
NR1725--MA0508.2.PRDM1	chr6	85433937	85433946	+	0.000	0.000	Merged-chr6-85434029-14
NR1420--MA0508.2.PRDM1	chr3	144704127	144704136	-	0.000	0.000	Merged-chr3-144704080-31
NR1781--MA0508.2.PRDM1	chr6	134343200	134343209	-	0.000	0.000	Merged-chr6-134343073-39
NR1576--MA0508.2.PRDM1	chr5	34514148	34514157	+	0.000	0.000	Merged-chr5-34513990-85
NR1847--MA0508.2.PRDM1	chr7	57918531	57918540	+	0.000	0.000	Merged-chr7-57918421-2
NR51--MA0508.2.PRDM1	chr1	82879333	82879342	-	0.000	0.000	Merged-chr1-82879357-31
NR208--MA0508.2.PRDM1	chr10	14416822	14416831	+	0.000	0.000	Merged-chr10-14416732-4
NR1542--MA0508.2.PRDM1	chr4	145319390	145319399	-	0.000	0.000	Merged-chr4-145319470-38
NR2048--MA0508.2.PRDM1	chr8	128491192	128491201	+	0.000	0.000	Merged-chr8-128491293-7
NR1651--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1303--MA0508.2.PRDM1	chr3	31061378	31061387	-	0.000	0.000	Merged-chr3-31061473-66
NR1969--MA0508.2.PRDM1	chr8	14965748	14965757	-	0.000	0.000	Merged-chr8-14965734-19
NR1555--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR1826--MA0508.2.PRDM1	chr7	30184078	30184087	+	0.000	0.000	Merged-chr7-30184154-42
NR1664--MA0508.2.PRDM1	chr5	149184615	149184624	-	0.000	0.000	Merged-chr5-149184513-135
NR902--MA0508.2.PRDM1	chr16	92697202	92697211	+	0.000	0.000	Merged-chr16-92697129-7
NR2027--MA0508.2.PRDM1	chr8	109863613	109863622	-	0.000	0.000	Merged-chr8-109863558-21
NR1773--MA0508.2.PRDM1	chr6	130031881	130031890	+	0.000	0.000	Merged-chr6-130031811-45
NR740--MA0508.2.PRDM1	chr14	75527432	75527441	-	0.000	0.000	Merged-chr14-75527299-19
NR1425--MA0508.2.PRDM1	chr3	148492021	148492030	-	0.000	0.000	Merged-chr3-148492132-1
NR1948--MA0508.2.PRDM1	chr7	139389124	139389133	+	0.000	0.000	Merged-chr7-139388959-78
NR1372--MA0508.2.PRDM1	chr3	108781568	108781577	+	0.000	0.000	Merged-chr3-108781707-12
NR1500--MA0508.2.PRDM1	chr4	92942497	92942506	-	0.000	0.000	Merged-chr4-92942379-25
NR1024--MA0508.2.PRDM1	chr18	50010017	50010026	-	0.000	0.000	Merged-chr18-50010125-24
NR862--MA0508.2.PRDM1	chr16	36598480	36598489	+	0.000	0.000	Merged-chr16-36598490-46
NR1133--MA0508.2.PRDM1	chr2	26739164	26739173	-	0.000	0.000	Merged-chr2-26739075-19
NR1799--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR1404--MA0508.2.PRDM1	chr3	136101178	136101187	-	0.000	0.000	Merged-chr3-136100949-106
NR1590--MA0508.2.PRDM1	chr5	62610141	62610150	+	0.000	0.000	Merged-chr5-62610074-16
NR1385--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1494--MA0508.2.PRDM1	chr4	89044171	89044180	-	0.000	0.000	Merged-chr4-89044155-38
NR1080--MA0508.2.PRDM1	chr19	32268756	32268765	+	0.000	0.000	Merged-chr19-32268730-8
NR1622--MA0508.2.PRDM1	chr5	105306170	105306179	+	0.000	0.000	Merged-chr5-105306151-101
NR1460--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR1330--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR1996--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR91--MA0508.2.PRDM1	chr1	127637937	127637946	+	0.000	0.000	Merged-chr1-127638103-34
NR1919--MA0508.2.PRDM1	chr7	120729827	120729836	-	0.000	0.000	Merged-chr7-120729886-25
NR1234--MA0508.2.PRDM1	chr2	129873520	129873529	+	0.000	0.000	Merged-chr2-129873690-22
NR1505--MA0508.2.PRDM1	chr4	97927088	97927097	+	0.000	0.000	Merged-chr4-97927118-18
NR1138--MA0508.2.PRDM1	chr2	30794600	30794609	-	0.000	0.000	Merged-chr2-30794786-46
NR1723--MA0508.2.PRDM1	chr6	84798867	84798876	+	0.000	0.000	Merged-chr6-84798882-8
NR1247--MA0508.2.PRDM1	chr2	144742297	144742306	+	0.000	0.000	Merged-chr2-144742373-21
NR70--MA0508.2.PRDM1	chr1	91405861	91405870	-	0.000	0.000	Merged-chr1-91405791-30
NR1085--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR1627--MA0508.2.PRDM1	chr5	107988088	107988097	+	0.000	0.000	Merged-chr5-107988008-32
NR1194--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR1736--MA0508.2.PRDM1	chr6	95613458	95613467	-	0.000	0.000	Merged-chr6-95613433-34
NR955--MA0508.2.PRDM1	chr17	47039231	47039240	-	0.000	0.000	Merged-chr17-47039117-5
NR1098--MA0508.2.PRDM1	chr19	53338876	53338885	+	0.000	0.000	Merged-chr19-53338883-3
NR1226--MA0508.2.PRDM1	chr2	124634644	124634653	-	0.000	0.000	Merged-chr2-124634585-20
NR793--MA0508.2.PRDM1	chr15	61539046	61539055	+	0.000	0.000	Merged-chr15-61539170-27
NR1749--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR650--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR19--MA0508.2.PRDM1	chr1	39842792	39842801	+	0.000	0.000	Merged-chr1-39842705-75
NR825--MA0508.2.PRDM1	chr15	98089514	98089523	-	0.000	0.000	Merged-chr15-98089657-55
NR1444--MA0508.2.PRDM1	chr4	7961867	7961876	-	0.000	0.000	Merged-chr4-7961828-25
NR1619--MA0508.2.PRDM1	chr5	100672099	100672108	+	0.000	0.000	Merged-chr5-100672129-2
NR3--MA0508.2.PRDM1	chr1	13382541	13382550	-	0.000	0.000	Merged-chr1-13382643-29
NR520--MA0508.2.PRDM1	chr12	106032064	106032073	-	0.000	0.000	Merged-chr12-106032207-46
NR1043--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR1314--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR881--MA0508.2.PRDM1	chr16	55734440	55734449	+	0.000	0.000	Merged-chr16-55734220-62
NR262--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR533--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR804--MA0508.2.PRDM1	chr15	81745152	81745161	-	0.000	0.000	Merged-chr15-81745308-45
NR1218--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR990--MA0508.2.PRDM1	chr17	86040918	86040927	-	0.000	0.000	Merged-chr17-86040828-28
NR41--MA0508.2.PRDM1	chr1	74379260	74379269	+	0.000	0.000	Merged-chr1-74379433-14
NR642--MA0508.2.PRDM1	chr13	103356476	103356485	-	0.000	0.000	Merged-chr13-103356386-1
NR1327--MA0508.2.PRDM1	chr3	71564229	71564238	+	0.000	0.000	Merged-chr3-71564100-40
NR894--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR403--MA0508.2.PRDM1	chr11	98588212	98588221	+	0.000	0.000	Merged-chr11-98588289-18
NR1688--MA0508.2.PRDM1	chr6	37400897	37400906	+	0.000	0.000	Merged-chr6-37401015-8
NR1274--MA0508.2.PRDM1	chr2	169396589	169396598	-	0.000	0.000	Merged-chr2-169396513-5
NR1178--MA0508.2.PRDM1	chr2	72170806	72170815	-	0.000	0.000	Merged-chr2-72170854-84
NR1144--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR111--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR363--MA0508.2.PRDM1	chr11	60305833	60305842	+	0.000	0.000	Merged-chr11-60305750-27
NR1048--MA0508.2.PRDM1	chr18	77746903	77746912	-	0.000	0.000	Merged-chr18-77747090-44
NR472--MA0508.2.PRDM1	chr12	69853634	69853643	+	0.000	0.000	Merged-chr12-69853558-20
NR647--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR485--MA0508.2.PRDM1	chr12	77079580	77079589	+	0.000	0.000	Merged-chr12-77079704-10
NR342--MA0508.2.PRDM1	chr11	22814205	22814214	-	0.000	0.000	Merged-chr11-22814136-127
NR594--MA0508.2.PRDM1	chr13	51115870	51115879	-	0.000	0.000	Merged-chr13-51115960-42
NR722--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR517--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR1659--MA0508.2.PRDM1	chr5	147049948	147049957	+	0.000	0.000	Merged-chr5-147050012-11
NR355--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR626--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR212--MA0508.2.PRDM1	chr10	19209958	19209967	-	0.000	0.000	Merged-chr10-19209945-33
NR735--MA0508.2.PRDM1	chr14	73244295	73244304	-	0.000	0.000	Merged-chr14-73244258-38
NR2161--MA0508.2.PRDM1	chrX	59586034	59586043	+	0.000	0.000	Merged-chrX-59585920-18
NR573--MA0508.2.PRDM1	chr13	19300683	19300692	-	0.000	0.000	Merged-chr13-19300654-34
NR844--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR430--MA0508.2.PRDM1	chr11	121083062	121083071	-	0.000	0.000	Merged-chr11-121083089-49
NR225--MA0508.2.PRDM1	chr10	28516279	28516288	+	0.000	0.000	Merged-chr10-28516243-39
NR857--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR443--MA0508.2.PRDM1	chr12	25190598	25190607	-	0.000	0.000	Merged-chr12-25190622-38
NR1128--MA0508.2.PRDM1	chr2	18765828	18765837	-	0.000	0.000	Merged-chr2-18765910-35
NR966--MA0508.2.PRDM1	chr17	64622036	64622045	-	0.000	0.000	Merged-chr17-64622229-104
NR2140--MA0508.2.PRDM1	chr9	116223669	116223678	+	0.000	0.000	Merged-chr9-116223599-38
NR552--MA0508.2.PRDM1	chr12	119157258	119157267	-	0.000	0.000	Merged-chr12-119157162-44
NR823--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR347--MA0508.2.PRDM1	chr11	26586812	26586821	+	0.000	0.000	Merged-chr11-26586855-34
NR599--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR661--MA0508.2.PRDM1	chr13	112424799	112424808	-	0.000	0.000	Merged-chr13-112424975-114
NR456--MA0508.2.PRDM1	chr12	41340479	41340488	-	0.000	0.000	Merged-chr12-41340383-18
NR727--MA0508.2.PRDM1	chr14	65806100	65806109	+	0.000	0.000	Merged-chr14-65806099-56
NR313--MA0508.2.PRDM1	chr10	118407118	118407127	+	0.000	0.000	Merged-chr10-118407091-36
NR2010--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR217--MA0508.2.PRDM1	chr10	21354033	21354042	+	0.000	0.000	Merged-chr10-21353968-32
NR469--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR326--MA0508.2.PRDM1	chr10	128232264	128232273	+	0.000	0.000	Merged-chr10-128232191-128
NR1931--MA0508.2.PRDM1	chr7	128611242	128611251	-	0.000	0.000	Merged-chr7-128611334-65
NR1229--MA0508.2.PRDM1	chr2	126284376	126284385	-	0.000	0.000	Merged-chr2-126284232-9
NR796--MA0508.2.PRDM1	chr15	64173603	64173612	+	0.000	0.000	Merged-chr15-64173635-34
NR401--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR382--MA0508.2.PRDM1	chr11	76599182	76599191	+	0.000	0.000	Merged-chr11-76599172-10
NR99--MA0508.2.PRDM1	chr1	131821018	131821027	-	0.000	0.000	Merged-chr1-131821005-30
NR395--MA0508.2.PRDM1	chr11	88550788	88550797	-	0.000	0.000	Merged-chr11-88550929-65
NR666--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR937--MA0508.2.PRDM1	chr17	31011636	31011645	-	0.000	0.000	Merged-chr17-31011806-34
NR2092--MA0508.2.PRDM1	chr9	63802219	63802228	+	0.000	0.000	Merged-chr9-63802306-15
NR427--MA0508.2.PRDM1	chr11	120941236	120941245	-	0.000	0.000	Merged-chr11-120941184-16
NR1761--MA0508.2.PRDM1	chr6	122669501	122669510	+	0.000	0.000	Merged-chr6-122669601-34
NR374--MA0508.2.PRDM1	chr11	72946478	72946487	-	0.000	0.000	Merged-chr11-72946553-29
NR1059--MA0508.2.PRDM1	chr18	84951560	84951569	+	0.000	0.000	Merged-chr18-84951669-87
NR231--MA0508.2.PRDM1	chr10	40687313	40687322	+	0.000	0.000	Merged-chr10-40687404-1
