#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR6044--MA0037.3.GATA3	chrX	9202158	9202165	-	0.000	0.000	Merged-chrX-9202139-21
NR4998--MA0036.3.GATA2	chr7	16001894	16001904	-	0.000	0.000	Merged-chr7-16001989-41
NR5856--MA0037.3.GATA3	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR2134--MA0035.3.Gata1	chr15	97790276	97790286	-	0.000	0.000	Merged-chr15-97790248-21
NR3235--MA0482.1.Gata4	chr2	103424794	103424804	+	0.000	0.000	Merged-chr2-103424790-20
NR3143--MA1104.1.GATA6	chr2	77327442	77327454	-	0.000	0.000	Merged-chr2-77327471-3
NR1192--MA1104.1.GATA6	chr12	70104869	70104881	+	0.000	0.000	Merged-chr12-70104994-28
NR4390--MA0482.1.Gata4	chr5	105244845	105244855	+	0.000	0.000	Merged-chr5-105244982-37
NR5167--MA0482.1.Gata4	chr7	90349362	90349372	-	0.000	0.000	Merged-chr7-90349289-16
NR6131--MA0766.1.GATA5	chrX	137037935	137037942	-	0.000	0.000	Merged-chrX-137038164-54
NR4794--MA0035.3.Gata1	chr6	122804673	122804683	+	0.000	0.000	Merged-chr6-122804652-39
NR2270--MA1104.1.GATA6	chr16	56800670	56800682	-	0.000	0.000	Merged-chr16-56800625-33
NR2541--MA1104.1.GATA6	chr17	71618156	71618168	-	0.000	0.000	Merged-chr17-71618121-41
NR2514--MA0035.3.Gata1	chr17	49435333	49435343	+	0.000	0.000	Merged-chr17-49435295-16
NR3503--MA0140.2.GATA1::TAL1	chr3	9705268	9705285	+	0.000	0.000	Merged-chr3-9705328-27
NR631--MA0482.1.Gata4	chr10	83733969	83733979	+	0.000	0.000	Merged-chr10-83733897-13
NR1045--MA0482.1.Gata4	chr11	106057070	106057080	+	0.000	0.000	Merged-chr11-106057103-42
NR6102--MA0482.1.Gata4	chrX	106171387	106171397	-	0.000	0.000	Merged-chrX-106171533-49
NR1540--MA0036.3.GATA2	chr13	95524826	95524836	+	0.000	0.000	Merged-chr13-95524749-120
NR1568--MA0482.1.Gata4	chr13	97857805	97857815	-	0.000	0.000	Merged-chr13-97858038-42
NR1185--MA0140.2.GATA1::TAL1	chr12	69413170	69413187	-	0.000	0.000	Merged-chr12-69413181-34
NR5184--MA0037.3.GATA3	chr7	100449172	100449179	-	0.000	0.000	Merged-chr7-100449076-60
NR4853--MA1104.1.GATA6	chr6	129997692	129997704	-	0.000	0.000	Merged-chr6-129997694-33
NR330--MA0140.2.GATA1::TAL1	chr1	160777070	160777087	-	0.000	0.000	Merged-chr1-160777141-20
NR4725--MA0036.3.GATA2	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR5041--MA0037.3.GATA3	chr7	30216885	30216892	+	0.000	0.000	Merged-chr7-30216934-21
NR2646--MA0482.1.Gata4	chr18	37934531	37934541	-	0.000	0.000	Merged-chr18-37934580-2
NR300--MA1104.1.GATA6	chr1	151346961	151346973	-	0.000	0.000	Merged-chr1-151346878-17
NR4987--MA0766.1.GATA5	chr7	6127302	6127309	-	0.000	0.000	Merged-chr7-6127268-44
NR3536--MA1104.1.GATA6	chr3	37753349	37753361	-	0.000	0.000	Merged-chr3-37753406-27
NR3238--MA0035.3.Gata1	chr2	103424793	103424803	+	0.000	0.000	Merged-chr2-103424790-20
NR2503--MA0482.1.Gata4	chr17	44893784	44893794	-	0.000	0.000	Merged-chr17-44893726-24
NR3009--MA0482.1.Gata4	chr2	26753535	26753545	-	0.000	0.000	Merged-chr2-26753671-30
NR2484--MA0482.1.Gata4	chr17	34198067	34198077	-	0.000	0.000	Merged-chr17-34197913-92
NR111--MA0035.3.Gata1	chr1	71576671	71576681	-	0.000	0.000	Merged-chr1-71576890-29
NR4215--MA0036.3.GATA2	chr5	20931520	20931530	+	0.000	0.000	Merged-chr5-20931511-6
NR1489--MA1104.1.GATA6	chr13	66991736	66991748	+	0.000	0.000	Merged-chr13-66991703-16
NR2816--MA0766.1.GATA5	chr19	5094353	5094360	+	0.000	0.000	Merged-chr19-5094459-12
NR2612--MA0482.1.Gata4	chr18	4296071	4296081	+	0.000	0.000	Merged-chr18-4296046-21
NR5003--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR2222--MA0035.3.Gata1	chr16	36057523	36057533	-	0.000	0.000	Merged-chr16-36057640-19
NR4672--MA0036.3.GATA2	chr6	65612024	65612034	-	0.000	0.000	Merged-chr6-65612160-32
NR5188--MA0766.1.GATA5	chr7	100449172	100449179	-	0.000	0.000	Merged-chr7-100449076-60
NR6105--MA0035.3.Gata1	chrX	106171388	106171398	-	0.000	0.000	Merged-chrX-106171533-49
NR272--MA0766.1.GATA5	chr1	143319752	143319759	-	0.000	0.000	Merged-chr1-143319719-34
NR2864--MA0482.1.Gata4	chr19	29367423	29367433	-	0.000	0.000	Merged-chr19-29367376-49
NR328--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR1933--MA0036.3.GATA2	chr14	121423097	121423107	-	0.000	0.000	Merged-chr14-121422910-45
NR3549--MA1104.1.GATA6	chr3	52840427	52840439	-	0.000	0.000	Merged-chr3-52840378-53
NR2060--MA0035.3.Gata1	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR2497--MA0482.1.Gata4	chr17	43699274	43699284	+	0.000	0.000	Merged-chr17-43699457-36
NR2649--MA0035.3.Gata1	chr18	37934532	37934542	-	0.000	0.000	Merged-chr18-37934580-2
NR2881--MA0037.3.GATA3	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR2877--MA0482.1.Gata4	chr19	32454886	32454896	+	0.000	0.000	Merged-chr19-32455050-22
NR5268--MA0482.1.Gata4	chr7	122242432	122242442	+	0.000	0.000	Merged-chr7-122242556-28
NR3929--MA0037.3.GATA3	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR5447--MA1104.1.GATA6	chr8	79734392	79734404	+	0.000	0.000	Merged-chr8-79734534-16
NR623--MA0482.1.Gata4	chr10	81137369	81137379	+	0.000	0.000	Merged-chr10-81137276-7
NR4618--MA0766.1.GATA5	chr6	33051811	33051818	+	0.000	0.000	Merged-chr6-33051908-11
NR504--MA0035.3.Gata1	chr10	18892334	18892344	-	0.000	0.000	Merged-chr10-18892324-9
NR2657--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR2253--MA0766.1.GATA5	chr16	49774803	49774810	-	0.000	0.000	Merged-chr16-49774880-113
NR2243--MA0036.3.GATA2	chr16	44349993	44350003	+	0.000	0.000	Merged-chr16-44349911-10
NR4871--MA0482.1.Gata4	chr6	130312045	130312055	+	0.000	0.000	Merged-chr6-130312055-26
NR4481--MA0035.3.Gata1	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR531--MA0037.3.GATA3	chr10	39613038	39613045	-	0.000	0.000	Merged-chr10-39613248-57
NR4160--MA1104.1.GATA6	chr4	147814971	147814983	+	0.000	0.000	Merged-chr4-147814812-35
NR2480--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR779--MA0482.1.Gata4	chr10	122976185	122976195	-	0.000	0.000	Merged-chr10-122976254-31
NR5490--MA0037.3.GATA3	chr8	106216464	106216471	-	0.000	0.000	Merged-chr8-106216367-3
NR288--MA0036.3.GATA2	chr1	149758505	149758515	+	0.000	0.000	Merged-chr1-149758666-31
NR907--MA0482.1.Gata4	chr11	58948838	58948848	-	0.000	0.000	Merged-chr11-58948790-70
NR4836--MA0766.1.GATA5	chr6	126995669	126995676	-	0.000	0.000	Merged-chr6-126995755-15
NR2885--MA0766.1.GATA5	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR517--MA0035.3.Gata1	chr10	26229621	26229631	+	0.000	0.000	Merged-chr10-26229708-29
NR4632--MA0482.1.Gata4	chr6	41163687	41163697	-	0.000	0.000	Merged-chr6-41163628-13
NR4606--MA1104.1.GATA6	chr6	22409091	22409103	+	0.000	0.000	Merged-chr6-22409213-46
NR3366--MA1104.1.GATA6	chr2	146416410	146416422	+	0.000	0.000	Merged-chr2-146416561-24
NR4422--MA0766.1.GATA5	chr5	112219581	112219588	-	0.000	0.000	Merged-chr5-112219700-2
NR2062--MA0482.1.Gata4	chr15	78571803	78571813	-	0.000	0.000	Merged-chr15-78571844-37
NR3963--MA0766.1.GATA5	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR2512--MA1104.1.GATA6	chr17	49435332	49435344	-	0.000	0.000	Merged-chr17-49435295-16
NR949--MA0766.1.GATA5	chr11	75169169	75169176	-	0.000	0.000	Merged-chr11-75169080-24
NR4811--MA0037.3.GATA3	chr6	125353461	125353468	+	0.000	0.000	Merged-chr6-125353566-72
NR1424--MA0140.2.GATA1::TAL1	chr13	24419821	24419838	-	0.000	0.000	Merged-chr13-24419838-27
NR626--MA0035.3.Gata1	chr10	81137368	81137378	+	0.000	0.000	Merged-chr10-81137276-7
NR4715--MA1104.1.GATA6	chr6	86853546	86853558	+	0.000	0.000	Merged-chr6-86853576-1
NR3095--MA0037.3.GATA3	chr2	60845543	60845550	+	0.000	0.000	Merged-chr2-60845573-40
NR535--MA0766.1.GATA5	chr10	39613038	39613045	-	0.000	0.000	Merged-chr10-39613248-57
NR2764--MA1104.1.GATA6	chr18	79353028	79353040	+	0.000	0.000	Merged-chr18-79353064-26
NR5426--MA1104.1.GATA6	chr8	70558448	70558460	+	0.000	0.000	Merged-chr8-70558477-31
NR2917--MA0766.1.GATA5	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR2442--MA0482.1.Gata4	chr17	18597637	18597647	-	0.000	0.000	Merged-chr17-18597509-40
NR4398--MA0035.3.Gata1	chr5	105677036	105677046	-	0.000	0.000	Merged-chr5-105677279-25
NR777--MA0036.3.GATA2	chr10	122578485	122578495	+	0.000	0.000	Merged-chr10-122578660-68
NR2621--MA1104.1.GATA6	chr18	13016559	13016571	-	0.000	0.000	Merged-chr18-13016580-10
NR1250--MA0766.1.GATA5	chr12	84773167	84773174	-	0.000	0.000	Merged-chr12-84773092-54
NR1511--MA0036.3.GATA2	chr13	89401484	89401494	+	0.000	0.000	Merged-chr13-89401429-25
NR649--MA0482.1.Gata4	chr10	88426719	88426729	+	0.000	0.000	Merged-chr10-88426596-23
NR2232--MA0766.1.GATA5	chr16	43661710	43661717	+	0.000	0.000	Merged-chr16-43661789-37
NR2027--MA0766.1.GATA5	chr15	61582320	61582327	+	0.000	0.000	Merged-chr15-61582488-19
NR4255--MA0035.3.Gata1	chr5	30887491	30887501	-	0.000	0.000	Merged-chr5-30887642-12
NR2668--MA1104.1.GATA6	chr18	56435788	56435800	+	0.000	0.000	Merged-chr18-56435913-30
NR5590--MA0766.1.GATA5	chr8	121650684	121650691	+	0.000	0.000	Merged-chr8-121650674-17
NR4502--MA0482.1.Gata4	chr5	141045157	141045167	-	0.000	0.000	Merged-chr5-141045198-6
NR4410--MA1104.1.GATA6	chr5	108670897	108670909	+	0.000	0.000	Merged-chr5-108670998-12
NR3924--MA0035.3.Gata1	chr4	59190871	59190881	-	0.000	0.000	Merged-chr4-59190847-19
NR5168--MA1104.1.GATA6	chr7	90349362	90349374	+	0.000	0.000	Merged-chr7-90349289-16
NR4263--MA0036.3.GATA2	chr5	37051251	37051261	-	0.000	0.000	Merged-chr5-37051336-115
NR5025--MA1104.1.GATA6	chr7	27357771	27357783	+	0.000	0.000	Merged-chr7-27357694-29
NR4120--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR47--MA0140.2.GATA1::TAL1	chr1	40479638	40479655	-	0.000	0.000	Merged-chr1-40479730-47
NR2220--MA1104.1.GATA6	chr16	36057522	36057534	+	0.000	0.000	Merged-chr16-36057640-19
NR3932--MA0036.3.GATA2	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR632--MA1104.1.GATA6	chr10	83733967	83733979	-	0.000	0.000	Merged-chr10-83733897-13
NR1046--MA1104.1.GATA6	chr11	106057068	106057080	-	0.000	0.000	Merged-chr11-106057103-42
NR2487--MA0036.3.GATA2	chr17	35734581	35734591	+	0.000	0.000	Merged-chr17-35734690-16
NR6103--MA1104.1.GATA6	chrX	106171387	106171399	+	0.000	0.000	Merged-chrX-106171533-49
NR5896--MA0037.3.GATA3	chr9	100522273	100522280	+	0.000	0.000	Merged-chr9-100522209-27
NR2293--MA0482.1.Gata4	chr16	66086702	66086712	+	0.000	0.000	Merged-chr16-66086640-17
NR2445--MA0035.3.Gata1	chr17	18597682	18597692	+	0.000	0.000	Merged-chr17-18597509-40
NR2073--MA0036.3.GATA2	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR1569--MA1104.1.GATA6	chr13	97857805	97857817	+	0.000	0.000	Merged-chr13-97858038-42
NR2139--MA0036.3.GATA2	chr15	100312583	100312593	-	0.000	0.000	Merged-chr15-100312549-27
NR4919--MA0035.3.Gata1	chr6	136491385	136491395	-	0.000	0.000	Merged-chr6-136491563-93
NR1726--MA0140.2.GATA1::TAL1	chr14	27232529	27232546	-	0.000	0.000	Merged-chr14-27232541-1
NR1572--MA0035.3.Gata1	chr13	97857806	97857816	-	0.000	0.000	Merged-chr13-97858038-42
NR4624--MA0482.1.Gata4	chr6	39284043	39284053	-	0.000	0.000	Merged-chr6-39284001-16
NR3432--MA0766.1.GATA5	chr2	157131308	157131315	-	0.000	0.000	Merged-chr2-157131278-25
NR3317--MA0140.2.GATA1::TAL1	chr2	130501732	130501749	+	0.000	0.000	Merged-chr2-130501661-20
NR2647--MA1104.1.GATA6	chr18	37934531	37934543	+	0.000	0.000	Merged-chr18-37934580-2
NR2140--MA0035.3.Gata1	chr15	100312583	100312593	-	0.000	0.000	Merged-chr15-100312549-27
NR2504--MA1104.1.GATA6	chr17	44893784	44893796	+	0.000	0.000	Merged-chr17-44893726-24
NR246--MA0036.3.GATA2	chr1	132046415	132046425	-	0.000	0.000	Merged-chr1-132046441-41
NR4318--MA0766.1.GATA5	chr5	72636321	72636328	-	0.000	0.000	Merged-chr5-72636293-57
NR4200--MA0035.3.Gata1	chr4	156022068	156022078	+	0.000	0.000	Merged-chr4-156022073-120
NR5004--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR846--MA0482.1.Gata4	chr11	21223021	21223031	-	0.000	0.000	Merged-chr11-21223148-47
NR6132--MA0035.3.Gata1	chrX	137037934	137037944	+	0.000	0.000	Merged-chrX-137038164-54
NR2865--MA1104.1.GATA6	chr19	29367423	29367435	+	0.000	0.000	Merged-chr19-29367376-49
NR6107--MA0766.1.GATA5	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR5843--MA0036.3.GATA2	chr9	92314082	92314092	+	0.000	0.000	Merged-chr9-92314019-19
NR1070--MA0036.3.GATA2	chr11	108248585	108248595	+	0.000	0.000	Merged-chr11-108248558-56
NR5530--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR4669--MA0036.3.GATA2	chr6	58832866	58832876	+	0.000	0.000	Merged-chr6-58832889-39
NR3850--MA0035.3.Gata1	chr3	159509171	159509181	+	0.000	0.000	Merged-chr3-159509158-33
NR6063--MA1104.1.GATA6	chrX	17365317	17365329	-	0.000	0.000	Merged-chrX-17365333-21
NR1670--MA0482.1.Gata4	chr13	113023934	113023944	+	0.000	0.000	Merged-chr13-113023939-34
NR2878--MA1104.1.GATA6	chr19	32454884	32454896	-	0.000	0.000	Merged-chr19-32455050-22
NR624--MA1104.1.GATA6	chr10	81137367	81137379	-	0.000	0.000	Merged-chr10-81137276-7
NR4988--MA0035.3.Gata1	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR3592--MA0035.3.Gata1	chr3	84772249	84772259	+	0.000	0.000	Merged-chr3-84772067-31
NR4872--MA1104.1.GATA6	chr6	130312043	130312055	-	0.000	0.000	Merged-chr6-130312055-26
NR510--MA0140.2.GATA1::TAL1	chr10	21268945	21268962	-	0.000	0.000	Merged-chr10-21269012-32
NR6049--MA0035.3.Gata1	chrX	9202157	9202167	+	0.000	0.000	Merged-chrX-9202139-21
NR2598--MA0766.1.GATA5	chr17	85982147	85982154	-	0.000	0.000	Merged-chr17-85982062-9
NR2817--MA0035.3.Gata1	chr19	5094351	5094361	-	0.000	0.000	Merged-chr19-5094459-12
NR1811--MA0482.1.Gata4	chr14	64884999	64885009	+	0.000	0.000	Merged-chr14-64885056-34
NR3871--MA0036.3.GATA2	chr4	12786206	12786216	+	0.000	0.000	Merged-chr4-12786257-5
NR3922--MA1104.1.GATA6	chr4	59190870	59190882	+	0.000	0.000	Merged-chr4-59190847-19
NR908--MA1104.1.GATA6	chr11	58948838	58948850	+	0.000	0.000	Merged-chr11-58948790-70
NR1673--MA0035.3.Gata1	chr13	113023933	113023943	+	0.000	0.000	Merged-chr13-113023939-34
NR1399--MA0037.3.GATA3	chr13	12412202	12412209	+	0.000	0.000	Merged-chr13-12412239-11
NR4311--MA0482.1.Gata4	chr5	72184255	72184265	-	0.000	0.000	Merged-chr5-72184279-24
NR5758--MA0037.3.GATA3	chr9	63785710	63785717	-	0.000	0.000	Merged-chr9-63785726-16
NR3141--MA0037.3.GATA3	chr2	77327444	77327451	-	0.000	0.000	Merged-chr2-77327471-3
NR2605--MA1104.1.GATA6	chr17	87572844	87572856	+	0.000	0.000	Merged-chr17-87572921-1
NR2216--MA0766.1.GATA5	chr16	33073043	33073050	+	0.000	0.000	Merged-chr16-33073178-28
NR2206--MA0036.3.GATA2	chr16	30227619	30227629	-	0.000	0.000	Merged-chr16-30227477-14
NR4278--MA0140.2.GATA1::TAL1	chr5	57857475	57857492	+	0.000	0.000	Merged-chr5-57857424-31
NR4196--MA0482.1.Gata4	chr4	156022069	156022079	+	0.000	0.000	Merged-chr4-156022073-120
NR3644--MA0140.2.GATA1::TAL1	chr3	105768776	105768793	-	0.000	0.000	Merged-chr3-105768762-33
NR4503--MA1104.1.GATA6	chr5	141045157	141045169	+	0.000	0.000	Merged-chr5-141045198-6
NR1814--MA0035.3.Gata1	chr14	64884998	64885008	+	0.000	0.000	Merged-chr14-64885056-34
NR3122--MA0036.3.GATA2	chr2	72146195	72146205	-	0.000	0.000	Merged-chr2-72146258-17
NR4851--MA0037.3.GATA3	chr6	129997694	129997701	-	0.000	0.000	Merged-chr6-129997694-33
NR4457--MA0035.3.Gata1	chr5	124012996	124013006	-	0.000	0.000	Merged-chr5-124013138-22
NR1110--MA0140.2.GATA1::TAL1	chr11	118379741	118379758	-	0.000	0.000	Merged-chr11-118379704-27
NR4433--MA0482.1.Gata4	chr5	115474734	115474744	+	0.000	0.000	Merged-chr5-115474524-35
NR793--MA0140.2.GATA1::TAL1	chr10	128696396	128696413	+	0.000	0.000	Merged-chr10-128696320-57
