#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR874--MA0463.1.Bcl6	chr17	88042701	88042714	-	0.000	0.000	Merged-chr17-88042729-54
NR1398--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR854--MA0731.1.BCL6B	chr17	71485916	71485932	+	0.000	0.000	Merged-chr17-71486096-96
NR1330--MA0731.1.BCL6B	chr4	43045926	43045942	+	0.000	0.000	Merged-chr4-43046068-69
NR74--MA0463.1.Bcl6	chr1	144033461	144033474	+	0.000	0.000	Merged-chr1-144033624-20
NR1919--MA0731.1.BCL6B	chr9	50905492	50905508	+	0.000	0.000	Merged-chr9-50905501-48
NR1480--MA0463.1.Bcl6	chr5	86071876	86071889	-	0.000	0.000	Merged-chr5-86071868-66
NR1337--MA0463.1.Bcl6	chr4	55442460	55442473	+	0.000	0.000	Merged-chr4-55442539-69
NR833--MA0731.1.BCL6B	chr17	35823017	35823033	+	0.000	0.000	Merged-chr17-35823208-57
NR88--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR703--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR696--MA0463.1.Bcl6	chr15	67031460	67031473	-	0.000	0.000	Merged-chr15-67031356-8
NR541--MA0731.1.BCL6B	chr13	76018756	76018772	+	0.000	0.000	Merged-chr13-76018576-95
NR235--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1478--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR1858--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1282--MA0731.1.BCL6B	chr3	136959278	136959294	-	0.000	0.000	Merged-chr3-136959339-20
NR1205--MA0731.1.BCL6B	chr3	55517630	55517646	-	0.000	0.000	Merged-chr3-55517605-60
NR1499--MA0463.1.Bcl6	chr5	100929782	100929795	+	0.000	0.000	Merged-chr5-100929891-31
NR907--MA0463.1.Bcl6	chr18	64476933	64476946	+	0.000	0.000	Merged-chr18-64476957-10
NR155--MA0463.1.Bcl6	chr1	189799170	189799183	+	0.000	0.000	Merged-chr1-189799097-29
NR371--MA0731.1.BCL6B	chr11	115628145	115628161	+	0.000	0.000	Merged-chr11-115628140-53
NR388--MA0463.1.Bcl6	chr12	24600780	24600793	+	0.000	0.000	Merged-chr12-24600687-58
NR294--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR1862--MA0463.1.Bcl6	chr8	86745309	86745322	-	0.000	0.000	Merged-chr8-86745395-6
NR384--MA0731.1.BCL6B	chr12	3322115	3322131	+	0.000	0.000	Merged-chr12-3322326-39
NR1974--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR827--MA0463.1.Bcl6	chr17	32386899	32386912	+	0.000	0.000	Merged-chr17-32386992-9
NR350--MA0731.1.BCL6B	chr11	102930650	102930666	-	0.000	0.000	Merged-chr11-102930777-13
NR178--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR505--MA0463.1.Bcl6	chr13	30766966	30766979	+	0.000	0.000	Merged-chr13-30767058-33
NR617--MA0463.1.Bcl6	chr14	60634739	60634752	+	0.000	0.000	Merged-chr14-60634625-83
NR1876--MA0463.1.Bcl6	chr8	109614654	109614667	-	0.000	0.000	Merged-chr8-109614638-43
NR538--MA0731.1.BCL6B	chr13	73740708	73740724	+	0.000	0.000	Merged-chr13-73740559-35
NR523--MA0463.1.Bcl6	chr13	59675431	59675444	+	0.000	0.000	Merged-chr13-59675579-56
NR647--MA0731.1.BCL6B	chr14	103550775	103550791	-	0.000	0.000	Merged-chr14-103550672-31
NR635--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR747--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR653--MA0463.1.Bcl6	chr14	121164861	121164874	+	0.000	0.000	Merged-chr14-121164669-3
NR594--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR519--MA0463.1.Bcl6	chr13	51781592	51781605	-	0.000	0.000	Merged-chr13-51781746-17
NR1659--MA0731.1.BCL6B	chr6	131388524	131388540	+	0.000	0.000	Merged-chr6-131388404-16
NR1778--MA0463.1.Bcl6	chr7	114817785	114817798	+	0.000	0.000	Merged-chr7-114817676-52
NR1326--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR537--MA0463.1.Bcl6	chr13	73740708	73740721	-	0.000	0.000	Merged-chr13-73740559-35
NR735--MA0731.1.BCL6B	chr16	10384151	10384167	+	0.000	0.000	Merged-chr16-10384220-18
NR1344--MA0463.1.Bcl6	chr4	59230663	59230676	+	0.000	0.000	Merged-chr4-59230603-11
NR1241--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
NR667--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR1228--MA0463.1.Bcl6	chr3	96501825	96501838	-	0.000	0.000	Merged-chr3-96501707-37
NR1013--MA0463.1.Bcl6	chr2	35299561	35299574	+	0.000	0.000	Merged-chr2-35299647-29
NR300--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR1801--MA0463.1.Bcl6	chr7	136248474	136248487	-	0.000	0.000	Merged-chr7-136248443-25
NR347--MA0731.1.BCL6B	chr11	101008334	101008350	+	0.000	0.000	Merged-chr11-101008310-35
NR130--MA0463.1.Bcl6	chr1	178376321	178376334	-	0.000	0.000	Merged-chr1-178376257-4
NR390--MA0731.1.BCL6B	chr12	33434055	33434071	+	0.000	0.000	Merged-chr12-33434060-41
NR456--MA0731.1.BCL6B	chr12	111668617	111668633	+	0.000	0.000	Merged-chr12-111668629-40
NR326--MA0731.1.BCL6B	chr11	87967898	87967914	+	0.000	0.000	Merged-chr11-87968039-56
NR493--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR1918--MA0463.1.Bcl6	chr9	50739381	50739394	+	0.000	0.000	Merged-chr9-50739429-50
NR153--MA0463.1.Bcl6	chr1	189586255	189586268	+	0.000	0.000	Merged-chr1-189586446-31
NR1229--MA0731.1.BCL6B	chr3	96501825	96501841	+	0.000	0.000	Merged-chr3-96501707-37
NR2023--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR796--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR377--MA0463.1.Bcl6	chr11	117349650	117349663	-	0.000	0.000	Merged-chr11-117349622-30
NR395--MA0731.1.BCL6B	chr12	40018370	40018386	+	0.000	0.000	Merged-chr12-40018345-30
NR825--MA0463.1.Bcl6	chr17	29638092	29638105	-	0.000	0.000	Merged-chr17-29638161-9
NR279--MA0463.1.Bcl6	chr11	32580535	32580548	-	0.000	0.000	Merged-chr11-32580688-47
NR1086--MA0463.1.Bcl6	chr2	116900081	116900094	+	0.000	0.000	Merged-chr2-116900141-29
NR1968--MA0463.1.Bcl6	chr9	102577622	102577635	+	0.000	0.000	Merged-chr9-102577518-37
NR1198--MA0463.1.Bcl6	chr3	38497052	38497065	-	0.000	0.000	Merged-chr3-38497155-35
NR727--MA0463.1.Bcl6	chr15	96285881	96285894	+	0.000	0.000	Merged-chr15-96285638-75
NR135--MA0731.1.BCL6B	chr1	180888723	180888739	+	0.000	0.000	Merged-chr1-180888660-21
NR406--MA0731.1.BCL6B	chr12	73162857	73162873	-	0.000	0.000	Merged-chr12-73162812-38
NR1992--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR52--MA0463.1.Bcl6	chr1	106043521	106043534	+	0.000	0.000	Merged-chr1-106043665-23
NR199--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR302--MA0463.1.Bcl6	chr11	67965589	67965602	+	0.000	0.000	Merged-chr11-67965587-20
NR790--MA0463.1.Bcl6	chr16	91081709	91081722	-	0.000	0.000	Merged-chr16-91081677-19
NR544--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR777--MA0463.1.Bcl6	chr16	64824085	64824098	-	0.000	0.000	Merged-chr16-64824096-19
NR316--MA0463.1.Bcl6	chr11	78345897	78345910	+	0.000	0.000	Merged-chr11-78345997-37
NR1217--MA0463.1.Bcl6	chr3	79178436	79178449	+	0.000	0.000	Merged-chr3-79178280-26
NR1593--MA0463.1.Bcl6	chr6	54069114	54069127	+	0.000	0.000	Merged-chr6-54069236-28
NR1020--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR1902--MA0463.1.Bcl6	chr9	13443678	13443691	-	0.000	0.000	Merged-chr9-13443699-54
NR1692--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR467--MA0731.1.BCL6B	chr12	117941515	117941531	+	0.000	0.000	Merged-chr12-117941407-5
NR119--MA0731.1.BCL6B	chr1	173437390	173437406	-	0.000	0.000	Merged-chr1-173437499-84
NR1271--MA0463.1.Bcl6	chr3	129470273	129470286	+	0.000	0.000	Merged-chr3-129470281-15
NR339--MA0463.1.Bcl6	chr11	98918364	98918377	+	0.000	0.000	Merged-chr11-98918377-19
NR1575--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR930--MA0463.1.Bcl6	chr18	80497083	80497096	+	0.000	0.000	Merged-chr18-80497018-4
NR375--MA0463.1.Bcl6	chr11	116869445	116869458	+	0.000	0.000	Merged-chr11-116869693-21
NR702--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR1520--MA0731.1.BCL6B	chr5	122143749	122143765	-	0.000	0.000	Merged-chr5-122143797-29
NR1178--MA0463.1.Bcl6	chr2	178616129	178616142	+	0.000	0.000	Merged-chr2-178616096-1
NR389--MA0463.1.Bcl6	chr12	25864290	25864303	+	0.000	0.000	Merged-chr12-25864437-46
NR174--MA0463.1.Bcl6	chr10	21077157	21077170	+	0.000	0.000	Merged-chr10-21077347-58
NR1010--MA0731.1.BCL6B	chr2	32772171	32772187	-	0.000	0.000	Merged-chr2-32771998-3
NR1187--MA0463.1.Bcl6	chr3	10682195	10682208	+	0.000	0.000	Merged-chr3-10682149-13
NR289--MA0731.1.BCL6B	chr11	49100435	49100451	-	0.000	0.000	Merged-chr11-49100506-9
NR734--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR1993--MA0463.1.Bcl6	chr9	122246143	122246156	-	0.000	0.000	Merged-chr9-122246104-16
NR752--MA0463.1.Bcl6	chr16	25426659	25426672	+	0.000	0.000	Merged-chr16-25426499-60
NR197--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR1098--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR1407--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR1519--MA0463.1.Bcl6	chr5	122143752	122143765	+	0.000	0.000	Merged-chr5-122143797-29
NR748--MA0463.1.Bcl6	chr16	22548486	22548499	+	0.000	0.000	Merged-chr16-22548400-52
NR1581--MA0731.1.BCL6B	chr6	38349095	38349111	-	0.000	0.000	Merged-chr6-38349096-6
NR1452--MA0463.1.Bcl6	chr5	24470891	24470904	-	0.000	0.000	Merged-chr5-24470748-28
NR13--MA0731.1.BCL6B	chr1	42851069	42851085	+	0.000	0.000	Merged-chr1-42851251-58
NR1573--MA0463.1.Bcl6	chr6	22325853	22325866	-	0.000	0.000	Merged-chr6-22325827-30
NR1756--MA0731.1.BCL6B	chr7	101600532	101600548	-	0.000	0.000	Merged-chr7-101600630-30
NR323--MA0463.1.Bcl6	chr11	86586366	86586379	+	0.000	0.000	Merged-chr11-86586440-5
NR1517--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR1103--MA0731.1.BCL6B	chr2	128073153	128073169	-	0.000	0.000	Merged-chr2-128073179-40
NR668--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1475--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR328--MA0463.1.Bcl6	chr11	89024322	89024335	-	0.000	0.000	Merged-chr11-89024298-29
NR1802--MA0463.1.Bcl6	chr7	136270265	136270278	-	0.000	0.000	Merged-chr7-136270364-24
NR1820--MA0463.1.Bcl6	chr8	12672243	12672256	+	0.000	0.000	Merged-chr8-12672209-68
NR824--MA0731.1.BCL6B	chr17	29606452	29606468	-	0.000	0.000	Merged-chr17-29606605-11
NR118--MA0463.1.Bcl6	chr1	173437393	173437406	+	0.000	0.000	Merged-chr1-173437499-84
NR1076--MA0731.1.BCL6B	chr2	102981699	102981715	+	0.000	0.000	Merged-chr2-102981586-74
NR382--MA0463.1.Bcl6	chr11	118610193	118610206	-	0.000	0.000	Merged-chr11-118610339-6
NR1149--MA0463.1.Bcl6	chr2	153779385	153779398	+	0.000	0.000	Merged-chr2-153779359-58
NR1610--MA0463.1.Bcl6	chr6	83108843	83108856	-	0.000	0.000	Merged-chr6-83108688-3
NR266--MA0463.1.Bcl6	chr10	128645848	128645861	-	0.000	0.000	Merged-chr10-128645990-43
NR1706--MA0731.1.BCL6B	chr7	38090387	38090403	-	0.000	0.000	Merged-chr7-38090413-30
NR1857--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1642--MA0463.1.Bcl6	chr6	120135067	120135080	-	0.000	0.000	Merged-chr6-120135007-7
NR853--MA0463.1.Bcl6	chr17	71485897	71485910	+	0.000	0.000	Merged-chr17-71486096-96
NR1969--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR1772--MA0463.1.Bcl6	chr7	112042934	112042947	+	0.000	0.000	Merged-chr7-112042963-36
NR45--MA0731.1.BCL6B	chr1	88450668	88450684	+	0.000	0.000	Merged-chr1-88450830-24
NR992--MA0463.1.Bcl6	chr19	57988219	57988232	+	0.000	0.000	Merged-chr19-57988321-5
NR646--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR1884--MA0463.1.Bcl6	chr8	120532544	120532557	+	0.000	0.000	Merged-chr8-120532679-9
NR35--MA0463.1.Bcl6	chr1	78478074	78478087	-	0.000	0.000	Merged-chr1-78478073-15
NR960--MA0731.1.BCL6B	chr19	14598236	14598252	+	0.000	0.000	Merged-chr19-14598034-110
NR11--MA0731.1.BCL6B	chr1	38662685	38662701	-	0.000	0.000	Merged-chr1-38662810-22
NR1406--MA0731.1.BCL6B	chr4	135292735	135292751	-	0.000	0.000	Merged-chr4-135292823-34
NR1777--MA0463.1.Bcl6	chr7	114081552	114081565	+	0.000	0.000	Merged-chr7-114081573-27
NR1562--MA0463.1.Bcl6	chr5	147697206	147697219	+	0.000	0.000	Merged-chr5-147697335-17
NR71--MA0463.1.Bcl6	chr1	138750367	138750380	-	0.000	0.000	Merged-chr1-138750418-5
NR988--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR1767--MA0731.1.BCL6B	chr7	109458541	109458557	+	0.000	0.000	Merged-chr7-109458509-7
NR321--MA0463.1.Bcl6	chr11	83737563	83737576	+	0.000	0.000	Merged-chr11-83737468-25
NR1795--MA0463.1.Bcl6	chr7	130533444	130533457	-	0.000	0.000	Merged-chr7-130533557-34
NR986--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR1106--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR2030--MA0731.1.BCL6B	chrX	166805777	166805793	+	0.000	0.000	Merged-chrX-166805944-25
NR1576--MA0463.1.Bcl6	chr6	29517502	29517515	-	0.000	0.000	Merged-chr6-29517345-20
NR508--MA0731.1.BCL6B	chr13	35871507	35871523	-	0.000	0.000	Merged-chr13-35871308-48
NR1124--MA0463.1.Bcl6	chr2	139841365	139841378	+	0.000	0.000	Merged-chr2-139841440-80
NR16--MA0731.1.BCL6B	chr1	53313745	53313761	+	0.000	0.000	Merged-chr1-53313672-58
NR693--MA0463.1.Bcl6	chr15	64186940	64186953	+	0.000	0.000	Merged-chr15-64186821-18
NR1594--MA0463.1.Bcl6	chr6	54816540	54816553	+	0.000	0.000	Merged-chr6-54816601-6
NR203--MA0731.1.BCL6B	chr10	75666785	75666801	+	0.000	0.000	Merged-chr10-75666667-21
NR293--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR1008--MA0463.1.Bcl6	chr2	30942764	30942777	+	0.000	0.000	Merged-chr2-30942807-40
NR739--MA0731.1.BCL6B	chr16	15637536	15637552	+	0.000	0.000	Merged-chr16-15637448-97
NR1087--MA0731.1.BCL6B	chr2	116942592	116942608	-	0.000	0.000	Merged-chr2-116942591-14
NR291--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR251--MA0731.1.BCL6B	chr10	117938820	117938836	+	0.000	0.000	Merged-chr10-117938782-19
NR2018--MA0463.1.Bcl6	chrX	107151002	107151015	+	0.000	0.000	Merged-chrX-107151069-54
NR927--MA0463.1.Bcl6	chr18	79064235	79064248	+	0.000	0.000	Merged-chr18-79064378-58
NR264--MA0731.1.BCL6B	chr10	128213105	128213121	+	0.000	0.000	Merged-chr10-128213111-44
NR1864--MA0463.1.Bcl6	chr8	90828934	90828947	+	0.000	0.000	Merged-chr8-90828979-56
NR15--MA0463.1.Bcl6	chr1	53313745	53313758	-	0.000	0.000	Merged-chr1-53313672-58
NR502--MA0463.1.Bcl6	chr13	28953607	28953620	-	0.000	0.000	Merged-chr13-28953393-108
NR1976--MA0463.1.Bcl6	chr9	107563067	107563080	+	0.000	0.000	Merged-chr9-107563217-52
NR1748--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR959--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR404--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR745--MA0731.1.BCL6B	chr16	17508848	17508864	-	0.000	0.000	Merged-chr16-17508961-62
NR1323--MA0463.1.Bcl6	chr4	21752100	21752113	+	0.000	0.000	Merged-chr4-21752041-18
NR1731--MA0731.1.BCL6B	chr7	74697100	74697116	+	0.000	0.000	Merged-chr7-74696900-78
NR1435--MA0463.1.Bcl6	chr4	150909630	150909643	-	0.000	0.000	Merged-chr4-150909856-55
NR552--MA0463.1.Bcl6	chr13	98832578	98832591	+	0.000	0.000	Merged-chr13-98832743-37
NR324--MA0463.1.Bcl6	chr11	86652746	86652759	+	0.000	0.000	Merged-chr11-86652883-55
NR1131--MA0463.1.Bcl6	chr2	144240369	144240382	-	0.000	0.000	Merged-chr2-144240355-14
NR557--MA0463.1.Bcl6	chr13	100731066	100731079	+	0.000	0.000	Merged-chr13-100730869-60
NR463--MA0463.1.Bcl6	chr12	116269636	116269649	-	0.000	0.000	Merged-chr12-116269685-29
NR79--MA0463.1.Bcl6	chr1	152287779	152287792	-	0.000	0.000	Merged-chr1-152287912-60
NR227--MA0731.1.BCL6B	chr10	99127159	99127175	-	0.000	0.000	Merged-chr10-99127099-1
NR1261--MA0463.1.Bcl6	chr3	121154456	121154469	+	0.000	0.000	Merged-chr3-121154322-4
NR1109--MA0463.1.Bcl6	chr2	131423734	131423747	+	0.000	0.000	Merged-chr2-131423775-8
NR1015--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR1920--MA0731.1.BCL6B	chr9	52261630	52261646	+	0.000	0.000	Merged-chr9-52261753-18
NR1705--MA0463.1.Bcl6	chr7	38090387	38090400	-	0.000	0.000	Merged-chr7-38090413-30
NR249--MA0463.1.Bcl6	chr10	117640118	117640131	+	0.000	0.000	Merged-chr10-117640177-35
NR710--MA0463.1.Bcl6	chr15	83526963	83526976	+	0.000	0.000	Merged-chr15-83526907-65
NR822--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR1065--MA0463.1.Bcl6	chr2	78997507	78997520	-	0.000	0.000	Merged-chr2-78997509-22
NR179--MA0731.1.BCL6B	chr10	31742552	31742568	-	0.000	0.000	Merged-chr10-31742619-29
NR20--MA0731.1.BCL6B	chr1	58806852	58806868	-	0.000	0.000	Merged-chr1-58806904-11
NR1524--MA0731.1.BCL6B	chr5	124050169	124050185	+	0.000	0.000	Merged-chr5-124050362-25
NR1362--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
NR738--MA0463.1.Bcl6	chr16	11519381	11519394	+	0.000	0.000	Merged-chr16-11519349-21
NR1885--MA0731.1.BCL6B	chr8	120532541	120532557	-	0.000	0.000	Merged-chr8-120532679-9
NR12--MA0731.1.BCL6B	chr1	38662792	38662808	-	0.000	0.000	Merged-chr1-38662810-22
NR304--MA0463.1.Bcl6	chr11	68726821	68726834	+	0.000	0.000	Merged-chr11-68726851-12
NR1563--MA0463.1.Bcl6	chr5	149006770	149006783	-	0.000	0.000	Merged-chr5-149006728-51
NR989--MA0463.1.Bcl6	chr19	57803310	57803323	+	0.000	0.000	Merged-chr19-57803146-21
NR1102--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR680--MA0463.1.Bcl6	chr15	55854765	55854778	+	0.000	0.000	Merged-chr15-55854766-48
NR1214--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR1232--MA0463.1.Bcl6	chr3	96905379	96905392	+	0.000	0.000	Merged-chr3-96905193-62
NR1211--MA0731.1.BCL6B	chr3	66981463	66981479	+	0.000	0.000	Merged-chr3-66981448-51
NR8--MA0463.1.Bcl6	chr1	36445320	36445333	+	0.000	0.000	Merged-chr1-36445137-58
NR1577--MA0463.1.Bcl6	chr6	30401863	30401876	+	0.000	0.000	Merged-chr6-30401803-70
NR1219--MA0463.1.Bcl6	chr3	84631009	84631022	-	0.000	0.000	Merged-chr3-84630888-13
NR1713--MA0731.1.BCL6B	chr7	44896014	44896030	-	0.000	0.000	Merged-chr7-44895929-62
NR1255--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1922--MA0463.1.Bcl6	chr9	53356884	53356897	-	0.000	0.000	Merged-chr9-53356792-29
NR1367--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR1009--MA0463.1.Bcl6	chr2	32772174	32772187	+	0.000	0.000	Merged-chr2-32771998-3
NR531--MA0731.1.BCL6B	chr13	67420726	67420742	+	0.000	0.000	Merged-chr13-67420625-2
NR1927--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR1712--MA0463.1.Bcl6	chr7	44262976	44262989	+	0.000	0.000	Merged-chr7-44263081-47
NR2014--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR911--MA0731.1.BCL6B	chr18	65801842	65801858	-	0.000	0.000	Merged-chr18-65801894-18
NR1269--MA0463.1.Bcl6	chr3	128151342	128151355	-	0.000	0.000	Merged-chr3-128151180-1
NR180--MA0463.1.Bcl6	chr10	34197354	34197367	-	0.000	0.000	Merged-chr10-34197506-23
NR292--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR1708--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR1699--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR503--MA0463.1.Bcl6	chr13	28958405	28958418	+	0.000	0.000	Merged-chr13-28958355-72
NR848--MA0463.1.Bcl6	chr17	66077045	66077058	+	0.000	0.000	Merged-chr17-66076994-114
NR340--MA0731.1.BCL6B	chr11	98918361	98918377	-	0.000	0.000	Merged-chr11-98918377-19
NR1819--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
