#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR7408--MA0002.2.RUNX1	chr4	88088935	88088945	+	0.000	0.000	Merged-chr4-88088936-18
NR1974--MA0684.1.RUNX3	chr11	96925017	96925026	-	0.000	0.000	Merged-chr11-96925082-7
NR6760--MA0684.1.RUNX3	chr3	86837546	86837555	-	0.000	0.000	Merged-chr3-86837478-31
NR3777--MA0002.2.RUNX1	chr14	123163086	123163096	-	0.000	0.000	Merged-chr14-123163033-38
NR10517--MA0684.1.RUNX3	chr9	55003607	55003616	+	0.000	0.000	Merged-chr9-55003714-9
NR9422--MA0684.1.RUNX3	chr7	74544585	74544594	-	0.000	0.000	Merged-chr7-74544568-34
NR7594--MA0002.2.RUNX1	chr4	129113213	129113223	+	0.000	0.000	Merged-chr4-129113254-7
NR7808--MA0684.1.RUNX3	chr5	7829816	7829825	-	0.000	0.000	Merged-chr5-7829791-41
NR10801--MA0511.2.RUNX2	chr9	96024125	96024133	+	0.000	0.000	Merged-chr9-96024121-9
NR10325--MA0511.2.RUNX2	chr8	126832837	126832845	+	0.000	0.000	Merged-chr8-126833007-101
NR670--MA0684.1.RUNX3	chr1	165775759	165775768	-	0.000	0.000	Merged-chr1-165775812-17
NR9230--MA0511.2.RUNX2	chr6	149260815	149260823	+	0.000	0.000	Merged-chr6-149260973-38
NR5314--MA0002.2.RUNX1	chr18	70611285	70611295	+	0.000	0.000	Merged-chr18-70611498-71
NR3363--MA0002.2.RUNX1	chr14	18301817	18301827	-	0.000	0.000	Merged-chr14-18301823-12
NR5109--MA0002.2.RUNX1	chr18	14494475	14494485	-	0.000	0.000	Merged-chr18-14494264-19
NR10103--MA0684.1.RUNX3	chr8	86856476	86856485	+	0.000	0.000	Merged-chr8-86856376-59
NR6740--MA0002.2.RUNX1	chr3	84093124	84093134	-	0.000	0.000	Merged-chr3-84093112-19
NR9945--MA0684.1.RUNX3	chr8	25274713	25274722	-	0.000	0.000	Merged-chr8-25274715-82
NR9131--MA0002.2.RUNX1	chr6	142572829	142572839	+	0.000	0.000	Merged-chr6-142573011-33
NR7789--MA0684.1.RUNX3	chr4	155095386	155095395	-	0.000	0.000	Merged-chr4-155095407-34
NR7180--MA0002.2.RUNX1	chr3	157803385	157803395	+	0.000	0.000	Merged-chr3-157803404-34
NR7517--MA0002.2.RUNX1	chr4	108371652	108371662	-	0.000	0.000	Merged-chr4-108371608-19
NR5295--MA0002.2.RUNX1	chr18	66441215	66441225	-	0.000	0.000	Merged-chr18-66441212-1
NR445--MA0002.2.RUNX1	chr1	127651301	127651311	-	0.000	0.000	Merged-chr1-127651305-2
NR10683--MA0002.2.RUNX1	chr9	78641548	78641558	+	0.000	0.000	Merged-chr9-78641526-12
NR6992--MA0002.2.RUNX1	chr3	133506492	133506502	-	0.000	0.000	Merged-chr3-133506515-24
NR9383--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR9178--MA0002.2.RUNX1	chr6	145417485	145417495	+	0.000	0.000	Merged-chr6-145417723-108
NR96--MA0002.2.RUNX1	chr1	40470100	40470110	+	0.000	0.000	Merged-chr1-40470075-45
NR8086--MA0684.1.RUNX3	chr5	91814581	91814590	-	0.000	0.000	Merged-chr5-91814561-31
NR7769--MA0002.2.RUNX1	chr4	150545077	150545087	+	0.000	0.000	Merged-chr4-150545055-50
NR10212--MA0684.1.RUNX3	chr8	114879898	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR10878--MA0684.1.RUNX3	chr9	108163798	108163807	+	0.000	0.000	Merged-chr9-108163865-26
NR1735--MA0684.1.RUNX3	chr11	54226764	54226773	+	0.000	0.000	Merged-chr11-54226871-4
NR52--MA0511.2.RUNX2	chr1	36025101	36025109	-	0.000	0.000	Merged-chr1-36025179-31
NR10064--MA0002.2.RUNX1	chr8	77423106	77423116	+	0.000	0.000	Merged-chr8-77423150-61
NR9035--MA0002.2.RUNX1	chr6	130288355	130288365	-	0.000	0.000	Merged-chr6-130288327-19
NR4964--MA0002.2.RUNX1	chr17	73514140	73514150	+	0.000	0.000	Merged-chr17-73514079-25
NR1321--MA0684.1.RUNX3	chr10	98786239	98786248	+	0.000	0.000	Merged-chr10-98786079-74
NR1987--MA0684.1.RUNX3	chr11	97129169	97129178	-	0.000	0.000	Merged-chr11-97129027-2
NR3124--MA0002.2.RUNX1	chr13	95913142	95913152	+	0.000	0.000	Merged-chr13-95913173-23
NR1173--MA0002.2.RUNX1	chr10	79897903	79897913	-	0.000	0.000	Merged-chr10-79897818-26
NR10587--MA0002.2.RUNX1	chr9	63785571	63785581	-	0.000	0.000	Merged-chr9-63785726-16
NR9829--MA0002.2.RUNX1	chr7	140321276	140321286	+	0.000	0.000	Merged-chr7-140321203-63
NR5599--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR2665--MA0002.2.RUNX1	chr12	115055202	115055212	+	0.000	0.000	Merged-chr12-115055317-37
NR5056--MA0002.2.RUNX1	chr17	86880725	86880735	-	0.000	0.000	Merged-chr17-86880662-37
NR7292--MA0511.2.RUNX2	chr4	47300828	47300836	-	0.000	0.000	Merged-chr4-47300829-7
NR3319--MA0684.1.RUNX3	chr13	119657288	119657297	+	0.000	0.000	Merged-chr13-119657260-10
NR3376--MA0002.2.RUNX1	chr14	21654029	21654039	-	0.000	0.000	Merged-chr14-21654080-31
NR4950--MA0684.1.RUNX3	chr17	71192225	71192234	+	0.000	0.000	Merged-chr17-71192022-46
NR1696--MA0002.2.RUNX1	chr11	50213201	50213211	+	0.000	0.000	Merged-chr11-50213336-46
NR7070--MA0684.1.RUNX3	chr3	142281331	142281340	+	0.000	0.000	Merged-chr3-142281213-32
NR3061--MA0511.2.RUNX2	chr13	89670127	89670135	+	0.000	0.000	Merged-chr13-89670013-3
NR9415--MA0002.2.RUNX1	chr7	73572691	73572701	+	0.000	0.000	Merged-chr7-73572750-41
NR7193--MA0002.2.RUNX1	chr4	6924977	6924987	-	0.000	0.000	Merged-chr4-6924913-49
NR62--MA0002.2.RUNX1	chr1	36722613	36722623	-	0.000	0.000	Merged-chr1-36722737-4
NR2251--MA0002.2.RUNX1	chr12	32285284	32285294	-	0.000	0.000	Merged-chr12-32285209-18
NR5456--MA0684.1.RUNX3	chr19	8592429	8592438	+	0.000	0.000	Merged-chr19-8592238-38
NR2522--MA0002.2.RUNX1	chr12	100895668	100895678	+	0.000	0.000	Merged-chr12-100895499-71
NR3110--MA0684.1.RUNX3	chr13	95449935	95449944	+	0.000	0.000	Merged-chr13-95449730-51
NR9495--MA0511.2.RUNX2	chr7	88459939	88459947	-	0.000	0.000	Merged-chr7-88459917-15
NR7420--MA0511.2.RUNX2	chr4	89008715	89008723	+	0.000	0.000	Merged-chr4-89008819-38
NR3233--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR934--MA0002.2.RUNX1	chr10	13970471	13970481	+	0.000	0.000	Merged-chr10-13970545-12
NR3028--MA0002.2.RUNX1	chr13	81675840	81675850	-	0.000	0.000	Merged-chr13-81675595-44
NR1348--MA0002.2.RUNX1	chr10	111213766	111213776	+	0.000	0.000	Merged-chr10-111213770-2
NR5806--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR11079--MA0684.1.RUNX3	chrX	48713031	48713040	-	0.000	0.000	Merged-chrX-48713049-46
NR1619--MA0002.2.RUNX1	chr11	30166353	30166363	-	0.000	0.000	Merged-chr11-30166468-16
NR9001--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR10652--MA0511.2.RUNX2	chr9	71848614	71848622	-	0.000	0.000	Merged-chr9-71848464-7
NR10923--MA0511.2.RUNX2	chr9	113924517	113924525	+	0.000	0.000	Merged-chr9-113924509-5
NR7116--MA0002.2.RUNX1	chr3	146764991	146765001	+	0.000	0.000	Merged-chr3-146765113-32
NR8099--MA0684.1.RUNX3	chr5	92624630	92624639	-	0.000	0.000	Merged-chr5-92624653-16
NR520--MA0002.2.RUNX1	chr1	138598284	138598294	-	0.000	0.000	Merged-chr1-138598338-24
NR1477--MA0684.1.RUNX3	chr10	127107654	127107663	+	0.000	0.000	Merged-chr10-127107710-55
NR65--MA0511.2.RUNX2	chr1	36883849	36883857	+	0.000	0.000	Merged-chr1-36883943-16
NR10077--MA0002.2.RUNX1	chr8	81572864	81572874	-	0.000	0.000	Merged-chr8-81572647-16
NR4139--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR10348--MA0002.2.RUNX1	chr8	127968156	127968166	-	0.000	0.000	Merged-chr8-127968270-33
NR11207--MA0684.1.RUNX3	chrX	164318752	164318761	+	0.000	0.000	Merged-chrX-164318746-35
NR3885--MA0684.1.RUNX3	chr15	50646810	50646819	+	0.000	0.000	Merged-chr15-50646765-38
NR7053--MA0511.2.RUNX2	chr3	141690927	141690935	+	0.000	0.000	Merged-chr3-141690828-16
NR7324--MA0511.2.RUNX2	chr4	58050835	58050843	-	0.000	0.000	Merged-chr4-58050773-31
NR6--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR838--MA0002.2.RUNX1	chr1	186676493	186676503	+	0.000	0.000	Merged-chr1-186676331-13
NR5644--MA0511.2.RUNX2	chr19	53318248	53318256	-	0.000	0.000	Merged-chr19-53318391-14
NR95--MA0684.1.RUNX3	chr1	40465640	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR8750--MA0511.2.RUNX2	chr6	87541311	87541319	-	0.000	0.000	Merged-chr6-87541310-26
NR4563--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR301--MA0684.1.RUNX3	chr1	87637246	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR8380--MA0002.2.RUNX1	chr5	140838991	140839001	-	0.000	0.000	Merged-chr5-140838792-15
NR1586--MA0684.1.RUNX3	chr11	21192048	21192057	-	0.000	0.000	Merged-chr11-21192059-23
NR3389--MA0002.2.RUNX1	chr14	25640575	25640585	+	0.000	0.000	Merged-chr14-25640736-54
NR8922--MA0002.2.RUNX1	chr6	119451208	119451218	-	0.000	0.000	Merged-chr6-119451010-23
NR7625--MA0684.1.RUNX3	chr4	133584286	133584295	-	0.000	0.000	Merged-chr4-133584347-54
NR75--MA0002.2.RUNX1	chr1	38694252	38694262	-	0.000	0.000	Merged-chr1-38694375-50
NR10586--MA0684.1.RUNX3	chr9	63737768	63737777	+	0.000	0.000	Merged-chr9-63737759-14
NR1238--MA0684.1.RUNX3	chr10	88426736	88426745	-	0.000	0.000	Merged-chr10-88426596-23
NR9828--MA0684.1.RUNX3	chr7	140214044	140214053	+	0.000	0.000	Merged-chr7-140214082-44
NR7211--MA0684.1.RUNX3	chr4	11077683	11077692	+	0.000	0.000	Merged-chr4-11077783-17
NR4943--MA0002.2.RUNX1	chr17	65817915	65817925	+	0.000	0.000	Merged-chr17-65817855-23
NR903--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR2121--MA0002.2.RUNX1	chr11	115231721	115231731	-	0.000	0.000	Merged-chr11-115231746-46
NR9636--MA0511.2.RUNX2	chr7	114480044	114480052	-	0.000	0.000	Merged-chr7-114480046-60
NR8760--MA0002.2.RUNX1	chr6	88939627	88939637	+	0.000	0.000	Merged-chr6-88939617-36
NR10714--MA0684.1.RUNX3	chr9	82961601	82961610	-	0.000	0.000	Merged-chr9-82961653-22
NR3769--MA0002.2.RUNX1	chr14	122036071	122036081	-	0.000	0.000	Merged-chr14-122036030-34
NR10566--MA0002.2.RUNX1	chr9	61332431	61332441	+	0.000	0.000	Merged-chr9-61332388-31
NR9266--MA0002.2.RUNX1	chr7	19325975	19325985	-	0.000	0.000	Merged-chr7-19325956-31
NR10251--MA0511.2.RUNX2	chr8	119605005	119605013	+	0.000	0.000	Merged-chr8-119605101-59
NR9808--MA0002.2.RUNX1	chr7	136255792	136255802	+	0.000	0.000	Merged-chr7-136255803-24
NR7586--MA0002.2.RUNX1	chr4	128610100	128610110	-	0.000	0.000	Merged-chr4-128610042-53
NR391--MA0684.1.RUNX3	chr1	106152017	106152026	-	0.000	0.000	Merged-chr1-106152101-46
NR1569--MA0511.2.RUNX2	chr11	16952288	16952296	+	0.000	0.000	Merged-chr11-16952284-5
NR3898--MA0684.1.RUNX3	chr15	55218149	55218158	-	0.000	0.000	Merged-chr15-55218084-7
NR7271--MA0511.2.RUNX2	chr4	43937320	43937328	+	0.000	0.000	Merged-chr4-43937152-65
NR10695--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR785--MA0002.2.RUNX1	chr1	180940861	180940871	+	0.000	0.000	Merged-chr1-180940937-14
NR2600--MA0511.2.RUNX2	chr12	108601020	108601028	-	0.000	0.000	Merged-chr12-108601181-28
NR4009--MA0684.1.RUNX3	chr15	78614699	78614708	+	0.000	0.000	Merged-chr15-78614745-50
NR10218--MA0002.2.RUNX1	chr8	115408663	115408673	-	0.000	0.000	Merged-chr8-115408581-14
NR3977--MA0511.2.RUNX2	chr15	74672575	74672583	+	0.000	0.000	Merged-chr15-74672780-61
NR8319--MA0511.2.RUNX2	chr5	134878975	134878983	+	0.000	0.000	Merged-chr5-134878870-26
NR7172--MA0002.2.RUNX1	chr3	157572187	157572197	+	0.000	0.000	Merged-chr3-157572162-49
NR6097--MA0511.2.RUNX2	chr2	91042847	91042855	+	0.000	0.000	Merged-chr2-91042928-59
NR2230--MA0002.2.RUNX1	chr12	25431146	25431156	+	0.000	0.000	Merged-chr12-25431052-52
NR2896--MA0002.2.RUNX1	chr13	41445633	41445643	-	0.000	0.000	Merged-chr13-41445652-2
NR1426--MA0511.2.RUNX2	chr10	119382451	119382459	-	0.000	0.000	Merged-chr10-119382475-33
NR7509--MA0002.2.RUNX1	chr4	107093068	107093078	+	0.000	0.000	Merged-chr4-107093201-1
NR5558--MA0002.2.RUNX1	chr19	33223077	33223087	+	0.000	0.000	Merged-chr19-33223001-63
NR5829--MA0002.2.RUNX1	chr2	29628457	29628467	-	0.000	0.000	Merged-chr2-29628514-8
NR642--MA0002.2.RUNX1	chr1	162748945	162748955	+	0.000	0.000	Merged-chr1-162748962-1
NR10618--MA0684.1.RUNX3	chr9	69174221	69174230	+	0.000	0.000	Merged-chr9-69174203-32
NR10360--MA0511.2.RUNX2	chr8	128577441	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR10631--MA0511.2.RUNX2	chr9	70080178	70080186	-	0.000	0.000	Merged-chr9-70080238-33
NR10902--MA0511.2.RUNX2	chr9	111143603	111143611	-	0.000	0.000	Merged-chr9-111143629-7
NR1012--MA0511.2.RUNX2	chr10	40163495	40163503	-	0.000	0.000	Merged-chr10-40163524-42
NR3341--MA0684.1.RUNX3	chr14	10593655	10593664	+	0.000	0.000	Merged-chr14-10593654-13
NR5415--MA0002.2.RUNX1	chr18	84419106	84419116	-	0.000	0.000	Merged-chr18-84419143-8
NR1185--MA0684.1.RUNX3	chr10	80622477	80622486	-	0.000	0.000	Merged-chr10-80622471-84
NR8521--MA0002.2.RUNX1	chr6	30592265	30592275	+	0.000	0.000	Merged-chr6-30592201-27
NR3259--MA0002.2.RUNX1	chr13	111286975	111286985	+	0.000	0.000	Merged-chr13-111286910-46
NR6841--MA0002.2.RUNX1	chr3	101800520	101800530	-	0.000	0.000	Merged-chr3-101800601-48
NR850--MA0511.2.RUNX2	chr1	189795639	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR9027--MA0002.2.RUNX1	chr6	130103006	130103016	-	0.000	0.000	Merged-chr6-130103023-31
NR7076--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR2610--MA0002.2.RUNX1	chr12	110506352	110506362	-	0.000	0.000	Merged-chr12-110506270-12
NR1806--MA0511.2.RUNX2	chr11	67580585	67580593	+	0.000	0.000	Merged-chr11-67580687-16
NR5001--MA0002.2.RUNX1	chr17	80441972	80441982	+	0.000	0.000	Merged-chr17-80441791-30
NR8921--MA0684.1.RUNX3	chr6	119408840	119408849	-	0.000	0.000	Merged-chr6-119408748-28
NR480--MA0002.2.RUNX1	chr1	132618078	132618088	+	0.000	0.000	Merged-chr1-132618127-11
NR1042--MA0684.1.RUNX3	chr10	53374375	53374384	+	0.000	0.000	Merged-chr10-53374413-9
NR8773--MA0002.2.RUNX1	chr6	91125039	91125049	+	0.000	0.000	Merged-chr6-91125010-35
NR1165--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR10579--MA0002.2.RUNX1	chr9	62080713	62080723	-	0.000	0.000	Merged-chr9-62080517-9
NR6222--MA0002.2.RUNX1	chr2	128153202	128153212	+	0.000	0.000	Merged-chr2-128153146-97
NR9427--MA0684.1.RUNX3	chr7	75596205	75596214	-	0.000	0.000	Merged-chr7-75596193-49
NR11167--MA0684.1.RUNX3	chrX	121654779	121654788	+	0.000	0.000	Merged-chrX-121654869-18
NR5418--MA0511.2.RUNX2	chr18	84851323	84851331	-	0.000	0.000	Merged-chr18-84851440-69
NR9279--MA0002.2.RUNX1	chr7	24457834	24457844	-	0.000	0.000	Merged-chr7-24457903-49
NR502--MA0511.2.RUNX2	chr1	135268272	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR4813--MA0002.2.RUNX1	chr17	35392595	35392605	+	0.000	0.000	Merged-chr17-35392677-25
NR3738--MA0511.2.RUNX2	chr14	118658446	118658454	+	0.000	0.000	Merged-chr14-118658326-68
NR2591--MA0002.2.RUNX1	chr12	107993811	107993821	-	0.000	0.000	Merged-chr12-107993756-1
NR5796--MA0684.1.RUNX3	chr2	19734664	19734673	-	0.000	0.000	Merged-chr2-19734692-8
NR1787--MA0511.2.RUNX2	chr11	63352127	63352135	+	0.000	0.000	Merged-chr11-63352234-10
NR10535--MA0511.2.RUNX2	chr9	57273029	57273037	+	0.000	0.000	Merged-chr9-57273113-38
NR7204--MA0002.2.RUNX1	chr4	8907046	8907056	-	0.000	0.000	Merged-chr4-8906961-41
NR3245--MA0684.1.RUNX3	chr13	109926580	109926589	-	0.000	0.000	Merged-chr13-109926611-43
NR10979--MA0684.1.RUNX3	chr9	119894834	119894843	+	0.000	0.000	Merged-chr9-119894778-5
NR3368--MA0002.2.RUNX1	chr14	20682715	20682725	+	0.000	0.000	Merged-chr14-20682563-46
NR798--MA0002.2.RUNX1	chr1	182504345	182504355	+	0.000	0.000	Merged-chr1-182504417-24
NR10436--MA0002.2.RUNX1	chr9	35194222	35194232	-	0.000	0.000	Merged-chr9-35194224-11
NR4794--MA0002.2.RUNX1	chr17	33555685	33555695	+	0.000	0.000	Merged-chr17-33555665-46
NR7185--MA0002.2.RUNX1	chr3	157938775	157938785	-	0.000	0.000	Merged-chr3-157938783-43
NR3497--MA0684.1.RUNX3	chr14	55882489	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR8882--MA0002.2.RUNX1	chr6	115594629	115594639	-	0.000	0.000	Merged-chr6-115594731-47
NR1217--MA0684.1.RUNX3	chr10	85352753	85352762	-	0.000	0.000	Merged-chr10-85352707-44
NR3847--MA0511.2.RUNX2	chr15	34473009	34473017	-	0.000	0.000	Merged-chr15-34473002-9
NR2971--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR1896--MA0511.2.RUNX2	chr11	82203896	82203904	+	0.000	0.000	Merged-chr11-82203990-35
NR6953--MA0511.2.RUNX2	chr3	126690816	126690824	-	0.000	0.000	Merged-chr3-126690917-48
NR784--MA0684.1.RUNX3	chr1	180884782	180884791	+	0.000	0.000	Merged-chr1-180884632-22
NR5428--MA0002.2.RUNX1	chr18	89214998	89215008	+	0.000	0.000	Merged-chr18-89214991-26
NR10217--MA0684.1.RUNX3	chr8	115183836	115183845	+	0.000	0.000	Merged-chr8-115183735-24
NR4780--MA0684.1.RUNX3	chr17	31220223	31220232	-	0.000	0.000	Merged-chr17-31220235-19
NR10545--MA0002.2.RUNX1	chr9	57521312	57521322	+	0.000	0.000	Merged-chr9-57521344-55
NR3433--MA0511.2.RUNX2	chr14	36932188	36932196	+	0.000	0.000	Merged-chr14-36932132-23
NR5491--MA0684.1.RUNX3	chr19	20931536	20931545	+	0.000	0.000	Merged-chr19-20931393-10
NR3704--MA0511.2.RUNX2	chr14	103666855	103666863	-	0.000	0.000	Merged-chr14-103667035-88
NR7508--MA0684.1.RUNX3	chr4	107006388	107006397	-	0.000	0.000	Merged-chr4-107006366-21
NR3228--MA0511.2.RUNX2	chr13	108009907	108009915	-	0.000	0.000	Merged-chr13-108009959-10
NR4969--MA0002.2.RUNX1	chr17	73810289	73810299	+	0.000	0.000	Merged-chr17-73810198-2
NR912--MA0684.1.RUNX3	chr10	8197818	8197827	-	0.000	0.000	Merged-chr10-8197795-23
NR493--MA0002.2.RUNX1	chr1	133847640	133847650	+	0.000	0.000	Merged-chr1-133847657-11
NR6983--MA0684.1.RUNX3	chr3	131157634	131157643	-	0.000	0.000	Merged-chr3-131157614-46
NR9374--MA0684.1.RUNX3	chr7	58392982	58392991	-	0.000	0.000	Merged-chr7-58392737-68
NR10797--MA0002.2.RUNX1	chr9	94993741	94993751	-	0.000	0.000	Merged-chr9-94993790-30
NR5143--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR10277--MA0511.2.RUNX2	chr8	121643409	121643417	+	0.000	0.000	Merged-chr8-121643486-24
NR10260--MA0684.1.RUNX3	chr8	119914362	119914371	-	0.000	0.000	Merged-chr8-119914410-20
NR3258--MA0684.1.RUNX3	chr13	111269819	111269828	+	0.000	0.000	Merged-chr13-111269948-21
NR621--MA0002.2.RUNX1	chr1	160800245	160800255	+	0.000	0.000	Merged-chr1-160800185-22
NR4955--MA0684.1.RUNX3	chr17	71485862	71485871	-	0.000	0.000	Merged-chr17-71486096-96
NR3066--MA0511.2.RUNX2	chr13	90981482	90981490	-	0.000	0.000	Merged-chr13-90981461-11
NR7198--MA0002.2.RUNX1	chr4	8712386	8712396	+	0.000	0.000	Merged-chr4-8712432-5
