#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR8955--MA0591.1.Bach1::Mafk	chr3	58416392	58416406	-	0.000	0.000	Merged-chr3-58416636-56
NR5726--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR5258--MA0089.1.MAFG::NFE2L1	chr15	65727211	65727216	-	0.000	0.000	Merged-chr15-65727192-50
NR10456--MA0501.1.MAF::NFE2	chr4	141559523	141559537	+	0.000	0.000	Merged-chr4-141559533-121
NR11384--MA0089.1.MAFG::NFE2L1	chr5	140389237	140389242	-	0.000	0.000	Merged-chr5-140389352-56
NR1699--MA0495.2.MAFF	chr10	77607298	77607318	-	0.000	0.000	Merged-chr10-77607197-3
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR14249--MA0591.1.Bach1::Mafk	chr9	44344038	44344052	+	0.000	0.000	Merged-chr9-44344017-55
NR8559--MA0501.1.MAF::NFE2	chr2	161343121	161343135	+	0.000	0.000	Merged-chr2-161342936-1
NR10931--MA0089.1.MAFG::NFE2L1	chr5	64336882	64336887	-	0.000	0.000	Merged-chr5-64336866-17
NR14269--MA0495.2.MAFF	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR2645--MA0496.2.MAFK	chr11	96435095	96435113	+	0.000	0.000	Merged-chr11-96435210-8
NR2746--MA0591.1.Bach1::Mafk	chr11	109149699	109149713	+	0.000	0.000	Merged-chr11-109149686-17
NR13651--MA0659.1.MAFG	chr8	75084001	75084021	+	0.000	0.000	Merged-chr8-75083999-30
NR9162--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	+	0.000	0.000	Merged-chr3-90587051-129
NR9679--MA0089.1.MAFG::NFE2L1	chr3	153764910	153764915	+	0.000	0.000	Merged-chr3-153764846-117
NR13187--MA0591.1.Bach1::Mafk	chr7	125638956	125638970	-	0.000	0.000	Merged-chr7-125638939-46
NR9939--MA0495.2.MAFF	chr4	57295321	57295341	+	0.000	0.000	Merged-chr4-57295265-18
NR11005--MA0089.1.MAFG::NFE2L1	chr5	86673094	86673099	-	0.000	0.000	Merged-chr5-86673072-6
NR1905--MA0495.2.MAFF	chr10	99221678	99221698	-	0.000	0.000	Merged-chr10-99221651-27
NR894--MA0501.1.MAF::NFE2	chr1	156464438	156464452	+	0.000	0.000	Merged-chr1-156464548-8
NR8544--MA0501.1.MAF::NFE2	chr2	158771238	158771252	-	0.000	0.000	Merged-chr2-158771297-12
NR7541--MA0501.1.MAF::NFE2	chr2	18821913	18821927	-	0.000	0.000	Merged-chr2-18821841-56
NR13937--MA0591.1.Bach1::Mafk	chr8	115826708	115826722	-	0.000	0.000	Merged-chr8-115826691-38
NR7613--MA0591.1.Bach1::Mafk	chr2	33154872	33154886	+	0.000	0.000	Merged-chr2-33154986-19
NR1411--MA0501.1.MAF::NFE2	chr10	25140546	25140560	-	0.000	0.000	Merged-chr10-25140477-16
NR8346--MA0089.1.MAFG::NFE2L1	chr2	135999721	135999726	-	0.000	0.000	Merged-chr2-135999681-5
NR12136--MA0089.1.MAFG::NFE2L1	chr6	116287127	116287132	-	0.000	0.000	Merged-chr6-116287137-8
NR8722--MA0089.1.MAFG::NFE2L1	chr2	177398305	177398310	+	0.000	0.000	Merged-chr2-177398378-54
NR1400--MA0089.1.MAFG::NFE2L1	chr10	21964430	21964435	+	0.000	0.000	Merged-chr10-21964511-16
NR10370--MA0496.2.MAFK	chr4	129608823	129608841	-	0.000	0.000	Merged-chr4-129608854-40
NR5588--MA0496.2.MAFK	chr16	24391326	24391344	+	0.000	0.000	Merged-chr16-24391314-24
NR140--MA0495.2.MAFF	chr1	37308181	37308201	+	0.000	0.000	Merged-chr1-37308112-49
NR4853--MA0591.1.Bach1::Mafk	chr14	99266004	99266018	-	0.000	0.000	Merged-chr14-99266048-28
NR11307--MA0089.1.MAFG::NFE2L1	chr5	123344690	123344695	-	0.000	0.000	Merged-chr5-123344591-87
NR1239--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR5243--MA0089.1.MAFG::NFE2L1	chr15	62726735	62726740	+	0.000	0.000	Merged-chr15-62726785-12
NR2639--MA0591.1.Bach1::Mafk	chr11	94521297	94521311	+	0.000	0.000	Merged-chr11-94521402-11
NR1641--MA0591.1.Bach1::Mafk	chr10	67586438	67586452	-	0.000	0.000	Merged-chr10-67586382-65
NR1233--MA0496.2.MAFK	chr1	191420991	191421009	+	0.000	0.000	Merged-chr1-191421132-37
NR9856--MA0659.1.MAFG	chr4	40785992	40786012	+	0.000	0.000	Merged-chr4-40785986-16
NR12445--MA0659.1.MAFG	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR5723--MA0591.1.Bach1::Mafk	chr16	43664480	43664494	-	0.000	0.000	Merged-chr16-43664461-91
NR8142--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR109--MA0495.2.MAFF	chr1	33454541	33454561	-	0.000	0.000	Merged-chr1-33454547-11
NR932--MA0089.1.MAFG::NFE2L1	chr1	161734763	161734768	-	0.000	0.000	Merged-chr1-161734917-117
NR3894--MA0117.2.Mafb	chr13	67683322	67683333	-	0.000	0.000	Merged-chr13-67683532-62
NR11093--MA0089.1.MAFG::NFE2L1	chr5	97702730	97702735	-	0.000	0.000	Merged-chr5-97702819-2
NR9164--MA0501.1.MAF::NFE2	chr3	90587051	90587065	-	0.000	0.000	Merged-chr3-90587051-129
NR4988--MA0501.1.MAF::NFE2	chr14	121345390	121345404	-	0.000	0.000	Merged-chr14-121345189-15
NR5015--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR1577--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR14090--MA0495.2.MAFF	chr9	7776014	7776034	-	0.000	0.000	Merged-chr9-7776145-26
NR13078--MA0089.1.MAFG::NFE2L1	chr7	113197602	113197607	+	0.000	0.000	Merged-chr7-113197463-17
NR2098--MA0501.1.MAF::NFE2	chr10	127114588	127114602	-	0.000	0.000	Merged-chr10-127114470-4
NR6098--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR7223--MA0501.1.MAF::NFE2	chr19	17385636	17385650	+	0.000	0.000	Merged-chr19-17385602-21
NR12625--MA0089.1.MAFG::NFE2L1	chr7	27361383	27361388	-	0.000	0.000	Merged-chr7-27361571-54
NR5976--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR11771--MA0089.1.MAFG::NFE2L1	chr6	59422501	59422506	+	0.000	0.000	Merged-chr6-59422426-23
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR1578--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR10277--MA0495.2.MAFF	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR13756--MA0089.1.MAFG::NFE2L1	chr8	88244522	88244527	+	0.000	0.000	Merged-chr8-88244347-35
NR7502--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR14895--MA0501.1.MAF::NFE2	chrX	71468813	71468827	-	0.000	0.000	Merged-chrX-71468864-48
NR8431--MA0089.1.MAFG::NFE2L1	chr2	146606407	146606412	-	0.000	0.000	Merged-chr2-146606447-27
NR5398--MA0117.2.Mafb	chr15	92138443	92138454	-	0.000	0.000	Merged-chr15-92138453-8
NR10704--MA0117.2.Mafb	chr5	17653770	17653781	+	0.000	0.000	Merged-chr5-17653657-7
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR1815--MA0089.1.MAFG::NFE2L1	chr10	88406050	88406055	-	0.000	0.000	Merged-chr10-88405928-47
NR13957--MA0501.1.MAF::NFE2	chr8	117780884	117780898	+	0.000	0.000	Merged-chr8-117780914-2
NR8314--MA0591.1.Bach1::Mafk	chr2	131502202	131502216	+	0.000	0.000	Merged-chr2-131502191-12
NR3404--MA0591.1.Bach1::Mafk	chr12	111809981	111809995	+	0.000	0.000	Merged-chr12-111809959-15
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR10085--MA0591.1.Bach1::Mafk	chr4	88722181	88722195	+	0.000	0.000	Merged-chr4-88722242-68
NR6008--MA0089.1.MAFG::NFE2L1	chr16	90331121	90331126	-	0.000	0.000	Merged-chr16-90331129-56
NR4423--MA0495.2.MAFF	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9865--MA0117.2.Mafb	chr4	41314273	41314284	+	0.000	0.000	Merged-chr4-41314225-1
NR13864--MA0496.2.MAFK	chr8	105727568	105727586	-	0.000	0.000	Merged-chr8-105727621-21
NR13685--MA0501.1.MAF::NFE2	chr8	79150699	79150713	+	0.000	0.000	Merged-chr8-79150775-36
NR7856--MA0501.1.MAF::NFE2	chr2	73486470	73486484	+	0.000	0.000	Merged-chr2-73486434-24
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR1726--MA0501.1.MAF::NFE2	chr10	79937280	79937294	-	0.000	0.000	Merged-chr10-79937148-47
NR11599--MA0591.1.Bach1::Mafk	chr6	28928145	28928159	+	0.000	0.000	Merged-chr6-28928131-16
NR5083--MA0591.1.Bach1::Mafk	chr15	28081379	28081393	+	0.000	0.000	Merged-chr15-28081319-36
NR9373--MA0089.1.MAFG::NFE2L1	chr3	116332015	116332020	+	0.000	0.000	Merged-chr3-116332074-27
NR14361--MA0591.1.Bach1::Mafk	chr9	63721904	63721918	+	0.000	0.000	Merged-chr9-63721553-124
NR7590--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR1724--MA0659.1.MAFG	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR3652--MA0501.1.MAF::NFE2	chr13	29805496	29805510	-	0.000	0.000	Merged-chr13-29805422-4
NR4425--MA0659.1.MAFG	chr14	27268381	27268401	-	0.000	0.000	Merged-chr14-27268313-23
NR10175--MA0089.1.MAFG::NFE2L1	chr4	102981887	102981892	-	0.000	0.000	Merged-chr4-102981884-20
NR14670--MA0089.1.MAFG::NFE2L1	chr9	112207982	112207987	+	0.000	0.000	Merged-chr9-112208055-25
NR12687--MA0117.2.Mafb	chr7	47013443	47013454	-	0.000	0.000	Merged-chr7-47013375-34
NR10549--MA0501.1.MAF::NFE2	chr4	149543212	149543226	+	0.000	0.000	Merged-chr4-149543277-27
NR3717--MA0501.1.MAF::NFE2	chr13	41671422	41671436	-	0.000	0.000	Merged-chr13-41671517-12
NR8748--MA0501.1.MAF::NFE2	chr2	179966558	179966572	-	0.000	0.000	Merged-chr2-179966777-32
NR1711--MA0501.1.MAF::NFE2	chr10	78476948	78476962	+	0.000	0.000	Merged-chr10-78476877-17
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR163--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR6232--MA0591.1.Bach1::Mafk	chr17	26572482	26572496	-	0.000	0.000	Merged-chr17-26572396-49
NR12132--MA0089.1.MAFG::NFE2L1	chr6	115838465	115838470	+	0.000	0.000	Merged-chr6-115838478-31
NR132--MA0501.1.MAF::NFE2	chr1	36262321	36262335	+	0.000	0.000	Merged-chr1-36262219-41
NR1265--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR6398--MA0089.1.MAFG::NFE2L1	chr17	51408573	51408578	+	0.000	0.000	Merged-chr17-51408616-68
NR2507--MA0501.1.MAF::NFE2	chr11	70792594	70792608	-	0.000	0.000	Merged-chr11-70792597-17
NR6278--MA0501.1.MAF::NFE2	chr17	32023267	32023281	-	0.000	0.000	Merged-chr17-32023327-13
NR12364--MA0501.1.MAF::NFE2	chr6	134615227	134615241	+	0.000	0.000	Merged-chr6-134615220-54
NR2279--MA0089.1.MAFG::NFE2L1	chr11	32542734	32542739	+	0.000	0.000	Merged-chr11-32542755-79
NR9895--MA0495.2.MAFF	chr4	46560560	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR9252--MA0591.1.Bach1::Mafk	chr3	100415300	100415314	+	0.000	0.000	Merged-chr3-100415276-1
NR12318--MA0496.2.MAFK	chr6	130429678	130429696	+	0.000	0.000	Merged-chr6-130429681-16
NR1395--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR2331--MA0501.1.MAF::NFE2	chr11	43748001	43748015	-	0.000	0.000	Merged-chr11-43747947-60
NR13654--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR13363--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR7790--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR7266--MA0501.1.MAF::NFE2	chr19	21946595	21946609	+	0.000	0.000	Merged-chr19-21946684-18
NR832--MA0117.2.Mafb	chr1	151465705	151465716	-	0.000	0.000	Merged-chr1-151465762-7
NR7439--MA0089.1.MAFG::NFE2L1	chr19	58073601	58073606	-	0.000	0.000	Merged-chr19-58073455-1
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR6981--MA0659.1.MAFG	chr18	70544411	70544431	+	0.000	0.000	Merged-chr18-70544560-36
NR11795--MA0089.1.MAFG::NFE2L1	chr6	65538420	65538425	+	0.000	0.000	Merged-chr6-65538516-95
NR11367--MA0496.2.MAFK	chr5	136550857	136550875	+	0.000	0.000	Merged-chr5-136550897-14
NR8275--MA0591.1.Bach1::Mafk	chr2	128365993	128366007	-	0.000	0.000	Merged-chr2-128365920-27
NR11293--MA0117.2.Mafb	chr5	121032268	121032279	+	0.000	0.000	Merged-chr5-121032341-9
NR898--MA0591.1.Bach1::Mafk	chr1	156615782	156615796	+	0.000	0.000	Merged-chr1-156615670-66
NR4231--MA0495.2.MAFF	chr13	113322203	113322223	-	0.000	0.000	Merged-chr13-113322180-25
NR7411--MA0089.1.MAFG::NFE2L1	chr19	56721528	56721533	-	0.000	0.000	Merged-chr19-56721379-1
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR1966--MA0117.2.Mafb	chr10	111782701	111782712	-	0.000	0.000	Merged-chr10-111782527-33
NR9471--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR1390--MA0591.1.Bach1::Mafk	chr10	21553352	21553366	+	0.000	0.000	Merged-chr10-21553167-27
NR9107--MA0089.1.MAFG::NFE2L1	chr3	84667382	84667387	-	0.000	0.000	Merged-chr3-84667466-30
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR5427--MA0591.1.Bach1::Mafk	chr15	97361181	97361195	-	0.000	0.000	Merged-chr15-97361236-9
NR9897--MA0117.2.Mafb	chr4	46560569	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR7424--MA0089.1.MAFG::NFE2L1	chr19	57355715	57355720	+	0.000	0.000	Merged-chr19-57355886-69
NR752--MA0089.1.MAFG::NFE2L1	chr1	136685551	136685556	+	0.000	0.000	Merged-chr1-136685597-75
NR6570--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR5150--MA0089.1.MAFG::NFE2L1	chr15	42438446	42438451	+	0.000	0.000	Merged-chr15-42438303-11
NR7176--MA0659.1.MAFG	chr19	8997796	8997816	+	0.000	0.000	Merged-chr19-8997882-60
NR8032--MA0501.1.MAF::NFE2	chr2	101886120	101886134	-	0.000	0.000	Merged-chr2-101886244-51
NR172--MA0496.2.MAFK	chr1	43139747	43139765	+	0.000	0.000	Merged-chr1-43139813-33
NR3582--MA0089.1.MAFG::NFE2L1	chr13	13564505	13564510	-	0.000	0.000	Merged-chr13-13564699-51
NR5280--MA0591.1.Bach1::Mafk	chr15	72908852	72908866	+	0.000	0.000	Merged-chr15-72908989-3
NR4591--MA0117.2.Mafb	chr14	52553468	52553479	+	0.000	0.000	Merged-chr14-52553618-9
NR12069--MA0089.1.MAFG::NFE2L1	chr6	108426895	108426900	+	0.000	0.000	Merged-chr6-108426934-21
NR10286--MA0089.1.MAFG::NFE2L1	chr4	117124564	117124569	+	0.000	0.000	Merged-chr4-117124661-56
NR949--MA0117.2.Mafb	chr1	163910307	163910318	-	0.000	0.000	Merged-chr1-163910520-32
NR1517--MA0495.2.MAFF	chr10	44716058	44716078	-	0.000	0.000	Merged-chr10-44715918-29
NR10967--MA0496.2.MAFK	chr5	68033469	68033487	+	0.000	0.000	Merged-chr5-68033501-23
NR8273--MA0495.2.MAFF	chr2	128365990	128366010	+	0.000	0.000	Merged-chr2-128365920-27
NR7813--MA0089.1.MAFG::NFE2L1	chr2	65422048	65422053	+	0.000	0.000	Merged-chr2-65422005-11
NR13576--MA0089.1.MAFG::NFE2L1	chr8	66860200	66860205	+	0.000	0.000	Merged-chr8-66860248-21
NR274--MA0089.1.MAFG::NFE2L1	chr1	62875856	62875861	-	0.000	0.000	Merged-chr1-62876051-68
NR3831--MA0495.2.MAFF	chr13	58206782	58206802	+	0.000	0.000	Merged-chr13-58206802-1
NR3203--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR11195--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR8613--MA0501.1.MAF::NFE2	chr2	167775304	167775318	-	0.000	0.000	Merged-chr2-167775389-53
NR6608--MA0089.1.MAFG::NFE2L1	chr17	88511407	88511412	-	0.000	0.000	Merged-chr17-88511397-31
NR13343--MA0501.1.MAF::NFE2	chr7	142393376	142393390	-	0.000	0.000	Merged-chr7-142393362-24
NR489--MA0089.1.MAFG::NFE2L1	chr1	92051561	92051566	-	0.000	0.000	Merged-chr1-92051444-84
NR14026--MA0089.1.MAFG::NFE2L1	chr8	126297689	126297694	-	0.000	0.000	Merged-chr8-126297563-11
NR5263--MA0089.1.MAFG::NFE2L1	chr15	65810926	65810931	-	0.000	0.000	Merged-chr15-65810890-18
NR159--MA0496.2.MAFK	chr1	40086087	40086105	+	0.000	0.000	Merged-chr1-40085963-65
NR11241--MA0501.1.MAF::NFE2	chr5	112286790	112286804	-	0.000	0.000	Merged-chr5-112286717-1
NR5574--MA0659.1.MAFG	chr16	23274635	23274655	-	0.000	0.000	Merged-chr16-23274580-84
NR5509--MA0496.2.MAFK	chr16	11501266	11501284	+	0.000	0.000	Merged-chr16-11501282-30
NR7248--MA0089.1.MAFG::NFE2L1	chr19	21547767	21547772	+	0.000	0.000	Merged-chr19-21547622-17
NR14494--MA0501.1.MAF::NFE2	chr9	86373334	86373348	+	0.000	0.000	Merged-chr9-86373415-51
NR5969--MA0089.1.MAFG::NFE2L1	chr16	87394136	87394141	-	0.000	0.000	Merged-chr16-87394132-33
NR1727--MA0496.2.MAFK	chr10	79937281	79937299	+	0.000	0.000	Merged-chr10-79937148-47
NR5097--MA0496.2.MAFK	chr15	32526186	32526204	+	0.000	0.000	Merged-chr15-32526016-1
NR5773--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR6563--MA0501.1.MAF::NFE2	chr17	80933610	80933624	-	0.000	0.000	Merged-chr17-80933774-41
NR14114--MA0495.2.MAFF	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR9409--MA0501.1.MAF::NFE2	chr3	121874818	121874832	+	0.000	0.000	Merged-chr3-121874730-10
NR7335--MA0089.1.MAFG::NFE2L1	chr19	41378507	41378512	+	0.000	0.000	Merged-chr19-41378616-18
NR7403--MA0501.1.MAF::NFE2	chr19	56451097	56451111	+	0.000	0.000	Merged-chr19-56451111-33
NR11125--MA0089.1.MAFG::NFE2L1	chr5	100912444	100912449	-	0.000	0.000	Merged-chr5-100912544-49
NR4145--MA0089.1.MAFG::NFE2L1	chr13	108316171	108316176	-	0.000	0.000	Merged-chr13-108316339-65
NR7307--MA0501.1.MAF::NFE2	chr19	33160060	33160074	+	0.000	0.000	Merged-chr19-33160221-22
NR3362--MA0501.1.MAF::NFE2	chr12	107011572	107011586	+	0.000	0.000	Merged-chr12-107011663-34
NR10070--MA0591.1.Bach1::Mafk	chr4	86750829	86750843	-	0.000	0.000	Merged-chr4-86750730-34
NR1648--MA0089.1.MAFG::NFE2L1	chr10	67891428	67891433	-	0.000	0.000	Merged-chr10-67891340-18
NR6304--MA0495.2.MAFF	chr17	35064968	35064988	-	0.000	0.000	Merged-chr17-35065202-25
NR14897--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR2994--MA0659.1.MAFG	chr12	41044928	41044948	+	0.000	0.000	Merged-chr12-41044922-24
NR3562--MA0591.1.Bach1::Mafk	chr13	9882506	9882520	+	0.000	0.000	Merged-chr13-9882509-19
NR9495--MA0089.1.MAFG::NFE2L1	chr3	132684128	132684133	-	0.000	0.000	Merged-chr3-132684136-80
NR9285--MA0501.1.MAF::NFE2	chr3	105763612	105763626	+	0.000	0.000	Merged-chr3-105763665-52
NR1585--MA0591.1.Bach1::Mafk	chr10	59380458	59380472	+	0.000	0.000	Merged-chr10-59380482-71
NR4209--MA0496.2.MAFK	chr13	112466860	112466878	+	0.000	0.000	Merged-chr13-112466730-20
NR6808--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR3176--MA0591.1.Bach1::Mafk	chr12	85705547	85705561	-	0.000	0.000	Merged-chr12-85705502-111
NR6322--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR4386--MA0659.1.MAFG	chr14	20253559	20253579	-	0.000	0.000	Merged-chr14-20253489-29
NR9103--MA0089.1.MAFG::NFE2L1	chr3	84395281	84395286	-	0.000	0.000	Merged-chr3-84395228-27
NR10384--MA0089.1.MAFG::NFE2L1	chr4	130292523	130292528	+	0.000	0.000	Merged-chr4-130292538-17
NR9962--MA0501.1.MAF::NFE2	chr4	59204836	59204850	-	0.000	0.000	Merged-chr4-59204829-36
NR7412--MA0495.2.MAFF	chr19	56822157	56822177	-	0.000	0.000	Merged-chr19-56822073-89
NR11600--MA0501.1.MAF::NFE2	chr6	28928148	28928162	+	0.000	0.000	Merged-chr6-28928131-16
NR11325--MA0089.1.MAFG::NFE2L1	chr5	130088240	130088245	-	0.000	0.000	Merged-chr5-130088239-22
NR12818--MA0591.1.Bach1::Mafk	chr7	75118135	75118149	-	0.000	0.000	Merged-chr7-75118252-11
NR5765--MA0089.1.MAFG::NFE2L1	chr16	50736973	50736978	-	0.000	0.000	Merged-chr16-50736996-81
NR13044--MA0117.2.Mafb	chr7	110061589	110061600	-	0.000	0.000	Merged-chr7-110061592-78
NR12630--MA0089.1.MAFG::NFE2L1	chr7	27553147	27553152	-	0.000	0.000	Merged-chr7-27553175-53
NR2819--MA0591.1.Bach1::Mafk	chr11	119355586	119355600	-	0.000	0.000	Merged-chr11-119355654-77
NR8047--MA0117.2.Mafb	chr2	102850106	102850117	+	0.000	0.000	Merged-chr2-102849968-21
NR9029--MA0089.1.MAFG::NFE2L1	chr3	67374055	67374060	-	0.000	0.000	Merged-chr3-67374115-44
NR6673--MA0117.2.Mafb	chr18	12876634	12876645	+	0.000	0.000	Merged-chr18-12876665-8
NR1906--MA0591.1.Bach1::Mafk	chr10	99221681	99221695	+	0.000	0.000	Merged-chr10-99221651-27
NR12070--MA0591.1.Bach1::Mafk	chr6	108477012	108477026	-	0.000	0.000	Merged-chr6-108477065-48
NR5317--MA0496.2.MAFK	chr15	76908068	76908086	+	0.000	0.000	Merged-chr15-76908278-27
NR6417--MA0089.1.MAFG::NFE2L1	chr17	55976400	55976405	+	0.000	0.000	Merged-chr17-55976480-32
NR1068--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR2312--MA0495.2.MAFF	chr11	43362487	43362507	-	0.000	0.000	Merged-chr11-43362318-2,Merged-chr11-43362621-15
NR9283--MA0495.2.MAFF	chr3	105763606	105763626	-	0.000	0.000	Merged-chr3-105763665-52
