#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1473--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR1565--MA0463.1.Bcl6	chr6	31088367	31088380	-	0.000	0.000	Merged-chr6-31088452-52
NR682--MA0463.1.Bcl6	chr15	12558395	12558408	-	0.000	0.000	Merged-chr15-12558296-9
NR820--MA0731.1.BCL6B	chr17	25894184	25894200	-	0.000	0.000	Merged-chr17-25894203-16
NR1789--MA0463.1.Bcl6	chr7	132389755	132389768	+	0.000	0.000	Merged-chr7-132389640-23
NR1486--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR436--MA0463.1.Bcl6	chr12	90132770	90132783	+	0.000	0.000	Merged-chr12-90132856-1
NR724--MA0731.1.BCL6B	chr15	85376912	85376928	+	0.000	0.000	Merged-chr15-85377015-15
NR1072--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR1595--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR1181--MA0731.1.BCL6B	chr3	65586419	65586435	-	0.000	0.000	Merged-chr3-65586536-51
NR1290--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1213--MA0731.1.BCL6B	chr3	97796646	97796662	+	0.000	0.000	Merged-chr3-97796692-21
NR105--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR1006--MA0463.1.Bcl6	chr2	25241268	25241281	-	0.000	0.000	Merged-chr2-25241119-44
NR1597--MA0463.1.Bcl6	chr6	72535384	72535397	-	0.000	0.000	Merged-chr6-72535415-10
NR1024--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR1906--MA0463.1.Bcl6	chr8	127449841	127449854	+	0.000	0.000	Merged-chr8-127449755-14
NR356--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR141--MA0463.1.Bcl6	chr1	179512045	179512058	+	0.000	0.000	Merged-chr1-179512087-19
NR1042--MA0463.1.Bcl6	chr2	60370320	60370333	-	0.000	0.000	Merged-chr2-60370406-27
NR1587--MA0731.1.BCL6B	chr6	61316042	61316058	-	0.000	0.000	Merged-chr6-61316185-1
NR1154--MA0463.1.Bcl6	chr3	7503286	7503299	-	0.000	0.000	Merged-chr3-7503455-65
NR486--MA0463.1.Bcl6	chr13	6471748	6471761	+	0.000	0.000	Merged-chr13-6471803-19
NR934--MA0731.1.BCL6B	chr18	84859586	84859602	-	0.000	0.000	Merged-chr18-84859622-32
NR1077--MA0731.1.BCL6B	chr2	103659828	103659844	+	0.000	0.000	Merged-chr2-103659777-12
NR146--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR1566--MA0731.1.BCL6B	chr6	31088367	31088383	-	0.000	0.000	Merged-chr6-31088452-52
NR1826--MA0463.1.Bcl6	chr8	31692451	31692464	+	0.000	0.000	Merged-chr8-31692615-1
NR155--MA0463.1.Bcl6	chr1	191193935	191193948	+	0.000	0.000	Merged-chr1-191193945-62
NR831--MA0463.1.Bcl6	chr17	44121575	44121588	+	0.000	0.000	Merged-chr17-44121634-62
NR943--MA0463.1.Bcl6	chr19	4510230	4510243	-	0.000	0.000	Merged-chr19-4510422-67
NR642--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR1056--MA0731.1.BCL6B	chr2	79005093	79005109	-	0.000	0.000	Merged-chr2-79004997-23
NR388--MA0463.1.Bcl6	chr12	25226546	25226559	+	0.000	0.000	Merged-chr12-25226513-7
NR1165--MA0731.1.BCL6B	chr3	30602087	30602103	+	0.000	0.000	Merged-chr3-30601989-42
NR1195--MA0463.1.Bcl6	chr3	84169744	84169757	-	0.000	0.000	Merged-chr3-84169665-29
NR603--MA0463.1.Bcl6	chr14	25189433	25189446	-	0.000	0.000	Merged-chr14-25189493-18
NR809--MA0463.1.Bcl6	chr17	3136268	3136281	+	0.000	0.000	Merged-chr17-3136310-20
NR860--MA0731.1.BCL6B	chr17	80221357	80221373	+	0.000	0.000	Merged-chr17-80221516-11
NR1522--MA0463.1.Bcl6	chr5	136929161	136929174	+	0.000	0.000	Merged-chr5-136929293-20
NR733--MA0463.1.Bcl6	chr15	91664497	91664510	+	0.000	0.000	Merged-chr15-91664603-13
NR1531--MA0463.1.Bcl6	chr5	143975110	143975123	-	0.000	0.000	Merged-chr5-143975077-1
NR777--MA0731.1.BCL6B	chr16	52143316	52143332	+	0.000	0.000	Merged-chr16-52143257-58
NR617--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1303--MA0463.1.Bcl6	chr4	9066621	9066634	+	0.000	0.000	Merged-chr4-9066622-31
NR993--MA0463.1.Bcl6	chr2	11429807	11429820	-	0.000	0.000	Merged-chr2-11429787-25
NR647--MA0731.1.BCL6B	chr14	74947733	74947749	-	0.000	0.000	Merged-chr14-74947864-55
NR690--MA0731.1.BCL6B	chr15	38122933	38122949	+	0.000	0.000	Merged-chr15-38122880-9
NR886--MA0463.1.Bcl6	chr18	24670866	24670879	-	0.000	0.000	Merged-chr18-24671113-54
NR1899--MA0463.1.Bcl6	chr8	123924781	123924794	-	0.000	0.000	Merged-chr8-123924931-30
NR1590--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR321--MA0731.1.BCL6B	chr11	80499935	80499951	+	0.000	0.000	Merged-chr11-80499798-1
NR555--MA0463.1.Bcl6	chr13	97309677	97309690	+	0.000	0.000	Merged-chr13-97309623-4
NR1568--MA0463.1.Bcl6	chr6	34346703	34346716	+	0.000	0.000	Merged-chr6-34346731-18
NR573--MA0463.1.Bcl6	chr13	107831371	107831384	+	0.000	0.000	Merged-chr13-107831387-49
NR685--MA0463.1.Bcl6	chr15	25884648	25884661	-	0.000	0.000	Merged-chr15-25884835-36
NR1013--MA0463.1.Bcl6	chr2	34945660	34945673	-	0.000	0.000	Merged-chr2-34945759-18
NR966--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR1134--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR281--MA0731.1.BCL6B	chr11	43174465	43174481	+	0.000	0.000	Merged-chr11-43174624-53
NR294--MA0731.1.BCL6B	chr11	54492681	54492697	+	0.000	0.000	Merged-chr11-54492562-47
NR475--MA0463.1.Bcl6	chr12	117152755	117152768	+	0.000	0.000	Merged-chr12-117152870-1
NR217--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1394--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR1703--MA0463.1.Bcl6	chr7	49581544	49581557	-	0.000	0.000	Merged-chr7-49581640-7
NR1229--MA0731.1.BCL6B	chr3	107760294	107760310	+	0.000	0.000	Merged-chr3-107760330-76
NR401--MA0731.1.BCL6B	chr12	41090013	41090029	-	0.000	0.000	Merged-chr12-41090116-16
NR1166--MA0463.1.Bcl6	chr3	30930138	30930151	-	0.000	0.000	Merged-chr3-30930063-19
NR1833--MA0463.1.Bcl6	chr8	40961932	40961945	-	0.000	0.000	Merged-chr8-40961976-32
NR448--MA0731.1.BCL6B	chr12	108634253	108634269	+	0.000	0.000	Merged-chr12-108634224-17
NR305--MA0731.1.BCL6B	chr11	69995661	69995677	+	0.000	0.000	Merged-chr11-69995623-48
NR828--MA0731.1.BCL6B	chr17	36972924	36972940	-	0.000	0.000	Merged-chr17-36972976-27
NR919--MA0463.1.Bcl6	chr18	73541884	73541897	+	0.000	0.000	Merged-chr18-73541986-66
NR704--MA0463.1.Bcl6	chr15	67161665	67161678	+	0.000	0.000	Merged-chr15-67161850-18
NR1838--MA0463.1.Bcl6	chr8	46943697	46943710	+	0.000	0.000	Merged-chr8-46943576-48
NR167--MA0463.1.Bcl6	chr10	17733165	17733178	-	0.000	0.000	Merged-chr10-17733283-32
NR679--MA0731.1.BCL6B	chr15	8569980	8569996	-	0.000	0.000	Merged-chr15-8569914-5
NR955--MA0463.1.Bcl6	chr19	20798055	20798068	-	0.000	0.000	Merged-chr19-20797924-19
NR740--MA0463.1.Bcl6	chr15	100301751	100301764	-	0.000	0.000	Merged-chr15-100301694-19
NR265--MA0731.1.BCL6B	chr11	16838859	16838875	+	0.000	0.000	Merged-chr11-16838980-8
NR536--MA0731.1.BCL6B	chr13	67399854	67399870	-	0.000	0.000	Merged-chr13-67399691-60
NR297--MA0463.1.Bcl6	chr11	55386709	55386722	-	0.000	0.000	Merged-chr11-55386598-21
NR400--MA0463.1.Bcl6	chr12	40010076	40010089	+	0.000	0.000	Merged-chr12-40010101-23
NR1198--MA0463.1.Bcl6	chr3	86547050	86547063	+	0.000	0.000	Merged-chr3-86547154-101
NR483--MA0731.1.BCL6B	chr13	3890402	3890418	+	0.000	0.000	Merged-chr13-3890264-8
NR991--MA0463.1.Bcl6	chr2	6391418	6391431	+	0.000	0.000	Merged-chr2-6391519-10
NR839--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR624--MA0463.1.Bcl6	chr14	59558951	59558964	-	0.000	0.000	Merged-chr14-59558966-13
NR244--MA0731.1.BCL6B	chr10	117209617	117209633	+	0.000	0.000	Merged-chr10-117209655-32
NR763--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR302--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR1888--MA0463.1.Bcl6	chr8	115436431	115436444	+	0.000	0.000	Merged-chr8-115436321-24
NR1673--MA0463.1.Bcl6	chr6	149193847	149193860	+	0.000	0.000	Merged-chr6-149193776-50
NR39--MA0463.1.Bcl6	chr1	74808094	74808107	-	0.000	0.000	Merged-chr1-74808255-37
NR320--MA0463.1.Bcl6	chr11	80499935	80499948	-	0.000	0.000	Merged-chr11-80499798-1
NR526--MA0463.1.Bcl6	chr13	51848928	51848941	-	0.000	0.000	Merged-chr13-51849013-24
NR1221--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR1623--MA0731.1.BCL6B	chr6	114916512	114916528	-	0.000	0.000	Merged-chr6-114916622-10
NR790--MA0463.1.Bcl6	chr16	78546703	78546716	+	0.000	0.000	Merged-chr16-78546881-68
NR759--MA0463.1.Bcl6	chr16	32430855	32430868	-	0.000	0.000	Merged-chr16-32431022-65
NR419--MA0463.1.Bcl6	chr12	72085618	72085631	+	0.000	0.000	Merged-chr12-72085712-110
NR683--MA0463.1.Bcl6	chr15	12668189	12668202	+	0.000	0.000	Merged-chr15-12668076-24
NR889--MA0463.1.Bcl6	chr18	36726052	36726065	+	0.000	0.000	Merged-chr18-36726027-47
NR597--MA0731.1.BCL6B	chr14	16256344	16256360	-	0.000	0.000	Merged-chr14-16256161-59
NR93--MA0463.1.Bcl6	chr1	144247635	144247648	-	0.000	0.000	Merged-chr1-144247641-22
NR222--MA0463.1.Bcl6	chr10	95894165	95894178	+	0.000	0.000	Merged-chr10-95894302-1
NR1141--MA0463.1.Bcl6	chr2	173077132	173077145	-	0.000	0.000	Merged-chr2-173077118-17
NR2021--MA0731.1.BCL6B	chr9	116341100	116341116	+	0.000	0.000	Merged-chr9-116341064-6
NR370--MA0463.1.Bcl6	chr11	117081940	117081953	-	0.000	0.000	Merged-chr11-117081831-19
NR1161--MA0731.1.BCL6B	chr3	18624456	18624472	+	0.000	0.000	Merged-chr3-18624570-1
NR469--MA0463.1.Bcl6	chr12	115765383	115765396	-	0.000	0.000	Merged-chr12-115765385-34
NR254--MA0463.1.Bcl6	chr10	122737149	122737162	-	0.000	0.000	Merged-chr10-122737078-16
NR487--MA0463.1.Bcl6	chr13	8831861	8831874	+	0.000	0.000	Merged-chr13-8831757-38
NR1716--MA0731.1.BCL6B	chr7	68127903	68127919	-	0.000	0.000	Merged-chr7-68127930-13
NR1961--MA0463.1.Bcl6	chr9	70310173	70310186	-	0.000	0.000	Merged-chr9-70310142-32
NR1825--MA0731.1.BCL6B	chr8	31215210	31215226	+	0.000	0.000	Merged-chr8-31215317-8
NR832--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR1733--MA0463.1.Bcl6	chr7	83261553	83261566	+	0.000	0.000	Merged-chr7-83261756-10
NR1845--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR1900--MA0731.1.BCL6B	chr8	124617270	124617286	+	0.000	0.000	Merged-chr8-124617386-28
NR850--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR295--MA0463.1.Bcl6	chr11	54963127	54963140	-	0.000	0.000	Merged-chr11-54962981-48
NR1975--MA0463.1.Bcl6	chr9	78553078	78553091	+	0.000	0.000	Merged-chr9-78553202-20
NR1420--MA0463.1.Bcl6	chr4	156008435	156008448	-	0.000	0.000	Merged-chr4-156008555-53
NR179--MA0463.1.Bcl6	chr10	28684249	28684262	+	0.000	0.000	Merged-chr10-28684367-6
NR1532--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR1655--MA0731.1.BCL6B	chr6	140801177	140801193	-	0.000	0.000	Merged-chr6-140801246-11
NR159--MA0731.1.BCL6B	chr1	193698943	193698959	+	0.000	0.000	Merged-chr1-193699051-26
NR1765--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR403--MA0463.1.Bcl6	chr12	52818807	52818820	-	0.000	0.000	Merged-chr12-52818712-31
NR1668--MA0731.1.BCL6B	chr6	145274333	145274349	+	0.000	0.000	Merged-chr6-145274256-8
NR28--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR840--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1783--MA0463.1.Bcl6	chr7	130673942	130673955	-	0.000	0.000	Merged-chr7-130673894-22
NR1895--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR1092--MA0731.1.BCL6B	chr2	132613832	132613848	-	0.000	0.000	Merged-chr2-132613792-39
NR748--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR1667--MA0463.1.Bcl6	chr6	145274333	145274346	-	0.000	0.000	Merged-chr6-145274256-8
NR1470--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR1327--MA0463.1.Bcl6	chr4	57065438	57065451	+	0.000	0.000	Merged-chr4-57065457-35
NR26--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR1974--MA0731.1.BCL6B	chr9	78474662	78474678	+	0.000	0.000	Merged-chr9-78474533-4
NR941--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR789--MA0463.1.Bcl6	chr16	76901238	76901251	-	0.000	0.000	Merged-chr16-76901209-11
NR686--MA0463.1.Bcl6	chr15	31418501	31418514	+	0.000	0.000	Merged-chr15-31418440-29
NR1265--MA0463.1.Bcl6	chr3	137611265	137611278	+	0.000	0.000	Merged-chr3-137611144-106
NR61--MA0731.1.BCL6B	chr1	93272770	93272786	+	0.000	0.000	Merged-chr1-93272643-1
NR476--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR261--MA0463.1.Bcl6	chr11	4497614	4497627	-	0.000	0.000	Merged-chr11-4497649-38
NR1281--MA0731.1.BCL6B	chr3	146328183	146328199	-	0.000	0.000	Merged-chr3-146328201-68
NR1283--MA0463.1.Bcl6	chr3	146685379	146685392	+	0.000	0.000	Merged-chr3-146685292-26
NR136--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1108--MA0731.1.BCL6B	chr2	145804629	145804645	+	0.000	0.000	Merged-chr2-145804796-32
NR2006--MA0463.1.Bcl6	chr9	102792127	102792140	+	0.000	0.000	Merged-chr9-102792084-52
NR933--MA0463.1.Bcl6	chr18	84859589	84859602	+	0.000	0.000	Merged-chr18-84859622-32
NR1167--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR1064--MA0463.1.Bcl6	chr2	90668071	90668084	+	0.000	0.000	Merged-chr2-90667868-44
NR808--MA0463.1.Bcl6	chr16	97869925	97869938	-	0.000	0.000	Merged-chr16-97869698-43
NR1185--MA0463.1.Bcl6	chr3	69004624	69004637	+	0.000	0.000	Merged-chr3-69004750-37
NR1964--MA0463.1.Bcl6	chr9	74142089	74142102	+	0.000	0.000	Merged-chr9-74142084-19
NR1606--MA0463.1.Bcl6	chr6	95596903	95596916	+	0.000	0.000	Merged-chr6-95596948-3
NR2060--MA0463.1.Bcl6	chrX	134301598	134301611	+	0.000	0.000	Merged-chrX-134301547-11
NR21--MA0463.1.Bcl6	chr1	43899091	43899104	+	0.000	0.000	Merged-chr1-43899142-19
NR1305--MA0731.1.BCL6B	chr4	11253613	11253629	+	0.000	0.000	Merged-chr4-11253485-1
NR1839--MA0463.1.Bcl6	chr8	47533574	47533587	+	0.000	0.000	Merged-chr8-47533612-62
NR168--MA0463.1.Bcl6	chr10	18197438	18197451	-	0.000	0.000	Merged-chr10-18197362-51
NR7--MA0731.1.BCL6B	chr1	21314429	21314445	-	0.000	0.000	Merged-chr1-21314472-2
NR1736--MA0463.1.Bcl6	chr7	89499881	89499894	-	0.000	0.000	Merged-chr7-89500080-22
NR956--MA0463.1.Bcl6	chr19	21646652	21646665	-	0.000	0.000	Merged-chr19-21646506-24
NR904--MA0731.1.BCL6B	chr18	50083243	50083259	+	0.000	0.000	Merged-chr18-50083367-13
NR298--MA0463.1.Bcl6	chr11	57686378	57686391	-	0.000	0.000	Merged-chr11-57686202-30
NR1199--MA0463.1.Bcl6	chr3	86636050	86636063	+	0.000	0.000	Merged-chr3-86635879-25
NR1090--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR1156--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR17--MA0463.1.Bcl6	chr1	37311212	37311225	-	0.000	0.000	Merged-chr1-37311111-21
NR994--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR917--MA0731.1.BCL6B	chr18	67301500	67301516	+	0.000	0.000	Merged-chr18-67301646-31
NR1311--MA0463.1.Bcl6	chr4	41664666	41664679	+	0.000	0.000	Merged-chr4-41664876-20
NR1544--MA0463.1.Bcl6	chr5	149427430	149427443	+	0.000	0.000	Merged-chr5-149427432-30
NR450--MA0731.1.BCL6B	chr12	108765902	108765918	-	0.000	0.000	Merged-chr12-108765872-68
NR516--MA0731.1.BCL6B	chr13	42095825	42095841	+	0.000	0.000	Merged-chr13-42095999-70
NR1406--MA0731.1.BCL6B	chr4	145246637	145246653	+	0.000	0.000	Merged-chr4-145246720-73
NR1204--MA0463.1.Bcl6	chr3	89906491	89906504	+	0.000	0.000	Merged-chr3-89906356-37
NR1039--MA0731.1.BCL6B	chr2	60323669	60323685	+	0.000	0.000	Merged-chr2-60323606-17
NR211--MA0731.1.BCL6B	chr10	83719158	83719174	-	0.000	0.000	Merged-chr10-83719047-59
NR648--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR1005--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1257--MA0731.1.BCL6B	chr3	132858979	132858995	+	0.000	0.000	Merged-chr3-132859011-26
NR1528--MA0731.1.BCL6B	chr5	142932214	142932230	+	0.000	0.000	Merged-chr5-142932336-53
NR224--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR1370--MA0463.1.Bcl6	chr4	117267545	117267558	-	0.000	0.000	Merged-chr4-117267580-14
NR713--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR1218--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR455--MA0731.1.BCL6B	chr12	112743431	112743447	-	0.000	0.000	Merged-chr12-112743369-41
NR1254--MA0463.1.Bcl6	chr3	130894459	130894472	-	0.000	0.000	Merged-chr3-130894407-22
NR1921--MA0463.1.Bcl6	chr9	20385029	20385042	+	0.000	0.000	Merged-chr9-20385191-56
NR107--MA0463.1.Bcl6	chr1	155293642	155293655	-	0.000	0.000	Merged-chr1-155293636-24
NR1008--MA0463.1.Bcl6	chr2	26409281	26409294	+	0.000	0.000	Merged-chr2-26409124-52
NR586--MA0463.1.Bcl6	chr13	114885448	114885461	+	0.000	0.000	Merged-chr13-114885380-13
NR530--MA0731.1.BCL6B	chr13	63274588	63274604	-	0.000	0.000	Merged-chr13-63274780-57
NR1599--MA0463.1.Bcl6	chr6	85484593	85484606	+	0.000	0.000	Merged-chr6-85484631-14
NR1196--MA0731.1.BCL6B	chr3	84169744	84169760	+	0.000	0.000	Merged-chr3-84169665-29
NR810--MA0463.1.Bcl6	chr17	3521440	3521453	-	0.000	0.000	Merged-chr17-3521498-21
NR1926--MA0463.1.Bcl6	chr9	32910816	32910829	+	0.000	0.000	Merged-chr9-32910829-64
NR1711--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR2013--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR367--MA0463.1.Bcl6	chr11	116377272	116377285	-	0.000	0.000	Merged-chr11-116377399-54
NR176--MA0731.1.BCL6B	chr10	26695671	26695687	+	0.000	0.000	Merged-chr10-26695532-14
NR490--MA0731.1.BCL6B	chr13	9767665	9767681	-	0.000	0.000	Merged-chr13-9767570-31
NR385--MA0463.1.Bcl6	chr12	16999325	16999338	+	0.000	0.000	Merged-chr12-16999389-4
NR142--MA0731.1.BCL6B	chr1	179512042	179512058	-	0.000	0.000	Merged-chr1-179512087-19
NR927--MA0463.1.Bcl6	chr18	82513463	82513476	-	0.000	0.000	Merged-chr18-82513500-48
NR712--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR1613--MA0463.1.Bcl6	chr6	106787696	106787709	+	0.000	0.000	Merged-chr6-106787484-34
NR833--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR426--MA0731.1.BCL6B	chr12	80643868	80643884	-	0.000	0.000	Merged-chr12-80643898-100
NR678--MA0731.1.BCL6B	chr15	5758800	5758816	-	0.000	0.000	Merged-chr15-5758752-33
NR1631--MA0463.1.Bcl6	chr6	121017494	121017507	-	0.000	0.000	Merged-chr6-121017523-33
NR1958--MA0463.1.Bcl6	chr9	66158400	66158413	-	0.000	0.000	Merged-chr9-66158396-48
NR15--MA0463.1.Bcl6	chr1	36760409	36760422	+	0.000	0.000	Merged-chr1-36760615-22
NR717--MA0463.1.Bcl6	chr15	79270994	79271007	-	0.000	0.000	Merged-chr15-79270820-68
NR502--MA0463.1.Bcl6	chr13	21735278	21735291	+	0.000	0.000	Merged-chr13-21734996-112
NR405--MA0731.1.BCL6B	chr12	55015516	55015532	+	0.000	0.000	Merged-chr12-55015619-6
NR632--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
