#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1221--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR1333--MA0463.1.Bcl6	chr4	46635574	46635587	+	0.000	0.000	Merged-chr4-46635507-41
NR127--MA0731.1.BCL6B	chr1	177793201	177793217	+	0.000	0.000	Merged-chr1-177793096-44
NR1841--MA0731.1.BCL6B	chr8	69149405	69149421	+	0.000	0.000	Merged-chr8-69149326-14
NR683--MA0463.1.Bcl6	chr15	60136864	60136877	+	0.000	0.000	Merged-chr15-60136862-12
NR93--MA0463.1.Bcl6	chr1	160181112	160181125	-	0.000	0.000	Merged-chr1-160181095-25
NR1481--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR549--MA0463.1.Bcl6	chr13	95390450	95390463	-	0.000	0.000	Merged-chr13-95390499-34
NR196--MA0731.1.BCL6B	chr10	60225597	60225613	-	0.000	0.000	Merged-chr10-60225461-7
NR1253--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR1365--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR89--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR1486--MA0463.1.Bcl6	chr5	92964846	92964859	-	0.000	0.000	Merged-chr5-92964665-18
NR697--MA0463.1.Bcl6	chr15	67460444	67460457	-	0.000	0.000	Merged-chr15-67460467-5
NR124--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR912--MA0463.1.Bcl6	chr18	66429403	66429416	-	0.000	0.000	Merged-chr18-66429331-35
NR469--MA0463.1.Bcl6	chr12	118101517	118101530	+	0.000	0.000	Merged-chr12-118101555-6
NR1155--MA0463.1.Bcl6	chr2	164828910	164828923	-	0.000	0.000	Merged-chr2-164829091-12
NR908--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR1697--MA0731.1.BCL6B	chr7	24638469	24638485	-	0.000	0.000	Merged-chr7-24638466-38
NR1809--MA0463.1.Bcl6	chr7	140908634	140908647	-	0.000	0.000	Merged-chr7-140908830-38
NR290--MA0463.1.Bcl6	chr11	49901637	49901650	+	0.000	0.000	Merged-chr11-49901859-30
NR138--MA0463.1.Bcl6	chr1	182223868	182223881	+	0.000	0.000	Merged-chr1-182224037-19
NR1500--MA0463.1.Bcl6	chr5	105614851	105614864	+	0.000	0.000	Merged-chr5-105614954-45
NR259--MA0463.1.Bcl6	chr10	122578750	122578763	+	0.000	0.000	Merged-chr10-122578660-68
NR1612--MA0463.1.Bcl6	chr6	85484593	85484606	+	0.000	0.000	Merged-chr6-85484631-14
NR832--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1733--MA0463.1.Bcl6	chr7	80123349	80123362	+	0.000	0.000	Merged-chr7-80123359-34
NR1630--MA0463.1.Bcl6	chr6	108251687	108251700	+	0.000	0.000	Merged-chr6-108251708-11
NR962--MA0463.1.Bcl6	chr19	16255519	16255532	+	0.000	0.000	Merged-chr19-16255427-25
NR604--MA0463.1.Bcl6	chr14	50956259	50956272	+	0.000	0.000	Merged-chr14-50956236-57
NR308--MA0731.1.BCL6B	chr11	70592072	70592088	+	0.000	0.000	Merged-chr11-70592019-3
NR1402--MA0463.1.Bcl6	chr4	133339397	133339410	+	0.000	0.000	Merged-chr4-133339340-75
NR622--MA0463.1.Bcl6	chr14	63193889	63193902	+	0.000	0.000	Merged-chr14-63193803-41
NR1894--MA0731.1.BCL6B	chr8	127178786	127178802	-	0.000	0.000	Merged-chr8-127178768-26
NR2005--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR1653--MA0463.1.Bcl6	chr6	128286220	128286233	-	0.000	0.000	Merged-chr6-128286104-14
NR618--MA0463.1.Bcl6	chr14	60666499	60666512	+	0.000	0.000	Merged-chr14-60666479-30
NR882--MA0463.1.Bcl6	chr18	4354589	4354602	-	0.000	0.000	Merged-chr18-4354638-8
NR1783--MA0463.1.Bcl6	chr7	119023773	119023786	-	0.000	0.000	Merged-chr7-119023693-5
NR1111--MA0731.1.BCL6B	chr2	132035688	132035704	+	0.000	0.000	Merged-chr2-132035691-29
NR654--MA0463.1.Bcl6	chr14	121340877	121340890	+	0.000	0.000	Merged-chr14-121340948-17
NR691--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR672--MA0463.1.Bcl6	chr15	36303849	36303862	+	0.000	0.000	Merged-chr15-36303922-78
NR1504--MA0731.1.BCL6B	chr5	110653362	110653378	-	0.000	0.000	Merged-chr5-110653386-72
NR1206--MA0463.1.Bcl6	chr3	55660472	55660485	+	0.000	0.000	Merged-chr3-55660556-1
NR1112--MA0463.1.Bcl6	chr2	132051979	132051992	-	0.000	0.000	Merged-chr2-132051940-20
NR896--MA0463.1.Bcl6	chr18	46012615	46012628	+	0.000	0.000	Merged-chr18-46012659-5
NR1591--MA0463.1.Bcl6	chr6	49039931	49039944	-	0.000	0.000	Merged-chr6-49039796-15
NR1797--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR1180--MA0731.1.BCL6B	chr2	179974835	179974851	-	0.000	0.000	Merged-chr2-179974691-14
NR1560--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR1363--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR1569--MA0463.1.Bcl6	chr6	13650990	13651003	-	0.000	0.000	Merged-chr6-13650892-33
NR1193--MA0731.1.BCL6B	chr3	35764885	35764901	+	0.000	0.000	Merged-chr3-35764985-46
NR1050--MA0731.1.BCL6B	chr2	65199757	65199773	+	0.000	0.000	Merged-chr2-65199920-22
NR480--MA0463.1.Bcl6	chr13	5286525	5286538	+	0.000	0.000	Merged-chr13-5286449-11
NR686--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR1014--MA0463.1.Bcl6	chr2	35464679	35464692	+	0.000	0.000	Merged-chr2-35464612-20
NR95--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR2010--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR458--MA0463.1.Bcl6	chr12	113879261	113879274	+	0.000	0.000	Merged-chr12-113879117-17
NR1443--MA0731.1.BCL6B	chr5	5749605	5749621	+	0.000	0.000	Merged-chr5-5749564-48
NR61--MA0731.1.BCL6B	chr1	128549279	128549295	+	0.000	0.000	Merged-chr1-128549084-80
NR261--MA0463.1.Bcl6	chr10	122778065	122778078	-	0.000	0.000	Merged-chr10-122778014-1
NR1552--MA0731.1.BCL6B	chr5	142932214	142932230	+	0.000	0.000	Merged-chr5-142932336-53
NR1390--MA0731.1.BCL6B	chr4	122808345	122808361	+	0.000	0.000	Merged-chr4-122808329-35
NR136--MA0463.1.Bcl6	chr1	182163153	182163166	-	0.000	0.000	Merged-chr1-182163114-26
NR1395--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR1037--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1108--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR248--MA0463.1.Bcl6	chr10	117105312	117105325	-	0.000	0.000	Merged-chr10-117105378-15
NR803--MA0731.1.BCL6B	chr17	5748100	5748116	+	0.000	0.000	Merged-chr17-5748141-46
NR1151--MA0731.1.BCL6B	chr2	158794583	158794599	-	0.000	0.000	Merged-chr2-158794730-73
NR87--MA0731.1.BCL6B	chr1	155293642	155293658	+	0.000	0.000	Merged-chr1-155293636-24
NR893--MA0731.1.BCL6B	chr18	37720375	37720391	+	0.000	0.000	Merged-chr18-37720485-15
NR378--MA0463.1.Bcl6	chr11	118000587	118000600	-	0.000	0.000	Merged-chr11-118000770-19
NR1279--MA0463.1.Bcl6	chr3	135604915	135604928	+	0.000	0.000	Merged-chr3-135604723-37
NR1946--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR816--MA0731.1.BCL6B	chr17	25894184	25894200	-	0.000	0.000	Merged-chr17-25894203-16
NR53--MA0731.1.BCL6B	chr1	106561367	106561383	+	0.000	0.000	Merged-chr1-106561410-50
NR925--MA0731.1.BCL6B	chr18	76379047	76379063	+	0.000	0.000	Merged-chr18-76378937-57
NR1964--MA0463.1.Bcl6	chr9	98979827	98979840	+	0.000	0.000	Merged-chr9-98979931-56
NR1305--MA0731.1.BCL6B	chr3	152430961	152430977	+	0.000	0.000	Merged-chr3-152430886-16
NR872--MA0731.1.BCL6B	chr17	87321897	87321913	+	0.000	0.000	Merged-chr17-87321876-10
NR1252--MA0731.1.BCL6B	chr3	107760294	107760310	+	0.000	0.000	Merged-chr3-107760330-76
NR1318--MA0731.1.BCL6B	chr4	8691054	8691070	-	0.000	0.000	Merged-chr4-8690646-122
NR1754--MA0463.1.Bcl6	chr7	99468976	99468989	+	0.000	0.000	Merged-chr7-99468692-92
NR298--MA0463.1.Bcl6	chr11	54161004	54161017	-	0.000	0.000	Merged-chr11-54161145-7
NR974--MA0463.1.Bcl6	chr19	36533122	36533135	+	0.000	0.000	Merged-chr19-36533224-11
NR1090--MA0731.1.BCL6B	chr2	119029508	119029524	+	0.000	0.000	Merged-chr2-119029388-46
NR808--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR17--MA0463.1.Bcl6	chr1	53797729	53797742	+	0.000	0.000	Merged-chr1-53797536-100
NR994--MA0731.1.BCL6B	chr19	61110280	61110296	+	0.000	0.000	Merged-chr19-61110222-22
NR513--MA0463.1.Bcl6	chr13	44249169	44249182	+	0.000	0.000	Merged-chr13-44249362-23
NR580--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR851--MA0731.1.BCL6B	chr17	70797230	70797246	-	0.000	0.000	Merged-chr17-70797319-37
NR1265--MA0731.1.BCL6B	chr3	123173829	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR1788--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR341--MA0731.1.BCL6B	chr11	98948098	98948114	-	0.000	0.000	Merged-chr11-98948156-24
NR1544--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1450--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR768--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR24--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR354--MA0731.1.BCL6B	chr11	104639122	104639138	+	0.000	0.000	Merged-chr11-104639154-13
NR1496--MA0731.1.BCL6B	chr5	99248700	99248716	+	0.000	0.000	Merged-chr5-99248675-23
NR527--MA0463.1.Bcl6	chr13	63223659	63223672	-	0.000	0.000	Merged-chr13-63223423-77
NR1222--MA0463.1.Bcl6	chr3	87960863	87960876	-	0.000	0.000	Merged-chr3-87960988-36
NR666--MA0463.1.Bcl6	chr15	6622717	6622730	-	0.000	0.000	Merged-chr15-6622657-10
NR1352--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR205--MA0463.1.Bcl6	chr10	77939770	77939783	-	0.000	0.000	Merged-chr10-77939812-4
NR1464--MA0463.1.Bcl6	chr5	52783117	52783130	+	0.000	0.000	Merged-chr5-52783183-56
NR317--MA0463.1.Bcl6	chr11	78973355	78973368	+	0.000	0.000	Merged-chr11-78973372-27
NR94--MA0463.1.Bcl6	chr1	160934409	160934422	+	0.000	0.000	Merged-chr1-160934262-12
NR965--MA0731.1.BCL6B	chr19	24271844	24271860	-	0.000	0.000	Merged-chr19-24271931-46
NR335--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR869--MA0731.1.BCL6B	chr17	86206508	86206524	-	0.000	0.000	Merged-chr17-86206449-38
NR353--MA0463.1.Bcl6	chr11	104614044	104614057	+	0.000	0.000	Merged-chr11-104614030-34
NR1469--MA0463.1.Bcl6	chr5	65653938	65653951	-	0.000	0.000	Merged-chr5-65654078-14
NR1254--MA0463.1.Bcl6	chr3	108652995	108653008	-	0.000	0.000	Merged-chr3-108653020-14
NR1921--MA0463.1.Bcl6	chr9	53341278	53341291	+	0.000	0.000	Merged-chr9-53341165-33
NR107--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR673--MA0731.1.BCL6B	chr15	36303846	36303862	-	0.000	0.000	Merged-chr15-36303922-78
NR219--MA0463.1.Bcl6	chr10	93567066	93567079	-	0.000	0.000	Merged-chr10-93567136-2
NR1629--MA0731.1.BCL6B	chr6	106805128	106805144	+	0.000	0.000	Merged-chr6-106805157-19
NR125--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR913--MA0463.1.Bcl6	chr18	67769759	67769772	-	0.000	0.000	Merged-chr18-67769814-3
NR163--MA0731.1.BCL6B	chr1	194626193	194626209	+	0.000	0.000	Merged-chr1-194626204-2
NR1823--MA0463.1.Bcl6	chr8	27192528	27192541	-	0.000	0.000	Merged-chr8-27192491-24
NR1062--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
