#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR6360--MA0036.3.GATA2	chr3	121444111	121444121	+	0.000	0.000	Merged-chr3-121444097-11
NR1516--MA0037.3.GATA3	chr11	6528676	6528683	+	0.000	0.000	Merged-chr11-6528717-51
NR9755--MA0140.2.GATA1::TAL1	chr9	107950907	107950924	+	0.000	0.000	Merged-chr9-107950952-46
NR4823--MA0482.1.Gata4	chr18	56733836	56733846	-	0.000	0.000	Merged-chr18-56734019-60
NR2548--MA0035.3.Gata1	chr13	41097618	41097628	-	0.000	0.000	Merged-chr13-41097728-40
NR4390--MA0482.1.Gata4	chr17	35993989	35993999	+	0.000	0.000	Merged-chr17-35993975-42
NR4802--MA0140.2.GATA1::TAL1	chr18	53937578	53937595	+	0.000	0.000	Merged-chr18-53937531-41
NR445--MA0036.3.GATA2	chr1	105803093	105803103	-	0.000	0.000	Merged-chr1-105803155-19
NR6121--MA0036.3.GATA2	chr3	60954283	60954293	-	0.000	0.000	Merged-chr3-60954370-10
NR1877--MA0037.3.GATA3	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR3758--MA0482.1.Gata4	chr15	100750372	100750382	+	0.000	0.000	Merged-chr15-100750259-57
NR2152--MA0766.1.GATA5	chr12	86795966	86795973	+	0.000	0.000	Merged-chr12-86795851-62
NR3940--MA0035.3.Gata1	chr16	44692060	44692070	+	0.000	0.000	Merged-chr16-44691948-13
NR3000--MA0037.3.GATA3	chr14	14019694	14019701	+	0.000	0.000	Merged-chr14-14019640-26
NR6511--MA0766.1.GATA5	chr3	142356729	142356736	+	0.000	0.000	Merged-chr3-142356734-49
NR7007--MA0036.3.GATA2	chr4	95197264	95197274	-	0.000	0.000	Merged-chr4-95197383-10
NR9609--MA1104.1.GATA6	chr9	61707987	61707999	-	0.000	0.000	Merged-chr9-61708026-57
NR8300--MA0766.1.GATA5	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR9814--MA0037.3.GATA3	chrX	7566383	7566390	-	0.000	0.000	Merged-chrX-7566514-6
NR5312--MA0037.3.GATA3	chr2	58137935	58137942	+	0.000	0.000	Merged-chr2-58137903-53
NR6201--MA0035.3.Gata1	chr3	81102400	81102410	+	0.000	0.000	Merged-chr3-81102418-9
NR8907--MA0140.2.GATA1::TAL1	chr7	109218345	109218362	-	0.000	0.000	Merged-chr7-109218313-44
NR4866--MA1104.1.GATA6	chr18	62072965	62072977	-	0.000	0.000	Merged-chr18-62072861-2
NR6081--MA0036.3.GATA2	chr3	58622619	58622629	+	0.000	0.000	Merged-chr3-58622670-34
NR2888--MA0035.3.Gata1	chr13	110790484	110790494	-	0.000	0.000	Merged-chr13-110790449-2
NR4181--MA1104.1.GATA6	chr16	93918464	93918476	-	0.000	0.000	Merged-chr16-93918388-61
NR8361--MA0482.1.Gata4	chr6	129533343	129533353	-	0.000	0.000	Merged-chr6-129533355-94
NR4334--MA0766.1.GATA5	chr17	18718469	18718476	+	0.000	0.000	Merged-chr17-18718477-13
NR2126--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR8935--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR718--MA0766.1.GATA5	chr1	164494819	164494826	+	0.000	0.000	Merged-chr1-164494906-11
NR2854--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR1660--MA0037.3.GATA3	chr11	66906111	66906118	+	0.000	0.000	Merged-chr11-66906049-23
NR1880--MA0036.3.GATA2	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR4893--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR44--MA0140.2.GATA1::TAL1	chr1	10089693	10089710	+	0.000	0.000	Merged-chr1-10089702-15
NR73--MA0037.3.GATA3	chr1	14514553	14514560	+	0.000	0.000	Merged-chr1-14514684-1
NR8435--MA0766.1.GATA5	chr6	134533243	134533250	-	0.000	0.000	Merged-chr6-134533147-7
NR4481--MA0035.3.Gata1	chr17	64208601	64208611	-	0.000	0.000	Merged-chr17-64208497-3
NR5556--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
NR6203--MA0482.1.Gata4	chr3	81201468	81201478	+	0.000	0.000	Merged-chr3-81201582-6
NR4523--MA0482.1.Gata4	chr17	71491184	71491194	+	0.000	0.000	Merged-chr17-71491103-50
NR2546--MA1104.1.GATA6	chr13	41097617	41097629	+	0.000	0.000	Merged-chr13-41097728-40
NR1739--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR8611--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR5208--MA1104.1.GATA6	chr2	22796696	22796708	+	0.000	0.000	Merged-chr2-22796662-28
NR6541--MA0035.3.Gata1	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR2428--MA0766.1.GATA5	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR3854--MA0766.1.GATA5	chr16	20930013	20930020	-	0.000	0.000	Merged-chr16-20930100-26
NR6041--MA0482.1.Gata4	chr3	51744642	51744652	+	0.000	0.000	Merged-chr3-51744632-10
NR3187--MA0482.1.Gata4	chr14	66241477	66241487	+	0.000	0.000	Merged-chr14-66241484-22
NR1848--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR4828--MA0140.2.GATA1::TAL1	chr18	56733828	56733845	-	0.000	0.000	Merged-chr18-56734019-60
NR9478--MA0482.1.Gata4	chr9	13466581	13466591	-	0.000	0.000	Merged-chr9-13466686-68
NR4536--MA0482.1.Gata4	chr17	73169831	73169841	+	0.000	0.000	Merged-chr17-73169752-13
NR9032--MA0140.2.GATA1::TAL1	chr7	142354004	142354021	-	0.000	0.000	Merged-chr7-142354183-49
NR6054--MA0482.1.Gata4	chr3	52650275	52650285	+	0.000	0.000	Merged-chr3-52650302-1
NR4824--MA1104.1.GATA6	chr18	56733836	56733848	+	0.000	0.000	Merged-chr18-56734019-60
NR4164--MA0766.1.GATA5	chr16	89595948	89595955	+	0.000	0.000	Merged-chr16-89595892-3
NR7288--MA0482.1.Gata4	chr5	15470117	15470127	+	0.000	0.000	Merged-chr5-15470199-54
NR4391--MA1104.1.GATA6	chr17	35993987	35993999	-	0.000	0.000	Merged-chr17-35993975-42
NR1699--MA0037.3.GATA3	chr11	86257582	86257589	+	0.000	0.000	Merged-chr11-86257585-49
NR8351--MA0036.3.GATA2	chr6	128972764	128972774	-	0.000	0.000	Merged-chr6-128972909-46
NR8427--MA0766.1.GATA5	chr6	134189986	134189993	+	0.000	0.000	Merged-chr6-134189868-22
NR2235--MA0036.3.GATA2	chr12	92812909	92812919	-	0.000	0.000	Merged-chr12-92812766-7
NR3661--MA0036.3.GATA2	chr15	62730608	62730618	-	0.000	0.000	Merged-chr15-62730717-24
NR9801--MA0035.3.Gata1	chr9	123087720	123087730	-	0.000	0.000	Merged-chr9-123087769-13
NR8003--MA0036.3.GATA2	chr6	54118991	54119001	+	0.000	0.000	Merged-chr6-54119085-6
NR6062--MA0766.1.GATA5	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR6575--MA0036.3.GATA2	chr3	152919362	152919372	+	0.000	0.000	Merged-chr3-152919231-7
NR1904--MA0036.3.GATA2	chr12	28735553	28735563	-	0.000	0.000	Merged-chr12-28735423-1
NR4305--MA0766.1.GATA5	chr17	13654775	13654782	+	0.000	0.000	Merged-chr17-13654932-70
NR6718--MA0482.1.Gata4	chr4	19923449	19923459	-	0.000	0.000	Merged-chr4-19923492-7
NR4101--MA0482.1.Gata4	chr16	78265278	78265288	+	0.000	0.000	Merged-chr16-78265078-57
NR2139--MA0036.3.GATA2	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR6057--MA0035.3.Gata1	chr3	52650274	52650284	+	0.000	0.000	Merged-chr3-52650302-1
NR1962--MA0482.1.Gata4	chr12	40427688	40427698	-	0.000	0.000	Merged-chr12-40427719-34
NR8374--MA0766.1.GATA5	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR2554--MA0035.3.Gata1	chr13	41948366	41948376	-	0.000	0.000	Merged-chr13-41948463-1
NR1742--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR7542--MA0037.3.GATA3	chr5	65867408	65867415	-	0.000	0.000	Merged-chr5-65867573-52
NR8988--MA0035.3.Gata1	chr7	126822098	126822108	-	0.000	0.000	Merged-chr7-126822065-16
NR4757--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2140--MA0035.3.Gata1	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR8693--MA0482.1.Gata4	chr7	44496630	44496640	+	0.000	0.000	Merged-chr7-44496496-71
NR195--MA0482.1.Gata4	chr1	59173177	59173187	-	0.000	0.000	Merged-chr1-59173225-2
NR4370--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR1851--MA0036.3.GATA2	chr12	16185622	16185632	+	0.000	0.000	Merged-chr12-16185844-40
NR7900--MA0766.1.GATA5	chr6	24031953	24031960	-	0.000	0.000	Merged-chr6-24031822-2
NR8110--MA1104.1.GATA6	chr6	66252373	66252385	-	0.000	0.000	Merged-chr6-66252273-1
NR2957--MA0482.1.Gata4	chr14	8255426	8255436	+	0.000	0.000	Merged-chr14-8255378-13
NR9880--MA0482.1.Gata4	chrX	104015321	104015331	-	0.000	0.000	Merged-chrX-104015448-5
NR9761--MA0035.3.Gata1	chr9	107986401	107986411	+	0.000	0.000	Merged-chr9-107986494-4
NR2153--MA0035.3.Gata1	chr12	86795964	86795974	-	0.000	0.000	Merged-chr12-86795851-62
NR4383--MA1104.1.GATA6	chr17	35727167	35727179	+	0.000	0.000	Merged-chr17-35727200-6
NR5782--MA0035.3.Gata1	chr2	163229299	163229309	-	0.000	0.000	Merged-chr2-163229277-53
NR2585--MA0766.1.GATA5	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR8301--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR716--MA0482.1.Gata4	chr1	164494816	164494826	-	0.000	0.000	Merged-chr1-164494906-11
NR9431--MA0766.1.GATA5	chr8	125351842	125351849	+	0.000	0.000	Merged-chr8-125351679-18
NR3542--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR4488--MA0482.1.Gata4	chr17	65954138	65954148	+	0.000	0.000	Merged-chr17-65954196-36
NR5452--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR2142--MA0482.1.Gata4	chr12	83929661	83929671	-	0.000	0.000	Merged-chr12-83929616-29
NR9631--MA0035.3.Gata1	chr9	77496871	77496881	+	0.000	0.000	Merged-chr9-77496982-2
NR283--MA0482.1.Gata4	chr1	74239438	74239448	-	0.000	0.000	Merged-chr1-74239577-59
NR6204--MA1104.1.GATA6	chr3	81201466	81201478	-	0.000	0.000	Merged-chr3-81201582-6
NR4524--MA1104.1.GATA6	chr17	71491182	71491194	-	0.000	0.000	Merged-chr17-71491103-50
NR9792--MA0766.1.GATA5	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR8612--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR8223--MA0766.1.GATA5	chr6	100011908	100011915	+	0.000	0.000	Merged-chr6-100011850-11
NR6042--MA1104.1.GATA6	chr3	51744640	51744652	-	0.000	0.000	Merged-chr3-51744632-10
NR3188--MA1104.1.GATA6	chr14	66241475	66241487	-	0.000	0.000	Merged-chr14-66241484-22
NR567--MA0482.1.Gata4	chr1	133163853	133163863	+	0.000	0.000	Merged-chr1-133164049-18
NR9479--MA1104.1.GATA6	chr9	13466581	13466593	+	0.000	0.000	Merged-chr9-13466686-68
NR2130--MA0140.2.GATA1::TAL1	chr12	79296606	79296623	-	0.000	0.000	Merged-chr12-79296800-36
NR2145--MA0035.3.Gata1	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR6275--MA0036.3.GATA2	chr3	96580268	96580278	+	0.000	0.000	Merged-chr3-96580278-43
NR6055--MA1104.1.GATA6	chr3	52650273	52650285	-	0.000	0.000	Merged-chr3-52650302-1
NR2787--MA0482.1.Gata4	chr13	91033461	91033471	+	0.000	0.000	Merged-chr13-91033672-15
NR262--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR8734--MA1104.1.GATA6	chr7	58844113	58844125	+	0.000	0.000	Merged-chr7-58844347-15
NR9607--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR8436--MA0035.3.Gata1	chr6	134533242	134533252	+	0.000	0.000	Merged-chr6-134533147-7
NR1543--MA0035.3.Gata1	chr11	11711883	11711893	+	0.000	0.000	Merged-chr11-11711824-34
NR7289--MA1104.1.GATA6	chr5	15470115	15470127	-	0.000	0.000	Merged-chr5-15470199-54
NR4728--MA0035.3.Gata1	chr18	38350148	38350158	+	0.000	0.000	Merged-chr18-38350190-47
NR4095--MA0766.1.GATA5	chr16	77095208	77095215	-	0.000	0.000	Merged-chr16-77095315-45
NR1110--MA0140.2.GATA1::TAL1	chr10	62500310	62500327	-	0.000	0.000	Merged-chr10-62500351-23
NR4162--MA0482.1.Gata4	chr16	89595945	89595955	-	0.000	0.000	Merged-chr16-89595892-3
NR8183--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR4043--MA0035.3.Gata1	chr16	64766974	64766984	+	0.000	0.000	Merged-chr16-64766994-6
NR8316--MA0482.1.Gata4	chr6	124750611	124750621	-	0.000	0.000	Merged-chr6-124750623-14
NR3855--MA0035.3.Gata1	chr16	20930012	20930022	+	0.000	0.000	Merged-chr16-20930100-26
NR8297--MA0482.1.Gata4	chr6	122742624	122742634	+	0.000	0.000	Merged-chr6-122742614-91
NR4337--MA0482.1.Gata4	chr17	21579873	21579883	-	0.000	0.000	Merged-chr17-21579709-31
NR1670--MA0766.1.GATA5	chr11	70239914	70239921	+	0.000	0.000	Merged-chr11-70239985-43
NR8425--MA0482.1.Gata4	chr6	134189983	134189993	-	0.000	0.000	Merged-chr6-134189868-22
NR9784--MA0766.1.GATA5	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR4864--MA0037.3.GATA3	chr18	62072967	62072974	-	0.000	0.000	Merged-chr18-62072861-2
NR6719--MA1104.1.GATA6	chr4	19923449	19923461	+	0.000	0.000	Merged-chr4-19923492-7
NR4102--MA1104.1.GATA6	chr16	78265276	78265288	-	0.000	0.000	Merged-chr16-78265078-57
NR1784--MA0482.1.Gata4	chr11	117308108	117308118	+	0.000	0.000	Merged-chr11-117308232-42
NR2699--MA0766.1.GATA5	chr13	81659056	81659063	+	0.000	0.000	Merged-chr13-81658891-4
NR4388--MA0140.2.GATA1::TAL1	chr17	35993948	35993965	-	0.000	0.000	Merged-chr17-35993975-42
NR1665--MA0035.3.Gata1	chr11	66906109	66906119	-	0.000	0.000	Merged-chr11-66906049-23
NR7150--MA0140.2.GATA1::TAL1	chr4	136836252	136836269	-	0.000	0.000	Merged-chr4-136836082-29
NR4056--MA0035.3.Gata1	chr16	65448998	65449008	-	0.000	0.000	Merged-chr16-65448972-5
NR4327--MA0035.3.Gata1	chr17	17838230	17838240	+	0.000	0.000	Merged-chr17-17838305-60
NR2422--MA0037.3.GATA3	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR6510--MA0037.3.GATA3	chr3	142356729	142356736	+	0.000	0.000	Merged-chr3-142356734-49
NR196--MA1104.1.GATA6	chr1	59173177	59173189	+	0.000	0.000	Merged-chr1-59173225-2
NR2307--MA0036.3.GATA2	chr12	108763691	108763701	-	0.000	0.000	Merged-chr12-108763648-15
NR1883--MA0035.3.Gata1	chr12	25117995	25118005	+	0.000	0.000	Merged-chr12-25118118-8
NR2958--MA1104.1.GATA6	chr14	8255424	8255436	-	0.000	0.000	Merged-chr14-8255378-13
NR8547--MA0482.1.Gata4	chr6	144987412	144987422	-	0.000	0.000	Merged-chr6-144987357-14
NR8428--MA0035.3.Gata1	chr6	134189984	134189994	-	0.000	0.000	Merged-chr6-134189868-22
NR6182--MA0482.1.Gata4	chr3	75696298	75696308	-	0.000	0.000	Merged-chr3-75696372-7
NR6063--MA0035.3.Gata1	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR9610--MA0036.3.GATA2	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR4333--MA1104.1.GATA6	chr17	18718466	18718478	+	0.000	0.000	Merged-chr17-18718477-13
NR5206--MA0037.3.GATA3	chr2	22796699	22796706	+	0.000	0.000	Merged-chr2-22796662-28
NR3604--MA0140.2.GATA1::TAL1	chr15	49671377	49671394	-	0.000	0.000	Merged-chr15-49671464-12
NR5732--MA0035.3.Gata1	chr2	148528051	148528061	-	0.000	0.000	Merged-chr2-148527989-4
NR5370--MA0766.1.GATA5	chr2	66184789	66184796	-	0.000	0.000	Merged-chr2-66184903-51
NR8375--MA0035.3.Gata1	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR5960--MA0482.1.Gata4	chr3	38371853	38371863	+	0.000	0.000	Merged-chr3-38371815-1
NR9798--MA0037.3.GATA3	chr9	123087722	123087729	+	0.000	0.000	Merged-chr9-123087769-13
NR6466--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR4489--MA1104.1.GATA6	chr17	65954136	65954148	-	0.000	0.000	Merged-chr17-65954196-36
NR2143--MA1104.1.GATA6	chr12	83929661	83929673	+	0.000	0.000	Merged-chr12-83929616-29
NR367--MA0140.2.GATA1::TAL1	chr1	91065254	91065271	-	0.000	0.000	Merged-chr1-91065226-49
NR7800--MA0036.3.GATA2	chr5	150220586	150220596	+	0.000	0.000	Merged-chr5-150220578-7
NR1514--MA0035.3.Gata1	chr11	4804254	4804264	+	0.000	0.000	Merged-chr11-4804243-58
NR2318--MA1104.1.GATA6	chr12	112606009	112606021	-	0.000	0.000	Merged-chr12-112605824-36
NR4822--MA0037.3.GATA3	chr18	56733839	56733846	+	0.000	0.000	Merged-chr18-56734019-60
NR3717--MA0035.3.Gata1	chr15	91578251	91578261	+	0.000	0.000	Merged-chr15-91578192-2
NR8989--MA0140.2.GATA1::TAL1	chr7	126822089	126822106	-	0.000	0.000	Merged-chr7-126822065-16
NR3760--MA0035.3.Gata1	chr15	101275265	101275275	+	0.000	0.000	Merged-chr15-101275184-1
NR3183--MA0036.3.GATA2	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR6116--MA0036.3.GATA2	chr3	60954221	60954231	-	0.000	0.000	Merged-chr3-60954370-10
NR2903--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR7813--MA0036.3.GATA2	chr6	3343983	3343993	+	0.000	0.000	Merged-chr6-3344027-33
NR9432--MA0035.3.Gata1	chr8	125351840	125351850	-	0.000	0.000	Merged-chr8-125351679-18
NR3250--MA0035.3.Gata1	chr14	87439912	87439922	+	0.000	0.000	Merged-chr14-87439901-5
NR1907--MA0035.3.Gata1	chr12	28735564	28735574	-	0.000	0.000	Merged-chr12-28735423-1
NR5393--MA0140.2.GATA1::TAL1	chr2	77327445	77327462	+	0.000	0.000	Merged-chr2-77327471-3
NR7404--MA0035.3.Gata1	chr5	29200062	29200072	+	0.000	0.000	Merged-chr5-29200032-4
NR5453--MA0035.3.Gata1	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR3958--MA0482.1.Gata4	chr16	48760676	48760686	+	0.000	0.000	Merged-chr16-48760801-13
NR9721--MA0766.1.GATA5	chr9	90301326	90301333	-	0.000	0.000	Merged-chr9-90301276-26
NR4163--MA1104.1.GATA6	chr16	89595945	89595957	+	0.000	0.000	Merged-chr16-89595892-3
NR8343--MA0482.1.Gata4	chr6	128764089	128764099	+	0.000	0.000	Merged-chr6-128764213-62
NR8317--MA1104.1.GATA6	chr6	124750611	124750623	+	0.000	0.000	Merged-chr6-124750623-14
NR7765--MA0035.3.Gata1	chr5	142896936	142896946	-	0.000	0.000	Merged-chr5-142896891-14
NR8298--MA1104.1.GATA6	chr6	122742622	122742634	-	0.000	0.000	Merged-chr6-122742614-91
NR4093--MA0482.1.Gata4	chr16	77095208	77095218	+	0.000	0.000	Merged-chr16-77095315-45
NR1753--MA0036.3.GATA2	chr11	106057069	106057079	+	0.000	0.000	Merged-chr11-106057103-42
NR6448--MA0035.3.Gata1	chr3	135515339	135515349	+	0.000	0.000	Merged-chr3-135515494-6
NR2863--MA0037.3.GATA3	chr13	109822582	109822589	+	0.000	0.000	Merged-chr13-109822486-79
NR9782--MA0482.1.Gata4	chr9	116138613	116138623	+	0.000	0.000	Merged-chr9-116138726-20
NR5730--MA1104.1.GATA6	chr2	148528050	148528062	+	0.000	0.000	Merged-chr2-148527989-4
NR8879--MA0482.1.Gata4	chr7	101504104	101504114	+	0.000	0.000	Merged-chr7-101503907-73
NR4304--MA0037.3.GATA3	chr17	13654775	13654782	+	0.000	0.000	Merged-chr17-13654932-70
NR3555--MA0036.3.GATA2	chr15	40131079	40131089	+	0.000	0.000	Merged-chr15-40131241-26
NR8548--MA1104.1.GATA6	chr6	144987412	144987424	+	0.000	0.000	Merged-chr6-144987357-14
NR8006--MA0036.3.GATA2	chr6	54119122	54119132	+	0.000	0.000	Merged-chr6-54119085-6
NR6202--MA0037.3.GATA3	chr3	81201468	81201475	-	0.000	0.000	Merged-chr3-81201582-6
NR4522--MA0037.3.GATA3	chr17	71491184	71491191	-	0.000	0.000	Merged-chr17-71491103-50
NR1856--MA0482.1.Gata4	chr12	16588626	16588636	+	0.000	0.000	Merged-chr12-16588738-7
NR3146--MA0035.3.Gata1	chr14	54197800	54197810	+	0.000	0.000	Merged-chr14-54197805-29
NR9785--MA0035.3.Gata1	chr9	116138612	116138622	+	0.000	0.000	Merged-chr9-116138726-20
NR8610--MA0037.3.GATA3	chr7	19332941	19332948	-	0.000	0.000	Merged-chr7-19332998-44
NR6040--MA0037.3.GATA3	chr3	51744642	51744649	-	0.000	0.000	Merged-chr3-51744632-10
