#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR4895--MA0089.1.MAFG::NFE2L1	chr16	30067035	30067040	+	0.000	0.000	Merged-chr16-30066931-47
NR2307--MA0117.2.Mafb	chr11	94591900	94591911	-	0.000	0.000	Merged-chr11-94591721-35
NR5836--MA0089.1.MAFG::NFE2L1	chr18	42308227	42308232	-	0.000	0.000	Merged-chr18-42308162-7
NR1103--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR8755--MA0495.2.MAFF	chr4	116806479	116806499	+	0.000	0.000	Merged-chr4-116806659-9
NR9511--MA0659.1.MAFG	chr5	97002395	97002415	+	0.000	0.000	Merged-chr5-97002471-16
NR1596--MA0495.2.MAFF	chr10	96357117	96357137	-	0.000	0.000	Merged-chr10-96357351-35
NR10209--MA0591.1.Bach1::Mafk	chr6	83413090	83413104	-	0.000	0.000	Merged-chr6-83413092-38
NR5138--MA0117.2.Mafb	chr16	84625359	84625370	+	0.000	0.000	Merged-chr16-84625247-15
NR12425--MA0089.1.MAFG::NFE2L1	chr9	75424479	75424484	-	0.000	0.000	Merged-chr9-75424594-10
NR15--MA0089.1.MAFG::NFE2L1	chr1	13616084	13616089	+	0.000	0.000	Merged-chr1-13616116-19
NR5432--MA0089.1.MAFG::NFE2L1	chr17	34912020	34912025	+	0.000	0.000	Merged-chr17-34912198-43
NR9851--MA0117.2.Mafb	chr5	146867671	146867682	+	0.000	0.000	Merged-chr5-146867667-49
NR11195--MA0089.1.MAFG::NFE2L1	chr7	101555538	101555543	+	0.000	0.000	Merged-chr7-101555691-65
NR2242--MA0089.1.MAFG::NFE2L1	chr11	85235135	85235140	-	0.000	0.000	Merged-chr11-85234934-68
NR8867--MA0495.2.MAFF	chr4	133625795	133625815	+	0.000	0.000	Merged-chr4-133625907-62
NR2414--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR11583--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR9766--MA0089.1.MAFG::NFE2L1	chr5	135962695	135962700	-	0.000	0.000	Merged-chr5-135962796-70
NR254--MA0089.1.MAFG::NFE2L1	chr1	74227568	74227573	-	0.000	0.000	Merged-chr1-74227561-37
NR5841--MA0659.1.MAFG	chr18	43492936	43492956	-	0.000	0.000	Merged-chr18-43493033-11
NR630--MA0089.1.MAFG::NFE2L1	chr1	153085500	153085505	-	0.000	0.000	Merged-chr1-153085366-59
NR8627--MA0117.2.Mafb	chr4	89550651	89550662	+	0.000	0.000	Merged-chr4-89550701-62
NR9081--MA0117.2.Mafb	chr5	3358909	3358920	+	0.000	0.000	Merged-chr5-3358967-15
NR3518--MA0117.2.Mafb	chr13	81297568	81297579	-	0.000	0.000	Merged-chr13-81297421-2
NR2820--MA0089.1.MAFG::NFE2L1	chr12	83597346	83597351	+	0.000	0.000	Merged-chr12-83597256-51
NR486--MA0591.1.Bach1::Mafk	chr1	128615674	128615688	-	0.000	0.000	Merged-chr1-128615599-2
NR6219--MA0117.2.Mafb	chr19	24476575	24476586	+	0.000	0.000	Merged-chr19-24476659-2
NR2305--MA0496.2.MAFK	chr11	94386616	94386634	+	0.000	0.000	Merged-chr11-94386453-49
NR11988--MA0089.1.MAFG::NFE2L1	chr8	116605575	116605580	+	0.000	0.000	Merged-chr8-116605593-15
NR5015--MA0496.2.MAFK	chr16	52879650	52879668	+	0.000	0.000	Merged-chr16-52879758-28
NR11307--MA0089.1.MAFG::NFE2L1	chr7	112225753	112225758	+	0.000	0.000	Merged-chr7-112225883-54
NR7549--MA0591.1.Bach1::Mafk	chr2	180070690	180070704	+	0.000	0.000	Merged-chr2-180070748-65
NR2798--MA0495.2.MAFF	chr12	80197672	80197692	+	0.000	0.000	Merged-chr12-80197610-10
NR921--MA0659.1.MAFG	chr1	181866628	181866648	-	0.000	0.000	Merged-chr1-181866572-42
NR28--MA0089.1.MAFG::NFE2L1	chr1	16688419	16688424	+	0.000	0.000	Merged-chr1-16688563-89
NR3109--MA0089.1.MAFG::NFE2L1	chr12	115320848	115320853	-	0.000	0.000	Merged-chr12-115320817-31
NR8157--MA0089.1.MAFG::NFE2L1	chr3	138864362	138864367	+	0.000	0.000	Merged-chr3-138864342-22
NR659--MA0496.2.MAFK	chr1	155224014	155224032	-	0.000	0.000	Merged-chr1-155224072-96
NR5169--MA0089.1.MAFG::NFE2L1	chr16	87709519	87709524	+	0.000	0.000	Merged-chr16-87709397-19
NR9664--MA0089.1.MAFG::NFE2L1	chr5	115474452	115474457	-	0.000	0.000	Merged-chr5-115474524-35
NR9334--MA0591.1.Bach1::Mafk	chr5	67437634	67437648	-	0.000	0.000	Merged-chr5-67437495-24
NR12573--MA0495.2.MAFF	chr9	89674246	89674266	-	0.000	0.000	Merged-chr9-89674293-39
NR10019--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR8421--MA0591.1.Bach1::Mafk	chr4	14819961	14819975	+	0.000	0.000	Merged-chr4-14819908-10
NR4983--MA0591.1.Bach1::Mafk	chr16	49907578	49907592	+	0.000	0.000	Merged-chr16-49907534-19
NR12683--MA0591.1.Bach1::Mafk	chr9	107629893	107629907	+	0.000	0.000	Merged-chr9-107629977-18
NR6358--MA0117.2.Mafb	chr19	53893788	53893799	-	0.000	0.000	Merged-chr19-53893657-63
NR1598--MA0117.2.Mafb	chr10	96630327	96630338	+	0.000	0.000	Merged-chr10-96630384-5
NR2243--MA0495.2.MAFF	chr11	85324146	85324166	+	0.000	0.000	Merged-chr11-85324179-42
NR9874--MA0659.1.MAFG	chr5	148831818	148831838	-	0.000	0.000	Merged-chr5-148831759-44
NR4089--MA0659.1.MAFG	chr14	68048502	68048522	-	0.000	0.000	Merged-chr14-68048538-29
NR10192--MA0591.1.Bach1::Mafk	chr6	72407396	72407410	-	0.000	0.000	Merged-chr6-72407368-35
NR11770--MA0591.1.Bach1::Mafk	chr8	70635683	70635697	-	0.000	0.000	Merged-chr8-70635559-11
NR12625--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR4411--MA0117.2.Mafb	chr15	31240100	31240111	-	0.000	0.000	Merged-chr15-31239940-27
NR12018--MA0501.1.MAF::NFE2	chr8	120760047	120760061	+	0.000	0.000	Merged-chr8-120760094-1
NR12304--MA0496.2.MAFK	chr9	44999339	44999357	-	0.000	0.000	Merged-chr9-44999415-9
NR8700--MA0591.1.Bach1::Mafk	chr4	106987844	106987858	-	0.000	0.000	Merged-chr4-106987990-49
NR12575--MA0659.1.MAFG	chr9	89674246	89674266	-	0.000	0.000	Merged-chr9-89674293-39
NR3939--MA0501.1.MAF::NFE2	chr14	26858677	26858691	+	0.000	0.000	Merged-chr14-26858524-14
NR7112--MA0501.1.MAF::NFE2	chr2	126491578	126491592	-	0.000	0.000	Merged-chr2-126491626-26
NR6376--MA0117.2.Mafb	chr19	56647420	56647431	+	0.000	0.000	Merged-chr19-56647541-17
NR5789--MA0591.1.Bach1::Mafk	chr18	32147664	32147678	+	0.000	0.000	Merged-chr18-32147620-36
NR10608--MA0501.1.MAF::NFE2	chr6	140516456	140516470	+	0.000	0.000	Merged-chr6-140516566-6
NR11559--MA0496.2.MAFK	chr7	141072585	141072603	+	0.000	0.000	Merged-chr7-141072410-71
NR12858--MA0501.1.MAF::NFE2	chrX	11839718	11839732	-	0.000	0.000	Merged-chrX-11839890-20
NR4996--MA0495.2.MAFF	chr16	52418693	52418713	-	0.000	0.000	Merged-chr16-52418568-49
NR12638--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
NR4091--MA0496.2.MAFK	chr14	68048503	68048521	+	0.000	0.000	Merged-chr14-68048538-29
NR2664--MA0501.1.MAF::NFE2	chr12	32897734	32897748	-	0.000	0.000	Merged-chr12-32897664-25
NR7339--MA0495.2.MAFF	chr2	153350989	153351009	-	0.000	0.000	Merged-chr2-153350886-63
NR11103--MA0089.1.MAFG::NFE2L1	chr7	80033512	80033517	+	0.000	0.000	Merged-chr7-80033388-28
NR6083--MA0089.1.MAFG::NFE2L1	chr18	84419247	84419252	-	0.000	0.000	Merged-chr18-84419143-8
NR9090--MA0501.1.MAF::NFE2	chr5	3358936	3358950	-	0.000	0.000	Merged-chr5-3358967-15
NR2133--MA0117.2.Mafb	chr11	69332063	69332074	+	0.000	0.000	Merged-chr11-69332186-23
NR4535--MA0495.2.MAFF	chr15	60141740	60141760	-	0.000	0.000	Merged-chr15-60141822-49
NR163--MA0495.2.MAFF	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR9758--MA0659.1.MAFG	chr5	134313754	134313774	-	0.000	0.000	Merged-chr5-134313860-43
NR10843--MA0117.2.Mafb	chr7	19228404	19228415	-	0.000	0.000	Merged-chr7-19228320-141
NR508--MA0591.1.Bach1::Mafk	chr1	131153186	131153200	-	0.000	0.000	Merged-chr1-131153253-37
NR6385--MA0089.1.MAFG::NFE2L1	chr19	56756638	56756643	-	0.000	0.000	Merged-chr19-56756635-43
NR11971--MA0089.1.MAFG::NFE2L1	chr8	114815498	114815503	-	0.000	0.000	Merged-chr8-114815485-46
NR7343--MA0496.2.MAFK	chr2	153350990	153351008	+	0.000	0.000	Merged-chr2-153350886-63
NR11556--MA0591.1.Bach1::Mafk	chr7	141072587	141072601	-	0.000	0.000	Merged-chr7-141072410-71
NR6600--MA0117.2.Mafb	chr2	32715337	32715348	+	0.000	0.000	Merged-chr2-32715137-51
NR10814--MA0496.2.MAFK	chr7	16057371	16057389	+	0.000	0.000	Merged-chr7-16057177-61
NR4640--MA0501.1.MAF::NFE2	chr15	79414721	79414735	+	0.000	0.000	Merged-chr15-79414662-24
NR165--MA0659.1.MAFG	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR10210--MA0501.1.MAF::NFE2	chr6	83413087	83413101	-	0.000	0.000	Merged-chr6-83413092-38
NR11369--MA0117.2.Mafb	chr7	118141376	118141387	+	0.000	0.000	Merged-chr7-118141478-27
NR2711--MA0659.1.MAFG	chr12	51871958	51871978	+	0.000	0.000	Merged-chr12-51871812-58
NR11909--MA0089.1.MAFG::NFE2L1	chr8	95915099	95915104	-	0.000	0.000	Merged-chr8-95915075-27
NR6157--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR1726--MA0089.1.MAFG::NFE2L1	chr10	117629309	117629314	-	0.000	0.000	Merged-chr10-117629481-71
NR5730--MA0089.1.MAFG::NFE2L1	chr18	10532602	10532607	+	0.000	0.000	Merged-chr18-10532827-93
NR1611--MA0089.1.MAFG::NFE2L1	chr10	99206114	99206119	-	0.000	0.000	Merged-chr10-99206263-19
NR12685--MA0496.2.MAFK	chr9	107629891	107629909	+	0.000	0.000	Merged-chr9-107629977-18
NR4433--MA0501.1.MAF::NFE2	chr15	36640982	36640996	-	0.000	0.000	Merged-chr15-36640954-48
NR2163--MA0495.2.MAFF	chr11	73131228	73131248	-	0.000	0.000	Merged-chr11-73131233-35
NR2398--MA0501.1.MAF::NFE2	chr11	108244342	108244356	+	0.000	0.000	Merged-chr11-108244396-19
NR9514--MA0496.2.MAFK	chr5	97002396	97002414	-	0.000	0.000	Merged-chr5-97002471-16
NR9197--MA0089.1.MAFG::NFE2L1	chr5	24842605	24842610	-	0.000	0.000	Merged-chr5-24842624-94
NR8102--MA0591.1.Bach1::Mafk	chr3	132871460	132871474	+	0.000	0.000	Merged-chr3-132871536-48
NR2281--MA0117.2.Mafb	chr11	88011840	88011851	-	0.000	0.000	Merged-chr11-88011784-26
NR2742--MA0089.1.MAFG::NFE2L1	chr12	65065555	65065560	-	0.000	0.000	Merged-chr12-65065515-53
NR10857--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR9649--MA0495.2.MAFF	chr5	115312987	115313007	+	0.000	0.000	Merged-chr5-115313005-7
NR6125--MA0591.1.Bach1::Mafk	chr19	3851891	3851905	-	0.000	0.000	Merged-chr19-3851775-57
NR5656--MA0089.1.MAFG::NFE2L1	chr17	88060197	88060202	-	0.000	0.000	Merged-chr17-88060218-12
NR713--MA0501.1.MAF::NFE2	chr1	162207443	162207457	+	0.000	0.000	Merged-chr1-162207431-48
NR9767--MA0117.2.Mafb	chr5	136102194	136102205	+	0.000	0.000	Merged-chr5-136102386-37
NR2957--MA0089.1.MAFG::NFE2L1	chr12	102725393	102725398	-	0.000	0.000	Merged-chr12-102725313-9
NR5421--MA0501.1.MAF::NFE2	chr17	33781255	33781269	+	0.000	0.000	Merged-chr17-33781173-86
NR6585--MA0089.1.MAFG::NFE2L1	chr2	30699950	30699955	-	0.000	0.000	Merged-chr2-30700028-24
NR2668--MA0089.1.MAFG::NFE2L1	chr12	33315464	33315469	+	0.000	0.000	Merged-chr12-33315471-106
NR7491--MA0496.2.MAFK	chr2	173431831	173431849	+	0.000	0.000	Merged-chr2-173431870-16
NR854--MA0089.1.MAFG::NFE2L1	chr1	175880762	175880767	-	0.000	0.000	Merged-chr1-175880744-64
NR6296--MA0089.1.MAFG::NFE2L1	chr19	41332361	41332366	+	0.000	0.000	Merged-chr19-41332408-11
NR11882--MA0089.1.MAFG::NFE2L1	chr8	88244522	88244527	+	0.000	0.000	Merged-chr8-88244347-35
NR924--MA0496.2.MAFK	chr1	181866629	181866647	-	0.000	0.000	Merged-chr1-181866572-42
NR12142--MA0501.1.MAF::NFE2	chr8	128333587	128333601	-	0.000	0.000	Merged-chr8-128333532-18
NR8554--MA0591.1.Bach1::Mafk	chr4	63403483	63403497	+	0.000	0.000	Merged-chr4-63403472-49
NR8317--MA0591.1.Bach1::Mafk	chr3	153764832	153764846	+	0.000	0.000	Merged-chr3-153764846-117
NR7122--MA0089.1.MAFG::NFE2L1	chr2	128380833	128380838	+	0.000	0.000	Merged-chr2-128380717-35
NR10040--MA0501.1.MAF::NFE2	chr6	37723514	37723528	+	0.000	0.000	Merged-chr6-37723494-25
NR1390--MA0591.1.Bach1::Mafk	chr10	68240710	68240724	+	0.000	0.000	Merged-chr10-68240828-58
NR147--MA0591.1.Bach1::Mafk	chr1	58742700	58742714	+	0.000	0.000	Merged-chr1-58742743-31
NR10753--MA0591.1.Bach1::Mafk	chr6	147099619	147099633	+	0.000	0.000	Merged-chr6-147099564-76
NR2716--MA0659.1.MAFG	chr12	52603789	52603809	-	0.000	0.000	Merged-chr12-52603919-133
NR5554--MA0089.1.MAFG::NFE2L1	chr17	74717768	74717773	-	0.000	0.000	Merged-chr17-74717725-59
NR4134--MA0089.1.MAFG::NFE2L1	chr14	74847773	74847778	+	0.000	0.000	Merged-chr14-74847708-53
NR1077--MA0501.1.MAF::NFE2	chr1	191479946	191479960	-	0.000	0.000	Merged-chr1-191480137-17
NR9182--MA0089.1.MAFG::NFE2L1	chr5	21254967	21254972	-	0.000	0.000	Merged-chr5-21254890-25
NR6483--MA0089.1.MAFG::NFE2L1	chr2	11548810	11548815	+	0.000	0.000	Merged-chr2-11548721-17
NR8833--MA0591.1.Bach1::Mafk	chr4	126110993	126111007	-	0.000	0.000	Merged-chr4-126110742-108
NR3601--MA0591.1.Bach1::Mafk	chr13	93789526	93789540	+	0.000	0.000	Merged-chr13-93789416-6
NR10784--MA0501.1.MAF::NFE2	chr7	4493032	4493046	+	0.000	0.000	Merged-chr7-4492991-39
NR7639--MA0089.1.MAFG::NFE2L1	chr3	31145855	31145860	-	0.000	0.000	Merged-chr3-31145985-42
NR12916--MA0117.2.Mafb	chrX	48455162	48455173	+	0.000	0.000	Merged-chrX-48455147-3
NR8447--MA0591.1.Bach1::Mafk	chr4	24569376	24569390	-	0.000	0.000	Merged-chr4-24569297-30
NR4436--MA0089.1.MAFG::NFE2L1	chr15	36792595	36792600	-	0.000	0.000	Merged-chr15-36792702-8
NR980--MA0117.2.Mafb	chr1	186676205	186676216	+	0.000	0.000	Merged-chr1-186676331-13
NR2302--MA0591.1.Bach1::Mafk	chr11	94386618	94386632	-	0.000	0.000	Merged-chr11-94386453-49
NR6729--MA0495.2.MAFF	chr2	53668848	53668868	+	0.000	0.000	Merged-chr2-53668715-25
NR12372--MA0496.2.MAFK	chr9	62425368	62425386	+	0.000	0.000	Merged-chr9-62425384-15
NR7856--MA0591.1.Bach1::Mafk	chr3	100421766	100421780	+	0.000	0.000	Merged-chr3-100421832-10
NR622--MA0117.2.Mafb	chr1	152288036	152288047	+	0.000	0.000	Merged-chr1-152287912-60
NR6785--MA0501.1.MAF::NFE2	chr2	65170816	65170830	+	0.000	0.000	Merged-chr2-65170889-79
NR1448--MA0089.1.MAFG::NFE2L1	chr10	80999949	80999954	-	0.000	0.000	Merged-chr10-81000017-24
NR7625--MA0501.1.MAF::NFE2	chr3	27209993	27210007	-	0.000	0.000	Merged-chr3-27210053-38
NR410--MA0495.2.MAFF	chr1	107590012	107590032	+	0.000	0.000	Merged-chr1-107590197-16
NR6622--MA0501.1.MAF::NFE2	chr2	35299661	35299675	-	0.000	0.000	Merged-chr2-35299647-29
NR4520--MA0501.1.MAF::NFE2	chr15	58927827	58927841	-	0.000	0.000	Merged-chr15-58927815-41
NR10171--MA0089.1.MAFG::NFE2L1	chr6	67014823	67014828	-	0.000	0.000	Merged-chr6-67014748-19
NR5755--MA0496.2.MAFK	chr18	20982596	20982614	-	0.000	0.000	Merged-chr18-20982591-12
NR9295--MA0089.1.MAFG::NFE2L1	chr5	57964485	57964490	-	0.000	0.000	Merged-chr5-57964492-18
NR2971--MA0117.2.Mafb	chr12	105068995	105069006	-	0.000	0.000	Merged-chr12-105069151-33
NR319--MA0591.1.Bach1::Mafk	chr1	87621602	87621616	+	0.000	0.000	Merged-chr1-87621669-41
NR2089--MA0591.1.Bach1::Mafk	chr11	60935534	60935548	+	0.000	0.000	Merged-chr11-60935533-50
NR7427--MA0591.1.Bach1::Mafk	chr2	167688904	167688918	+	0.000	0.000	Merged-chr2-167689291-96
NR12840--MA0117.2.Mafb	chr9	122865930	122865941	-	0.000	0.000	Merged-chr9-122865982-50
NR1841--MA0591.1.Bach1::Mafk	chr10	127744986	127745000	+	0.000	0.000	Merged-chr10-127744856-26
NR12144--MA0496.2.MAFK	chr8	128333588	128333606	-	0.000	0.000	Merged-chr8-128333532-18
NR12834--MA0089.1.MAFG::NFE2L1	chr9	122311011	122311016	+	0.000	0.000	Merged-chr9-122310830-40
NR5773--MA0496.2.MAFK	chr18	23754630	23754648	-	0.000	0.000	Merged-chr18-23754514-42
NR8406--MA0501.1.MAF::NFE2	chr4	8800193	8800207	+	0.000	0.000	Merged-chr4-8800117-1
NR257--MA0591.1.Bach1::Mafk	chr1	74398277	74398291	+	0.000	0.000	Merged-chr1-74398237-10
NR9593--MA0117.2.Mafb	chr5	107524504	107524515	-	0.000	0.000	Merged-chr5-107524666-44
NR9684--MA0089.1.MAFG::NFE2L1	chr5	118560785	118560790	+	0.000	0.000	Merged-chr5-118560633-117
NR10818--MA0591.1.Bach1::Mafk	chr7	16314090	16314104	-	0.000	0.000	Merged-chr7-16314036-50
NR1839--MA0496.2.MAFK	chr10	127322156	127322174	-	0.000	0.000	Merged-chr10-127322062-67
NR10194--MA0501.1.MAF::NFE2	chr6	72552775	72552789	-	0.000	0.000	Merged-chr6-72552853-56
NR4930--MA0495.2.MAFF	chr16	36666059	36666079	-	0.000	0.000	Merged-chr16-36665954-31
NR1533--MA0089.1.MAFG::NFE2L1	chr10	89686280	89686285	+	0.000	0.000	Merged-chr10-89686200-60
NR5161--MA0089.1.MAFG::NFE2L1	chr16	87497340	87497345	+	0.000	0.000	Merged-chr16-87497296-12
NR4797--MA0591.1.Bach1::Mafk	chr15	102136233	102136247	-	0.000	0.000	Merged-chr15-102136200-54
NR12847--MA0089.1.MAFG::NFE2L1	chr9	123923470	123923475	+	0.000	0.000	Merged-chr9-123923476-12
NR7000--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	-	0.000	0.000	Merged-chr2-117447085-57
NR12497--MA0591.1.Bach1::Mafk	chr9	82809123	82809137	-	0.000	0.000	Merged-chr9-82809314-11
NR474--MA0089.1.MAFG::NFE2L1	chr1	127813140	127813145	+	0.000	0.000	Merged-chr1-127813157-23
NR3907--MA0496.2.MAFK	chr14	16244007	16244025	+	0.000	0.000	Merged-chr14-16243907-1
NR11312--MA0089.1.MAFG::NFE2L1	chr7	113143683	113143688	+	0.000	0.000	Merged-chr7-113143723-32
NR2643--MA0495.2.MAFF	chr12	26398791	26398811	-	0.000	0.000	Merged-chr12-26398856-20
NR2159--MA0496.2.MAFK	chr11	72941084	72941102	+	0.000	0.000	Merged-chr11-72940930-27
NR4496--MA0495.2.MAFF	chr15	55838807	55838827	+	0.000	0.000	Merged-chr15-55838772-33
NR8653--MA0089.1.MAFG::NFE2L1	chr4	98113737	98113742	+	0.000	0.000	Merged-chr4-98113853-12
NR13026--MA0117.2.Mafb	chrX	159829418	159829429	+	0.000	0.000	Merged-chrX-159829427-31
NR9986--MA0591.1.Bach1::Mafk	chr6	21950103	21950117	-	0.000	0.000	Merged-chr6-21949884-124
NR9582--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR9359--MA0495.2.MAFF	chr5	74456858	74456878	-	0.000	0.000	Merged-chr5-74456993-19
NR9336--MA0496.2.MAFK	chr5	67437632	67437650	+	0.000	0.000	Merged-chr5-67437495-24
NR4835--MA0501.1.MAF::NFE2	chr16	8610453	8610467	-	0.000	0.000	Merged-chr16-8610568-23
NR3832--MA0501.1.MAF::NFE2	chr13	117196139	117196153	+	0.000	0.000	Merged-chr13-117196008-56
NR5004--MA0495.2.MAFF	chr16	52468520	52468540	+	0.000	0.000	Merged-chr16-52468577-24
NR5765--MA0089.1.MAFG::NFE2L1	chr18	23754575	23754580	+	0.000	0.000	Merged-chr18-23754514-42
NR10005--MA0591.1.Bach1::Mafk	chr6	30205806	30205820	+	0.000	0.000	Merged-chr6-30205764-30
NR1478--MA0591.1.Bach1::Mafk	chr10	83197945	83197959	-	0.000	0.000	Merged-chr10-83198046-22
NR10471--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR728--MA0496.2.MAFK	chr1	163383764	163383782	+	0.000	0.000	Merged-chr1-163383772-21
NR11905--MA0591.1.Bach1::Mafk	chr8	95697286	95697300	-	0.000	0.000	Merged-chr8-95697272-29
NR10480--MA0495.2.MAFF	chr6	125541046	125541066	-	0.000	0.000	Merged-chr6-125540912-17
NR6190--MA0089.1.MAFG::NFE2L1	chr19	15984878	15984883	+	0.000	0.000	Merged-chr19-15984948-62
NR3963--MA0117.2.Mafb	chr14	37165410	37165421	+	0.000	0.000	Merged-chr14-37165502-22
NR7996--MA0659.1.MAFG	chr3	116474786	116474806	+	0.000	0.000	Merged-chr3-116474712-27
NR5852--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR8966--MA0591.1.Bach1::Mafk	chr4	145209527	145209541	+	0.000	0.000	Merged-chr4-145209474-14
NR3943--MA0496.2.MAFK	chr14	27268382	27268400	+	0.000	0.000	Merged-chr14-27268313-23
NR560--MA0117.2.Mafb	chr1	143192337	143192348	+	0.000	0.000	Merged-chr1-143192394-27
NR8620--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR202--MA0117.2.Mafb	chr1	64081527	64081538	-	0.000	0.000	Merged-chr1-64081598-14
NR3721--MA0501.1.MAF::NFE2	chr13	109238842	109238856	+	0.000	0.000	Merged-chr13-109238823-1
NR7087--MA0117.2.Mafb	chr2	122164513	122164524	+	0.000	0.000	Merged-chr2-122164298-58
NR2622--MA0501.1.MAF::NFE2	chr12	21437732	21437746	+	0.000	0.000	Merged-chr12-21437615-25
NR12993--MA0591.1.Bach1::Mafk	chrX	103616989	103617003	-	0.000	0.000	Merged-chrX-103616839-86
NR8871--MA0659.1.MAFG	chr4	133625795	133625815	+	0.000	0.000	Merged-chr4-133625907-62
NR6691--MA0117.2.Mafb	chr2	50813941	50813952	-	0.000	0.000	Merged-chr2-50813926-46
NR7757--MA0495.2.MAFF	chr3	86196652	86196672	-	0.000	0.000	Merged-chr3-86196613-32
NR4358--MA0089.1.MAFG::NFE2L1	chr15	6512369	6512374	+	0.000	0.000	Merged-chr15-6512431-6
NR1200--MA0591.1.Bach1::Mafk	chr10	20855283	20855297	-	0.000	0.000	Merged-chr10-20855169-17
NR7433--MA0089.1.MAFG::NFE2L1	chr2	167967795	167967800	-	0.000	0.000	Merged-chr2-167967809-5
NR4498--MA0117.2.Mafb	chr15	55838807	55838818	+	0.000	0.000	Merged-chr15-55838772-33
NR6539--MA0117.2.Mafb	chr2	18872888	18872899	-	0.000	0.000	Merged-chr2-18873017-31
NR4776--MA0501.1.MAF::NFE2	chr15	100461863	100461877	-	0.000	0.000	Merged-chr15-100461811-2
NR6619--MA0501.1.MAF::NFE2	chr2	34982237	34982251	+	0.000	0.000	Merged-chr2-34982434-20
NR7302--MA0117.2.Mafb	chr2	150218042	150218053	-	0.000	0.000	Merged-chr2-150218165-69
