#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR7071--MA0002.2.RUNX1	chr4	129113213	129113223	+	0.000	0.000	Merged-chr4-129113254-7
NR5334--MA0684.1.RUNX3	chr2	3723976	3723985	-	0.000	0.000	Merged-chr2-3723872-33
NR3925--MA0684.1.RUNX3	chr16	35741828	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR5728--MA0002.2.RUNX1	chr2	116066897	116066907	+	0.000	0.000	Merged-chr2-116067067-64
NR6760--MA0684.1.RUNX3	chr4	33289409	33289418	+	0.000	0.000	Merged-chr4-33289226-1
NR9545--MA0002.2.RUNX1	chr8	127749517	127749527	-	0.000	0.000	Merged-chr8-127749345-2
NR8248--MA0684.1.RUNX3	chr6	122293951	122293960	-	0.000	0.000	Merged-chr6-122294065-56
NR7550--MA0511.2.RUNX2	chr5	103975959	103975967	-	0.000	0.000	Merged-chr5-103975926-24
NR8420--MA0002.2.RUNX1	chr6	144953072	144953082	-	0.000	0.000	Merged-chr6-144953133-29
NR5394--MA0511.2.RUNX2	chr2	18935685	18935693	-	0.000	0.000	Merged-chr2-18935718-26
NR2781--MA0684.1.RUNX3	chr13	85399091	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR4855--MA0002.2.RUNX1	chr18	65481403	65481413	+	0.000	0.000	Merged-chr18-65481395-37
NR4811--MA0511.2.RUNX2	chr18	56888939	56888947	+	0.000	0.000	Merged-chr18-56889017-47
NR921--MA0002.2.RUNX1	chr10	28518497	28518507	-	0.000	0.000	Merged-chr10-28518434-39
NR9531--MA0684.1.RUNX3	chr8	127376129	127376138	-	0.000	0.000	Merged-chr8-127376170-3
NR9449--MA0002.2.RUNX1	chr8	120332960	120332970	+	0.000	0.000	Merged-chr8-120332869-43
NR5300--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR697--MA0002.2.RUNX1	chr1	183933979	183933989	+	0.000	0.000	Merged-chr1-183934010-20
NR1272--MA0511.2.RUNX2	chr10	98728782	98728790	+	0.000	0.000	Merged-chr10-98728864-24
NR1543--MA0511.2.RUNX2	chr11	45851844	45851852	+	0.000	0.000	Merged-chr11-45851965-10
NR7626--MA0002.2.RUNX1	chr5	110390480	110390490	-	0.000	0.000	Merged-chr5-110390618-8
NR5675--MA0002.2.RUNX1	chr2	101817125	101817135	+	0.000	0.000	Merged-chr2-101816960-10
NR3124--MA0002.2.RUNX1	chr14	54651169	54651179	+	0.000	0.000	Merged-chr14-54651264-25
NR5360--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR9492--MA0002.2.RUNX1	chr8	123163268	123163278	-	0.000	0.000	Merged-chr8-123163099-40
NR2665--MA0002.2.RUNX1	chr13	49225312	49225322	+	0.000	0.000	Merged-chr13-49225375-9
NR2936--MA0002.2.RUNX1	chr13	112388364	112388374	+	0.000	0.000	Merged-chr13-112388467-40
NR9243--MA0511.2.RUNX2	chr8	57579907	57579915	+	0.000	0.000	Merged-chr8-57580004-34
NR3918--MA0002.2.RUNX1	chr16	33704461	33704471	+	0.000	0.000	Merged-chr16-33704472-6
NR8704--MA0002.2.RUNX1	chr7	78566849	78566859	+	0.000	0.000	Merged-chr7-78566867-22
NR6753--MA0002.2.RUNX1	chr4	26338756	26338766	-	0.000	0.000	Merged-chr4-26338850-16
NR9144--MA0002.2.RUNX1	chr8	13213541	13213551	-	0.000	0.000	Merged-chr8-13213750-72
NR1381--MA0511.2.RUNX2	chr10	126013825	126013833	-	0.000	0.000	Merged-chr10-126013819-17
NR62--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR934--MA0002.2.RUNX1	chr10	30550617	30550627	-	0.000	0.000	Merged-chr10-30550740-45
NR1077--MA0002.2.RUNX1	chr10	68040165	68040175	-	0.000	0.000	Merged-chr10-68039987-57
NR9396--MA0002.2.RUNX1	chr8	110859868	110859878	+	0.000	0.000	Merged-chr8-110860019-49
NR9623--MA0511.2.RUNX2	chr9	42249428	42249436	+	0.000	0.000	Merged-chr9-42249420-32
NR7467--MA0511.2.RUNX2	chr5	73153969	73153977	+	0.000	0.000	Merged-chr5-73154049-10
NR1205--MA0002.2.RUNX1	chr10	89327137	89327147	+	0.000	0.000	Merged-chr10-89327162-49
NR9253--MA0002.2.RUNX1	chr8	68112373	68112383	-	0.000	0.000	Merged-chr8-68112424-37
NR3712--MA0511.2.RUNX2	chr15	85328196	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR9524--MA0002.2.RUNX1	chr8	126832837	126832847	-	0.000	0.000	Merged-chr8-126833007-101
NR5565--MA0684.1.RUNX3	chr2	69415321	69415330	+	0.000	0.000	Merged-chr2-69415236-25
NR5022--MA0002.2.RUNX1	chr18	89212374	89212384	-	0.000	0.000	Merged-chr18-89212381-24
NR9875--MA0511.2.RUNX2	chr9	96350751	96350759	-	0.000	0.000	Merged-chr9-96350613-81
NR6991--MA0684.1.RUNX3	chr4	107989118	107989127	+	0.000	0.000	Merged-chr4-107989218-22
NR3693--MA0511.2.RUNX2	chr15	83076039	83076047	+	0.000	0.000	Merged-chr15-83076168-47
NR1728--MA0002.2.RUNX1	chr11	80785971	80785981	-	0.000	0.000	Merged-chr11-80785938-31
NR7768--MA0684.1.RUNX3	chr5	134492016	134492025	+	0.000	0.000	Merged-chr5-134491981-46
NR3488--MA0511.2.RUNX2	chr15	36938767	36938775	-	0.000	0.000	Merged-chr15-36938734-87
NR9527--MA0511.2.RUNX2	chr8	127178775	127178783	-	0.000	0.000	Merged-chr8-127178768-26
NR7083--MA0684.1.RUNX3	chr4	132040469	132040478	+	0.000	0.000	Merged-chr4-132040319-80
NR3789--MA0684.1.RUNX3	chr15	102234125	102234134	-	0.000	0.000	Merged-chr15-102234091-17
NR881--MA0002.2.RUNX1	chr10	21245200	21245210	+	0.000	0.000	Merged-chr10-21245318-22
NR10043--MA0002.2.RUNX1	chr9	120777175	120777185	-	0.000	0.000	Merged-chr9-120777048-77
NR361--MA0511.2.RUNX2	chr1	128808800	128808808	-	0.000	0.000	Merged-chr1-128808726-38
NR5326--MA0684.1.RUNX3	chr19	60681736	60681745	+	0.000	0.000	Merged-chr19-60681647-27
NR5383--MA0002.2.RUNX1	chr2	14712031	14712041	+	0.000	0.000	Merged-chr2-14711970-14
NR7129--MA0002.2.RUNX1	chr4	136266861	136266871	+	0.000	0.000	Merged-chr4-136266898-41
NR7685--MA0511.2.RUNX2	chr5	120577171	120577179	+	0.000	0.000	Merged-chr5-120577035-13
NR533--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR7258--MA0684.1.RUNX3	chr4	152116071	152116080	+	0.000	0.000	Merged-chr4-152116111-49
NR9808--MA0002.2.RUNX1	chr9	82961600	82961610	+	0.000	0.000	Merged-chr9-82961653-22
NR3027--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR10152--MA0002.2.RUNX1	chrX	59508504	59508514	+	0.000	0.000	Merged-chrX-59508552-38
NR7115--MA0684.1.RUNX3	chr4	134853870	134853879	+	0.000	0.000	Merged-chr4-134853664-104
NR9745--MA0511.2.RUNX2	chr9	67901997	67902005	+	0.000	0.000	Merged-chr9-67901955-26
NR1056--MA0002.2.RUNX1	chr10	61680237	61680247	-	0.000	0.000	Merged-chr10-61680390-61
NR771--MA0684.1.RUNX3	chr1	192510749	192510758	+	0.000	0.000	Merged-chr1-192510804-31
NR1185--MA0684.1.RUNX3	chr10	85352753	85352762	-	0.000	0.000	Merged-chr10-85352707-44
NR8521--MA0002.2.RUNX1	chr7	24407323	24407333	-	0.000	0.000	Merged-chr7-24407263-37
NR6841--MA0002.2.RUNX1	chr4	59204824	59204834	+	0.000	0.000	Merged-chr4-59204829-36
NR2882--MA0684.1.RUNX3	chr13	108390807	108390816	-	0.000	0.000	Merged-chr13-108390764-33
NR4956--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR5418--MA0511.2.RUNX2	chr2	26225411	26225419	+	0.000	0.000	Merged-chr2-26225343-1
NR7476--MA0684.1.RUNX3	chr5	75662586	75662595	-	0.000	0.000	Merged-chr5-75662405-46
NR4542--MA0002.2.RUNX1	chr17	73514140	73514150	+	0.000	0.000	Merged-chr17-73514079-25
NR3467--MA0511.2.RUNX2	chr15	31440252	31440260	-	0.000	0.000	Merged-chr15-31440136-19
NR2862--MA0002.2.RUNX1	chr13	102645049	102645059	+	0.000	0.000	Merged-chr13-102645059-45
NR1787--MA0511.2.RUNX2	chr11	90196638	90196646	-	0.000	0.000	Merged-chr11-90196675-9
NR6950--MA0002.2.RUNX1	chr4	101217157	101217167	-	0.000	0.000	Merged-chr4-101217167-64
NR6474--MA0002.2.RUNX1	chr3	115692546	115692556	-	0.000	0.000	Merged-chr3-115692552-34
NR7185--MA0002.2.RUNX1	chr4	145341930	145341940	-	0.000	0.000	Merged-chr4-145342099-62
NR5177--MA0684.1.RUNX3	chr19	34475146	34475155	-	0.000	0.000	Merged-chr19-34475070-71
NR1915--MA0511.2.RUNX2	chr11	107668373	107668381	-	0.000	0.000	Merged-chr11-107668374-46
NR7727--MA0002.2.RUNX1	chr5	125052229	125052239	-	0.000	0.000	Merged-chr5-125052528-23
NR9963--MA0511.2.RUNX2	chr9	113859659	113859667	-	0.000	0.000	Merged-chr9-113859608-21
NR532--MA0684.1.RUNX3	chr1	164316867	164316876	+	0.000	0.000	Merged-chr1-164316890-23
NR6602--MA0002.2.RUNX1	chr3	138275270	138275280	+	0.000	0.000	Merged-chr3-138275247-64
NR4380--MA0002.2.RUNX1	chr17	35392683	35392693	+	0.000	0.000	Merged-chr17-35392677-25
NR7585--MA0684.1.RUNX3	chr5	105872373	105872382	-	0.000	0.000	Merged-chr5-105872355-24
NR6953--MA0511.2.RUNX2	chr4	101998594	101998602	-	0.000	0.000	Merged-chr4-101998677-38
NR7108--MA0002.2.RUNX1	chr4	134586812	134586822	+	0.000	0.000	Merged-chr4-134586799-2
NR10069--MA0002.2.RUNX1	chr9	123734130	123734140	-	0.000	0.000	Merged-chr9-123734197-54
NR9245--MA0002.2.RUNX1	chr8	57638073	57638083	+	0.000	0.000	Merged-chr8-57637972-56
NR10230--MA0511.2.RUNX2	chrX	153139983	153139991	-	0.000	0.000	Merged-chrX-153140079-69
NR2352--MA0002.2.RUNX1	chr12	110703297	110703307	-	0.000	0.000	Merged-chr12-110703335-47
NR3877--MA0684.1.RUNX3	chr16	25426503	25426512	-	0.000	0.000	Merged-chr16-25426499-60
NR3063--MA0002.2.RUNX1	chr14	40938924	40938934	-	0.000	0.000	Merged-chr14-40938744-34
NR493--MA0002.2.RUNX1	chr1	156615519	156615529	+	0.000	0.000	Merged-chr1-156615670-66
NR7045--MA0511.2.RUNX2	chr4	122872167	122872175	+	0.000	0.000	Merged-chr4-122872187-66
NR1326--MA0684.1.RUNX3	chr10	117640272	117640281	+	0.000	0.000	Merged-chr10-117640177-35
NR3129--MA0002.2.RUNX1	chr14	55882488	55882498	+	0.000	0.000	Merged-chr14-55882429-48
NR2481--MA0684.1.RUNX3	chr12	118428539	118428548	-	0.000	0.000	Merged-chr12-118428603-36
NR5143--MA0684.1.RUNX3	chr19	32138397	32138406	+	0.000	0.000	Merged-chr19-32138517-38
NR3529--MA0684.1.RUNX3	chr15	53100902	53100911	-	0.000	0.000	Merged-chr15-53100948-56
NR9231--MA0684.1.RUNX3	chr8	48425217	48425226	-	0.000	0.000	Merged-chr8-48425330-34
NR4955--MA0684.1.RUNX3	chr18	80611207	80611216	+	0.000	0.000	Merged-chr18-80611321-12
NR2190--MA0002.2.RUNX1	chr12	81788813	81788823	-	0.000	0.000	Merged-chr12-81788922-29
NR9149--MA0002.2.RUNX1	chr8	14970876	14970886	+	0.000	0.000	Merged-chr8-14970919-21
NR5123--MA0002.2.RUNX1	chr19	24971529	24971539	+	0.000	0.000	Merged-chr19-24971475-35
NR8500--MA0002.2.RUNX1	chr7	12949614	12949624	+	0.000	0.000	Merged-chr7-12949725-56
NR9754--MA0684.1.RUNX3	chr9	69174164	69174173	-	0.000	0.000	Merged-chr9-69174203-32
NR5474--MA0511.2.RUNX2	chr2	37735258	37735266	-	0.000	0.000	Merged-chr2-37735387-35
NR939--MA0002.2.RUNX1	chr10	34030519	34030529	-	0.000	0.000	Merged-chr10-34030602-45
NR5269--MA0511.2.RUNX2	chr19	56296921	56296929	+	0.000	0.000	Merged-chr19-56296867-29
NR5252--MA0684.1.RUNX3	chr19	55263227	55263236	+	0.000	0.000	Merged-chr19-55263325-12
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR8900--MA0684.1.RUNX3	chr7	116484431	116484440	-	0.000	0.000	Merged-chr7-116484434-42
NR3909--MA0684.1.RUNX3	chr16	32520609	32520618	-	0.000	0.000	Merged-chr16-32520584-37
NR6029--MA0684.1.RUNX3	chr2	165408114	165408123	+	0.000	0.000	Merged-chr2-165408039-24
NR4250--MA0002.2.RUNX1	chr17	12722759	12722769	-	0.000	0.000	Merged-chr17-12722736-16
NR2841--MA0002.2.RUNX1	chr13	99431520	99431530	+	0.000	0.000	Merged-chr13-99431578-17
NR6823--MA0511.2.RUNX2	chr4	55343348	55343356	+	0.000	0.000	Merged-chr4-55343422-62
NR1544--MA0684.1.RUNX3	chr11	45851844	45851853	+	0.000	0.000	Merged-chr11-45851965-10
NR3076--MA0002.2.RUNX1	chr14	43925223	43925233	-	0.000	0.000	Merged-chr14-43925389-59
NR3303--MA0511.2.RUNX2	chr14	102834735	102834743	+	0.000	0.000	Merged-chr14-102834808-33
NR7107--MA0684.1.RUNX3	chr4	134511127	134511136	-	0.000	0.000	Merged-chr4-134511089-32
NR3747--MA0684.1.RUNX3	chr15	96599113	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR3555--MA0511.2.RUNX2	chr15	59009573	59009581	+	0.000	0.000	Merged-chr15-59009632-21
NR9909--MA0002.2.RUNX1	chr9	104277699	104277709	-	0.000	0.000	Merged-chr9-104277582-95
NR2474--MA0002.2.RUNX1	chr12	117853437	117853447	+	0.000	0.000	Merged-chr12-117853590-38
NR5407--MA0002.2.RUNX1	chr2	23540191	23540201	-	0.000	0.000	Merged-chr2-23540156-12
NR5758--MA0511.2.RUNX2	chr2	121866802	121866810	+	0.000	0.000	Merged-chr2-121866868-116
NR4677--MA0002.2.RUNX1	chr18	11931814	11931824	-	0.000	0.000	Merged-chr18-11931736-46
NR2331--MA0002.2.RUNX1	chr12	107145756	107145766	+	0.000	0.000	Merged-chr12-107145643-13
NR10004--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
NR7068--MA0002.2.RUNX1	chr4	126677526	126677536	-	0.000	0.000	Merged-chr4-126677717-65
NR7339--MA0002.2.RUNX1	chr5	23412713	23412723	+	0.000	0.000	Merged-chr5-23412694-5
NR8913--MA0684.1.RUNX3	chr7	117638144	117638153	+	0.000	0.000	Merged-chr7-117638172-13
NR472--MA0002.2.RUNX1	chr1	153140974	153140984	+	0.000	0.000	Merged-chr1-153140977-54
NR1034--MA0684.1.RUNX3	chr10	60162575	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR743--MA0002.2.RUNX1	chr1	189499858	189499868	-	0.000	0.000	Merged-chr1-189499965-39
NR267--MA0002.2.RUNX1	chr1	88684936	88684946	+	0.000	0.000	Merged-chr1-88684968-21
NR5344--MA0511.2.RUNX2	chr2	6378875	6378883	-	0.000	0.000	Merged-chr2-6378947-26
NR938--MA0684.1.RUNX3	chr10	30716231	30716240	-	0.000	0.000	Merged-chr10-30716378-49
NR1286--MA0684.1.RUNX3	chr10	100742270	100742279	+	0.000	0.000	Merged-chr10-100742220-29
NR995--MA0002.2.RUNX1	chr10	53528045	53528055	+	0.000	0.000	Merged-chr10-53528225-64
NR9876--MA0684.1.RUNX3	chr9	96350750	96350759	-	0.000	0.000	Merged-chr9-96350613-81
NR6942--MA0002.2.RUNX1	chr4	101062002	101062012	-	0.000	0.000	Merged-chr4-101062010-28
NR7325--MA0684.1.RUNX3	chr5	20942629	20942638	-	0.000	0.000	Merged-chr5-20942646-25
NR46--MA0002.2.RUNX1	chr1	36025099	36025109	+	0.000	0.000	Merged-chr1-36025179-31
NR7719--MA0002.2.RUNX1	chr5	124190323	124190333	+	0.000	0.000	Merged-chr5-124190286-2
NR524--MA0684.1.RUNX3	chr1	163374769	163374778	-	0.000	0.000	Merged-chr1-163374764-34
NR4520--MA0684.1.RUNX3	chr17	65885039	65885048	+	0.000	0.000	Merged-chr17-65885183-87
NR998--MA0511.2.RUNX2	chr10	56115381	56115389	+	0.000	0.000	Merged-chr10-56115476-67
NR233--MA0002.2.RUNX1	chr1	82807463	82807473	+	0.000	0.000	Merged-chr1-82807419-20
NR6575--MA0002.2.RUNX1	chr3	135402594	135402604	-	0.000	0.000	Merged-chr3-135402581-53
NR7434--MA0684.1.RUNX3	chr5	62858476	62858485	-	0.000	0.000	Merged-chr5-62858471-55
NR2221--MA0684.1.RUNX3	chr12	86687062	86687071	-	0.000	0.000	Merged-chr12-86687051-28
NR9237--MA0002.2.RUNX1	chr8	57402389	57402399	-	0.000	0.000	Merged-chr8-57402577-20
NR7286--MA0002.2.RUNX1	chr5	3497615	3497625	+	0.000	0.000	Merged-chr5-3497810-31
NR362--MA0684.1.RUNX3	chr1	128808799	128808808	-	0.000	0.000	Merged-chr1-128808726-38
NR6161--MA0002.2.RUNX1	chr3	18243759	18243769	-	0.000	0.000	Merged-chr3-18243680-52
NR7209--MA0002.2.RUNX1	chr4	148102320	148102330	+	0.000	0.000	Merged-chr4-148102321-24
NR3455--MA0684.1.RUNX3	chr15	27596963	27596972	+	0.000	0.000	Merged-chr15-27596992-56
NR9445--MA0511.2.RUNX2	chr8	119914363	119914371	-	0.000	0.000	Merged-chr8-119914410-20
NR8364--MA0002.2.RUNX1	chr6	137795425	137795435	-	0.000	0.000	Merged-chr6-137795480-24
NR3534--MA0511.2.RUNX2	chr15	55218150	55218158	-	0.000	0.000	Merged-chr15-55218084-7
NR7338--MA0684.1.RUNX3	chr5	23387127	23387136	+	0.000	0.000	Merged-chr5-23387051-61
NR4404--MA0002.2.RUNX1	chr17	43645417	43645427	-	0.000	0.000	Merged-chr17-43645396-23
NR5387--MA0684.1.RUNX3	chr2	17712751	17712760	-	0.000	0.000	Merged-chr2-17712795-10
NR5658--MA0684.1.RUNX3	chr2	91042847	91042856	+	0.000	0.000	Merged-chr2-91042928-59
NR6911--MA0511.2.RUNX2	chr4	88876685	88876693	-	0.000	0.000	Merged-chr4-88876623-2
NR5195--MA0511.2.RUNX2	chr19	40267494	40267502	+	0.000	0.000	Merged-chr19-40267576-38
NR4533--MA0684.1.RUNX3	chr17	71192225	71192234	+	0.000	0.000	Merged-chr17-71192022-46
NR5737--MA0511.2.RUNX2	chr2	117399617	117399625	+	0.000	0.000	Merged-chr2-117399695-40
NR6607--MA0002.2.RUNX1	chr3	138877038	138877048	-	0.000	0.000	Merged-chr3-138877299-79
NR2976--MA0002.2.RUNX1	chr13	119681333	119681343	+	0.000	0.000	Merged-chr13-119681376-28
NR1506--MA0511.2.RUNX2	chr11	31999989	31999997	+	0.000	0.000	Merged-chr11-32000120-91
NR1679--MA0684.1.RUNX3	chr11	75279670	75279679	+	0.000	0.000	Merged-chr11-75279801-60
NR246--MA0002.2.RUNX1	chr1	85763516	85763526	-	0.000	0.000	Merged-chr1-85763508-29
NR517--MA0002.2.RUNX1	chr1	162734463	162734473	-	0.000	0.000	Merged-chr1-162734445-9
NR7176--MA0684.1.RUNX3	chr4	145045906	145045915	+	0.000	0.000	Merged-chr4-145045932-55
NR10235--MA0511.2.RUNX2	chrX	163879520	163879528	+	0.000	0.000	Merged-chrX-163879591-51
NR7299--MA0002.2.RUNX1	chr5	10245885	10245895	+	0.000	0.000	Merged-chr5-10245943-14
NR8873--MA0684.1.RUNX3	chr7	112180309	112180318	-	0.000	0.000	Merged-chr7-112180328-30
NR8330--MA0002.2.RUNX1	chr6	129747457	129747467	-	0.000	0.000	Merged-chr6-129747542-62
NR10136--MA0002.2.RUNX1	chrX	47998586	47998596	+	0.000	0.000	Merged-chrX-47998612-33
NR7427--MA0002.2.RUNX1	chr5	62711063	62711073	-	0.000	0.000	Merged-chr5-62711036-55
NR2214--MA0002.2.RUNX1	chr12	85472381	85472391	+	0.000	0.000	Merged-chr12-85472373-19
NR1960--MA0002.2.RUNX1	chr11	113194938	113194948	-	0.000	0.000	Merged-chr11-113194847-27
NR4080--MA0002.2.RUNX1	chr16	84800041	84800051	-	0.000	0.000	Merged-chr16-84800124-30
NR9359--MA0002.2.RUNX1	chr8	96552736	96552746	+	0.000	0.000	Merged-chr8-96552694-31
NR6924--MA0511.2.RUNX2	chr4	95778035	95778043	+	0.000	0.000	Merged-chr4-95778146-34
NR484--MA0684.1.RUNX3	chr1	155784606	155784615	+	0.000	0.000	Merged-chr1-155784753-78
NR9216--MA0002.2.RUNX1	chr8	40963101	40963111	+	0.000	0.000	Merged-chr8-40963134-88
NR5257--MA0684.1.RUNX3	chr19	55384867	55384876	+	0.000	0.000	Merged-chr19-55384868-20
NR6954--MA0684.1.RUNX3	chr4	101998593	101998602	-	0.000	0.000	Merged-chr4-101998677-38
NR2945--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR2780--MA0002.2.RUNX1	chr13	85399090	85399100	+	0.000	0.000	Merged-chr13-85399027-23
NR2260--MA0511.2.RUNX2	chr12	98269813	98269821	+	0.000	0.000	Merged-chr12-98269804-132
NR8343--MA0002.2.RUNX1	chr6	131421771	131421781	+	0.000	0.000	Merged-chr6-131421811-26
NR8965--MA0511.2.RUNX2	chr7	125472361	125472369	-	0.000	0.000	Merged-chr7-125472313-74
NR4778--MA0002.2.RUNX1	chr18	54970185	54970195	-	0.000	0.000	Merged-chr18-54970177-21
NR2161--MA0002.2.RUNX1	chr12	75449848	75449858	+	0.000	0.000	Merged-chr12-75449860-75
NR573--MA0002.2.RUNX1	chr1	170136573	170136583	-	0.000	0.000	Merged-chr1-170136601-45
NR5174--MA0511.2.RUNX2	chr19	34306958	34306966	-	0.000	0.000	Merged-chr19-34306924-50
NR2561--MA0684.1.RUNX3	chr13	21735149	21735158	+	0.000	0.000	Merged-chr13-21734996-112
NR7234--MA0511.2.RUNX2	chr4	150545079	150545087	-	0.000	0.000	Merged-chr4-150545055-50
NR4473--MA0002.2.RUNX1	chr17	52591977	52591987	+	0.000	0.000	Merged-chr17-52591988-50
NR1052--MA0511.2.RUNX2	chr10	61602889	61602897	-	0.000	0.000	Merged-chr10-61602709-62
NR5127--MA0684.1.RUNX3	chr19	25058064	25058073	-	0.000	0.000	Merged-chr19-25057993-14
NR2859--MA0002.2.RUNX1	chr13	101540650	101540660	-	0.000	0.000	Merged-chr13-101540748-63
NR3299--MA0002.2.RUNX1	chr14	101879179	101879189	-	0.000	0.000	Merged-chr14-101879110-69
NR605--MA0002.2.RUNX1	chr1	172247779	172247789	-	0.000	0.000	Merged-chr1-172247830-21
NR9215--MA0684.1.RUNX3	chr8	40577664	40577673	+	0.000	0.000	Merged-chr8-40577674-21
NR10052--MA0511.2.RUNX2	chr9	121985248	121985256	+	0.000	0.000	Merged-chr9-121985208-26
NR9609--MA0002.2.RUNX1	chr9	32901663	32901673	-	0.000	0.000	Merged-chr9-32901528-39
NR2174--MA0002.2.RUNX1	chr12	76943509	76943519	-	0.000	0.000	Merged-chr12-76943624-18
NR6632--MA0511.2.RUNX2	chr3	144411275	144411283	+	0.000	0.000	Merged-chr3-144411311-32
NR4730--MA0684.1.RUNX3	chr18	36709048	36709057	-	0.000	0.000	Merged-chr18-36708852-70
NR6533--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR5458--MA0511.2.RUNX2	chr2	32575482	32575490	+	0.000	0.000	Merged-chr2-32575462-57
NR5236--MA0684.1.RUNX3	chr19	53318247	53318256	-	0.000	0.000	Merged-chr19-53318391-14
NR5088--MA0002.2.RUNX1	chr19	14588394	14588404	-	0.000	0.000	Merged-chr19-14588447-32
NR10148--MA0684.1.RUNX3	chrX	52819526	52819535	+	0.000	0.000	Merged-chrX-52819571-21
NR10161--MA0511.2.RUNX2	chrX	71492680	71492688	+	0.000	0.000	Merged-chrX-71492883-59
