#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1117--MA0731.1.BCL6B	chr2	26647169	26647185	+	0.000	0.000	Merged-chr2-26647037-34
NR696--MA0463.1.Bcl6	chr14	69146585	69146598	+	0.000	0.000	Merged-chr14-69146788-20
NR1098--MA0731.1.BCL6B	chr2	11331892	11331908	-	0.000	0.000	Merged-chr2-11331773-28
NR1024--MA0463.1.Bcl6	chr18	69939302	69939315	+	0.000	0.000	Merged-chr18-69939182-2
NR1478--MA0731.1.BCL6B	chr4	44669643	44669659	-	0.000	0.000	Merged-chr4-44669679-10
NR356--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1042--MA0463.1.Bcl6	chr18	89197733	89197746	-	0.000	0.000	Merged-chr18-89197638-86
NR968--MA0731.1.BCL6B	chr17	86323625	86323641	-	0.000	0.000	Merged-chr17-86323453-65
NR1369--MA0463.1.Bcl6	chr3	105114429	105114442	-	0.000	0.000	Merged-chr3-105114484-19
NR2132--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR411--MA0731.1.BCL6B	chr11	114068629	114068645	-	0.000	0.000	Merged-chr11-114068502-5
NR392--MA0463.1.Bcl6	chr11	95666808	95666821	+	0.000	0.000	Merged-chr11-95666991-65
NR907--MA0463.1.Bcl6	chr17	5010007	5010020	+	0.000	0.000	Merged-chr17-5010046-20
NR925--MA0463.1.Bcl6	chr17	26243768	26243781	-	0.000	0.000	Merged-chr17-26243681-1
NR262--MA0731.1.BCL6B	chr10	71306330	71306346	-	0.000	0.000	Merged-chr10-71306460-33
NR1056--MA0463.1.Bcl6	chr19	10980044	10980057	+	0.000	0.000	Merged-chr19-10979908-59
NR88--MA0731.1.BCL6B	chr1	106395688	106395704	+	0.000	0.000	Merged-chr1-106395596-30
NR894--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR1750--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR403--MA0731.1.BCL6B	chr11	106201871	106201887	-	0.000	0.000	Merged-chr11-106202086-45
NR384--MA0731.1.BCL6B	chr11	80086856	80086872	+	0.000	0.000	Merged-chr11-80086992-28
NR2070--MA0463.1.Bcl6	chr7	128724875	128724888	-	0.000	0.000	Merged-chr7-128725026-31
NR1522--MA0463.1.Bcl6	chr4	86722040	86722053	+	0.000	0.000	Merged-chr4-86721990-52
NR1728--MA0463.1.Bcl6	chr5	110653365	110653378	+	0.000	0.000	Merged-chr5-110653386-72
NR31--MA0463.1.Bcl6	chr1	62049899	62049912	-	0.000	0.000	Merged-chr1-62049803-1
NR8--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR1048--MA0731.1.BCL6B	chr19	5273246	5273262	-	0.000	0.000	Merged-chr19-5273188-67
NR124--MA0731.1.BCL6B	chr1	137074991	137075007	-	0.000	0.000	Merged-chr1-137074990-14
NR729--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR993--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1789--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR2344--MA0731.1.BCL6B	chrX	159257257	159257273	-	0.000	0.000	Merged-chrX-159257265-34
NR868--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR63--MA0463.1.Bcl6	chr1	87988583	87988596	-	0.000	0.000	Merged-chr1-87988595-7
NR1308--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR671--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR987--MA0731.1.BCL6B	chr18	36525746	36525762	+	0.000	0.000	Merged-chr18-36525718-16
NR443--MA0463.1.Bcl6	chr12	40017000	40017013	+	0.000	0.000	Merged-chr12-40017136-45
NR1241--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR1362--MA0463.1.Bcl6	chr3	96576887	96576900	+	0.000	0.000	Merged-chr3-96576802-53
NR605--MA0731.1.BCL6B	chr13	97208356	97208372	-	0.000	0.000	Merged-chr13-97208359-52
NR1474--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1116--MA0463.1.Bcl6	chr2	26647171	26647184	+	0.000	0.000	Merged-chr2-26647037-34
NR586--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR714--MA0731.1.BCL6B	chr14	79331625	79331641	-	0.000	0.000	Merged-chr14-79331457-66
NR1492--MA0463.1.Bcl6	chr4	55442460	55442473	+	0.000	0.000	Merged-chr4-55442539-69
NR2318--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR1913--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR2215--MA0463.1.Bcl6	chr9	14244617	14244630	-	0.000	0.000	Merged-chr9-14244719-42
NR2336--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR1931--MA0463.1.Bcl6	chr6	144679130	144679143	+	0.000	0.000	Merged-chr6-144679049-11
NR422--MA0731.1.BCL6B	chr12	12420963	12420979	+	0.000	0.000	Merged-chr12-12421054-45
NR1018--MA0463.1.Bcl6	chr18	68847832	68847845	+	0.000	0.000	Merged-chr18-68847812-21
NR1488--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1394--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR2241--MA0731.1.BCL6B	chr9	50603792	50603808	+	0.000	0.000	Merged-chr9-50603911-60
NR1184--MA0463.1.Bcl6	chr2	84827737	84827750	-	0.000	0.000	Merged-chr2-84827743-5
NR825--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR740--MA0463.1.Bcl6	chr14	118823413	118823426	-	0.000	0.000	Merged-chr14-118823574-15
NR1968--MA0463.1.Bcl6	chr7	38090191	38090204	-	0.000	0.000	Merged-chr7-38090413-30
NR2288--MA0463.1.Bcl6	chr9	104870756	104870769	+	0.000	0.000	Merged-chr9-104870769-1
NR1892--MA0463.1.Bcl6	chr6	126552063	126552076	+	0.000	0.000	Merged-chr6-126552098-38
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR660--MA0463.1.Bcl6	chr14	47277008	47277021	+	0.000	0.000	Merged-chr14-47276879-81
NR70--MA0463.1.Bcl6	chr1	91062562	91062575	+	0.000	0.000	Merged-chr1-91062639-48
NR114--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR414--MA0463.1.Bcl6	chr11	116623505	116623518	+	0.000	0.000	Merged-chr11-116623453-11
NR893--MA0463.1.Bcl6	chr16	90998098	90998111	+	0.000	0.000	Merged-chr16-90997948-16
NR320--MA0463.1.Bcl6	chr10	122652352	122652365	-	0.000	0.000	Merged-chr10-122652152-42
NR1691--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR1732--MA0731.1.BCL6B	chr5	112286794	112286810	+	0.000	0.000	Merged-chr5-112286717-1
NR544--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR379--MA0731.1.BCL6B	chr11	77371459	77371475	-	0.000	0.000	Merged-chr11-77371376-39
NR2320--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR562--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR759--MA0731.1.BCL6B	chr15	31601902	31601918	+	0.000	0.000	Merged-chr15-31601857-105
NR1575--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR2108--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR2213--MA0463.1.Bcl6	chr9	13323629	13323642	+	0.000	0.000	Merged-chr9-13323532-71
NR2325--MA0463.1.Bcl6	chrX	12129234	12129247	-	0.000	0.000	Merged-chrX-12129136-2
NR2343--MA0463.1.Bcl6	chrX	159257260	159257273	+	0.000	0.000	Merged-chrX-159257265-34
NR2068--MA0731.1.BCL6B	chr7	128298178	128298194	+	0.000	0.000	Merged-chr7-128298070-48
NR1383--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR1907--MA0463.1.Bcl6	chr6	134189915	134189928	-	0.000	0.000	Merged-chr6-134189868-22
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR236--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR1813--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR1432--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR1270--MA0731.1.BCL6B	chr2	167975579	167975595	+	0.000	0.000	Merged-chr2-167975780-28
NR2047--MA0731.1.BCL6B	chr7	112210214	112210230	+	0.000	0.000	Merged-chr7-112210103-38
NR2030--MA0463.1.Bcl6	chr7	102529059	102529072	-	0.000	0.000	Merged-chr7-102529191-45
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR2129--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR2169--MA0731.1.BCL6B	chr8	95245170	95245186	-	0.000	0.000	Merged-chr8-95245362-18
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR167--MA0731.1.BCL6B	chr1	167871994	167872010	-	0.000	0.000	Merged-chr1-167872060-3
NR1424--MA0731.1.BCL6B	chr3	144402253	144402269	-	0.000	0.000	Merged-chr3-144402343-18
NR192--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR1747--MA0463.1.Bcl6	chr5	129594207	129594220	+	0.000	0.000	Merged-chr5-129594296-34
NR731--MA0731.1.BCL6B	chr14	105632236	105632252	+	0.000	0.000	Merged-chr14-105632232-2
NR770--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR1537--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR1649--MA0463.1.Bcl6	chr5	35778815	35778828	+	0.000	0.000	Merged-chr5-35778657-11
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR1647--MA0731.1.BCL6B	chr5	30916120	30916136	-	0.000	0.000	Merged-chr5-30915994-18
NR999--MA0463.1.Bcl6	chr18	56458961	56458974	+	0.000	0.000	Merged-chr18-56459089-42
NR1485--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1112--MA0463.1.Bcl6	chr2	25228684	25228697	-	0.000	0.000	Merged-chr2-25228680-45
NR2202--MA0463.1.Bcl6	chr8	126848548	126848561	-	0.000	0.000	Merged-chr8-126848736-3
NR556--MA0463.1.Bcl6	chr13	40418937	40418950	-	0.000	0.000	Merged-chr13-40418835-1
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR1587--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR1932--MA0463.1.Bcl6	chr6	145104353	145104366	-	0.000	0.000	Merged-chr6-145104452-21
NR1377--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1019--MA0463.1.Bcl6	chr18	68951828	68951841	-	0.000	0.000	Merged-chr18-68951926-32
NR1950--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR248--MA0463.1.Bcl6	chr10	62449929	62449942	+	0.000	0.000	Merged-chr10-62449839-90
NR154--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR1722--MA0463.1.Bcl6	chr5	105145863	105145876	+	0.000	0.000	Merged-chr5-105145750-96
NR2024--MA0463.1.Bcl6	chr7	101377953	101377966	+	0.000	0.000	Merged-chr7-101378062-62
NR378--MA0463.1.Bcl6	chr11	75655918	75655931	+	0.000	0.000	Merged-chr11-75656010-33
NR1064--MA0463.1.Bcl6	chr19	29064107	29064120	+	0.000	0.000	Merged-chr19-29064177-55
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR808--MA0463.1.Bcl6	chr15	98869604	98869617	-	0.000	0.000	Merged-chr15-98869705-35
NR402--MA0731.1.BCL6B	chr11	105124229	105124245	-	0.000	0.000	Merged-chr11-105124264-12
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR2060--MA0463.1.Bcl6	chr7	120727725	120727738	-	0.000	0.000	Merged-chr7-120727783-30
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR835--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR1000--MA0731.1.BCL6B	chr18	56458958	56458974	-	0.000	0.000	Merged-chr18-56459089-42
NR853--MA0463.1.Bcl6	chr16	44691841	44691854	-	0.000	0.000	Merged-chr16-44691948-13
NR513--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR2074--MA0463.1.Bcl6	chr7	130533444	130533457	-	0.000	0.000	Merged-chr7-130533557-34
NR1311--MA0463.1.Bcl6	chr3	51553109	51553122	-	0.000	0.000	Merged-chr3-51553157-56
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR1790--MA0463.1.Bcl6	chr6	29517502	29517515	-	0.000	0.000	Merged-chr6-29517345-20
NR960--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR450--MA0731.1.BCL6B	chr12	55434183	55434199	+	0.000	0.000	Merged-chr12-55434101-13
NR973--MA0731.1.BCL6B	chr17	87474187	87474203	+	0.000	0.000	Merged-chr17-87474193-52
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR773--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR1674--MA0463.1.Bcl6	chr5	73557130	73557143	+	0.000	0.000	Merged-chr5-73557249-47
NR1767--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR2322--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR2097--MA0463.1.Bcl6	chr7	141302903	141302916	-	0.000	0.000	Merged-chr7-141303065-41
NR666--MA0463.1.Bcl6	chr14	54060008	54060021	+	0.000	0.000	Merged-chr14-54060057-10
NR796--MA0463.1.Bcl6	chr15	78579955	78579968	-	0.000	0.000	Merged-chr15-78580091-5
NR335--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR447--MA0463.1.Bcl6	chr12	52097684	52097697	-	0.000	0.000	Merged-chr12-52097764-52
NR353--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR29--MA0731.1.BCL6B	chr1	60569185	60569201	-	0.000	0.000	Merged-chr1-60569405-18
NR371--MA0463.1.Bcl6	chr11	70473508	70473521	+	0.000	0.000	Merged-chr11-70473545-6
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR161--MA0463.1.Bcl6	chr1	164974106	164974119	+	0.000	0.000	Merged-chr1-164974050-5
NR2306--MA0731.1.BCL6B	chr9	114794599	114794615	+	0.000	0.000	Merged-chr9-114794637-24
NR699--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR304--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR2031--MA0463.1.Bcl6	chr7	104170073	104170086	-	0.000	0.000	Merged-chr7-104169965-14
NR413--MA0731.1.BCL6B	chr11	116534500	116534516	+	0.000	0.000	Merged-chr11-116534371-20
NR2264--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR394--MA0731.1.BCL6B	chr11	97404287	97404303	-	0.000	0.000	Merged-chr11-97404114-1
NR1192--MA0463.1.Bcl6	chr2	93471206	93471219	+	0.000	0.000	Merged-chr2-93471266-47
NR600--MA0463.1.Bcl6	chr13	91093828	91093841	+	0.000	0.000	Merged-chr13-91094050-92
NR251--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR2161--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR774--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR833--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR2036--MA0463.1.Bcl6	chr7	105563652	105563665	+	0.000	0.000	Merged-chr7-105563676-13
NR1846--MA0463.1.Bcl6	chr6	90653236	90653249	+	0.000	0.000	Merged-chr6-90653255-2
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR1188--MA0463.1.Bcl6	chr2	92374654	92374667	-	0.000	0.000	Merged-chr2-92374620-2
NR2278--MA0463.1.Bcl6	chr9	96916796	96916809	+	0.000	0.000	Merged-chr9-96916836-41
NR243--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR514--MA0731.1.BCL6B	chr12	112674818	112674834	+	0.000	0.000	Merged-chr12-112674699-146
NR753--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR418--MA0731.1.BCL6B	chr12	3322115	3322131	+	0.000	0.000	Merged-chr12-3322326-39
NR113--MA0731.1.BCL6B	chr1	130548083	130548099	-	0.000	0.000	Merged-chr1-130548205-41
NR883--MA0463.1.Bcl6	chr16	75696404	75696417	+	0.000	0.000	Merged-chr16-75696433-23
NR222--MA0731.1.BCL6B	chr10	19185108	19185124	+	0.000	0.000	Merged-chr10-19185061-36
NR1211--MA0463.1.Bcl6	chr2	117374347	117374360	-	0.000	0.000	Merged-chr2-117374468-47
NR269--MA0731.1.BCL6B	chr10	79926615	79926631	-	0.000	0.000	Merged-chr10-79926758-91
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR409--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR615--MA0731.1.BCL6B	chr13	106998766	106998782	-	0.000	0.000	Merged-chr13-106998870-40
NR1686--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1471--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR1798--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR1962--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR1723--MA0731.1.BCL6B	chr5	105145860	105145876	-	0.000	0.000	Merged-chr5-105145750-96
NR2020--MA0731.1.BCL6B	chr7	98341407	98341423	-	0.000	0.000	Merged-chr7-98341648-39
NR329--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR2304--MA0731.1.BCL6B	chr9	114412641	114412657	-	0.000	0.000	Merged-chr9-114412531-19
NR174--MA0731.1.BCL6B	chr1	171123105	171123121	-	0.000	0.000	Merged-chr1-171123131-24
NR2251--MA0731.1.BCL6B	chr9	63740650	63740666	-	0.000	0.000	Merged-chr9-63740717-42
NR1715--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR2025--MA0463.1.Bcl6	chr7	101378122	101378135	-	0.000	0.000	Merged-chr7-101378062-62
NR934--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1835--MA0463.1.Bcl6	chr6	72615496	72615509	+	0.000	0.000	Merged-chr6-72615630-38
NR164--MA0463.1.Bcl6	chr1	165812653	165812666	+	0.000	0.000	Merged-chr1-165812825-36
NR2155--MA0463.1.Bcl6	chr8	84357763	84357776	+	0.000	0.000	Merged-chr8-84357932-29
NR1641--MA0731.1.BCL6B	chr5	23256167	23256183	+	0.000	0.000	Merged-chr5-23256254-4
NR2147--MA0731.1.BCL6B	chr8	75084049	75084065	-	0.000	0.000	Merged-chr8-75083999-30
NR1893--MA0731.1.BCL6B	chr6	126552060	126552076	-	0.000	0.000	Merged-chr6-126552098-38
NR939--MA0463.1.Bcl6	chr17	42999659	42999672	-	0.000	0.000	Merged-chr17-42999862-4
NR1540--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR608--MA0463.1.Bcl6	chr13	100731066	100731079	+	0.000	0.000	Merged-chr13-100730869-60
NR1867--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
