#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR9641--MA1107.1.KLF9	chr11	48788070	48788082	+	0.000	0.000	Merged-chr11-48788226-76
NR43496--MA0741.1.KLF16	chr3	146207604	146207614	+	0.000	0.000	Merged-chr3-146207752-15
NR26714--MA1107.1.KLF9	chr16	95761935	95761947	-	0.000	0.000	Merged-chr16-95762105-29
NR13657--MA0599.1.KLF5	chr12	24652139	24652148	-	0.000	0.000	Merged-chr12-24652044-2
NR40357--MA0493.1.Klf1	chr3	36475724	36475734	+	0.000	0.000	Merged-chr3-36475795-73
NR41150--MA0741.1.KLF16	chr3	84547460	84547470	+	0.000	0.000	Merged-chr3-84547360-14
NR10023--MA0741.1.KLF16	chr11	58098023	58098033	+	0.000	0.000	Merged-chr11-58098164-53
NR48852--MA0493.1.Klf1	chr5	24685861	24685871	+	0.000	0.000	Merged-chr5-24685796-115
NR6332--MA0741.1.KLF16	chr10	75060659	75060669	-	0.000	0.000	Merged-chr10-75060687-104
NR6484--MA0493.1.Klf1	chr10	77624635	77624645	-	0.000	0.000	Merged-chr10-77624666-9
NR39324--MA0039.3.KLF4	chr2	167680327	167680337	-	0.000	0.000	Merged-chr2-167680290-50
NR51701--MA0493.1.Klf1	chr5	129008591	129008601	+	0.000	0.000	Merged-chr5-129008452-69
NR59471--MA0741.1.KLF16	chr7	72349957	72349967	+	0.000	0.000	Merged-chr7-72350151-23
NR64958--MA0741.1.KLF16	chr8	120532561	120532571	-	0.000	0.000	Merged-chr8-120532679-9
NR41216--MA0741.1.KLF16	chr3	88142246	88142256	-	0.000	0.000	Merged-chr3-88142158-111
NR28586--MA0599.1.KLF5	chr17	45686922	45686931	-	0.000	0.000	Merged-chr17-45686924-2
NR19824--MA0493.1.Klf1	chr14	34549235	34549245	+	0.000	0.000	Merged-chr14-34549308-78
NR26393--MA0741.1.KLF16	chr16	90334357	90334367	+	0.000	0.000	Merged-chr16-90334244-28
NR54680--MA0599.1.KLF5	chr6	83326289	83326298	-	0.000	0.000	Merged-chr6-83326116-65
NR31577--MA0740.1.KLF14	chr18	69344383	69344396	-	0.000	0.000	Merged-chr18-69344405-52
NR23262--MA0599.1.KLF5	chr15	77851290	77851299	-	0.000	0.000	Merged-chr15-77851362-6
NR8784--MA1107.1.KLF9	chr10	127643824	127643836	+	0.000	0.000	Merged-chr10-127643888-16
NR34986--MA0741.1.KLF16	chr2	27427071	27427081	-	0.000	0.000	Merged-chr2-27426949-82
NR47855--MA0741.1.KLF16	chr4	148167199	148167209	+	0.000	0.000	Merged-chr4-148167175-10
NR22932--MA1107.1.KLF9	chr15	67145604	67145616	-	0.000	0.000	Merged-chr15-67145484-28
NR25303--MA0599.1.KLF5	chr16	30510676	30510685	+	0.000	0.000	Merged-chr16-30510671-63
NR51951--MA1107.1.KLF9	chr5	134313685	134313697	+	0.000	0.000	Merged-chr5-134313860-43
NR25642--MA1107.1.KLF9	chr16	45742981	45742993	-	0.000	0.000	Merged-chr16-45742884-57
NR14950--MA0740.1.KLF14	chr12	91779236	91779249	-	0.000	0.000	Merged-chr12-91779074-57
NR61790--MA0599.1.KLF5	chr7	139295887	139295896	-	0.000	0.000	Merged-chr7-139295944-32
NR9781--MA0599.1.KLF5	chr11	51856456	51856465	+	0.000	0.000	Merged-chr11-51856279-106
NR54661--MA1107.1.KLF9	chr6	83054595	83054607	+	0.000	0.000	Merged-chr6-83054471-91
NR63831--MA0599.1.KLF5	chr8	84198570	84198579	-	0.000	0.000	Merged-chr8-84198676-1
NR22704--MA0741.1.KLF16	chr15	58141252	58141262	+	0.000	0.000	Merged-chr15-58141388-72
NR58741--MA0740.1.KLF14	chr7	35754531	35754544	+	0.000	0.000	Merged-chr7-35754427-56
NR66224--MA0741.1.KLF16	chr9	44379433	44379443	-	0.000	0.000	Merged-chr9-44379436-63
NR61095--MA1107.1.KLF9	chr7	125034713	125034725	-	0.000	0.000	Merged-chr7-125034795-1
NR35409--MA0493.1.Klf1	chr2	34904928	34904938	+	0.000	0.000	Merged-chr2-34905139-61
NR49065--MA0599.1.KLF5	chr5	34196736	34196745	-	0.000	0.000	Merged-chr5-34196616-50
NR9423--MA0599.1.KLF5	chr11	30649083	30649092	+	0.000	0.000	Merged-chr11-30649256-50
NR8535--MA0741.1.KLF16	chr10	122047889	122047899	+	0.000	0.000	Merged-chr10-122047923-4
NR52468--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR10546--MA0741.1.KLF16	chr11	70654716	70654726	+	0.000	0.000	Merged-chr11-70654589-122
NR10177--MA0599.1.KLF5	chr11	60931878	60931887	-	0.000	0.000	Merged-chr11-60932010-53
NR32958--MA1107.1.KLF9	chr19	14286613	14286625	+	0.000	0.000	Merged-chr19-14286604-14
NR42662--MA0493.1.Klf1	chr3	127837492	127837502	+	0.000	0.000	Merged-chr3-127837495-68
NR3308--MA1107.1.KLF9	chr1	167339538	167339550	-	0.000	0.000	Merged-chr1-167339598-12
NR58010--MA0599.1.KLF5	chr7	19332845	19332854	-	0.000	0.000	Merged-chr7-19332998-44
NR50540--MA0599.1.KLF5	chr5	103760639	103760648	+	0.000	0.000	Merged-chr5-103760727-77
NR35453--MA1107.1.KLF9	chr2	35411651	35411663	+	0.000	0.000	Merged-chr2-35411645-5
NR53250--MA0599.1.KLF5	chr5	150594437	150594446	-	0.000	0.000	Merged-chr5-150594562-11
NR39785--MA0741.1.KLF16	chr2	178239787	178239797	-	0.000	0.000	Merged-chr2-178239621-1
NR47170--MA0741.1.KLF16	chr4	135963685	135963695	-	0.000	0.000	Merged-chr4-135963723-59
NR42788--MA0599.1.KLF5	chr3	131019727	131019736	+	0.000	0.000	Merged-chr3-131019630-77
NR5721--MA0493.1.Klf1	chr10	44483306	44483316	+	0.000	0.000	Merged-chr10-44483317-39
NR65970--MA0741.1.KLF16	chr9	32518407	32518417	-	0.000	0.000	Merged-chr9-32518523-33
NR34843--MA0741.1.KLF16	chr2	25054333	25054343	+	0.000	0.000	Merged-chr2-25054565-53
NR50736--MA1107.1.KLF9	chr5	108660813	108660825	-	0.000	0.000	Merged-chr5-108660605-68
NR44726--MA0657.1.KLF13	chr4	45018579	45018596	-	0.000	0.000	Merged-chr4-45018744-59
NR60313--MA0741.1.KLF16	chr7	102210348	102210358	-	0.000	0.000	Merged-chr7-102210325-100
NR12786--MA0493.1.Klf1	chr11	115514425	115514435	+	0.000	0.000	Merged-chr11-115514258-56
NR28698--MA0599.1.KLF5	chr17	47542187	47542196	+	0.000	0.000	Merged-chr17-47542240-31
NR32071--MA0039.3.KLF4	chr18	81429992	81430002	-	0.000	0.000	Merged-chr18-81430139-51
NR59552--MA0599.1.KLF5	chr7	75863433	75863442	-	0.000	0.000	Merged-chr7-75863636-9
NR55398--MA0493.1.Klf1	chr6	108895258	108895268	+	0.000	0.000	Merged-chr6-108895381-27
NR3528--MA0493.1.Klf1	chr1	173508872	173508882	-	0.000	0.000	Merged-chr1-173508831-21
NR35554--MA0741.1.KLF16	chr2	43737911	43737921	-	0.000	0.000	Merged-chr2-43737811-44
NR62401--MA0599.1.KLF5	chr8	12756983	12756992	-	0.000	0.000	Merged-chr8-12757081-86
NR3064--MA0741.1.KLF16	chr1	161748417	161748427	-	0.000	0.000	Merged-chr1-161748373-32
NR2236--MA1107.1.KLF9	chr1	134344574	134344586	-	0.000	0.000	Merged-chr1-134344743-32
NR35078--MA0741.1.KLF16	chr2	29102778	29102788	-	0.000	0.000	Merged-chr2-29102866-17
NR3448--MA0599.1.KLF5	chr1	171699277	171699286	+	0.000	0.000	Merged-chr1-171699154-28
NR52393--MA0599.1.KLF5	chr5	138619765	138619774	+	0.000	0.000	Merged-chr5-138619664-54
NR57359--MA0599.1.KLF5	chr6	147366198	147366207	+	0.000	0.000	Merged-chr6-147366310-2
NR63061--MA0599.1.KLF5	chr8	61224155	61224164	+	0.000	0.000	Merged-chr8-61224285-72
NR32883--MA0599.1.KLF5	chr19	9082560	9082569	+	0.000	0.000	Merged-chr19-9082647-26
NR33398--MA0741.1.KLF16	chr19	34846574	34846584	-	0.000	0.000	Merged-chr19-34846685-64
NR33003--MA0741.1.KLF16	chr19	15883311	15883321	-	0.000	0.000	Merged-chr19-15883225-34
NR12213--MA0493.1.Klf1	chr11	103267523	103267533	+	0.000	0.000	Merged-chr11-103267533-59
NR9893--MA0599.1.KLF5	chr11	54002529	54002538	+	0.000	0.000	Merged-chr11-54002404-3
NR49186--MA0599.1.KLF5	chr5	35795648	35795657	-	0.000	0.000	Merged-chr5-35795527-25
NR68366--MA1107.1.KLF9	chr9	107333775	107333787	+	0.000	0.000	Merged-chr9-107333760-1
NR19837--MA1107.1.KLF9	chr14	34768543	34768555	+	0.000	0.000	Merged-chr14-34768619-7
NR10298--MA0599.1.KLF5	chr11	65807148	65807157	+	0.000	0.000	Merged-chr11-65807044-98
NR5613--MA1107.1.KLF9	chr10	42269538	42269550	+	0.000	0.000	Merged-chr10-42269495-58
NR41152--MA0599.1.KLF5	chr3	84619257	84619266	+	0.000	0.000	Merged-chr3-84619287-9
NR70171--MA0599.1.KLF5	chrX	112311460	112311469	+	0.000	0.000	Merged-chrX-112311512-60
NR55770--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR52243--MA0741.1.KLF16	chr5	136147189	136147199	+	0.000	0.000	Merged-chr5-136147048-39
NR44826--MA0740.1.KLF14	chr4	46507481	46507494	+	0.000	0.000	Merged-chr4-46507538-69
NR27348--MA0493.1.Klf1	chr17	21535509	21535519	-	0.000	0.000	Merged-chr17-21535383-93
NR11353--MA0741.1.KLF16	chr11	88595769	88595779	+	0.000	0.000	Merged-chr11-88595910-28
NR52211--MA0740.1.KLF14	chr5	135903790	135903803	-	0.000	0.000	Merged-chr5-135903918-23
NR16837--MA0741.1.KLF16	chr13	45389696	45389706	-	0.000	0.000	Merged-chr13-45389737-64
NR16465--MA0493.1.Klf1	chr13	24965646	24965656	-	0.000	0.000	Merged-chr13-24965743-47
NR7218--MA0741.1.KLF16	chr10	86021907	86021917	-	0.000	0.000	Merged-chr10-86022093-75
NR50260--MA0740.1.KLF14	chr5	93267528	93267541	+	0.000	0.000	Merged-chr5-93267720-160
NR68884--MA0741.1.KLF16	chr9	116369142	116369152	-	0.000	0.000	Merged-chr9-116369265-54
NR37757--MA0741.1.KLF16	chr2	130906407	130906417	+	0.000	0.000	Merged-chr2-130906515-68
NR39557--MA0039.3.KLF4	chr2	172440459	172440469	+	0.000	0.000	Merged-chr2-172440509-70
NR35565--MA1107.1.KLF9	chr2	43737939	43737951	-	0.000	0.000	Merged-chr2-43737811-44
NR25894--MA0599.1.KLF5	chr16	64800628	64800637	-	0.000	0.000	Merged-chr16-64800516-42
NR65796--MA0599.1.KLF5	chr9	22165114	22165123	-	0.000	0.000	Merged-chr9-22165025-24
NR33852--MA0599.1.KLF5	chr19	47356634	47356643	-	0.000	0.000	Merged-chr19-47356691-46
NR12335--MA0741.1.KLF16	chr11	106057117	106057127	-	0.000	0.000	Merged-chr11-106057103-42
NR60552--MA0493.1.Klf1	chr7	110203788	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR33255--MA0741.1.KLF16	chr19	29355212	29355222	+	0.000	0.000	Merged-chr19-29355447-56
NR10--MA0599.1.KLF5	chr1	4857771	4857780	-	0.000	0.000	Merged-chr1-4858004-101
NR68291--MA0599.1.KLF5	chr9	106160137	106160146	-	0.000	0.000	Merged-chr9-106160171-45
NR48167--MA0740.1.KLF14	chr4	152138937	152138950	-	0.000	0.000	Merged-chr4-152138737-60
NR22489--MA1107.1.KLF9	chr15	43282854	43282866	-	0.000	0.000	Merged-chr15-43282649-75
NR34163--MA0599.1.KLF5	chr19	57327839	57327848	-	0.000	0.000	Merged-chr19-57327761-18
NR8463--MA0599.1.KLF5	chr10	121420263	121420272	+	0.000	0.000	Merged-chr10-121420246-43
NR42121--MA0599.1.KLF5	chr3	108210516	108210525	+	0.000	0.000	Merged-chr3-108210619-89
NR40286--MA0599.1.KLF5	chr3	30995754	30995763	-	0.000	0.000	Merged-chr3-30995800-69
NR64924--MA0741.1.KLF16	chr8	120114105	120114115	-	0.000	0.000	Merged-chr8-120114148-66
NR14939--MA0493.1.Klf1	chr12	91684570	91684580	-	0.000	0.000	Merged-chr12-91684536-24
NR36632--MA0741.1.KLF16	chr2	91957408	91957418	-	0.000	0.000	Merged-chr2-91957300-36
NR18942--MA0740.1.KLF14	chr13	111725421	111725434	+	0.000	0.000	Merged-chr13-111725455-80
NR26425--MA0741.1.KLF16	chr16	90810574	90810584	-	0.000	0.000	Merged-chr16-90810372-70
NR39862--MA0740.1.KLF14	chr2	180042431	180042444	+	0.000	0.000	Merged-chr2-180042476-118
NR9521--MA0493.1.Klf1	chr11	35446919	35446929	-	0.000	0.000	Merged-chr11-35446903-8
NR47821--MA0741.1.KLF16	chr4	148038690	148038700	-	0.000	0.000	Merged-chr4-148038906-70
NR29384--MA0740.1.KLF14	chr17	72836338	72836351	-	0.000	0.000	Merged-chr17-72836512-10
NR70363--MA0493.1.Klf1	chrX	152016301	152016311	-	0.000	0.000	Merged-chrX-152016475-78
NR6731--MA0599.1.KLF5	chr10	80399789	80399798	-	0.000	0.000	Merged-chr10-80399766-4
NR12245--MA0599.1.KLF5	chr11	104469552	104469561	-	0.000	0.000	Merged-chr11-104469432-56
NR41264--MA0599.1.KLF5	chr3	89091059	89091068	-	0.000	0.000	Merged-chr3-89091071-26
NR30381--MA0599.1.KLF5	chr18	20896434	20896443	-	0.000	0.000	Merged-chr18-20896385-98
NR29573--MA0599.1.KLF5	chr17	78835665	78835674	+	0.000	0.000	Merged-chr17-78835526-79
NR58263--MA0741.1.KLF16	chr7	25282070	25282080	-	0.000	0.000	Merged-chr7-25282176-85
NR50681--MA0742.1.Klf12	chr5	107688053	107688067	-	0.000	0.000	Merged-chr5-107688177-56
NR7391--MA0599.1.KLF5	chr10	91123594	91123603	-	0.000	0.000	Merged-chr10-91123790-83
NR1070--MA1107.1.KLF9	chr1	69499060	69499072	-	0.000	0.000	Merged-chr1-69499196-51
NR45936--MA0741.1.KLF16	chr4	106911392	106911402	+	0.000	0.000	Merged-chr4-106911320-71
NR52427--MA0742.1.Klf12	chr5	139304586	139304600	-	0.000	0.000	Merged-chr5-139304539-2
NR13867--MA0493.1.Klf1	chr12	32954173	32954183	+	0.000	0.000	Merged-chr12-32954310-122
NR58329--MA0741.1.KLF16	chr7	27325316	27325326	+	0.000	0.000	Merged-chr7-27325300-3
NR66856--MA0741.1.KLF16	chr9	64960819	64960829	+	0.000	0.000	Merged-chr9-64960866-47
NR61780--MA1107.1.KLF9	chr7	139125698	139125710	-	0.000	0.000	Merged-chr7-139125728-10
NR33680--MA0740.1.KLF14	chr19	44069762	44069775	+	0.000	0.000	Merged-chr19-44069600-84
NR13787--MA0599.1.KLF5	chr12	30911671	30911680	-	0.000	0.000	Merged-chr12-30911736-104
NR56551--MA0740.1.KLF14	chr6	136414208	136414221	+	0.000	0.000	Merged-chr6-136414055-4
NR38939--MA0599.1.KLF5	chr2	160873052	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR10036--MA0741.1.KLF16	chr11	58199548	58199558	+	0.000	0.000	Merged-chr11-58199630-58
NR62038--MA0493.1.Klf1	chr7	142354081	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR11253--MA0493.1.Klf1	chr11	86580723	86580733	+	0.000	0.000	Merged-chr11-86580662-12
NR4870--MA0741.1.KLF16	chr10	4432430	4432440	+	0.000	0.000	Merged-chr10-4432497-94
NR28530--MA0740.1.KLF14	chr17	44777208	44777221	+	0.000	0.000	Merged-chr17-44777259-107
NR54969--MA0741.1.KLF16	chr6	91515910	91515920	+	0.000	0.000	Merged-chr6-91515827-72
NR33278--MA1107.1.KLF9	chr19	29647966	29647978	+	0.000	0.000	Merged-chr19-29648098-92
NR31281--MA0657.1.KLF13	chr18	62973002	62973019	+	0.000	0.000	Merged-chr18-62972884-28
NR13413--MA0741.1.KLF16	chr12	8521797	8521807	+	0.000	0.000	Merged-chr12-8521654-50
NR62625--MA0741.1.KLF16	chr8	27023698	27023708	-	0.000	0.000	Merged-chr8-27023676-72
NR9007--MA0741.1.KLF16	chr11	3931857	3931867	+	0.000	0.000	Merged-chr11-3931934-36
NR13214--MA0599.1.KLF5	chr11	120660701	120660710	-	0.000	0.000	Merged-chr11-120660742-13
NR9846--MA0740.1.KLF14	chr11	53636299	53636312	-	0.000	0.000	Merged-chr11-53636381-3
NR7056--MA0741.1.KLF16	chr10	82860458	82860468	-	0.000	0.000	Merged-chr10-82860531-53
NR16372--MA0740.1.KLF14	chr13	21222584	21222597	-	0.000	0.000	Merged-chr13-21222520-28
NR15809--MA1107.1.KLF9	chr12	112673045	112673057	+	0.000	0.000	Merged-chr12-112673105-15
NR44459--MA0740.1.KLF14	chr4	41124388	41124401	+	0.000	0.000	Merged-chr4-41124348-51
NR51957--MA0599.1.KLF5	chr5	134350859	134350868	+	0.000	0.000	Merged-chr5-134350841-34
NR23392--MA0599.1.KLF5	chr15	79774557	79774566	-	0.000	0.000	Merged-chr15-79774475-53
NR7176--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR51056--MA1107.1.KLF9	chr5	114041785	114041797	-	0.000	0.000	Merged-chr5-114041714-24
NR52538--MA0657.1.KLF13	chr5	140208908	140208925	+	0.000	0.000	Merged-chr5-140208912-49
NR34009--MA0657.1.KLF13	chr19	54115019	54115036	-	0.000	0.000	Merged-chr19-54115142-50
NR14550--MA0599.1.KLF5	chr12	79297344	79297353	-	0.000	0.000	Merged-chr12-79297366-35
NR60226--MA0599.1.KLF5	chr7	100879822	100879831	+	0.000	0.000	Merged-chr7-100879826-8
NR8482--MA0741.1.KLF16	chr10	121476470	121476480	+	0.000	0.000	Merged-chr10-121476337-119
NR5615--MA0740.1.KLF14	chr10	42478608	42478621	-	0.000	0.000	Merged-chr10-42478401-62
NR39908--MA0599.1.KLF5	chr2	180589396	180589405	-	0.000	0.000	Merged-chr2-180589507-64
NR63275--MA1107.1.KLF9	chr8	69832445	69832457	-	0.000	0.000	Merged-chr8-69832557-54
NR22717--MA0741.1.KLF16	chr15	58171624	58171634	+	0.000	0.000	Merged-chr15-58171434-29
NR43426--MA0599.1.KLF5	chr3	144720417	144720426	-	0.000	0.000	Merged-chr3-144720507-6
NR15550--MA0741.1.KLF16	chr12	108792928	108792938	-	0.000	0.000	Merged-chr12-108792775-98
NR9892--MA1107.1.KLF9	chr11	53891920	53891932	-	0.000	0.000	Merged-chr11-53891754-62
NR33159--MA0741.1.KLF16	chr19	23135505	23135515	+	0.000	0.000	Merged-chr19-23135579-121
NR34923--MA1107.1.KLF9	chr2	26304877	26304889	-	0.000	0.000	Merged-chr2-26304890-4
NR41957--MA0741.1.KLF16	chr3	103927744	103927754	-	0.000	0.000	Merged-chr3-103927636-31
NR26750--MA1107.1.KLF9	chr16	95990954	95990966	+	0.000	0.000	Merged-chr16-95990846-67
NR38710--MA0493.1.Klf1	chr2	155819125	155819135	+	0.000	0.000	Merged-chr2-155819195-52
NR36875--MA0493.1.Klf1	chr2	104095787	104095797	-	0.000	0.000	Merged-chr2-104095908-22
NR35244--MA0599.1.KLF5	chr2	32132894	32132903	-	0.000	0.000	Merged-chr2-32132816-8
NR26263--MA0741.1.KLF16	chr16	87495909	87495919	+	0.000	0.000	Merged-chr16-87495807-62
NR28810--MA0657.1.KLF13	chr17	50292852	50292869	+	0.000	0.000	Merged-chr17-50292906-47
NR50607--MA0493.1.Klf1	chr5	105649549	105649559	+	0.000	0.000	Merged-chr5-105649431-102
NR38630--MA0599.1.KLF5	chr2	154408141	154408150	-	0.000	0.000	Merged-chr2-154408006-43
NR39403--MA0741.1.KLF16	chr2	168590369	168590379	-	0.000	0.000	Merged-chr2-168590247-214
NR10625--MA0599.1.KLF5	chr11	72608378	72608387	+	0.000	0.000	Merged-chr11-72608419-11
NR41142--MA1107.1.KLF9	chr3	84345595	84345607	+	0.000	0.000	Merged-chr3-84345416-77
NR33727--MA0599.1.KLF5	chr19	45047770	45047779	+	0.000	0.000	Merged-chr19-45047719-125
NR29045--MA0657.1.KLF13	chr17	57249421	57249438	-	0.000	0.000	Merged-chr17-57249489-39
NR23584--MA0493.1.Klf1	chr15	82224397	82224407	+	0.000	0.000	Merged-chr15-82224462-30
NR14957--MA0493.1.Klf1	chr12	91849228	91849238	+	0.000	0.000	Merged-chr12-91849094-58
NR17482--MA0741.1.KLF16	chr13	67609739	67609749	+	0.000	0.000	Merged-chr13-67609632-78
NR32068--MA0493.1.Klf1	chr18	81405004	81405014	+	0.000	0.000	Merged-chr18-81404957-28
NR269--MA0599.1.KLF5	chr1	34462899	34462908	+	0.000	0.000	Merged-chr1-34462977-38
NR58438--MA0741.1.KLF16	chr7	28436507	28436517	+	0.000	0.000	Merged-chr7-28436683-87
NR5494--MA0742.1.Klf12	chr10	39462171	39462185	-	0.000	0.000	Merged-chr10-39462164-7
NR2703--MA0599.1.KLF5	chr1	151500871	151500880	-	0.000	0.000	Merged-chr1-151500785-93
NR43223--MA0741.1.KLF16	chr3	139075234	139075244	-	0.000	0.000	Merged-chr3-139075106-131
NR20623--MA0741.1.KLF16	chr14	66196441	66196451	+	0.000	0.000	Merged-chr14-66196468-7
NR3045--MA0740.1.KLF14	chr1	160212876	160212889	+	0.000	0.000	Merged-chr1-160212830-83
NR56953--MA1107.1.KLF9	chr6	142659042	142659054	+	0.000	0.000	Merged-chr6-142659170-20
NR59324--MA0599.1.KLF5	chr7	64327186	64327195	-	0.000	0.000	Merged-chr7-64327165-25
NR41272--MA0741.1.KLF16	chr3	89160174	89160184	-	0.000	0.000	Merged-chr3-89160160-27
NR38944--MA0741.1.KLF16	chr2	160873052	160873062	+	0.000	0.000	Merged-chr2-160872923-80
NR5958--MA1107.1.KLF9	chr10	61452890	61452902	-	0.000	0.000	Merged-chr10-61452794-18
NR29671--MA0493.1.Klf1	chr17	80441971	80441981	-	0.000	0.000	Merged-chr17-80441791-30
NR10779--MA0740.1.KLF14	chr11	75679262	75679275	-	0.000	0.000	Merged-chr11-75679379-107
NR33753--MA0742.1.Klf12	chr19	45746526	45746540	+	0.000	0.000	Merged-chr19-45746500-18
NR41609--MA0741.1.KLF16	chr3	96262964	96262974	-	0.000	0.000	Merged-chr3-96263071-120
NR46248--MA0599.1.KLF5	chr4	116701028	116701037	-	0.000	0.000	Merged-chr4-116701085-12
NR54206--MA0599.1.KLF5	chr6	52962593	52962602	-	0.000	0.000	Merged-chr6-52962536-54
NR62529--MA0741.1.KLF16	chr8	22166303	22166313	-	0.000	0.000	Merged-chr8-22166326-62
NR13068--MA0742.1.Klf12	chr11	118248766	118248780	+	0.000	0.000	Merged-chr11-118248688-60
NR37406--MA0599.1.KLF5	chr2	120628942	120628951	+	0.000	0.000	Merged-chr2-120628986-58
NR1631--MA0599.1.KLF5	chr1	92831565	92831574	+	0.000	0.000	Merged-chr1-92831639-72
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR24506--MA0741.1.KLF16	chr15	100747313	100747323	+	0.000	0.000	Merged-chr15-100747446-44
NR46915--MA0599.1.KLF5	chr4	132808285	132808294	-	0.000	0.000	Merged-chr4-132808337-17
